PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-03-07,14:04:43.22,1,1,"Santerre, Lance",1000125159,Left,SAN_DON,"Ball, Michael",1000119584,Right,NEV_WOL,Undefined,1,Top,0,0,0,Sinker,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,,88.42218,-0.891215,3.638102,2274.595751,113.851508,9:45,5.23337,-2.58936,6.28192,-26.99509,8.6665,-16.76402,2.16065,-0.62873,80.02954,-5.971284,0.612185,0.429805,,,,,,,,,,,,9.76646,5.16048,2.32815,50,5.15465,-7.46112,-128.16804,-2.83983,16.06172,29.28952,-23.68725,SAN_DON,NEV_WOL,BenedettiDiamond,D1,WCC,20250307-BenedettiDiamond-1,2d0360f0-fba0-11ef-9796-cd1bc2a81e63,87.69651,,,8.39264,,,,,,,521bde67-6975-4869-b8c4-5ec730153653,2025-03-07,22:04:43.22,2025-03-07T14:04:43.2280576-08:00,2025-03-07T22:04:43.2280576Z,,v3,471434,471377,,"Ramppen, Zack",811256,Right,SAN_DON,f18eb708-97d2-4aea-a1d9-97a5b1717eb8,54.21463,-129.12759,14.64476,5.23498,-2.06381,-11.84363,2.58121,-7.98732,8.03086,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2025-03-07,14:05:00.91,1,2,"Santerre, Lance",1000125159,Left,SAN_DON,"Ball, Michael",1000119584,Right,NEV_WOL,Undefined,1,Top,0,0,1,Slider,Curveball,InPlay,Undefined,Popup,Out,1,0,,76.40056,1.284077,0.463401,2537.733078,301.385706,4:00,5.27725,-2.62819,5.91944,-55.94877,-7.58512,15.14863,1.80671,-0.93576,69.60734,-8.999319,3.188737,0.500531,81.032,38.62203,-7.633962,,109.41964,75.6758,-11.28424,272.65927,266.69885,-5.676377,4.988255,-7.64831,-3.86599,2.58234,50,5.34827,-1.44123,-110.94282,0.74909,-9.38779,22.65777,-36.91928,SAN_DON,NEV_WOL,BenedettiDiamond,D1,WCC,20250307-BenedettiDiamond-1,3797a940-fba0-11ef-9796-cd1bc2a81e63,75.30493,85.63276,,6.79321,,,,2.05599,2.02104,0.95794,521bde67-6975-4869-b8c4-5ec730153653,2025-03-07,22:05:00.91,2025-03-07T14:05:00.9100288-08:00,2025-03-07T22:05:00.9100288Z,FlyBall,v3,471434,471377,,"Ramppen, Zack",811256,Right,SAN_DON,07c8a0d7-95a9-4692-a35f-bf43740d2edc,54.58125,-111.87453,11.32888,5.28625,2.26725,-18.45964,2.63366,-1.05519,-4.69389,186.363229,2.05947,91.94881,-20.44644,5.21222,-0.74265,-0.02263,0.03151,-0.005,0.00026,2.0169,74.26495,-18.28503,0.96,-0.13483,0.02688,0.00087,-0.00113,0.0001,0.95757,-12.32515,4.40458,-1.41461,0.3009,-0.03691,0.00061,0.00038,-3E-05,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,
3,2025-03-07,14:05:34.33,2,1,"Santerre, Lance",1000125159,Left,SAN_DON,"Yamaguchi, Sean",10148223,Right,NEV_WOL,Undefined,1,Top,1,0,0,Slider,Curveball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,75.87781,0.831369,0.979799,2745.370601,284.799256,3:30,5.27046,-2.81567,6.05042,-52.53641,-3.3202,19.40253,1.66219,-0.2917,68.63229,-8.882178,4.476083,0.504923,,,,,,,,,,,,-9.55524,-1.37323,2.72977,50,5.308,-2.59338,-110.079,0.00501,-11.44792,23.83549,-33.81927,SAN_DON,NEV_WOL,BenedettiDiamond,D1,WCC,20250307-BenedettiDiamond-1,4b8ac720-fba0-11ef-9796-cd1bc2a81e63,74.64982,,,7.24552,,,,,,,521bde67-6975-4869-b8c4-5ec730153653,2025-03-07,22:05:34.33,2025-03-07T14:05:34.3362560-08:00,2025-03-07T22:05:34.3362560Z,,v3,471434,471377,,"Ramppen, Zack",811256,Right,SAN_DON,17d7ca01-2cec-432f-82f9-4e00cc924206,54.44685,-111.0377,11.91774,5.28045,1.36528,-16.90963,2.82483,-2.13293,-5.72396,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2025-03-07,14:05:52.92,2,2,"Santerre, Lance",1000125159,Left,SAN_DON,"Yamaguchi, Sean",10148223,Right,NEV_WOL,Undefined,1,Top,1,0,1,Sinker,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,86.11056,-1.838843,5.588922,2351.39341,108.178115,9:30,5.26801,-2.5922,6.53781,-31.48801,5.78103,-13.76536,0.94879,1.40317,78.51172,-7.727088,3.102251,0.439385,,,,,,,,,,,,8.83335,3.98024,2.20902,50,5.12683,-11.66459,-124.54728,-4.95879,13.79009,26.44418,-25.96031,SAN_DON,NEV_WOL,BenedettiDiamond,D1,WCC,20250307-BenedettiDiamond-1,56915940-fba0-11ef-9796-cd1bc2a81e63,85.7845,,,7.59884,,,,,,,521bde67-6975-4869-b8c4-5ec730153653,2025-03-07,22:05:52.92,2025-03-07T14:05:52.9231360-08:00,2025-03-07T22:05:52.9231360Z,,v3,471434,471377,,"Ramppen, Zack",811256,Right,SAN_DON,b1d87643-e63a-4e4a-badb-0a369cb4dd6c,53.95982,-125.38522,13.22209,5.27093,-4.13618,-12.98016,2.58556,-12.10156,6.89505,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2025-03-07,14:06:12.07,2,3,"Santerre, Lance",1000125159,Left,SAN_DON,"Yamaguchi, Sean",10148223,Right,NEV_WOL,Undefined,1,Top,1,1,1,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,88.66971,-0.226658,2.849457,2324.97126,153.013167,11:00,5.75676,-2.12405,6.67312,-17.27903,17.84469,-8.42634,4.10922,-0.2173,79.55467,-3.600616,1.317442,0.426552,,,,,,,,,,,,5.31567,9.80315,1.9358,50,5.73411,-6.06112,-128.57901,-0.90417,8.73628,31.20435,-16.06257,SAN_DON,NEV_WOL,BenedettiDiamond,D1,WCC,20250307-BenedettiDiamond-1,61f8d010-fba0-11ef-9796-cd1bc2a81e63,88.36545,,,9.11504,,,,,,,521bde67-6975-4869-b8c4-5ec730153653,2025-03-07,22:06:12.07,2025-03-07T14:06:12.0785920-08:00,2025-03-07T22:06:12.0785920Z,,v3,471434,471377,,"Ramppen, Zack",811256,Right,SAN_DON,5d8f3498-dbac-47cc-b2ea-01d3a9f4ce44,53.8197,-129.50268,15.60218,5.75384,-0.42871,-8.03129,2.11905,-6.31972,4.36814,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2025-03-07,14:06:31.00,2,4,"Santerre, Lance",1000125159,Left,SAN_DON,"Yamaguchi, Sean",10148223,Right,NEV_WOL,Undefined,1,Top,1,2,1,Slider,Curveball,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,76.88341,-0.474249,2.479654,2777.901164,280.981758,3:15,5.24549,-2.83214,5.77604,-50.36168,-1.72311,18.20328,0.60698,0.99354,69.61533,-9.708014,5.738906,0.501952,,,,,,,,,,,,-8.37871,-0.15547,2.61641,50,5.17652,-5.50647,-111.36932,-2.51114,-10.24975,24.84415,-32.36424,SAN_DON,NEV_WOL,BenedettiDiamond,D1,WCC,20250307-BenedettiDiamond-1,6d4803f0-fba0-11ef-9796-cd1bc2a81e63,75.09179,,,7.26807,,,,,,,521bde67-6975-4869-b8c4-5ec730153653,2025-03-07,22:06:31.00,2025-03-07T14:06:31.0039040-08:00,2025-03-07T22:06:31.0039040Z,,v3,471434,471377,,"Ramppen, Zack",811256,Right,SAN_DON,705ffd7a-3093-4be4-a8fd-cd732f2cf552,54.72106,-112.41756,12.42208,5.25366,-1.14561,-16.18212,2.83962,-5.07401,-5.12488,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2025-03-07,14:06:54.39,2,5,"Santerre, Lance",1000125159,Left,SAN_DON,"Yamaguchi, Sean",10148223,Right,NEV_WOL,Undefined,1,Top,1,2,2,Slider,Curveball,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,,76.47774,1.620804,0.178667,2604.196999,300.726699,4:00,5.30824,-2.62377,5.83761,-57.49479,-8.73308,17.67623,2.02383,-0.98469,69.18063,-8.949013,3.353604,0.502587,,,,,,,,,,,,-8.86721,-4.35941,2.59928,50,5.40761,-1.01897,-110.93563,1.28498,-10.81004,23.86627,-37.48861,SAN_DON,NEV_WOL,BenedettiDiamond,D1,WCC,20250307-BenedettiDiamond-1,7b224f80-fba0-11ef-9796-cd1bc2a81e63,74.99691,,,7.29711,,,,,,,521bde67-6975-4869-b8c4-5ec730153653,2025-03-07,22:06:54.39,2025-03-07T14:06:54.3970000-08:00,2025-03-07T22:06:54.3970000Z,,v3,471434,471377,,"Ramppen, Zack",811256,Right,SAN_DON,b23d51c0-8172-4287-9255-f64849908ce4,54.66099,-111.93388,11.93313,5.32107,2.85302,-18.74431,2.63244,-0.56682,-5.40502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.07679,2.828186,1.062707,1.765479,-1.63562,1.52428,0.80091,-4.15143,4.8433,1.73278,69.13846,6.90423,-55.64587,-4.06873,45.2291,-2.14075,5.01676,28.02633,-15.29198,1.61442,-36.62339,2.38685,High,High,High,,,High,High,High
8,2025-03-07,14:07:24.22,3,1,"Santerre, Lance",1000125159,Left,SAN_DON,"Kwon, Junhyuk",1000087646,Right,NEV_WOL,Undefined,1,Top,2,0,0,Sinker,Changeup,StrikeCalled,Undefined,Undefined,Undefined,0,0,,88.42096,-0.568409,4.280311,2401.317374,120.375823,10:00,5.3687,-2.66812,6.22504,-24.1547,11.65682,-17.71158,2.82988,-0.18746,79.82722,-5.139458,1.091848,0.430708,,,,,,,,,,,,10.39666,6.58969,2.35557,50,5.31421,-8.84049,-128.04189,-2.00521,17.06103,29.28043,-21.36031,SAN_DON,NEV_WOL,BenedettiDiamond,D1,WCC,20250307-BenedettiDiamond-1,8cf832b0-fba0-11ef-9796-cd1bc2a81e63,87.51279,,,8.59374,,,,,,,521bde67-6975-4869-b8c4-5ec730153653,2025-03-07,22:07:24.22,2025-03-07T14:07:24.2274304-08:00,2025-03-07T22:07:24.2274304Z,,v3,471434,471377,,"Ramppen, Zack",811256,Right,SAN_DON,0d209d26-20da-49bd-a2e1-c91c3fd52256,54.27061,-129.01479,14.64022,5.36905,-1.29547,-10.68015,2.65873,-9.40738,8.53052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2025-03-07,14:07:41.85,3,2,"Santerre, Lance",1000125159,Left,SAN_DON,"Kwon, Junhyuk",1000087646,Right,NEV_WOL,Undefined,1,Top,2,0,1,Slider,Curveball,InPlay,Undefined,LineDrive,Single,0,0,,76.11673,1.663892,0.152087,2706.053234,295.078596,3:45,5.28824,-2.66115,5.91524,-56.57645,-7.21504,19.44036,2.11818,-0.89998,68.46456,-8.777617,3.648269,0.505668,105.32229,22.32472,9.694536,2299.260379,107.36459,41.37112,23.9342,379.79334,330.01564,17.621048,4.242177,-9.8656,-3.71662,2.63808,50,5.39007,-1.01155,-110.36691,1.43915,-11.82811,24.76296,-36.63001,SAN_DON,NEV_WOL,BenedettiDiamond,D1,WCC,20250307-BenedettiDiamond-1,977dadf0-fba0-11ef-9796-cd1bc2a81e63,74.53996,58.79573,,7.65216,,,,0.67171,2.02538,0.88951,521bde67-6975-4869-b8c4-5ec730153653,2025-03-07,22:07:41.85,2025-03-07T14:07:41.8533376-08:00,2025-03-07T22:07:41.8533376Z,LineDrive,v3,471434,471377,,"Ramppen, Zack",811256,Right,SAN_DON,8ee0a11f-e248-45b2-8053-0f156e34c6d2,54.58324,-111.3905,12.38148,5.29928,2.95328,-18.31501,2.66978,-0.52262,-5.91406,217.555952,0.67036,140.88587,-26.63078,6.41647,-1.58967,0.40819,-0.08891,0.01202,-0.00069,2.02712,58.63553,-16.10829,0.25309,0.33573,-0.18859,0.05307,-0.0072,0.00037,0.88983,24.0575,3.80225,-1.86809,0.53821,-0.11366,0.01711,-0.00151,5E-05,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,
10,2025-03-07,14:08:26.08,4,1,"Santerre, Lance",1000125159,Left,SAN_DON,"Dobie, Jayce",1000219037,Right,NEV_WOL,Undefined,1,Top,2,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,87.65955,-2.796961,5.256489,2220.600998,144.990853,10:45,5.7004,-2.26188,6.71049,-21.59647,13.89115,-8.93855,1.33092,1.81217,80.39469,-6.889411,3.63724,0.428756,,,,,,,,,,,,6.27756,8.48193,1.91625,50,5.50551,-11.36748,-126.91895,-6.80066,10.23799,26.01436,-18.34101,SAN_DON,NEV_WOL,BenedettiDiamond,D1,WCC,20250307-BenedettiDiamond-1,b1c60ae0-fba0-11ef-9796-cd1bc2a81e63,87.91126,,,7.26486,,,,,,,521bde67-6975-4869-b8c4-5ec730153653,2025-03-07,22:08:26.08,2025-03-07T14:08:26.0836352-08:00,2025-03-07T22:08:26.0836352Z,,v3,471434,471377,,"Ramppen, Zack",811256,Right,SAN_DON,5a50e0b0-a54e-45a6-9ddf-d1030ec1c584,53.79045,-127.69351,13.00718,5.69987,-6.25457,-9.17051,2.25925,-11.67231,5.119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
