PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-03-07,17:58:49.55,1,1,"Williams, Pierce",1000337420,Left,NOR_GEO3,"Tallington, Devin",1000064106,Left,CLA_PAN,Undefined,1,Top,0,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,88.72886,-0.210238,3.059406,2158.103621,146.947598,11:00,5.98359,-1.59289,6.26978,-16.36481,18.79096,-11.47528,4.42575,0.27402,80.62232,-3.36728,0.989416,0.426746,,,,,,,,,,,,6.78981,10.12878,1.37143,50,5.9597,-6.40931,-128.75127,-0.88928,11.35333,27.69417,-15.23761,NOR_GEO3,CLA_PAN,BobSteinStadium,D2,NCAAPB,20250307-BobSteinStadium-1,12f24700-fba8-11ef-a9c2-d9ff981c6f06,88.32516,,,8.10655,,,,,,,32786897-8770-4727-9acc-0fbdb19889ec,2025-03-07,22:58:49.55,2025-03-07T17:58:49.5544320-05:00,2025-03-07T22:58:49.5544320Z,,v3,,,,"Stripling, Bryson",1000265824,Right,NOR_GEO3,1bbf6aaa-e81a-4e7d-bef1-a537b21408ca,54.22828,-129.65757,13.84708,5.98065,-0.39063,-7.61881,1.58726,-6.78085,5.67666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2025-03-07,17:59:02.53,1,2,"Williams, Pierce",1000337420,Left,NOR_GEO3,"Tallington, Devin",1000064106,Left,CLA_PAN,Undefined,1,Top,0,1,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,87.82559,-2.152692,2.632499,2059.50952,143.681165,10:45,5.8497,-1.64412,6.27407,-17.92509,18.07985,-12.3819,2.36849,-0.2475,79.775,-5.589233,0.396419,0.431869,,,,,,,,,,,,7.17276,10.37882,1.45498,50,5.68145,-5.35502,-127.37138,-5.26418,11.69919,27.90669,-15.24553,NOR_GEO3,CLA_PAN,BobSteinStadium,D2,NCAAPB,20250307-BobSteinStadium-1,1acc0330-fba8-11ef-a9c2-d9ff981c6f06,87.27739,,,8.05059,,,,,,,32786897-8770-4727-9acc-0fbdb19889ec,2025-03-07,22:59:02.53,2025-03-07T17:59:02.5355264-05:00,2025-03-07T22:59:02.5355264Z,,v3,,,,"Stripling, Bryson",1000265824,Right,NOR_GEO3,703d4b45-9985-48a9-b64d-e68263bd351a,54.22408,-128.29353,13.95335,5.84708,-4.7604,-7.62276,1.63832,-5.74161,5.8496,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2025-03-07,17:59:16.61,1,3,"Williams, Pierce",1000337420,Left,NOR_GEO3,"Tallington, Devin",1000064106,Left,CLA_PAN,Undefined,1,Top,0,1,1,Fastball,Four-Seam,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,88.74479,-1.348869,2.644105,2125.288037,144.468702,10:45,5.91097,-1.48373,6.2028,-17.66721,17.81997,-11.82753,3.19203,-0.0269,80.18544,-4.747088,0.511433,0.428753,,,,,,,,,,,,6.88599,9.98418,1.29033,50,5.80044,-5.44691,-128.67508,-3.50286,11.41253,29.55969,-15.62672,NOR_GEO3,CLA_PAN,BobSteinStadium,D2,NCAAPB,20250307-BobSteinStadium-1,23128af0-fba8-11ef-a9c2-d9ff981c6f06,87.91182,,,8.55935,,,,,,,32786897-8770-4727-9acc-0fbdb19889ec,2025-03-07,22:59:16.61,2025-03-07T17:59:16.6120448-05:00,2025-03-07T22:59:16.6120448Z,,v3,,,,"Stripling, Bryson",1000265824,Right,NOR_GEO3,ff84701e-fa2e-4fa1-ae5e-e3df34776f39,54.29409,-129.65778,14.77984,5.90825,-2.98336,-7.81336,1.47771,-5.82632,5.70627,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2025-03-07,17:59:33.74,1,4,"Williams, Pierce",1000337420,Left,NOR_GEO3,"Tallington, Devin",1000064106,Left,CLA_PAN,Undefined,1,Top,0,1,2,Slider,Slider,StrikeCalled,Strikeout,Undefined,Undefined,0,0,,79.44549,0.685725,1.823916,2327.076366,294.950642,3:45,5.77798,-1.90303,6.08916,-47.20329,-2.9641,9.48249,2.47907,0.57499,72.6322,-8.02478,3.532641,0.478713,,,,,,,,,,,,-4.3163,-1.25547,1.75754,50,5.80648,-4.02663,-115.36536,-0.10093,-5.76659,23.20034,-33.85135,NOR_GEO3,CLA_PAN,BobSteinStadium,D2,NCAAPB,20250307-BobSteinStadium-1,2d4d8fb0-fba8-11ef-a9c2-d9ff981c6f06,78.7371,,,6.81329,,,,,,,32786897-8770-4727-9acc-0fbdb19889ec,2025-03-07,22:59:33.74,2025-03-07T17:59:33.7470000-05:00,2025-03-07T22:59:33.7470000Z,,v3,,,,"Stripling, Bryson",1000265824,Right,NOR_GEO3,a29aa108-3ec3-4806-be32-60150db8a89c,54.41126,-116.24909,11.60017,5.78576,1.18852,-16.92567,1.90673,-3.80697,-2.88329,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.44586,2.893041,1.787597,1.105444,-1.21869,2.09576,-0.73966,-2.09205,5.67686,-1.99795,71.7768,5.14133,-53.00841,-2.06712,71.23203,-4.0418,5.70791,15.5382,-14.56438,-2.03939,-51.86906,5.26649,High,High,High,,,High,High,High
5,2025-03-07,18:00:01.01,2,1,"Williams, Pierce",1000337420,Left,NOR_GEO3,"Mungenast, Donovan",1000322263,Right,CLA_PAN,Undefined,1,Top,1,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,89.12569,-1.171496,3.563269,2102.531852,148.014966,11:00,5.94854,-1.67792,6.25774,-16.37757,18.42615,-10.80501,3.50124,0.71167,81.27706,-4.317106,1.616121,0.424604,,,,,,,,,,,,6.57327,10.20977,1.41816,50,5.85314,-7.60827,-129.27858,-3.07724,11.11537,27.15357,-14.90938,NOR_GEO3,CLA_PAN,BobSteinStadium,D2,NCAAPB,20250307-BobSteinStadium-1,3d89c010-fba8-11ef-a9c2-d9ff981c6f06,88.77079,,,7.84863,,,,,,,32786897-8770-4727-9acc-0fbdb19889ec,2025-03-07,23:00:01.01,2025-03-07T18:00:01.0169856-05:00,2025-03-07T23:00:01.0169856Z,,v3,,,,"Stripling, Bryson",1000265824,Right,NOR_GEO3,03157b6c-492b-4fab-a93c-db8b31f48d3b,54.24116,-130.16634,13.57679,5.94578,-2.58979,-7.45469,1.67285,-7.97168,5.55769,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2025-03-07,18:00:14.66,2,2,"Williams, Pierce",1000337420,Left,NOR_GEO3,"Mungenast, Donovan",1000322263,Right,CLA_PAN,Undefined,1,Top,1,1,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,88.48925,-4.051004,3.651982,2191.427328,143.737272,10:45,5.82234,-1.7925,6.25792,-17.65863,17.77745,-12.1867,0.60143,0.56407,81.0253,-7.403547,1.454562,0.428444,,,,,,,,,,,,7.40115,10.74197,1.52725,50,5.512,-7.70354,-128.10313,-9.57683,12.29014,26.63319,-14.33615,NOR_GEO3,CLA_PAN,BobSteinStadium,D2,NCAAPB,20250307-BobSteinStadium-1,45bd3500-fba8-11ef-a9c2-d9ff981c6f06,87.97518,,,7.46395,,,,,,,32786897-8770-4727-9acc-0fbdb19889ec,2025-03-07,23:00:14.66,2025-03-07T18:00:14.6647040-05:00,2025-03-07T23:00:14.6647040Z,,v3,,,,"Stripling, Bryson",1000265824,Right,NOR_GEO3,751def44-6e50-44c1-b636-33fb5df94603,54.24348,-128.98235,13.31659,5.82034,-9.10356,-7.16807,1.78826,-8.10926,6.14507,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2025-03-07,18:00:30.57,2,3,"Williams, Pierce",1000337420,Left,NOR_GEO3,"Mungenast, Donovan",1000322263,Right,CLA_PAN,Undefined,1,Top,1,2,0,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,87.65266,-2.486549,3.085041,2138.405965,143.454713,10:45,5.84209,-1.47378,6.32499,-17.96277,18.3534,-12.62922,2.05045,0.3177,79.2066,-5.943957,0.803386,0.433732,68.73432,57.271792,150.341291,4041.173967,,,,,46.76469,,,7.57922,10.73371,1.2542,50,5.65161,-6.35225,-127.01484,-5.99003,12.21139,29.35022,-14.88022,NOR_GEO3,CLA_PAN,BobSteinStadium,D2,NCAAPB,20250307-BobSteinStadium-1,4f3e5fa0-fba8-11ef-a9c2-d9ff981c6f06,86.9026,55.5838,,8.44606,,,,2.37504,1.99372,-0.36054,32786897-8770-4727-9acc-0fbdb19889ec,2025-03-07,23:00:30.57,2025-03-07T18:00:30.5701888-05:00,2025-03-07T23:00:30.5701888Z,,v3,,,,"Stripling, Bryson",1000265824,Right,NOR_GEO3,0a1d63e7-27e0-46c1-a591-6d937e213a2e,54.17439,-127.97581,14.67511,5.83975,-5.50282,-7.44011,1.46872,-6.75207,6.1057,0.69104,2.37504,-47.36289,0.14812,0.86849,-0.30707,0.08972,-0.02258,0.00507,-0.00064,1.99372,84.80602,-32.06489,4.58534,-1.01197,0.20884,-0.04462,0.00851,-0.00094,-0.36054,26.9701,0.10515,-0.91156,0.31437,-0.09078,0.02268,-0.00502,0.00062,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Undefined,,,
8,2025-03-07,18:00:48.55,2,4,"Williams, Pierce",1000337420,Left,NOR_GEO3,"Mungenast, Donovan",1000322263,Right,CLA_PAN,Undefined,1,Top,1,2,1,Slider,Curveball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,76.5871,0.809494,2.012425,2202.30172,328.486861,5:00,5.83654,-1.60918,6.1266,-54.06342,-7.158,5.20705,2.08008,0.68581,71.09304,-9.106235,2.952086,0.492927,,,,,,,,,,,,-2.16709,-3.51398,1.45255,50,5.8704,-4.09386,-111.39055,-0.05756,-2.73635,19.07621,-36.61107,NOR_GEO3,CLA_PAN,BobSteinStadium,D2,NCAAPB,20250307-BobSteinStadium-1,59fa5430-fba8-11ef-a9c2-d9ff981c6f06,76.46653,,,5.49406,,,,,,,32786897-8770-4727-9acc-0fbdb19889ec,2025-03-07,23:00:48.55,2025-03-07T18:00:48.5566464-05:00,2025-03-07T23:00:48.5566464Z,,v3,,,,"Stripling, Bryson",1000265824,Right,NOR_GEO3,96e08f12-f6df-4efd-9a44-a11eec0422d0,54.37733,-112.13768,9.53811,5.84458,1.37634,-18.30554,1.61079,-3.98668,-1.36818,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2025-03-07,18:01:03.11,2,5,"Williams, Pierce",1000337420,Left,NOR_GEO3,"Mungenast, Donovan",1000322263,Right,CLA_PAN,Undefined,1,Top,1,2,2,Fastball,Sinker,StrikeCalled,Strikeout,Undefined,Undefined,0,0,,88.02121,-2.000162,3.9941,1910.955408,125.574949,10:15,5.89753,-1.41007,6.18647,-23.60529,12.38359,-15.60851,2.0783,0.98323,80.12041,-6.444485,1.184032,0.431773,,,,,,,,,,,,9.233,7.36126,1.1159,50,5.73429,-8.27233,-127.5241,-5.17963,15.11979,27.58632,-20.11939,NOR_GEO3,CLA_PAN,BobSteinStadium,D2,NCAAPB,20250307-BobSteinStadium-1,62a9d6f0-fba8-11ef-a9c2-d9ff981c6f06,87.29688,,,7.9008,,,,,,,32786897-8770-4727-9acc-0fbdb19889ec,2025-03-07,23:01:03.11,2025-03-07T18:01:03.1160000-05:00,2025-03-07T23:01:03.1160000Z,,v3,,,,"Stripling, Bryson",1000265824,Right,NOR_GEO3,8fccec0e-e46c-47ee-b146-c8cac45b879c,54.3132,-128.45375,13.79316,5.89742,-4.50161,-10.0597,1.40325,-8.78186,7.5599,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.25658,,,1.041968,,,,0.58888,5.65077,1.53333,66.94378,3.40654,-57.84028,0.60641,66.7584,-2.96528,5.69995,12.70734,-14.29782,1.45485,-64.08539,6.87567,High,High,High,,,High,High,High
10,2025-03-07,18:01:27.02,3,1,"Williams, Pierce",1000337420,Left,NOR_GEO3,"Rutledge, Albert",1000066065,Left,CLA_PAN,Undefined,1,Top,2,0,0,Fastball,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,,87.93052,-2.115211,3.320417,1929.291664,130.560028,10:15,5.95058,-1.53237,6.13415,-21.98745,13.87473,-14.87674,2.15907,0.30033,80.54602,-6.251394,0.641993,0.431012,,,,,,,,,,,,8.57623,8.09638,1.28603,50,5.77728,-6.79678,-127.54291,-5.38048,14.14464,25.924,-18.82079,NOR_GEO3,CLA_PAN,BobSteinStadium,D2,NCAAPB,20250307-BobSteinStadium-1,70e24810-fba8-11ef-a9c2-d9ff981c6f06,87.45095,,,7.38451,,,,,,,32786897-8770-4727-9acc-0fbdb19889ec,2025-03-07,23:01:27.02,2025-03-07T18:01:27.0204928-05:00,2025-03-07T23:01:27.0204928Z,,v3,,,,"Stripling, Bryson",1000265824,Right,NOR_GEO3,70842570-0664-46de-8cff-bca4d430d4da,54.36603,-128.42727,12.962,5.94988,-4.73844,-9.4104,1.52612,-7.27931,7.07232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
