PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-03-07,18:02:14.30,1,1,"Lunceford, Logan",702583,Right,WAK_DEA,"Zimbardo, Jared",1000120922,Right,NOT_IRI,Undefined,1,Top,0,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,90.18381,-1.334733,-3.011584,2285.604354,198.512268,12:30,5.98203,1.11846,6.35295,-10.52816,23.796,7.5463,3.87423,-1.02719,81.04917,-3.458246,-1.648516,0.421669,,,,,,,,,,,,-4.86677,13.12131,-0.90307,50,5.8796,6.56003,-130.69794,-3.21625,-8.28457,31.62611,-9.83814,WAK_DEA,NOT_IRI,David F. Couch,D1,ACC,20250307-David F. Couch-1,36231100-fba8-11ef-8e1b-0b26c382742d,89.38876,,,9.13464,,,,,,,d8570e2b-f8e9-4dbb-8582-875de7fbab47,2025-03-07,23:02:14.30,2025-03-07T18:02:14.3004160-05:00,2025-03-07T23:02:14.3004160Z,,v3,471484,225,,"Keenan, Jimmy",1000115564,Right,WAK_DEA,fb76d8b7-8e7a-43a3-ab8d-91dbf352aae5,54.14169,-131.69633,15.81305,5.97623,-2.90568,-4.91907,-1.11429,6.82157,-4.14228,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2025-03-07,18:02:24.90,1,2,"Lunceford, Logan",702583,Right,WAK_DEA,"Zimbardo, Jared",1000120922,Right,NOT_IRI,Undefined,1,Top,0,1,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,91.05675,-1.053239,-2.30042,2286.3121,206.26896,1:00,5.8386,1.24118,6.00104,-10.62296,23.46234,10.96371,3.97656,0.02217,81.79763,-3.180783,-0.330916,0.420199,,,,,,,,,,,,-6.29945,12.66934,-1.06576,50,5.74957,4.81107,-131.96464,-2.62123,-10.93768,32.11314,-10.17643,WAK_DEA,NOT_IRI,David F. Couch,D1,ACC,20250307-David F. Couch-1,3ceac0f0-fba8-11ef-8e1b-0b26c382742d,89.7014,,,9.25912,,,,,,,d8570e2b-f8e9-4dbb-8582-875de7fbab47,2025-03-07,23:02:24.90,2025-03-07T18:02:24.9035264-05:00,2025-03-07T23:02:24.9035264Z,,v3,471484,225,,"Keenan, Jimmy",1000115564,Right,WAK_DEA,bf72c4c3-1396-4d60-9060-fad61260546d,54.49299,-133.0535,16.05657,5.8326,-2.27618,-5.08822,-1.23518,5.18194,-5.46884,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2025-03-07,18:02:35.61,1,3,"Lunceford, Logan",702583,Right,WAK_DEA,"Zimbardo, Jared",1000120922,Right,NOT_IRI,Undefined,1,Top,0,2,0,ChangeUp,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,77.66823,-0.106105,-0.988111,1087.099375,249.613492,2:15,5.76484,1.45855,6.42176,-40.50026,5.74957,10.81465,2.29227,1.45138,70.02276,-7.71372,0.974976,0.48947,,,,,,,,,,,,-5.92307,3.59536,-1.39232,50,5.73971,1.55571,-112.70329,-1.33723,-7.45428,24.59526,-27.64925,WAK_DEA,NOT_IRI,David F. Couch,D1,ACC,20250307-David F. Couch-1,42a609f0-fba8-11ef-8e1b-0b26c382742d,77.00659,,,7.64547,,,,,,,d8570e2b-f8e9-4dbb-8582-875de7fbab47,2025-03-07,23:02:35.61,2025-03-07T18:02:35.6184576-05:00,2025-03-07T23:02:35.6184576Z,,v3,471484,225,,"Keenan, Jimmy",1000115564,Right,WAK_DEA,2238fe41-4f27-4d47-bb63-5b19ea734be7,54.07285,-113.58863,12.29763,5.76994,-0.34196,-13.82462,-1.45315,1.82403,-3.72714,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2025-03-07,18:02:48.02,1,4,"Lunceford, Logan",702583,Right,WAK_DEA,"Zimbardo, Jared",1000120922,Right,NOT_IRI,Undefined,1,Top,0,3,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,90.30997,-2.235115,-3.286838,2299.661011,201.904651,12:45,5.95664,1.31651,6.12088,-8.83209,25.65702,9.81225,3.14986,-0.90776,81.35809,-4.039636,-1.522972,0.422681,,,,,,,,,,,,-6.06835,14.26119,-1.06949,50,5.78031,7.09141,-130.7835,-5.23028,-10.37394,30.9223,-7.79433,WAK_DEA,NOT_IRI,David F. Couch,D1,ACC,20250307-David F. Couch-1,49ff7290-fba8-11ef-8e1b-0b26c382742d,89.17473,,,8.95188,,,,,,,d8570e2b-f8e9-4dbb-8582-875de7fbab47,2025-03-07,23:02:48.02,2025-03-07T18:02:48.0292864-05:00,2025-03-07T23:02:48.0292864Z,,v3,471484,225,,"Keenan, Jimmy",1000115564,Right,WAK_DEA,c73e3c1e-7a5a-4ed5-bda9-d80bb6572a0b,54.37496,-131.81385,15.46115,5.95026,-4.97057,-3.89717,-1.31154,7.43708,-5.18697,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2025-03-07,18:02:58.28,1,5,"Lunceford, Logan",702583,Right,WAK_DEA,"Zimbardo, Jared",1000120922,Right,NOT_IRI,Undefined,1,Top,0,3,1,ChangeUp,Changeup,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,78.34871,-2.36774,-2.208624,1232.479491,223.970427,1:30,5.76798,1.50126,6.56888,-32.82982,12.42623,10.33796,0.85889,0.33719,70.80904,-8.56963,-0.327678,0.484183,,,,,,,,,,,,-6.21083,7.81882,-1.35351,50,5.59133,4.03303,-113.59763,-5.54048,-7.94418,24.91096,-22.17312,WAK_DEA,NOT_IRI,David F. Couch,D1,ACC,20250307-David F. Couch-1,50203420-fba8-11ef-8e1b-0b26c382742d,77.84747,,,7.53967,,,,,,,d8570e2b-f8e9-4dbb-8582-875de7fbab47,2025-03-07,23:02:58.28,2025-03-07T18:02:58.2893568-05:00,2025-03-07T23:02:58.2893568Z,,v3,471484,225,,"Keenan, Jimmy",1000115564,Right,WAK_DEA,403605cc-080d-418c-b9e9-7beb34588f79,53.92812,-114.4558,12.45548,5.76904,-4.77664,-11.08656,-1.49716,4.3067,-3.97209,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2025-03-07,18:03:11.57,1,6,"Lunceford, Logan",702583,Right,WAK_DEA,"Zimbardo, Jared",1000120922,Right,NOT_IRI,Undefined,1,Top,0,3,2,Fastball,Four-Seam,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,,90.60748,-1.369274,-1.822888,2280.112973,193.792541,12:30,5.98257,1.12936,6.05614,-8.53567,25.96592,6.05189,4.00296,-0.05417,81.04443,-3.134529,-0.734366,0.422757,,,,,,,,,,,,-3.69264,14.11135,-0.99072,50,5.8712,3.91088,-131.28231,-3.22996,-6.3134,33.06396,-8.0474,WAK_DEA,NOT_IRI,David F. Couch,D1,ACC,20250307-David F. Couch-1,57ff95a0-fba8-11ef-8e1b-0b26c382742d,89.15861,,,9.56304,,,,,,,d8570e2b-f8e9-4dbb-8582-875de7fbab47,2025-03-07,23:03:11.57,2025-03-07T18:03:11.5720000-05:00,2025-03-07T23:03:11.5720000Z,,v3,471484,225,,"Keenan, Jimmy",1000115564,Right,WAK_DEA,a8d6d644-8a3c-481b-9748-215f845548bb,54.43719,-132.39512,16.53198,5.97535,-2.95911,-4.0237,-1.12592,4.12336,-3.1567,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.72526,,,0.943628,,,,0.56198,4.9822,-2.0162,73.76137,4.52657,-51.01599,0.56489,81.48509,-4.15222,5.01993,14.05765,-15.48031,-2.08578,-61.47257,10.24522,High,High,High,,,High,Medium,Medium
7,2025-03-07,18:03:39.21,2,1,"Lunceford, Logan",702583,Right,WAK_DEA,"Brzustewicz, Parker",1000107859,Right,NOT_IRI,Undefined,1,Top,1,0,0,Curveball,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,75.6513,-0.380439,-1.687945,2219.324407,18.681013,6:30,6.02745,1.12362,5.68021,-62.3622,-12.36957,-4.77587,0.47581,-0.84828,69.16664,-11.712486,-2.545441,0.508891,,,,,,,,,,,,1.88768,-5.79953,-0.97826,50,5.95581,3.40652,-109.76838,-2.71965,2.25816,22.9691,-39.11182,WAK_DEA,NOT_IRI,David F. Couch,D1,ACC,20250307-David F. Couch-1,68857930-fba8-11ef-8e1b-0b26c382742d,74.06787,,,6.48466,,,,,,,d8570e2b-f8e9-4dbb-8582-875de7fbab47,2025-03-07,23:03:39.21,2025-03-07T18:03:39.2168448-05:00,2025-03-07T23:03:39.2168448Z,,v3,471484,225,,"Keenan, Jimmy",1000115564,Right,WAK_DEA,73be522f-7624-4b20-b040-3c7a75cdcbf5,54.82153,-110.7727,11.48455,6.03734,-1.0095,-19.55591,-1.12505,3.30778,1.12908,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2025-03-07,18:03:51.73,2,2,"Lunceford, Logan",702583,Right,WAK_DEA,"Brzustewicz, Parker",1000107859,Right,NOT_IRI,Undefined,1,Top,1,1,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,91.8612,-2.861725,-2.586066,2209.320674,201.854322,12:45,5.92741,1.16043,5.90358,-10.67839,22.72615,8.65189,2.37616,-0.52079,83.33274,-4.965493,-1.035342,0.415982,,,,,,,,,,,,-5.19016,12.81635,-0.95746,50,5.69103,5.63152,-133.09062,-6.8965,-9.24669,30.35757,-9.34074,WAK_DEA,NOT_IRI,David F. Couch,D1,ACC,20250307-David F. Couch-1,6ff2b7f0-fba8-11ef-8e1b-0b26c382742d,90.61082,,,8.52845,,,,,,,d8570e2b-f8e9-4dbb-8582-875de7fbab47,2025-03-07,23:03:51.73,2025-03-07T18:03:51.7321216-05:00,2025-03-07T23:03:51.7321216Z,,v3,471484,225,,"Keenan, Jimmy",1000115564,Right,WAK_DEA,fcf56715-41e4-4f6c-a604-0b4a8b2aafc6,54.5936,-134.13432,15.17878,5.92261,-6.57536,-4.67037,-1.15654,5.94942,-4.62335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2025-03-07,18:04:03.66,2,3,"Lunceford, Logan",702583,Right,WAK_DEA,"Brzustewicz, Parker",1000107859,Right,NOT_IRI,Undefined,1,Top,1,1,1,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,92.04254,-2.302448,-3.274072,2251.703976,209.95281,1:00,5.86074,1.12411,6.04685,-12.36721,20.87942,11.34603,2.69396,-0.96474,83.10571,-4.725409,-1.236464,0.414997,,,,,,,,,,,,-6.81071,11.76938,-0.87479,50,5.67433,7.1254,-133.29052,-5.65772,-12.11621,31.62796,-11.23637,WAK_DEA,NOT_IRI,David F. Couch,D1,ACC,20250307-David F. Couch-1,77124be0-fba8-11ef-8e1b-0b26c382742d,90.82576,,,8.93682,,,,,,,d8570e2b-f8e9-4dbb-8582-875de7fbab47,2025-03-07,23:04:03.66,2025-03-07T18:04:03.6665856-05:00,2025-03-07T23:04:03.6665856Z,,v3,471484,225,,"Keenan, Jimmy",1000115564,Right,WAK_DEA,4e6d4eb7-2d53-473c-b04f-89d854156458,54.449,-134.34206,15.81398,5.85623,-5.28414,-5.61819,-1.11839,7.52823,-6.0581,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2025-03-07,18:04:15.71,2,4,"Lunceford, Logan",702583,Right,WAK_DEA,"Brzustewicz, Parker",1000107859,Right,NOT_IRI,Undefined,1,Top,1,1,2,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,92.45896,-1.598258,-1.395448,2313.563502,201.199544,12:45,5.93657,1.419,6.28897,-10.09816,22.41887,8.25359,3.62137,0.82057,83.53698,-3.619722,0.096383,0.410419,,,,,,,,,,,,-4.67512,12.41453,-1.31981,50,5.81344,2.91222,-134.177,-3.92187,-8.43091,31.95882,-9.78626,WAK_DEA,NOT_IRI,David F. Couch,D1,ACC,20250307-David F. Couch-1,7e41be50-fba8-11ef-8e1b-0b26c382742d,91.83902,,,8.92198,,,,,,,d8570e2b-f8e9-4dbb-8582-875de7fbab47,2025-03-07,23:04:15.71,2025-03-07T18:04:15.7136384-05:00,2025-03-07T23:04:15.7136384Z,,v3,471484,225,,"Keenan, Jimmy",1000115564,Right,WAK_DEA,a91e3d70-ed4a-4fdd-aa52-f52fd906ecd5,54.20637,-135.17518,15.97941,5.93116,-3.61622,-4.89313,-1.41488,3.17555,-4.21546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
