PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-03-07,14:38:28.66,1,1,"O'Neill, Tyler",828468,Right,BUC_BIS,"Bear, Chris",10289909,Right,MAI_BLA,Undefined,1,Top,0,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,90.69986,-2.609732,-3.946218,2410.063786,188.614282,12:15,5.99456,1.53196,5.95066,-21.19076,12.80304,1.77882,1.80082,-1.98556,83.2678,-6.562529,-3.627768,0.419635,,,,,,,,,,,,-1.98043,7.60729,-1.21864,50,5.77449,8.98642,-131.36963,-6.68745,-3.46955,27.18149,-18.84684,BUC_BIS,MAI_BLA,DepewField,D1,PAT,20250307-DepewField-1,bedac910-fb8b-11ef-8007-25ad446531b7,89.82205,,,7.43206,,,,,,,1045193e-75df-4ca8-b08b-ddc974a918b8,2025-03-07,19:38:28.66,2025-03-07T14:38:28.6656000-05:00,2025-03-07T19:38:28.6656000Z,,v3,471249,471344,,"Nascimento, Luke",10109928,Right,BUC_BIS,9378c478-b23f-4622-85a7-471651752494,54.54722,-132.30715,13.59075,5.99394,-6.03741,-9.42342,-1.53065,9.10609,-1.73477,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2025-03-07,14:38:47.46,1,2,"O'Neill, Tyler",828468,Right,BUC_BIS,"Bear, Chris",10289909,Right,MAI_BLA,Undefined,1,Top,0,1,0,Cutter,Slider,StrikeCalled,Undefined,Undefined,Undefined,0,0,,82.12159,-1.533693,-1.439215,2261.624682,182.049667,12:00,5.71648,2.04257,5.33769,-31.03671,11.05386,0.35028,1.69045,0.72126,75.76674,-7.220766,-1.376959,0.466943,,,,,,,,,,,,-0.55484,6.32752,-1.91296,50,5.55581,2.98121,-119.22206,-4.24604,-0.80296,21.74646,-23.01698,BUC_BIS,MAI_BLA,DepewField,D1,PAT,20250307-DepewField-1,ca282830-fb8b-11ef-8007-25ad446531b7,80.72172,,,6.35485,,,,,,,1045193e-75df-4ca8-b08b-ddc974a918b8,2025-03-07,19:38:47.46,2025-03-07T14:38:47.4602496-05:00,2025-03-07T19:38:47.4602496Z,,v3,471249,471344,,"Nascimento, Luke",10109928,Right,BUC_BIS,4f8652c9-e3d9-45a7-a810-7170df5873fe,55.16205,-120.15995,10.87323,5.71753,-3.25337,-11.50849,-2.04228,3.01584,-0.40148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2025-03-07,14:39:01.87,1,3,"O'Neill, Tyler",828468,Right,BUC_BIS,"Bear, Chris",10289909,Right,MAI_BLA,Undefined,1,Top,0,1,1,Cutter,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,81.91364,0.786989,-2.080396,2212.968843,161.149577,11:15,5.8627,1.76783,5.25093,-34.55868,8.16237,-2.32602,3.72286,-0.38175,74.89183,-5.555461,-2.492421,0.470427,,,,,,,,,,,,0.57646,4.28181,-1.57514,50,5.90961,4.41366,-118.7844,0.42646,0.82335,22.81904,-26.0583,BUC_BIS,MAI_BLA,DepewField,D1,PAT,20250307-DepewField-1,d2a5c580-fb8b-11ef-8007-25ad446531b7,80.12388,,,7.02181,,,,,,,1045193e-75df-4ca8-b08b-ddc974a918b8,2025-03-07,19:39:01.87,2025-03-07T14:39:01.8785792-05:00,2025-03-07T19:39:01.8785792Z,,v3,471249,471344,,"Nascimento, Luke",10109928,Right,BUC_BIS,c1382247-2cb5-4ad2-adae-2092da70b5cc,55.24601,-119.78794,11.40952,5.86565,1.57246,-13.02915,-1.76845,4.37745,0.41167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2025-03-07,14:39:17.19,1,4,"O'Neill, Tyler",828468,Right,BUC_BIS,"Bear, Chris",10289909,Right,MAI_BLA,Undefined,1,Top,0,2,1,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,90.43274,-0.666224,-3.388896,2340.12605,208.732948,1:00,5.89345,1.77273,5.84649,-18.97958,15.47143,7.85449,3.6916,-0.72562,82.17617,-4.258591,-1.984087,0.422447,,,,,,,,,,,,-4.98217,8.43024,-1.50132,50,5.82811,7.41859,-131.07893,-2.11627,-8.62941,28.86244,-17.5724,BUC_BIS,MAI_BLA,DepewField,D1,PAT,20250307-DepewField-1,dbc4d2f0-fb8b-11ef-8007-25ad446531b7,89.22405,,,8.25657,,,,,,,1045193e-75df-4ca8-b08b-ddc974a918b8,2025-03-07,19:39:17.19,2025-03-07T14:39:17.1905536-05:00,2025-03-07T19:39:17.1905536Z,,v3,471249,471344,,"Nascimento, Luke",10109928,Right,BUC_BIS,ed342e29-66e2-4a42-93be-266ce645b162,54.65048,-132.09895,14.43122,5.89192,-1.49524,-8.7862,-1.76889,7.72356,-4.3147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2025-03-07,14:39:35.68,1,5,"O'Neill, Tyler",828468,Right,BUC_BIS,"Bear, Chris",10289909,Right,MAI_BLA,Undefined,1,Top,0,3,1,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,89.39586,-2.570077,-2.361475,2334.528516,219.082592,1:15,5.91233,1.58633,6.11354,-18.18658,17.35867,12.96099,2.01683,0.48172,79.95857,-6.07035,-0.026662,0.429104,,,,,,,,,,,,-7.49674,10.24406,-1.41172,50,5.7056,4.78993,-129.40218,-6.3134,-12.40112,33.14653,-15.22828,BUC_BIS,MAI_BLA,DepewField,D1,PAT,20250307-DepewField-1,e6e64010-fb8b-11ef-8007-25ad446531b7,87.83995,,,9.43729,,,,,,,1045193e-75df-4ca8-b08b-ddc974a918b8,2025-03-07,19:39:35.68,2025-03-07T14:39:35.6862464-05:00,2025-03-07T19:39:35.6862464Z,,v3,471249,471344,,"Nascimento, Luke",10109928,Right,BUC_BIS,550bea3c-938b-4a62-86fd-85f7afdd5fc5,54.3819,-130.51978,16.57326,5.90981,-5.79994,-7.61414,-1.58027,5.20806,-6.20056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2025-03-07,14:39:55.16,1,6,"O'Neill, Tyler",828468,Right,BUC_BIS,"Bear, Chris",10289909,Right,MAI_BLA,Undefined,1,Top,0,3,2,Fastball,Four-Seam,StrikeCalled,Strikeout,Undefined,Undefined,0,0,,89.66883,-2.489474,-3.180525,2236.605492,211.90898,1:00,5.80078,1.78024,6.17262,-20.29879,14.19379,8.148,1.80498,-0.48126,82.06926,-6.315991,-1.712824,0.422702,,,,,,,,,,,,-5.09937,8.37717,-1.54341,50,5.60164,6.89219,-130.02558,-6.27081,-8.72799,27.32071,-17.83585,BUC_BIS,MAI_BLA,DepewField,D1,PAT,20250307-DepewField-1,f287b2a0-fb8b-11ef-8007-25ad446531b7,89.17025,,,7.59957,,,,,,,1045193e-75df-4ca8-b08b-ddc974a918b8,2025-03-07,19:39:55.16,2025-03-07T14:39:55.1604224-05:00,2025-03-07T19:39:55.1604224Z,,v3,471249,471344,,"Nascimento, Luke",10109928,Right,BUC_BIS,9c01df62-021d-4324-82f2-f3f50f17b549,54.32573,-130.93134,13.66036,5.79973,-5.6795,-8.91792,-1.77671,7.18155,-4.36399,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2025-03-07,14:40:25.13,2,1,"O'Neill, Tyler",828468,Right,BUC_BIS,"Reynolds, Drew",1000120249,Left,MAI_BLA,Undefined,1,Top,1,0,0,Curveball,Curveball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,72.43985,1.905079,-0.009451,2427.894812,44.413728,7:30,5.92212,1.90377,4.81646,-67.48673,-11.88713,-13.36847,2.10349,0.78078,66.6985,-10.194689,-2.367615,0.53667,,,,,,,,,,,,6.57555,-5.87914,-1.89065,50,6.05259,0.53719,-105.10386,1.15388,7.32196,18.57143,-38.72052,BUC_BIS,MAI_BLA,DepewField,D1,PAT,20250307-DepewField-1,045187e0-fb8c-11ef-8007-25ad446531b7,70.23396,,,5.74135,,,,,,,1045193e-75df-4ca8-b08b-ddc974a918b8,2025-03-07,19:40:25.13,2025-03-07T14:40:25.1336704-05:00,2025-03-07T19:40:25.1336704Z,,v3,471249,471344,,"Nascimento, Luke",10109928,Right,BUC_BIS,d27884fe-05f8-4c82-b713-6a2ae0f78b3d,55.6869,-106.10395,9.28572,5.93431,3.23903,-19.36026,-1.90896,0.14289,3.66098,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2025-03-07,14:40:45.70,2,2,"O'Neill, Tyler",828468,Right,BUC_BIS,"Reynolds, Drew",1000120249,Left,MAI_BLA,Undefined,1,Top,1,0,1,Curveball,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,72.83677,1.409323,-0.039327,2553.386923,55.77064,7:45,5.93145,1.80493,4.83551,-67.25236,-12.08969,-20.40757,1.66188,0.06706,66.94577,-10.64581,-3.641789,0.534557,,,,,,,,,,,,10.07965,-5.91437,-1.78244,50,6.01266,0.86246,-105.67984,0.27117,11.29048,19.61195,-38.79887,BUC_BIS,MAI_BLA,DepewField,D1,PAT,20250307-DepewField-1,10b56010-fb8c-11ef-8007-25ad446531b7,70.51153,,,5.891,,,,,,,1045193e-75df-4ca8-b08b-ddc974a918b8,2025-03-07,19:40:45.70,2025-03-07T14:40:45.7005056-05:00,2025-03-07T19:40:45.7005056Z,,v3,471249,471344,,"Nascimento, Luke",10109928,Right,BUC_BIS,8dd1a39b-a828-46e7-9f7e-70ce52f6119a,55.66852,-106.72661,9.80597,5.94292,2.34203,-19.39944,-1.81239,0.25984,5.64524,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2025-03-07,14:41:02.34,2,3,"O'Neill, Tyler",828468,Right,BUC_BIS,"Reynolds, Drew",1000120249,Left,MAI_BLA,Undefined,1,Top,1,1,1,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,91.43344,-2.238714,-2.861564,2406.760224,191.438461,12:30,5.8615,1.76084,5.91065,-12.69824,21.95604,4.14209,2.72179,-0.55218,80.73297,-4.766892,-2.119497,0.423692,73.38757,15.518373,-174.068654,2209.043336,,,,60.29125,60.5026,-171.730957,1.449862,-3.21036,12.48103,-1.53343,50,5.67471,6.417,-132.09586,-5.45295,-5.47008,37.48103,-10.90778,BUC_BIS,MAI_BLA,DepewField,D1,PAT,20250307-DepewField-1,1a88c960-fb8c-11ef-8007-25ad446531b7,88.96198,10.31036,,10.70047,,,,2.07109,2.6092,0.54508,1045193e-75df-4ca8-b08b-ddc974a918b8,2025-03-07,19:41:02.34,2025-03-07T14:41:02.3486464-05:00,2025-03-07T19:41:02.3486464Z,LineDrive,v3,471249,471344,,"Nascimento, Luke",10109928,Right,BUC_BIS,7c930db1-4c1c-418b-8656-fefefd2f77c3,54.58209,-133.38965,18.74052,5.85644,-5.07643,-5.45389,-1.7582,6.60582,-2.73504,310.874408,2.0711,-103.1588,52.72946,-10.36016,3.43102,-2.12852,1.27056,-0.452,0.06781,2.60918,28.80158,-32.26071,11.60404,-5.20581,3.73951,-2.37693,0.88265,-0.13731,0.54509,-10.71742,3.87357,-0.83178,0.29296,-0.18999,0.11589,-0.04177,0.00633,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Medium,High,,,
10,2025-03-07,14:41:23.12,2,4,"O'Neill, Tyler",828468,Right,BUC_BIS,"Reynolds, Drew",1000120249,Left,MAI_BLA,Undefined,1,Top,1,1,2,Fastball,Four-Seam,StrikeCalled,Strikeout,Undefined,Undefined,0,0,,91.48391,-2.481809,-2.624495,2431.277533,200.675775,12:45,6.05757,1.61653,5.94856,-17.69686,15.83836,5.55422,2.27711,-0.35653,83.3298,-5.832987,-1.62778,0.416795,,,,,,,,,,,,-3.61414,9.18493,-1.4107,50,5.84991,5.83975,-132.61683,-6.29403,-6.40677,29.57863,-15.89195,BUC_BIS,MAI_BLA,DepewField,D1,PAT,20250307-DepewField-1,26ec2c60-fb8c-11ef-8007-25ad446531b7,90.43408,,,8.15412,,,,,,,1045193e-75df-4ca8-b08b-ddc974a918b8,2025-03-07,19:41:23.12,2025-03-07T14:41:23.1280000-05:00,2025-03-07T19:41:23.1280000Z,,v3,471249,471344,,"Nascimento, Luke",10109928,Right,BUC_BIS,5c14d53c-a1f5-4b6b-b0af-692126395612,54.54918,-133.62762,14.78931,6.05571,-5.75096,-7.94597,-1.614,6.05869,-3.20339,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.53642,3.044033,1.938125,1.105908,0.00296,2.13133,0.39637,-0.19432,5.96119,-0.67979,84.00382,8.22728,-40.77786,-0.11292,81.96307,-5.30788,6.03063,17.07187,-13.61362,-0.84809,-43.87039,6.96265,High,High,High,,,High,High,High
