PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-03-07,14:04:38.82,1,1,"Moore Jr., Tommy",1000217867,Right,MSM_MTN,"Ungar, Alex",10020190,Right,SAC_PIO,Undefined,1,Top,0,0,0,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,84.35756,-2.328338,-3.709152,2165.080591,210.077151,1:00,6.32928,1.85648,5.62886,-22.36769,18.33473,9.69245,2.28705,-0.80155,75.57195,-6.566344,-1.982626,0.459179,52.80497,7.354624,53.175394,4567.015745,,,,57.38475,54.32425,55.198986,0.783766,-6.17465,10.53477,-1.54662,50,6.11674,7.49235,-121.86822,-5.62756,-9.07956,28.91751,-16.6831,MSM_MTN,SAC_PIO,ETStrawFamilyStadium,D1,NEC,20250307-ETStrawFamilyStadium-1,050e8890-fb87-11ef-b78a-4f62de3009bd,82.08666,3.67309,,8.78561,,,,0.5282,2.19488,0.78728,a14edb53-d16c-498e-ac55-07358030c41b,2025-03-07,19:04:38.82,2025-03-07T14:04:38.8283904-05:00,2025-03-07T19:04:38.8283904Z,GroundBall,v3,471367,471423,,"Agar, Joey",1000224350,Right,MSM_MTN,64bb8a33-b58b-4a51-bb85-a8813c09b423,54.86555,-123.01732,14.45876,6.32719,-4.96462,-8.34155,-1.85152,7.85315,-4.53978,263.593348,0.5282,46.03741,-6.89892,0.95094,-0.23103,0.02217,0.01142,-0.01168,0.00385,2.19488,9.91403,-16.8907,0.93891,-0.1343,0.03385,-0.00356,0.00037,-0.0001,0.78728,61.4844,-3.12317,0.14148,-0.0085,-0.00876,0.0017,0.00034,-0.0002,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
2,2025-03-07,14:04:58.13,1,2,"Moore Jr., Tommy",1000217867,Right,MSM_MTN,"Ungar, Alex",10020190,Right,SAC_PIO,Undefined,1,Top,0,0,1,Fastball,Four-Seam,InPlay,Undefined,Popup,Out,1,0,,84.29271,-2.517693,-2.405424,2106.005555,208.410453,1:00,6.78359,1.63646,5.63937,-21.04631,19.48324,9.70142,2.67743,0.19961,75.78895,-6.51311,-0.673573,0.458202,58.81727,70.260729,30.733322,,,,,95.50601,84.08581,46.015548,4.599134,-5.72555,11.16056,-1.43838,50,6.55647,4.71928,-121.9593,-5.97887,-8.45858,28.26506,-15.68608,MSM_MTN,SAC_PIO,ETStrawFamilyStadium,D1,NEC,20250307-ETStrawFamilyStadium-1,109483e0-fb87-11ef-b78a-4f62de3009bd,82.26156,87.84011,,8.50377,,,,1.27351,3.22669,-0.61075,a14edb53-d16c-498e-ac55-07358030c41b,2025-03-07,19:04:58.13,2025-03-07T14:04:58.1349888-05:00,2025-03-07T19:04:58.1349888Z,Popup,v3,471367,471423,,"Agar, Joey",1000224350,Right,MSM_MTN,0ee641d9-d19a-48d0-9d90-8651391f3480,54.85602,-123.07958,14.13253,6.78112,-5.35715,-7.84304,-1.63207,5.05453,-4.22929,,1.27177,25.05295,-7.07202,1.62938,0.31911,-0.40658,0.14189,-0.02261,0.00138,3.21807,81.39277,-23.56563,3.69836,-1.72331,0.65301,-0.15081,0.01813,-0.00087,-0.60767,14.83622,1.41063,-0.75194,0.08875,0.07961,-0.04214,0.00801,-0.00054,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Medium,Low,,,
3,2025-03-07,14:05:33.64,2,1,"Moore Jr., Tommy",1000217867,Right,MSM_MTN,"Link, Peter",10147930,Right,SAC_PIO,Undefined,1,Top,1,0,0,ChangeUp,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,81.40154,4.127507,-3.235172,2180.114722,1.597735,6:00,4.12743,1.46281,6.36862,-74.29744,-34.46553,-0.98398,1.74659,-1.59922,78.10657,-9.375868,-3.413596,0.454242,,,,,,,,,,,,0.00441,-18.57206,-1.22847,50,4.3912,6.74201,-118.69728,6.22673,0.00655,13.54317,-59.8085,MSM_MTN,SAC_PIO,ETStrawFamilyStadium,D1,NEC,20250307-ETStrawFamilyStadium-1,25a4d190-fb87-11ef-b78a-4f62de3009bd,82.97883,,,3.29496,,,,,,,a14edb53-d16c-498e-ac55-07358030c41b,2025-03-07,19:05:33.64,2025-03-07T14:05:33.6471040-05:00,2025-03-07T19:05:33.6471040Z,,v3,471367,471423,,"Agar, Joey",1000224350,Right,MSM_MTN,5c32b723-3996-434d-ad9c-63cf06601e0d,54.14796,-119.16961,6.77159,4.13766,8.31263,-29.90425,-1.4636,6.74178,0.00327,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Medium,High,Medium,,,,,
4,2025-03-07,14:05:49.47,2,2,"Moore Jr., Tommy",1000217867,Right,MSM_MTN,"Link, Peter",10147930,Right,SAC_PIO,Undefined,1,Top,1,1,0,ChangeUp,Changeup,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,77.19715,-0.266243,-2.745859,2132.454433,241.347063,2:00,6.29048,2.01175,5.93543,-37.76156,10.45245,15.53162,2.89639,0.75672,68.85435,-7.354999,0.043831,0.499756,,,,,,,,,,,,-8.98689,5.99445,-1.80137,50,6.24834,4.78354,-111.72914,-1.60823,-11.01035,25.90171,-24.82989,MSM_MTN,SAC_PIO,ETStrawFamilyStadium,D1,NEC,20250307-ETStrawFamilyStadium-1,2f3342a0-fb87-11ef-b78a-4f62de3009bd,75.42169,,,8.3428,,,,,,,a14edb53-d16c-498e-ac55-07358030c41b,2025-03-07,19:05:49.47,2025-03-07T14:05:49.4712832-05:00,2025-03-07T19:05:49.4712832Z,,v3,471367,471423,,"Agar, Joey",1000224350,Right,MSM_MTN,cfdbad8f-ef79-408b-a0e7-d71aa1618891,54.55966,-112.78123,12.95085,6.29318,-0.59968,-12.41494,-2.00476,5.23076,-5.50518,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2025-03-07,14:06:12.71,2,3,"Moore Jr., Tommy",1000217867,Right,MSM_MTN,"Link, Peter",10147930,Right,SAC_PIO,Undefined,1,Top,1,1,1,ChangeUp,Changeup,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,76.29859,0.355302,-2.67089,2005.83014,238.180078,2:00,6.37105,1.86826,6.09634,-38.74494,9.98253,13.05887,3.47129,0.48438,68.44694,-6.92322,-0.319326,0.50241,,,,,,,,,,,,-7.64611,5.56185,-1.66922,50,6.37844,4.68505,-110.52843,-0.39754,-9.23358,24.06968,-25.45745,MSM_MTN,SAC_PIO,ETStrawFamilyStadium,D1,NEC,20250307-ETStrawFamilyStadium-1,3d0c7cc0-fb87-11ef-b78a-4f62de3009bd,75.02328,,,7.85165,,,,,,,a14edb53-d16c-498e-ac55-07358030c41b,2025-03-07,19:06:12.71,2025-03-07T14:06:12.7147008-05:00,2025-03-07T19:06:12.7147008Z,,v3,471367,471423,,"Agar, Joey",1000224350,Right,MSM_MTN,5adc79db-8316-4373-b8d8-b7756f0eadc0,54.39878,-111.48223,12.03484,6.3742,0.61126,-12.72872,-1.86213,5.05095,-4.61679,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2025-03-07,14:06:37.00,2,4,"Moore Jr., Tommy",1000217867,Right,MSM_MTN,"Link, Peter",10147930,Right,SAC_PIO,Undefined,1,Top,1,1,2,Fastball,Four-Seam,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,,88.8326,-3.580606,-2.672678,2318.486887,184.452677,12:15,6.86248,1.51754,6.07257,-9.28221,26.45297,1.9585,2.76782,-0.79414,80.23636,-5.457947,-2.3208,0.430248,,,,,,,,,,,,-1.84051,15.08808,-1.31156,50,6.57958,5.91838,-128.55026,-8.18601,-3.04255,29.65978,-7.23218,MSM_MTN,SAC_PIO,ETStrawFamilyStadium,D1,NEC,20250307-ETStrawFamilyStadium-1,4b7d6300-fb87-11ef-b78a-4f62de3009bd,87.60621,,,8.59625,,,,,,,a14edb53-d16c-498e-ac55-07358030c41b,2025-03-07,19:06:37.00,2025-03-07T14:06:37.0043904-05:00,2025-03-07T19:06:37.0043904Z,,v3,471367,471423,,"Agar, Joey",1000224350,Right,MSM_MTN,669c8952-ab12-44b4-a7ce-80b7e013d83f,54.42285,-129.5667,14.82989,6.85587,-7.93816,-3.61609,-1.51617,6.02264,-1.52128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2025-03-07,14:07:05.94,3,1,"Moore Jr., Tommy",1000217867,Right,MSM_MTN,"Donahue, Gavin",1000302007,Right,SAC_PIO,Undefined,1,Top,2,0,0,Fastball,Four-Seam,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,85.63942,-2.101298,-2.996286,2226.499277,189.214968,12:15,6.65988,1.79231,5.73812,-17.95631,20.9017,3.16543,3.20331,-0.73648,77.45741,-5.531301,-2.431077,0.448654,,,,,,,,,,,,-2.52343,11.65548,-1.54461,50,6.47382,6.35326,-123.96162,-5.04433,-3.88368,27.30211,-14.23567,MSM_MTN,SAC_PIO,ETStrawFamilyStadium,D1,NEC,20250307-ETStrawFamilyStadium-1,5ca68b70-fb87-11ef-b78a-4f62de3009bd,84.01222,,,8.18201,,,,,,,a14edb53-d16c-498e-ac55-07358030c41b,2025-03-07,19:07:05.94,2025-03-07T14:07:05.9405824-05:00,2025-03-07T19:07:05.9405824Z,,v3,471367,471423,,"Agar, Joey",1000224350,Right,MSM_MTN,c9ffc878-5f4b-4343-9e08-1cd90dcac820,54.75587,-125.0047,13.65105,6.65615,-4.50046,-7.11783,-1.79017,6.50163,-1.94184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2025-03-07,14:07:23.09,3,2,"Moore Jr., Tommy",1000217867,Right,MSM_MTN,"Donahue, Gavin",1000302007,Right,SAC_PIO,Undefined,1,Top,2,0,1,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,87.84853,-3.472247,-3.846951,2297.431941,206.424492,1:00,6.54999,2.15654,5.58205,-17.29194,20.31375,9.36426,1.85501,-0.66112,78.81128,-6.777421,-2.181279,0.441365,,,,,,,,,,,,-5.98902,11.82631,-1.83155,50,6.23968,8.10644,-126.76943,-8.20113,-9.55539,30.63973,-13.30529,MSM_MTN,SAC_PIO,ETStrawFamilyStadium,D1,NEC,20250307-ETStrawFamilyStadium-1,66f6c5e0-fb87-11ef-b78a-4f62de3009bd,85.39965,,,9.03725,,,,,,,a14edb53-d16c-498e-ac55-07358030c41b,2025-03-07,19:07:23.09,2025-03-07T14:07:23.0906880-05:00,2025-03-07T19:07:23.0906880Z,,v3,471367,471423,,"Agar, Joey",1000224350,Right,MSM_MTN,da2734b5-905a-4f7e-ab3b-a5c91a0511eb,54.91167,-127.95105,15.31987,6.54607,-7.68801,-6.65264,-2.15128,8.47494,-4.7777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2025-03-07,14:07:39.96,3,3,"Moore Jr., Tommy",1000217867,Right,MSM_MTN,"Donahue, Gavin",1000302007,Right,SAC_PIO,Undefined,1,Top,2,1,1,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,86.58581,-3.876451,-1.664018,2246.342329,212.047745,1:00,6.75845,1.88013,5.65265,-17.47477,21.00521,12.21642,1.67979,1.34578,77.84127,-7.215428,0.519062,0.446467,,,,,,,,,,,,-6.74965,12.37808,-1.74705,50,6.41883,3.11287,-125.16902,-8.97242,-10.49657,29.92152,-12.92459,MSM_MTN,SAC_PIO,ETStrawFamilyStadium,D1,NEC,20250307-ETStrawFamilyStadium-1,7107fb80-fb87-11ef-b78a-4f62de3009bd,84.42387,,,8.74454,,,,,,,a14edb53-d16c-498e-ac55-07358030c41b,2025-03-07,19:07:39.96,2025-03-07T14:07:39.9698432-05:00,2025-03-07T19:07:39.9698432Z,,v3,471367,471423,,"Agar, Joey",1000224350,Right,MSM_MTN,41a7921a-587a-49bd-804b-8f5785a65513,54.84272,-126.32136,14.96076,6.75479,-8.47467,-6.46229,-1.87472,3.51712,-5.24828,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2025-03-07,14:07:56.91,3,4,"Moore Jr., Tommy",1000217867,Right,MSM_MTN,"Donahue, Gavin",1000302007,Right,SAC_PIO,Undefined,1,Top,2,2,1,ChangeUp,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,80.3186,-3.056165,-5.373974,2142.07151,223.832217,1:30,6.28834,1.89894,5.8547,-25.29454,19.50615,16.9841,1.32566,-1.69351,71.92006,-7.851409,-2.34433,0.481741,,,,,,,,,,,,-10.41001,11.50213,-1.4708,50,6.02443,10.20316,-115.71923,-6.89314,-13.79792,26.12558,-16.92859,MSM_MTN,SAC_PIO,ETStrawFamilyStadium,D1,NEC,20250307-ETStrawFamilyStadium-1,7b0e82c0-fb87-11ef-b78a-4f62de3009bd,78.24211,,,8.39854,,,,,,,a14edb53-d16c-498e-ac55-07358030c41b,2025-03-07,19:07:56.91,2025-03-07T14:07:56.9184768-05:00,2025-03-07T19:07:56.9184768Z,,v3,471367,471423,,"Agar, Joey",1000224350,Right,MSM_MTN,74e0fc30-50cf-42fa-99f3-534910181569,54.63806,-116.76165,13.06279,6.286,-6.21768,-8.46429,-1.88889,10.7537,-6.89896,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
