PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-03-07,16:05:42.67,1,1,"Garner, Seth",811671,Right,MT,"Brome, Ryan",800757,Left,SOU_LIO,Undefined,1,Top,0,0,0,Fastball,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,,93.32588,-1.897937,-2.292169,2354.626867,235.232311,1:45,5.80279,1.57553,5.73394,-18.59422,14.21103,18.73206,2.48378,1.00085,84.01452,-5.420242,1.059244,0.412233,,,,,,,,,,,,-10.18501,8.17721,-1.39579,50,5.63332,4.53599,-135.18101,-5.09002,-18.54805,33.82272,-17.28239,MT,SOU_LIO,FedExPark,D1,AMER,20250307-FedExPark-1,504960a0-fba0-11ef-8f60-8f776b91b7f7,91.43475,,,9.31135,,,,,,,fe43a7c2-dd33-4b12-9db1-02fa8f42da79,2025-03-07,22:05:42.67,2025-03-07T16:05:42.6745344-06:00,2025-03-07T22:05:42.6745344Z,,v3,471353,471445,,"Sutton, Jonah",803359,Right,MT,a6fae9c8-3ef4-4534-a00b-39415b164fa3,54.76183,-136.36723,16.91136,5.80121,-4.48389,-8.64119,-1.56628,5.1865,-9.27403,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2025-03-07,16:05:57.09,1,2,"Garner, Seth",811671,Right,MT,"Brome, Ryan",800757,Left,SOU_LIO,Undefined,1,Top,0,0,1,ChangeUp,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,86.44605,-2.227749,-4.068006,1969.954184,264.089345,2:45,5.60492,1.8427,6.10821,-33.93403,3.10914,19.21359,0.71084,-0.3242,79.8052,-8.480722,-0.608169,0.438052,,,,,,,,,,,,-11.10028,2.49606,-1.54026,50,5.41535,8.18236,-125.39031,-5.99981,-17.75406,24.26021,-28.1818,MT,SOU_LIO,FedExPark,D1,AMER,20250307-FedExPark-1,58e5f7a0-fba0-11ef-8f60-8f776b91b7f7,86.04562,,,6.64085,,,,,,,fe43a7c2-dd33-4b12-9db1-02fa8f42da79,2025-03-07,22:05:57.09,2025-03-07T16:05:57.0902016-06:00,2025-03-07T22:05:57.0902016Z,,v3,471353,471445,,"Sutton, Jonah",803359,Right,MT,62f121c9-1fa8-4203-8a29-7c839dd2f46a,54.39393,-126.23758,12.13011,5.6077,-5.01558,-14.0909,-1.83684,8.80241,-8.87703,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2025-03-07,16:06:11.63,1,3,"Garner, Seth",811671,Right,MT,"Brome, Ryan",800757,Left,SOU_LIO,Undefined,1,Top,0,1,1,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,93.87828,-2.750311,-3.444817,2351.748551,231.054844,1:45,5.86583,1.44261,5.82343,-13.10753,19.41296,22.4643,2.21005,0.10821,84.06617,-5.307409,0.574843,0.41044,,,,,,,,,,,,-12.61875,11.18489,-1.17419,50,5.63301,7.14808,-135.77657,-6.88583,-23.07876,35.34678,-11.71765,MT,SOU_LIO,FedExPark,D1,AMER,20250307-FedExPark-1,61a92970-fba0-11ef-8f60-8f776b91b7f7,91.83413,,,9.81211,,,,,,,fe43a7c2-dd33-4b12-9db1-02fa8f42da79,2025-03-07,22:06:11.63,2025-03-07T16:06:11.6310528-06:00,2025-03-07T22:06:11.6310528Z,,v3,471353,471445,,"Sutton, Jonah",803359,Right,MT,a83d7996-e682-45c7-93e6-4754a55f3506,54.674,-136.98795,17.67339,5.86212,-6.48425,-5.85883,-1.43272,7.93903,-11.53938,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2025-03-07,16:06:25.30,1,4,"Garner, Seth",811671,Right,MT,"Brome, Ryan",800757,Left,SOU_LIO,Undefined,1,Top,0,1,2,Fastball,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,94.11284,-0.724959,-2.170208,2376.848465,227.977372,1:30,5.79426,1.73919,5.68645,-15.76091,16.51481,17.02068,3.80462,1.13384,84.59078,-3.744826,0.871188,0.408893,,,,,,,,,,,,-9.23721,8.92103,-1.5669,50,5.72354,4.35451,-136.36986,-2.21078,-17.1298,34.25016,-15.63055,MT,SOU_LIO,FedExPark,D1,AMER,20250307-FedExPark-1,69afc200-fba0-11ef-8f60-8f776b91b7f7,92.18172,,,9.52205,,,,,,,fe43a7c2-dd33-4b12-9db1-02fa8f42da79,2025-03-07,22:06:25.30,2025-03-07T16:06:25.3057536-06:00,2025-03-07T22:06:25.3057536Z,,v3,471353,471445,,"Sutton, Jonah",803359,Right,MT,2cb4e266-ce48-42dc-a512-fc4d6fe1d726,54.80845,-137.57224,17.12508,5.79152,-1.66206,-7.81528,-1.73032,4.95586,-8.5649,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2025-03-07,16:06:39.38,1,5,"Garner, Seth",811671,Right,MT,"Brome, Ryan",800757,Left,SOU_LIO,Undefined,1,Top,0,2,2,ChangeUp,Changeup,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,,86.95352,-1.814677,-4.089488,1873.821131,279.792009,3:15,5.58822,1.81093,6.07675,-39.55238,-2.49465,21.64733,0.60831,-0.17537,79.4804,-9.091465,-0.190086,0.438138,,,,,,,,,,,,-12.52583,-0.45827,-1.50612,50,5.42624,8.16826,-126.03984,-5.33869,-19.98648,27.55118,-32.90528,MT,SOU_LIO,FedExPark,D1,AMER,20250307-FedExPark-1,72291990-fba0-11ef-8f60-8f776b91b7f7,86.02873,,,7.47312,,,,,,,fe43a7c2-dd33-4b12-9db1-02fa8f42da79,2025-03-07,22:06:39.38,2025-03-07T16:06:39.3832448-06:00,2025-03-07T22:06:39.3832448Z,,v3,471353,471445,,"Sutton, Jonah",803359,Right,MT,89f41e3c-38c5-4a2b-926e-c9168ed24e54,54.42535,-127.0035,13.77559,5.59284,-4.18776,-16.45264,-1.80405,8.86733,-9.99324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2025-03-07,16:07:07.85,2,1,"Garner, Seth",811671,Right,MT,"Walters, Logan",1000306939,Right,SOU_LIO,Undefined,1,Top,1,0,0,Slider,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,84.82056,-1.013754,-1.771243,1730.84413,62.737395,8:00,5.98892,1.27728,5.64898,-42.89971,-3.10236,-8.74811,1.46785,-1.10432,77.04541,-8.85957,-3.336554,0.454044,,,,,,,,,,,,3.83689,-0.77984,-1.12155,50,5.87611,4.17179,-122.95676,-3.71885,5.77637,28.15395,-33.3481,MT,SOU_LIO,FedExPark,D1,AMER,20250307-FedExPark-1,83317390-fba0-11ef-8f60-8f776b91b7f7,83.01486,,,7.77515,,,,,,,fe43a7c2-dd33-4b12-9db1-02fa8f42da79,2025-03-07,22:07:07.85,2025-03-07T16:07:07.8571008-06:00,2025-03-07T22:07:07.8571008Z,,v3,471353,471445,,"Sutton, Jonah",803359,Right,MT,2de8a9cf-5f1c-4e5c-86e7-142cc5899fd4,54.84809,-124.06188,14.07698,5.99639,-2.40984,-16.67405,-1.28085,3.94505,2.88819,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2025-03-07,16:07:21.87,2,2,"Garner, Seth",811671,Right,MT,"Walters, Logan",1000306939,Right,SOU_LIO,Undefined,1,Top,1,1,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,93.14881,-2.3147,-2.640978,2297.387579,220.830704,1:15,5.91101,1.32054,5.78631,-15.30875,17.23942,13.94788,2.4784,0.02417,84.68592,-5.2326,-0.145062,0.410615,,,,,,,,,,,,-7.83933,9.77166,-1.1111,50,5.71088,5.5923,-135.0108,-5.92497,-14.40315,30.6547,-14.22068,MT,SOU_LIO,FedExPark,D1,AMER,20250307-FedExPark-1,8b77fb50-fba0-11ef-8f60-8f776b91b7f7,91.79511,,,8.46289,,,,,,,fe43a7c2-dd33-4b12-9db1-02fa8f42da79,2025-03-07,22:07:21.87,2025-03-07T16:07:21.8773504-06:00,2025-03-07T22:07:21.8773504Z,,v3,471353,471445,,"Sutton, Jonah",803359,Right,MT,42924004-bbe0-464d-b223-9eae1738e3b2,54.71082,-136.0762,15.32735,5.90821,-5.43073,-7.11034,-1.31416,6.09288,-7.20158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2025-03-07,16:07:37.65,2,3,"Garner, Seth",811671,Right,MT,"Walters, Logan",1000306939,Right,SOU_LIO,Undefined,1,Top,1,1,1,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,93.03801,-0.716828,-1.61387,2343.963205,222.629606,1:30,6.04664,1.12363,5.60414,-18.83111,13.88509,11.79957,3.80792,0.59998,84.69722,-4.256309,0.492257,0.411673,,,,,,,,,,,,-6.40402,7.54725,-0.99317,50,5.97326,3.25579,-135.01361,-2.33107,-11.78733,30.17334,-18.28255,MT,SOU_LIO,FedExPark,D1,AMER,20250307-FedExPark-1,94ee0260-fba0-11ef-8f60-8f776b91b7f7,91.55908,,,8.34079,,,,,,,fe43a7c2-dd33-4b12-9db1-02fa8f42da79,2025-03-07,22:07:37.65,2025-03-07T16:07:37.6569344-06:00,2025-03-07T22:07:37.6569344Z,,v3,471353,471445,,"Sutton, Jonah",803359,Right,MT,286c377e-9a61-44bf-89eb-80b2952aa677,54.89284,-136.10269,15.08667,6.04549,-1.67118,-9.14127,-1.11836,3.68124,-5.89366,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2025-03-07,16:07:53.10,2,4,"Garner, Seth",811671,Right,MT,"Walters, Logan",1000306939,Right,SOU_LIO,Undefined,1,Top,1,2,1,Slider,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,82.20993,-1.001706,-1.953377,2328.47328,66.090901,8:15,5.98406,1.16515,5.75921,-46.69747,-4.55579,-13.55816,1.15958,-1.78359,74.9731,-9.531758,-4.384227,0.467226,,,,,,,,,,,,6.26351,-1.54047,-0.99505,50,5.87299,4.60747,-119.22964,-3.68611,8.87183,26.34922,-34.35603,MT,SOU_LIO,FedExPark,D1,AMER,20250307-FedExPark-1,9e355850-fba0-11ef-8f60-8f776b91b7f7,80.67275,,,7.23682,,,,,,,fe43a7c2-dd33-4b12-9db1-02fa8f42da79,2025-03-07,22:07:53.10,2025-03-07T16:07:53.1028480-06:00,2025-03-07T22:07:53.1028480Z,,v3,471353,471445,,"Sutton, Jonah",803359,Right,MT,5d598690-9144-491c-beb1-4fbf25634c88,54.73951,-120.27249,13.17461,5.99197,-2.32637,-17.17801,-1.17045,4.25634,4.43592,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2025-03-07,16:08:08.35,2,5,"Garner, Seth",811671,Right,MT,"Walters, Logan",1000306939,Right,SOU_LIO,Undefined,1,Top,1,3,1,Fastball,Sinker,InPlay,Undefined,GroundBall,Single,0,0,,92.12688,-2.142396,-2.261193,2315.902,225.074552,1:30,5.89489,1.38156,5.89388,-16.75166,16.4517,15.34812,2.50735,0.56009,83.57858,-5.332231,0.492391,0.414727,96.38666,-7.660699,-30.574321,,,,,21.85557,18.69822,-30.119641,0.145488,-8.57,9.41548,-1.20843,50,5.71273,4.60879,-133.59654,-5.51078,-15.35886,31.03245,-15.29999,MT,SOU_LIO,FedExPark,D1,AMER,20250307-FedExPark-1,a73dd080-fba0-11ef-8f60-8f776b91b7f7,90.88494,2.76301,,8.54831,,,,1.46628,2.76301,-0.55526,fe43a7c2-dd33-4b12-9db1-02fa8f42da79,2025-03-07,22:08:08.35,2025-03-07T16:08:08.3535872-06:00,2025-03-07T22:08:08.3535872Z,GroundBall,v3,471353,471445,,"Sutton, Jonah",803359,Right,MT,e1eaea9d-f7e3-4cd0-887d-a28b5636e20f,54.6046,-134.66187,15.51623,5.8929,-4.98554,-7.64999,-1.3757,5.13605,-7.67943,159.957084,1.46631,120.62345,-5.24464,,,,,,,2.76295,-18.8397,-1.03641,,,,,,,-0.55524,-71.26724,-2.05629,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Medium,Low,,,
