PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-03-07,15:04:26.53,1,1,"Dowd, Aidan",1000142838,Right,FOR_RAM,"Barr, Chris",823247,Left,ARM_BLA,Undefined,1,Top,0,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,0,88.22049,-1.276768,-3.249393,2224.916912,215.656807,1:15,5.91003,1.28261,5.52458,-18.42269,19.58036,12.8241,3.17906,-0.68977,77.36633,-4.848221,-0.968207,0.443691,,,,,,,,,,,,-7.61784,10.76579,-1.00804,50,5.78717,6.61537,-127.22998,-3.3553,-11.98728,35.81607,-15.23324,FOR_RAM,ARM_BLA,FordhamUniversity,D1,A10,20250307-FordhamUniversity-1,5f64c770-fb8f-11ef-a8c0-7f336323f923,84.95199,,,10.85415,,,,,,,460fbf6a-25a7-4fb0-8c31-f4656a56b743,2025-03-07,20:04:26.53,2025-03-07T15:04:26.5320448-05:00,2025-03-07T20:04:26.5320448Z,,v3,471298,4744,,"McAndrews, Thomas",1000092049,Right,FOR_RAM,c2c0592b-8ad3-4cb6-8332-c3d8dc00b04e,54.96251,-128.61938,17.90804,5.90587,-2.76437,-7.61662,-1.27368,7.08038,-5.99364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2025-03-07,15:04:40.69,1,2,"Dowd, Aidan",1000142838,Right,FOR_RAM,"Barr, Chris",823247,Left,ARM_BLA,Undefined,1,Top,0,1,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,0,89.71503,-2.397337,-1.525245,2315.986523,198.664256,12:30,5.89616,1.3484,5.41104,-16.32339,19.35218,6.11772,2.2878,0.42893,81.36621,-5.494727,-0.437323,0.42989,,,,,,,,,,,,-3.5178,10.79477,-1.21709,50,5.67182,3.18002,-129.96507,-5.94499,-5.97082,29.18002,-13.85183,FOR_RAM,ARM_BLA,FordhamUniversity,D1,A10,20250307-FordhamUniversity-1,67ffd7d0-fb8f-11ef-a8c0-7f336323f923,87.67935,,,8.34882,,,,,,,460fbf6a-25a7-4fb0-8c31-f4656a56b743,2025-03-07,20:04:40.69,2025-03-07T15:04:40.6955008-05:00,2025-03-07T20:04:40.6955008Z,,v3,471298,4744,,"McAndrews, Thomas",1000092049,Right,FOR_RAM,ccc91ab9-3862-4dcf-abf8-f7ac9c928527,55.08418,-131.10161,14.59001,5.89287,-5.40547,-6.92592,-1.34548,3.41258,-2.98541,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2025-03-07,15:04:54.87,1,3,"Dowd, Aidan",1000142838,Right,FOR_RAM,"Barr, Chris",823247,Left,ARM_BLA,Undefined,1,Top,0,1,1,Fastball,Four-Seam,InPlay,Undefined,GroundBall,Out,1,0,0,89.05168,-1.937276,-1.15986,2223.283669,207.052463,1:00,5.86422,1.43998,5.57525,-17.35076,18.42623,8.8063,2.60785,1.09039,81.15593,-5.219791,0.411486,0.4305,67.48064,-64.732262,-2.531453,,,,,2.28615,2.10193,-29.118964,0.029961,-4.79233,10.23469,-1.34609,50,5.68634,2.22941,-129.18609,-4.9066,-8.07268,27.72091,-14.93371,FOR_RAM,ARM_BLA,FordhamUniversity,D1,A10,20250307-FordhamUniversity-1,706be8f0-fb8f-11ef-a8c0-7f336323f923,87.55498,2.69307,,7.89576,,,,0.72729,2.69307,-1.05636,460fbf6a-25a7-4fb0-8c31-f4656a56b743,2025-03-07,20:04:54.87,2025-03-07T15:04:54.8793344-05:00,2025-03-07T20:04:54.8793344Z,GroundBall,v3,471298,4744,,"McAndrews, Thomas",1000092049,Right,FOR_RAM,8ec16ac1-d123-4b9a-a3a3-8a0488295b10,54.92186,-130.23795,13.86045,5.86177,-4.33995,-7.46686,-1.43649,2.53572,-4.03634,180,0.72642,42.3859,,,,,,,,2.69493,-89.88662,,,,,,,,-1.05632,-1.87392,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Low,Low,,,
4,2025-03-07,15:05:26.97,2,1,"Dowd, Aidan",1000142838,Right,FOR_RAM,"Schreck, Thomas",10017420,Right,ARM_BLA,Undefined,1,Top,1,0,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,0,90.02043,-2.704463,-1.871938,2139.241603,199.414927,12:45,5.88552,1.31631,5.46799,-20.15666,14.70166,4.81351,1.67154,-0.03508,82.98178,-6.441636,-1.014911,0.424937,,,,,,,,,,,,-2.92394,8.44182,-1.1551,50,5.63381,4.05792,-130.61214,-6.86838,-5.08828,25.60707,-17.48345,FOR_RAM,ARM_BLA,FordhamUniversity,D1,A10,20250307-FordhamUniversity-1,83865a10-fb8f-11ef-a8c0-7f336323f923,88.70121,,,7.03865,,,,,,,460fbf6a-25a7-4fb0-8c31-f4656a56b743,2025-03-07,20:05:26.97,2025-03-07T15:05:26.9722112-05:00,2025-03-07T20:05:26.9722112Z,,v3,471298,4744,,"McAndrews, Thomas",1000092049,Right,FOR_RAM,fb3ca5b8-5a55-4828-9f7a-160ea1e3e61d,55.03108,-131.59481,12.80353,5.88451,-6.19745,-8.74173,-1.31457,4.25319,-2.54414,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2025-03-07,15:05:45.24,2,2,"Dowd, Aidan",1000142838,Right,FOR_RAM,"Schreck, Thomas",10017420,Right,ARM_BLA,Undefined,1,Top,1,0,1,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,0,90.02222,-2.450514,-2.225005,2170.878407,194.214764,12:30,5.85245,1.33495,5.6316,-18.0495,16.98371,4.00524,2.05885,-0.40828,82.00659,-5.8525,-1.510212,0.426002,,,,,,,,,,,,-2.68587,9.68331,-1.14822,50,5.63241,4.89453,-130.47798,-6.16052,-4.60936,28.60797,-15.55608,FOR_RAM,ARM_BLA,FordhamUniversity,D1,A10,20250307-FordhamUniversity-1,8e7397d0-fb8f-11ef-a8c0-7f336323f923,88.47955,,,8.01562,,,,,,,460fbf6a-25a7-4fb0-8c31-f4656a56b743,2025-03-07,20:05:45.24,2025-03-07T15:05:45.2421120-05:00,2025-03-07T20:05:45.2421120Z,,v3,471298,4744,,"McAndrews, Thomas",1000092049,Right,FOR_RAM,79c54387-45e6-4813-9299-349001affa69,54.86572,-131.54049,14.30399,5.85049,-5.58276,-7.77804,-1.33319,5.06572,-2.30468,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2025-03-07,15:06:07.74,2,3,"Dowd, Aidan",1000142838,Right,FOR_RAM,"Schreck, Thomas",10017420,Right,ARM_BLA,Undefined,1,Top,1,0,2,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,0,90.94,-3.555938,-3.741027,2322.069428,214.89965,1:15,5.90377,1.25496,5.49385,-18.77536,15.63757,10.14638,1.00148,-1.40391,83.4602,-7.050956,-1.938014,0.422214,,,,,,,,,,,,-6.17863,9.19969,-0.93451,50,5.5792,8.15981,-131.59896,-8.8332,-10.86862,27.11999,-15.99119,FOR_RAM,ARM_BLA,FordhamUniversity,D1,A10,20250307-FordhamUniversity-1,9bd494b0-fb8f-11ef-a8c0-7f336323f923,89.2734,,,7.47979,,,,,,,460fbf6a-25a7-4fb0-8c31-f4656a56b743,2025-03-07,20:06:07.74,2025-03-07T15:06:07.7431808-05:00,2025-03-07T20:06:07.7431808Z,,v3,471298,4744,,"McAndrews, Thomas",1000092049,Right,FOR_RAM,568927fc-d49b-4250-9d06-451e0ce235fa,55.00568,-132.62652,13.55999,5.90241,-8.2273,-7.99559,-1.25148,8.57161,-5.43431,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2025-03-07,15:06:25.93,2,4,"Dowd, Aidan",1000142838,Right,FOR_RAM,"Schreck, Thomas",10017420,Right,ARM_BLA,Undefined,1,Top,1,1,2,Slider,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,0,83.26286,1.071945,0.381264,2599.343062,88.237478,9:00,5.65444,1.53849,4.97144,-40.72994,0.71839,-16.07765,3.27291,0.55881,76.71621,-6.302445,-2.457284,0.463367,,,,,,,,,,,,8.0639,0.44264,-1.56149,50,5.72451,-0.1023,-120.91976,0.71046,12.01001,22.27167,-31.51481,FOR_RAM,ARM_BLA,FordhamUniversity,D1,A10,20250307-FordhamUniversity-1,a69f5650-fb8f-11ef-a8c0-7f336323f923,81.34469,,,6.54665,,,,,,,460fbf6a-25a7-4fb0-8c31-f4656a56b743,2025-03-07,20:06:25.93,2025-03-07T15:06:25.9302400-05:00,2025-03-07T20:06:25.9302400Z,,v3,471298,4744,,"McAndrews, Thomas",1000092049,Right,FOR_RAM,22e226e8-0143-4d05-aac8-5292948bf905,55.52875,-121.93382,11.13583,5.65949,2.14538,-15.75741,-1.54439,-0.64913,6.005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2025-03-07,15:06:48.55,2,5,"Dowd, Aidan",1000142838,Right,FOR_RAM,"Schreck, Thomas",10017420,Right,ARM_BLA,Undefined,1,Top,1,2,2,Cutter,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,0,83.54835,1.416772,-1.283621,2650.267905,108.822578,9:45,5.58251,1.41998,5.01764,-36.0903,5.46441,-12.09367,3.91264,-0.79941,76.1177,-5.174535,-3.417195,0.463961,,,,,,,,,,,,5.60051,2.70768,-1.28685,50,5.6895,3.24981,-121.11334,1.655,8.2833,24.59273,-28.16932,FOR_RAM,ARM_BLA,FordhamUniversity,D1,A10,20250307-FordhamUniversity-1,b41c66b0-fb8f-11ef-a8c0-7f336323f923,81.24052,,,7.43065,,,,,,,460fbf6a-25a7-4fb0-8c31-f4656a56b743,2025-03-07,20:06:48.55,2025-03-07T15:06:48.5546496-05:00,2025-03-07T20:06:48.5546496Z,,v3,471298,4744,,"McAndrews, Thomas",1000092049,Right,FOR_RAM,9d108473-5b10-43ee-a451-b7f6f479e232,55.4793,-122.22087,12.29637,5.5864,2.92361,-14.08466,-1.42481,2.87677,4.14165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2025-03-07,15:07:28.94,2,6,"Dowd, Aidan",1000142838,Right,FOR_RAM,"Schreck, Thomas",10017420,Right,ARM_BLA,Undefined,1,Top,1,3,2,Slider,Slider,StrikeCalled,Strikeout,Undefined,Undefined,0,0,0,83.21475,-0.361316,-0.307883,2405.645767,92.840851,9:00,5.65085,1.5414,4.90737,-39.77916,2.09063,-15.70591,1.99423,-0.05858,76.40927,-7.554339,-3.079287,0.465717,,,,,,,,,,,,7.68422,1.52067,-1.49747,50,5.58228,1.33902,-120.75697,-2.27785,11.3332,23.77336,-29.93128,FOR_RAM,ARM_BLA,FordhamUniversity,D1,A10,20250307-FordhamUniversity-1,cc286830-fb8f-11ef-a8c0-7f336323f923,80.93427,,,6.80548,,,,,,,460fbf6a-25a7-4fb0-8c31-f4656a56b743,2025-03-07,20:07:28.94,2025-03-07T15:07:28.9413632-05:00,2025-03-07T20:07:28.9413632Z,,v3,471298,4744,,"McAndrews, Thomas",1000092049,Right,FOR_RAM,d65dfd5d-ec78-4968-9178-b88321bf48c0,55.59177,-121.85284,11.88668,5.65548,-0.89811,-14.96564,-1.54716,0.81659,5.6666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2025-03-07,15:07:55.73,3,1,"Dowd, Aidan",1000142838,Right,FOR_RAM,"Ainsworth, Addison",1000235153,Left,ARM_BLA,Undefined,1,Top,2,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,0,89.53453,-1.670396,-0.697891,2344.502265,212.882605,1:00,5.83674,1.41506,5.58036,-17.3121,18.17095,10.96977,2.83351,1.67741,81.3305,-4.952772,1.259862,0.428728,,,,,,,,,,,,-5.7317,10.03107,-1.36229,50,5.68204,1.09052,-129.86723,-4.31914,-9.72595,28.82305,-15.15259,FOR_RAM,ARM_BLA,FordhamUniversity,D1,A10,20250307-FordhamUniversity-1,dc13b970-fb8f-11ef-a8c0-7f336323f923,87.91686,,,8.20403,,,,,,,460fbf6a-25a7-4fb0-8c31-f4656a56b743,2025-03-07,20:07:55.73,2025-03-07T15:07:55.7349888-05:00,2025-03-07T20:07:55.7349888Z,,v3,471298,4744,,"McAndrews, Thomas",1000092049,Right,FOR_RAM,e4d23e4b-f746-4266-a833-1e6b306ef61f,54.91558,-130.95366,14.41153,5.83408,-3.748,-7.5763,-1.4103,1.45713,-4.86298,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
