PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-03-07,18:32:52.60,1,1,"Crocker, Jory",10106849,Right,ILL_ILL1,"Miller, Noah",806165,Right,MIC_WOL,Undefined,1,Top,0,0,0,Undefined,Changeup,Undefined,Undefined,Undefined,Undefined,0,0,,86.04826,-2.413662,-2.918997,1632.268085,211.769605,1:00,6.28341,1.30332,6.17095,-18.0504,19.72887,11.39233,2.5457,-0.44569,77.98804,-5.878952,-0.866517,0.442383,,,,,,,,,,,,-6.76,11.32016,-1.08775,50,6.0911,5.90204,-124.68946,-5.72779,-10.53956,27.33677,-14.52471,ILL_ILL1,MIC_WOL,HolmanStadium,D1,BIG10,20250307-HolmanStadium-1,7dbfc040-fbac-11ef-8cd8-1173cd89ee41,85.20323,,,8.06022,,,,,,,7bd61dd2-ba1f-4865-909c-346ca38412b3,2025-03-07,23:32:52.60,2025-03-07T18:32:52.6090000-05:00,2025-03-07T23:32:52.6090000Z,,v3,1aca81a5-c312-45c3-a1b2-ee60a4943159,2290,,"Kassab, Dylan",10090071,Right,ILL_ILL1,53750947-849c-4a85-8d19-624f1beb2883,54.32578,-125.63426,13.66839,6.28039,-5.22579,-7.26236,-1.29802,6.2663,-5.26978,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2025-03-07,18:33:03.15,1,2,"Crocker, Jory",10106849,Right,ILL_ILL1,"Miller, Noah",806165,Right,MIC_WOL,Undefined,1,Top,0,0,0,Undefined,Four-Seam,Undefined,Undefined,Undefined,Undefined,0,0,,89.5819,-3.875147,-4.426142,1918.005037,210.045861,1:00,6.19163,1.48546,6.19595,-17.26261,17.73135,9.54052,1.15944,-1.81377,81.33415,-7.167723,-2.71122,0.425763,,,,,,,,,,,,-6.25331,10.70607,-1.1563,50,5.88993,9.6234,-129.43203,-9.26329,-10.51995,29.10898,-14.16325,ILL_ILL1,MIC_WOL,HolmanStadium,D1,BIG10,20250307-HolmanStadium-1,83f1e6f0-fbac-11ef-8cd8-1173cd89ee41,88.52914,,,8.24775,,,,,,,7bd61dd2-ba1f-4865-909c-346ca38412b3,2025-03-07,23:33:03.15,2025-03-07T18:33:03.1510000-05:00,2025-03-07T23:33:03.1510000Z,,v3,1aca81a5-c312-45c3-a1b2-ee60a4943159,2290,,"Kassab, Dylan",10090071,Right,ILL_ILL1,3a83f8ca-3878-40cf-ba59-b6b6fe257974,54.30092,-130.39571,14.55449,6.18884,-8.79441,-7.08162,-1.48066,9.97168,-5.25997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2025-03-07,18:33:13.81,1,3,"Crocker, Jory",10106849,Right,ILL_ILL1,"Miller, Noah",806165,Right,MIC_WOL,Undefined,1,Top,0,0,0,Undefined,Four-Seam,Undefined,Undefined,Undefined,Undefined,0,0,,90.24509,-2.685516,-2.757404,1949.068106,205.953198,12:45,6.21698,1.73171,5.89195,-12.59394,22.13749,10.17469,2.66931,0.01742,81.6448,-5.144791,-0.934259,0.424163,,,,,,,,,,,,-6.03225,12.49217,-1.51523,50,5.99309,5.85263,-130.70177,-6.43975,-10.33287,30.05881,-10.77576,ILL_ILL1,MIC_WOL,HolmanStadium,D1,BIG10,20250307-HolmanStadium-1,8a5508b0-fbac-11ef-8cd8-1173cd89ee41,88.86307,,,8.6003,,,,,,,7bd61dd2-ba1f-4865-909c-346ca38412b3,2025-03-07,23:33:13.81,2025-03-07T18:33:13.8110000-05:00,2025-03-07T23:33:13.8110000Z,,v3,1aca81a5-c312-45c3-a1b2-ee60a4943159,2290,,"Kassab, Dylan",10090071,Right,ILL_ILL1,5e4dbca4-2481-4a62-9bc4-70bacb622587,54.60489,-131.75655,15.0294,6.21243,-6.06162,-5.38788,-1.72697,6.21521,-5.16643,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2025-03-07,18:33:24.02,1,4,"Crocker, Jory",10106849,Right,ILL_ILL1,"Miller, Noah",806165,Right,MIC_WOL,Undefined,1,Top,0,0,0,Undefined,Curveball,Undefined,Undefined,Undefined,Undefined,0,0,,74.54605,2.103921,-0.33747,2360.401702,43.407143,7:30,6.11739,1.56477,5.52897,-58.12633,-6.58457,-7.89973,3.24123,0.59098,67.82101,-8.522822,-1.747415,0.516715,,,,,,,,,,,,3.87032,-3.43697,-1.53007,50,6.26165,0.93319,-108.11604,2.09479,4.52306,21.07709,-36.1907,ILL_ILL1,MIC_WOL,HolmanStadium,D1,BIG10,20250307-HolmanStadium-1,907443a0-fbac-11ef-8cd8-1173cd89ee41,72.9463,,,6.72504,,,,,,,7bd61dd2-ba1f-4865-909c-346ca38412b3,2025-03-07,23:33:24.02,2025-03-07T18:33:24.0230000-05:00,2025-03-07T23:33:24.0230000Z,,v3,1aca81a5-c312-45c3-a1b2-ee60a4943159,2290,,"Kassab, Dylan",10090071,Right,ILL_ILL1,217dd4b8-803b-4549-8835-71e4ac50319e,54.97083,-109.08079,10.53854,6.12785,3.75133,-18.09535,-1.56804,0.72616,2.26153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2025-03-07,18:33:35.75,1,5,"Crocker, Jory",10106849,Right,ILL_ILL1,"Miller, Noah",806165,Right,MIC_WOL,Undefined,1,Top,0,0,0,Undefined,Curveball,Undefined,Undefined,Undefined,Undefined,0,0,,74.6543,1.069047,0.04914,2258.581576,37.183726,7:15,6.07801,1.49811,5.6746,-58.81842,-7.72008,-7.19158,2.17324,0.94463,68.09922,-9.686874,-1.240009,0.514488,,,,,,,,,,,,3.68803,-3.81469,-1.49756,50,6.13095,0.16647,-108.36673,0.17223,4.32298,21.45968,-36.64547,ILL_ILL1,MIC_WOL,HolmanStadium,D1,BIG10,20250307-HolmanStadium-1,9774dde0-fbac-11ef-8cd8-1173cd89ee41,73.2621,,,6.55508,,,,,,,7bd61dd2-ba1f-4865-909c-346ca38412b3,2025-03-07,23:33:35.75,2025-03-07T18:33:35.7540000-05:00,2025-03-07T23:33:35.7540000Z,,v3,1aca81a5-c312-45c3-a1b2-ee60a4943159,2290,,"Kassab, Dylan",10090071,Right,ILL_ILL1,ea267d40-7d3e-4c5e-b23b-764060d04858,54.82641,-109.31831,10.72984,6.08728,1.79721,-18.32273,-1.50069,-0.02523,2.16149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2025-03-07,18:33:48.14,1,6,"Crocker, Jory",10106849,Right,ILL_ILL1,"Miller, Noah",806165,Right,MIC_WOL,Undefined,1,Top,0,0,0,Undefined,Changeup,Undefined,Undefined,Undefined,Undefined,0,0,,82.39035,-2.208629,-3.17247,1714.877114,239.361812,2:00,6.10945,1.86214,6.10829,-29.59738,11.55973,17.15891,1.59651,0.35544,75.19787,-7.736708,-0.081322,0.461736,,,,,,,,,,,,-9.86197,7.03189,-1.62746,50,5.92403,5.9819,-119.45973,-5.48908,-14.15532,24.45623,-22.08088,ILL_ILL1,MIC_WOL,HolmanStadium,D1,BIG10,20250307-HolmanStadium-1,9eca75f0-fbac-11ef-8cd8-1173cd89ee41,81.632,,,7.19249,,,,,,,7bd61dd2-ba1f-4865-909c-346ca38412b3,2025-03-07,23:33:48.14,2025-03-07T18:33:48.1430000-05:00,2025-03-07T23:33:48.1430000Z,,v3,1aca81a5-c312-45c3-a1b2-ee60a4943159,2290,,"Kassab, Dylan",10090071,Right,ILL_ILL1,45f80e32-a01a-4d30-9c80-0e2e69b5e6e9,54.39152,-120.35542,12.22811,6.11026,-4.68039,-11.04044,-1.85604,6.50033,-7.07766,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2025-03-07,18:34:01.46,1,7,"Crocker, Jory",10106849,Right,ILL_ILL1,"Miller, Noah",806165,Right,MIC_WOL,Undefined,1,Top,0,0,0,Undefined,Four-Seam,Undefined,Undefined,Undefined,Undefined,0,0,,91.61437,-2.04868,-2.320912,2006.662369,212.395589,1:00,6.14237,1.67211,6.04245,-14.88867,18.48308,11.00178,3.0025,0.43891,83.11566,-4.915004,-0.342407,0.415778,,,,,,,,,,,,-6.32866,10.44686,-1.49688,50,5.97444,4.90756,-132.85692,-5.1611,-11.22901,30.40111,-13.63801,ILL_ILL1,MIC_WOL,HolmanStadium,D1,BIG10,20250307-HolmanStadium-1,a6be49d0-fbac-11ef-8cd8-1173cd89ee41,90.6553,,,8.49872,,,,,,,7bd61dd2-ba1f-4865-909c-346ca38412b3,2025-03-07,23:34:01.46,2025-03-07T18:34:01.4650000-05:00,2025-03-07T23:34:01.4650000Z,,v3,1aca81a5-c312-45c3-a1b2-ee60a4943159,2290,,"Kassab, Dylan",10090071,Right,ILL_ILL1,324af867-50ab-4189-8e82-24d83786e1a7,54.45463,-133.87238,15.20055,6.13922,-4.70556,-6.819,-1.66706,5.28263,-5.61451,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2025-03-07,18:34:12.42,1,8,"Crocker, Jory",10106849,Right,ILL_ILL1,"Miller, Noah",806165,Right,MIC_WOL,Undefined,1,Top,0,0,0,Undefined,Curveball,Undefined,Undefined,Undefined,Undefined,0,0,,75.10687,-0.30097,-0.994354,2287.766335,28.349836,7:00,6.10724,1.67131,5.42726,-57.60334,-6.53134,-4.48748,1.02503,0.36595,68.61163,-10.760536,-1.795683,0.514355,,,,,,,,,,,,1.95965,-2.79563,-1.57984,50,6.04018,2.05642,-108.95189,-2.44278,2.31697,22.0664,-35.47941,ILL_ILL1,MIC_WOL,HolmanStadium,D1,BIG10,20250307-HolmanStadium-1,ad4a2940-fbac-11ef-8cd8-1173cd89ee41,73.281,,,6.49524,,,,,,,7bd61dd2-ba1f-4865-909c-346ca38412b3,2025-03-07,23:34:12.42,2025-03-07T18:34:12.4220000-05:00,2025-03-07T23:34:12.4220000Z,,v3,1aca81a5-c312-45c3-a1b2-ee60a4943159,2290,,"Kassab, Dylan",10090071,Right,ILL_ILL1,b723c1de-9986-4a76-bf1f-ee1b8072a2ba,55.07361,-109.97466,11.0332,6.11529,-0.79832,-17.73971,-1.67267,1.94903,1.15848,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2025-03-07,18:34:24.87,1,9,"Crocker, Jory",10106849,Right,ILL_ILL1,"Miller, Noah",806165,Right,MIC_WOL,Undefined,1,Top,0,0,0,Undefined,Changeup,Undefined,Undefined,Undefined,Undefined,0,0,,87.54463,-1.207545,-2.059206,1865.560713,209.462302,1:00,6.21833,1.50896,5.89804,-18.15741,18.56324,9.77772,3.58327,0.41123,79.41363,-4.673439,-0.305263,0.436141,,,,,,,,,,,,-5.60162,10.22229,-1.34877,50,6.11077,4.15393,-126.98752,-3.19273,-9.07888,27.81042,-15.60615,ILL_ILL1,MIC_WOL,HolmanStadium,D1,BIG10,20250307-HolmanStadium-1,b4af51b0-fbac-11ef-8cd8-1173cd89ee41,86.42269,,,8.131,,,,,,,7bd61dd2-ba1f-4865-909c-346ca38412b3,2025-03-07,23:34:24.87,2025-03-07T18:34:24.8730000-05:00,2025-03-07T23:34:24.8730000Z,,v3,1aca81a5-c312-45c3-a1b2-ee60a4943159,2290,,"Kassab, Dylan",10090071,Right,ILL_ILL1,b09496d2-39c4-4e54-ae6b-c41f22313323,54.59871,-127.99068,13.90521,6.21578,-2.6298,-7.80307,-1.50452,4.48142,-4.53944,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.78909,2.000245,0.72361,1.276636,-0.72249,3.40527,-0.40115,-0.75477,6.34365,1.12143,127.2841,5.2932,-0.39452,-0.62292,111.7646,-9.16814,6.34946,13.43619,-11.18082,1.0892,-3.45313,1.81897,High,High,High,,,High,High,Medium
10,2025-03-07,18:35:01.20,1,10,"Crocker, Jory",10106849,Right,ILL_ILL1,"Miller, Noah",806165,Right,MIC_WOL,Undefined,1,Top,0,0,0,Undefined,Four-Seam,Undefined,Undefined,Undefined,Undefined,0,0,,92.89751,-1.243196,-2.578389,2027.171529,223.063455,1:30,6.02122,1.53678,6.34697,-19.54883,12.30957,10.55607,3.24639,0.04134,84.85505,-4.947386,-0.669149,0.406241,80.4351,15.073646,161.092809,2957.662769,-106.60959,14.06954,27.09833,170.72647,65.75997,168.044662,1.785463,-6.21941,7.06945,-1.35415,50,5.92155,5.63842,-134.91493,-3.5243,-11.45039,29.65957,-19.15862,ILL_ILL1,MIC_WOL,HolmanStadium,D1,BIG10,20250307-HolmanStadium-1,ca513100-fbac-11ef-8cd8-1173cd89ee41,92.78351,15.28354,,8.04246,,,,0.34937,3.08637,-0.11827,7bd61dd2-ba1f-4865-909c-346ca38412b3,2025-03-07,23:35:01.20,2025-03-07T18:35:01.2050000-05:00,2025-03-07T23:35:01.2050000Z,LineDrive,v3,1aca81a5-c312-45c3-a1b2-ee60a4943159,2290,,"Kassab, Dylan",10090071,Right,ILL_ILL1,c719f3e9-d0e6-4eab-8223-9e0d1739d236,54.15189,-135.82461,14.82979,6.02063,-2.93669,-9.57931,-1.53247,5.98961,-5.72519,278.48598,0.34937,-107.76572,10.02707,-1.53689,0.15549,0.07175,-0.06148,0.02123,-0.00287,3.08638,30.67885,-20.50974,1.6644,-0.11268,-0.18464,0.14362,-0.0477,0.00628,-0.11829,36.9144,-14.05186,3.83149,-1.45032,0.92825,-0.51409,0.15931,-0.02035,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,
