PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-03-07,14:05:29.40,1,1,"Gibbons, Evan",1000056288,Right,SAC_HOR,"Brown, Kordell",1000393097,Right,PAC_TIG,Undefined,1,Top,0,0,0,Fastball,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,,89.27084,-0.640009,-3.877399,2330.57758,247.149898,2:15,5.37797,2.55888,5.28587,-26.8595,9.75225,19.86859,2.53729,0.56802,80.11531,-5.627919,-0.358886,0.435493,,,,,,,,,,,,-11.14993,5.48481,-2.22011,50,5.30039,7.81749,-129.05901,-2.42798,-18.47502,31.26434,-23.0859,SAC_HOR,PAC_TIG,Hornet Stadium,D1,WAC,20250307-Hornet Stadium-2,48837a90-fba0-11ef-b3c6-01b7a33202b3,86.5511,,,9.15552,,,,,,,9e78758a-e395-4940-a02a-74dee36c77c1,2025-03-07,22:05:29.40,2025-03-07T14:05:29.4020608-08:00,2025-03-07T22:05:29.4020608Z,,v3,471257,471406,,"Cortez, Jacob",1000243618,Right,SAC_HOR,8b0675d0-bf7f-42ce-b626-b7e137bfc591,55.20879,-130.31472,15.63217,5.37929,-1.50074,-11.54295,-2.54899,8.55952,-9.23751,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2025-03-07,14:05:46.22,1,2,"Gibbons, Evan",1000056288,Right,SAC_HOR,"Brown, Kordell",1000393097,Right,PAC_TIG,Undefined,1,Top,0,0,1,Fastball,Sinker,InPlay,Undefined,Popup,Out,1,0,,89.66854,-1.132239,-4.453642,2340.106965,262.60851,2:45,5.33774,2.57113,4.97477,-32.69025,4.12083,20.95497,1.54081,0.10259,80.53036,-7.10775,-0.764709,0.436677,72.72559,43.05685,19.230331,,101.63348,77.65891,42.07886,191.8976,96.75012,24.582655,4.699618,-11.91788,2.78173,-2.15879,50,5.20161,9.09656,-129.48527,-3.86797,-19.84504,31.8832,-27.54204,SAC_HOR,PAC_TIG,Hornet Stadium,D1,WAC,20250307-Hornet Stadium-2,527dccd0-fba0-11ef-b3c6-01b7a33202b3,86.31645,77.87803,,9.13818,,,,2.77187,1.03626,-0.37763,9e78758a-e395-4940-a02a-74dee36c77c1,2025-03-07,22:05:46.22,2025-03-07T14:05:46.2276096-08:00,2025-03-07T22:05:46.2276096Z,FlyBall,v3,471257,471406,,"Cortez, Jacob",1000243618,Right,SAC_HOR,029500a7-2314-44dd-8285-22886da239b7,55.52232,-130.83797,15.9416,5.34092,-2.69945,-13.77102,-2.56258,9.93852,-9.92252,191.429397,2.77489,73.51481,-21.04383,5.67487,-0.8993,0.00722,0.02957,-0.00519,0.00029,1.03387,72.87006,-19.22437,0.95124,0.04086,-0.06973,0.02754,-0.00492,0.00031,-0.37678,25.65095,-3.69549,0.57868,0.02426,-0.0452,0.01178,-0.00133,6E-05,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Medium,Low,,,
3,2025-03-07,14:06:20.80,2,1,"Gibbons, Evan",1000056288,Right,SAC_HOR,"Davis, Diego",1000255512,Right,PAC_TIG,Undefined,1,Top,1,0,0,Fastball,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,,90.17244,-1.291792,-3.958651,2360.878459,249.352681,2:15,5.35066,2.51354,4.83649,-26.48226,9.5241,22.06572,1.91751,0.59802,82.06585,-6.135985,-0.082514,0.431878,,,,,,,,,,,,-12.03103,5.40642,-2.14144,50,5.20023,7.96837,-130.47366,-4.0007,-20.67209,28.27933,-22.88455,SAC_HOR,PAC_TIG,Hornet Stadium,D1,WAC,20250307-Hornet Stadium-2,67206490-fba0-11ef-b3c6-01b7a33202b3,87.27568,,,8.10658,,,,,,,9e78758a-e395-4940-a02a-74dee36c77c1,2025-03-07,22:06:20.80,2025-03-07T14:06:20.8008704-08:00,2025-03-07T22:06:20.8008704Z,,v3,471257,471406,,"Cortez, Jacob",1000243618,Right,SAC_HOR,3b3e0f8a-7734-4c3e-a845-4154af3c218b,55.6618,-131.6951,14.13967,5.35168,-3.01227,-11.44227,-2.5049,8.86124,-10.33604,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2025-03-07,14:06:36.18,2,2,"Gibbons, Evan",1000056288,Right,SAC_HOR,"Davis, Diego",1000255512,Right,PAC_TIG,Undefined,1,Top,1,0,1,Fastball,Sinker,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,90.06684,-1.713646,-4.071797,2327.359883,267.942631,3:00,5.39929,2.39735,4.83914,-34.00644,1.81543,19.89966,0.93831,0.19386,82.88226,-7.841953,-0.573103,0.43077,,,,,,,,,,,,-11.01284,1.6126,-2.0124,50,5.19992,8.35841,-130.43183,-5.31604,-19.05735,26.27458,-29.38353,SAC_HOR,PAC_TIG,Hornet Stadium,D1,WAC,20250307-Hornet Stadium-2,70447b10-fba0-11ef-b3c6-01b7a33202b3,87.50012,,,7.18457,,,,,,,9e78758a-e395-4940-a02a-74dee36c77c1,2025-03-07,22:06:36.18,2025-03-07T14:06:36.1802240-08:00,2025-03-07T22:06:36.1802240Z,,v3,471257,471406,,"Cortez, Jacob",1000243618,Right,SAC_HOR,1febe2ec-9941-4098-bf33-546d7fa89edb,55.66171,-131.5674,13.13729,5.40223,-4.0461,-14.69177,-2.39144,9.18205,-9.52867,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2025-03-07,14:06:54.86,2,3,"Gibbons, Evan",1000056288,Right,SAC_HOR,"Davis, Diego",1000255512,Right,PAC_TIG,Undefined,1,Top,1,0,2,Fastball,Sinker,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,89.87666,-1.068472,-3.778117,2277.183692,267.177533,3:00,5.41165,2.45823,5.01602,-33.92758,2.2928,20.6358,1.57368,0.60714,81.4577,-7.24471,-0.137346,0.43316,70.05435,-34.68497,-80.746772,,,,,4.37573,4.37573,-44.841299,0.029598,-11.4576,1.80217,-2.11353,50,5.28172,7.62135,-130.039,-3.79429,-19.40735,30.01769,-29.1215,SAC_HOR,PAC_TIG,Hornet Stadium,D1,WAC,20250307-Hornet Stadium-2,7b6c9ef0-fba0-11ef-b3c6-01b7a33202b3,87.01743,1.73493,,8.41896,,,,2.69955,1.73493,-0.61118,9e78758a-e395-4940-a02a-74dee36c77c1,2025-03-07,22:06:54.86,2025-03-07T14:06:54.8688896-08:00,2025-03-07T22:06:54.8688896Z,GroundBall,v3,471257,471406,,"Cortez, Jacob",1000243618,Right,SAC_HOR,7e7df1a2-b600-4e5f-b93a-275fe886316f,55.48237,-131.29843,15.00884,5.41528,-2.57246,-14.56075,-2.45038,8.43561,-9.70367,,2.69939,13.61981,,,,,,,,1.73564,-58.6171,,,,,,,,-0.61018,-83.59911,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Estimated,Estimated,,,
6,2025-03-07,14:07:15.94,2,4,"Gibbons, Evan",1000056288,Right,SAC_HOR,"Davis, Diego",1000255512,Right,PAC_TIG,Undefined,1,Top,1,0,2,Slider,Curveball,InPlay,Undefined,Popup,Out,1,0,,79.75459,0.164352,-2.013406,3055.470775,55.228211,7:45,5.70411,2.2354,4.52957,-53.7503,-7.4965,-12.82938,1.38152,-0.75174,73.61317,-9.406234,-4.260993,0.489491,,,,,,,,,,,,5.75461,-3.3961,-2.0123,50,5.66963,4.6152,-115.66241,-1.75606,7.78528,21.83427,-36.76858,SAC_HOR,PAC_TIG,Hornet Stadium,D1,WAC,20250307-Hornet Stadium-2,88020e70-fba0-11ef-b3c6-01b7a33202b3,77.00328,,,6.14142,,,,,,,9e78758a-e395-4940-a02a-74dee36c77c1,2025-03-07,22:07:15.94,2025-03-07T14:07:15.9454720-08:00,2025-03-07T22:07:15.9454720Z,,v3,471257,471406,,"Cortez, Jacob",1000243618,Right,SAC_HOR,b89839c9-bc2d-4569-b71e-27f14e7a86f5,55.97139,-116.78422,10.91714,5.71133,0.13306,-18.38429,-2.23914,4.2152,3.89264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2025-03-07,14:07:52.02,3,1,"Gibbons, Evan",1000056288,Right,SAC_HOR,"McClellin, Brian",1000070051,Right,PAC_TIG,Undefined,1,Top,2,0,0,Fastball,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,90.19072,-0.097494,-2.668996,2339.880396,254.611334,2:30,5.41894,2.38662,4.90622,-29.78183,6.10937,17.80048,2.84482,1.34421,81.90331,-5.538767,0.466384,0.431187,,,,,,,,,,,,-9.75067,3.33673,-2.14186,50,5.38457,5.26928,-130.69486,-1.41042,-16.74394,29.39398,-26.44417,SAC_HOR,PAC_TIG,Hornet Stadium,D1,WAC,20250307-Hornet Stadium-2,9d771160-fba0-11ef-b3c6-01b7a33202b3,87.41556,,,8.2874,,,,,,,9e78758a-e395-4940-a02a-74dee36c77c1,2025-03-07,22:07:52.02,2025-03-07T14:07:52.0238592-08:00,2025-03-07T22:07:52.0238592Z,,v3,471257,471406,,"Cortez, Jacob",1000243618,Right,SAC_HOR,cfbda1e1-5eba-4ae4-bd50-55cec49fbeaa,55.59337,-131.94684,14.69699,5.42066,-0.28408,-13.22208,-2.38149,5.98246,-8.37197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2025-03-07,14:08:07.93,3,2,"Gibbons, Evan",1000056288,Right,SAC_HOR,"McClellin, Brian",1000070051,Right,PAC_TIG,Undefined,1,Top,2,1,0,Fastball,Sinker,InPlay,Undefined,GroundBall,Out,1,0,,89.84541,-0.132557,-3.057989,2321.724574,262.599648,2:45,5.33858,2.49793,4.97017,-32.91935,3.6615,17.54552,2.46992,1.06891,80.60054,-6.159782,0.035519,0.43531,75.20072,-20.980334,-42.326988,,,,,9.6102,8.2734,-38.068514,0.067745,-9.72213,2.23134,-2.21755,50,5.2991,6.10292,-129.93494,-1.62159,-16.29083,32.26621,-28.43513,SAC_HOR,PAC_TIG,Hornet Stadium,D1,WAC,20250307-Hornet Stadium-2,a6fc81c0-fba0-11ef-b3c6-01b7a33202b3,86.58765,2.68409,,9.24487,,,,2.39104,2.68409,-1.2125,9e78758a-e395-4940-a02a-74dee36c77c1,2025-03-07,22:08:07.93,2025-03-07T14:08:07.9343104-08:00,2025-03-07T22:08:07.9343104Z,GroundBall,v3,471257,471406,,"Cortez, Jacob",1000243618,Right,SAC_HOR,0dd2c311-caba-4983-bb7f-3d44ce61fa2a,55.52572,-131.29995,16.1331,5.34226,-0.41865,-14.21757,-2.49031,6.79209,-8.14542,180,2.38831,76.38681,,,,,,,,2.68551,-39.6206,,,,,,,,-1.21001,-69.57245,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Low,Low,,,
9,2025-03-07,14:10:53.21,1,1,"Shaver, Ethan",824202,Right,PAC_TIG,"White, Tyler",1000283768,Right,SAC_HOR,Undefined,1,Bottom,0,0,0,Fastball,Slider,StrikeCalled,Undefined,Undefined,Undefined,0,0,,85.33353,-2.074254,-1.580174,2113.17985,179.402774,12:00,5.74794,1.13896,6.00151,-26.34072,12.17682,-0.11323,1.62943,-0.33494,77.73031,-7.001014,-1.600553,0.446684,,,,,,,,,,,,-0.41724,7.27989,-1.01467,50,5.57043,3.41906,-123.77576,-5.29635,-0.64219,26.52012,-20.96919,SAC_HOR,PAC_TIG,Hornet Stadium,D1,WAC,20250307-Hornet Stadium-2,097edc30-fba1-11ef-b3c6-01b7a33202b3,84.38275,,,7.60322,,,,,,,9e78758a-e395-4940-a02a-74dee36c77c1,2025-03-07,22:10:53.21,2025-03-07T14:10:53.2125184-08:00,2025-03-07T22:10:53.2125184Z,,v3,471257,471406,,"Bicknell, Drake",824208,Right,PAC_TIG,50c85622-9a56-4931-83ee-5f36b04c6ccc,54.49348,-124.73481,13.26006,5.74825,-4.53803,-10.4846,-1.13873,3.44229,-0.3211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2025-03-07,14:11:10.10,1,2,"Shaver, Ethan",824202,Right,PAC_TIG,"White, Tyler",1000283768,Right,SAC_HOR,Undefined,1,Bottom,0,0,1,Curveball,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,77.49769,0.042261,-0.146434,1999.376266,75.331554,8:30,5.70192,1.08677,5.55485,-46.33794,1.01158,-2.11618,1.87991,0.7736,70.90143,-8.443291,-0.524615,0.495255,,,,,,,,,,,,1.0291,0.94898,-1.07267,50,5.67499,0.36816,-112.50017,-1.42546,1.30952,21.76206,-30.96647,SAC_HOR,PAC_TIG,Hornet Stadium,D1,WAC,20250307-Hornet Stadium-2,13947ea0-fba1-11ef-b3c6-01b7a33202b3,76.10708,,,6.59626,,,,,,,9e78758a-e395-4940-a02a-74dee36c77c1,2025-03-07,22:11:10.10,2025-03-07T14:11:10.1069312-08:00,2025-03-07T22:11:10.1069312Z,,v3,471257,471406,,"Bicknell, Drake",824208,Right,PAC_TIG,1dcea94d-7bfe-43c1-99fb-5539903350c1,54.94239,-113.4522,10.88103,5.70772,-0.07076,-15.48324,-1.08753,0.31087,0.65476,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
