PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-03-07,16:01:29.27,1,1,"Johnson, Kyle",10108184,Left,DUK_BLU,"Advincula, Jarren",814181,Left,CAL_BEA,Undefined,1,Top,0,0,0,Fastball,Sinker,InPlay,Undefined,GroundBall,Single,0,0,,88.24207,-2.108768,4.153287,2131.973222,138.164254,10:30,5.86164,-2.12,6.32167,-18.57371,17.55064,-14.47446,2.36573,0.50555,79.15952,-5.692501,1.542981,0.432585,97.21546,-1.706035,29.199838,,,,,53.94892,37.02506,28.501307,0.373073,8.97095,10.24607,1.82292,50,5.69839,-8.69968,-127.68117,-5.20238,14.50589,31.3099,-15.60631,DUK_BLU,CAL_BEA,JackCoombs,D1,ACC,20250307-JackCoombs-1,5765d660-fb97-11ef-8f72-3ba0d2762536,87.13301,2.49739,,9.08255,,,,2.03078,2.49739,-0.49076,fe85f74b-8222-459b-9662-3357ca8230a0,2025-03-07,21:01:29.27,2025-03-07T16:01:29.2743680-05:00,2025-03-07T21:01:29.2743680Z,GroundBall,v3,471284,471259,,"Winslow, Macon",806264,Right,DUK_BLU,14339d08-e1a0-480e-9e62-7662b831fbfc,54.1751,-128.70091,15.65495,5.85955,-4.69409,-7.80315,2.11396,-9.17213,7.25294,214.565967,2.03211,124.36141,-7.31872,,,,,,,2.49675,-4.22189,-6.61754,,,,,,,-0.49111,69.54168,2.08806,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,
2,2025-03-07,16:02:00.75,2,1,"Johnson, Kyle",10108184,Left,DUK_BLU,"Gwynn, Seth",822023,Right,CAL_BEA,Undefined,1,Top,0,0,0,Fastball,Sinker,HitByPitch,Undefined,Undefined,Undefined,0,0,,89.50936,-1.665989,5.872353,2090.075067,130.09899,10:15,5.79517,-2.31757,6.36786,-17.81111,18.25497,-19.70052,2.76941,1.46324,78.20198,-5.173921,2.330861,0.432236,,,,,,,,,,,,12.82048,10.67225,1.90114,50,5.66621,-12.46897,-128.94497,-4.21002,20.58798,38.32223,-15.03584,DUK_BLU,CAL_BEA,JackCoombs,D1,ACC,20250307-JackCoombs-1,6a28ffc0-fb97-11ef-8f72-3ba0d2762536,87.20343,,,11.30738,,,,,,,fe85f74b-8222-459b-9662-3357ca8230a0,2025-03-07,21:02:00.75,2025-03-07T16:02:00.7582720-05:00,2025-03-07T21:02:00.7582720Z,,v3,471284,471259,,"Winslow, Macon",806264,Right,DUK_BLU,86bb9ff2-d02a-482e-8e12-d3f69d99f3db,54.1272,-130.16579,19.16111,5.7927,-3.73103,-7.51792,2.3088,-13.12483,10.29399,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2025-03-07,16:02:32.00,3,1,"Johnson, Kyle",10108184,Left,DUK_BLU,"Campbell, Cade",811205,Right,CAL_BEA,Undefined,1,Top,0,0,0,ChangeUp,Changeup,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,79.62669,-0.322574,4.406805,1653.907233,104.72025,9:30,5.64199,-2.40153,6.00402,-38.14766,6.43331,-18.40544,2.16326,0.15572,72.11258,-7.41862,1.105093,0.480558,,,,,,,,,,,,10.77036,3.90673,2.06423,50,5.59605,-8.17718,-115.26061,-1.81489,14.30663,23.93701,-26.98458,DUK_BLU,CAL_BEA,JackCoombs,D1,ACC,20250307-JackCoombs-1,7cdff420-fb97-11ef-8f72-3ba0d2762536,78.43468,,,7.51411,,,,,,,fe85f74b-8222-459b-9662-3357ca8230a0,2025-03-07,21:02:32.00,2025-03-07T16:02:32.0075264-05:00,2025-03-07T21:02:32.0075264Z,,v3,471284,471259,,"Winslow, Macon",806264,Right,DUK_BLU,f4f4f53a-f535-46f5-b012-8d592ebc68ce,54.49249,-116.18985,11.96851,5.64617,-0.76734,-13.49229,2.39245,-8.73256,7.15332,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2025-03-07,16:02:46.45,3,2,"Johnson, Kyle",10108184,Left,DUK_BLU,"Campbell, Cade",811205,Right,CAL_BEA,Undefined,1,Top,0,0,1,ChangeUp,Changeup,InPlay,Undefined,FlyBall,HomeRun,0,3,,81.5499,-0.171082,4.73924,1560.044094,106.549916,9:30,5.53412,-2.49701,6.18769,-34.35809,8.72331,-23.23958,2.51244,-0.04786,72.27581,-6.661828,0.558868,0.472407,103.20407,21.41795,-23.943179,1895.754995,100.22695,39.6035,-45.32724,372.91199,359.47605,-27.308213,4.154272,13.80198,5.07256,2.15042,50,5.50424,-8.87686,-117.8207,-1.35741,18.74175,29.46617,-25.28599,DUK_BLU,CAL_BEA,JackCoombs,D1,ACC,20250307-JackCoombs-1,85749be0-fb97-11ef-8f72-3ba0d2762536,79.78807,55.6263,,9.27409,,,,2.0634,2.54826,0.11644,fe85f74b-8222-459b-9662-3357ca8230a0,2025-03-07,21:02:46.45,2025-03-07T16:02:46.4503808-05:00,2025-03-07T21:02:46.4503808Z,LineDrive,v3,471284,471259,,"Winslow, Macon",806264,Right,DUK_BLU,af04217f-db36-4b4f-a790-9a4780a22ba5,54.30773,-118.89315,14.73309,5.5369,-0.4371,-12.643,2.48592,-9.55898,9.37088,164.847115,2.06346,128.78391,-23.67065,5.48639,-1.17841,0.21633,-0.0288,0.00207,-4E-05,2.5482,55.27647,-15.56664,0.75435,-0.11708,0.0359,-0.0124,0.00257,-0.00021,0.11642,-57.1857,7.61844,-1.75903,0.37657,-0.06887,0.00912,-0.00065,1E-05,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,
5,2025-03-07,16:03:30.48,4,1,"Johnson, Kyle",10108184,Left,DUK_BLU,"Tayman, Ryan",1000163996,Right,CAL_BEA,Undefined,1,Top,0,0,0,Fastball,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,91.618,-1.118475,4.923366,2163.173045,132.653914,10:30,5.95945,-2.09347,6.14198,-15.83103,18.03434,-18.13741,3.60265,0.95601,81.73863,-4.198927,1.669328,0.418841,,,,,,,,,,,,10.89363,10.00772,1.72591,50,5.86561,-10.59097,-132.36646,-3.00189,18.91281,33.90125,-14.7993,DUK_BLU,CAL_BEA,JackCoombs,D1,ACC,20250307-JackCoombs-1,9fa18190-fb97-11ef-8f72-3ba0d2762536,89.99222,,,9.87938,,,,,,,fe85f74b-8222-459b-9662-3357ca8230a0,2025-03-07,21:03:30.48,2025-03-07T16:03:30.4817152-05:00,2025-03-07T21:03:30.4817152Z,,v3,471284,471259,,"Winslow, Macon",806264,Right,DUK_BLU,a7037fcb-6a83-43f8-8564-b4e4abb6b07c,54.35126,-133.47624,16.95063,5.95595,-2.51743,-7.39965,2.08275,-11.21009,9.4564,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2025-03-07,16:03:42.30,4,2,"Johnson, Kyle",10108184,Left,DUK_BLU,"Tayman, Ryan",1000163996,Right,CAL_BEA,Undefined,1,Top,0,1,0,Fastball,Sinker,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,90.41344,-1.192015,3.556133,2157.339881,135.80327,10:30,5.92554,-2.19105,6.19333,-17.14363,17.48292,-15.6858,3.39415,-0.21092,80.72672,-4.515876,0.731403,0.423522,73.52428,40.613843,164.831845,1674.15482,,,,,44.8396,,,9.37115,9.84524,1.93081,50,5.82711,-7.47924,-130.89216,-3.18917,15.86815,33.79839,-15.50312,DUK_BLU,CAL_BEA,JackCoombs,D1,ACC,20250307-JackCoombs-1,a6b70360-fb97-11ef-8f72-3ba0d2762536,88.9976,34.45113,,9.68672,,,,1.66089,3.47453,0.22627,fe85f74b-8222-459b-9662-3357ca8230a0,2025-03-07,21:03:42.30,2025-03-07T16:03:42.3062528-05:00,2025-03-07T21:03:42.3062528Z,,v3,471284,471259,,"Winslow, Macon",806264,Right,DUK_BLU,41308a16-65a1-4215-a757-347de19c3467,54.30256,-131.99847,16.8992,5.9232,-2.68171,-7.75156,2.18413,-7.99865,7.93408,0.961661,1.66089,-79.00758,5.42419,0.36948,-0.21094,0.08615,-0.02415,0.00722,-0.00158,3.47453,70.1963,-32.54774,4.72183,-1.06717,0.2325,-0.04943,0.01022,-0.00125,0.22627,21.41874,-1.27511,-0.04028,0.03525,-0.01574,0.00411,-0.00093,0.00011,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Undefined,,,
7,2025-03-07,16:03:59.70,4,3,"Johnson, Kyle",10108184,Left,DUK_BLU,"Tayman, Ryan",1000163996,Right,CAL_BEA,Undefined,1,Top,0,1,1,Fastball,Sinker,InPlay,Undefined,Popup,Single,0,0,,88.67304,-1.468916,4.099996,1967.127189,137.169322,10:30,5.86821,-2.11453,6.24126,-21.20816,14.59627,-12.28721,2.7422,0.64972,79.68044,-5.516597,1.887563,0.430665,72.96542,25.161706,-0.583462,2804.333096,109.86815,36.00986,5.38362,236.7357,236.7357,7.147564,3.219615,7.74571,8.44126,1.81475,50,5.74819,-8.70279,-128.34408,-3.90729,12.68009,31.15764,-18.35531,DUK_BLU,CAL_BEA,JackCoombs,D1,ACC,20250307-JackCoombs-1,b11631f0-fb97-11ef-8f72-3ba0d2762536,87.52143,36.77889,,8.9926,,,,0.85172,2.74944,-0.66696,fe85f74b-8222-459b-9662-3357ca8230a0,2025-03-07,21:03:59.70,2025-03-07T16:03:59.7087744-05:00,2025-03-07T21:03:59.7087744Z,LineDrive,v3,471284,471259,,"Winslow, Macon",806264,Right,DUK_BLU,ab1cfe75-4971-4a05-a8ab-5df854a847ac,54.25497,-129.37292,15.57882,5.8672,-3.30119,-9.17766,2.10904,-9.1215,6.34005,222.27552,0.85174,96.85462,-13.13465,2.85185,-0.53165,0.09485,-0.01665,0.00185,-5E-05,2.74923,45.50893,-16.35259,1.0313,-0.26721,0.07341,-0.01739,0.00351,-0.00035,-0.66694,-0.98656,5.56206,-1.19346,0.22599,-0.04131,0.00707,-0.00069,1E-05,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
8,2025-03-07,16:05:22.04,5,1,"Johnson, Kyle",10108184,Left,DUK_BLU,"Moutzouridis, Peter",10109595,Right,CAL_BEA,Undefined,1,Top,0,0,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,90.16847,-1.385591,4.917066,2049.553122,138.579473,10:30,5.80994,-2.51688,6.17432,-19.86285,14.85398,-11.97359,2.87008,1.03761,81.11023,-5.17574,2.768356,0.424074,,,,,,,,,,,,7.73221,8.48445,2.1499,50,5.69469,-10.70437,-130.35049,-3.74058,13.09826,31.34513,-17.80148,DUK_BLU,CAL_BEA,JackCoombs,D1,ACC,20250307-JackCoombs-1,e2365620-fb97-11ef-8f72-3ba0d2762536,88.88179,,,9.05823,,,,,,,fe85f74b-8222-459b-9662-3357ca8230a0,2025-03-07,21:05:22.04,2025-03-07T16:05:22.0403712-05:00,2025-03-07T21:05:22.0403712Z,,v3,471284,471259,,"Winslow, Macon",806264,Right,DUK_BLU,6742b481-8eed-4044-bd94-09adeab964a1,54.32043,-131.38531,15.67257,5.80848,-3.15288,-8.90074,2.51043,-11.13679,6.54913,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2025-03-07,16:05:37.55,5,2,"Johnson, Kyle",10108184,Left,DUK_BLU,"Moutzouridis, Peter",10109595,Right,CAL_BEA,Undefined,1,Top,0,0,1,Slider,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,77.53204,-0.122476,3.198888,2278.368083,284.831623,3:30,5.93208,-2.08093,5.80489,-48.14786,-0.21823,7.7926,1.80568,1.54647,69.79711,-8.993993,4.593334,0.49828,,,,,,,,,,,,-2.8111,0.49717,1.8136,50,5.89394,-6.56642,-112.18628,-1.75824,-3.48443,25.47498,-31.55778,DUK_BLU,CAL_BEA,JackCoombs,D1,ACC,20250307-JackCoombs-1,eb72d6a0-fb97-11ef-8f72-3ba0d2762536,75.6451,,,7.73493,,,,,,,fe85f74b-8222-459b-9662-3357ca8230a0,2025-03-07,21:05:37.55,2025-03-07T16:05:37.5582208-05:00,2025-03-07T21:05:37.5582208Z,,v3,471284,471259,,"Winslow, Macon",806264,Right,DUK_BLU,7c4ced50-f6f3-43e9-b2c5-55f51623d8c6,54.69003,-113.24628,12.73749,5.93979,-0.44515,-15.77889,2.08381,-6.42144,-1.74221,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2025-03-07,16:05:51.54,5,3,"Johnson, Kyle",10108184,Left,DUK_BLU,"Moutzouridis, Peter",10109595,Right,CAL_BEA,Undefined,1,Top,0,1,1,Fastball,Sinker,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,90.03949,-2.088146,3.508975,2155.800712,140.459309,10:45,5.86286,-2.33006,6.33622,-16.43812,18.3704,-14.02387,2.56596,-0.26391,80.34148,-5.292427,0.976508,0.424634,86.21762,59.782959,40.426124,2414.589328,,,,,30.36149,,,8.54863,10.68863,2.08073,50,5.70281,-7.41717,-130.307,-5.1731,14.31942,33.9616,-14.27007,DUK_BLU,CAL_BEA,JackCoombs,D1,ACC,20250307-JackCoombs-1,f3be4060-fb97-11ef-8f72-3ba0d2762536,88.76462,50.50951,,9.69801,,,,1.27831,2.55924,0.24095,fe85f74b-8222-459b-9662-3357ca8230a0,2025-03-07,21:05:51.54,2025-03-07T16:05:51.5498496-05:00,2025-03-07T21:05:51.5498496Z,,v3,471284,471259,,"Winslow, Macon",806264,Right,DUK_BLU,582cc264-149b-4c4d-bfbd-bc9f99712156,54.15925,-131.38654,16.9808,5.86003,-4.71949,-7.13503,2.32374,-7.87234,7.15971,210.51177,1.27831,48.44589,-18.61594,6.57448,-1.84966,0.48523,-0.12743,0.03281,-0.00642,2.55924,109.27062,-31.34375,4.00996,-0.61304,0.05035,0.00605,-0.00314,0,0.24095,41.26879,-0.10326,-1.19809,0.54911,-0.18528,0.05615,-0.01482,0.00251,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Undefined,,,
