PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-03-07,15:04:39.71,1,1,"Maloney, Collin",1000268389,Right,ASU_RED,"Gries-Smith, Eli",1000136902,Right,ARK_LIO,Undefined,1,Top,0,0,0,TwoSeamFastBall,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,,88.63119,-0.476096,-5.779916,2375.320467,250.124883,2:15,4.81039,3.8376,5.93244,-27.79435,7.795,18.54344,2.05021,0.00201,81.30927,-5.629948,-2.471845,0.42937,,,,,,,,,,,,-11.07083,4.43878,-3.38524,50,4.75629,12.2256,-128.27023,-2.0038,-18.55439,25.05484,-24.73476,ASU_RED,ARK_LIO,KellField,D1,SBELT,20250307-KellField-1,c9149ee0-fb97-11ef-ad98-0d23ed472f50,87.78551,,,7.32191,,,,,,,d19b73f1-cb91-4d81-86db-be87cfc8752f,2025-03-07,21:04:39.71,2025-03-07T15:04:39.7185024-06:00,2025-03-07T21:04:39.7185024Z,,v3,471233,471509,,"Amundson, Kaden",1000091247,Right,ASU_RED,818b1b39-b2d8-4288-a9ca-5f0c51655c7e,54.57037,-129.15987,12.52742,4.81185,-1.12552,-12.36738,-3.83104,12.88442,-9.2772,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2025-03-07,15:04:53.98,1,2,"Maloney, Collin",1000268389,Right,ASU_RED,"Gries-Smith, Eli",1000136902,Right,ARK_LIO,Undefined,1,Top,0,0,1,TwoSeamFastBall,Changeup,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,87.31632,0.427601,-5.867722,2383.87185,251.691846,2:30,4.76949,3.77551,5.69886,-29.84084,7.60111,19.0932,2.68334,-0.12059,79.09854,-5.105986,-2.478424,0.440403,,,,,,,,,,,,-11.40091,4.11079,-3.29335,50,4.78709,12.14325,-126.13303,-0.0808,-18.26177,27.02711,-25.58946,ASU_RED,ARK_LIO,KellField,D1,SBELT,20250307-KellField-1,d19b8b00-fb97-11ef-ad98-0d23ed472f50,85.58618,,,8.21778,,,,,,,d19b73f1-cb91-4d81-86db-be87cfc8752f,2025-03-07,21:04:53.98,2025-03-07T15:04:53.9863552-06:00,2025-03-07T21:04:53.9863552Z,,v3,471233,471509,,"Amundson, Kaden",1000091247,Right,ASU_RED,2412822e-c876-487a-8f0e-b3cc88f3f5dd,54.80144,-127.15769,13.51356,4.77176,0.88936,-12.79473,-3.76686,12.8356,-9.13088,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2025-03-07,15:05:10.29,1,3,"Maloney, Collin",1000268389,Right,ASU_RED,"Gries-Smith, Eli",1000136902,Right,ARK_LIO,Undefined,1,Top,0,0,2,TwoSeamFastBall,Sinker,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,89.41961,-0.361958,-5.292976,2359.086467,245.060898,2:15,4.8259,3.78302,5.78321,-26.07596,9.37583,17.60351,2.31469,0.31131,81.23867,-5.218087,-2.157963,0.428539,75.93177,20.076561,39.702138,5338.382969,76.03155,25.43859,79.49327,201.07835,174.17649,53.522648,2.669047,-10.53099,5.22729,-3.35619,50,4.78027,11.22987,-129.34578,-1.70925,-17.76779,28.00918,-23.35461,ASU_RED,ARK_LIO,KellField,D1,SBELT,20250307-KellField-1,db5021b0-fb97-11ef-ad98-0d23ed472f50,87.95563,25.43389,,8.18093,,,,1.2526,2.2301,-0.36063,d19b73f1-cb91-4d81-86db-be87cfc8752f,2025-03-07,21:05:10.29,2025-03-07T15:05:10.2907904-06:00,2025-03-07T21:05:10.2907904Z,LineDrive,v3,471233,471509,,"Amundson, Kaden",1000091247,Right,ASU_RED,65631024-2a8b-4e0c-a078-9d54df41408d,54.71777,-130.36339,14.00459,4.82695,-0.86074,-11.6773,-3.77592,11.87539,-8.88389,240.186751,1.25267,80.47339,-20.37007,4.08901,-0.89283,0.20916,-0.0552,0.01038,-0.00086,2.23006,38.23084,-17.00018,1.21386,-0.19384,0.02862,0.00086,-0.00081,7E-05,-0.36068,66.81927,-1.60702,-0.67692,0.34615,-0.15863,0.05961,-0.01324,0.00123,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,
4,2025-03-07,15:05:32.31,1,4,"Maloney, Collin",1000268389,Right,ASU_RED,"Gries-Smith, Eli",1000136902,Right,ARK_LIO,Undefined,1,Top,0,0,2,Slider,Slider,InPlay,Undefined,FlyBall,Out,1,0,,77.75003,1.475781,-3.295587,2538.799255,88.7177,9:00,4.87968,3.80951,5.33375,-45.96715,0.89784,-16.1708,2.43633,-0.63355,72.24666,-6.85586,-6.155669,0.492715,99.09372,17.909942,-1.27409,1963.829362,109.92942,31.79595,3.93567,303.31548,296.80715,6.797644,3.441591,7.38217,0.39937,-3.49921,50,4.97963,7.10885,-112.84021,1.37398,9.60858,18.70494,-31.65421,ASU_RED,ARK_LIO,KellField,D1,SBELT,20250307-KellField-1,e87b4180-fb97-11ef-ad98-0d23ed472f50,76.49951,38.67204,,5.50337,,,,2.42974,2.52617,0.49497,d19b73f1-cb91-4d81-86db-be87cfc8752f,2025-03-07,21:05:32.31,2025-03-07T15:05:32.3122176-06:00,2025-03-07T21:05:32.3122176Z,LineDrive,v3,471233,471509,,"Amundson, Kaden",1000091247,Right,ASU_RED,19e77d09-bbcf-4a89-bb6b-867f60e2c3a7,55.17034,-113.69405,9.35247,4.88393,2.81891,-15.82711,-3.8137,6.67024,4.80429,220.582407,2.42988,138.25532,-27.64303,6.45444,-1.27889,0.1876,-0.01487,-0.0004,0.00016,2.52594,44.70282,-13.65969,-0.53381,0.36299,-0.05659,-0.00704,0.00435,-0.00049,0.49492,-3.07277,10.39107,-4.10995,1.23008,-0.29102,0.05158,-0.00577,0.00029,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
5,2025-03-07,15:06:03.06,2,1,"Maloney, Collin",1000268389,Right,ASU_RED,"Voth, Brant",687928,Left,ARK_LIO,Undefined,1,Top,1,0,0,TwoSeamFastBall,Sinker,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,89.22749,-1.496956,-5.202123,2365.799947,241.209417,2:00,4.91885,3.5289,6.01638,-24.61304,10.62737,17.2121,1.47503,0.13105,81.32377,-6.100786,-2.12167,0.42726,69.03039,54.668345,-131.961922,3935.744816,,,,,50.83817,,,-10.40044,6.23528,-3.1296,50,4.78752,11.0531,-129.12289,-4.18235,-17.51086,27.57325,-21.67595,ASU_RED,ARK_LIO,KellField,D1,SBELT,20250307-KellField-1,fac47ff0-fb97-11ef-ad98-0d23ed472f50,88.21905,56.27256,,7.90372,,,,2.87182,1.55268,-0.15018,d19b73f1-cb91-4d81-86db-be87cfc8752f,2025-03-07,21:06:03.06,2025-03-07T15:06:03.0662656-06:00,2025-03-07T21:06:03.0662656Z,,v3,471233,471509,,"Amundson, Kaden",1000091247,Right,ASU_RED,c8f0b903-ff82-4a2c-a884-a14cbce64055,54.48533,-130.07717,13.78662,4.91928,-3.43217,-10.83798,-3.52262,11.65913,-8.75543,20.063946,2.87182,-39.14902,-2.34914,1.33744,0.00586,-1.14856,1.99208,-1.53437,0.44934,1.55268,82.59695,-27.82778,3.27226,-0.30829,-1.07745,1.8587,-1.39635,0.401,-0.15018,-43.5375,3.48577,-0.08511,0.01573,-0.22304,0.42987,-0.34825,0.1055,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Undefined,,,
6,2025-03-07,15:06:21.91,2,2,"Maloney, Collin",1000268389,Right,ASU_RED,"Voth, Brant",687928,Left,ARK_LIO,Undefined,1,Top,1,0,1,TwoSeamFastBall,Sinker,InPlay,Undefined,GroundBall,Single,0,0,,88.60801,-0.672697,-4.712486,2378.312233,255.756755,2:30,5.06437,3.55665,5.95236,-29.39612,6.14815,19.86722,1.98865,0.83176,81.23703,-6.120587,-1.155306,0.429098,,,,,,,,,,,,-11.48749,3.66138,-3.1924,50,4.9941,9.76933,-128.43016,-2.51001,-19.2522,25.74947,-26.03785,ASU_RED,ARK_LIO,KellField,D1,SBELT,20250307-KellField-1,0606e290-fb98-11ef-ad98-0d23ed472f50,87.84116,,,7.37098,,,,,,,d19b73f1-cb91-4d81-86db-be87cfc8752f,2025-03-07,21:06:21.91,2025-03-07T15:06:21.9101696-06:00,2025-03-07T21:06:21.9101696Z,,v3,471233,471509,,"Amundson, Kaden",1000091247,Right,ASU_RED,1aa199c6-3ffb-43bb-b0be-59a033cf2e2e,54.55023,-129.33924,12.87473,5.06649,-1.59075,-13.01893,-3.5493,10.44903,-9.6261,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2025-03-07,15:06:59.70,3,1,"Maloney, Collin",1000268389,Right,ASU_RED,"Rodriguez Velez, Carlos",1000120312,Right,ARK_LIO,Undefined,1,Top,1,0,0,TwoSeamFastBall,Changeup,InPlay,Undefined,GroundBall,Single,0,0,,86.40601,-0.06283,-5.331066,2351.144205,240.819835,2:00,5.06816,3.55127,5.9657,-26.99797,10.6778,16.87859,2.75982,0.00043,78.57463,-5.110859,-2.315791,0.441776,96.10299,-10.7511,33.879811,,,,,18.71065,18.23002,29.146588,0.125148,-10.23906,5.85953,-3.13703,50,5.04809,10.98945,-125.02665,-0.993,-16.15148,26.01498,-22.93098,ASU_RED,ARK_LIO,KellField,D1,SBELT,20250307-KellField-1,1c8984f0-fb98-11ef-ad98-0d23ed472f50,85.32017,3.00377,,7.83138,,,,2.18353,3.00377,-0.17322,d19b73f1-cb91-4d81-86db-be87cfc8752f,2025-03-07,21:06:59.70,2025-03-07T15:06:59.7085184-06:00,2025-03-07T21:06:59.7085184Z,GroundBall,v3,471233,471509,,"Amundson, Kaden",1000091247,Right,ASU_RED,8ad16a8b-82f9-41f5-8824-f9dd4e2c75ee,54.53549,-125.96684,13.00749,5.069,-0.16427,-11.46549,-3.54474,11.57317,-8.07574,155.405961,2.18358,114.95881,-14.62597,,,,,,,3.00283,-26.1937,17.63391,,,,,,,-0.17266,77.13546,-23.5153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Medium,High,,,
8,2025-03-07,15:07:41.35,4,1,"Maloney, Collin",1000268389,Right,ASU_RED,"Saumell, Michael",1000069475,Left,ARK_LIO,Undefined,1,Top,1,0,0,ChangeUp,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,82.80803,0.643073,-6.73551,1710.926466,273.926861,3:15,4.5426,3.51533,6.29358,-40.51357,0.23157,16.46883,1.7632,-1.34777,75.38461,-6.864373,-3.786624,0.459419,,,,,,,,,,,,-10.58713,0.28469,-3.02554,50,4.57062,13.52218,-119.5919,0.10756,-15.25629,24.13856,-31.76382,ASU_RED,ARK_LIO,KellField,D1,SBELT,20250307-KellField-1,35642110-fb98-11ef-ad98-0d23ed472f50,82.04364,,,7.42342,,,,,,,d19b73f1-cb91-4d81-86db-be87cfc8752f,2025-03-07,21:07:41.35,2025-03-07T15:07:41.3538304-06:00,2025-03-07T21:07:41.3538304Z,,v3,471233,471509,,"Amundson, Kaden",1000091247,Right,ASU_RED,db5da7b9-b52e-4ea6-a2ed-ca3e1d0c3ef4,54.209,-120.43845,12.06928,4.54731,1.22153,-15.88191,-3.50916,14.05723,-7.62814,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2025-03-07,15:07:58.79,4,2,"Maloney, Collin",1000268389,Right,ASU_RED,"Saumell, Michael",1000069475,Left,ARK_LIO,Undefined,1,Top,1,1,0,TwoSeamFastBall,Sinker,InPlay,Undefined,FlyBall,Out,1,0,,88.23187,-0.466551,-5.497955,2414.256968,244.750509,2:15,4.93429,3.51846,5.90163,-27.01249,9.218,16.99434,2.24812,-0.18503,80.28872,-5.499698,-2.466524,0.43322,90.21337,27.856452,-11.902741,3706.705237,105.65655,52.27969,-30.60537,275.09423,265.09436,-22.962791,4.512206,-10.29115,5.20374,-3.08497,50,4.88114,11.5764,-127.61901,-1.93822,-16.92348,26.96563,-23.61663,ASU_RED,ARK_LIO,KellField,D1,SBELT,20250307-KellField-1,3fc32890-fb98-11ef-ad98-0d23ed472f50,87.00529,62.98639,,7.94315,,,,1.09393,2.27278,0.18191,d19b73f1-cb91-4d81-86db-be87cfc8752f,2025-03-07,21:07:58.79,2025-03-07T15:07:58.7997696-06:00,2025-03-07T21:07:58.7997696Z,FlyBall,v3,471233,471509,,"Amundson, Kaden",1000091247,Right,ASU_RED,d404d2a7-6a1d-4bfe-b209-23a1da8ef433,54.59934,-128.58717,13.48282,4.9355,-1.0903,-11.80832,-3.51151,12.18401,-8.46174,144.14311,1.09508,114.44175,-28.14654,7.00969,-1.5576,0.31012,-0.05946,0.0085,-0.00053,2.27203,61.83802,-17.25144,0.58978,0.2139,-0.12428,0.03867,-0.00592,0.00034,0.18165,-24.12387,-4.26666,3.11796,-1.11264,0.27395,-0.045,0.00402,-0.00013,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,
10,2025-03-07,15:08:40.04,5,1,"Maloney, Collin",1000268389,Right,ASU_RED,"Small, Dane",10310987,Right,ARK_LIO,Undefined,1,Top,2,0,0,TwoSeamFastBall,Changeup,HitByPitch,Undefined,Undefined,Undefined,0,0,,86.31998,1.579931,-3.522761,2313.383343,252.775851,2:30,5.06028,3.60925,6.0824,-30.46533,6.92335,18.45395,3.98637,1.88377,78.55278,-4.109724,-0.206934,0.44009,,,,,,,,,,,,-10.57823,3.45292,-3.34678,50,5.16634,6.98248,-125.21314,2.48607,-16.74744,25.93597,-26.70739,ASU_RED,ARK_LIO,KellField,D1,SBELT,20250307-KellField-1,585b6480-fb98-11ef-ad98-0d23ed472f50,85.64713,,,7.7672,,,,,,,d19b73f1-cb91-4d81-86db-be87cfc8752f,2025-03-07,21:08:40.04,2025-03-07T15:08:40.0418816-06:00,2025-03-07T21:08:40.0418816Z,,v3,471233,471509,,"Amundson, Kaden",1000091247,Right,ASU_RED,87a7a2cb-2bae-402b-a5ec-e68ec3530415,54.41963,-126.12528,12.96798,5.06239,3.42533,-13.35369,-3.6027,7.57147,-8.37372,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
