PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-03-07,16:01:39.12,1,1,"Knaak, Aidan",1000092059,Right,CLE_TIG,"Jouras, Noah",1000282260,Right,DAV_WIL,Undefined,1,Top,0,0,0,FourSeamFastBall,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,88.92954,-1.955538,-2.502248,2139.666805,218.163926,1:15,6.31101,0.84478,5.82849,-16.67721,19.06966,14.01115,3.10096,-0.31516,80.61088,-5.145574,0.007252,0.430319,,,,,,,,,,,,-7.86028,10.66725,-0.64846,50,6.14136,5.02364,-128.89514,-4.87587,-13.11802,28.78886,-14.37144,CLE_TIG,DAV_WIL,KingsmoreStadium,D1,ACC,20250307-KingsmoreStadium-1,5d629530-fb97-11ef-8d21-739cf2dc2784,87.59187,,,8.31866,,,,,,,d23561a6-8dac-496a-aff4-d375b118dd5c,2025-03-07,21:01:39.12,2025-03-07T16:01:39.1262720-05:00,2025-03-07T21:01:39.1262720Z,,v3,471272,471280,,"Jarrell, Jacob",703447,Right,CLE_TIG,bbd58b75-222d-406c-b092-27a2ada188cc,54.66798,-129.93355,14.39443,6.30788,-4.3575,-7.18572,-0.8382,5.49681,-6.55901,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2025-03-07,16:01:55.28,1,2,"Knaak, Aidan",1000092059,Right,CLE_TIG,"Jouras, Noah",1000282260,Right,DAV_WIL,Undefined,1,Top,0,0,1,FourSeamFastBall,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,90.87836,-2.843247,-2.907568,2125.625183,208.911719,1:00,6.24777,0.93011,5.68778,-14.0467,20.51281,10.64611,2.42159,-0.89502,82.18257,-5.550255,-1.007313,0.423112,,,,,,,,,,,,-6.26918,11.62619,-0.69202,50,5.99957,6.19958,-131.52354,-6.92441,-10.87031,30.52985,-12.01512,CLE_TIG,DAV_WIL,KingsmoreStadium,D1,ACC,20250307-KingsmoreStadium-1,67052a80-fb97-11ef-8d21-739cf2dc2784,89.08387,,,8.69579,,,,,,,d23561a6-8dac-496a-aff4-d375b118dd5c,2025-03-07,21:01:55.28,2025-03-07T16:01:55.2805376-05:00,2025-03-07T21:01:55.2805376Z,,v3,471272,471280,,"Jarrell, Jacob",703447,Right,CLE_TIG,b8f6d104-ffbc-4385-af64-d232f020b8f1,54.80822,-132.63495,15.26493,6.24368,-6.48701,-6.00756,-0.92491,6.5953,-5.43516,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2025-03-07,16:02:07.75,1,3,"Knaak, Aidan",1000092059,Right,CLE_TIG,"Jouras, Noah",1000282260,Right,DAV_WIL,Undefined,1,Top,0,0,2,Curveball,Curveball,StrikeCalled,Strikeout,Undefined,Undefined,0,0,,79.62137,1.185709,0.254147,1804.404299,14.248991,6:30,6.2976,0.66049,5.42995,-51.8633,-7.1141,-2.15303,3.08629,0.71909,73.2848,-8.241015,-0.129697,0.481464,,,,,,,,,,,,1.15917,-3.54425,-0.68144,50,6.36627,-0.42833,-115.67294,0.58628,1.57096,21.52191,-36.97744,CLE_TIG,DAV_WIL,KingsmoreStadium,D1,ACC,20250307-KingsmoreStadium-1,6e79e350-fb97-11ef-8d21-739cf2dc2784,78.28708,,,6.33657,,,,,,,d23561a6-8dac-496a-aff4-d375b118dd5c,2025-03-07,21:02:07.75,2025-03-07T16:02:07.7506048-05:00,2025-03-07T21:02:07.7506048Z,,v3,471272,471280,,"Jarrell, Jacob",703447,Right,CLE_TIG,6910c7a7-e168-46b7-b46a-2655ab7d2178,55.07158,-116.61273,10.76096,6.30542,2.20096,-18.48872,-0.66124,-0.49693,0.78548,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2025-03-07,16:04:18.35,2,1,"Knaak, Aidan",1000092059,Right,CLE_TIG,"Daly, Jameson",1000097079,Left,DAV_WIL,Undefined,1,Top,1,0,0,FourSeamFastBall,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,90.5833,-3.315124,-0.599025,2027.866268,209.697541,1:00,6.23465,0.99744,5.73418,-16.60997,17.33623,9.33012,1.75972,1.2171,83.83733,-6.423526,1.071402,0.41934,,,,,,,,,,,,-4.9089,9.9591,-0.95339,50,5.948,0.97425,-131.52104,-8.14278,-8.69925,24.82719,-14.52513,CLE_TIG,DAV_WIL,KingsmoreStadium,D1,ACC,20250307-KingsmoreStadium-1,bc4c3880-fb97-11ef-8d21-739cf2dc2784,89.88505,,,6.74597,,,,,,,d23561a6-8dac-496a-aff4-d375b118dd5c,2025-03-07,21:04:18.35,2025-03-07T16:04:18.3589376-05:00,2025-03-07T21:04:18.3589376Z,,v3,471272,471280,,"Jarrell, Jacob",703447,Right,CLE_TIG,9943c662-62ec-49e3-9fd6-d746561b1a00,54.76555,-132.41757,12.4136,6.23257,-7.61826,-7.26256,-0.99424,1.28839,-4.34963,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2025-03-07,16:04:30.27,2,2,"Knaak, Aidan",1000092059,Right,CLE_TIG,"Daly, Jameson",1000097079,Left,DAV_WIL,Undefined,1,Top,1,1,0,Curveball,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,80.19135,1.664313,-0.566228,1703.076852,359.414481,6:00,6.32699,0.77024,5.50731,-47.81747,-4.04488,0.05429,3.89917,0.24521,74.00918,-7.051379,-0.556548,0.476181,,,,,,,,,,,,-0.17417,-2.06937,-0.72087,50,6.43992,1.14945,-116.52589,1.72639,-0.24106,20.55969,-35.03784,CLE_TIG,DAV_WIL,KingsmoreStadium,D1,ACC,20250307-KingsmoreStadium-1,c368bf30-fb97-11ef-8d21-739cf2dc2784,79.15563,,,6.18217,,,,,,,d23561a6-8dac-496a-aff4-d375b118dd5c,2025-03-07,21:04:30.27,2025-03-07T16:04:30.2786560-05:00,2025-03-07T21:04:30.2786560Z,,v3,471272,471280,,"Jarrell, Jacob",703447,Right,CLE_TIG,0bad1604-b6f4-438f-af9a-93d77485042e,54.99344,-117.40362,10.27984,6.33429,3.22222,-17.51892,-0.77016,1.15974,-0.12053,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2025-03-07,16:04:42.24,2,3,"Knaak, Aidan",1000092059,Right,CLE_TIG,"Daly, Jameson",1000097079,Left,DAV_WIL,Undefined,1,Top,1,2,0,ChangeUp,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,76.43452,1.031836,-1.231905,2163.845191,236.820645,2:00,6.17121,0.92608,5.907,-35.50955,12.28194,16.48367,4.17018,1.15607,69.93809,-5.588901,1.727056,0.497561,,,,,,,,,,,,-8.73552,6.46941,-0.83633,50,6.2339,1.78101,-111.00958,0.97709,-10.89469,19.97163,-24.10559,CLE_TIG,DAV_WIL,KingsmoreStadium,D1,ACC,20250307-KingsmoreStadium-1,ca9105b0-fb97-11ef-8d21-739cf2dc2784,75.75435,,,6.49643,,,,,,,d23561a6-8dac-496a-aff4-d375b118dd5c,2025-03-07,21:04:42.24,2025-03-07T16:04:42.2455296-05:00,2025-03-07T21:04:42.2455296Z,,v3,471272,471280,,"Jarrell, Jacob",703447,Right,CLE_TIG,2d550794-0583-4ff6-b1ac-54c015993c2b,54.5905,-111.83241,9.98581,6.17319,1.97023,-12.05279,-0.91895,2.22987,-5.44734,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2025-03-07,16:04:55.79,2,4,"Knaak, Aidan",1000092059,Right,CLE_TIG,"Daly, Jameson",1000097079,Left,DAV_WIL,Undefined,1,Top,1,3,0,FourSeamFastBall,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,90.27274,-3.495233,-1.484663,2116.100654,210.323014,1:00,6.2387,0.88531,5.88365,-15.14068,19.07674,10.53914,1.7261,0.38457,83.01347,-6.365301,0.406592,0.421013,,,,,,,,,,,,-5.78945,11.01658,-0.7716,50,5.94749,2.94718,-130.9567,-8.43814,-10.10747,26.27495,-12.94086,CLE_TIG,DAV_WIL,KingsmoreStadium,D1,ACC,20250307-KingsmoreStadium-1,d298fdd0-fb97-11ef-8d21-739cf2dc2784,89.52802,,,7.25927,,,,,,,d23561a6-8dac-496a-aff4-d375b118dd5c,2025-03-07,21:04:55.79,2025-03-07T16:04:55.7918208-05:00,2025-03-07T21:04:55.7918208Z,,v3,471272,471280,,"Jarrell, Jacob",703447,Right,CLE_TIG,19d7e840-5840-4872-86dd-b88702f69194,54.61539,-131.87947,13.13748,6.23586,-7.98366,-6.47043,-0.88134,3.30216,-5.05374,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2025-03-07,16:05:09.39,2,5,"Knaak, Aidan",1000092059,Right,CLE_TIG,"Daly, Jameson",1000097079,Left,DAV_WIL,Undefined,1,Top,1,3,2,FourSeamFastBall,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,91.47604,-1.748713,-1.801547,2130.677926,212.55502,1:00,6.23171,1.0329,5.75427,-16.47434,17.03316,10.20457,3.2297,0.2057,83.74763,-4.866051,0.024672,0.416622,77.34688,10.478548,-173.73235,3401.279994,-109.02632,8.06197,-14.60318,150.30976,46.43229,-172.015839,1.57932,-5.58296,9.41398,-0.88909,50,6.0763,3.70193,-132.74326,-4.55436,-9.99703,27.46868,-15.31705,CLE_TIG,DAV_WIL,KingsmoreStadium,D1,ACC,20250307-KingsmoreStadium-1,dabae690-fb97-11ef-8d21-739cf2dc2784,90.47155,10.38293,,7.72841,,,,1.04907,3.26525,-0.26172,d23561a6-8dac-496a-aff4-d375b118dd5c,2025-03-07,21:05:09.39,2025-03-07T16:05:09.3904896-05:00,2025-03-07T21:05:09.3904896Z,GroundBall,v3,471272,471280,,"Jarrell, Jacob",703447,Right,CLE_TIG,2dd646ff-96dc-4f93-8133-96edd3491173,54.74076,-133.72067,13.73434,6.22866,-4.00934,-7.65852,-1.02715,4.05765,-4.99852,217.936911,0.8031,-108.71177,8.9182,,,,,,,3.37582,19.6879,-13.8611,,,,,,,-0.23141,-12.44958,-0.40486,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Low,,,
9,2025-03-07,16:05:29.25,2,6,"Knaak, Aidan",1000092059,Right,CLE_TIG,"Daly, Jameson",1000097079,Left,DAV_WIL,Undefined,1,Top,1,3,2,FourSeamFastBall,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,92.64597,-2.319519,-2.033759,2159.337057,213.924378,1:15,6.33119,0.83989,5.92186,-14.03296,18.40851,11.70323,3.00683,-0.07288,84.92147,-5.000004,0.066752,0.409941,72.78267,20.125801,-166.435185,1304.071223,-106.69783,15.42632,-26.75008,160.20634,46.68704,-165.807704,1.828162,-6.58552,10.39379,-0.68392,50,6.13748,4.27597,-134.5059,-5.86032,-12.10241,28.31806,-13.0731,CLE_TIG,DAV_WIL,KingsmoreStadium,D1,ACC,20250307-KingsmoreStadium-1,e6887230-fb97-11ef-8d21-739cf2dc2784,91.94591,17.90838,,7.7245,,,,1.40677,2.87972,0.09349,d23561a6-8dac-496a-aff4-d375b118dd5c,2025-03-07,21:05:29.25,2025-03-07T16:05:29.2598272-05:00,2025-03-07T21:05:29.2598272Z,LineDrive,v3,471272,471280,,"Jarrell, Jacob",703447,Right,CLE_TIG,4009e9a5-8bc7-4d0d-b7e9-fc60742bf8c7,54.57808,-135.46631,14.15903,6.32872,-5.41694,-6.53655,-0.8359,4.68643,-6.05121,352.971316,1.38122,-97.21069,6.29151,,,,,,,3.26368,33.85453,-19.59548,,,,,,,0.11192,-23.64127,1.14013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Low,,,
10,2025-03-07,16:05:49.23,2,7,"Knaak, Aidan",1000092059,Right,CLE_TIG,"Daly, Jameson",1000097079,Left,DAV_WIL,Undefined,1,Top,1,3,2,FourSeamFastBall,Four-Seam,InPlay,Undefined,FlyBall,Out,1,0,,92.59892,-2.670438,-1.85996,2079.068245,216.721844,1:15,6.28016,0.74335,6.06031,-15.2645,17.07166,11.98016,2.53343,0.01962,84.89077,-5.57527,0.296575,0.409275,88.8115,33.750107,-12.958907,3472.015257,104.47593,66.26456,-34.42015,316.91992,309.7105,-26.946581,4.993479,-6.73965,9.86457,-0.60557,50,6.06453,3.86782,-134.44276,-6.72439,-12.36012,28.59891,-14.083,CLE_TIG,DAV_WIL,KingsmoreStadium,D1,ACC,20250307-KingsmoreStadium-1,f271ea40-fb97-11ef-8d21-739cf2dc2784,92.09555,83.34214,,7.70815,,,,1.49107,2.55124,-0.01482,d23561a6-8dac-496a-aff4-d375b118dd5c,2025-03-07,21:05:49.23,2025-03-07T16:05:49.2328960-05:00,2025-03-07T21:05:49.2328960Z,FlyBall,v3,471272,471280,,"Jarrell, Jacob",703447,Right,CLE_TIG,ac6a87eb-c6ee-4209-a66a-343ff87e12f8,54.44006,-135.38396,14.29945,6.27821,-6.26092,-7.0415,-0.73955,4.2746,-6.18006,145.278639,1.49638,105.43333,-23.4305,5.28791,-0.66442,-0.04924,0.03326,-0.00448,0.0002,2.54958,72.39305,-17.60027,0.42232,0.25545,-0.15071,0.04622,-0.00695,0.00039,-0.01386,-24.3087,-4.76821,2.14613,-0.58867,0.11134,-0.0151,0.00142,-7E-05,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,
