PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-03-07,15:59:55.99,1,1,"Casteel, Cooper",824450,Left,LEE_UNI,"Davis, Colby",1000058420,Right,UNI_COL,Undefined,1,Top,0,0,0,Fastball,Four-Seam,InPlay,Undefined,FlyBall,Out,1,0,,87.61118,-3.103114,1.014079,2217.508288,139.955136,10:45,6.25582,-0.3195,5.49125,-21.81607,14.99442,-11.66225,1.53158,-0.34259,80.78198,-7.139082,-1.065183,0.436674,86.18255,25.256811,-1.763744,3569.977649,109.96646,47.85374,2.71448,281.55196,279.58869,6.166514,4.44161,6.19496,8.73327,0.239,50,5.96922,-1.75541,-127.12006,-7.62742,10.19733,24.60451,-17.79848,LEE_UNI,UNI_COL,LeeUniversity,D2,Team,20250307-LeeUniversity-1,2010cc60-fb97-11ef-88d3-a7a88592b99e,86.31715,59.05089,,6.82921,,,,1.45256,1.71668,0.36229,faef7455-fb7b-4c4e-9459-557f06d0277e,2025-03-07,20:59:55.99,2025-03-07T15:59:55.9937536-05:00,2025-03-07T20:59:55.9937536Z,LineDrive,v3,,,,"French, Isaiah",10050808,Right,LEE_UNI,35f389b6-b363-4103-9703-202c693dfa26,55.00986,-128.08606,12.30225,6.25496,-6.92863,-8.89924,0.31578,-2.15577,5.09866,200.946847,1.45198,114.27504,-24.58822,5.71918,-1.21164,0.25297,-0.0485,0.00638,-0.00037,1.71843,53.89514,-12.13377,-0.85971,0.56328,-0.22073,0.05781,-0.00808,0.00045,0.36223,-3.51282,6.59731,-2.11572,0.46087,-0.06618,0.00598,-0.00036,1E-05,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
2,2025-03-07,16:00:23.89,2,1,"Casteel, Cooper",824450,Left,LEE_UNI,"Barrett, Dyllon",10032704,Right,UNI_COL,Undefined,1,Top,1,0,0,Fastball,Changeup,StrikeCalled,Undefined,Undefined,Undefined,0,0,,86.23317,-1.43743,1.528913,2285.307186,122.991813,10:00,6.269,-0.33906,5.59696,-27.53671,10.42764,-14.22044,2.63147,-0.09629,79.07812,-6.52958,-1.011064,0.443465,,,,,,,,,,,,7.59485,6.04733,0.21728,50,6.12798,-2.73372,-125.17636,-4.08172,12.06238,25.03289,-22.56946,LEE_UNI,UNI_COL,LeeUniversity,D2,Team,20250307-LeeUniversity-1,30b3add0-fb97-11ef-88d3-a7a88592b99e,84.99528,,,7.15506,,,,,,,faef7455-fb7b-4c4e-9459-557f06d0277e,2025-03-07,21:00:23.89,2025-03-07T16:00:23.8945792-05:00,2025-03-07T21:00:23.8945792Z,,v3,,,,"French, Isaiah",10050808,Right,LEE_UNI,f633494f-e250-41b7-a83b-e0a3eae3347a,54.9023,-126.15291,12.51644,6.27004,-3.20126,-11.28473,0.3331,-3.20428,6.03119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2025-03-07,16:00:36.15,2,2,"Casteel, Cooper",824450,Left,LEE_UNI,"Barrett, Dyllon",10032704,Right,UNI_COL,Undefined,1,Top,1,0,1,Fastball,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,87.65245,-2.234136,0.040611,2322.747562,126.464557,10:15,6.32051,-0.38291,5.61433,-25.24639,11.3852,-13.89434,2.13036,-1.50287,80.70149,-6.895225,-2.442586,0.435612,,,,,,,,,,,,7.05335,6.71886,0.38855,50,6.11339,0.50352,-127.2715,-5.82883,11.60997,25.25476,-21.11464,LEE_UNI,UNI_COL,LeeUniversity,D2,Team,20250307-LeeUniversity-1,37f98e70-fb97-11ef-88d3-a7a88592b99e,86.52763,,,6.95096,,,,,,,faef7455-fb7b-4c4e-9459-557f06d0277e,2025-03-07,21:00:36.15,2025-03-07T16:00:36.1534976-05:00,2025-03-07T21:00:36.1534976Z,,v3,,,,"French, Isaiah",10050808,Right,LEE_UNI,64ab5f93-583b-40f2-8058-d7b3fd715d5e,54.88574,-128.23733,12.62738,6.32086,-5.02134,-10.55732,0.37779,0.05952,5.80498,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2025-03-07,16:00:49.86,2,3,"Casteel, Cooper",824450,Left,LEE_UNI,"Barrett, Dyllon",10032704,Right,UNI_COL,Undefined,1,Top,1,1,1,Fastball,Sinker,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,87.23094,-2.635846,0.52339,2215.369539,137.231235,10:30,6.3002,-0.42608,5.64598,-23.62702,12.62237,-10.84957,1.87074,-0.84198,81.83427,-6.968783,-1.416861,0.433333,68.58537,44.413342,125.933691,3784.809497,,,,,35.98128,,,5.67646,7.26977,0.38892,50,6.06111,-0.71971,-126.89419,-6.64564,9.48007,20.05605,-20.033,LEE_UNI,UNI_COL,LeeUniversity,D2,Team,20250307-LeeUniversity-1,402a4440-fb97-11ef-88d3-a7a88592b99e,86.98263,31.88036,,5.39667,,,,1.05206,1.91827,0.8399,faef7455-fb7b-4c4e-9459-557f06d0277e,2025-03-07,21:00:49.86,2025-03-07T16:00:49.8690560-05:00,2025-03-07T21:00:49.8690560Z,,v3,,,,"French, Isaiah",10050808,Right,LEE_UNI,53d9bde0-4dac-4713-94b5-8b1dd8419491,54.85717,-127.65957,10.02803,6.30013,-5.88114,-10.0165,0.42329,-1.08149,4.74003,317.584602,1.05206,-42.1672,-2.35797,1.72828,-0.57466,0.15073,-0.0341,0.00416,0.00083,1.91827,70.39707,-26.26601,2.96315,-0.51598,0.06588,-0.0058,-0.00247,0.00167,0.8399,58.17967,-9.64261,2.9587,-0.7117,0.15135,-0.03033,0.00245,0.00125,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Undefined,,,
5,2025-03-07,16:01:05.50,2,4,"Casteel, Cooper",824450,Left,LEE_UNI,"Barrett, Dyllon",10032704,Right,UNI_COL,Undefined,1,Top,1,1,2,Curveball,Curveball,StrikeCalled,Strikeout,Undefined,Undefined,0,0,,76.09468,1.307047,-0.133294,2604.648839,306.859725,4:15,6.12745,-0.75517,5.06996,-55.62125,-6.79949,10.70068,2.72491,0.01087,71.32371,-8.683333,1.761757,0.502896,,,,,,,,,,,,-5.36607,-3.30673,0.75896,50,6.20676,-0.15852,-110.71285,0.5761,-6.78503,16.29441,-36.3552,LEE_UNI,UNI_COL,LeeUniversity,D2,Team,20250307-LeeUniversity-1,498cc350-fb97-11ef-88d3-a7a88592b99e,74.95077,,,4.77097,,,,,,,faef7455-fb7b-4c4e-9459-557f06d0277e,2025-03-07,21:01:05.50,2025-03-07T16:01:05.5044608-05:00,2025-03-07T21:01:05.5044608Z,,v3,,,,"French, Isaiah",10050808,Right,LEE_UNI,c40a77e4-348b-4128-97a2-499a9db75b69,55.43508,-111.5099,8.14721,6.13508,2.35444,-18.1776,0.7586,0.17337,-3.39252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2025-03-07,16:01:29.00,3,1,"Casteel, Cooper",824450,Left,LEE_UNI,"Chavies, Carson",10065300,Right,UNI_COL,Undefined,1,Top,2,0,0,Fastball,Four-Seam,InPlay,Undefined,Bunt,Out,1,0,,86.11327,-1.639843,0.63722,2082.391949,144.067177,10:45,6.3039,-0.48188,5.77337,-21.34285,16.58091,-11.12205,2.99884,-0.81572,78.64206,-5.653537,-1.355356,0.443228,41.90223,-46.950287,-48.671831,,,,,5.04253,5.04253,-16.402899,0.069107,5.89803,9.30953,0.43623,50,6.15563,-0.93941,-125.03057,-4.23416,9.3064,25.96449,-17.48465,LEE_UNI,UNI_COL,LeeUniversity,D2,Team,20250307-LeeUniversity-1,577eb590-fb97-11ef-88d3-a7a88592b99e,85.04077,3.14384,,7.47121,,,,2.89793,3.14384,0.78139,faef7455-fb7b-4c4e-9459-557f06d0277e,2025-03-07,21:01:29.00,2025-03-07T16:01:29.0071040-05:00,2025-03-07T21:01:29.0071040Z,GroundBall,v3,,,,"French, Isaiah",10050808,Right,LEE_UNI,9940d3bb-3f21-4e45-b6fc-63387d45d1dd,54.72681,-126.00834,12.98225,6.30268,-3.57572,-8.74232,0.47821,-1.28987,4.6532,,2.89393,28.06327,,,,,,,,3.15031,-45.49241,,,,,,,,0.78593,-31.91209,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Estimated,Estimated,,,
7,2025-03-07,16:04:04.59,1,1,"Ramsey, Eli",1000305927,Left,UNI_COL,"Williams, JJ",1000234411,Right,LEE_UNI,Undefined,1,Bottom,0,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,86.11019,-1.449473,0.324372,2057.630875,189.985918,12:15,6.91824,-0.76912,6.00266,-19.08788,18.77615,3.07386,3.98425,-0.21241,78.02406,-5.095939,0.877279,0.442879,,,,,,,,,,,,-1.46197,10.44741,0.74205,50,6.79369,-0.83588,-124.92609,-3.68078,-2.28835,27.40576,-15.8211,LEE_UNI,UNI_COL,LeeUniversity,D2,Team,20250307-LeeUniversity-1,b43e9b10-fb97-11ef-88d3-a7a88592b99e,85.10783,,,8.08613,,,,,,,faef7455-fb7b-4c4e-9459-557f06d0277e,2025-03-07,21:04:04.59,2025-03-07T16:04:04.5918720-05:00,2025-03-07T21:04:04.5918720Z,,v3,,,,"Pace, Canyon",1000305321,Right,UNI_COL,70a7a58e-555e-447c-b4de-690796260fe4,54.49256,-125.9078,13.70288,6.91539,-3.11405,-7.91055,0.77052,-0.75391,-1.14417,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2025-03-07,16:04:22.10,1,2,"Ramsey, Eli",1000305927,Left,UNI_COL,"Williams, JJ",1000234411,Right,LEE_UNI,Undefined,1,Bottom,0,1,0,ChangeUp,Slider,InPlay,Undefined,GroundBall,Out,1,0,,79.77826,-0.758904,1.077581,1264.231706,204.35508,12:45,6.64137,-1.01813,5.98977,-32.10348,11.91883,4.72414,3.26258,0.37436,72.70732,-6.75496,1.927366,0.477538,88.17805,-11.226983,-15.9348,,,,,15.53771,15.53771,-16.325929,0.117175,-2.10882,6.79347,0.93053,50,6.5639,-2.35404,-115.81601,-2.47641,-2.84094,23.27761,-23.02214,LEE_UNI,UNI_COL,LeeUniversity,D2,Team,20250307-LeeUniversity-1,be9f2930-fb97-11ef-88d3-a7a88592b99e,78.93079,3.10875,,7.07094,,,,0.81131,3.10875,-0.33764,faef7455-fb7b-4c4e-9459-557f06d0277e,2025-03-07,21:04:22.10,2025-03-07T16:04:22.1049344-05:00,2025-03-07T21:04:22.1049344Z,GroundBall,v3,,,,"Pace, Canyon",1000305321,Right,UNI_COL,cfa677c9-e18f-4d3b-98f0-c679f6293117,54.50863,-116.71867,11.63881,6.64262,-1.58366,-11.51107,1.01969,-2.24387,-1.42047,168.167273,0.81145,121.96176,-13.92742,,,,,,,3.10878,-25.18375,-11.50213,,,,,,,-0.33767,-34.82233,3.66654,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
9,2025-03-07,16:04:53.28,2,1,"Ramsey, Eli",1000305927,Left,UNI_COL,"Collier, Luke",1000234418,Right,LEE_UNI,Undefined,1,Bottom,1,0,0,ChangeUp,Changeup,InPlay,Undefined,Bunt,Single,0,0,,79.75014,-1.805013,0.480996,1216.442161,166.288834,11:30,6.60362,-0.98916,6.4301,-32.76923,10.00532,-2.13051,2.21324,-0.7246,73.76902,-7.914898,0.094111,0.470721,,,,,,,,,,,,1.25209,6.08906,0.95589,50,6.46011,-0.9021,-115.99334,-4.55744,1.71397,20.72651,-23.83871,LEE_UNI,UNI_COL,LeeUniversity,D2,Team,20250307-LeeUniversity-1,d13cf040-fb97-11ef-88d3-a7a88592b99e,80.07376,,,5.98113,,,,,,,faef7455-fb7b-4c4e-9459-557f06d0277e,2025-03-07,21:04:53.28,2025-03-07T16:04:53.2830208-05:00,2025-03-07T21:04:53.2830208Z,,v3,,,,"Pace, Canyon",1000305321,Right,UNI_COL,c792adf0-facc-4eed-8ee5-9a637298bffe,54.0712,-116.71854,10.36325,6.60498,-3.72334,-11.91936,0.9885,-0.96207,0.85698,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2025-03-07,16:05:33.43,3,1,"Ramsey, Eli",1000305927,Left,UNI_COL,"French, Isaiah",10050808,Right,LEE_UNI,Undefined,1,Bottom,1,0,0,ChangeUp,Changeup,StrikeCalled,Undefined,Undefined,Undefined,0,0,,78.87458,-0.258365,0.926442,1182.617644,154.293471,11:15,6.62614,-0.93727,6.15031,-34.76085,9.39591,-3.89614,3.49065,-0.40585,72.8002,-6.723118,0.223251,0.478266,,,,,,,,,,,,2.24748,5.35095,0.8687,50,6.58865,-1.71337,-114.68821,-1.52831,3.01241,19.95423,-25.00192,LEE_UNI,UNI_COL,LeeUniversity,D2,Team,20250307-LeeUniversity-1,e93d0ae0-fb97-11ef-88d3-a7a88592b99e,78.81054,,,6.07438,,,,,,,faef7455-fb7b-4c4e-9459-557f06d0277e,2025-03-07,21:05:33.43,2025-03-07T16:05:33.4313984-05:00,2025-03-07T21:05:33.4313984Z,,v3,,,,"Pace, Canyon",1000305321,Right,UNI_COL,2f000be0-b2f6-4536-9eed-75af456fab84,54.34874,-115.44235,9.97712,6.62855,-0.5834,-12.50096,0.93561,-1.82722,1.50621,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
