PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-03-07,15:02:20.81,1,1,"Cuthbertson, Hayden",1000251883,Left,MIA_RED,"Konczak, Caden",1000236670,Left,TOL_ROC,Undefined,1,Top,0,0,0,Fastball,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,87.57447,1.041535,2.944143,2054.34666,111.735236,9:45,4.22906,-2.28449,6.48951,-27.51379,8.73465,-18.5747,2.89377,-1.12717,78.60263,-4.183891,-0.422801,0.433327,,,,,,,,,,,,10.59209,4.62319,2.08489,50,4.29038,-5.7858,-126.98824,1.49903,16.98042,30.43141,-24.7625,MIA_RED,TOL_ROC,McKieFieldStad,D1,MAC,20250307-McKieFieldStad-1,14854c70-fb8f-11ef-aa2e-0729f69002f9,86.98375,,,8.97184,,,,,,,00a68d48-7c64-4ee4-b0c5-2caa2b43240b,2025-03-07,20:02:20.81,2025-03-07T15:02:20.8122368-05:00,2025-03-07T20:02:20.8122368Z,,v3,471355,471468,,"Novak, David",1000076952,Right,MIA_RED,8a521093-8453-43c5-8582-f4d66a33a2ea,54.00569,-127.94456,15.21571,4.23104,2.2772,-12.38125,2.27509,-6.31942,8.49021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2025-03-07,15:02:39.95,1,2,"Cuthbertson, Hayden",1000251883,Left,MIA_RED,"Konczak, Caden",1000236670,Left,TOL_ROC,Undefined,1,Top,0,1,0,Fastball,Changeup,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,87.36678,0.93136,3.190455,2067.608988,104.461968,9:30,4.10488,-2.29642,6.57032,-29.96809,6.09386,-18.80029,2.46265,-0.93564,79.00664,-4.728422,-0.222219,0.432211,49.9751,-26.174804,63.377367,,,,,5.89567,5.89567,63.3383,0.063361,10.91111,3.25642,2.08455,50,4.1564,-6.36234,-126.81223,1.17677,17.5559,28.81745,-26.9345,MIA_RED,TOL_ROC,McKieFieldStad,D1,MAC,20250307-McKieFieldStad-1,1fed8690-fb8f-11ef-aa2e-0729f69002f9,87.20842,2.0607,,8.36013,,,,0.76678,2.0607,1.52075,00a68d48-7c64-4ee4-b0c5-2caa2b43240b,2025-03-07,20:02:39.95,2025-03-07T15:02:39.9567872-05:00,2025-03-07T20:02:39.9567872Z,GroundBall,v3,471355,471468,,"Novak, David",1000076952,Right,MIA_RED,15585dd6-9ba3-4146-b6fc-25d896d1f824,53.92842,-127.70182,14.40872,4.10724,2.00824,-13.46725,2.28932,-6.90429,8.77795,180,0.76501,29.65102,,,,,,,,2.06265,-32.52292,,,,,,,,1.51721,59.15335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Low,Medium,,,
3,2025-03-07,15:03:10.10,1,3,"Cuthbertson, Hayden",1000251883,Left,MIA_RED,"Konczak, Caden",1000236670,Left,TOL_ROC,Undefined,1,Top,0,1,1,Fastball,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,89.17016,-0.174944,6.611607,2042.889847,116.696609,10:00,4.16943,-2.30988,6.67862,-24.16828,10.22749,-18.1534,1.99431,2.25219,81.37062,-4.746476,3.337219,0.422108,,,,,,,,,,,,11.27217,5.77744,1.87214,50,4.14798,-14.23357,-128.90962,-1.08337,19.00807,26.26466,-22.4316,MIA_RED,TOL_ROC,McKieFieldStad,D1,MAC,20250307-McKieFieldStad-1,31ffaf70-fb8f-11ef-aa2e-0729f69002f9,89.29567,,,7.79955,,,,,,,00a68d48-7c64-4ee4-b0c5-2caa2b43240b,2025-03-07,20:03:10.10,2025-03-07T15:03:10.1090304-05:00,2025-03-07T20:03:10.1090304Z,,v3,471355,471468,,"Novak, David",1000076952,Right,MIA_RED,fe4698cd-f28a-41f0-aaef-fd4aa7dbfcda,53.81925,-129.68544,13.13233,4.17019,-0.42077,-11.2158,2.30087,-14.79504,9.50404,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2025-03-07,15:03:27.94,1,4,"Cuthbertson, Hayden",1000251883,Left,MIA_RED,"Konczak, Caden",1000236670,Left,TOL_ROC,Undefined,1,Top,0,2,1,Fastball,Sinker,InPlay,Undefined,LineDrive,Double,0,0,,89.05827,-0.028855,5.028674,2137.386492,114.54165,9:45,4.15997,-2.48234,6.5279,-24.34182,10.43075,-20.24596,2.10491,0.4555,80.69894,-4.645385,1.368923,0.424414,96.7368,22.623865,-17.086167,3524.041774,102.47697,41.22459,-39.98077,351.68861,294.577,-31.353491,4.223545,12.11583,5.82205,2.1404,50,4.14744,-10.56479,-129.01365,-0.77275,20.27257,28.65592,-22.43243,MIA_RED,TOL_ROC,McKieFieldStad,D1,MAC,20250307-McKieFieldStad-1,3c9ef440-fb8f-11ef-aa2e-0729f69002f9,88.81051,55.14386,,8.35933,,,,1.01391,2.0984,-0.41483,00a68d48-7c64-4ee4-b0c5-2caa2b43240b,2025-03-07,20:03:27.94,2025-03-07T15:03:27.9434752-05:00,2025-03-07T20:03:27.9434752Z,LineDrive,v3,471355,471468,,"Novak, David",1000076952,Right,MIA_RED,78c34a28-0b5b-4b5d-9728-3cc97e659d9e,53.97065,-129.8926,14.32796,4.16059,-0.08469,-11.21622,2.47399,-11.1866,10.13628,136.18796,1.01309,125.20403,-25.17064,5.80399,-1.39018,0.32929,-0.06449,0.00796,-0.00042,2.09932,54.55321,-14.80764,0.21685,0.23203,-0.1197,0.0316,-0.00399,0.00018,-0.41469,-38.47951,-3.87958,1.58173,-0.44291,0.09062,-0.01312,0.00121,-5E-05,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,
5,2025-03-07,15:04:13.00,2,1,"Cuthbertson, Hayden",1000251883,Left,MIA_RED,"Sudbrook, Troy",1000182670,Left,TOL_ROC,Undefined,1,Top,0,0,0,Fastball,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,88.15566,-0.682485,6.082705,2082.838324,128.654117,10:15,4.19506,-2.33592,6.62064,-21.73033,13.44265,-15.42206,1.75565,1.97015,80.61003,-4.809472,3.300276,0.426851,,,,,,,,,,,,9.69426,7.58713,1.9273,50,4.13934,-13.00058,-127.55505,-2.11795,16.02337,25.44168,-19.63347,MIA_RED,TOL_ROC,McKieFieldStad,D1,MAC,20250307-McKieFieldStad-1,576310e0-fb8f-11ef-aa2e-0729f69002f9,88.30356,,,7.54564,,,,,,,00a68d48-7c64-4ee4-b0c5-2caa2b43240b,2025-03-07,20:04:13.00,2025-03-07T15:04:13.0032128-05:00,2025-03-07T20:04:13.0032128Z,,v3,471355,471468,,"Novak, David",1000076952,Right,MIA_RED,0859f760-4250-4564-a92d-ee457f70d7da,53.8771,-128.32604,12.72084,4.1945,-1.52298,-9.81674,2.32863,-13.48615,8.01169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2025-03-07,15:04:33.95,2,2,"Cuthbertson, Hayden",1000251883,Left,MIA_RED,"Sudbrook, Troy",1000182670,Left,TOL_ROC,Undefined,1,Top,0,1,0,Slider,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,80.84681,0.099166,2.382987,2127.773093,334.860828,5:15,4.47844,-2.64521,6.11418,-46.61538,-3.86504,2.48142,0.68559,-0.23388,73.84835,-8.49805,2.830436,0.470588,,,,,,,,,,,,-0.55039,-1.62158,2.46117,50,4.46189,-4.97607,-117.36724,-1.27162,-0.75981,24.35469,-34.4126,MIA_RED,TOL_ROC,McKieFieldStad,D1,MAC,20250307-McKieFieldStad-1,63fcc620-fb8f-11ef-aa2e-0729f69002f9,80.09642,,,6.99846,,,,,,,00a68d48-7c64-4ee4-b0c5-2caa2b43240b,2025-03-07,20:04:33.95,2025-03-07T15:04:33.9571712-05:00,2025-03-07T20:04:33.9571712Z,,v3,471355,471468,,"Novak, David",1000076952,Right,MIA_RED,24f42feb-e51e-418a-8a37-aefeaa75910b,54.3845,-118.27357,12.17734,4.48538,0.00899,-17.2063,2.64583,-4.9478,-0.3799,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2025-03-07,15:04:57.82,2,3,"Cuthbertson, Hayden",1000251883,Left,MIA_RED,"Sudbrook, Troy",1000182670,Left,TOL_ROC,Undefined,1,Top,0,2,0,Fastball,Sinker,InPlay,Undefined,FlyBall,Out,1,0,,88.52803,0.152688,3.737225,2027.95265,127.73744,10:15,4.27643,-2.26221,6.73276,-22.63848,11.97481,-14.04977,2.52971,-0.01314,80.74688,-4.161283,1.18226,0.423441,94.85408,22.905845,-5.969415,3219.101078,108.34377,42.46442,-19.01436,339.53749,334.74499,-19.63651,4.230243,8.49808,6.61788,2.02069,50,4.27755,-7.87772,-128.55067,-0.27086,14.19683,27.05897,-21.1183,MIA_RED,TOL_ROC,McKieFieldStad,D1,MAC,20250307-McKieFieldStad-1,724515c0-fb8f-11ef-aa2e-0729f69002f9,89.01464,55.89423,,7.78115,,,,1.04932,2.50653,0.01121,00a68d48-7c64-4ee4-b0c5-2caa2b43240b,2025-03-07,20:04:57.82,2025-03-07T15:04:57.8289664-05:00,2025-03-07T20:04:57.8289664Z,LineDrive,v3,471355,471468,,"Novak, David",1000076952,Right,MIA_RED,de6b13d6-da24-4914-9791-ca0372866882,53.76583,-129.34092,13.52949,4.27645,0.3459,-10.55915,2.25681,-8.29234,7.09842,140.12845,1.04925,127.45306,-24.47299,5.51469,-1.16643,0.22881,-0.03699,0.00384,-0.00017,2.50608,54.16402,-14.68185,0.66708,-0.16415,0.04853,-0.01024,0.00159,-0.00012,0.01171,-13.34232,-7.30273,1.88077,-0.37119,0.05638,-0.00694,0.00069,-4E-05,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
8,2025-03-07,15:05:40.78,3,1,"Cuthbertson, Hayden",1000251883,Left,MIA_RED,"Walton, Luke",10012651,Left,TOL_ROC,Undefined,1,Top,1,0,0,Fastball,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,88.60388,-0.497983,5.698528,2080.259286,121.599581,10:00,4.21214,-2.34898,6.51487,-23.66639,11.64284,-16.91863,1.78071,1.48737,80.13617,-4.993032,2.64753,0.427677,,,,,,,,,,,,10.54422,6.61095,1.95722,50,4.167,-12.11877,-128.1479,-1.79457,17.37588,28.70903,-21.27981,MIA_RED,TOL_ROC,McKieFieldStad,D1,MAC,20250307-McKieFieldStad-1,8bd26010-fb8f-11ef-aa2e-0729f69002f9,88.133,,,8.46771,,,,,,,00a68d48-7c64-4ee4-b0c5-2caa2b43240b,2025-03-07,20:05:40.78,2025-03-07T15:05:40.7880704-05:00,2025-03-07T20:05:40.7880704Z,,v3,471355,471468,,"Novak, David",1000076952,Right,MIA_RED,3431ad37-185f-4e8b-abb2-ce126a2d0d01,53.98188,-129.03688,14.35452,4.21237,-1.13564,-10.63991,2.34081,-12.65681,8.68794,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2025-03-07,15:06:01.74,3,2,"Cuthbertson, Hayden",1000251883,Left,MIA_RED,"Walton, Luke",10012651,Left,TOL_ROC,Undefined,1,Top,1,1,0,Fastball,Sinker,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,88.52929,0.143917,3.900329,2024.858885,122.330582,10:00,4.30994,-2.32744,6.62935,-24.1821,11.37091,-15.78162,2.42684,-0.06593,78.99073,-4.493864,1.036426,0.429151,82.91985,37.090437,-36.15825,,84.33593,72.81673,-70.62177,291.52207,133.21699,-45.939545,4.937072,9.65961,6.31815,2.06887,50,4.3099,-8.12798,-128.23301,-0.34535,15.67911,32.74018,-21.91864,MIA_RED,TOL_ROC,McKieFieldStad,D1,MAC,20250307-McKieFieldStad-1,985b4c70-fb8f-11ef-aa2e-0729f69002f9,87.83035,85.22196,,9.53856,,,,1.55913,3.73204,0.34054,00a68d48-7c64-4ee4-b0c5-2caa2b43240b,2025-03-07,20:06:01.74,2025-03-07T15:06:01.7417216-05:00,2025-03-07T20:06:01.7417216Z,FlyBall,v3,471355,471468,,"Novak, David",1000076952,Right,MIA_RED,95f1f945-b321-426b-9cd5-10f6a4c964a4,53.86598,-129.21629,16.37009,4.31038,0.31293,-10.95932,2.32005,-8.59887,7.83956,152.518056,1.56346,78.23301,-18.38909,4.05553,-0.38575,-0.09143,0.03671,-0.00465,0.00021,3.73011,73.37567,-18.45871,1.1534,-0.1478,-0.02006,0.01952,-0.00392,0.00025,0.33944,-57.21497,5.6608,-0.80097,-0.00282,0.04269,-0.01149,0.00131,-6E-05,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Medium,Low,,,
10,2025-03-07,15:06:33.62,3,3,"Cuthbertson, Hayden",1000251883,Left,MIA_RED,"Walton, Luke",10012651,Left,TOL_ROC,Undefined,1,Top,1,1,1,Slider,Slider,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,80.29179,1.719975,2.278499,2172.052017,280.717075,3:15,4.40893,-2.56375,5.93213,-44.23809,-0.14508,9.17552,2.3199,0.3159,72.3914,-6.479204,3.923832,0.477921,71.60407,69.551298,-66.047891,2582.391569,,,,130.90116,42.44302,-88.704292,5.083529,-3.9591,-0.23394,2.37648,50,4.52148,-4.97697,-116.36148,2.09397,-5.31983,25.89902,-32.4884,MIA_RED,TOL_ROC,McKieFieldStad,D1,MAC,20250307-McKieFieldStad-1,ab383f60-fb8f-11ef-aa2e-0729f69002f9,78.86747,111.14373,,7.90039,,,,2.79304,1.83858,0.28417,00a68d48-7c64-4ee4-b0c5-2caa2b43240b,2025-03-07,20:06:33.62,2025-03-07T15:06:33.6212992-05:00,2025-03-07T20:06:33.6212992Z,Popup,v3,471355,471468,,"Novak, David",1000076952,Right,MIA_RED,54139d04-f6b6-4273-afeb-ee7948c47f19,54.56518,-117.37317,12.94951,4.4149,3.36306,-16.2442,2.56684,-4.76916,-2.65991,,2.78856,14.9405,-10.87718,3.34944,-0.17278,-0.31446,0.12678,-0.01998,0.00115,1.84978,98.14217,-26.0853,1.06619,1.28335,-0.76757,0.19881,-0.02532,0.00128,0.27276,-33.30412,1.1244,1.4255,-1.12214,0.41737,-0.08134,0.00782,-0.00029,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Medium,Low,,,
