PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-03-07,18:02:18.17,1,1,"Polanco, Carlos",1000227331,Right,STU_BOB,"Torres, Armando",1000357834,Right,FIS_COL,Undefined,1,Top,0,0,0,FourSeamFastBall,Four-Seam,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,88.38224,-1.207002,-3.485788,2259.015894,217.052928,1:15,5.48892,1.79609,5.60933,-17.21532,19.44009,13.68627,2.92542,-0.32111,79.74272,-4.497641,-1.04842,0.435753,,,,,,,,,,,,-7.9702,10.57319,-1.50666,50,5.37474,7.18512,-127.93835,-3.20257,-13.06257,29.14938,-14.84537,STU_BOB,FIS_COL,PaulDemieMainieriField,NAIA,TSC,20250307-PaulDemieMainieriField-1,38301f10-fba8-11ef-b054-13da676c0f61,86.49951,,,8.63952,,,,,,,8b0aecda-fc2b-49c9-b82c-7c70373abc02,2025-03-07,23:02:18.17,2025-03-07T18:02:18.1740000-05:00,2025-03-07T23:02:18.1740000Z,,v3,,,,"Novoa, Eddie",1000097606,Right,STU_BOB,39e5a7cf-4967-44dd-bd98-2f91af739264,54.88702,-129.047,14.57469,5.48581,-2.63795,-7.42269,-1.78938,7.68193,-6.53128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2025-03-07,18:02:32.33,1,2,"Polanco, Carlos",1000227331,Right,STU_BOB,"Torres, Armando",1000357834,Right,FIS_COL,Undefined,1,Top,0,0,1,FourSeamFastBall,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,89.16218,-0.13061,-2.444876,2326.062386,223.331609,1:30,5.58753,1.68649,5.43449,-19.01265,17.0445,14.91414,3.88072,0.63839,80.68718,-3.723928,0.206438,0.432182,,,,,,,,,,,,-8.163,8.94914,-1.48026,50,5.56316,4.83016,-129.21978,-0.90531,-13.69954,28.79573,-17.15514,STU_BOB,FIS_COL,PaulDemieMainieriField,NAIA,TSC,20250307-PaulDemieMainieriField-1,40c3dc70-fba8-11ef-b054-13da676c0f61,87.21418,,,8.475,,,,,,,8b0aecda-fc2b-49c9-b82c-7c70373abc02,2025-03-07,23:02:32.33,2025-03-07T18:02:32.3380000-05:00,2025-03-07T23:02:32.3380000Z,,v3,,,,"Novoa, Eddie",1000097606,Right,STU_BOB,f2154b48-bad1-451e-99cc-0780eb8647f1,55.06173,-130.34287,14.39787,5.58542,-0.23622,-8.57757,-1.67907,5.36447,-6.84977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2025-03-07,18:02:46.67,1,3,"Polanco, Carlos",1000227331,Right,STU_BOB,"Torres, Armando",1000357834,Right,FIS_COL,Undefined,1,Top,0,1,1,FourSeamFastBall,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,,88.80021,-2.143432,-4.079888,2303.24179,223.414861,1:30,5.4575,1.95188,5.6159,-18.77462,17.38068,15.27316,1.88646,-0.58959,80.68085,-5.68881,-1.361399,0.43277,,,,,,,,,,,,-8.91217,9.78859,-1.61304,50,5.26213,8.49505,-128.50163,-5.40719,-14.82899,27.84404,-15.88678,STU_BOB,FIS_COL,PaulDemieMainieriField,NAIA,TSC,20250307-PaulDemieMainieriField-1,4946a9e0-fba8-11ef-b054-13da676c0f61,87.09575,,,8.11935,,,,,,,8b0aecda-fc2b-49c9-b82c-7c70373abc02,2025-03-07,23:02:46.67,2025-03-07T18:02:46.6700000-05:00,2025-03-07T23:02:46.6700000Z,,v3,,,,"Novoa, Eddie",1000097606,Right,STU_BOB,d75ece46-e111-4c78-8cfe-062f91bb0153,54.88225,-129.5552,13.92202,5.45536,-4.80605,-7.94339,-1.9451,9.05615,-7.41449,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2025-03-07,18:03:02.47,1,4,"Polanco, Carlos",1000227331,Right,STU_BOB,"Torres, Armando",1000357834,Right,FIS_COL,Undefined,1,Top,0,1,2,Slider,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,79.89705,-0.734671,-2.6776,2821.467082,82.302518,8:45,5.35718,2.1664,5.32697,-44.57522,-0.11996,-10.22355,0.95241,-1.19991,74.22781,-8.790634,-4.492281,0.47988,,,,,,,,,,,,4.4913,0.45028,-1.91635,50,5.25809,5.82345,-116.00121,-3.03081,6.15879,20.40399,-31.55659,STU_BOB,FIS_COL,PaulDemieMainieriField,NAIA,TSC,20250307-PaulDemieMainieriField-1,52bc89e0-fba8-11ef-b054-13da676c0f61,78.54551,,,5.66924,,,,,,,8b0aecda-fc2b-49c9-b82c-7c70373abc02,2025-03-07,23:03:02.47,2025-03-07T18:03:02.4750000-05:00,2025-03-07T23:03:02.4750000Z,,v3,,,,"Novoa, Eddie",1000097606,Right,STU_BOB,094d3c45-9100-4e38-bd04-c36e6d6f7749,55.17522,-116.90796,10.202,5.36162,-1.62844,-15.7783,-2.16906,5.54975,3.0794,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2025-03-07,18:03:22.19,1,5,"Polanco, Carlos",1000227331,Right,STU_BOB,"Torres, Armando",1000357834,Right,FIS_COL,Undefined,1,Top,0,2,2,FourSeamFastBall,Four-Seam,InPlay,Undefined,FlyBall,Out,1,0,,89.86176,-2.420616,-3.165096,2451.555872,218.130569,1:15,5.45669,1.78596,5.65782,-16.46115,18.90005,13.84828,1.82273,-0.01471,81.2987,-5.561433,-0.694783,0.427991,85.68328,43.688333,12.862201,,104.88334,91.14323,33.15839,250.83175,248.64085,23.617196,5.323811,-8.06103,10.72863,-1.52704,50,5.2414,6.59562,-130.10892,-6.00255,-13.67049,30.018,-13.97966,STU_BOB,FIS_COL,PaulDemieMainieriField,NAIA,TSC,20250307-PaulDemieMainieriField-1,5e746aa0-fba8-11ef-b054-13da676c0f61,88.06821,103.2939,,8.56306,,,,1.88261,1.87424,-0.00544,8b0aecda-fc2b-49c9-b82c-7c70373abc02,2025-03-07,23:03:22.19,2025-03-07T18:03:22.1920000-05:00,2025-03-07T23:03:22.1920000Z,FlyBall,v3,,,,"Novoa, Eddie",1000097606,Right,STU_BOB,c83c6ca3-b1a3-4a79-b953-148ccd0dc657,54.84123,-131.22111,15.009,5.4542,-5.4846,-6.98983,-1.7808,7.10212,-6.83525,201.350772,1.88889,88.47229,-21.34364,4.88531,-0.72913,0.03751,0.00625,-0.00088,2E-05,1.87465,86.78239,-21.7557,1.577,0.05098,-0.14473,0.04662,-0.00648,0.00033,-0.00588,20.23715,1.0705,-0.81887,0.25998,-0.05508,0.00793,-0.00073,3E-05,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,
6,2025-03-07,18:03:56.38,2,1,"Polanco, Carlos",1000227331,Right,STU_BOB,"Gomez, Gilbert",1000226367,Right,FIS_COL,Undefined,1,Top,1,0,0,Slider,Slider,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,79.53246,-1.138491,-2.594945,2866.403031,105.513275,9:30,5.39083,2.31854,5.41916,-39.03837,6.09642,-16.8867,1.06993,-1.52113,73.23447,-8.247487,-5.594553,0.483534,,,,,,,,,,,,7.76162,3.83295,-2.07592,50,5.26261,5.89637,-115.33718,-3.59881,10.42414,22.04583,-27.02626,STU_BOB,FIS_COL,PaulDemieMainieriField,NAIA,TSC,20250307-PaulDemieMainieriField-1,72e6f1b0-fba8-11ef-b054-13da676c0f61,77.95198,,,6.29799,,,,,,,8b0aecda-fc2b-49c9-b82c-7c70373abc02,2025-03-07,23:03:56.38,2025-03-07T18:03:56.3880000-05:00,2025-03-07T23:03:56.3880000Z,,v3,,,,"Novoa, Eddie",1000097606,Right,STU_BOB,f30f98c9-8bf3-4575-b6a0-833d4d568ac3,55.08026,-116.30418,11.02292,5.39447,-2.41335,-13.51313,-2.32452,5.43913,5.21207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2025-03-07,18:04:11.51,2,2,"Polanco, Carlos",1000227331,Right,STU_BOB,"Gomez, Gilbert",1000226367,Right,FIS_COL,Undefined,1,Top,1,0,1,FourSeamFastBall,Four-Seam,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,90.38666,-2.292638,-3.560104,2382.863884,215.873594,1:15,5.49614,2.32599,5.67036,-16.92717,17.89733,12.07804,1.94271,0.00893,82.07043,-5.506158,-1.406667,0.424731,,,,,,,,,,,,-7.17185,10.10819,-2.03282,50,5.29169,7.60544,-130.85489,-5.7658,-12.3617,29.13537,-14.75113,STU_BOB,FIS_COL,PaulDemieMainieriField,NAIA,TSC,20250307-PaulDemieMainieriField-1,7be027a0-fba8-11ef-b054-13da676c0f61,88.7443,,,8.31622,,,,,,,8b0aecda-fc2b-49c9-b82c-7c70373abc02,2025-03-07,23:04:11.51,2025-03-07T18:04:11.5180000-05:00,2025-03-07T23:04:11.5180000Z,,v3,,,,"Novoa, Eddie",1000097606,Right,STU_BOB,3146f8f5-0ad2-4200-81aa-0aa19c9741f0,54.82747,-131.92537,14.56769,5.49358,-5.22382,-7.37556,-2.32059,8.05962,-6.18085,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2025-03-07,18:04:27.53,2,3,"Polanco, Carlos",1000227331,Right,STU_BOB,"Gomez, Gilbert",1000226367,Right,FIS_COL,Undefined,1,Top,1,0,2,FourSeamFastBall,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,89.45353,-2.374108,-2.374425,2462.401433,225.983112,1:30,5.50381,1.59053,5.59393,-16.38544,19.14013,18.56769,1.91851,0.9196,81.39649,-5.486855,0.937758,0.428985,,,,,,,,,,,,-10.11434,10.74367,-1.39932,50,5.28963,4.56324,-129.67336,-5.87636,-17.14177,28.29313,-13.96568,STU_BOB,FIS_COL,PaulDemieMainieriField,NAIA,TSC,20250307-PaulDemieMainieriField-1,856549e0-fba8-11ef-b054-13da676c0f61,87.86429,,,8.05704,,,,,,,8b0aecda-fc2b-49c9-b82c-7c70373abc02,2025-03-07,23:04:27.53,2025-03-07T18:04:27.5300000-05:00,2025-03-07T23:04:27.5300000Z,,v3,,,,"Novoa, Eddie",1000097606,Right,STU_BOB,5dbc3576-cf8a-47b0-92c8-3315a5a32a34,54.90548,-130.7393,14.14657,5.50111,-5.35021,-6.98284,-1.5834,5.20905,-8.57088,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2025-03-07,18:04:45.56,2,4,"Polanco, Carlos",1000227331,Right,STU_BOB,"Gomez, Gilbert",1000226367,Right,FIS_COL,Undefined,1,Top,1,1,2,Slider,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,79.71456,-0.985304,-3.801324,2778.990679,72.497034,8:30,5.45038,1.91439,5.40124,-45.52491,-0.73646,-6.52331,0.73123,-2.19649,73.86897,-9.214904,-4.95881,0.481675,,,,,,,,,,,,2.27473,0.27417,-1.57039,50,5.33024,7.9334,-115.55795,-3.55588,3.08545,20.90753,-31.80214,STU_BOB,FIS_COL,PaulDemieMainieriField,NAIA,TSC,20250307-PaulDemieMainieriField-1,9042a920-fba8-11ef-b054-13da676c0f61,78.25281,,,5.84559,,,,,,,8b0aecda-fc2b-49c9-b82c-7c70373abc02,2025-03-07,23:04:45.56,2025-03-07T18:04:45.5650000-05:00,2025-03-07T23:04:45.5650000Z,,v3,,,,"Novoa, Eddie",1000097606,Right,STU_BOB,b1013e13-b4ad-400d-b1f5-ab2d0e1422ef,55.09976,-116.47698,10.45377,5.45582,-2.15796,-15.90107,-1.91614,7.79777,1.54272,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2025-03-07,18:05:03.33,2,5,"Polanco, Carlos",1000227331,Right,STU_BOB,"Gomez, Gilbert",1000226367,Right,FIS_COL,Undefined,1,Top,1,2,2,FourSeamFastBall,Four-Seam,StrikeCalled,Strikeout,Undefined,Undefined,0,0,,90.21537,-1.650092,-3.45769,2327.084814,211.896471,1:00,5.46445,1.83303,5.68464,-16.29288,18.48399,10.78993,2.56542,-0.49466,82.1612,-4.748031,-1.533572,0.42444,,,,,,,,,,,,-6.43693,10.18292,-1.54844,50,5.3152,7.41883,-130.71463,-4.26001,-11.11654,28.02509,-14.58822,STU_BOB,FIS_COL,PaulDemieMainieriField,NAIA,TSC,20250307-PaulDemieMainieriField-1,9ab25270-fba8-11ef-b054-13da676c0f61,88.80507,,,8.05417,,,,,,,8b0aecda-fc2b-49c9-b82c-7c70373abc02,2025-03-07,23:05:03.33,2025-03-07T18:05:03.3370000-05:00,2025-03-07T23:05:03.3370000Z,,v3,,,,"Novoa, Eddie",1000097606,Right,STU_BOB,733b4b2f-6922-4e00-a9f8-8e5c942cefa8,54.81305,-131.7425,14.01255,5.46163,-3.72496,-7.29411,-1.82802,7.82655,-5.55827,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
