PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-03-07,13:42:13.80,1,1,"Rodriguez, Esteban",1000090884,Right,RIC_SPI,"Scott, Zachary",1000122191,Left,UMASS_RIV,Undefined,1,Top,0,0,0,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,88.0251,-3.398749,-1.038337,2251.81349,196.621587,12:30,6.12827,1.17485,6.11741,-16.60548,19.54895,5.45611,1.59792,0.66941,79.90968,-6.580258,-0.054704,0.432765,75.25867,38.133123,-40.782133,3486.375741,79.47586,60.3961,-76.04982,226.80991,162.8967,-43.874487,4.054326,-3.1426,11.5215,-1.0981,50,5.85887,2.09221,-127.58916,-8.01918,-5.12894,28.68161,-13.37012,RIC_SPI,UMASS_RIV,PittFieldUOR,D1,A10,20250307-PittFieldUOR-2,e34b1190-fb83-11ef-b7c7-657c8f6d26c4,87.09676,63.09814,,8.11543,,,,1.36871,1.77953,-0.61494,21a228e8-0c21-4f8c-a4a9-e861facf198b,2025-03-07,18:42:13.80,2025-03-07T13:42:13.8061312-05:00,2025-03-07T18:42:13.8061312Z,FlyBall,v3,471420,471342,,"Palmeri, Cole",1000136379,Right,RIC_SPI,8a1b518f-b2d8-4dc0-b3fc-c4bb2bad0120,54.38087,-128.57019,14.3408,6.12533,-7.56186,-6.68506,-1.17266,2.26764,-2.56447,,1.36993,65.71617,-12.7913,3.32341,-0.8767,0.2769,-0.11027,0.02647,-0.00231,1.77526,68.28176,-22.82815,3.81046,-2.04293,1.01153,-0.30385,0.04711,-0.00291,-0.60824,-56.88843,5.25249,-1.56222,1.59281,-0.91298,0.27844,-0.04152,0.00237,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,
2,2025-03-07,13:42:38.44,1,2,"Rodriguez, Esteban",1000090884,Right,RIC_SPI,"Scott, Zachary",1000122191,Left,UMASS_RIV,Undefined,1,Top,0,0,1,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,88.12443,-1.071774,-1.097622,2086.263782,205.339601,12:45,6.1465,1.15943,5.98801,-16.00863,19.78076,8.8339,3.81881,0.87817,80.56529,-4.137317,0.490505,0.430575,,,,,,,,,,,,-4.81851,10.78268,-1.07756,50,6.05295,2.08395,-128.01539,-2.82689,-8.00463,26.16064,-14.26151,RIC_SPI,UMASS_RIV,PittFieldUOR,D1,A10,20250307-PittFieldUOR-2,f1df1030-fb83-11ef-b7c7-657c8f6d26c4,87.53982,,,7.55914,,,,,,,21a228e8-0c21-4f8c-a4a9-e861facf198b,2025-03-07,18:42:38.44,2025-03-07T13:42:38.4486400-05:00,2025-03-07T18:42:38.4486400Z,,v3,471420,471342,,"Palmeri, Cole",1000136379,Right,RIC_SPI,3b559def-4508-43e0-955f-0d1de7b49c7a,54.51022,-128.93379,13.08032,6.1434,-2.32622,-7.13075,-1.15565,2.36496,-4.00232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2025-03-07,13:42:54.15,1,3,"Rodriguez, Esteban",1000090884,Right,RIC_SPI,"Scott, Zachary",1000122191,Left,UMASS_RIV,Undefined,1,Top,0,1,1,Slider,Slider,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,81.6396,-1.582044,-1.539286,2161.791404,197.022506,12:30,6.10743,1.16751,5.42887,-37.19762,7.05469,1.58047,1.52501,-0.1428,72.49897,-8.472336,-1.257673,0.478784,,,,,,,,,,,,-1.38461,4.71532,-1.03215,50,5.94217,3.10221,-117.94969,-4.51493,-1.8789,30.10701,-25.7755,RIC_SPI,UMASS_RIV,PittFieldUOR,D1,A10,20250307-PittFieldUOR-2,fb5e3f00-fb83-11ef-b7c7-657c8f6d26c4,78.7254,,,9.14063,,,,,,,21a228e8-0c21-4f8c-a4a9-e861facf198b,2025-03-07,18:42:54.15,2025-03-07T13:42:54.1548032-05:00,2025-03-07T18:42:54.1548032Z,,v3,471420,471342,,"Palmeri, Cole",1000136379,Right,RIC_SPI,8210c290-aef1-417a-bc89-baf41f876394,55.06347,-119.23515,15.05351,6.11145,-3.41441,-12.88775,-1.16631,3.18243,-0.93945,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2025-03-07,13:43:08.31,1,4,"Rodriguez, Esteban",1000090884,Right,RIC_SPI,"Scott, Zachary",1000122191,Left,UMASS_RIV,Undefined,1,Top,0,1,2,Slider,Slider,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,81.72869,-1.464651,-1.077122,2220.712121,176.248816,11:45,6.15333,1.23008,5.25184,-33.95817,9.33737,-0.51307,1.94666,0.17507,74.32431,-7.699502,-1.168217,0.47358,,,,,,,,,,,,-0.07543,5.53748,-1.13086,50,5.99402,2.24822,-118.45639,-4.19214,-0.10599,25.00035,-24.39437,RIC_SPI,UMASS_RIV,PittFieldUOR,D1,A10,20250307-PittFieldUOR-2,03cfce60-fb84-11ef-b7c7-657c8f6d26c4,79.59049,,,7.40438,,,,,,,21a228e8-0c21-4f8c-a4a9-e861facf198b,2025-03-07,18:43:08.31,2025-03-07T13:43:08.3112448-05:00,2025-03-07T18:43:08.3112448Z,,v3,471420,471342,,"Palmeri, Cole",1000136379,Right,RIC_SPI,97d2a300-490f-4abb-82fd-fc640c8f76a1,55.2472,-119.55868,12.50017,6.15514,-3.11657,-12.19719,-1.23009,2.25289,-0.053,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2025-03-07,13:43:28.39,1,5,"Rodriguez, Esteban",1000090884,Right,RIC_SPI,"Scott, Zachary",1000122191,Left,UMASS_RIV,Undefined,1,Top,0,1,2,Fastball,Four-Seam,StrikeCalled,Strikeout,Undefined,Undefined,0,0,,88.05131,-2.874861,-2.646656,2316.673381,197.960864,12:30,6.19892,1.11378,6.11,-14.91536,21.90796,6.61477,2.29255,-0.78406,78.42411,-5.803786,-1.456402,0.43675,,,,,,,,,,,,-4.33477,12.71347,-0.91376,50,5.97003,5.60481,-127.30935,-6.73824,-6.91724,32.87793,-11.88647,RIC_SPI,UMASS_RIV,PittFieldUOR,D1,A10,20250307-PittFieldUOR-2,0fc22010-fb84-11ef-b7c7-657c8f6d26c4,86.30212,,,9.62721,,,,,,,21a228e8-0c21-4f8c-a4a9-e861facf198b,2025-03-07,18:43:28.39,2025-03-07T13:43:28.3920000-05:00,2025-03-07T18:43:28.3920000Z,,v3,471420,471342,,"Palmeri, Cole",1000136379,Right,RIC_SPI,03fcf290-7ba5-4800-a9bb-f61566cf585f,54.38385,-128.4365,16.43897,6.19406,-6.33074,-5.94324,-1.10997,5.84195,-3.45862,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.64601,,,1.056836,,,,-0.68061,5.12435,1.53263,68.82478,8.44282,55.94019,-0.59981,73.07364,-6.97871,5.17588,18.79636,-14.85502,1.53862,53.42692,-1.8456,High,High,High,,,High,High,High
6,2025-03-07,13:43:53.07,2,1,"Rodriguez, Esteban",1000090884,Right,RIC_SPI,"Luccini, Alex",1000119752,Left,UMASS_RIV,Undefined,1,Top,1,0,0,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,90.55154,-3.272659,-1.746267,2298.144367,193.992565,12:30,6.17116,1.0267,5.89291,-13.53272,21.55556,5.01508,2.00012,-0.17725,80.66625,-5.928621,-0.846667,0.426337,89.46068,0.572635,58.880183,2553.232805,,,,51.732,46.60644,58.897474,0.39706,-3.21099,12.63654,-0.88897,50,5.89986,3.77544,-130.94495,-7.82463,-5.41655,34.97564,-10.8576,RIC_SPI,UMASS_RIV,PittFieldUOR,D1,A10,20250307-PittFieldUOR-2,1e71e410-fb84-11ef-b7c7-657c8f6d26c4,88.41003,2.29108,,9.8853,,,,3.0175,2.26802,0.43776,21a228e8-0c21-4f8c-a4a9-e861facf198b,2025-03-07,18:43:53.07,2025-03-07T13:43:53.0783232-05:00,2025-03-07T18:43:53.0783232Z,GroundBall,v3,471420,471342,,"Palmeri, Cole",1000136379,Right,RIC_SPI,6202b41f-af5a-49e9-916f-3509ba3ca069,54.6035,-132.16883,17.48782,6.16701,-7.44469,-5.4288,-1.0244,3.96498,-2.70827,,3.02636,67.51199,-19.77704,,,,,,,2.27228,1.16826,-17.38142,,,,,,,0.43473,112.42346,-4.91917,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Medium,Medium,,,
7,2025-03-07,13:44:14.12,2,2,"Rodriguez, Esteban",1000090884,Right,RIC_SPI,"Luccini, Alex",1000119752,Left,UMASS_RIV,Undefined,1,Top,1,0,1,ChangeUp,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,81.89208,1.463511,1.377009,1474.259924,250.336456,2:15,6.0376,1.43532,5.98765,-34.37502,7.65693,17.39284,4.53012,4.16122,74.12313,-4.95818,4.499547,0.466618,,,,,,,,,,,,-8.30209,3.97146,-1.55222,50,6.13486,-3.57019,-118.75399,1.95758,-11.70542,25.4299,-26.57451,RIC_SPI,UMASS_RIV,PittFieldUOR,D1,A10,20250307-PittFieldUOR-2,2af2e130-fb84-11ef-b7c7-657c8f6d26c4,80.778,,,7.76895,,,,,,,21a228e8-0c21-4f8c-a4a9-e861facf198b,2025-03-07,18:44:14.12,2025-03-07T13:44:14.1246464-05:00,2025-03-07T18:44:14.1246464Z,,v3,471420,471342,,"Palmeri, Cole",1000136379,Right,RIC_SPI,b8811083-e60e-4d0c-81c5-869f33547e08,54.50701,-119.71522,12.71495,6.04188,2.96208,-13.28725,-1.42563,-3.12774,-5.85271,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2025-03-07,13:44:39.62,2,3,"Rodriguez, Esteban",1000090884,Right,RIC_SPI,"Luccini, Alex",1000119752,Left,UMASS_RIV,Undefined,1,Top,1,1,1,Slider,Slider,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,80.87818,-0.255982,-1.237127,2087.021901,128.372532,10:15,6.11134,1.09944,5.33536,-40.7764,3.96559,-2.78721,2.47309,-0.29369,72.45915,-7.762934,-1.732694,0.481425,,,,,,,,,,,,0.94559,2.61917,-0.98571,50,6.05962,2.6457,-117.03431,-1.93759,1.27691,27.51273,-28.63709,RIC_SPI,UMASS_RIV,PittFieldUOR,D1,A10,20250307-PittFieldUOR-2,3a2a24b0-fb84-11ef-b7c7-657c8f6d26c4,78.29342,,,8.41904,,,,,,,21a228e8-0c21-4f8c-a4a9-e861facf198b,2025-03-07,18:44:39.62,2025-03-07T13:44:39.6227072-05:00,2025-03-07T18:44:39.6227072Z,,v3,471420,471342,,"Palmeri, Cole",1000136379,Right,RIC_SPI,1d93e300-dd36-4da7-a199-13ff9b881523,55.15898,-118.24088,13.75637,6.11705,-0.68172,-14.31854,-1.10051,2.5897,0.63845,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2025-03-07,13:44:56.15,2,4,"Rodriguez, Esteban",1000090884,Right,RIC_SPI,"Luccini, Alex",1000119752,Left,UMASS_RIV,Undefined,1,Top,1,1,2,Curveball,Curveball,HitByPitch,Undefined,Undefined,Undefined,0,0,,77.76645,0.112024,0.553465,2094.658604,19.277485,6:45,6.1345,1.17834,5.28261,-63.15909,-14.7832,-5.81016,0.97646,1.21395,70.37366,-11.31795,-0.48277,0.500594,,,,,,,,,,,,3.09886,-6.87689,-1.22442,50,6.0986,-0.85429,-112.69338,-2.023,3.87819,25.59764,-40.78042,RIC_SPI,UMASS_RIV,PittFieldUOR,D1,A10,20250307-PittFieldUOR-2,4419a180-fb84-11ef-b7c7-657c8f6d26c4,75.2954,,,7.39279,,,,,,,21a228e8-0c21-4f8c-a4a9-e861facf198b,2025-03-07,18:44:56.15,2025-03-07T13:44:56.1554432-05:00,2025-03-07T18:44:56.1554432Z,,v3,471420,471342,,"Palmeri, Cole",1000136379,Right,RIC_SPI,b1adb48d-e123-4da4-8428-fe19dacba714,55.21806,-113.87247,12.79882,6.14852,-0.14456,-20.39021,-1.18095,-1.03293,1.93909,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2025-03-07,13:45:33.39,3,1,"Rodriguez, Esteban",1000090884,Right,RIC_SPI,"Donahue, Scott",1000315166,Right,UMASS_RIV,Undefined,1,Top,1,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,88.31346,-4.129591,-2.428174,2249.788431,205.658485,12:45,6.20838,1.08039,6.03136,-17.84473,18.57336,8.26016,0.88698,-0.48125,79.63309,-7.53631,-0.942663,0.43434,,,,,,,,,,,,-5.04429,11.31056,-0.89499,50,5.87537,5.0711,-127.68576,-9.71821,-8.18305,30.5514,-13.82556,RIC_SPI,UMASS_RIV,PittFieldUOR,D1,A10,20250307-PittFieldUOR-2,5a46d0e0-fb84-11ef-b7c7-657c8f6d26c4,86.78093,,,8.68037,,,,,,,21a228e8-0c21-4f8c-a4a9-e861facf198b,2025-03-07,18:45:33.39,2025-03-07T13:45:33.3918208-05:00,2025-03-07T18:45:33.3918208Z,,v3,471420,471342,,"Palmeri, Cole",1000136379,Right,RIC_SPI,d1aed8a7-6222-42ca-b95b-8f0d90230170,54.46552,-128.74979,15.2757,6.20545,-9.2367,-6.91278,-1.07656,5.3561,-4.09153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
