PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-03-07,18:02:42.17,1,1,"Dutton, Samuel",695542,Right,AUB_TIG,"Thomas, Ryan",1000299767,Right,OLD_MON,Undefined,1,Top,0,0,0,Fastball,Four-Seam,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,92.48632,-1.203567,-1.425072,2402.266208,201.802402,12:45,5.97541,0.71149,6.12197,-16.38942,15.89615,5.96044,3.49644,-0.10954,84.69793,-4.322512,-0.350888,0.408955,,,,,,,,,,,,-3.45406,8.83414,-0.60536,50,5.87454,3.08829,-134.38453,-3.30661,-6.33239,28.43037,-15.97828,AUB_TIG,OLD_MON,PlainsmanPark,D1,SEC,20250307-PlainsmanPark-1,a83ab3d0-fbb0-11ef-bebc-4fde0692106a,92.16765,,,7.78839,,,,,,,69484f10-dbc8-40ec-b7cd-6f6f7307e5f4,2025-03-08,00:02:42.17,2025-03-07T18:02:42.1727744-06:00,2025-03-08T00:02:42.1727744Z,,v3,471236,3090,,"Irish, Ike",702610,Right,AUB_TIG,ad2e4508-36b3-4280-b528-35d857c4527a,54.37727,-135.30741,14.21519,5.97346,-2.78794,-7.98914,-0.70894,3.29385,-3.16619,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2025-03-07,18:02:57.86,1,2,"Dutton, Samuel",695542,Right,AUB_TIG,"Thomas, Ryan",1000299767,Right,OLD_MON,Undefined,1,Top,0,0,1,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,92.69975,-0.783789,-0.759502,2361.728279,209.237133,1:00,5.93834,0.51124,5.98448,-16.60127,15.68804,8.22563,3.82831,0.49269,84.86231,-3.935224,0.719497,0.408979,,,,,,,,,,,,-4.4074,8.56355,-0.45565,50,5.86714,1.42401,-134.70812,-2.34797,-8.11989,28.54137,-16.39714,AUB_TIG,OLD_MON,PlainsmanPark,D1,SEC,20250307-PlainsmanPark-1,b1773450-fbb0-11ef-bebc-4fde0692106a,92.16238,,,7.83744,,,,,,,69484f10-dbc8-40ec-b7cd-6f6f7307e5f4,2025-03-08,00:02:57.86,2025-03-07T18:02:57.8670080-06:00,2025-03-08T00:02:57.8670080Z,,v3,471236,3090,,"Irish, Ike",702610,Right,AUB_TIG,16eeec11-d040-4722-b2fc-16eb7e4c680a,54.51438,-135.66123,14.27069,5.93641,-1.8004,-8.19857,-0.50773,1.69517,-4.05994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2025-03-07,18:03:14.22,1,3,"Dutton, Samuel",695542,Right,AUB_TIG,"Thomas, Ryan",1000299767,Right,OLD_MON,Undefined,1,Top,0,1,1,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,92.50364,-2.152202,-2.457406,2516.06676,200.102584,12:45,5.92755,0.56783,5.96907,-16.39942,15.87635,5.47154,2.56273,-1.256,85.42279,-5.24209,-1.475073,0.408893,,,,,,,,,,,,-3.41414,8.97906,-0.37606,50,5.74755,5.53051,-134.3464,-5.56121,-6.30919,26.07602,-15.58117,AUB_TIG,OLD_MON,PlainsmanPark,D1,SEC,20250307-PlainsmanPark-1,bb537740-fbb0-11ef-bebc-4fde0692106a,92.18166,,,7.08086,,,,,,,69484f10-dbc8-40ec-b7cd-6f6f7307e5f4,2025-03-08,00:03:14.22,2025-03-07T18:03:14.2275072-06:00,2025-03-08T00:03:14.2275072Z,,v3,471236,3090,,"Irish, Ike",702610,Right,AUB_TIG,bcac037c-0661-4c90-9ebb-e35c117703fa,54.53141,-135.22307,13.03801,5.92571,-5.03738,-7.79058,-0.56556,5.74262,-3.1546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2025-03-07,18:03:31.57,1,4,"Dutton, Samuel",695542,Right,AUB_TIG,"Thomas, Ryan",1000299767,Right,OLD_MON,Undefined,1,Top,0,2,1,Cutter,Slider,InPlay,Undefined,Bunt,Out,1,0,,85.56549,-0.466996,-1.505062,2830.882451,73.942941,8:30,5.93128,0.68419,5.50102,-38.86486,-0.14484,-4.67555,2.25559,-1.11348,78.60602,-7.559989,-2.338899,0.447857,,,,,,,,,,,,1.95433,0.37783,-0.54934,50,5.86399,3.4592,-124.24863,-2.42173,3.05204,25.12723,-31.584,AUB_TIG,OLD_MON,PlainsmanPark,D1,SEC,20250307-PlainsmanPark-1,c5b05be0-fbb0-11ef-bebc-4fde0692106a,84.16182,,,6.95947,,,,,,,69484f10-dbc8-40ec-b7cd-6f6f7307e5f4,2025-03-08,00:03:31.57,2025-03-07T18:03:31.5787264-06:00,2025-03-08T00:03:31.5787264Z,,v3,471236,3090,,"Irish, Ike",702610,Right,AUB_TIG,d0918544-7c02-49c2-b831-7974d55bb551,55.00049,-125.25581,12.56362,5.93569,-1.15573,-15.792,-0.68554,3.33687,1.52602,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2025-03-07,18:04:14.35,2,1,"Dutton, Samuel",695542,Right,AUB_TIG,"Morales, Efrain",1000115748,Right,OLD_MON,Undefined,1,Top,1,0,0,Cutter,Slider,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,85.92532,-1.116069,-1.298351,2702.261474,108.91304,9:45,5.91857,0.65483,5.65283,-35.71655,2.13209,-3.08272,1.90086,-0.81321,79.62565,-7.640724,-1.849875,0.442789,,,,,,,,,,,,1.24095,1.69539,-0.54279,50,5.80112,2.95739,-124.88803,-3.70165,1.97681,23.12114,-29.47335,AUB_TIG,OLD_MON,PlainsmanPark,D1,SEC,20250307-PlainsmanPark-1,df2f7560-fbb0-11ef-bebc-4fde0692106a,85.1251,,,6.29968,,,,,,,69484f10-dbc8-40ec-b7cd-6f6f7307e5f4,2025-03-08,00:04:14.35,2025-03-07T18:04:14.3529984-06:00,2025-03-08T00:04:14.3529984Z,,v3,471236,3090,,"Irish, Ike",702610,Right,AUB_TIG,089e3870-d334-42f3-8eba-88febf6980a6,54.8487,-125.78248,11.56057,5.92226,-2.56145,-14.73668,-0.65572,2.88091,0.98841,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2025-03-07,18:04:28.92,2,2,"Dutton, Samuel",695542,Right,AUB_TIG,"Morales, Efrain",1000115748,Right,OLD_MON,Undefined,1,Top,1,0,1,Cutter,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,83.54321,0.291365,-1.359082,2738.548799,71.338268,8:30,5.93127,0.79776,5.43319,-41.48361,-1.13331,-6.71544,2.74725,-1.03489,77.38681,-7.251929,-2.554846,0.457188,,,,,,,,,,,,3.04469,-0.29724,-0.67256,50,5.92812,3.15808,-121.42497,-0.88129,4.58583,21.8092,-32.62176,AUB_TIG,OLD_MON,PlainsmanPark,D1,SEC,20250307-PlainsmanPark-1,e7e44f50-fbb0-11ef-bebc-4fde0692106a,82.44411,,,6.1564,,,,,,,69484f10-dbc8-40ec-b7cd-6f6f7307e5f4,2025-03-08,00:04:28.92,2025-03-07T18:04:28.9243136-06:00,2025-03-08T00:04:28.9243136Z,,v3,471236,3090,,"Irish, Ike",702610,Right,AUB_TIG,599d90f5-c18a-4c9c-abd4-40119c6ba281,55.06893,-122.33202,10.9046,5.93657,0.47545,-16.31088,-0.79994,2.96736,2.29291,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2025-03-07,18:04:51.85,2,3,"Dutton, Samuel",695542,Right,AUB_TIG,"Morales, Efrain",1000115748,Right,OLD_MON,Undefined,1,Top,1,1,1,Fastball,Four-Seam,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,93.49549,-0.896788,-0.558204,2449.954717,193.360719,12:30,5.96726,0.5178,6.18416,-16.66273,14.73056,3.27776,3.7505,0.27548,85.89876,-4.059208,0.033408,0.403264,,,,,,,,,,,,-1.83209,8.13914,-0.47722,50,5.8909,1.18323,-135.94602,-2.62809,-3.44973,28.08593,-16.84858,AUB_TIG,OLD_MON,PlainsmanPark,D1,SEC,20250307-PlainsmanPark-1,f56be700-fbb0-11ef-bebc-4fde0692106a,93.46833,,,7.59673,,,,,,,69484f10-dbc8-40ec-b7cd-6f6f7307e5f4,2025-03-08,00:04:51.85,2025-03-07T18:04:51.8554624-06:00,2025-03-08T00:04:51.8554624Z,,v3,471236,3090,,"Irish, Ike",702610,Right,AUB_TIG,ab5cfe76-109b-48a6-b3de-efe523db9205,54.3149,-136.83455,14.04296,5.96561,-2.09506,-8.42429,-0.51638,1.29237,-1.72487,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2025-03-07,18:05:09.31,2,4,"Dutton, Samuel",695542,Right,AUB_TIG,"Morales, Efrain",1000115748,Right,OLD_MON,Undefined,1,Top,1,1,2,Cutter,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,80.45892,-0.984017,-1.860057,2691.81774,52.733512,7:45,5.90463,0.56413,5.58227,-47.39038,-4.07918,-6.9526,1.03588,-1.75298,74.9291,-9.567912,-3.103089,0.473665,,,,,,,,,,,,3.05902,-1.45221,-0.39952,50,5.78875,4.06676,-116.93755,-3.63367,4.26864,20.44717,-34.20052,AUB_TIG,OLD_MON,PlainsmanPark,D1,SEC,20250307-PlainsmanPark-1,fff6b970-fbb0-11ef-bebc-4fde0692106a,79.57612,,,5.52983,,,,,,,69484f10-dbc8-40ec-b7cd-6f6f7307e5f4,2025-03-08,00:05:09.31,2025-03-07T18:05:09.3182976-06:00,2025-03-08T00:05:09.3182976Z,,v3,471236,3090,,"Irish, Ike",702610,Right,AUB_TIG,faeb69f8-809a-4672-86cc-c56d8589121d,54.92076,-117.79483,10.22359,5.91104,-2.19976,-17.10026,-0.56627,3.88779,2.13432,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2025-03-07,18:05:25.65,2,5,"Dutton, Samuel",695542,Right,AUB_TIG,"Morales, Efrain",1000115748,Right,OLD_MON,Undefined,1,Top,1,2,2,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,93.67144,-2.517559,-1.907885,2428.248913,218.01934,1:15,5.90799,0.53738,5.96239,-16.47954,15.10202,11.07016,2.19743,-0.30989,86.23947,-5.62296,0.081286,0.404472,87.0834,22.302223,53.413872,4882.259695,56.06873,37.83205,94.63762,279.95598,158.59618,68.92665,3.674457,-6.19244,8.70512,-0.3922,50,5.69875,4.05264,-136.03215,-6.50621,-11.68581,27.85638,-15.74661,AUB_TIG,OLD_MON,PlainsmanPark,D1,SEC,20250307-PlainsmanPark-1,09a053a0-fbb1-11ef-bebc-4fde0692106a,93.18931,43.05514,,7.43197,,,,-0.1967,2.47476,0.4881,69484f10-dbc8-40ec-b7cd-6f6f7307e5f4,2025-03-08,00:05:25.65,2025-03-07T18:05:25.6564736-06:00,2025-03-08T00:05:25.6564736Z,LineDrive,v3,471236,3090,,"Irish, Ike",702610,Right,AUB_TIG,4e66f492-96a6-4905-a807-8d705d49cad3,54.53875,-136.95843,13.92819,5.90639,-5.98261,-7.87331,-0.53342,4.44122,-5.84291,,-0.19756,70.46018,-22.37715,5.7486,-1.47805,0.36638,-0.07961,0.01119,-0.00067,2.47557,48.4436,-15.25003,0.25183,0.29573,-0.16784,0.05191,-0.00788,0.00045,0.48779,94.89247,-9.1869,0.96462,-0.16084,0.08857,-0.03482,0.00652,-0.00045,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Medium,Low,,,
10,2025-03-07,18:05:51.15,2,6,"Dutton, Samuel",695542,Right,AUB_TIG,"Morales, Efrain",1000115748,Right,OLD_MON,Undefined,1,Top,1,2,2,Cutter,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,81.12311,0.875022,-1.570629,2758.45055,72.650831,8:30,5.95401,0.70614,5.4846,-43.67463,-0.62453,-6.2015,3.13351,-1.28052,74.56113,-7.099609,-2.675366,0.472235,,,,,,,,,,,,2.69217,-0.14476,-0.5641,50,6.00109,3.4803,-117.78872,0.28011,3.78594,22.16819,-32.37761,AUB_TIG,OLD_MON,PlainsmanPark,D1,SEC,20250307-PlainsmanPark-1,18eaa9f0-fbb1-11ef-bebc-4fde0692106a,79.81706,,,6.56197,,,,,,,69484f10-dbc8-40ec-b7cd-6f6f7307e5f4,2025-03-08,00:05:51.15,2025-03-07T18:05:51.1536128-06:00,2025-03-08T00:05:51.1536128Z,,v3,471236,3090,,"Irish, Ike",702610,Right,AUB_TIG,096d3150-a9dc-45e9-8e38-5ad1126ee934,55.01616,-118.72903,11.08409,5.96008,1.65346,-16.1888,-0.70831,3.31971,1.89297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
