PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-03-07,15:48:04.21,1,1,"Yates, Braxton",1000362284,Left,CSI_EAG,"Long, Trevin",1000308491,Right,CLA_COL,Undefined,1,Top,0,0,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,86.57245,-0.924312,1.731438,2116.338481,150.828992,11:00,5.87915,-1.26878,6.10943,-20.32202,16.2665,-8.49741,3.33049,-0.37537,79.9229,-4.754697,0.200552,0.435355,,,,,,,,,,,,4.82138,8.96296,1.14023,50,5.79735,-3.47119,-125.88431,-2.62311,7.81789,23.04092,-17.64052,CSI_EAG,CLA_COL,SouthernIdaho,JUCO,NJCAA,20250307-SouthernIdaho-2,3b4d4f80-fba6-11ef-a509-8d7e08229d5a,86.57858,,,6.64955,,,,,,,19481724-428d-4d30-aad4-2126adfa459f,2025-03-07,22:48:04.21,2025-03-07T15:48:04.2112512-07:00,2025-03-07T22:48:04.2112512Z,,v3,,,,"Hicks, Kolton",1000256032,Right,CSI_EAG,4629a3e1-19a4-445e-b6cc-da476757d5a8,54.38997,-126.68527,11.52046,5.87787,-2.00988,-8.82026,1.26562,-3.74297,3.90895,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2025-03-07,15:48:17.73,1,2,"Yates, Braxton",1000362284,Left,CSI_EAG,"Long, Trevin",1000308491,Right,CLA_COL,Undefined,1,Top,0,0,1,Curveball,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,74.216,-1.065832,0.540785,1945.25705,277.941444,3:15,5.67838,-1.76037,4.91765,-51.99609,0.43433,8.22556,0.33749,-0.56359,68.88408,-10.394552,1.99528,0.52115,,,,,,,,,,,,-3.96536,0.89831,1.70029,50,5.53061,-1.33032,-107.74141,-3.76998,-4.67305,18.26875,-31.11543,CSI_EAG,CLA_COL,SouthernIdaho,JUCO,NJCAA,20250307-SouthernIdaho-2,4368a890-fba6-11ef-a509-8d7e08229d5a,72.32547,,,5.33192,,,,,,,19481724-428d-4d30-aad4-2126adfa459f,2025-03-07,22:48:17.73,2025-03-07T15:48:17.7319424-07:00,2025-03-07T22:48:17.7319424Z,,v3,,,,"Hicks, Kolton",1000256032,Right,CSI_EAG,a642fbc1-7f14-4caa-9a41-05bd1b826883,55.58363,-108.68405,9.13437,5.68371,-2.16447,-15.55772,1.76271,-1.0892,-2.33653,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2025-03-07,15:48:32.43,1,3,"Yates, Braxton",1000362284,Left,CSI_EAG,"Long, Trevin",1000308491,Right,CLA_COL,Undefined,1,Top,0,1,1,Slider,Curveball,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,74.65383,0.10745,1.813243,1968.436481,267.670424,3:00,5.75982,-1.71558,4.71853,-50.10889,1.56728,4.38736,1.6861,0.3713,69.73064,-8.857679,2.584431,0.517388,,,,,,,,,,,,-1.75146,1.08339,1.52815,50,5.7254,-3.60328,-108.4439,-1.54933,-2.11548,16.42689,-30.86549,CSI_EAG,CLA_COL,SouthernIdaho,JUCO,NJCAA,20250307-SouthernIdaho-2,4c2571c0-fba6-11ef-a509-8d7e08229d5a,72.85134,,,4.92318,,,,,,,19481724-428d-4d30-aad4-2126adfa459f,2025-03-07,22:48:32.43,2025-03-07T15:48:32.4317184-07:00,2025-03-07T22:48:32.4317184Z,,v3,,,,"Hicks, Kolton",1000256032,Right,CSI_EAG,cdcb5094-db04-4dab-af45-f4345a1640da,55.78363,-109.31648,8.21344,5.76415,0.09021,-15.43274,1.71657,-3.49091,-1.05774,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2025-03-07,15:48:48.08,1,4,"Yates, Braxton",1000362284,Left,CSI_EAG,"Long, Trevin",1000308491,Right,CLA_COL,Undefined,1,Top,0,1,2,ChangeUp,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,77.35954,-2.818534,4.521734,1437.601481,86.089545,8:45,5.53039,-1.67723,6.13878,-45.65979,0.27429,-14.44379,-0.88965,1.30669,72.51663,-11.135012,1.917713,0.487797,,,,,,,,,,,,8.71804,1.07677,1.33974,50,5.29026,-8.40106,-112.19521,-6.87318,11.25458,17.86512,-30.784,CSI_EAG,CLA_COL,SouthernIdaho,JUCO,NJCAA,20250307-SouthernIdaho-2,5574b6f0-fba6-11ef-a509-8d7e08229d5a,77.27079,,,4.84291,,,,,,,19481724-428d-4d30-aad4-2126adfa459f,2025-03-07,22:48:48.08,2025-03-07T15:48:48.0858624-07:00,2025-03-07T22:48:48.0858624Z,,v3,,,,"Hicks, Kolton",1000256032,Right,CSI_EAG,1f2f8897-c97b-4951-94d5-7f72a4a14f98,54.36517,-112.88815,8.93256,5.5337,-5.67915,-15.392,1.67406,-8.83759,5.62729,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2025-03-07,15:49:08.01,1,5,"Yates, Braxton",1000362284,Left,CSI_EAG,"Long, Trevin",1000308491,Right,CLA_COL,Undefined,1,Top,0,2,2,Fastball,Cutter,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,,87.92575,-2.209612,2.033624,2124.353171,162.426111,11:30,5.88766,-1.27137,6.05153,-22.09115,13.46516,-3.94607,1.999,0.2831,81.45499,-6.329833,1.323451,0.42917,,,,,,,,,,,,2.5511,7.81111,1.11535,50,5.70364,-4.38263,-127.77719,-5.62117,4.26636,23.48414,-19.11114,CSI_EAG,CLA_COL,SouthernIdaho,JUCO,NJCAA,20250307-SouthernIdaho-2,61583b90-fba6-11ef-a509-8d7e08229d5a,87.82627,,,6.47076,,,,,,,19481724-428d-4d30-aad4-2126adfa459f,2025-03-07,22:49:08.01,2025-03-07T15:49:08.0170000-07:00,2025-03-07T22:49:08.0170000Z,,v3,,,,"Hicks, Kolton",1000256032,Right,CSI_EAG,d347365f-1d75-488e-baea-91abf094ddcf,54.44917,-128.5923,11.74207,5.88723,-4.95784,-9.55557,1.27004,-4.53071,2.13318,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.80892,2.512839,1.558835,0.954004,2.90275,2.1622,-0.24851,-1.40051,6.27448,4.55773,69.29787,5.64832,55.494,-1.33188,80.67293,-6.94461,6.27977,10.04087,-11.21676,4.58045,55.78133,-2.52485,High,High,High,,,High,High,High
6,2025-03-07,15:49:38.22,2,1,"Yates, Braxton",1000362284,Left,CSI_EAG,"Criste, Landon",1000222816,Left,CLA_COL,Undefined,1,Top,1,0,0,Curveball,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,76.86391,-1.382875,2.18947,1977.446102,6.073846,6:15,5.57866,-1.86397,5.10352,-49.33066,-0.65945,-0.22839,0.16356,0.18101,71.19513,-10.25961,2.148987,0.50212,,,,,,,,,,,,0.71917,0.35622,1.65759,50,5.40893,-4.25502,-111.52176,-4.37866,0.90651,19.89536,-31.72504,CSI_EAG,CLA_COL,SouthernIdaho,JUCO,NJCAA,20250307-SouthernIdaho-2,73600430-fba6-11ef-a509-8d7e08229d5a,75.06658,,,5.66878,,,,,,,19481724-428d-4d30-aad4-2126adfa459f,2025-03-07,22:49:38.22,2025-03-07T15:49:38.2274048-07:00,2025-03-07T22:49:38.2274048Z,,v3,,,,"Hicks, Kolton",1000256032,Right,CSI_EAG,a72dbf72-2c58-474c-8245-ee727c478bf9,55.39839,-112.4807,9.94768,5.58313,-2.84953,-15.86252,1.86373,-4.29871,0.45325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2025-03-07,15:49:52.81,2,2,"Yates, Braxton",1000362284,Left,CSI_EAG,"Criste, Landon",1000222816,Left,CLA_COL,Undefined,1,Top,1,1,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,87.11695,-4.072752,5.215869,2097.783866,173.744542,11:45,5.79407,-1.3432,6.17433,-20.87792,15.71804,-1.60162,0.27084,3.35382,80.49976,-7.962232,4.92888,0.435399,,,,,,,,,,,,2.17732,9.5476,0.94851,50,5.47354,-11.42876,-125.8786,-9.60881,3.51861,23.83739,-16.745,CSI_EAG,CLA_COL,SouthernIdaho,JUCO,NJCAA,20250307-SouthernIdaho-2,7c0af310-fba6-11ef-a509-8d7e08229d5a,86.56978,,,6.61719,,,,,,,19481724-428d-4d30-aad4-2126adfa459f,2025-03-07,22:49:52.81,2025-03-07T15:49:52.8173568-07:00,2025-03-07T22:49:52.8173568Z,,v3,,,,"Hicks, Kolton",1000256032,Right,CSI_EAG,03675971-4467-4f55-a76f-ae7a38f8bfe3,54.32471,-126.69492,11.9187,5.79278,-9.03537,-8.3725,1.34195,-11.54926,1.7593,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2025-03-07,15:50:13.04,2,3,"Yates, Braxton",1000362284,Left,CSI_EAG,"Criste, Landon",1000222816,Left,CLA_COL,Undefined,1,Top,1,2,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,86.63183,-3.106351,2.288838,2187.107742,167.725798,11:30,5.86668,-1.37095,6.26162,-19.88218,16.37339,-3.34626,1.34059,0.46169,80.60358,-6.831707,1.68444,0.43337,,,,,,,,,,,,2.28858,9.57784,1.20293,50,5.62617,-4.90599,-125.86298,-7.40458,3.72876,21.78849,-16.56896,CSI_EAG,CLA_COL,SouthernIdaho,JUCO,NJCAA,20250307-SouthernIdaho-2,8819f480-fba6-11ef-a509-8d7e08229d5a,86.97517,,,6.02824,,,,,,,19481724-428d-4d30-aad4-2126adfa459f,2025-03-07,22:50:13.04,2025-03-07T15:50:13.0428928-07:00,2025-03-07T22:50:13.0428928Z,,v3,,,,"Hicks, Kolton",1000256032,Right,CSI_EAG,f72a6cb1-9854-4e4e-8780-9681f2ea33ba,54.23932,-126.59473,10.89425,5.8655,-6.84812,-8.28448,1.3698,-5.03122,1.86438,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2025-03-07,15:50:27.82,2,4,"Yates, Braxton",1000362284,Left,CSI_EAG,"Criste, Landon",1000222816,Left,CLA_COL,Undefined,1,Top,1,3,0,Fastball,Four-Seam,BallCalled,Walk,Undefined,Undefined,0,0,,85.68116,-2.963413,1.50098,2114.706512,174.278729,11:45,5.83576,-1.34378,6.08564,-22.5369,14.78013,-1.3776,1.21285,-0.0697,79.70303,-7.156538,1.252741,0.439668,,,,,,,,,,,,1.07315,8.67784,1.22868,50,5.5947,-3.21053,-124.51152,-7.1258,1.70913,21.59945,-18.35334,CSI_EAG,CLA_COL,SouthernIdaho,JUCO,NJCAA,20250307-SouthernIdaho-2,90e8e620-fba6-11ef-a509-8d7e08229d5a,85.72932,,,5.97813,,,,,,,19481724-428d-4d30-aad4-2126adfa459f,2025-03-07,22:50:27.82,2025-03-07T15:50:27.8270464-07:00,2025-03-07T22:50:27.8270464Z,,v3,,,,"Hicks, Kolton",1000256032,Right,CSI_EAG,537203ce-15fd-4451-ac06-4e52afe263ef,54.41518,-125.27509,10.79973,5.83514,-6.47698,-9.17667,1.34324,-3.27094,0.85457,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2025-03-07,15:50:54.28,3,1,"Yates, Braxton",1000362284,Left,CSI_EAG,"McGuire, Evan",1000256445,Right,CLA_COL,Undefined,1,Top,1,0,0,ChangeUp,Curveball,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,74.2455,1.595606,1.925802,1850.778063,308.578907,4:15,5.88263,-1.60948,4.60908,-52.72133,0.86244,1.15705,3.00766,0.31882,67.7499,-7.90446,2.128528,0.526851,45.27418,25.424157,161.758355,3624.124006,,,,85.77873,54.11538,163.577243,1.646842,0.00335,0.37532,1.41003,50,5.99815,-3.66155,-107.5207,1.14437,0.00389,19.84596,-31.73775,CSI_EAG,CLA_COL,SouthernIdaho,JUCO,NJCAA,20250307-SouthernIdaho-2,a0bda220-fba6-11ef-a509-8d7e08229d5a,71.54286,13.65484,,6.4956,,,,3.84784,3.30061,-0.23468,19481724-428d-4d30-aad4-2126adfa459f,2025-03-07,22:50:54.28,2025-03-07T15:50:54.2896128-07:00,2025-03-07T22:50:54.2896128Z,GroundBall,v3,,,,"Hicks, Kolton",1000256032,Right,CSI_EAG,8508827a-bdbe-4b50-8b36-ec2f6cadca46,55.89053,-108.60252,9.92298,5.88861,2.87443,-15.86888,1.60963,-3.66176,0.00195,333.802195,3.84782,-56.95421,2.0863,0.8139,-0.91838,1.18883,-0.83089,0.28792,-0.03997,3.30061,28.50655,-20.67202,1.57746,0.02143,-0.51366,0.48973,-0.20147,0.0312,-0.23467,18.77029,-2.40521,-0.12667,0.57054,-0.87246,0.64501,-0.23166,0.03298,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
