PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-03-07,17:03:17.43,1,1,"Lohse, Ian",809339,Left,MIZ_TIG,"Haskell, Logan",1000119429,Right,BIN_BEA,Undefined,1,Top,0,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,90.11019,0.893438,1.124972,2270.702264,139.087975,10:45,5.27512,-1.14888,5.63913,-19.66407,15.16765,-12.1706,4.47016,-1.11348,81.90739,-2.816301,-1.048363,0.424775,,,,,,,,,,,,6.44941,7.75528,1.06102,50,5.33865,-2.01997,-130.77995,1.4032,11.13546,28.37049,-18.78389,MIZ_TIG,BIN_BEA,TaylorStadium,D1,SEC,20250307-TaylorStadium-1,5b7a3d70-fba8-11ef-a30a-f9d26e9cd8b3,88.73513,,,8.2028,,,,,,,3a390cdc-7d24-424a-b8c1-9938cb8b95be,2025-03-07,23:03:17.43,2025-03-07T17:03:17.4352384-06:00,2025-03-07T23:03:17.4352384Z,,v3,4806,471242,,"Serna, Mateo",806219,Right,MIZ_TIG,e897f097-557f-42f5-afa6-ec5758eb8a8d,54.85767,-131.82954,14.18524,5.27388,2.09812,-9.39195,1.14337,-2.43193,5.56773,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2025-03-07,17:03:34.04,1,2,"Lohse, Ian",809339,Left,MIZ_TIG,"Haskell, Logan",1000119429,Right,BIN_BEA,Undefined,1,Top,0,1,0,Fastball,Four-Seam,InPlay,Undefined,Popup,Out,1,0,,90.60823,-0.95025,2.680116,2209.723962,143.251294,10:45,5.30176,-1.25109,5.44496,-17.59363,16.97426,-11.86701,2.94487,0.27117,82.86472,-4.259068,0.570741,0.423163,75.79966,54.046144,5.233696,,106.72244,106.40535,26.65148,193.89859,102.25498,17.188004,5.242613,6.72622,9.14067,1.02271,50,5.20591,-5.62182,-131.45434,-2.76488,11.79882,27.21796,-16.13996,MIZ_TIG,BIN_BEA,TaylorStadium,D1,SEC,20250307-TaylorStadium-1,6581af10-fba8-11ef-a30a-f9d26e9cd8b3,89.07305,106.3972,,7.7435,,,,1.62048,2.04134,-0.75651,3a390cdc-7d24-424a-b8c1-9938cb8b95be,2025-03-07,23:03:34.04,2025-03-07T17:03:34.0493824-06:00,2025-03-07T23:03:34.0493824Z,Popup,v3,4806,471242,,"Serna, Mateo",806219,Right,MIZ_TIG,4311d7b3-2fca-4f51-9b55-82467c502c26,55.05436,-132.49673,13.60898,5.29996,-2.14676,-8.06998,1.24667,-6.07369,5.89941,201.150913,1.62226,64.94653,-16.32959,4.2257,-0.54049,-0.06583,0.03945,-0.00585,0.0003,2.03704,90.07189,-23.04388,2.16774,-0.36308,0.01965,0.01403,-0.00362,0.00026,-0.75802,5.99479,4.59189,-1.58603,0.17731,0.07021,-0.03162,0.00479,-0.00026,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Medium,Low,,,
3,2025-03-07,17:04:09.16,2,1,"Lohse, Ian",809339,Left,MIZ_TIG,"Bolton, Matthew",10106000,Left,BIN_BEA,Undefined,1,Top,1,0,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,92.38535,-1.821825,1.900396,2247.383532,140.711641,10:45,5.37653,-1.18911,5.37914,-16.74402,16.64414,-12.74371,2.27184,-0.46894,84.41143,-4.968317,-0.364336,0.41588,,,,,,,,,,,,6.93398,9.18749,1.02834,50,5.20187,-3.855,-134.01113,-4.83116,12.61691,28.80369,-15.4567,MIZ_TIG,BIN_BEA,TaylorStadium,D1,SEC,20250307-TaylorStadium-1,7a74b0c0-fba8-11ef-a30a-f9d26e9cd8b3,90.633,,,7.97392,,,,,,,3a390cdc-7d24-424a-b8c1-9938cb8b95be,2025-03-07,23:04:09.16,2025-03-07T17:04:09.1680256-06:00,2025-03-07T23:04:09.1680256Z,,v3,4806,471242,,"Serna, Mateo",806219,Right,MIZ_TIG,c74928e3-efe1-46c7-a5ae-e333f5ec107f,55.11963,-135.10704,14.40185,5.37449,-4.24307,-7.72835,1.18414,-4.33504,6.30846,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2025-03-07,17:04:24.20,2,2,"Lohse, Ian",809339,Left,MIZ_TIG,"Bolton, Matthew",10106000,Left,BIN_BEA,Undefined,1,Top,1,0,1,Fastball,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,,91.00651,-1.713779,2.840733,2345.864734,128.318591,10:15,5.26562,-1.2012,5.40007,-20.56501,13.82509,-16.10808,1.94349,0.1206,83.24115,-5.541327,-0.021388,0.422073,,,,,,,,,,,,8.85012,7.74469,0.95939,50,5.09846,-5.80557,-131.9484,-4.67619,15.62823,27.64392,-18.49792,MIZ_TIG,BIN_BEA,TaylorStadium,D1,SEC,20250307-TaylorStadium-1,83633850-fba8-11ef-a30a-f9d26e9cd8b3,89.30304,,,7.76536,,,,,,,3a390cdc-7d24-424a-b8c1-9938cb8b95be,2025-03-07,23:04:24.20,2025-03-07T17:04:24.2045952-06:00,2025-03-07T23:04:24.2045952Z,,v3,4806,471242,,"Serna, Mateo",806219,Right,MIZ_TIG,d28ab5df-bf45-4b82-be47-ea4d9db54008,55.09862,-133.0123,13.82196,5.26473,-3.96429,-9.24896,1.19439,-6.40704,7.81412,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2025-03-07,17:04:41.19,2,3,"Lohse, Ian",809339,Left,MIZ_TIG,"Bolton, Matthew",10106000,Left,BIN_BEA,Undefined,1,Top,1,0,2,ChangeUp,Changeup,InPlay,Undefined,GroundBall,Out,1,0,,83.37168,-0.57729,3.005952,2414.744881,144.989732,10:45,5.18293,-1.25667,5.18164,-29.91191,11.66737,-7.19449,2.14634,0.97463,75.89175,-6.088119,1.733668,0.464098,92.4543,-4.513416,-4.712326,,,,,21.60466,20.34423,-7.104573,0.153244,4.49016,6.38937,0.98284,50,5.10681,-6.03566,-120.77011,-2.25818,6.59555,24.71587,-22.78881,MIZ_TIG,BIN_BEA,TaylorStadium,D1,SEC,20250307-TaylorStadium-1,8d91b9f0-fba8-11ef-a30a-f9d26e9cd8b3,81.21652,2.16656,,7.47992,,,,1.31423,2.16656,-0.97143,3a390cdc-7d24-424a-b8c1-9938cb8b95be,2025-03-07,23:04:41.19,2025-03-07T17:04:41.1901440-06:00,2025-03-07T23:04:41.1901440Z,GroundBall,v3,4806,471242,,"Serna, Mateo",806219,Right,MIZ_TIG,c7380d83-db0a-423f-9e56-2ca4acb86d0b,55.31647,-121.85327,12.35794,5.18389,-1.25947,-11.39441,1.25369,-6.32471,3.29778,11.718074,1.3148,134.67279,-21.90218,,,,,,,2.16719,-10.72584,-22.32636,,,,,,,-0.97139,-11.10878,0.06902,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
6,2025-03-07,17:05:16.47,3,1,"Lohse, Ian",809339,Left,MIZ_TIG,"Bade, Devan",1000232964,Right,BIN_BEA,Undefined,1,Top,2,0,0,Fastball,Four-Seam,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,92.93818,-1.657931,2.352312,2319.208865,136.173149,10:30,5.25068,-1.28806,5.41878,-16.32832,16.59733,-14.92741,2.33519,-0.32727,84.94018,-4.731336,-0.301461,0.412989,,,,,,,,,,,,8.10579,9.09965,1.08959,50,5.09216,-4.83096,-134.79689,-4.45029,14.94161,28.79299,-15.40043,MIZ_TIG,BIN_BEA,TaylorStadium,D1,SEC,20250307-TaylorStadium-1,a27d1a80-fba8-11ef-a30a-f9d26e9cd8b3,91.26741,,,7.998,,,,,,,3a390cdc-7d24-424a-b8c1-9938cb8b95be,2025-03-07,23:05:16.47,2025-03-07T17:05:16.4714496-06:00,2025-03-07T23:05:16.4714496Z,,v3,4806,471242,,"Serna, Mateo",806219,Right,MIZ_TIG,6ac95277-9f79-4042-af67-9af31e3ca34d,55.07927,-135.87751,14.39649,5.24833,-3.8723,-7.70022,1.28142,-5.39173,7.4708,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2025-03-07,17:05:32.94,3,2,"Lohse, Ian",809339,Left,MIZ_TIG,"Bade, Devan",1000232964,Right,BIN_BEA,Undefined,1,Top,2,0,1,Fastball,Four-Seam,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,92.39108,-1.317571,2.057336,2358.507566,132.424602,10:30,5.368,-1.20588,5.4055,-17.77304,15.76595,-16.01343,2.65137,-0.61183,83.89606,-4.663513,-0.789801,0.416818,,,,,,,,,,,,8.60394,8.63067,1.03402,50,5.2385,-4.05341,-133.94791,-3.68379,15.54779,30.3847,-16.57795,MIZ_TIG,BIN_BEA,TaylorStadium,D1,SEC,20250307-TaylorStadium-1,ac62d350-fba8-11ef-a30a-f9d26e9cd8b3,90.42905,,,8.49502,,,,,,,3a390cdc-7d24-424a-b8c1-9938cb8b95be,2025-03-07,23:05:32.94,2025-03-07T17:05:32.9409536-06:00,2025-03-07T23:05:32.9409536Z,,v3,4806,471242,,"Serna, Mateo",806219,Right,MIZ_TIG,5d1ecb7d-c809-4134-8c9f-a39a441277b0,55.09173,-135.09798,15.19235,5.36606,-3.05631,-8.28898,1.19858,-4.6419,7.77389,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2025-03-07,17:05:52.47,3,3,"Lohse, Ian",809339,Left,MIZ_TIG,"Bade, Devan",1000232964,Right,BIN_BEA,Undefined,1,Top,2,0,2,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,93.71527,-0.532467,1.425896,2465.93544,136.177566,10:30,5.43804,-1.19378,5.36719,-16.11446,16.42784,-14.74418,3.59574,-1.0852,85.21363,-3.576933,-1.194088,0.410578,,,,,,,,,,,,7.7539,8.69351,1.07644,50,5.37915,-2.67091,-135.95824,-1.80482,14.46959,30.64865,-15.95099,MIZ_TIG,BIN_BEA,TaylorStadium,D1,SEC,20250307-TaylorStadium-1,b7e09140-fba8-11ef-a30a-f9d26e9cd8b3,91.80335,,,8.50163,,,,,,,3a390cdc-7d24-424a-b8c1-9938cb8b95be,2025-03-07,23:05:52.47,2025-03-07T17:05:52.4744192-06:00,2025-03-07T23:05:52.4744192Z,,v3,4806,471242,,"Serna, Mateo",806219,Right,MIZ_TIG,d2676f5d-b45b-4da9-a6b9-822302fb3ebd,55.12988,-137.10977,15.32433,5.4357,-1.20551,-7.9755,1.187,-3.21456,7.23479,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2025-03-07,17:06:12.72,3,4,"Lohse, Ian",809339,Left,MIZ_TIG,"Bade, Devan",1000232964,Right,BIN_BEA,Undefined,1,Top,2,1,2,Cutter,Cutter,BallCalled,Undefined,Undefined,Undefined,0,0,,87.52402,-1.17432,2.397645,2588.744588,172.294594,11:45,5.30561,-1.10927,5.2175,-29.1049,8.33855,-0.96858,1.77492,1.06572,80.2149,-6.504031,2.226076,0.440412,,,,,,,,,,,,1.15736,4.82248,0.88859,50,5.17532,-5.27264,-126.93406,-3.67949,1.88795,26.02101,-24.30728,MIZ_TIG,BIN_BEA,TaylorStadium,D1,SEC,20250307-TaylorStadium-1,c41b0f80-fba8-11ef-a30a-f9d26e9cd8b3,85.58445,,,7.30911,,,,,,,3a390cdc-7d24-424a-b8c1-9938cb8b95be,2025-03-07,23:06:12.72,2025-03-07T17:06:12.7214080-06:00,2025-03-07T23:06:12.7214080Z,,v3,4806,471242,,"Serna, Mateo",806219,Right,MIZ_TIG,9b694325-c2e0-4577-b48f-79c281a72b5e,55.28237,-128.01234,13.01051,5.30693,-2.67222,-12.15364,1.1087,-5.35088,0.94397,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2025-03-07,17:06:33.55,3,5,"Lohse, Ian",809339,Left,MIZ_TIG,"Bade, Devan",1000232964,Right,BIN_BEA,Undefined,1,Top,2,2,2,Fastball,Four-Seam,InPlay,Undefined,FlyBall,Out,1,0,,92.89739,-1.272466,2.422249,2252.091384,135.360345,10:30,5.42011,-1.03533,5.408,-16.65131,16.4493,-15.16489,2.83903,-0.02824,84.51885,-4.413959,-0.272883,0.414085,88.52358,57.628208,25.769418,,85.02693,135.70234,69.7881,224.84836,93.19788,46.114841,5.873733,8.33465,8.96252,0.83071,50,5.29552,-4.99197,-134.70828,-3.55512,15.26663,30.12821,-15.75739,MIZ_TIG,BIN_BEA,TaylorStadium,D1,SEC,20250307-TaylorStadium-1,d07f35d0-fba8-11ef-a30a-f9d26e9cd8b3,91.02584,139.20796,,8.37854,,,,1.30195,2.25073,-0.67331,3a390cdc-7d24-424a-b8c1-9938cb8b95be,2025-03-07,23:06:33.55,2025-03-07T17:06:33.5583744-06:00,2025-03-07T23:06:33.5583744Z,FlyBall,v3,4806,471242,,"Serna, Mateo",806219,Right,MIZ_TIG,5a53d04b-39df-4a96-ae53-345a5394349c,55.09079,-135.84208,15.0641,5.41815,-2.96213,-7.87869,1.02938,-5.5665,7.63331,206.526356,1.30622,62.43272,-19.07067,4.00404,0.3534,-0.52075,0.1462,-0.01794,0.00083,2.2249,110.0715,-28.83794,4.81199,-1.54816,0.3822,-0.05351,0.00341,-6E-05,-0.68248,30.41411,1.3407,-0.17891,-0.62103,0.36453,-0.09073,0.01072,-0.00049,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Low,,,
