PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-03-07,15:04:19.06,1,1,"Goldstein, Charlie",809709,Left,GEO_BUL,"Brewer, Jackson",1000096052,Left,COL_LION,Undefined,1,Top,0,0,0,FourSeamFastBall,Changeup,StrikeCalled,Undefined,Undefined,Undefined,0,0,,84.66521,-2.000901,2.094063,2132.424259,135.033077,10:30,6.39346,-1.32892,5.47544,-21.96919,18.15883,-16.69048,2.68828,-0.75933,76.5568,-6.136464,-0.877893,0.455927,,,,,,,,,,,,9.01241,10.18174,1.15641,50,6.203,-3.76184,-122.61725,-4.96407,13.55442,26.99177,-16.86103,GEO_BUL,COL_LION,UGeorgia,D1,SEC,20250307-UGeorgia-1,5c065a30-fb8f-11ef-9667-fd8d1da21f93,82.67211,,,8.10841,,,,,,,95b53278-2bfc-4326-848f-557018d4d54b,2025-03-07,20:04:19.06,2025-03-07T15:04:19.0647808-05:00,2025-03-07T20:04:19.0647808Z,,v3,226,471274,,"Hunter, Henry",802001,Right,GEO_BUL,1f9744d9-002d-4980-a971-61ed9c276251,55.02228,-123.71786,13.49588,6.39139,-4.27655,-8.43051,1.32107,-4.31454,6.77721,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2025-03-07,15:04:33.61,1,2,"Goldstein, Charlie",809709,Left,GEO_BUL,"Brewer, Jackson",1000096052,Left,COL_LION,Undefined,1,Top,0,0,1,Slider,Slider,InPlay,Undefined,GroundBall,Out,1,0,,76.00925,1.027076,1.54707,2485.380006,289.267244,3:45,6.20096,-1.59006,5.00309,-53.49664,-2.61453,12.72292,2.71295,0.93101,68.86877,-8.674914,3.794,0.513398,53.06098,-44.343528,-42.197972,,,,,4.70567,4.58273,-36.251386,0.049872,-5.82536,-1.17394,1.43037,50,6.25628,-3.47891,-110.07596,0.1245,-7.01273,22.97241,-33.58728,GEO_BUL,COL_LION,UGeorgia,D1,SEC,20250307-UGeorgia-1,64b65220-fb8f-11ef-9667-fd8d1da21f93,73.41762,2.73186,,7.14048,,,,1.72404,2.73186,-0.90509,95b53278-2bfc-4326-848f-557018d4d54b,2025-03-07,20:04:33.61,2025-03-07T15:04:33.6187904-05:00,2025-03-07T20:04:33.6187904Z,GroundBall,v3,226,471274,,"Hunter, Henry",802001,Right,GEO_BUL,ef7f7aa2-cfd6-4b0c-a020-f0a3aa60f7a6,55.49773,-111.21739,11.4862,6.20864,1.79336,-16.79364,1.59457,-3.13047,-3.50636,180,1.72171,41.52105,,,,,,,,2.73492,-54.77696,,,,,,,,-0.90298,-37.64631,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
3,2025-03-07,15:05:07.44,2,1,"Goldstein, Charlie",809709,Left,GEO_BUL,"Selinsky, Skye",1000061613,Right,COL_LION,Undefined,1,Top,1,0,0,ChangeUp,Changeup,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,78.3701,-0.19906,2.460535,2048.926312,121.994699,10:00,6.33026,-1.52268,5.43614,-36.04644,11.16623,-15.00985,3.1398,-0.46788,70.48067,-6.890982,-0.209996,0.494539,,,,,,,,,,,,8.16961,6.25666,1.31445,50,6.28864,-4.23526,-113.3853,-1.55189,10.4432,24.22673,-24.17615,GEO_BUL,COL_LION,UGeorgia,D1,SEC,20250307-UGeorgia-1,78cadab0-fb8f-11ef-9667-fd8d1da21f93,76.21728,,,7.88943,,,,,,,95b53278-2bfc-4326-848f-557018d4d54b,2025-03-07,20:05:07.44,2025-03-07T15:05:07.4477568-05:00,2025-03-07T20:05:07.4477568Z,,v3,226,471274,,"Hunter, Henry",802001,Right,GEO_BUL,013c0401-1b09-4ec6-ade0-66b9d06c346c,55.05635,-114.46058,12.11337,6.3337,-0.47886,-12.08808,1.51271,-4.69877,5.2216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2025-03-07,15:05:28.54,2,2,"Goldstein, Charlie",809709,Left,GEO_BUL,"Selinsky, Skye",1000061613,Right,COL_LION,Undefined,1,Top,1,0,1,Curveball,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,73.12659,3.72678,-0.426178,2476.70794,329.164323,5:00,6.42843,-1.35539,5.41286,-70.73453,-16.65178,11.07611,4.03044,-0.83167,66.28659,-9.138949,1.545891,0.529299,,,,,,,,,,,,-5.62666,-8.8013,1.38559,50,6.71175,0.36142,-105.92194,4.53799,-6.28862,20.83158,-42.01081,GEO_BUL,COL_LION,UGeorgia,D1,SEC,20250307-UGeorgia-1,85604a30-fb8f-11ef-9667-fd8d1da21f93,71.21205,,,6.83999,,,,,,,95b53278-2bfc-4326-848f-557018d4d54b,2025-03-07,20:05:28.54,2025-03-07T15:05:28.5407744-05:00,2025-03-07T20:05:28.5407744Z,,v3,226,471274,,"Hunter, Henry",802001,Right,GEO_BUL,2d5f4041-61ef-4b75-939f-1efbeb1dcef7,55.09116,-106.91852,10.41579,6.44658,6.54779,-21.0054,1.3611,0.66227,-3.14431,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2025-03-07,15:05:46.04,2,3,"Goldstein, Charlie",809709,Left,GEO_BUL,"Selinsky, Skye",1000061613,Right,COL_LION,Undefined,1,Top,1,1,1,ChangeUp,Changeup,StrikeCalled,Undefined,Undefined,Undefined,0,0,,79.203,-1.618464,2.197807,2145.936027,126.185527,10:15,6.3464,-1.44527,5.46479,-31.6636,13.6615,-16.6743,2.19142,-0.77671,72.65448,-7.460291,-0.772359,0.484552,,,,,,,,,,,,8.9891,7.78205,1.26334,50,6.18236,-3.74546,-114.87723,-4.25222,12.01159,21.29105,-21.77538,GEO_BUL,COL_LION,UGeorgia,D1,SEC,20250307-UGeorgia-1,8fc9b1f0-fb8f-11ef-9667-fd8d1da21f93,77.78815,,,6.54852,,,,,,,95b53278-2bfc-4326-848f-557018d4d54b,2025-03-07,20:05:46.04,2025-03-07T15:05:46.0487168-05:00,2025-03-07T20:05:46.0487168Z,,v3,226,471274,,"Hunter, Henry",802001,Right,GEO_BUL,80d42ac0-1afb-4376-9911-abb95eb0c039,55.035,-115.80665,10.64553,6.34723,-3.30167,-10.88769,1.43828,-4.2698,6.00579,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2025-03-07,15:06:02.53,2,4,"Goldstein, Charlie",809709,Left,GEO_BUL,"Selinsky, Skye",1000061613,Right,COL_LION,Undefined,1,Top,2,1,2,FourSeamFastBall,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,88.39177,-0.909039,2.351535,2193.615796,152.169623,11:00,6.44428,-1.20799,5.67031,-17.48143,18.82426,-9.28945,4.13914,0.21165,80.20378,-4.237778,0.693021,0.433669,,,,,,,,,,,,5.36906,10.15709,1.0151,50,6.35658,-4.85216,-128.15721,-2.54936,8.8782,27.90538,-15.37845,GEO_BUL,COL_LION,UGeorgia,D1,SEC,20250307-UGeorgia-1,99948fc0-fb8f-11ef-9667-fd8d1da21f93,86.91513,,,8.18798,,,,,,,95b53278-2bfc-4326-848f-557018d4d54b,2025-03-07,20:06:02.53,2025-03-07T15:06:02.5347072-05:00,2025-03-07T20:06:02.5347072Z,,v3,226,471274,,"Hunter, Henry",802001,Right,GEO_BUL,e4c45219-77ab-4022-b3d9-f6b1aea9dc3e,54.82728,-129.20404,13.95269,6.44139,-1.97246,-7.68923,1.20337,-5.18522,4.4391,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2025-03-07,15:06:20.25,2,5,"Goldstein, Charlie",809709,Left,GEO_BUL,"Selinsky, Skye",1000061613,Right,COL_LION,Undefined,1,Top,2,2,2,FourSeamFastBall,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,88.97458,-0.43184,2.888285,2263.327942,151.638332,11:00,6.46697,-1.31424,5.64869,-16.77064,19.09233,-9.65642,4.6661,0.57741,80.7047,-3.631694,1.166371,0.431017,,,,,,,,,,,,5.705,10.13528,1.07515,50,6.41979,-6.07648,-128.9661,-1.46416,9.55896,28.10741,-15.19201,GEO_BUL,COL_LION,UGeorgia,D1,SEC,20250307-UGeorgia-1,a421d330-fb8f-11ef-9667-fd8d1da21f93,87.44997,,,8.26988,,,,,,,95b53278-2bfc-4326-848f-557018d4d54b,2025-03-07,20:06:20.25,2025-03-07T15:06:20.2532352-05:00,2025-03-07T20:06:20.2532352Z,,v3,226,471274,,"Hunter, Henry",802001,Right,GEO_BUL,fcd0f07b-1801-40a6-ace0-3328733d83fc,54.84912,-130.01864,14.0537,6.46397,-0.89526,-7.596,1.3094,-6.43444,4.77948,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2025-03-07,15:06:38.42,2,6,"Goldstein, Charlie",809709,Left,GEO_BUL,"Selinsky, Skye",1000061613,Right,COL_LION,Undefined,1,Top,2,3,2,ChangeUp,Changeup,BallCalled,Walk,Undefined,Undefined,0,0,,79.36846,-2.007934,3.70392,2157.820777,122.683506,10:00,6.31625,-1.50384,5.39932,-33.10777,12.19977,-16.74284,1.6709,0.57675,72.92459,-8.085711,0.730049,0.484459,,,,,,,,,,,,9.44138,7.12225,1.18531,50,6.11368,-6.77819,-114.96124,-5.1123,12.65518,20.9941,-22.62741,GEO_BUL,COL_LION,UGeorgia,D1,SEC,20250307-UGeorgia-1,af1e7a40-fb8f-11ef-9667-fd8d1da21f93,77.8032,,,6.44388,,,,,,,95b53278-2bfc-4326-848f-557018d4d54b,2025-03-07,20:06:38.42,2025-03-07T15:06:38.4273920-05:00,2025-03-07T20:06:38.4273920Z,,v3,226,471274,,"Hunter, Henry",802001,Right,GEO_BUL,07465c1f-ea9c-41ee-b26a-151193e6d3d5,55.10155,-115.88914,10.49705,6.31753,-4.11222,-11.31371,1.49725,-7.33752,6.32759,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2025-03-07,15:07:10.50,3,1,"Goldstein, Charlie",809709,Left,GEO_BUL,"Palfrey, Griffin",1000115018,Right,COL_LION,Undefined,1,Top,1,0,0,ChangeUp,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,77.59853,0.201446,2.060655,2145.777949,122.683645,10:00,6.36948,-1.52706,5.40435,-35.16663,12.54001,-16.96717,3.62781,-1.00928,70.42294,-6.313001,-0.956494,0.49712,,,,,,,,,,,,9.08729,6.73599,1.35545,50,6.36329,-3.36717,-112.47094,-0.71349,11.53448,22.12579,-23.62405,GEO_BUL,COL_LION,UGeorgia,D1,SEC,20250307-UGeorgia-1,c21e1060-fb8f-11ef-9667-fd8d1da21f93,75.82169,,,7.17559,,,,,,,95b53278-2bfc-4326-848f-557018d4d54b,2025-03-07,20:07:10.50,2025-03-07T15:07:10.5024512-05:00,2025-03-07T20:07:10.5024512Z,,v3,226,471274,,"Hunter, Henry",802001,Right,GEO_BUL,a75b3aaf-b883-4d5f-a663-efaad22576b0,55.09348,-113.46852,11.0629,6.37144,0.35165,-11.81202,1.51899,-3.88722,5.76724,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2025-03-07,15:07:31.92,3,2,"Goldstein, Charlie",809709,Left,GEO_BUL,"Palfrey, Griffin",1000115018,Right,COL_LION,Undefined,1,Top,1,1,0,FourSeamFastBall,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,87.79137,-2.214492,3.313642,2144.432947,143.414501,10:45,6.31916,-1.17381,5.69817,-18.458,18.28123,-12.65969,2.71283,0.86263,80.00343,-5.705104,1.05426,0.436251,,,,,,,,,,,,7.48032,10.33331,0.90372,50,6.12166,-6.84414,-127.22046,-5.49218,12.21396,27.00591,-15.30174,GEO_BUL,COL_LION,UGeorgia,D1,SEC,20250307-UGeorgia-1,cef1e870-fb8f-11ef-9667-fd8d1da21f93,86.40081,,,7.78794,,,,,,,95b53278-2bfc-4326-848f-557018d4d54b,2025-03-07,20:07:31.92,2025-03-07T15:07:31.9236608-05:00,2025-03-07T20:07:31.9236608Z,,v3,226,471274,,"Hunter, Henry",802001,Right,GEO_BUL,b7d610ff-e766-4b58-a871-7b3b016a86f6,54.80378,-128.23613,13.50295,6.3174,-4.91669,-7.65087,1.16976,-7.3035,6.10698,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
