PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-03-07,18:36:39.27,1,1,"Braun, Corey",1000103064,Left,USF_BUL,"Lemon, Austin",822759,Right,VIL_WIL,Undefined,1,Top,0,0,0,Slider,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,79.72384,0.541116,4.537838,2440.039842,308.307739,4:15,5.08789,-3.50127,5.08633,-53.38495,-7.20079,11.11733,1.1508,1.71132,72.66263,-9.074278,6.49362,0.489123,,,,,,,,,,,,-4.05355,-3.26823,3.06191,50,5.09734,-9.60829,-115.21883,-0.86054,-5.36675,24.42465,-36.5011,USF_BUL,VIL_WIL,USFBaseballStadium,D1,AMER,20250307-USFBaseballStadium-1,3e0a9690-fbad-11ef-8278-176fb31435c1,77.06128,,,7.06121,,,,,,,7edb110b-3e23-4885-90b4-c19c1ed0cc9a,2025-03-07,23:36:39.27,2025-03-07T18:36:39.2750000-05:00,2025-03-07T23:36:39.2750000Z,,v3,471443,471478,,"Trippel, Lance",804841,Right,USF_BUL,37a9ae0d-8852-4d4f-b940-6bedd27271b3,55.41389,-116.36083,12.21232,5.09768,0.84611,-18.25055,3.50529,-9.35736,-2.68337,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2025-03-07,18:36:51.92,1,2,"Braun, Corey",1000103064,Left,USF_BUL,"Lemon, Austin",822759,Right,VIL_WIL,Undefined,1,Top,0,1,1,Slider,Slider,StrikeCalled,Undefined,Undefined,Undefined,0,0,,79.91231,0.499284,3.309351,2504.54126,281.941865,3:30,5.06279,-3.48086,5.12691,-46.98766,-1.30839,13.51926,1.6182,0.76613,72.79736,-8.017143,5.694485,0.486442,,,,,,,,,,,,-5.68658,-0.35331,3.15879,50,5.07345,-7.2496,-115.67101,-0.67419,-7.60491,24.17638,-32.64654,USF_BUL,VIL_WIL,USFBaseballStadium,D1,AMER,20250307-USFBaseballStadium-1,457627a0-fbad-11ef-8278-176fb31435c1,77.48602,,,7.11495,,,,,,,7edb110b-3e23-4885-90b4-c19c1ed0cc9a,2025-03-07,23:36:51.92,2025-03-07T18:36:51.9210000-05:00,2025-03-07T23:36:51.9210000Z,,v3,471443,471478,,"Trippel, Lance",804841,Right,USF_BUL,02cfb8c8-9b20-49cb-9e49-282fc5deac39,55.37267,-116.78856,12.08819,5.06974,0.83488,-16.32327,3.48577,-6.89807,-3.80245,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2025-03-07,18:37:08.16,1,3,"Braun, Corey",1000103064,Left,USF_BUL,"Lemon, Austin",822759,Right,VIL_WIL,Undefined,1,Top,0,1,2,Fastball,Four-Seam,InPlay,Undefined,GroundBall,Out,1,0,,90.26912,-1.384369,5.187776,2243.924706,149.774426,11:00,5.52355,-3.17468,5.52817,-17.34005,17.99918,-9.75961,2.7788,0.87509,81.58209,-4.673946,3.459699,0.427858,78.76129,-6.869053,4.340211,,,,,19.06335,18.91234,1.554683,0.164966,6.49217,9.85804,2.72926,50,5.39153,-11.39512,-130.3787,-3.70278,11.07433,29.71451,-15.3582,USF_BUL,VIL_WIL,USFBaseballStadium,D1,AMER,20250307-USFBaseballStadium-1,4f3b1200-fbad-11ef-8278-176fb31435c1,88.09562,2.63949,,8.68702,,,,0.52925,2.63949,-0.93729,7edb110b-3e23-4885-90b4-c19c1ed0cc9a,2025-03-07,23:37:08.16,2025-03-07T18:37:08.1630000-05:00,2025-03-07T23:37:08.1630000Z,GroundBall,v3,471443,471478,,"Trippel, Lance",804841,Right,USF_BUL,b2b8de2c-3125-49c3-871c-9505d11d7a7c,54.96929,-131.50637,14.85725,5.52099,-3.11993,-7.6791,3.16968,-11.81539,5.53717,237.29287,0.5296,114.33042,-12.28048,,,,,,,2.63963,-13.82729,-13.1827,,,,,,,-0.93733,8.68282,0.81622,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
4,2025-03-07,18:40:28.89,2,1,"Braun, Corey",1000103064,Left,USF_BUL,"Shaw, Tyler",1000127736,Right,VIL_WIL,Undefined,1,Top,1,0,0,Slider,Curveball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,78.99263,0.789707,3.415412,2342.255856,340.156289,5:15,5.1581,-3.67067,5.19442,-53.19676,-6.48004,2.92795,1.46926,-0.21008,71.79678,-8.849686,3.93344,0.491935,,,,,,,,,,,,-0.36362,-3.02236,3.35125,50,5.19112,-6.94256,-114.32678,-0.31756,-0.47409,24.00127,-36.11479,USF_BUL,VIL_WIL,USFBaseballStadium,D1,AMER,20250307-USFBaseballStadium-1,c6e90a50-fbad-11ef-8278-176fb31435c1,76.62079,,,7.19585,,,,,,,7edb110b-3e23-4885-90b4-c19c1ed0cc9a,2025-03-07,23:40:28.89,2025-03-07T18:40:28.8960000-05:00,2025-03-07T23:40:28.8960000Z,,v3,471443,471478,,"Trippel, Lance",804841,Right,USF_BUL,e1d26bdd-0ff8-41f6-bd7d-c7f14cff3191,55.30564,-115.43524,12.00064,5.16727,1.35036,-18.0574,3.67138,-6.92067,-0.23705,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2025-03-07,18:40:44.26,2,2,"Braun, Corey",1000103064,Left,USF_BUL,"Shaw, Tyler",1000127736,Right,VIL_WIL,Undefined,1,Top,1,0,1,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,92.32203,-0.794517,4.217327,2304.131348,158.03889,11:15,5.50583,-3.09355,5.59565,-13.8315,20.15757,-7.60107,3.60933,0.21774,82.44648,-3.484901,2.866925,0.419605,72.27909,-14.844684,-53.161703,,,,,14.57836,14.57836,-43.874239,0.126804,5.30992,10.85638,2.73652,50,5.42919,-9.49196,-133.42007,-2.24271,9.36127,34.57852,-13.03456,USF_BUL,VIL_WIL,USFBaseballStadium,D1,AMER,20250307-USFBaseballStadium-1,d006df40-fbad-11ef-8278-176fb31435c1,89.82834,3.48614,,9.87556,,,,2.74809,3.48614,0.32542,7edb110b-3e23-4885-90b4-c19c1ed0cc9a,2025-03-07,23:40:44.26,2025-03-07T18:40:44.2680000-05:00,2025-03-07T23:40:44.2680000Z,GroundBall,v3,471443,471478,,"Trippel, Lance",804841,Right,USF_BUL,274715d1-013e-4a50-aac4-4cf7ecacce2c,54.90157,-134.68442,17.28926,5.50248,-1.76611,-6.51728,3.08985,-9.83425,4.68063,161.040879,2.7481,61.43629,-1.83335,,,,,,,3.48615,-27.16127,-2.6133,,,,,,,0.32541,-82.00948,-1.87877,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Medium,High,,,
6,2025-03-07,18:41:05.74,2,3,"Braun, Corey",1000103064,Left,USF_BUL,"Shaw, Tyler",1000127736,Right,VIL_WIL,Undefined,1,Top,1,0,2,Slider,Slider,InPlay,Undefined,GroundBall,Single,0,0,,79.23522,0.01959,1.866679,2517.352125,280.661606,3:15,5.25663,-3.33736,5.21257,-47.07719,-1.03287,13.59879,1.35196,-0.44817,72.45466,-8.523757,4.277382,0.488382,45.49676,-60.725203,-54.117368,,,,,1.78817,1.78817,-5.339407,0.02292,-6.23933,-0.08803,3.15409,50,5.22304,-4.29511,-114.89286,-1.61343,-8.2603,23.18486,-32.29058,USF_BUL,VIL_WIL,USFBaseballStadium,D1,AMER,20250307-USFBaseballStadium-1,dce2f4b0-fbad-11ef-8278-176fb31435c1,77.17823,1.34042,,6.78056,,,,1.33997,1.34042,0.44243,7edb110b-3e23-4885-90b4-c19c1ed0cc9a,2025-03-07,23:41:05.74,2025-03-07T18:41:05.7490000-05:00,2025-03-07T23:41:05.7490000Z,GroundBall,v3,471443,471478,,"Trippel, Lance",804841,Right,USF_BUL,d9ad0999-7d5e-47e4-b4e5-80502e426122,55.28785,-115.95501,11.59243,5.26307,-0.13412,-16.14529,3.34219,-3.91669,-4.13015,,1.33964,19.216,,,,,,,,1.34144,-58.48193,,,,,,,,0.44289,-26.56281,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Estimated,Estimated,,,
7,2025-03-07,18:41:42.38,3,1,"Braun, Corey",1000103064,Left,USF_BUL,"Whooley, Michael",1000238615,Right,VIL_WIL,Undefined,1,Top,1,0,0,ChangeUp,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,85.11867,-1.068939,5.309962,1762.597567,91.053489,9:00,5.05946,-3.75435,5.5503,-37.84624,1.65228,-17.8882,0.9023,-0.26883,77.68349,-7.991937,2.13323,0.452337,,,,,,,,,,,,10.64552,1.50232,3.30603,50,4.94135,-10.69787,-123.08152,-3.64971,16.2534,25.50251,-29.88032,USF_BUL,VIL_WIL,USFBaseballStadium,D1,AMER,20250307-USFBaseballStadium-1,f2b69260-fbad-11ef-8278-176fb31435c1,83.32829,,,7.43518,,,,,,,7edb110b-3e23-4885-90b4-c19c1ed0cc9a,2025-03-07,23:41:42.38,2025-03-07T18:41:42.3880000-05:00,2025-03-07T23:41:42.3880000Z,,v3,471443,471478,,"Trippel, Lance",804841,Right,USF_BUL,0bc6ec9f-fc13-45e1-858d-fa9e6d21e89c,54.95132,-124.10319,12.75125,5.06358,-2.45266,-14.94016,3.74765,-11.34901,8.1267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2025-03-07,18:41:57.52,3,2,"Braun, Corey",1000103064,Left,USF_BUL,"Whooley, Michael",1000238615,Right,VIL_WIL,Undefined,1,Top,1,1,0,Slider,Curveball,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,79.11162,-0.256081,3.244998,2631.693367,292.541222,3:45,5.10246,-3.72805,4.87128,-49.84207,-3.02024,10.95375,0.70623,0.25883,72.56813,-9.206775,5.171251,0.492488,,,,,,,,,,,,-4.47414,-1.04095,3.39858,50,5.03469,-6.94667,-114.55845,-2.33672,-5.8973,22.77116,-33.54608,USF_BUL,VIL_WIL,USFBaseballStadium,D1,AMER,20250307-USFBaseballStadium-1,fbc0df50-fbad-11ef-8278-176fb31435c1,76.53476,,,6.54349,,,,,,,7edb110b-3e23-4885-90b4-c19c1ed0cc9a,2025-03-07,23:41:57.52,2025-03-07T18:41:57.5260000-05:00,2025-03-07T23:41:57.5260000Z,,v3,471443,471478,,"Trippel, Lance",804841,Right,USF_BUL,58407cce-364c-415d-a018-b9c5756ccb13,55.6302,-115.67217,11.38558,5.10885,-0.69601,-16.77304,3.73128,-6.65824,-2.94865,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2025-03-07,18:42:19.18,3,3,"Braun, Corey",1000103064,Left,USF_BUL,"Whooley, Michael",1000238615,Right,VIL_WIL,Undefined,1,Top,1,1,1,Slider,Curveball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,79.73614,0.665703,2.360905,2657.676855,294.483886,3:45,5.27691,-3.44145,4.87506,-49.19597,-3.23571,10.37922,1.80773,-0.34125,72.99176,-8.199262,4.187942,0.487936,,,,,,,,,,,,-4.42236,-1.35303,3.19997,50,5.30068,-5.20443,-115.54509,-0.48915,-5.94106,22.79058,-33.99172,USF_BUL,VIL_WIL,USFBaseballStadium,D1,AMER,20250307-USFBaseballStadium-1,088945b0-fbae-11ef-8278-176fb31435c1,77.24876,,,6.74438,,,,,,,7edb110b-3e23-4885-90b4-c19c1ed0cc9a,2025-03-07,23:42:19.18,2025-03-07T18:42:19.1810000-05:00,2025-03-07T23:42:19.1810000Z,,v3,471443,471478,,"Trippel, Lance",804841,Right,USF_BUL,04456a31-6137-4920-b0dc-17f62d647d86,55.62542,-116.64939,11.39529,5.28448,1.1579,-16.99586,3.44517,-4.91656,-2.97053,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2025-03-07,18:42:40.45,3,4,"Braun, Corey",1000103064,Left,USF_BUL,"Whooley, Michael",1000238615,Right,VIL_WIL,Undefined,1,Top,1,1,2,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,93.35128,-1.632568,3.913433,2319.644616,147.727907,11:00,5.58051,-3.22877,5.68464,-12.36406,20.61852,-12.23808,3.02446,-0.59515,83.70709,-4.052303,1.733113,0.413346,71.39031,65.591928,120.206594,4988.966217,,,,,39.17592,,,7.53044,11.37516,2.90682,50,5.43549,-8.67903,-135.0132,-4.18632,13.65421,34.24178,-11.54855,USF_BUL,VIL_WIL,USFBaseballStadium,D1,AMER,20250307-USFBaseballStadium-1,15417f70-fbae-11ef-8278-176fb31435c1,91.18861,69.99926,,9.64419,,,,0.14228,2.71678,1.32613,7edb110b-3e23-4885-90b4-c19c1ed0cc9a,2025-03-07,23:42:40.45,2025-03-07T18:42:40.4530000-05:00,2025-03-07T23:42:40.4530000Z,,v3,471443,471478,,"Trippel, Lance",804841,Right,USF_BUL,9ca4a53e-23c9-4033-91f7-056f60edba62,54.81356,-136.22853,17.12089,5.5768,-3.77643,-5.77428,3.22346,-9.16366,6.82711,334.913523,0.14227,-21.76747,-5.87745,2.89616,-1.58123,1.37335,-0.55663,-0.19342,0.16217,2.71678,95.34779,-28.06085,3.45588,-0.72036,0.12988,0.12464,-0.17444,0.06223,1.32612,37.39331,-7.56046,1.99038,-0.70745,0.48815,-0.12333,-0.14551,0.0828,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Medium,Undefined,,,
