PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-03-07,18:36:34.98,1,1,"Schmitz, Paul",812367,Right,HOU_COU,"Thomas, Martavius",1000304211,Right,GRA_TIG,Undefined,1,Top,0,0,0,Cutter,Four-Seam,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,88.39908,-1.366655,-2.335136,2252.983371,194.584625,12:30,6.3087,1.65024,6.71835,-16.47749,18.2317,4.45366,3.68506,-0.11433,80.6952,-4.554516,-1.524232,0.424027,,,,,,,,,,,,-3.00929,10.34949,-1.49718,50,6.21126,5.07017,-128.43861,-3.45254,-5.01607,27.13277,-14.9228,HOU_COU,GRA_TIG,UofHouston,D1,BIG12,20250307-UofHouston-1,64847770-fbb5-11ef-82f2-775c4cc052c0,88.89156,,,7.70388,,,,,,,62b7dd27-172b-4b3c-afa0-5aa99337ffba,2025-03-08,00:36:34.98,2025-03-07T18:36:34.9875712-06:00,2025-03-08T00:36:34.9875712Z,,v3,3030,471308,,"Cox, Tyler",1000029024,Right,HOU_COU,64d01471-f155-4aea-bd34-8bf96d07d840,53.78134,-129.23495,13.56638,6.30617,-3.01456,-7.4614,-1.64814,5.2174,-2.50803,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2025-03-07,18:36:50.16,1,2,"Schmitz, Paul",812367,Right,HOU_COU,"Thomas, Martavius",1000304211,Right,GRA_TIG,Undefined,1,Top,0,0,1,Curveball,Curveball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,75.3644,0.126793,-0.275085,2362.756126,61.663222,8:00,6.46893,1.48457,6.06738,-49.25471,-0.5215,-3.72268,2.48171,0.91977,69.57928,-8.941226,-0.946912,0.50244,,,,,,,,,,,,1.84284,0.16339,-1.46131,50,6.45262,0.65538,-109.58228,-1.21218,2.24171,19.28995,-31.97528,HOU_COU,GRA_TIG,UofHouston,D1,BIG12,20250307-UofHouston-1,6d226e00-fbb5-11ef-82f2-775c4cc052c0,75.01885,,,5.78512,,,,,,,62b7dd27-172b-4b3c-afa0-5aa99337ffba,2025-03-08,00:36:50.16,2025-03-07T18:36:50.1660672-06:00,2025-03-08T00:36:50.1660672Z,,v3,3030,471308,,"Cox, Tyler",1000029024,Right,HOU_COU,225c7aaf-c902-4ae6-b43f-d839f3d2e2c5,54.43459,-110.36015,9.64497,6.4755,0.07722,-15.98764,-1.48591,0.56499,1.12085,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2025-03-07,18:37:03.15,1,3,"Schmitz, Paul",812367,Right,HOU_COU,"Thomas, Martavius",1000304211,Right,GRA_TIG,Undefined,1,Top,0,0,2,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,93.07545,-2.175602,-0.745359,2381.514849,196.803859,12:30,6.34275,1.46071,6.82007,-11.96654,19.36977,5.5287,3.35957,1.24139,84.50052,-4.53852,0.264479,0.402898,,,,,,,,,,,,-3.13807,11.21634,-1.41436,50,6.19744,1.54049,-135.23086,-5.37346,-5.76442,31.69995,-11.57043,HOU_COU,GRA_TIG,UofHouston,D1,BIG12,20250307-UofHouston-1,74c89710-fbb5-11ef-82f2-775c4cc052c0,93.55326,,,8.57493,,,,,,,62b7dd27-172b-4b3c-afa0-5aa99337ffba,2025-03-08,00:37:03.15,2025-03-07T18:37:03.1556608-06:00,2025-03-08T00:37:03.1556608Z,,v3,3030,471308,,"Cox, Tyler",1000029024,Right,HOU_COU,bfe1a8b6-c0d6-4335-bd14-a28bc3341362,53.6788,-136.09049,15.84998,6.3389,-5.0597,-5.78521,-1.45826,1.6968,-2.88221,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2025-03-07,18:37:17.03,1,4,"Schmitz, Paul",812367,Right,HOU_COU,"Thomas, Martavius",1000304211,Right,GRA_TIG,Undefined,1,Top,0,1,2,ChangeUp,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,82.96626,-5.067944,-3.577792,1426.919435,238.811438,2:00,6.34066,1.45894,6.65838,-30.04521,10.19268,14.45202,-0.82219,-0.61516,75.72128,-10.67767,-0.945142,0.456551,,,,,,,,,,,,-8.92552,7.38095,-1.22417,50,5.98628,7.02116,-119.94523,-11.46093,-12.81979,26.24782,-21.57271,HOU_COU,GRA_TIG,UofHouston,D1,BIG12,20250307-UofHouston-1,7cef61d0-fbb5-11ef-82f2-775c4cc052c0,82.55914,,,7.24498,,,,,,,62b7dd27-172b-4b3c-afa0-5aa99337ffba,2025-03-08,00:37:17.03,2025-03-07T18:37:17.0347520-06:00,2025-03-08T00:37:17.0347520Z,,v3,3030,471308,,"Cox, Tyler",1000029024,Right,HOU_COU,2684cf6f-9044-44fe-bbed-a91ce49d194c,53.8447,-120.78364,13.12391,6.34136,-10.77185,-10.78636,-1.45498,7.43065,-6.4099,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2025-03-07,18:37:36.67,1,5,"Schmitz, Paul",812367,Right,HOU_COU,"Thomas, Martavius",1000304211,Right,GRA_TIG,Undefined,1,Top,0,2,2,Curveball,Curveball,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,77.92673,0.795837,-1.516526,2394.673157,39.689273,7:15,6.41024,1.42789,6.36137,-49.04215,-3.80004,-4.3239,3.05613,-0.32846,71.6219,-8.285988,-2.30026,0.484109,,,,,,,,,,,,1.82087,-1.79327,-1.31616,50,6.44526,3.14809,-113.29756,0.13901,2.35845,21.38082,-34.49675,HOU_COU,GRA_TIG,UofHouston,D1,BIG12,20250307-UofHouston-1,88bbb4f0-fbb5-11ef-82f2-775c4cc052c0,77.85947,,,6.30482,,,,,,,62b7dd27-172b-4b3c-afa0-5aa99337ffba,2025-03-08,00:37:36.67,2025-03-07T18:37:36.6778880-06:00,2025-03-08T00:37:36.6778880Z,,v3,3030,471308,,"Cox, Tyler",1000029024,Right,HOU_COU,36175630-6118-4384-b229-416a10ee8839,54.14128,-114.07639,10.69041,6.41731,1.39563,-17.24838,-1.42927,3.06219,1.17922,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2025-03-07,18:37:57.20,1,6,"Schmitz, Paul",812367,Right,HOU_COU,"Thomas, Martavius",1000304211,Right,GRA_TIG,Undefined,1,Top,0,2,2,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,93.52497,-2.230035,-1.762394,2455.930462,199.074417,12:45,6.25534,1.50982,6.97581,-11.08796,19.95308,6.51646,3.30093,0.44927,84.42318,-4.449,-0.569316,0.400995,76.342,30.376775,-147.885106,1788.997499,-95.39636,39.21402,-54.768,241.85374,79.15198,-152.611374,2.914012,-4.03622,11.67556,-1.4029,50,6.11323,3.9288,-135.8165,-5.48406,-7.43029,33.75379,-10.68059,HOU_COU,GRA_TIG,UofHouston,D1,BIG12,20250307-UofHouston-1,94e23600-fbb5-11ef-82f2-775c4cc052c0,93.99717,39.47965,,9.10179,,,,1.00986,3.03207,-0.26425,62b7dd27-172b-4b3c-afa0-5aa99337ffba,2025-03-08,00:37:57.20,2025-03-07T18:37:57.2096512-06:00,2025-03-08T00:37:57.2096512Z,LineDrive,v3,3030,471308,,"Cox, Tyler",1000029024,Right,HOU_COU,0a224d68-66d9-4371-8c97-1919cc7f18fb,53.52349,-136.68937,16.87689,6.25148,-5.20785,-5.3403,-1.50698,4.12095,-3.71514,40.538558,1.00984,-81.81515,4.57925,-1.00848,0.17173,-0.01747,-0.00268,0.00133,-0.00013,3.03198,56.624,-25.16651,3.14496,-0.74358,0.17501,-0.03589,0.00406,-0.00011,-0.26433,-51.34931,7.88251,-1.73448,0.26215,-0.00336,-0.01405,0.0037,-0.0003,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Low,,,
7,2025-03-07,18:38:15.29,1,7,"Schmitz, Paul",812367,Right,HOU_COU,"Thomas, Martavius",1000304211,Right,GRA_TIG,Undefined,1,Top,0,2,2,Cutter,Slider,InPlay,Undefined,Popup,Out,1,0,,84.40219,-1.206648,-2.008658,2275.541141,185.626653,12:15,6.25206,1.54876,6.68493,-28.62781,9.62178,0.82378,2.76187,-0.22061,77.04928,-6.612558,-1.858593,0.445128,59.96713,34.638517,14.092197,3183.163292,107.82962,44.50539,21.74313,192.39764,187.22727,9.584582,3.585083,-1.03752,5.80642,-1.41496,50,6.16003,4.27267,-122.6472,-3.36627,-1.56915,25.86032,-23.39235,HOU_COU,GRA_TIG,UofHouston,D1,BIG12,20250307-UofHouston-1,9fb44aa0-fbb5-11ef-82f2-775c4cc052c0,84.67779,44.62505,,7.35291,,,,2.27236,2.9101,0.20843,62b7dd27-172b-4b3c-afa0-5aa99337ffba,2025-03-08,00:38:15.29,2025-03-07T18:38:15.2969728-06:00,2025-03-08T00:38:15.2969728Z,LineDrive,v3,3030,471308,,"Cox, Tyler",1000029024,Right,HOU_COU,a8469f6b-b90b-4682-852b-b3e148189721,53.81612,-123.44921,12.93016,6.25318,-2.6408,-11.69617,-1.54823,4.32134,-0.78457,163.143179,2.27284,70.17079,-9.33257,1.96116,-0.25155,-0.0038,0.00414,0.00064,-0.00016,2.90991,49.99513,-15.96459,0.6912,-0.02408,-0.07084,0.0415,-0.00945,0.00076,0.20868,17.61189,-4.39493,0.85772,-0.09382,-0.00535,0.00084,0.00077,-0.00012,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
8,2025-03-07,18:38:45.41,2,1,"Schmitz, Paul",812367,Right,HOU_COU,"Bridges, Trey",830911,Left,GRA_TIG,Undefined,1,Top,1,0,0,Cutter,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,87.22214,-2.613995,-1.925917,2263.178013,198.518611,12:30,6.23122,1.7149,6.60039,-19.78103,16.21458,5.02508,2.18497,0.36856,79.48727,-6.394539,-1.012101,0.431813,,,,,,,,,,,,-3.20398,9.66146,-1.58532,50,6.0442,4.06652,-126.59419,-6.29084,-5.16676,27.36111,-16.59398,HOU_COU,GRA_TIG,UofHouston,D1,BIG12,20250307-UofHouston-1,b1a30d00-fbb5-11ef-82f2-775c4cc052c0,87.28872,,,7.73488,,,,,,,62b7dd27-172b-4b3c-afa0-5aa99337ffba,2025-03-08,00:38:45.41,2025-03-07T18:38:45.4133248-06:00,2025-03-08T00:38:45.4133248Z,,v3,3030,471308,,"Cox, Tyler",1000029024,Right,HOU_COU,e37fcbb5-e3a1-4776-bd3d-6c4d9908c0be,53.89869,-127.43404,13.68056,6.22948,-5.78149,-8.29699,-1.71257,4.22512,-2.58338,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2025-03-07,18:38:57.13,2,2,"Schmitz, Paul",812367,Right,HOU_COU,"Bridges, Trey",830911,Left,GRA_TIG,Undefined,1,Top,1,0,1,Curveball,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,76.19131,0.692985,0.440074,2335.704512,50.087754,7:45,6.44908,1.35307,6.24266,-51.55574,-3.99044,-6.57052,2.79203,1.21146,70.00971,-8.833802,-0.749608,0.496383,,,,,,,,,,,,3.52666,-1.77685,-1.38279,50,6.47579,-0.62264,-110.77595,-0.17758,4.36268,20.61231,-34.37214,HOU_COU,GRA_TIG,UofHouston,D1,BIG12,20250307-UofHouston-1,b8b09f90-fbb5-11ef-82f2-775c4cc052c0,75.93425,,,6.1816,,,,,,,62b7dd27-172b-4b3c-afa0-5aa99337ffba,2025-03-08,00:38:57.13,2025-03-07T18:38:57.1301888-06:00,2025-03-08T00:38:57.1301888Z,,v3,3030,471308,,"Cox, Tyler",1000029024,Right,HOU_COU,1fb32738-b46c-418f-aa27-3e7a86b869a2,54.25944,-111.56571,10.30616,6.45737,1.13936,-17.18607,-1.35573,-0.78979,2.18134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2025-03-07,18:39:10.33,2,3,"Schmitz, Paul",812367,Right,HOU_COU,"Bridges, Trey",830911,Left,GRA_TIG,Undefined,1,Top,1,1,1,Cutter,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,85.82451,-2.09995,-3.266859,2291.655045,190.49497,12:15,6.27547,1.40252,6.61593,-25.19616,12.00394,1.99445,2.24849,-1.42657,78.3333,-6.861148,-2.904692,0.438979,,,,,,,,,,,,-2.01169,7.31744,-1.18104,50,6.12207,7.03127,-124.48369,-5.26277,-3.13746,26.40603,-20.76158,HOU_COU,GRA_TIG,UofHouston,D1,BIG12,20250307-UofHouston-1,c09f1c40-fbb5-11ef-82f2-775c4cc052c0,85.86394,,,7.49122,,,,,,,62b7dd27-172b-4b3c-afa0-5aa99337ffba,2025-03-08,00:39:10.33,2025-03-07T18:39:10.3306240-06:00,2025-03-08T00:39:10.3306240Z,,v3,3030,471308,,"Cox, Tyler",1000029024,Right,HOU_COU,999150d8-335d-4be4-9b6c-9d52e9d4bfe0,53.88308,-125.30468,13.20302,6.27567,-4.61727,-10.38079,-1.40116,7.12882,-1.56873,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
