PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-03-07,16:03:41.68,1,1,"Renfrow, Brett",814530,Right,VIR_TEC,"Lodise, Kyle",827517,Right,GIT_YEL,Undefined,1,Top,0,0,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,92.17526,-3.281292,-2.172122,2080.760714,206.558366,1:00,6.16077,1.36085,6.97655,-17.3671,13.76757,6.46252,1.72357,-0.07723,85.76994,-6.579295,-0.988489,0.4016,,,,,,,,,,,,-3.96213,8.39851,-1.2288,50,5.95188,4.85095,-134.03711,-8.13832,-7.32423,24.59453,-16.64886,VIR_TEC,GIT_YEL,VATech,D1,ACC,20250307-VATech-1,a8c263c0-fb97-11ef-8dde-f5c69ddae81e,93.85576,,,6.40532,,,,,,,28138fd5-91d1-44ca-b598-e30fe6f8c4c8,2025-03-07,21:03:41.68,2025-03-07T16:03:41.6816128-05:00,2025-03-07T21:03:41.6816128Z,,v3,2293,100,,"Cooke, Henry",805714,Right,VIR_TEC,6d3770f3-c2d1-46dc-b651-b5734fdb53dc,53.52471,-134.68231,12.29726,6.15965,-7.70156,-8.32443,-1.35858,5.04308,-3.66212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2025-03-07,16:03:57.07,1,2,"Renfrow, Brett",814530,Right,VIR_TEC,"Lodise, Kyle",827517,Right,GIT_YEL,Undefined,1,Top,0,0,1,Curveball,Curveball,InPlay,Undefined,GroundBall,Out,1,0,,78.82851,-0.408359,-0.349318,2293.632786,52.893748,7:45,6.1566,1.26998,6.02795,-51.44156,-6.76811,-10.74438,1.4916,0.0511,72.85381,-9.826473,-2.289119,0.481057,,,,,,,,,,,,5.4963,-3.07079,-1.23665,50,6.09634,1.07836,-114.65216,-2.42238,7.2987,21.66652,-36.25184,VIR_TEC,GIT_YEL,VATech,D1,ACC,20250307-VATech-1,b1fa2950-fb97-11ef-8dde-f5c69ddae81e,78.35345,,,5.9747,,,,,,,28138fd5-91d1-44ca-b598-e30fe6f8c4c8,2025-03-07,21:03:57.07,2025-03-07T16:03:57.0786304-05:00,2025-03-07T21:03:57.0786304Z,,v3,2293,100,,"Cooke, Henry",805714,Right,VIR_TEC,8e37728e-f339-437c-a0ee-bea49c788ff3,54.4753,-115.49479,10.83326,6.16313,-1.01252,-18.12592,-1.27307,0.7945,3.64935,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2025-03-07,16:04:42.84,2,1,"Renfrow, Brett",814530,Right,VIR_TEC,"Burress, Drew",806039,Right,GIT_YEL,Undefined,1,Top,1,0,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,93.28229,-3.30971,-2.390127,2123.695087,199.711006,12:45,6.10402,1.24798,6.85748,-15.47284,15.2491,5.1465,1.79136,-0.50335,86.26939,-6.265992,-1.450208,0.398929,,,,,,,,,,,,-3.33236,9.21658,-1.09725,50,5.8867,5.46335,-135.53221,-8.23872,-6.26166,26.78876,-14.85574,VIR_TEC,GIT_YEL,VATech,D1,ACC,20250307-VATech-1,cd3794a0-fb97-11ef-8dde-f5c69ddae81e,94.48406,,,7.01291,,,,,,,28138fd5-91d1-44ca-b598-e30fe6f8c4c8,2025-03-07,21:04:42.84,2025-03-07T16:04:42.8467712-05:00,2025-03-07T21:04:42.8467712Z,,v3,2293,100,,"Cooke, Henry",805714,Right,VIR_TEC,170d6c76-ee01-4985-ba96-c62859463556,53.64301,-136.25037,13.39438,6.10223,-7.84047,-7.42787,-1.24597,5.63122,-3.13083,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2025-03-07,16:05:00.78,2,2,"Renfrow, Brett",814530,Right,VIR_TEC,"Burress, Drew",806039,Right,GIT_YEL,Undefined,1,Top,1,0,1,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,93.95174,-2.97235,-2.054362,2240.449455,199.119103,12:45,6.19098,1.33933,7.11956,-13.79639,16.12749,5.29567,2.34101,-0.0836,86.89739,-5.63675,-1.082105,0.393713,82.34145,57.439893,84.832608,5244.128455,,,,,38.91165,,,-3.36941,9.69004,-1.21923,50,6.01012,4.71337,-136.653,-7.41699,-6.43748,27.18711,-13.66066,VIR_TEC,GIT_YEL,VATech,D1,ACC,20250307-VATech-1,d7e6df00-fb97-11ef-8dde-f5c69ddae81e,95.73571,50.19466,,7.05434,,,,1.26618,2.11093,-0.00881,28138fd5-91d1-44ca-b598-e30fe6f8c4c8,2025-03-07,21:05:00.78,2025-03-07T16:05:00.7875072-05:00,2025-03-07T21:05:00.7875072Z,,v3,2293,100,,"Cooke, Henry",805714,Right,VIR_TEC,d5b24092-6f0b-43b2-bf17-5d3ae18da333,53.38183,-137.32417,13.59356,6.18907,-7.07975,-6.83033,-1.33755,4.87229,-3.21874,216.542708,1.26618,5.85383,-10.76111,3.18531,-0.82411,0.19849,-0.04765,0.01037,-0.00151,2.11093,101.78595,-38.53595,6.58682,-1.44078,0.28428,-0.0576,0.01261,-0.0024,-0.00881,64.73087,3.04181,-3.74024,1.45142,-0.46672,0.13369,-0.03244,0.00449,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Medium,Undefined,,,
5,2025-03-07,16:05:24.30,2,3,"Renfrow, Brett",814530,Right,VIR_TEC,"Burress, Drew",806039,Right,GIT_YEL,Undefined,1,Top,1,0,2,ChangeUp,Changeup,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,,84.25541,-0.058795,-2.739529,1403.888089,243.704597,2:00,6.11619,1.19839,6.50508,-30.29482,7.85878,13.66757,3.5376,-0.17888,77.71918,-5.733863,-0.259857,0.444569,,,,,,,,,,,,-7.84689,4.48929,-1.0123,50,6.09887,5.36261,-122.51442,-1.006,-12.02133,22.40146,-25.29648,VIR_TEC,GIT_YEL,VATech,D1,ACC,20250307-VATech-1,e5f496a0-fb97-11ef-8dde-f5c69ddae81e,84.78421,,,6.53623,,,,,,,28138fd5-91d1-44ca-b598-e30fe6f8c4c8,2025-03-07,21:05:24.30,2025-03-07T16:05:24.3020000-05:00,2025-03-07T21:05:24.3020000Z,,v3,2293,100,,"Cooke, Henry",805714,Right,VIR_TEC,d8c37323-1dd9-42d0-952c-d321eab9a42a,53.99544,-123.24281,11.20073,6.11821,-0.18348,-12.64824,-1.19302,5.75348,-6.01067,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.90197,2.493127,1.48905,1.004077,-1.34135,3.2527,0.18825,-2.40725,4.34482,0.65853,71.36228,10.27408,-53.4392,-2.33988,78.80046,-5.35,4.39277,19.83649,-13.9023,0.56031,-60.28958,6.44585,High,High,High,,,High,High,High
6,2025-03-07,16:05:57.30,3,1,"Renfrow, Brett",814530,Right,VIR_TEC,"Schmidt, Kent",10108897,Left,GIT_YEL,Undefined,1,Top,2,0,0,ChangeUp,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,83.58486,0.267076,-2.19395,1621.250024,237.947008,2:00,6.12414,1.2246,6.2122,-29.81569,9.53961,13.33064,3.88616,0.3097,76.72543,-5.310625,0.212133,0.451516,,,,,,,,,,,,-7.46036,5.25059,-1.06631,50,6.12928,4.14235,-121.46937,-0.33021,-11.18718,22.97787,-24.30052,VIR_TEC,GIT_YEL,VATech,D1,ACC,20250307-VATech-1,f9a81370-fb97-11ef-8dde-f5c69ddae81e,83.47975,,,6.85943,,,,,,,28138fd5-91d1-44ca-b598-e30fe6f8c4c8,2025-03-07,21:05:57.30,2025-03-07T16:05:57.3097472-05:00,2025-03-07T21:05:57.3097472Z,,v3,2293,100,,"Cooke, Henry",805714,Right,VIR_TEC,ef592020-c68f-4277-bf61-2e1d1576c8fd,54.28699,-122.27763,11.48893,6.12586,0.52457,-12.15026,-1.21894,4.53587,-5.59359,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2025-03-07,16:06:13.24,3,2,"Renfrow, Brett",814530,Right,VIR_TEC,"Schmidt, Kent",10108897,Left,GIT_YEL,Undefined,1,Top,2,1,0,Slider,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,84.12632,-1.881031,-1.173553,2128.651304,73.646158,8:30,6.14229,1.62568,6.14855,-39.78668,-1.05374,-7.25307,1.08766,-0.06328,78.34001,-9.170673,-2.48477,0.447931,,,,,,,,,,,,3.4726,0.25571,-1.5327,50,5.97857,2.77754,-122.35566,-5.30998,5.30988,22.18655,-31.78303,VIR_TEC,GIT_YEL,VATech,D1,ACC,20250307-VATech-1,031f2bf0-fb98-11ef-8dde-f5c69ddae81e,84.14778,,,5.78631,,,,,,,28138fd5-91d1-44ca-b598-e30fe6f8c4c8,2025-03-07,21:06:13.24,2025-03-07T16:06:13.2426752-05:00,2025-03-07T21:06:13.2426752Z,,v3,2293,100,,"Cooke, Henry",805714,Right,VIR_TEC,2a05e615-2727-4872-9046-47368a032255,54.35347,-123.14254,11.09327,6.14691,-4.18275,-15.89152,-1.62787,2.58922,2.65494,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2025-03-07,16:06:34.74,3,3,"Renfrow, Brett",814530,Right,VIR_TEC,"Schmidt, Kent",10108897,Left,GIT_YEL,Undefined,1,Top,2,2,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,92.78391,-2.81492,-0.240265,2238.096421,194.181554,12:30,6.13474,1.30861,6.91415,-13.04087,18.1969,4.34591,2.4825,1.45197,84.85825,-5.359426,0.555154,0.402264,,,,,,,,,,,,-2.36539,10.76008,-1.29471,50,5.95272,0.39757,-134.84796,-6.90621,-4.35087,29.60849,-12.38205,VIR_TEC,GIT_YEL,VATech,D1,ACC,20250307-VATech-1,0fee4910-fb98-11ef-8dde-f5c69ddae81e,93.70064,,,7.92566,,,,,,,28138fd5-91d1-44ca-b598-e30fe6f8c4c8,2025-03-07,21:06:34.74,2025-03-07T16:06:34.7494912-05:00,2025-03-07T21:06:34.7494912Z,,v3,2293,100,,"Cooke, Henry",805714,Right,VIR_TEC,ee6647db-fdb0-4f39-9e06-c220c79bce0e,53.58388,-135.63259,14.80424,6.13139,-6.57809,-6.19103,-1.30677,0.51287,-2.17543,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2025-03-07,16:06:51.78,3,4,"Renfrow, Brett",814530,Right,VIR_TEC,"Schmidt, Kent",10108897,Left,GIT_YEL,Undefined,1,Top,2,3,0,Fastball,Four-Seam,BallCalled,Walk,Undefined,Undefined,0,0,,94.19854,-3.905459,-2.453739,2138.131269,205.553422,12:45,6.04079,1.17565,6.64669,-12.53284,18.22036,8.23091,1.41282,-0.38577,86.09821,-6.338679,-0.956826,0.399132,,,,,,,,,,,,-5.01898,11.00103,-1.01316,50,5.77143,5.52162,-136.58789,-9.62416,-9.46827,30.47884,-11.42073,VIR_TEC,GIT_YEL,VATech,D1,ACC,20250307-VATech-1,1a0d3a50-fb98-11ef-8dde-f5c69ddae81e,94.436,,,8.10033,,,,,,,28138fd5-91d1-44ca-b598-e30fe6f8c4c8,2025-03-07,21:06:51.78,2025-03-07T16:06:51.7800960-05:00,2025-03-07T21:06:51.7800960Z,,v3,2293,100,,"Cooke, Henry",805714,Right,VIR_TEC,1c973962-f417-43c4-b7dd-7dee08435697,53.85229,-137.44482,15.23942,6.03751,-9.30306,-5.71037,-1.17215,5.78783,-4.73413,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2025-03-07,16:07:26.65,4,1,"Renfrow, Brett",814530,Right,VIR_TEC,"Hernandez, Alex",1000247594,Right,GIT_YEL,Undefined,1,Top,2,0,0,Slider,Slider,StrikeCalled,Undefined,Undefined,Undefined,0,0,,84.67211,-0.910204,-2.07604,2214.116627,83.917345,8:45,6.17118,1.55376,6.0333,-38.04234,0.76721,-4.15929,2.15749,-0.71615,77.81552,-7.918313,-2.824955,0.448374,,,,,,,,,,,,1.55016,1.04004,-1.38939,50,6.07964,4.62136,-122.97154,-3.21759,2.36929,24.80805,-30.58443,VIR_TEC,GIT_YEL,VATech,D1,ACC,20250307-VATech-1,2ee22cb0-fb98-11ef-8dde-f5c69ddae81e,84.06469,,,6.8566,,,,,,,28138fd5-91d1-44ca-b598-e30fe6f8c4c8,2025-03-07,21:07:26.65,2025-03-07T16:07:26.6541056-05:00,2025-03-07T21:07:26.6541056Z,,v3,2293,100,,"Cooke, Henry",805714,Right,VIR_TEC,9be091d2-14b6-4d97-892a-e0ad8cae8d60,54.46622,-123.86927,12.40403,6.17605,-2.11083,-15.29222,-1.55507,4.53562,1.18465,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
