PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-03-07,15:03:47.47,1,1,"Chabot, Henry",1000230538,Right,CHA_UNI,"Schoenfeld, Teddy",1000123775,Right,MAS_INS,Undefined,1,Top,0,0,0,Curveball,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,79.80967,-0.909373,-1.382703,2384.838084,28.041902,7:00,6.14282,1.30037,5.53599,-46.3905,-2.38894,-1.92366,1.42665,-0.15259,74.34617,-9.319109,-1.726487,0.477425,,,,,,,,,,,,0.63197,-0.63098,-1.17906,50,6.03265,2.87449,-116.02651,-3.41976,0.86981,19.74616,-33.04252,CHA_UNI,MAS_INS,WOHartPark,D3,Team,20250307-WOHartPark-1,6d7a8c00-fba8-11ef-882c-c16b6b2262d4,78.94943,,,5.4635,,,,,,,27c52fbf-f07d-4250-bf0b-0fef72aa6737,2025-03-07,23:03:47.47,2025-03-07T15:03:47.4793472-08:00,2025-03-07T23:03:47.4793472Z,,v3,,,,"Beckley, Brennan",1000118419,Right,CHA_UNI,2c913829-7e77-4e0d-9805-4e6573d48739,54.96567,-116.86854,9.87308,6.14844,-2.01073,-16.52126,-1.30085,2.8374,0.4349,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2025-03-07,15:04:01.71,1,2,"Chabot, Henry",1000230538,Right,CHA_UNI,"Schoenfeld, Teddy",1000123775,Right,MAS_INS,Undefined,1,Top,0,1,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,90.73604,-2.269499,-3.151281,2479.491085,218.310753,1:15,6.07262,1.45065,5.86674,-19.40355,14.25875,10.50867,2.34317,-0.60388,83.94824,-5.891695,-1.26913,0.417583,,,,,,,,,,,,-6.13768,8.15048,-1.20131,50,5.87706,6.80353,-131.70529,-5.85719,-10.91976,24.59406,-17.67327,CHA_UNI,MAS_INS,WOHartPark,D3,Team,20250307-WOHartPark-1,75edc910-fba8-11ef-882c-c16b6b2262d4,90.26327,,,6.78779,,,,,,,27c52fbf-f07d-4250-bf0b-0fef72aa6737,2025-03-07,23:04:01.71,2025-03-07T15:04:01.7111552-08:00,2025-03-07T23:04:01.7111552Z,,v3,,,,"Beckley, Brennan",1000118419,Right,CHA_UNI,d666329d-ae42-442c-8601-3ce98bdb7cae,54.63309,-132.56763,12.29703,6.07157,-5.23751,-8.83664,-1.44657,7.18641,-5.45988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2025-03-07,15:04:16.53,1,3,"Chabot, Henry",1000230538,Right,CHA_UNI,"Schoenfeld, Teddy",1000123775,Right,MAS_INS,Undefined,1,Top,0,1,1,Slider,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,81.17475,1.251105,-0.481859,2287.569807,120.084437,10:00,6.01075,1.61232,5.42518,-38.59132,4.23319,-5.1691,3.96686,0.73023,74.82637,-5.81305,-1.401741,0.470996,,,,,,,,,,,,2.4676,2.21634,-1.56594,50,6.09498,1.20336,-117.92458,1.2413,3.50169,20.79547,-29.0289,CHA_UNI,MAS_INS,WOHartPark,D3,Team,20250307-WOHartPark-1,7eab7ca0-fba8-11ef-882c-c16b6b2262d4,80.02703,,,6.34838,,,,,,,27c52fbf-f07d-4250-bf0b-0fef72aa6737,2025-03-07,23:04:16.53,2025-03-07T15:04:16.5306880-08:00,2025-03-07T23:04:16.5306880Z,,v3,,,,"Beckley, Brennan",1000118419,Right,CHA_UNI,a67fb182-4ca9-474a-98f6-2cd0b631a11d,55.07359,-118.81591,10.39773,6.01511,2.48553,-14.51445,-1.6143,1.05327,1.75085,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2025-03-07,15:04:31.86,1,4,"Chabot, Henry",1000230538,Right,CHA_UNI,"Schoenfeld, Teddy",1000123775,Right,MAS_INS,Undefined,1,Top,0,2,1,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,91.89163,-1.708409,-0.978766,2553.243492,219.051506,1:15,6.06153,1.4679,6.1074,-16.76588,16.13737,12.22024,3.08387,1.58108,83.77038,-4.903656,1.223864,0.412849,,,,,,,,,,,,-6.52052,9.1167,-1.39861,50,5.92131,1.74574,-133.42963,-4.46481,-11.7205,29.49797,-15.78697,CHA_UNI,MAS_INS,WOHartPark,D3,Team,20250307-WOHartPark-1,87c77cd0-fba8-11ef-882c-c16b6b2262d4,91.29846,,,8.12125,,,,,,,27c52fbf-f07d-4250-bf0b-0fef72aa6737,2025-03-07,23:04:31.86,2025-03-07T15:04:31.8647808-08:00,2025-03-07T23:04:31.8647808Z,,v3,,,,"Beckley, Brennan",1000118419,Right,CHA_UNI,10def54f-43db-4a6c-bf2e-532cff8966e6,54.38914,-134.39645,14.74898,6.05917,-3.94737,-7.89348,-1.46212,2.1299,-5.86025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2025-03-07,15:04:48.10,1,5,"Chabot, Henry",1000230538,Right,CHA_UNI,"Schoenfeld, Teddy",1000123775,Right,MAS_INS,Undefined,1,Top,0,3,1,Fastball,Sinker,BallCalled,Walk,Undefined,Undefined,0,0,,90.79021,-1.275798,-0.674337,2464.192275,228.352406,1:30,6.0143,1.49493,5.84769,-19.30804,14.87292,15.42166,3.21949,2.15341,82.43057,-4.92614,2.092082,0.420788,,,,,,,,,,,,-8.00189,8.31075,-1.44873,50,5.89928,0.8613,-131.75766,-3.53975,-13.95886,29.9937,-17.6764,CHA_UNI,MAS_INS,WOHartPark,D3,Team,20250307-WOHartPark-1,917cafc0-fba8-11ef-882c-c16b6b2262d4,89.5758,,,8.35964,,,,,,,27c52fbf-f07d-4250-bf0b-0fef72aa6737,2025-03-07,23:04:48.10,2025-03-07T15:04:48.1010176-08:00,2025-03-07T23:04:48.1010176Z,,v3,,,,"Beckley, Brennan",1000118419,Right,CHA_UNI,f9ca01b1-ee95-4a30-be27-00946a4cdd70,54.64852,-132.81164,14.99685,6.01276,-2.91859,-8.8382,-1.48761,1.35181,-6.97943,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2025-03-07,15:05:23.47,2,1,"Chabot, Henry",1000230538,Right,CHA_UNI,"Godfrey, Tyler",1000292150,Right,MAS_INS,Undefined,1,Top,0,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,89.21942,-0.135596,-2.124542,2280.86373,222.611653,1:30,6.11377,1.35097,5.79499,-22.19442,13.11902,11.0169,4.13802,0.29195,81.2688,-4.303362,-0.152146,0.427702,,,,,,,,,,,,-6.19701,7.06863,-1.18272,50,6.0894,4.32516,-129.48918,-1.02906,-10.49656,27.64385,-20.20115,CHA_UNI,MAS_INS,WOHartPark,D3,Team,20250307-WOHartPark-1,a68de7d0-fba8-11ef-882c-c16b6b2262d4,88.12773,,,7.95061,,,,,,,27c52fbf-f07d-4250-bf0b-0fef72aa6737,2025-03-07,23:05:23.47,2025-03-07T15:05:23.4755584-08:00,2025-03-07T23:05:23.4755584Z,,v3,,,,"Beckley, Brennan",1000118419,Right,CHA_UNI,152f37b8-7124-43a0-b607-c3403646ed79,54.70234,-130.48919,13.82192,6.11341,-0.29829,-10.10057,-1.34605,4.70488,-5.24828,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2025-03-07,15:06:11.19,2,2,"Chabot, Henry",1000230538,Right,CHA_UNI,"Godfrey, Tyler",1000292150,Right,MAS_INS,Undefined,1,Top,0,1,0,Slider,Slider,StrikeCalled,Undefined,Undefined,Undefined,0,0,,80.88829,0.300812,-2.287786,2222.106281,126.20674,10:15,6.01708,1.67415,5.40156,-38.46912,4.93544,-4.94874,3.09342,-0.88313,74.42033,-6.732475,-3.167079,0.474175,,,,,,,,,,,,1.86996,2.80941,-1.46663,50,6.017,4.89053,-117.38941,-0.70331,2.617,21.61081,-28.2423,CHA_UNI,MAS_INS,WOHartPark,D3,Team,20250307-WOHartPark-1,c30b7440-fba8-11ef-882c-c16b6b2262d4,79.49049,,,6.46796,,,,,,,27c52fbf-f07d-4250-bf0b-0fef72aa6737,2025-03-07,23:06:11.19,2025-03-07T15:06:11.1961088-08:00,2025-03-07T23:06:11.1961088Z,,v3,,,,"Beckley, Brennan",1000118419,Right,CHA_UNI,9e1e592c-7e86-4493-a04a-3ad1f52e1fa9,55.09708,-118.32404,10.80541,6.021,0.51812,-14.12115,-1.67569,4.77736,1.3085,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2025-03-07,15:06:26.82,2,3,"Chabot, Henry",1000230538,Right,CHA_UNI,"Godfrey, Tyler",1000292150,Right,MAS_INS,Undefined,1,Top,0,1,1,Slider,Slider,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,80.58746,-0.405629,-2.713969,2338.038348,152.15143,11:00,5.84962,1.8836,5.91226,-32.4912,10.45662,-4.83071,2.76512,-1.03975,74.09545,-6.430477,-3.579747,0.471674,,,,,,,,,,,,1.73248,5.88264,-1.66309,50,5.79857,5.72876,-116.97572,-1.82081,2.40535,21.64722,-24.00672,CHA_UNI,MAS_INS,WOHartPark,D3,Team,20250307-WOHartPark-1,cc78efd0-fba8-11ef-882c-c16b6b2262d4,79.91204,,,6.49201,,,,,,,27c52fbf-f07d-4250-bf0b-0fef72aa6737,2025-03-07,23:06:26.82,2025-03-07T15:06:26.8255232-08:00,2025-03-07T23:06:26.8255232Z,,v3,,,,"Beckley, Brennan",1000118419,Right,CHA_UNI,1af9e863-18e6-476c-a007-8728b8c9677d,54.58556,-117.82125,10.82361,5.85137,-0.88311,-12.00336,-1.88502,5.63481,1.20267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2025-03-07,15:06:59.97,2,4,"Chabot, Henry",1000230538,Right,CHA_UNI,"Godfrey, Tyler",1000292150,Right,MAS_INS,Undefined,1,Top,0,1,2,Slider,Slider,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,,81.58403,-1.200983,-3.26983,2367.882308,178.287396,12:00,5.87108,1.71068,5.76623,-30.42368,12.13985,-0.32008,2.21606,-1.36245,74.36939,-6.853386,-3.327014,0.469559,,,,,,,,,,,,-0.81299,6.97481,-1.43966,50,5.75327,6.7658,-118.20499,-3.42626,-1.14224,24.00324,-22.37472,CHA_UNI,MAS_INS,WOHartPark,D3,Team,20250307-WOHartPark-1,e03a9d70-fba8-11ef-882c-c16b6b2262d4,80.27198,,,7.21464,,,,,,,27c52fbf-f07d-4250-bf0b-0fef72aa6737,2025-03-07,23:06:59.97,2025-03-07T15:06:59.9766016-08:00,2025-03-07T23:06:59.9766016Z,,v3,,,,"Beckley, Brennan",1000118419,Right,CHA_UNI,a44f9845-e658-410d-bbf4-b8a9a6ce93dc,54.73058,-119.16173,12.00162,5.87206,-2.53443,-11.18736,-1.71024,6.81133,-0.57112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2025-03-07,15:07:33.11,3,1,"Chabot, Henry",1000230538,Right,CHA_UNI,"McCarthy, CJ",1000231599,Left,MAS_INS,Undefined,1,Top,1,0,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,89.98984,-2.863549,-3.599861,2437.697873,222.105925,1:30,6.05878,1.63693,6.00418,-18.55029,15.94615,13.40146,1.85233,-0.58602,82.32511,-6.366349,-1.194615,0.422725,,,,,,,,,,,,-7.89304,9.33323,-1.361,50,5.82293,7.64285,-130.38525,-7.09388,-13.59233,27.32275,-16.10156,CHA_UNI,MAS_INS,WOHartPark,D3,Team,20250307-WOHartPark-1,f3f14e90-fba8-11ef-882c-c16b6b2262d4,89.16529,,,7.66473,,,,,,,27c52fbf-f07d-4250-bf0b-0fef72aa6737,2025-03-07,23:07:33.11,2025-03-07T15:07:33.1110000-08:00,2025-03-07T23:07:33.1110000Z,,v3,,,,"Beckley, Brennan",1000118419,Right,CHA_UNI,fc9ad001-cb18-4497-9153-c8ec0ddf5752,54.49482,-131.32378,13.66138,6.0571,-6.5408,-8.05078,-1.63155,8.10975,-6.79616,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.5787,2.154633,0.861542,1.293091,-0.1699,1.67357,0.61811,-0.62111,6.03937,0.24479,127.27893,-0.41231,-3.06826,-0.4685,111.77336,-10.17741,6.03505,8.3438,-10.3097,0.27969,-0.34627,-1.76527,High,High,High,,,High,High,High
