PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-03-07,14:00:00.94,1,1,"Shirah, Andrew",1000231203,Right,WIL_CAR,"Buckley, Michael",809361,Right,POI_UNI,Undefined,1,Top,0,0,0,Fastball,Sinker,InPlay,Undefined,GroundBall,Out,1,0,,90.79045,0.180399,-3.075741,1833.225267,246.636403,2:15,5.54569,2.74557,5.92788,-27.17423,6.59772,12.89292,3.44881,0.96314,83.21205,-4.867041,-0.763774,0.418263,53.2116,16.996326,-27.716095,1729.819128,,,,120.57944,119.45193,-29.804164,1.82045,-7.48666,3.62843,-2.50684,50,5.54457,6.54457,-131.83048,-0.52468,-13.21608,27.21195,-25.76882,WIL_CAR,POI_UNI,WilliamCarey,NAIA,NAIA,20250307-WilliamCarey-1,c00efbf0-fb8e-11ef-8a03-cf9c41edeab4,90.11657,12.73742,,7.5784,,,,1.02255,3.41943,-0.95337,706a8acc-abad-4467-b96a-cf8834ff98d4,2025-03-07,20:00:00.94,2025-03-07T14:00:00.9498624-06:00,2025-03-07T20:00:00.9498624Z,GroundBall,v3,,,,"Mark, Jayden",10302412,Right,WIL_CAR,a6492674-8896-4ecd-81e4-7d80fffa21c9,54.57757,-132.77201,13.60597,5.5473,0.36691,-12.88441,-2.74119,7.00184,-6.60804,155.680339,1.02253,66.07343,-6.80306,1.40563,-0.47328,0.30907,-0.17668,0.05433,-0.00631,3.41945,22.81135,-14.28986,0.36357,0.13762,-0.18941,0.11872,-0.03302,0.00298,-0.95336,-34.71255,1.70623,-0.34304,0.11991,-0.0853,0.05014,-0.01542,0.00177,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
2,2025-03-07,14:00:37.79,2,1,"Shirah, Andrew",1000231203,Right,WIL_CAR,"Jackson, Rafael",1000076384,Left,POI_UNI,Undefined,1,Top,1,0,0,Fastball,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,,92.61191,-1.29669,-3.864445,1826.951657,245.96015,2:15,5.65363,2.51011,5.60652,-26.19033,6.90426,13.07312,2.25761,-0.01359,84.55276,-6.133327,-1.536131,0.414047,,,,,,,,,,,,-7.73355,4.17803,-2.18755,50,5.52541,8.47413,-134.18271,-4.01585,-14.07642,29.48448,-24.56932,WIL_CAR,POI_UNI,WilliamCarey,NAIA,NAIA,20250307-WilliamCarey-1,d603dd40-fb8e-11ef-8a03-cf9c41edeab4,91.03414,,,8.05915,,,,,,,706a8acc-abad-4467-b96a-cf8834ff98d4,2025-03-07,20:00:37.79,2025-03-07T14:00:37.7916928-06:00,2025-03-07T20:00:37.7916928Z,,v3,,,,"Mark, Jayden",10302412,Right,WIL_CAR,12211230-ebc9-4bb0-8958-9253265a06ba,54.89765,-135.25461,14.74224,5.65516,-3.12264,-12.28466,-2.50493,8.98587,-7.03821,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2025-03-07,14:00:50.97,2,2,"Shirah, Andrew",1000231203,Right,WIL_CAR,"Jackson, Rafael",1000076384,Left,POI_UNI,Undefined,1,Top,1,0,1,Fastball,Sinker,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,91.72573,-0.506476,-3.633778,1830.073075,251.269475,2:30,5.60341,2.47351,5.66131,-27.83076,5.61087,13.5432,2.81088,0.20873,84.17243,-5.636744,-1.21848,0.416212,,,,,,,,,,,,-7.91296,3.26429,-2.17456,50,5.54263,7.86309,-133.07423,-2.20112,-14.24512,27.50868,-26.29762,WIL_CAR,POI_UNI,WilliamCarey,NAIA,NAIA,20250307-WilliamCarey-1,dddb9da0-fb8e-11ef-8a03-cf9c41edeab4,90.56057,,,7.5533,,,,,,,706a8acc-abad-4467-b96a-cf8834ff98d4,2025-03-07,20:00:50.97,2025-03-07T14:00:50.9723136-06:00,2025-03-07T20:00:50.9723136Z,,v3,,,,"Mark, Jayden",10302412,Right,WIL_CAR,f152b3ad-6992-443d-9141-037053c639ee,54.8446,-134.07195,13.75434,5.60517,-1.24732,-13.14881,-2.46912,8.37975,-7.12256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2025-03-07,14:01:10.29,2,3,"Shirah, Andrew",1000231203,Right,WIL_CAR,"Jackson, Rafael",1000076384,Left,POI_UNI,Undefined,1,Top,1,0,2,Fastball,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,90.16443,-0.282113,-1.416995,1936.593558,251.858153,2:30,5.58542,2.71734,5.71414,-29.13978,5.79426,14.0015,2.89419,2.56369,81.68706,-5.689827,1.088798,0.425398,,,,,,,,,,,,-7.50508,3.40811,-2.60725,50,5.54399,2.60755,-130.80165,-1.69421,-12.863,30.34955,-26.33286,WIL_CAR,POI_UNI,WilliamCarey,NAIA,NAIA,20250307-WilliamCarey-1,e94a8e80-fb8e-11ef-8a03-cf9c41edeab4,88.60504,,,8.47737,,,,,,,706a8acc-abad-4467-b96a-cf8834ff98d4,2025-03-07,20:01:10.29,2025-03-07T14:01:10.2957056-06:00,2025-03-07T20:01:10.2957056Z,,v3,,,,"Mark, Jayden",10302412,Right,WIL_CAR,7ecc80ab-3a57-4c6e-a0d4-4e076354f4cb,54.78748,-131.9078,15.17477,5.58825,-0.73446,-13.16643,-2.71084,3.07637,-6.4315,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2025-03-07,14:01:24.94,2,4,"Shirah, Andrew",1000231203,Right,WIL_CAR,"Jackson, Rafael",1000076384,Left,POI_UNI,Undefined,1,Top,1,1,2,ChangeUp,Changeup,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,,84.82955,-0.637946,-2.361426,1551.599004,281.599988,3:30,5.52074,2.5679,5.88329,-40.84691,-1.68693,14.6465,1.52383,1.5941,77.35591,-8.153636,0.270414,0.450394,,,,,,,,,,,,-8.28162,-0.33925,-2.38581,50,5.44534,4.49858,-123.12135,-2.76255,-12.58796,26.67533,-32.68972,WIL_CAR,POI_UNI,WilliamCarey,NAIA,NAIA,20250307-WilliamCarey-1,f2287440-fb8e-11ef-8a03-cf9c41edeab4,83.68769,,,7.47364,,,,,,,706a8acc-abad-4467-b96a-cf8834ff98d4,2025-03-07,20:01:24.94,2025-03-07T14:01:24.9430000-06:00,2025-03-07T20:01:24.9430000Z,,v3,,,,"Mark, Jayden",10302412,Right,WIL_CAR,4c3e83b8-d45f-4176-8833-b091483702b4,54.62214,-124.11874,13.33767,5.52578,-1.54029,-16.34486,-2.56281,4.96925,-6.29398,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.2429,2.777593,1.85728,0.920313,3.44909,1.8094,-1.58631,-0.29539,5.52343,-3.218,75.44039,3.75584,-49.35215,-0.25853,87.97804,-6.2305,5.54618,10.3081,-13.32086,-3.27048,-56.58147,7.08796,High,High,High,,,High,High,High
6,2025-03-07,14:01:50.24,3,1,"Shirah, Andrew",1000231203,Right,WIL_CAR,"Gonzalez, Daniel",1000315352,Right,POI_UNI,Undefined,1,Top,2,0,0,Fastball,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,,90.56439,-0.353388,-4.604402,1973.678269,239.703941,2:00,5.60114,2.34966,5.73803,-25.4684,8.9039,13.38595,3.14861,-0.83195,82.78803,-5.079847,-2.219558,0.421964,,,,,,,,,,,,-8.04122,4.95772,-1.97348,50,5.556,9.97414,-131.17434,-1.70562,-14.04075,27.18989,-23.51739,WIL_CAR,POI_UNI,WilliamCarey,NAIA,NAIA,20250307-WilliamCarey-1,011ce260-fb8f-11ef-8a03-cf9c41edeab4,89.32612,,,7.77636,,,,,,,706a8acc-abad-4467-b96a-cf8834ff98d4,2025-03-07,20:01:50.24,2025-03-07T14:01:50.2403072-06:00,2025-03-07T20:01:50.2403072Z,,v3,,,,"Mark, Jayden",10302412,Right,WIL_CAR,808a9994-5319-4ed5-ad37-eac9cef0128b,54.76548,-132.15844,13.59494,5.60233,-0.85445,-11.75869,-2.34368,10.48232,-7.02038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2025-03-07,14:02:04.34,3,2,"Shirah, Andrew",1000231203,Right,WIL_CAR,"Gonzalez, Daniel",1000315352,Right,POI_UNI,Undefined,1,Top,2,0,1,Fastball,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,,92.03336,-1.953453,-4.361635,1962.368548,243.468012,2:00,5.59551,2.04463,5.76283,-26.06387,7.3554,12.52544,1.59922,-0.97933,83.9841,-6.777388,-2.126161,0.416073,,,,,,,,,,,,-7.69548,4.62173,-1.69042,50,5.41718,9.62047,-133.2443,-5.48821,-13.78581,29.57615,-23.8946,WIL_CAR,POI_UNI,WilliamCarey,NAIA,NAIA,20250307-WilliamCarey-1,09c78320-fb8f-11ef-8a03-cf9c41edeab4,90.59087,,,8.04926,,,,,,,706a8acc-abad-4467-b96a-cf8834ff98d4,2025-03-07,20:02:04.34,2025-03-07T14:02:04.3468288-06:00,2025-03-07T20:02:04.3468288Z,,v3,,,,"Mark, Jayden",10302412,Right,WIL_CAR,4b725115-8221-42af-949f-cc38591bd8a8,54.74197,-134.29275,14.78807,5.59672,-4.64116,-11.9473,-2.04012,10.10917,-6.89291,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2025-03-07,14:02:16.81,3,3,"Shirah, Andrew",1000231203,Right,WIL_CAR,"Gonzalez, Daniel",1000315352,Right,POI_UNI,Undefined,1,Top,2,0,2,Fastball,Sinker,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,89.63733,-0.448384,-3.830699,1881.585633,244.114705,2:15,5.44087,2.36859,5.69239,-28.12383,7.36063,12.61887,2.67836,-0.15556,81.14182,-5.671898,-1.580252,0.428737,,,,,,,,,,,,-7.62071,4.22461,-2.05412,50,5.38556,8.14464,-129.81124,-2.00868,-12.86687,29.83905,-25.04116,WIL_CAR,POI_UNI,WilliamCarey,NAIA,NAIA,20250307-WilliamCarey-1,1110e630-fb8f-11ef-8a03-cf9c41edeab4,87.91514,,,8.49551,,,,,,,706a8acc-abad-4467-b96a-cf8834ff98d4,2025-03-07,20:02:16.81,2025-03-07T14:02:16.8188416-06:00,2025-03-07T20:02:16.8188416Z,,v3,,,,"Mark, Jayden",10302412,Right,WIL_CAR,65633534-a95c-4aff-85fd-661679fdc72b,54.81091,-130.91243,14.91952,5.44264,-1.08456,-12.52058,-2.36345,8.61948,-6.43344,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2025-03-07,14:02:39.03,3,4,"Shirah, Andrew",1000231203,Right,WIL_CAR,"Gonzalez, Daniel",1000315352,Right,POI_UNI,Undefined,1,Top,2,0,2,Fastball,Sinker,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,90.96735,-1.63712,-4.801409,1955.529488,224.080141,1:30,5.5272,2.04963,5.74958,-18.87879,15.89276,14.10835,2.42394,-1.25552,81.55262,-5.229795,-2.288709,0.424408,84.46948,19.549874,55.195214,4067.689006,51.87041,27.46487,97.00222,229.95602,133.81427,71.122373,2.815619,-8.7415,8.99347,-1.65833,50,5.37939,10.40215,-131.38875,-4.35476,-15.00187,32.57483,-16.73973,WIL_CAR,POI_UNI,WilliamCarey,NAIA,NAIA,20250307-WilliamCarey-1,1e54e530-fb8f-11ef-8a03-cf9c41edeab4,88.81182,28.08218,,9.41473,,,,-0.18087,2.32157,1.36663,706a8acc-abad-4467-b96a-cf8834ff98d4,2025-03-07,20:02:39.03,2025-03-07T14:02:39.0360064-06:00,2025-03-07T20:02:39.0360064Z,LineDrive,v3,,,,"Mark, Jayden",10302412,Right,WIL_CAR,22e65704-0f4f-41f9-8313-2ce23d66a357,54.75101,-132.56142,16.28742,5.52531,-3.75215,-8.36987,-2.04252,10.94221,-7.50094,,-0.18086,66.63634,-21.1099,4.03374,-0.91719,0.19224,-0.03441,0.00435,-0.00027,2.32158,41.45624,-18.74514,2.05753,-0.44618,0.10059,-0.01705,0.00204,-0.00012,1.36663,95.8604,-9.6007,1.6744,-0.38123,0.0794,-0.01439,0.00183,-0.00011,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,
10,2025-03-07,14:02:59.84,3,5,"Shirah, Andrew",1000231203,Right,WIL_CAR,"Gonzalez, Daniel",1000315352,Right,POI_UNI,Undefined,1,Top,2,0,2,Slider,Slider,BallinDirt,Undefined,Undefined,Undefined,0,0,,82.93883,-2.498311,-4.979757,2332.630885,203.721601,12:45,5.48824,2.18015,5.73885,-38.18329,3.04421,0.76559,-0.03052,-2.40509,76.42704,-9.451928,-4.843356,0.462131,,,,,,,,,,,,-1.82417,2.54382,-1.76481,50,5.2553,10.42416,-119.96547,-6.5126,-2.65135,23.78191,-28.47675,WIL_CAR,POI_UNI,WilliamCarey,NAIA,NAIA,20250307-WilliamCarey-1,2a9ef3d0-fb8f-11ef-8a03-cf9c41edeab4,81.5623,,,6.51178,,,,,,,706a8acc-abad-4467-b96a-cf8834ff98d4,2025-03-07,20:02:59.84,2025-03-07T14:02:59.8420992-06:00,2025-03-07T20:02:59.8420992Z,,v3,,,,"Mark, Jayden",10302412,Right,WIL_CAR,fa347092-df22-43f6-8cda-2495d08b0c1a,54.76761,-120.9069,11.89095,5.49079,-5.38532,-14.23838,-2.17954,10.52912,-1.32568,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
