PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-03-11,18:06:31.77,1,1,"Gurnea, Chad",1000271445,Right,CAL_FUL,"Dowd, Brayden",804053,Left,SOU_TRO,Undefined,1,Top,0,0,0,Sinker,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,90.1266,-2.914726,-4.149626,2149.808554,245.039268,2:15,5.82619,1.78232,6.14029,-25.32403,8.99997,16.91446,1.01277,-0.64979,82.44583,-7.634607,-1.105556,0.421668,,,,,,,,,,,,-9.97768,5.81563,-1.47428,50,5.59011,8.78521,-130.52942,-7.48423,-17.1725,28.09546,-22.16476,CAL_FUL,SOU_TRO,GoodwinField,D1,BW,20250311-GoodwinField-1,3c9b9a00-fede-11ef-a476-17847d291bf5,89.389,,,7.68077,,,,,,,0bf1662c-ac90-4f31-96b7-0cd09f58ba56,2025-03-12,01:06:31.77,2025-03-11T18:06:31.7793280-07:00,2025-03-12T01:06:31.7793280Z,,v3,471254,5047,,"Lombardi, Niko",1000364956,Right,CAL_FUL,c7f15219-5beb-4255-a8c5-79fec79e7687,54.36096,-131.46474,14.04773,5.82698,-6.74636,-11.08238,-1.77626,9.35689,-8.58625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2025-03-11,18:06:50.34,1,2,"Gurnea, Chad",1000271445,Right,CAL_FUL,"Dowd, Brayden",804053,Left,SOU_TRO,Undefined,1,Top,0,1,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,89.94728,-0.712305,-1.879631,2065.552051,206.023816,12:45,5.80757,1.88591,6.37131,-16.12072,17.89899,8.19587,3.80837,0.83877,81.83707,-3.821816,-0.396273,0.419794,,,,,,,,,,,,-4.80264,9.85906,-1.75369,50,5.74834,3.95638,-130.65746,-2.04065,-8.26678,28.62193,-15.20359,CAL_FUL,SOU_TRO,GoodwinField,D1,BW,20250311-GoodwinField-1,47b713b0-fede-11ef-a476-17847d291bf5,89.78788,,,8.1102,,,,,,,0bf1662c-ac90-4f31-96b7-0cd09f58ba56,2025-03-12,01:06:50.34,2025-03-11T18:06:50.3449600-07:00,2025-03-12T01:06:50.3449600Z,,v3,471254,5047,,"Lombardi, Niko",1000364956,Right,CAL_FUL,1dbf387e-8d12-4046-ae79-593a9a2ea230,54.127,-131.55842,14.31097,5.80505,-1.56207,-7.60179,-1.88232,4.2166,-4.13339,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2025-03-11,18:07:06.39,1,3,"Gurnea, Chad",1000271445,Right,CAL_FUL,"Dowd, Brayden",804053,Left,SOU_TRO,Undefined,1,Top,0,2,0,Fastball,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,90.67174,-3.900048,-2.65091,2061.174728,223.120721,1:30,5.80031,1.68436,6.13213,-17.87359,16.23355,14.08304,0.69656,0.40594,82.40378,-7.292763,-0.113145,0.420334,,,,,,,,,,,,-8.08922,9.92741,-1.48897,50,5.49243,5.4927,-131.27431,-9.47733,-13.99258,30.05441,-15.00178,CAL_FUL,SOU_TRO,GoodwinField,D1,BW,20250311-GoodwinField-1,514cb0b0-fede-11ef-a476-17847d291bf5,89.67268,,,8.26796,,,,,,,0bf1662c-ac90-4f31-96b7-0cd09f58ba56,2025-03-12,01:07:06.39,2025-03-11T18:07:06.3997440-07:00,2025-03-12T01:07:06.3997440Z,,v3,471254,5047,,"Lombardi, Niko",1000364956,Right,CAL_FUL,e15c800a-ee3d-4774-b9ac-0be51367b17b,54.36708,-132.27034,15.02721,5.79828,-8.98015,-7.50089,-1.67869,5.95643,-6.99629,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2025-03-11,18:07:23.57,1,4,"Gurnea, Chad",1000271445,Right,CAL_FUL,"Dowd, Brayden",804053,Left,SOU_TRO,Undefined,1,Top,0,3,0,Fastball,Four-Seam,BallCalled,Walk,Undefined,Undefined,0,0,,90.47567,-1.293073,-1.192043,2071.435109,207.220815,1:00,5.81727,1.83616,6.08461,-16.45654,17.55131,8.45016,3.24917,1.43739,82.326,-4.44373,0.329956,0.419721,,,,,,,,,,,,-4.67693,9.74382,-1.74838,50,5.70857,2.37323,-131.36798,-3.4254,-8.13698,28.97262,-15.22156,CAL_FUL,SOU_TRO,GoodwinField,D1,BW,20250311-GoodwinField-1,5b5cadd0-fede-11ef-a476-17847d291bf5,89.8035,,,8.14967,,,,,,,0bf1662c-ac90-4f31-96b7-0cd09f58ba56,2025-03-12,01:07:23.57,2025-03-11T18:07:23.5773952-07:00,2025-03-12T01:07:23.5773952Z,,v3,471254,5047,,"Lombardi, Niko",1000364956,Right,CAL_FUL,90638d80-0cc5-4f30-836a-15338043a6f5,54.41305,-132.33768,14.48631,5.81469,-2.91594,-7.61078,-1.83237,2.64557,-4.06849,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2025-03-11,18:08:01.02,2,1,"Gurnea, Chad",1000271445,Right,CAL_FUL,"Hedges, Ethan",805260,Right,SOU_TRO,Undefined,1,Top,0,0,0,Cutter,Slider,BallinDirt,Undefined,Undefined,Undefined,0,0,,85.34901,-2.819675,-3.10274,2675.870435,93.546301,9:00,5.81755,1.89144,5.85457,-37.18049,1.64701,-5.95843,0.09331,-1.49083,78.3029,-9.612256,-4.171148,0.448478,,,,,,,,,,,,2.13646,2.03673,-1.63563,50,5.56622,6.93698,-123.6347,-7.35623,3.27906,26.58461,-29.04807,CAL_FUL,SOU_TRO,GoodwinField,D1,BW,20250311-GoodwinField-1,71d53e10-fede-11ef-a476-17847d291bf5,84.04527,,,7.04611,,,,,,,0bf1662c-ac90-4f31-96b7-0cd09f58ba56,2025-03-12,01:08:01.02,2025-03-11T18:08:01.0253824-07:00,2025-03-12T01:08:01.0253824Z,,v3,471254,5047,,"Lombardi, Niko",1000364956,Right,CAL_FUL,02af9dcc-fe47-4575-89a3-2a2269a0745d,54.64602,-124.6297,13.2923,5.8212,-6.26902,-14.52404,-1.89297,6.81425,1.63953,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2025-03-11,18:08:52.26,2,2,"Gurnea, Chad",1000271445,Right,CAL_FUL,"Hedges, Ethan",805260,Right,SOU_TRO,Undefined,1,Top,0,1,0,Sinker,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,,89.54866,-1.315463,-2.564558,2052.875315,228.157351,1:30,5.84147,1.81014,6.18919,-21.47718,13.20757,13.4441,2.8357,0.56102,81.39589,-5.380282,-0.139776,0.423878,,,,,,,,,,,,-7.68382,7.57142,-1.62312,50,5.73133,5.2612,-129.93861,-3.63398,-13.05166,28.87704,-19.31333,CAL_FUL,SOU_TRO,GoodwinField,D1,BW,20250311-GoodwinField-1,904a06a0-fede-11ef-a476-17847d291bf5,88.92294,,,8.15277,,,,,,,0bf1662c-ac90-4f31-96b7-0cd09f58ba56,2025-03-12,01:08:52.26,2025-03-11T18:08:52.2691072-07:00,2025-03-12T01:08:52.2691072Z,,v3,471254,5047,,"Lombardi, Niko",1000364956,Right,CAL_FUL,fb2a66c9-fbd9-4bac-8901-5fea42183332,54.30909,-130.89274,14.43852,5.84085,-2.99584,-9.65667,-1.80408,5.69244,-6.52583,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2025-03-11,18:09:13.17,2,3,"Gurnea, Chad",1000271445,Right,CAL_FUL,"Hedges, Ethan",805260,Right,SOU_TRO,Undefined,1,Top,0,1,1,Sinker,Sinker,InPlay,Undefined,GroundBall,Single,0,1,,89.78911,-1.97483,-2.679242,2011.231544,229.761377,1:45,5.86348,1.74633,6.26281,-21.24064,13.17922,14.20048,2.26987,0.45757,81.69211,-5.994953,-0.114209,0.422256,91.28509,4.620171,20.11446,3472.846957,,,,103.39948,101.61621,24.114058,0.870213,-8.19622,7.77933,-1.5545,50,5.70654,5.52579,-130.27842,-5.13043,-13.98898,29.13562,-18.89656,CAL_FUL,SOU_TRO,GoodwinField,D1,BW,20250311-GoodwinField-1,9cce8630-fede-11ef-a476-17847d291bf5,89.2644,4.03289,,8.097,,,,0.93762,2.21274,-0.49357,0bf1662c-ac90-4f31-96b7-0cd09f58ba56,2025-03-12,01:09:13.17,2025-03-11T18:09:13.1718144-07:00,2025-03-12T01:09:13.1718144Z,GroundBall,v3,471254,5047,,"Lombardi, Niko",1000364956,Right,CAL_FUL,52cf85b2-cc0b-4b88-9a4a-2bd408d79091,54.23705,-131.22257,14.56781,5.86287,-4.51807,-9.44828,-1.74092,5.97912,-6.99449,263.228025,1.04185,123.67438,-18.99371,,,,,,,2.2464,10.25927,-14.79694,,,,,,,-0.54698,46.74569,2.85136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
8,2025-03-11,18:09:57.07,3,1,"Gurnea, Chad",1000271445,Right,CAL_FUL,"Lopez, Adrian",1000369807,Right,SOU_TRO,Undefined,1,Top,0,0,0,Curveball,Curveball,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,77.73157,1.748355,-0.976498,2696.164079,46.414777,7:30,6.0916,1.46716,5.57869,-58.81295,-11.46347,-13.73922,2.82417,-0.58988,70.79574,-8.976107,-3.431445,0.495255,84.73078,32.449897,30.901469,5278.002005,88.19104,59.71524,65.74409,253.64557,216.53177,45.535098,4.590946,6.65516,-5.92114,-1.37386,50,6.20342,2.44903,-112.7904,1.46347,8.44783,23.31391,-39.69016,CAL_FUL,SOU_TRO,GoodwinField,D1,BW,20250311-GoodwinField-1,b70b4a60-fede-11ef-a476-17847d291bf5,76.10711,68.55177,,6.93583,,,,0.99325,2.76604,0.552,0bf1662c-ac90-4f31-96b7-0cd09f58ba56,2025-03-12,01:09:57.07,2025-03-11T18:09:57.0734592-07:00,2025-03-12T01:09:57.0734592Z,FlyBall,v3,471254,5047,,"Lombardi, Niko",1000364956,Right,CAL_FUL,c59b0e79-6f02-476e-b0e3-d0f2e9c54265,54.92398,-113.80364,11.65696,6.10233,3.18844,-19.84508,-1.47232,2.08188,4.22391,220.318233,1.00157,89.75095,-22.86703,3.72722,1.11593,-1.15296,0.39172,-0.06371,0.00412,2.77351,66.51388,-18.74063,0.14293,1.12764,-0.64049,0.1868,-0.0277,0.00162,0.56794,53.50354,-0.57905,-4.19006,3.16277,-1.38623,0.35046,-0.0464,0.00247,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Low,,,
9,2025-03-11,18:10:34.15,3,2,"Gurnea, Chad",1000271445,Right,CAL_FUL,"Lopez, Adrian",1000369807,Right,SOU_TRO,Undefined,1,Top,0,0,1,Cutter,Slider,InPlay,Undefined,GroundBall,Single,0,0,,84.39044,0.216999,-0.833814,2694.853292,95.57627,9:15,5.83014,2.0103,5.88234,-37.17691,1.6441,-5.74563,2.93361,0.75711,78.16008,-6.616875,-1.865641,0.44844,79.137,-6.459795,28.009105,,,,,23.09904,23.04681,26.140325,0.200466,2.75244,1.09535,-1.93958,50,5.82589,2.01002,-122.7652,-0.78261,4.24029,22.15252,-30.48658,CAL_FUL,SOU_TRO,GoodwinField,D1,BW,20250311-GoodwinField-1,cd234410-fede-11ef-a476-17847d291bf5,84.05229,2.86101,,6.23036,,,,0.94873,2.86101,-0.75894,0bf1662c-ac90-4f31-96b7-0cd09f58ba56,2025-03-12,01:10:34.15,2025-03-11T18:10:34.1594624-07:00,2025-03-12T01:10:34.1594624Z,GroundBall,v3,471254,5047,,"Lombardi, Niko",1000364956,Right,CAL_FUL,30ad2722-4c02-42f9-8328-ba355b7450b5,54.61977,-123.596,11.07626,5.8338,0.36076,-15.24329,-2.01198,1.85099,2.12014,232.713912,0.94961,101.76419,-15.28675,,,,,,,2.86074,-13.04021,-6.13029,,,,,,,-0.75927,54.18254,1.85638,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
10,2025-03-11,18:11:20.34,4,1,"Gurnea, Chad",1000271445,Right,CAL_FUL,"Higgins, Kade",1000050392,Left,SOU_TRO,Undefined,1,Top,0,0,0,Fastball,Sinker,InPlay,Undefined,Bunt,Sacrifice,1,0,,89.75484,-1.466979,-3.097955,1849.724961,221.688853,1:30,5.85462,1.85713,6.392,-19.07757,15.13253,12.46898,2.91327,0.04402,81.72385,-5.107221,-0.842428,0.420968,,,,,,,,,,,,-7.44248,8.67052,-1.63998,50,5.74018,6.56154,-130.26659,-3.87471,-12.72696,28.59703,-17.34714,CAL_FUL,SOU_TRO,GoodwinField,D1,BW,20250311-GoodwinField-1,e8963e50-fede-11ef-a476-17847d291bf5,89.53763,,,8.03099,,,,,,,0bf1662c-ac90-4f31-96b7-0cd09f58ba56,2025-03-12,01:11:20.34,2025-03-11T18:11:20.3469312-07:00,2025-03-12T01:11:20.3469312Z,,v3,471254,5047,,"Lombardi, Niko",1000364956,Right,CAL_FUL,f19fb892-6fca-4fac-acd1-db03afdc729d,54.10815,-131.16534,14.29852,5.85339,-3.32952,-8.67357,-1.85248,6.96153,-6.36348,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
