PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-03-14,16:05:09.29,1,1,"Lally, David",702595,Right,MIC_WOL,"Dowd, Brayden",804053,Left,SOU_TRO,Undefined,1,Top,0,0,0,Fastball,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,,89.45023,-0.387684,-2.738645,2107.303675,239.632901,2:00,5.3933,1.78907,5.95221,-25.09745,10.43339,15.52619,2.94188,0.54103,80.22473,-5.119988,0.048819,0.429017,,,,,,,,,,,,-8.77264,5.87036,-1.57929,50,5.34868,5.5108,-129.56819,-1.69607,-14.62377,31.96925,-22.38828,MIC_WOL,SOU_TRO,RayFisher,D1,BIG10,20250314-RayFisher-1,a20af650-010f-11f0-bf55-a5fae5373569,87.85772,,,9.22549,,,,,,,60ce7478-b8ed-4ada-a17c-c6b06551ae0e,2025-03-14,20:05:09.29,2025-03-14T16:05:09.2981248-04:00,2025-03-14T20:05:09.2981248Z,,v3,2290,5047,,"Miller, Noah",806165,Right,MIC_WOL,39e112c7-c3c4-4404-8d1b-07b3f90f041d,54.54349,-130.68443,15.98463,5.39425,-0.91436,-11.19414,-1.78062,6.02141,-7.31188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2025-03-14,16:05:28.09,1,2,"Lally, David",702595,Right,MIC_WOL,"Dowd, Brayden",804053,Left,SOU_TRO,Undefined,1,Top,0,0,1,Fastball,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,89.28343,0.501413,-1.248439,2113.108983,241.40709,2:00,5.59465,1.86254,5.84918,-26.24076,9.13178,14.55497,3.87398,1.91515,80.90125,-4.408748,1.361826,0.42806,,,,,,,,,,,,-7.753,4.87799,-1.76927,50,5.62026,2.18601,-129.5731,0.24667,-13.06492,29.29487,-23.95394,MIC_WOL,SOU_TRO,RayFisher,D1,BIG10,20250314-RayFisher-1,ad10ec30-010f-11f0-bf55-a5fae5373569,88.05416,,,8.38219,,,,,,,60ce7478-b8ed-4ada-a17c-c6b06551ae0e,2025-03-14,20:05:28.09,2025-03-14T16:05:28.0996864-04:00,2025-03-14T20:05:28.0996864Z,,v3,2290,5047,,"Miller, Noah",806165,Right,MIC_WOL,491c3155-a1b0-4aba-8137-89944108542b,54.64875,-130.6199,14.64744,5.59615,1.10262,-11.97697,-1.85572,2.65286,-6.53246,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2025-03-14,16:05:46.26,1,3,"Lally, David",702595,Right,MIC_WOL,"Dowd, Brayden",804053,Left,SOU_TRO,Undefined,1,Top,0,1,1,Fastball,Sinker,InPlay,Undefined,FlyBall,Out,1,0,,89.21258,-1.195984,-3.215092,2167.461636,233.044554,1:45,5.57384,1.77401,6.03766,-23.80993,11.24942,13.43083,2.48033,-0.08693,81.37628,-5.661171,-0.801331,0.426161,87.88803,27.656421,-7.494004,3293.136209,108.23265,48.12121,-19.63888,286.82606,276.65748,-15.407075,4.026787,-7.87347,6.4754,-1.53027,50,5.46748,6.72112,-129.42674,-3.46687,-13.31289,27.81382,-21.22508,MIC_WOL,SOU_TRO,RayFisher,D1,BIG10,20250314-RayFisher-1,b7de1ed0-010f-11f0-bf55-a5fae5373569,88.44656,56.4274,,7.8363,,,,1.50975,2.46767,0.10431,60ce7478-b8ed-4ada-a17c-c6b06551ae0e,2025-03-14,20:05:46.26,2025-03-14T16:05:46.2619136-04:00,2025-03-14T20:05:46.2619136Z,FlyBall,v3,2290,5047,,"Miller, Noah",806165,Right,MIC_WOL,f056babc-eb70-4dd3-86ee-6e8515273cde,54.46311,-130.38234,13.90691,5.57406,-2.73764,-10.61254,-1.76905,7.1785,-6.65644,143.999501,1.50883,113.22547,-21.01127,4.90601,-1.31675,0.38448,-0.09404,0.01388,-0.00085,2.46857,59.80761,-18.35209,1.01142,0.11309,-0.14294,0.04899,-0.00751,0.00043,0.10449,-14.89639,-3.49769,1.46561,-0.3924,0.06857,-0.00665,0.00012,2E-05,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
4,2025-03-14,16:06:22.41,2,1,"Lally, David",702595,Right,MIC_WOL,"Hedges, Ethan",805260,Right,SOU_TRO,Undefined,1,Top,1,0,0,Cutter,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,83.83103,0.607749,-0.426039,2236.891103,129.385749,10:15,5.57073,1.95489,5.67215,-37.27061,3.10362,-2.12457,3.03152,1.38062,76.19771,-6.272289,-0.806093,0.457324,,,,,,,,,,,,0.94201,1.83323,-1.9176,50,5.59887,0.99342,-121.64672,0.0041,1.39971,25.73175,-29.45009,MIC_WOL,SOU_TRO,RayFisher,D1,BIG10,20250314-RayFisher-1,cd79e3a0-010f-11f0-bf55-a5fae5373569,82.41964,,,7.63332,,,,,,,60ce7478-b8ed-4ada-a17c-c6b06551ae0e,2025-03-14,20:06:22.41,2025-03-14T16:06:22.4117248-04:00,2025-03-14T20:06:22.4117248Z,,v3,2290,5047,,"Miller, Noah",806165,Right,MIC_WOL,ccfc33b3-76ac-47b1-9eda-ef134b798da0,54.82567,-122.66324,12.86587,5.57574,1.16751,-14.72504,-1.95575,0.93813,0.69986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2025-03-14,16:06:39.75,2,2,"Lally, David",702595,Right,MIC_WOL,"Hedges, Ethan",805260,Right,SOU_TRO,Undefined,1,Top,1,1,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,90.90677,-0.081578,-3.311315,2150.2853,217.141463,1:15,5.86002,1.73735,5.84708,-21.54962,12.23993,8.49374,3.98829,-0.63543,83.29647,-4.114745,-1.791913,0.418372,,,,,,,,,,,,-5.19414,6.58949,-1.47257,50,5.84072,7.2599,-131.90651,-0.90374,-9.19458,26.81607,-20.50938,MIC_WOL,SOU_TRO,RayFisher,D1,BIG10,20250314-RayFisher-1,d7ab4b70-010f-11f0-bf55-a5fae5373569,90.09313,,,7.6103,,,,,,,60ce7478-b8ed-4ada-a17c-c6b06551ae0e,2025-03-14,20:06:39.75,2025-03-14T16:06:39.7533184-04:00,2025-03-14T20:06:39.7533184Z,,v3,2290,5047,,"Miller, Noah",806165,Right,MIC_WOL,64433f86-3b2d-498b-9a5c-42c4b752389b,54.65219,-132.84892,13.40804,5.85982,-0.18298,-10.25469,-1.73338,7.58303,-4.59729,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2025-03-14,16:07:00.46,2,3,"Lally, David",702595,Right,MIC_WOL,"Hedges, Ethan",805260,Right,SOU_TRO,Undefined,1,Top,1,2,0,Fastball,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,90.14439,0.577778,-1.552615,2169.720052,233.184595,1:45,5.62452,1.79893,5.86574,-24.26151,10.66575,12.56587,4.13968,1.40341,81.07157,-3.992761,0.700938,0.425357,,,,,,,,,,,,-6.81992,5.63618,-1.67989,50,5.65753,2.97254,-130.67987,0.51206,-11.61343,31.45803,-22.57639,MIC_WOL,SOU_TRO,RayFisher,D1,BIG10,20250314-RayFisher-1,e3ff6c30-010f-11f0-bf55-a5fae5373569,88.61363,,,9.07282,,,,,,,60ce7478-b8ed-4ada-a17c-c6b06551ae0e,2025-03-14,20:07:00.46,2025-03-14T16:07:00.4643328-04:00,2025-03-14T20:07:00.4643328Z,,v3,2290,5047,,"Miller, Noah",806165,Right,MIC_WOL,e7ba248e-e55c-41ac-b207-7fda0154c435,54.6294,-131.78957,15.72902,5.62542,1.30846,-11.2882,-1.79198,3.38221,-5.80672,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2025-03-14,16:07:15.49,2,4,"Lally, David",702595,Right,MIC_WOL,"Hedges, Ethan",805260,Right,SOU_TRO,Undefined,1,Top,1,3,0,Fastball,Sinker,BallCalled,Walk,Undefined,Undefined,0,0,,89.83127,0.213397,-2.128259,2161.318734,229.185036,1:45,5.6973,1.6074,5.92843,-21.7058,13.76627,14.31859,4.08662,0.82496,79.94403,-3.928827,0.441699,0.428662,,,,,,,,,,,,-7.95996,7.34914,-1.44466,50,5.70234,4.18439,-130.05573,-0.18328,-13.28003,33.86714,-19.91308,MIC_WOL,SOU_TRO,RayFisher,D1,BIG10,20250314-RayFisher-1,ed18d450-010f-11f0-bf55-a5fae5373569,87.93051,,,9.88725,,,,,,,60ce7478-b8ed-4ada-a17c-c6b06551ae0e,2025-03-14,20:07:15.49,2025-03-14T16:07:15.4982400-04:00,2025-03-14T20:07:15.4982400Z,,v3,2290,5047,,"Miller, Noah",806165,Right,MIC_WOL,3afd0217-8d5b-412a-ba4a-735d0d7eadfd,54.56492,-131.23907,16.93357,5.69658,0.5125,-9.95654,-1.59898,4.6484,-6.64002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2025-03-14,16:07:52.86,3,1,"Lally, David",702595,Right,MIC_WOL,"Lopez, Adrian",1000369807,Right,SOU_TRO,Undefined,1,Top,1,0,0,Fastball,Four-Seam,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,92.04089,-1.339681,-3.66123,2166.163894,224.536852,1:30,5.97679,1.4762,5.94561,-18.23143,15.41375,13.90583,3.21209,-0.76565,82.44521,-4.828114,-1.169204,0.417477,,,,,,,,,,,,-8.2593,8.68536,-1.1916,50,5.85972,7.88708,-133.15605,-3.66674,-14.54322,33.7259,-16.8806,MIC_WOL,SOU_TRO,RayFisher,D1,BIG10,20250314-RayFisher-1,03403750-0110-11f0-bf55-a5fae5373569,90.28619,,,9.59568,,,,,,,60ce7478-b8ed-4ada-a17c-c6b06551ae0e,2025-03-14,20:07:52.86,2025-03-14T16:07:52.8603136-04:00,2025-03-14T20:07:52.8603136Z,,v3,2290,5047,,"Miller, Noah",806165,Right,MIC_WOL,f594c421-04a1-45f1-b3dc-cfbe824d31f8,54.54973,-134.30347,16.86295,5.9747,-3.09243,-8.4403,-1.46835,8.38187,-7.27161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2025-03-14,16:08:36.64,3,2,"Lally, David",702595,Right,MIC_WOL,"Lopez, Adrian",1000369807,Right,SOU_TRO,Undefined,1,Top,1,0,1,Cutter,Slider,InPlay,Undefined,GroundBall,Single,0,0,,82.79707,1.403275,-0.212296,2212.703081,110.502594,9:45,5.47525,1.9014,5.67959,-38.97801,3.35689,-4.38614,3.5355,1.33799,73.54753,-5.855063,-0.996613,0.468296,47.16354,-70.870764,-52.980109,,,,,2.88779,2.88779,-52.752386,0.052866,2.13205,1.69036,-1.88075,50,5.56965,0.62786,-119.82895,1.62144,3.00176,29.98633,-29.79417,MIC_WOL,SOU_TRO,RayFisher,D1,BIG10,20250314-RayFisher-1,1d7e8220-0110-11f0-bf55-a5fae5373569,80.48844,3.49441,,9.24954,,,,1.0181,3.49441,-1.33103,60ce7478-b8ed-4ada-a17c-c6b06551ae0e,2025-03-14,20:08:36.64,2025-03-14T16:08:36.6405120-04:00,2025-03-14T20:08:36.6405120Z,GroundBall,v3,2290,5047,,"Miller, Noah",806165,Right,MIC_WOL,9e081313-79e6-4553-8bc0-3d3af95eeaeb,54.81521,-121.02792,14.99317,5.481,2.81273,-14.89708,-1.90346,0.50784,1.50088,,1.01678,13.80414,,,,,,,,3.50076,-66.10001,,,,,,,,-1.32927,-18.30549,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Estimated,Estimated,,,
10,2025-03-14,16:09:24.29,4,1,"Lally, David",702595,Right,MIC_WOL,"Takeuchi, Kevin",805192,Right,SOU_TRO,Undefined,1,Top,1,0,0,Cutter,Slider,StrikeCalled,Undefined,Undefined,Undefined,0,0,,84.87225,0.963345,-1.754815,2225.813336,105.627504,9:30,5.91178,1.58418,5.88597,-37.92691,2.39063,-2.36362,3.64629,-0.24283,74.86902,-6.131867,-2.178814,0.457002,,,,,,,,,,,,0.49362,1.41913,-1.44132,50,5.96878,3.86198,-122.70561,0.77578,0.72317,33.11514,-30.09499,MIC_WOL,SOU_TRO,RayFisher,D1,BIG10,20250314-RayFisher-1,39c71be0-0110-11f0-bf55-a5fae5373569,82.47758,,,10.00323,,,,,,,60ce7478-b8ed-4ada-a17c-c6b06551ae0e,2025-03-14,20:09:24.29,2025-03-14T16:09:24.2917376-04:00,2025-03-14T20:09:24.2917376Z,,v3,2290,5047,,"Miller, Noah",806165,Right,MIC_WOL,a0cef3f8-9f15-489e-b57a-1acbc81f168b,54.60526,-123.94223,16.55757,5.91883,1.89961,-15.0475,-1.58504,3.83497,0.36158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
