PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-03-28,14:04:58.70,1,1,"Kraft, Ryan",801993,Left,IU,"Takeuchi, Kevin",805192,Right,SOU_TRO,Undefined,1,Top,0,0,0,Sinker,Changeup,StrikeCalled,Undefined,Undefined,Undefined,0,0,,88.17908,0.113398,4.931018,1758.30344,123.362298,10:00,5.42455,-3.61728,6.62851,-25.9336,9.45351,-12.51961,3.36763,-0.1345,79.88459,-4.801746,2.664915,0.428148,,,,,,,,,,,,8.01359,5.30918,3.28698,50,5.42176,-10.52841,-127.70624,-0.49082,13.12533,28.3151,-23.47819,IU,SOU_TRO,Bart Kaufman Field,D1,BIG10,20250328-Bart Kaufman Field-1,29c22240-0bff-11f0-84b5-6308c884eca3,88.03602,,,8.29449,,,,,,,ffe97243-b84d-4cef-9301-c5da5f38c173,2025-03-28,18:04:58.70,2025-03-28T14:04:58.7023360-04:00,2025-03-28T18:04:58.7023360Z,,v3,4866,5047,,"Stadler, Jake",802120,Right,IU,e37afba7-6b3c-41ca-8edd-f8966f714e27,53.8674,-128.56086,14.15755,5.42588,0.21781,-11.73909,3.61074,-10.92456,6.56266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2025-03-28,14:05:11.50,1,2,"Kraft, Ryan",801993,Left,IU,"Takeuchi, Kevin",805192,Right,SOU_TRO,Undefined,1,Top,0,0,1,ChangeUp,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,82.80934,-1.346337,3.622402,1475.1211,123.102382,10:00,5.43915,-3.66826,6.58402,-30.82663,9.39288,-12.23217,1.6338,-1.36365,75.13189,-7.162265,1.401636,0.456446,,,,,,,,,,,,7.50056,5.798,3.42426,50,5.33419,-7.14858,-120.05177,-3.68131,10.81695,25.80625,-23.81244,IU,SOU_TRO,Bart Kaufman Field,D1,BIG10,20250328-Bart Kaufman Field-1,31834d60-0bff-11f0-84b5-6308c884eca3,82.57805,,,7.67745,,,,,,,ffe97243-b84d-4cef-9301-c5da5f38c173,2025-03-28,18:05:11.50,2025-03-28T14:05:11.5012096-04:00,2025-03-28T18:05:11.5012096Z,,v3,4866,5047,,"Stadler, Jake",802120,Right,IU,358654e2-70fd-4e31-8256-c5722528c74a,53.91134,-120.88962,12.90313,5.44116,-2.90819,-11.90622,3.66205,-7.49978,5.40847,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2025-03-28,14:05:24.08,1,3,"Kraft, Ryan",801993,Left,IU,"Takeuchi, Kevin",805192,Right,SOU_TRO,Undefined,1,Top,0,1,1,Sinker,Changeup,InPlay,Undefined,GroundBall,Out,1,0,,88.30158,-0.821162,4.046824,1794.478227,124.929167,10:15,5.44571,-3.65113,6.55056,-25.11525,10.57241,-13.22481,2.59785,-1.03619,79.3086,-5.602324,1.650617,0.429962,74.8296,-35.403488,-15.070485,,,,,4.5623,4.5623,1.109396,0.040202,8.27685,6.2065,3.37634,50,5.37829,-8.53125,-127.9008,-2.55554,13.44099,31.21602,-22.09513,IU,SOU_TRO,Bart Kaufman Field,D1,BIG10,20250328-Bart Kaufman Field-1,38f59530-0bff-11f0-84b5-6308c884eca3,87.66452,2.56445,,8.99298,,,,1.07747,2.56445,1.02645,ffe97243-b84d-4cef-9301-c5da5f38c173,2025-03-28,18:05:24.08,2025-03-28T14:05:24.0844288-04:00,2025-03-28T18:05:24.0844288Z,GroundBall,v3,4866,5047,,"Stadler, Jake",802120,Right,IU,5e4508bf-e126-46df-9044-6bab372b02ac,53.94511,-128.86007,15.60801,5.44639,-1.87656,-11.04757,3.64485,-8.94429,6.7205,,1.07565,86.66197,,,,,,,,2.56579,-63.78932,,,,,,,,1.02695,-23.33531,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Estimated,Estimated,,,
4,2025-03-28,14:05:53.96,2,1,"Kraft, Ryan",801993,Left,IU,"Hedges, Ethan",805260,Right,SOU_TRO,Undefined,1,Top,1,0,0,Cutter,Slider,StrikeCalled,Undefined,Undefined,Undefined,0,0,,85.10266,0.027691,2.818261,2330.721478,199.989323,12:45,5.55422,-3.72239,6.34886,-31.36549,5.69288,1.75311,2.96595,-0.98002,79.81721,-5.776474,3.135066,0.438142,,,,,,,,,,,,-0.32945,3.26032,3.51696,50,5.5413,-6.1625,-123.88111,-0.90493,-0.52469,18.98157,-26.98172,IU,SOU_TRO,Bart Kaufman Field,D1,BIG10,20250328-Bart Kaufman Field-1,4ab8dac0-0bff-11f0-84b5-6308c884eca3,86.02797,,,5.28545,,,,,,,ffe97243-b84d-4cef-9301-c5da5f38c173,2025-03-28,18:05:53.96,2025-03-28T14:05:53.9622400-04:00,2025-03-28T18:05:53.9622400Z,,v3,4866,5047,,"Stadler, Jake",802120,Right,IU,784cc7f6-c06c-4155-a28c-9da5c2b47407,54.15165,-124.51561,9.49079,5.55647,-0.003,-13.49086,3.72267,-6.14496,-0.26234,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2025-03-28,14:06:07.28,2,2,"Kraft, Ryan",801993,Left,IU,"Hedges, Ethan",805260,Right,SOU_TRO,Undefined,1,Top,1,0,1,Cutter,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,84.41449,1.440343,2.868045,2242.918246,243.365039,2:00,5.59977,-3.72468,6.17195,-35.44222,4.04095,5.24748,3.97848,-0.63631,76.0725,-5.186194,3.812284,0.452249,,,,,,,,,,,,-1.73941,2.09232,3.50518,50,5.69153,-6.33954,-122.2991,1.94976,-2.5905,27.87236,-29.05793,IU,SOU_TRO,Bart Kaufman Field,D1,BIG10,20250328-Bart Kaufman Field-1,52a73060-0bff-11f0-84b5-6308c884eca3,83.34447,,,8.34198,,,,,,,ffe97243-b84d-4cef-9301-c5da5f38c173,2025-03-28,18:06:07.28,2025-03-28T14:06:07.2812032-04:00,2025-03-28T18:06:07.2812032Z,,v3,4866,5047,,"Stadler, Jake",802120,Right,IU,5407ab85-57a7-43d2-bb48-5e283bc84b40,54.32166,-123.28008,13.93618,5.60491,2.97247,-14.52897,3.7267,-6.24837,-1.29525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2025-03-28,14:06:19.53,2,3,"Kraft, Ryan",801993,Left,IU,"Hedges, Ethan",805260,Right,SOU_TRO,Undefined,1,Top,1,1,1,Sinker,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,,89.17607,-1.95239,4.969038,1929.046952,133.375656,10:30,5.55472,-3.29631,6.51795,-22.8034,11.59268,-11.14162,1.85558,0.34598,81.87357,-6.248779,2.956088,0.42211,,,,,,,,,,,,7.16099,6.93154,2.95399,50,5.40825,-10.80279,-129.19903,-5.08206,12.14997,25.96244,-20.41343,IU,SOU_TRO,Bart Kaufman Field,D1,BIG10,20250328-Bart Kaufman Field-1,5a0a0ee0-0bff-11f0-84b5-6308c884eca3,89.29525,,,7.3025,,,,,,,ffe97243-b84d-4cef-9301-c5da5f38c173,2025-03-28,18:06:19.53,2025-03-28T14:06:19.5386368-04:00,2025-03-28T18:06:19.5386368Z,,v3,4866,5047,,"Stadler, Jake",802120,Right,IU,a73e2d5f-e75e-43de-b17f-fa5a54dbc1b2,53.98034,-129.99642,12.98122,5.55471,-4.4551,-10.20671,3.2915,-11.17595,6.07498,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2025-03-28,14:06:36.37,2,4,"Kraft, Ryan",801993,Left,IU,"Hedges, Ethan",805260,Right,SOU_TRO,Undefined,1,Top,1,1,1,Sinker,Sinker,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,91.14672,-0.864019,3.972305,2054.150905,134.062743,10:30,5.64032,-3.4263,6.38359,-17.3484,15.73824,-15.17139,3.39784,-1.03065,83.17582,-4.183097,1.232635,0.413997,75.75079,41.354817,122.527925,3600.244114,,,,,41.64987,,,9.02953,8.76941,3.14676,50,5.56979,-8.57401,-132.24341,-2.4802,15.98893,28.22328,-16.6457,IU,SOU_TRO,Bart Kaufman Field,D1,BIG10,20250328-Bart Kaufman Field-1,641b6b90-0bff-11f0-84b5-6308c884eca3,91.04512,34.75416,,7.9709,,,,-0.17722,3.59115,1.03402,ffe97243-b84d-4cef-9301-c5da5f38c173,2025-03-28,18:06:36.37,2025-03-28T14:06:36.3753984-04:00,2025-03-28T18:06:36.3753984Z,,v3,4866,5047,,"Stadler, Jake",802120,Right,IU,745766c7-e381-4d01-879e-bbb97481355a,54.1151,-133.11875,14.11164,5.63871,-1.96394,-8.32285,3.42037,-9.06991,7.99447,,-0.17722,-44.84291,-2.18977,2.396,-0.88168,0.26252,-0.07826,0.02875,-0.00871,3.59115,73.40666,-27.3087,3.46173,-0.62898,0.0693,0.04201,-0.0693,0.03759,1.03402,70.31362,-13.93177,3.80151,-0.90623,0.16066,0.02663,-0.08153,0.04698,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Undefined,,,
8,2025-03-28,14:06:53.56,2,5,"Kraft, Ryan",801993,Left,IU,"Hedges, Ethan",805260,Right,SOU_TRO,Undefined,1,Top,1,1,2,Curveball,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,73.36498,2.998039,0.088928,2765.958603,320.405917,4:45,5.57844,-3.66417,6.20614,-63.14728,-11.7756,11.05012,3.08584,-2.66124,67.4216,-8.638999,2.086081,0.515862,,,,,,,,,,,,-5.65504,-6.36583,3.65237,50,5.77301,-0.54245,-106.6088,3.73505,-6.48859,18.84337,-39.47819,IU,SOU_TRO,Bart Kaufman Field,D1,BIG10,20250328-Bart Kaufman Field-1,6e8bb120-0bff-11f0-84b5-6308c884eca3,73.06693,,,5.94338,,,,,,,ffe97243-b84d-4cef-9301-c5da5f38c173,2025-03-28,18:06:53.56,2025-03-28T14:06:53.5670784-04:00,2025-03-28T18:06:53.5670784Z,,v3,4866,5047,,"Stadler, Jake",802120,Right,IU,d79b3a2b-048d-4c4a-b70a-34f561e3bb83,54.29601,-107.36545,9.42168,5.59121,5.32027,-19.7391,3.66892,-0.28191,-3.24429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2025-03-28,14:07:10.87,2,6,"Kraft, Ryan",801993,Left,IU,"Hedges, Ethan",805260,Right,SOU_TRO,Undefined,1,Top,1,2,2,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,90.0989,-1.613339,4.469202,2012.986913,153.870149,11:15,5.62712,-3.55159,6.56178,-18.58903,15.14709,-6.89843,2.59406,-0.02087,82.29277,-5.161673,3.221368,0.418041,75.20605,35.463548,63.282432,4218.350124,41.25889,55.00854,101.96907,254.40688,122.83018,72.238434,3.728985,4.89725,8.74603,3.24606,50,5.5076,-9.94351,-130.60634,-4.19062,8.44643,27.88963,-17.0895,IU,SOU_TRO,Bart Kaufman Field,D1,BIG10,20250328-Bart Kaufman Field-1,78ad1360-0bff-11f0-84b5-6308c884eca3,90.16444,56.87269,,7.80613,,,,1.07825,2.7658,-0.10352,ffe97243-b84d-4cef-9301-c5da5f38c173,2025-03-28,18:07:10.87,2025-03-28T14:07:10.8759040-04:00,2025-03-28T18:07:10.8759040Z,FlyBall,v3,4866,5047,,"Stadler, Jake",802120,Right,IU,f85bebe1-ba2f-4fe3-a421-702052c5b809,53.9363,-131.44421,13.94481,5.62579,-3.67721,-8.54475,3.5486,-10.19726,4.22321,,1.07801,40.39952,-12.80424,4.01471,-1.0832,0.30324,-0.07527,0.01183,-0.00079,2.76649,63.97541,-20.87275,1.15281,0.16328,-0.16894,0.04992,-0.00664,0.00031,-0.10386,80.25848,-9.05839,2.6079,-0.71699,0.22426,-0.06027,0.00965,-0.00064,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Medium,Medium,,,
10,2025-03-28,14:07:29.34,2,7,"Kraft, Ryan",801993,Left,IU,"Hedges, Ethan",805260,Right,SOU_TRO,Undefined,1,Top,1,2,2,Sinker,Sinker,InPlay,Undefined,GroundBall,Single,0,0,,90.86523,-1.18562,4.167898,1904.814423,133.114481,10:30,5.76265,-3.43807,6.459,-21.30903,11.85575,-11.55564,2.89478,-0.56577,83.19179,-5.215069,2.078967,0.414486,89.01603,-49.77236,-6.439868,,,,,3.242,3.242,4.872507,0.028439,7.19209,6.84347,3.14803,50,5.66904,-9.14982,-131.8175,-3.36449,12.67601,27.57069,-20.11244,IU,SOU_TRO,Bart Kaufman Field,D1,BIG10,20250328-Bart Kaufman Field-1,83a94540-0bff-11f0-84b5-6308c884eca3,90.93776,2.84199,,7.67345,,,,0.84143,2.84199,0.54501,ffe97243-b84d-4cef-9301-c5da5f38c173,2025-03-28,18:07:29.34,2025-03-28T14:07:29.3455872-04:00,2025-03-28T18:07:29.3455872Z,GroundBall,v3,4866,5047,,"Stadler, Jake",802120,Right,IU,70e3da8a-e771-4dfa-b079-ff1ba247bcd3,54.03959,-132.65972,13.78534,5.76243,-2.7501,-10.05622,3.43345,-9.53704,6.33801,,0.84045,84.00041,,,,,,,,2.84316,-99.93442,,,,,,,,0.54512,-9.48135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Estimated,Estimated,,,
