PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-04-11,16:00:00.76,1,1,"DeSanto, Ryan",823756,Left,PEN_NIT,"Dowd, Brayden",804053,Left,SOU_TRO,Undefined,1,Top,0,0,0,FourSeamFastBall,Changeup,StrikeCalled,Undefined,Undefined,Undefined,0,0,,86.49852,-1.545877,5.51285,2314.473231,126.697443,10:15,5.82061,-4.18577,6.60847,-19.76005,17.13328,-21.23848,2.75105,-0.89044,78.26573,-5.35259,1.672344,0.437165,,,,,,,,,,,,12.76902,9.84044,3.8172,50,5.70645,-11.26892,-125.14059,-3.88058,20.07264,27.30194,-16.70511,PEN_NIT,SOU_TRO,LubranoPark,D1,BIG10,20250411-LubranoPark-1,8e2038b0-170f-11f0-bb48-a3b2a4f99b6d,86.22017,,,8.2328,,,,,,,375cd48d-49ab-4ae7-aba5-d31766aea653,2025-04-11,20:00:00.76,2025-04-11T16:00:00.7654912-04:00,2025-04-11T20:00:00.7654912Z,,v3,5326,5047,11 April 2025 00:00-usc@pennst,"Voss, Nate",702490,Right,PEN_NIT,4e531558-c322-4e35-a5ce-362b1f2c787a,53.88911,-125.98622,13.65097,5.81863,-3.36317,-8.35256,4.17586,-11.89064,10.03632,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2025-04-11,16:00:16.56,1,2,"DeSanto, Ryan",823756,Left,PEN_NIT,"Dowd, Brayden",804053,Left,SOU_TRO,Undefined,1,Top,0,0,1,Slider,Slider,InPlay,Undefined,GroundBall,Out,1,0,,75.98391,1.287623,4.332231,2297.903858,274.084439,3:15,5.33723,-4.4068,6.2453,-47.22357,0.99311,7.6617,2.59312,0.23492,69.57943,-7.452144,5.708737,0.49977,92.01626,4.197434,-4.612264,1482.011642,,,,84.73623,84.68964,-7.096755,0.673506,-2.70417,0.55492,4.0803,50,5.41007,-8.5997,-110.10932,1.14394,-3.29675,20.82324,-31.49752,PEN_NIT,SOU_TRO,LubranoPark,D1,BIG10,20250411-LubranoPark-1,978fd720-170f-11f0-bb48-a3b2a4f99b6d,75.4196,3.76966,,6.40448,,,,1.5427,2.63976,-0.24335,375cd48d-49ab-4ae7-aba5-d31766aea653,2025-04-11,20:00:16.56,2025-04-11T16:00:16.5685248-04:00,2025-04-11T20:00:16.5685248Z,GroundBall,v3,5326,5047,11 April 2025 00:00-usc@pennst,"Voss, Nate",702490,Right,PEN_NIT,572da091-8b22-4404-be15-62b713cc7de1,54.25381,-110.91086,10.41162,5.3427,2.35636,-15.74876,4.40888,-8.4728,-1.64838,62.970317,1.57175,133.57715,-16.48282,,,,,,,2.67201,9.23025,-19.66152,,,,,,,-0.21822,-11.33089,-5.82479,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
3,2025-04-11,16:00:56.84,2,1,"DeSanto, Ryan",823756,Left,PEN_NIT,"Hedges, Ethan",805260,Right,SOU_TRO,Undefined,1,Top,1,0,0,Curveball,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,69.82133,2.47548,-0.285854,2089.013182,318.480296,4:30,5.98025,-2.56027,6.08856,-74.52658,-16.69458,16.58993,2.06107,-1.4422,63.64266,-11.218548,2.712864,0.547338,,,,,,,,,,,,-8.60678,-8.75567,2.57394,50,6.133,-0.0434,-101.38431,2.25825,-8.77175,19.79252,-41.09754,PEN_NIT,SOU_TRO,LubranoPark,D1,BIG10,20250411-LubranoPark-1,afaffce0-170f-11f0-bb48-a3b2a4f99b6d,68.86504,,,6.17867,,,,,,,375cd48d-49ab-4ae7-aba5-d31766aea653,2025-04-11,20:00:56.84,2025-04-11T16:00:56.8483840-04:00,2025-04-11T20:00:56.8483840Z,,v3,5326,5047,11 April 2025 00:00-usc@pennst,"Voss, Nate",702490,Right,PEN_NIT,58860d3b-fc49-40ad-9e4d-00b81da42020,54.41466,-102.24252,9.89626,5.99644,4.04026,-20.54877,2.56758,0.33695,-4.38588,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2025-04-11,16:01:14.73,2,2,"DeSanto, Ryan",823756,Left,PEN_NIT,"Hedges, Ethan",805260,Right,SOU_TRO,Undefined,1,Top,1,1,0,FourSeamFastBall,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,86.48439,-1.880032,3.505322,2423.71453,131.412385,10:30,5.87021,-2.89304,6.73514,-18.74879,17.90836,-18.82021,2.5861,-1.25439,78.20121,-5.512854,0.079486,0.435763,,,,,,,,,,,,10.94044,10.40532,2.66783,50,5.73846,-6.96866,-125.41223,-4.5584,17.21643,28.18691,-15.79974,PEN_NIT,SOU_TRO,LubranoPark,D1,BIG10,20250411-LubranoPark-1,ba3cf230-170f-11f0-bb48-a3b2a4f99b6d,86.4975,,,8.28318,,,,,,,375cd48d-49ab-4ae7-aba5-d31766aea653,2025-04-11,20:01:14.73,2025-04-11T16:01:14.7325440-04:00,2025-04-11T20:01:14.7325440Z,,v3,5326,5047,11 April 2025 00:00-usc@pennst,"Voss, Nate",702490,Right,PEN_NIT,bd95b287-5a76-4feb-a040-f40f1d197d67,53.76096,-126.25469,14.09345,5.86765,-4.08617,-7.89987,2.8838,-7.48323,8.60822,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2025-04-11,16:01:34.39,2,3,"DeSanto, Ryan",823756,Left,PEN_NIT,"Hedges, Ethan",805260,Right,SOU_TRO,Undefined,1,Top,1,2,0,Curveball,Curveball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,70.40908,2.899014,0.946643,2153.046407,317.813972,4:30,5.99969,-2.61275,5.95467,-72.89122,-15.75052,16.07961,2.61656,-0.39481,64.15455,-10.468384,3.840925,0.544057,,,,,,,,,,,,-7.88178,-8.355,2.52885,50,6.19037,-2.23513,-102.16575,3.03703,-8.17255,19.80969,-40.83726,PEN_NIT,SOU_TRO,LubranoPark,D1,BIG10,20250411-LubranoPark-1,c62028b0-170f-11f0-bb48-a3b2a4f99b6d,69.28033,,,6.25452,,,,,,,375cd48d-49ab-4ae7-aba5-d31766aea653,2025-04-11,20:01:34.39,2025-04-11T16:01:34.3952384-04:00,2025-04-11T20:01:34.3952384Z,,v3,5326,5047,11 April 2025 00:00-usc@pennst,"Voss, Nate",702490,Right,PEN_NIT,9ded937d-d3e6-43ee-b40b-5bb5e769728d,54.54807,-103.04384,9.90485,6.01563,4.84719,-20.41863,2.61989,-1.87287,-4.08627,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2025-04-11,16:01:51.53,2,4,"DeSanto, Ryan",823756,Left,PEN_NIT,"Hedges, Ethan",805260,Right,SOU_TRO,Undefined,1,Top,1,2,1,FourSeamFastBall,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,88.91139,-2.986156,6.225659,2480.811298,129.543653,10:15,5.87708,-2.80342,6.40406,-17.51013,17.76288,-20.00891,1.65325,1.2765,80.63888,-6.352519,2.629234,0.427457,,,,,,,,,,,,12.22843,10.5002,2.36433,50,5.65357,-13.19843,-128.32431,-7.18478,20.26843,28.03907,-14.77014,PEN_NIT,SOU_TRO,LubranoPark,D1,BIG10,20250411-LubranoPark-1,d01f0ed0-170f-11f0-bb48-a3b2a4f99b6d,88.17825,,,8.27251,,,,,,,375cd48d-49ab-4ae7-aba5-d31766aea653,2025-04-11,20:01:51.53,2025-04-11T16:01:51.5304448-04:00,2025-04-11T20:01:51.5304448Z,,v3,5326,5047,11 April 2025 00:00-usc@pennst,"Voss, Nate",702490,Right,PEN_NIT,4b382b72-cec2-4f39-bea8-8e4f480a8882,54.09382,-129.21571,14.01953,5.87452,-6.71521,-7.38507,2.79418,-13.84279,10.13421,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2025-04-11,16:02:12.92,2,5,"DeSanto, Ryan",823756,Left,PEN_NIT,"Hedges, Ethan",805260,Right,SOU_TRO,Undefined,1,Top,1,3,1,Curveball,Curveball,InPlay,Undefined,LineDrive,Single,0,0,,70.65358,3.949731,1.056476,2152.622056,325.535201,4:45,5.9494,-2.56633,6.07538,-76.13654,-19.45505,14.72902,3.26567,-0.36128,64.10735,-10.047629,3.710575,0.541866,97.25962,12.658918,-4.466567,1582.274108,109.71357,11.33143,-7.92445,167.02498,167.02498,-4.196854,1.405949,-7.2402,-10.82753,2.47681,50,6.21519,-2.37576,-102.44187,4.88558,-7.5319,20.24466,-43.4378,PEN_NIT,SOU_TRO,LubranoPark,D1,BIG10,20250411-LubranoPark-1,dcf72ca0-170f-11f0-bb48-a3b2a4f99b6d,69.56044,12.61242,,6.54622,,,,1.6361,3.28056,0.35704,375cd48d-49ab-4ae7-aba5-d31766aea653,2025-04-11,20:02:12.92,2025-04-11T16:02:12.9249792-04:00,2025-04-11T20:02:12.9249792Z,LineDrive,v3,5326,5047,11 April 2025 00:00-usc@pennst,"Voss, Nate",702490,Right,PEN_NIT,1f5c5dcd-6c69-4850-a2b7-f1944dfc5db4,54.42866,-103.31336,10.12233,5.96463,6.75548,-21.7189,2.57211,-2.05153,-3.76595,357.641837,1.6361,138.75703,-17.68574,2.27347,-0.48252,0.08779,-0.01655,0.00295,-0.00029,3.28056,31.26066,-28.45408,4.2571,-0.97981,0.24111,-0.05165,0.00914,-0.00092,0.35704,-10.83895,1.72668,-0.36069,0.08457,-0.01979,0.00432,-0.00077,8E-05,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
8,2025-04-11,16:02:49.84,3,1,"DeSanto, Ryan",823756,Left,PEN_NIT,"Martin-Grudzielanek, Bryce",701727,Right,SOU_TRO,Undefined,1,Top,1,0,0,Curveball,Curveball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,69.94472,2.915857,1.650443,2116.460175,314.045812,4:30,5.962,-2.53895,6.17133,-72.68004,-15.09245,17.69501,2.60184,0.46039,63.66003,-10.46736,4.844634,0.54618,,,,,,,,,,,,-8.55355,-8.1478,2.40549,50,6.14698,-3.50223,-101.48153,3.13742,-8.72631,19.96732,-40.48641,PEN_NIT,SOU_TRO,LubranoPark,D1,BIG10,20250411-LubranoPark-1,f2ee30d0-170f-11f0-bb48-a3b2a4f99b6d,69.01102,,,6.28469,,,,,,,375cd48d-49ab-4ae7-aba5-d31766aea653,2025-04-11,20:02:49.84,2025-04-11T16:02:49.8446848-04:00,2025-04-11T20:02:49.8446848Z,,v3,5326,5047,11 April 2025 00:00-usc@pennst,"Voss, Nate",702490,Right,PEN_NIT,69a7ec95-a449-4c0a-8c38-96551e378327,54.3313,-102.3302,9.98366,5.97706,4.85821,-20.24321,2.54646,-3.13134,-4.36315,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2025-04-11,16:03:09.16,3,2,"DeSanto, Ryan",823756,Left,PEN_NIT,"Martin-Grudzielanek, Bryce",701727,Right,SOU_TRO,Undefined,1,Top,1,0,1,FourSeamFastBall,Four-Seam,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,88.90039,-2.254441,4.408386,2573.861849,141.203271,10:45,5.84127,-2.84169,6.40684,-13.70276,21.42911,-16.23052,2.61923,-0.13279,80.44473,-4.943055,1.478962,0.426601,,,,,,,,,,,,9.75028,12.19493,2.53236,50,5.67272,-9.2681,-128.70758,-5.37748,16.2132,28.88438,-11.89578,PEN_NIT,SOU_TRO,LubranoPark,D1,BIG10,20250411-LubranoPark-1,fe633c30-170f-11f0-bb48-a3b2a4f99b6d,88.35526,,,8.45566,,,,,,,375cd48d-49ab-4ae7-aba5-d31766aea653,2025-04-11,20:03:09.16,2025-04-11T16:03:09.1662336-04:00,2025-04-11T20:03:09.1662336Z,,v3,5326,5047,11 April 2025 00:00-usc@pennst,"Voss, Nate",702490,Right,PEN_NIT,29ed6a5d-3390-4051-9a9b-721e49450ff0,54.08977,-129.62215,14.44219,5.83703,-5.00082,-5.94789,2.83394,-9.78146,8.1066,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2025-04-11,16:03:29.75,3,3,"DeSanto, Ryan",823756,Left,PEN_NIT,"Martin-Grudzielanek, Bryce",701727,Right,SOU_TRO,Undefined,1,Top,1,0,2,FourSeamFastBall,Four-Seam,StrikeCalled,Strikeout,Undefined,Undefined,0,0,,89.47053,-1.402539,5.509828,2557.571438,128.472916,10:15,5.89389,-2.70554,6.58177,-16.25485,18.30139,-21.47761,3.24777,0.56965,80.75906,-4.565824,1.628579,0.423092,,,,,,,,,,,,12.83737,10.35709,2.33445,50,5.79004,-11.61888,-129.41981,-3.56403,21.56167,29.45691,-14.77828,PEN_NIT,SOU_TRO,LubranoPark,D1,BIG10,20250411-LubranoPark-1,0aaa3d90-1710-11f0-bb48-a3b2a4f99b6d,89.08807,,,8.71147,,,,,,,375cd48d-49ab-4ae7-aba5-d31766aea653,2025-04-11,20:03:29.75,2025-04-11T16:03:29.7532416-04:00,2025-04-11T20:03:29.7532416Z,,v3,5326,5047,11 April 2025 00:00-usc@pennst,"Voss, Nate",702490,Right,PEN_NIT,cbceaee6-3f2f-4a38-808c-2b4284e479db,53.915,-130.30785,14.72846,5.89077,-3.1185,-7.38914,2.69452,-12.2689,10.78083,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
11,2025-04-11,16:04:02.14,4,1,"DeSanto, Ryan",823756,Left,PEN_NIT,"Martinez, Maximo",1000072115,Right,SOU_TRO,Undefined,1,Top,2,0,0,Curveball,Curveball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,68.77411,3.39193,0.994366,2067.074033,322.490723,4:45,6.01628,-2.4298,6.3144,-76.14973,-17.31048,14.78883,2.79889,-0.2814,62.95714,-10.647288,3.673383,0.552084,,,,,,,,,,,,-7.33532,-9.42642,2.35051,50,6.22976,-2.199,-99.87493,3.8619,-7.29985,18.3011,-41.55487,PEN_NIT,SOU_TRO,LubranoPark,D1,BIG10,20250411-LubranoPark-1,1e142e40-1710-11f0-bb48-a3b2a4f99b6d,68.27305,,,5.81697,,,,,,,375cd48d-49ab-4ae7-aba5-d31766aea653,2025-04-11,20:04:02.14,2025-04-11T16:04:02.1497344-04:00,2025-04-11T20:04:02.1497344Z,,v3,5326,5047,11 April 2025 00:00-usc@pennst,"Voss, Nate",702490,Right,PEN_NIT,c703c04b-a9aa-47ba-8b8d-5221671eb1d8,54.19001,-100.63978,9.15055,6.03207,5.59858,-20.77744,2.43603,-1.89392,-3.64993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
12,2025-04-11,16:04:21.59,4,2,"DeSanto, Ryan",823756,Left,PEN_NIT,"Martinez, Maximo",1000072115,Right,SOU_TRO,Undefined,1,Top,2,0,1,FourSeamFastBall,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,87.40556,-0.830919,2.22986,2473.616512,132.360933,10:30,5.89908,-2.69374,6.82065,-17.08383,18.46721,-18.92564,3.71679,-2.23563,79.25403,-4.15909,-1.225237,0.429139,,,,,,,,,,,,10.61619,10.37067,2.55562,50,5.83862,-4.23231,-127.00171,-2.21925,17.18523,28.16587,-15.38626,PEN_NIT,SOU_TRO,LubranoPark,D1,BIG10,20250411-LubranoPark-1,29882830-1710-11f0-bb48-a3b2a4f99b6d,87.83279,,,8.15152,,,,,,,375cd48d-49ab-4ae7-aba5-d31766aea653,2025-04-11,20:04:21.59,2025-04-11T16:04:21.5909376-04:00,2025-04-11T20:04:21.5909376Z,,v3,5326,5047,11 April 2025 00:00-usc@pennst,"Voss, Nate",702490,Right,PEN_NIT,61d2409a-bba3-4826-9a2c-a4249bac5245,53.67602,-127.81436,14.08294,5.89625,-1.77532,-7.69313,2.68489,-4.72814,8.59261,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
13,2025-04-11,16:05:05.33,4,3,"DeSanto, Ryan",823756,Left,PEN_NIT,"Martinez, Maximo",1000072115,Right,SOU_TRO,Undefined,1,Top,2,1,1,FourSeamFastBall,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,86.51022,-1.62265,3.620576,2463.626928,141.97445,10:45,5.90955,-2.89199,6.4525,-14.88107,22.06663,-16.24497,3.17537,-0.91513,78.30107,-4.538668,0.681532,0.437487,72.84347,41.642698,165.154845,3078.042927,-105.78822,50.91782,30.14715,211.93741,92.44946,161.981235,3.109936,9.62123,12.42131,2.64242,50,5.7876,-7.32041,-125.43993,-3.88634,15.18158,27.66735,-12.57417,PEN_NIT,SOU_TRO,LubranoPark,D1,BIG10,20250411-LubranoPark-1,43b44a90-1710-11f0-bb48-a3b2a4f99b6d,86.15672,50.97082,,8.20915,,,,2.00589,3.25944,0.94531,375cd48d-49ab-4ae7-aba5-d31766aea653,2025-04-11,20:05:05.33,2025-04-11T16:05:05.3392896-04:00,2025-04-11T20:05:05.3392896Z,FlyBall,v3,5326,5047,11 April 2025 00:00-usc@pennst,"Voss, Nate",702490,Right,PEN_NIT,4b46a139-4626-4c57-8eda-24a043ccbd5a,54.04537,-126.32903,13.83367,5.906,-3.48226,-6.28708,2.88551,-7.80828,7.59079,354.897216,2.00642,-77.19594,3.31126,0.02923,0.36099,-0.34801,0.15401,-0.0323,0.00259,3.25949,70.99143,-30.846,4.25149,-1.08787,0.3523,-0.1133,0.02347,-0.00204,0.94559,20.44531,-1.82638,0.99352,-0.11175,-0.05861,0.03685,-0.00793,0.0006,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,
