PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-04-25,18:05:11.98,1,1,"Sperry, Joe",831058,Right,MIN_GOL,"Dowd, Brayden",804053,Left,SOU_TRO,Undefined,1,Top,0,0,0,Fastball,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,,90.90769,-1.043365,-3.927069,2418.781285,231.880535,1:45,5.39037,1.80961,5.44333,-22.70403,12.55064,14.24812,2.51905,-0.68577,81.25546,-5.306524,-1.398311,0.427346,,,,,,,,,,,,-8.44445,7.04973,-1.47198,50,5.28281,8.34452,-131.34815,-3.18841,-14.43556,33.39007,-20.12276,MIN_GOL,SOU_TRO,SiebertField,D1,BIG10,20250425-SiebertField-1,be1cd710-2229-11f0-beb8-db36389bd092,88.20122,,,9.65223,,,,,,,08200e6c-fb40-4121-ae3c-2063f7e71304,2025-04-25,23:05:11.98,2025-04-25T18:05:11.9840000-05:00,2025-04-25T23:05:11.9840000Z,,v3,471360,5047,,"Neels, Weber",809730,Right,MIN_GOL,5cd33ead-fac1-4aed-93f3-464f52a6adaf,55.05088,-132.62592,16.69504,5.39009,-2.41835,-10.06138,-1.80187,8.89694,-7.21778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2025-04-25,18:05:29.18,1,2,"Sperry, Joe",831058,Right,MIN_GOL,"Dowd, Brayden",804053,Left,SOU_TRO,Undefined,1,Top,0,0,1,ChangeUp,Changeup,InPlay,Undefined,FlyBall,Double,0,0,,86.38694,-0.754423,-2.779458,1896.198272,230.024761,1:45,5.29585,1.81772,5.28886,-25.82671,13.12072,13.93768,2.43434,0.36722,77.75834,-5.568428,-0.308304,0.44917,100.60998,21.845742,6.58753,1548.229004,109.1155,40.51991,13.92128,383.38956,382.10128,8.998249,4.296575,-7.91079,7.21685,-1.5752,50,5.20873,5.45731,-125.04979,-2.5379,-12.32274,29.04164,-20.93228,MIN_GOL,SOU_TRO,SiebertField,D1,BIG10,20250425-SiebertField-1,c8571880-2229-11f0-beb8-db36389bd092,83.91575,57.4581,,8.62861,,,,2.44068,2.537,-0.3775,08200e6c-fb40-4121-ae3c-2063f7e71304,2025-04-25,23:05:29.18,2025-04-25T18:05:29.1840000-05:00,2025-04-25T23:05:29.1840000Z,LineDrive,v3,471360,5047,,"Neels, Weber",809730,Right,MIN_GOL,7f03d4b0-f6f4-4740-9fb6-142bed7a0714,55.20827,-126.25357,14.52082,5.29595,-1.67026,-10.46614,-1.81199,5.96809,-6.16137,197.1294,2.43986,136.08402,-23.34546,5.56345,-1.32424,0.33373,-0.07372,0.01033,-0.00062,2.53892,54.85554,-13.94899,-0.38449,0.60775,-0.30875,0.08873,-0.01292,0.00074,-0.37741,15.70867,0.80221,-0.82621,0.27919,-0.06674,0.01147,-0.0012,6E-05,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
3,2025-04-25,18:06:15.12,2,1,"Sperry, Joe",831058,Right,MIN_GOL,"Hedges, Ethan",805260,Right,SOU_TRO,Undefined,1,Top,0,0,0,Slider,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,79.3945,2.867687,0.62519,2638.240018,79.831127,8:45,5.32396,1.83384,4.55683,-50.08723,-2.59685,-24.12277,3.88189,0.41867,71.40739,-6.184672,-3.597046,0.495991,,,,,,,,,,,,11.83229,-1.64028,-1.87485,50,5.57538,-0.16253,-114.79943,3.81244,15.50738,24.80242,-34.32382,MIN_GOL,SOU_TRO,SiebertField,D1,BIG10,20250425-SiebertField-1,e3b57950-2229-11f0-beb8-db36389bd092,75.99413,,,7.98711,,,,,,,08200e6c-fb40-4121-ae3c-2063f7e71304,2025-04-25,23:06:15.12,2025-04-25T18:06:15.1260000-05:00,2025-04-25T23:06:15.1260000Z,,v3,471360,5047,,"Neels, Weber",809730,Right,MIN_GOL,62818fb7-fb90-4133-b187-0f8108ac1907,55.94118,-116.07592,12.40121,5.33371,5.57897,-17.16191,-1.84594,-0.96064,7.75369,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2025-04-25,18:06:33.21,2,2,"Sperry, Joe",831058,Right,MIN_GOL,"Hedges, Ethan",805260,Right,SOU_TRO,Undefined,1,Top,0,1,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,90.29213,-1.889905,-2.362255,2515.368303,202.130352,12:45,5.42358,1.66219,5.55816,-22.24497,12.59579,4.65977,1.80194,-0.15781,82.43693,-6.02881,-1.531692,0.42483,,,,,,,,,,,,-3.02138,7.24804,-1.46117,50,5.24569,5.19097,-130.90167,-5.09256,-5.23135,28.17912,-19.62452,MIN_GOL,SOU_TRO,SiebertField,D1,BIG10,20250425-SiebertField-1,ee8480b0-2229-11f0-beb8-db36389bd092,88.72354,,,7.8552,,,,,,,08200e6c-fb40-4121-ae3c-2063f7e71304,2025-04-25,23:06:33.21,2025-04-25T18:06:33.2110000-05:00,2025-04-25T23:06:33.2110000Z,,v3,471360,5047,,"Neels, Weber",809730,Right,MIN_GOL,e31bd7e9-fdd9-40d3-84e7-a213d94507ab,54.93897,-131.9606,14.08956,5.4232,-4.3551,-9.81226,-1.65993,5.38756,-2.61567,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2025-04-25,18:06:51.24,2,3,"Sperry, Joe",831058,Right,MIN_GOL,"Hedges, Ethan",805260,Right,SOU_TRO,Undefined,1,Top,0,1,1,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,89.96058,-0.777324,-3.08061,2485.123438,202.040047,12:45,5.46297,1.61546,5.88096,-19.58225,15.07005,5.64839,3.10815,-0.77747,82.02527,-4.473463,-2.069285,0.42368,75.46353,53.536362,74.550205,5740.639161,11.34924,97.05872,109.4129,220.38621,79.44584,89.34952,4.822907,-3.78075,8.27666,-1.36986,50,5.38889,6.7852,-130.4973,-2.38599,-6.50527,28.02389,-17.93294,MIN_GOL,SOU_TRO,SiebertField,D1,BIG10,20250425-SiebertField-1,f9400010-2229-11f0-beb8-db36389bd092,88.96451,98.31912,,7.93531,,,,1.05911,3.66933,1.89739,08200e6c-fb40-4121-ae3c-2063f7e71304,2025-04-25,23:06:51.24,2025-04-25T18:06:51.2460000-05:00,2025-04-25T23:06:51.2460000Z,Popup,v3,471360,5047,,"Neels, Weber",809730,Right,MIN_GOL,7a1e0918-a295-46b8-9599-767831d090a1,54.6176,-131.48517,14.01195,5.46186,-1.75383,-8.96647,-1.61309,7.01452,-3.25263,,1.10631,16.52203,-6.0137,-4.06446,5.12166,-2.407,0.57603,-0.06861,0.00322,3.66442,89.15384,-25.83933,4.25625,-2.01882,0.86422,-0.23176,0.03272,-0.00185,1.89881,63.40091,-6.95596,1.64428,-0.77331,0.40738,-0.13074,0.0208,-0.00127,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Medium,Low,,,
6,2025-04-25,18:07:13.24,2,4,"Sperry, Joe",831058,Right,MIN_GOL,"Hedges, Ethan",805260,Right,SOU_TRO,Undefined,1,Top,0,1,2,Slider,Curveball,InPlay,Undefined,Popup,Out,1,0,,78.16631,1.664478,0.497029,2575.256747,70.732394,8:15,5.28603,1.80072,4.8367,-56.5942,-6.85103,-25.91545,2.14644,0.11175,68.87966,-8.635595,-4.070654,0.507619,81.02935,66.196668,-30.066717,,,,,98.20412,52.7041,-32.065667,5.704743,13.0004,-3.52382,-1.82598,50,5.40252,0.12614,-112.85477,1.20635,15.97573,29.53635,-36.50436,MIN_GOL,SOU_TRO,SiebertField,D1,BIG10,20250425-SiebertField-1,06707710-222a-11f0-beb8-db36389bd092,74.25335,136.219,,9.28665,,,,2.553,2.45182,-0.24832,08200e6c-fb40-4121-ae3c-2063f7e71304,2025-04-25,23:07:13.24,2025-04-25T18:07:13.2450000-05:00,2025-04-25T23:07:13.2450000Z,Popup,v3,471360,5047,,"Neels, Weber",809730,Right,MIN_GOL,189d410b-0c19-4677-bbdd-f0f16fce7cbe,55.66025,-114.32657,14.76818,5.29709,3.02537,-18.25218,-1.81243,-0.66993,7.98786,178.658326,2.54628,41.61441,-18.06669,6.501,-1.8119,0.39884,-0.05998,0.00511,-0.00018,2.43003,109.14477,-29.13351,5.26496,-2.13371,0.74204,-0.15869,0.01763,-0.00078,-0.24537,-24.07327,9.57242,-3.31617,0.87409,-0.17892,0.02483,-0.00193,6E-05,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Low,,,
7,2025-04-25,18:07:54.89,3,1,"Sperry, Joe",831058,Right,MIN_GOL,"Martin-Grudzielanek, Bryce",701727,Right,SOU_TRO,Undefined,1,Top,1,0,0,Cutter,Cutter,StrikeCalled,Undefined,Undefined,Undefined,0,0,,88.34777,-0.86687,-0.808782,2516.002047,177.315346,12:00,5.39564,1.66687,5.63597,-24.61596,11.76237,-0.4939,2.53543,0.87111,80.27162,-5.4605,-0.89703,0.434103,,,,,,,,,,,,0.00764,6.58855,-1.59779,50,5.30643,1.83105,-128.17836,-2.7721,0.01263,28.3238,-21.29392,MIN_GOL,SOU_TRO,SiebertField,D1,BIG10,20250425-SiebertField-1,1f3b5bc0-222a-11f0-beb8-db36389bd092,86.82832,,,8.07615,,,,,,,08200e6c-fb40-4121-ae3c-2063f7e71304,2025-04-25,23:07:54.89,2025-04-25T18:07:54.8980000-05:00,2025-04-25T23:07:54.8980000Z,,v3,471360,5047,,"Neels, Weber",809730,Right,MIN_GOL,9c210571-f670-4b07-b296-1cbd578eac22,54.86046,-129.24792,14.1619,5.39593,-1.968,-10.64696,-1.66692,1.83057,0.00632,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2025-04-25,18:08:14.35,3,2,"Sperry, Joe",831058,Right,MIN_GOL,"Martin-Grudzielanek, Bryce",701727,Right,SOU_TRO,Undefined,1,Top,1,0,1,Fastball,Cutter,BallCalled,Undefined,Undefined,Undefined,0,0,,88.3434,0.521738,-0.707883,2495.187867,182.689025,12:00,5.5037,1.687,5.58137,-22.03395,14.52158,0.62287,4.15485,1.07779,79.84503,-3.627353,-0.596762,0.435159,,,,,,,,,,,,-0.52969,7.5439,-1.62656,50,5.53447,1.55505,-128.11258,0.44727,-0.87163,28.90502,-19.75999,MIN_GOL,SOU_TRO,SiebertField,D1,BIG10,20250425-SiebertField-1,2ad0e770-222a-11f0-beb8-db36389bd092,86.61764,,,8.49838,,,,,,,08200e6c-fb40-4121-ae3c-2063f7e71304,2025-04-25,23:08:14.35,2025-04-25T18:08:14.3540000-05:00,2025-04-25T23:08:14.3540000Z,,v3,471360,5047,,"Neels, Weber",809730,Right,MIN_GOL,d60659cc-8839-4829-8ef9-0ccf453dd18c,54.9135,-129.21642,14.45251,5.50298,1.20187,-9.88,-1.68658,1.58833,-0.43582,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2025-04-25,18:08:32.22,3,3,"Sperry, Joe",831058,Right,MIN_GOL,"Martin-Grudzielanek, Bryce",701727,Right,SOU_TRO,Undefined,1,Top,1,1,1,Fastball,Cutter,InPlay,Undefined,GroundBall,Out,1,0,,88.80605,-0.48091,-3.054636,2555.42644,186.326406,12:15,5.43886,1.55913,5.64175,-24.21651,12.0056,1.19067,2.97155,-1.19386,80.32134,-5.01006,-2.842433,0.43317,66.4489,-5.57431,31.937776,5381.184238,,,,23.5108,23.5108,28.607158,0.219824,-1.56866,6.60575,-1.30032,50,5.38277,6.81517,-128.66409,-1.89555,-2.59717,29.76242,-21.23708,MIN_GOL,SOU_TRO,SiebertField,D1,BIG10,20250425-SiebertField-1,357f4770-222a-11f0-beb8-db36389bd092,87.01536,3.02965,,8.48472,,,,2.95513,3.02965,0.99162,08200e6c-fb40-4121-ae3c-2063f7e71304,2025-04-25,23:08:32.22,2025-04-25T18:08:32.2250000-05:00,2025-04-25T23:08:32.2250000Z,GroundBall,v3,471360,5047,,"Neels, Weber",809730,Right,MIN_GOL,f4af3d74-cda1-410f-ad5c-5d484f111baa,54.85626,-129.78257,14.88121,5.43901,-1.09746,-10.61854,-1.55827,6.91277,-1.29858,72.521131,2.95484,82.33223,-8.53661,,,,,,,3.03135,-9.56946,-19.23303,,,,,,,0.99396,51.16989,-20.43752,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Medium,Medium,,,
10,2025-04-25,18:09:12.42,4,1,"Sperry, Joe",831058,Right,MIN_GOL,"Lopez, Adrian",1000369807,Right,SOU_TRO,Undefined,1,Top,2,0,0,Fastball,Cutter,StrikeCalled,Undefined,Undefined,Undefined,0,0,,88.6185,-0.113125,-1.119843,2460.174423,178.468781,12:00,5.43598,1.70115,5.58917,-23.34375,12.64036,-0.30748,3.38501,0.62973,80.92328,-4.46771,-1.174706,0.431744,,,,,,,,,,,,-0.1572,6.773,-1.60483,50,5.41123,2.52827,-128.64556,-1.0458,-0.26341,26.74752,-20.82643,MIN_GOL,SOU_TRO,SiebertField,D1,BIG10,20250425-SiebertField-1,4d8c0c40-222a-11f0-beb8-db36389bd092,87.30266,,,7.69522,,,,,,,08200e6c-fb40-4121-ae3c-2063f7e71304,2025-04-25,23:09:12.42,2025-04-25T18:09:12.4230000-05:00,2025-04-25T23:09:12.4230000Z,,v3,471360,5047,,"Neels, Weber",809730,Right,MIN_GOL,ab5fa2a7-3435-4307-921b-7abef998e5a5,54.90751,-129.66189,13.37376,5.43593,-0.25445,-10.41322,-1.70109,2.53828,-0.13171,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
