PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-05-02,15:13:56.53,1,1,"Bell, Sam",1000270434,Right,UMBC_RET,"Doyle, Michael",1000103068,Right,NJI_HIG,Undefined,2,Top,0,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,88.59307,-1.148784,-1.086341,2249.476296,205.172409,12:45,6.09925,1.10052,5.75629,-18.20308,17.49284,7.69752,3.51266,0.73066,81.09649,-4.588958,0.291691,0.430012,,,,,,,,,,,,-4.20481,9.55579,-1.01513,50,5.99296,2.10916,-128.6626,-3.13392,-7.06339,26.1618,-16.12184,UMBC_RET,NJI_HIG,AlumniField,D1,AMEAST,20250502-AlumniField-1,98310e80-2789-11f0-a21f-d922dbf6e704,87.65438,,,7.49658,,,,,,,f5f26bf7-a9e9-4262-a5b9-9e6fa28b6eee,2025-05-02,19:13:56.53,2025-05-02T15:13:56.5300000-04:00,2025-05-02T19:13:56.5300000Z,,v3,471348,471378,02 May 2025 18:00-njtech@umbc,"Paris, Derek",810031,Right,UMBC_RET,cd56be12-c8ea-4997-b599-99b453f11fda,54.74084,-129.623,13.0809,6.09714,-2.54209,-8.06092,-1.09732,2.36846,-3.5317,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2025-05-02,15:14:17.52,1,2,"Bell, Sam",1000270434,Right,UMBC_RET,"Doyle, Michael",1000103068,Right,NJI_HIG,Undefined,2,Top,0,1,0,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,90.21643,-2.49238,-1.237369,2217.243343,217.433036,1:15,6.09924,1.30282,5.45035,-19.11607,15.7367,11.20981,2.17091,1.0784,82.75696,-6.05701,0.758767,0.424903,,,,,,,,,,,,-6.01807,8.9476,-1.20172,50,5.86626,2.33152,-130.90069,-6.3479,-10.46793,26.98802,-16.61048,UMBC_RET,NJI_HIG,AlumniField,D1,AMEAST,20250502-AlumniField-1,a49f6e00-2789-11f0-a21f-d922dbf6e704,88.70825,,,7.45947,,,,,,,f5f26bf7-a9e9-4262-a5b9-9e6fa28b6eee,2025-05-02,19:14:17.52,2025-05-02T15:14:17.5240000-04:00,2025-05-02T19:14:17.5240000Z,,v3,471348,471378,02 May 2025 18:00-njtech@umbc,"Paris, Derek",810031,Right,UMBC_RET,ac9d094c-7377-47de-a31a-d574ecd35a3a,55.04867,-131.93748,13.49401,6.09787,-5.70978,-8.30524,-1.29901,2.73366,-5.23396,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2025-05-02,15:15:19.17,1,3,"Bell, Sam",1000270434,Right,UMBC_RET,"Doyle, Michael",1000103068,Right,NJI_HIG,Undefined,2,Top,0,1,2,Slider,Slider,StrikeSwinging,Strikeout,Undefined,Undefined,1,0,,82.90468,-0.800404,-1.533563,2301.475185,105.83303,9:30,6.05642,1.20227,4.9907,-38.82604,3.39555,-7.14256,2.06486,-0.84128,75.91852,-7.838809,-2.795199,0.467669,,,,,,,,,,,,3.09933,2.31669,-1.04851,50,5.94788,3.52841,-120.20356,-3.12955,4.5158,24.20319,-28.79857,UMBC_RET,NJI_HIG,AlumniField,D1,AMEAST,20250502-AlumniField-1,c9530770-2789-11f0-a21f-d922dbf6e704,80.59638,,,6.98615,,,,,,,f5f26bf7-a9e9-4262-a5b9-9e6fa28b6eee,2025-05-02,19:15:19.17,2025-05-02T15:15:19.1740000-04:00,2025-05-02T19:15:19.1740000Z,,v3,471348,471378,02 May 2025 18:00-njtech@umbc,"Paris, Derek",810031,Right,UMBC_RET,67e800a2-a1ab-4a69-96a7-06d0ac38f965,55.50715,-121.30737,12.1016,6.06066,-1.81617,-14.39929,-1.20473,3.32246,2.2579,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2025-05-02,15:15:57.47,2,1,"Bell, Sam",1000270434,Right,UMBC_RET,"Eppinger, Andrew",1000121051,Right,NJI_HIG,Undefined,2,Top,1,0,0,Slider,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,81.31791,-0.486569,-2.641571,2348.470544,66.512445,8:15,6.02121,1.24463,4.80888,-45.1153,-1.13102,-5.67811,1.80013,-1.73287,75.02047,-8.585035,-3.640235,0.477332,,,,,,,,,,,,2.0865,-0.05102,-0.97657,50,5.9335,5.68317,-117.89819,-2.71769,2.94172,22.06201,-32.24596,UMBC_RET,NJI_HIG,AlumniField,D1,AMEAST,20250502-AlumniField-1,e0475760-2789-11f0-a21f-d922dbf6e704,78.96488,,,6.29744,,,,,,,f5f26bf7-a9e9-4262-a5b9-9e6fa28b6eee,2025-05-02,19:15:57.47,2025-05-02T15:15:57.4780000-04:00,2025-05-02T19:15:57.4780000Z,,v3,471348,471378,02 May 2025 18:00-njtech@umbc,"Paris, Derek",810031,Right,UMBC_RET,2470c1d8-c5dd-4f41-999d-fd274abb4f53,55.69083,-118.95833,11.03101,6.02686,-1.16818,-16.12298,-1.24627,5.54181,1.47086,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2025-05-02,15:16:15.67,2,2,"Bell, Sam",1000270434,Right,UMBC_RET,"Eppinger, Andrew",1000121051,Right,NJI_HIG,Undefined,2,Top,1,1,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,88.96745,-0.788915,-0.696611,2084.040978,205.453849,12:45,6.10347,1.04132,5.40423,-16.31233,19.82292,8.85827,4.00481,1.12676,80.75747,-3.893224,0.878751,0.43265,,,,,,,,,,,,-4.6374,10.53583,-0.98561,50,6.02223,1.16663,-129.0515,-2.27239,-7.77725,28.24779,-14.50479,UMBC_RET,NJI_HIG,AlumniField,D1,AMEAST,20250502-AlumniField-1,eaf4a5f0-2789-11f0-a21f-d922dbf6e704,87.11989,,,8.20998,,,,,,,f5f26bf7-a9e9-4262-a5b9-9e6fa28b6eee,2025-05-02,19:16:15.67,2025-05-02T15:16:15.6760000-04:00,2025-05-02T19:16:15.6760000Z,,v3,471348,471378,02 May 2025 18:00-njtech@umbc,"Paris, Derek",810031,Right,UMBC_RET,fcf01699-597a-4408-954a-0f8ba02c6a73,55.09158,-130.16122,14.12389,6.10031,-1.70257,-7.2524,-1.03745,1.47216,-3.88863,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2025-05-02,15:16:32.37,2,3,"Bell, Sam",1000270434,Right,UMBC_RET,"Eppinger, Andrew",1000121051,Right,NJI_HIG,Undefined,2,Top,1,2,0,Slider,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,80.52345,1.944179,-0.564765,2291.666015,16.377232,6:30,6.01815,1.19174,4.86345,-50.21857,-5.10819,-1.94323,3.67408,0.49528,73.28197,-7.133574,-0.90719,0.483403,,,,,,,,,,,,0.7835,-2.60622,-1.13439,50,6.16703,1.23523,-116.6885,2.04583,1.07254,23.42399,-35.74175,UMBC_RET,NJI_HIG,AlumniField,D1,AMEAST,20250502-AlumniField-1,f4f70e80-2789-11f0-a21f-d922dbf6e704,77.97308,,,7.24149,,,,,,,f5f26bf7-a9e9-4262-a5b9-9e6fa28b6eee,2025-05-02,19:16:32.37,2025-05-02T15:16:32.3780000-04:00,2025-05-02T19:16:32.3780000Z,,v3,471348,471378,02 May 2025 18:00-njtech@umbc,"Paris, Derek",810031,Right,UMBC_RET,99fb8de9-3fa1-4944-808e-d8b8e16099e4,55.63453,-117.81414,11.712,6.02745,3.7634,-17.87088,-1.19251,1.18368,0.53627,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2025-05-02,15:16:49.55,2,4,"Bell, Sam",1000270434,Right,UMBC_RET,"Eppinger, Andrew",1000121051,Right,NJI_HIG,Undefined,2,Top,1,3,0,Fastball,Sinker,BallCalled,Walk,Undefined,Undefined,0,0,,89.35549,-2.182274,-0.878165,2185.655889,222.526966,1:30,6.08424,1.0124,5.83829,-20.81509,14.02816,11.91485,2.32021,1.18906,82.35039,-6.06748,1.259548,0.424845,,,,,,,,,,,,-6.34315,8.06705,-0.948,50,5.89408,1.49193,-129.82209,-5.62099,-10.8959,25.52047,-18.31698,UMBC_RET,NJI_HIG,AlumniField,D1,AMEAST,20250502-AlumniField-1,ff47be20-2789-11f0-a21f-d922dbf6e704,88.72042,,,7.00509,,,,,,,f5f26bf7-a9e9-4262-a5b9-9e6fa28b6eee,2025-05-02,19:16:49.55,2025-05-02T15:16:49.5500000-04:00,2025-05-02T19:16:49.5500000Z,,v3,471348,471378,02 May 2025 18:00-njtech@umbc,"Paris, Derek",810031,Right,UMBC_RET,0b0eaadf-d6ce-4c63-bbce-1a7935930d17,54.66105,-130.73515,12.76023,6.08346,-4.96565,-9.15849,-1.00835,1.88176,-5.44795,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2025-05-02,15:18:12.81,3,1,"Bell, Sam",1000270434,Right,UMBC_RET,"Stead, Jack",10109332,Right,NJI_HIG,Undefined,2,Top,1,0,0,Slider,Slider,StrikeCalled,Undefined,Undefined,Undefined,0,0,,81.20928,-0.136289,-1.229044,2199.893606,31.306162,7:00,6.03945,1.33138,4.86759,-46.84042,-2.7304,-2.5139,2.00707,-0.0414,74.55689,-8.572688,-1.672541,0.478013,,,,,,,,,,,,0.89504,-0.93602,-1.20814,50,5.98599,2.63473,-117.80263,-2.05187,1.2542,22.97477,-33.48564,UMBC_RET,NJI_HIG,AlumniField,D1,AMEAST,20250502-AlumniField-1,30e7e7c0-278a-11f0-a21f-d922dbf6e704,78.85227,,,6.65238,,,,,,,f5f26bf7-a9e9-4262-a5b9-9e6fa28b6eee,2025-05-02,19:18:12.81,2025-05-02T15:18:12.8100000-04:00,2025-05-02T19:18:12.8100000Z,,v3,471348,471378,02 May 2025 18:00-njtech@umbc,"Paris, Derek",810031,Right,UMBC_RET,afede952-358b-48db-adc6-6bee9fcbd043,55.632,-118.89595,11.48739,6.04572,-0.45836,-16.74282,-1.3321,2.57504,0.6271,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2025-05-02,15:18:26.77,3,2,"Bell, Sam",1000270434,Right,UMBC_RET,"Stead, Jack",10109332,Right,NJI_HIG,Undefined,2,Top,1,0,1,Slider,Curveball,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,80.5353,-0.048275,-0.647516,2324.435398,359.762194,6:00,5.94659,1.50196,4.74437,-50.57892,-5.31575,0.02831,1.68589,0.89012,73.65891,-9.135034,-0.642528,0.484221,,,,,,,,,,,,-0.20937,-2.24165,-1.43687,50,5.89656,1.31852,-116.77229,-2.02906,-0.28675,23.67275,-35.24387,UMBC_RET,NJI_HIG,AlumniField,D1,AMEAST,20250502-AlumniField-1,3933c6b0-278a-11f0-a21f-d922dbf6e704,77.84134,,,6.87639,,,,,,,f5f26bf7-a9e9-4262-a5b9-9e6fa28b6eee,2025-05-02,19:18:26.77,2025-05-02T15:18:26.7730000-04:00,2025-05-02T19:18:26.7730000Z,,v3,471348,471378,02 May 2025 18:00-njtech@umbc,"Paris, Derek",810031,Right,UMBC_RET,65661de1-e9ce-431b-848e-ad381eec490d,55.75551,-117.93331,11.83638,5.95368,-0.30054,-17.62194,-1.50188,1.33259,-0.14337,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2025-05-02,15:18:46.47,3,3,"Bell, Sam",1000270434,Right,UMBC_RET,"Stead, Jack",10109332,Right,NJI_HIG,Undefined,2,Top,1,0,2,Splitter,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,83.38161,-2.955595,-2.958033,1684.876817,230.828566,1:45,6.07519,1.00753,5.38462,-28.30608,13.2952,14.47272,0.93984,-0.56152,75.66609,-8.188679,-0.385232,0.464221,,,,,,,,,,,,-8.26071,8.03973,-0.75371,50,5.79085,5.63353,-120.61526,-7.17469,-12.01804,26.17899,-20.47748,UMBC_RET,NJI_HIG,AlumniField,D1,AMEAST,20250502-AlumniField-1,44ebce80-278a-11f0-a21f-d922dbf6e704,81.19506,,,7.71552,,,,,,,f5f26bf7-a9e9-4262-a5b9-9e6fa28b6eee,2025-05-02,19:18:46.47,2025-05-02T15:18:46.4750000-04:00,2025-05-02T19:18:46.4750000Z,,v3,471348,471378,02 May 2025 18:00-njtech@umbc,"Paris, Derek",810031,Right,UMBC_RET,24973921-2dec-4ca4-b210-0cccf2c1a835,55.11321,-121.72,13.0895,6.07538,-6.31055,-10.23874,-1.00214,6.14069,-6.00902,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
