PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-05-02,20:44:26.88,1,1,"Jones, Austin",1000292402,,CEN_BEA,"Ott, Colby",1000128636,Right,EKU_COL,Undefined,7,Bottom,0,0,0,Undefined,Slider,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,83.85247,-1.834472,-1.09158,2321.336619,135.266784,10:30,6.3372,1.29957,4.9177,-37.194,4.32658,-2.90473,1.50232,0.02531,76.64354,-8.567468,-1.604546,0.46377,,,,,,,,,,,,1.11473,3.0824,-1.19052,50,6.1273,2.44315,-121.49277,-5.30156,1.65455,25.347,-27.59888,EKU_COL,CEN_BEA,EarleCombsStadium,D1,ASUN,20250502-EarleCombsStadium-2,c4683ef0-27b7-11f0-8d20-a371d508c238,81.2739,,,7.20893,,,,,,,0d2c49a7-f9b5-441a-932d-5c652e18a6c1,2025-05-03,00:44:26.88,2025-05-02T20:44:26.8830000-04:00,2025-05-03T00:44:26.8830000Z,,v3,471288,471500,,"Alexander, Carter",10148657,Right,CEN_BEA,5fc06e3a-e5a4-495a-bbb0-0139361a95cb,55.58043,-122.65148,12.6735,6.34082,-4.0399,-13.79944,-1.30047,2.36751,0.82727,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2025-05-02,20:44:43.54,1,2,"Jones, Austin",1000292402,,CEN_BEA,"Ott, Colby",1000128636,Right,EKU_COL,Undefined,7,Bottom,0,0,1,Undefined,Slider,InPlay,Undefined,LineDrive,Double,0,0,,85.14253,-1.298399,-1.889778,2342.299771,153.69616,11:00,6.18357,1.54435,4.83402,-35.47699,4.62953,-1.66866,1.99676,-0.38487,78.24834,-7.708344,-2.183618,0.455805,91.82063,18.460227,-16.458711,1246.758619,105.49673,29.17379,-31.15015,310.78831,301.74607,-17.801859,3.180532,0.3085,2.96764,-1.35565,50,6.02444,4.1473,-123.45628,-4.17315,0.47634,24.47126,-27.59183,EKU_COL,CEN_BEA,EarleCombsStadium,D1,ASUN,20250502-EarleCombsStadium-2,ce59dea0-27b7-11f0-8d20-a371d508c238,82.69422,33.72736,,6.8942,,,,2.34207,2.11836,0.34415,0d2c49a7-f9b5-441a-932d-5c652e18a6c1,2025-05-03,00:44:43.54,2025-05-02T20:44:43.5490000-04:00,2025-05-03T00:44:43.5490000Z,LineDrive,v3,471288,471500,,"Alexander, Carter",10148657,Right,CEN_BEA,9e22fce7-6252-43bb-b463-d5626cb66209,55.66613,-124.57434,12.23563,6.18631,-2.91251,-13.79592,-1.54464,4.12553,0.23817,167.679705,2.34219,122.50166,-15.79004,3.20815,-0.53267,0.02606,0.0205,-0.00663,0.00068,2.11824,42.6472,-15.33432,0.82889,-0.2283,0.10964,-0.04194,0.0093,-0.00084,0.34413,-36.19114,3.29584,-0.69277,0.12192,-0.0098,-0.00294,0.00113,-0.00012,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
3,2025-05-02,20:45:33.13,2,1,"Jones, Austin",1000292402,,CEN_BEA,"Adrianza, Ehinger",1000329525,Left,EKU_COL,Undefined,7,Bottom,0,0,0,Undefined,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,89.16575,-4.109847,-1.219598,2338.781728,183.59708,12:00,6.36286,1.6744,5.30741,-12.80686,23.54635,1.39949,1.43026,0.64604,80.95294,-6.570446,-0.97124,0.433953,,,,,,,,,,,,-1.06835,13.4165,-1.56478,50,5.98065,2.6825,-128.97237,-9.62244,-1.78598,28.70256,-9.74549,EKU_COL,CEN_BEA,EarleCombsStadium,D1,ASUN,20250502-EarleCombsStadium-2,ebe77b80-27b7-11f0-8d20-a371d508c238,86.85833,,,8.21281,,,,,,,0d2c49a7-f9b5-441a-932d-5c652e18a6c1,2025-05-03,00:45:33.13,2025-05-02T20:45:33.1380000-04:00,2025-05-03T00:45:33.1380000Z,,v3,471288,471500,,"Alexander, Carter",10148657,Right,CEN_BEA,4f6d655e-1d33-4101-8035-19cd109174c4,55.18995,-130.12226,14.35128,6.35832,-9.23201,-4.87274,-1.67368,2.75405,-0.89299,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2025-05-02,20:45:47.80,2,2,"Jones, Austin",1000292402,,CEN_BEA,"Adrianza, Ehinger",1000329525,Left,EKU_COL,Undefined,7,Bottom,0,1,0,Undefined,Four-Seam,InPlay,Undefined,LineDrive,Out,1,0,,87.75475,-2.079013,-1.659637,2305.805077,191.701956,12:30,6.23547,1.62097,5.46499,-16.58969,20.53682,3.9917,2.90551,0.39986,79.74047,-5.2322,-0.949265,0.438544,89.6262,3.556023,28.334392,2581.506522,,,,76.3607,60.90639,28.926318,0.618858,-2.51307,11.35536,-1.47775,50,6.04157,3.51242,-127.20687,-5.11774,-4.09186,27.63092,-13.685,EKU_COL,CEN_BEA,EarleCombsStadium,D1,ASUN,20250502-EarleCombsStadium-2,f4a50800-27b7-11f0-8d20-a371d508c238,85.94898,3.64163,,8.01428,,,,1.98851,2.88074,-0.48717,0d2c49a7-f9b5-441a-932d-5c652e18a6c1,2025-05-03,00:45:47.80,2025-05-02T20:45:47.8010000-04:00,2025-05-03T00:45:47.8010000Z,GroundBall,v3,471288,471500,,"Alexander, Carter",10148657,Right,CEN_BEA,28575176-ecef-4518-9743-fc1074bf669c,55.03292,-128.29542,13.81546,6.23257,-4.57861,-6.8425,-1.6193,3.67363,-2.04593,303.366005,2.01565,114.88737,-16.46486,,,,,,,2.90723,7.57491,-19.89577,,,,,,,-0.49023,62.33733,-3.00422,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,
5,2025-05-02,20:46:33.00,3,1,"Jones, Austin",1000292402,,CEN_BEA,"Nunnally, Tait",10117953,Left,EKU_COL,Undefined,7,Bottom,1,0,0,Undefined,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,89.11593,-1.234315,-1.641645,2328.836878,179.127926,12:00,6.41841,1.11229,5.43698,-15.24875,21.26674,-0.3026,3.99119,-0.45062,79.8087,-4.179868,-1.695448,0.434921,,,,,,,,,,,,-0.4002,11.46233,-0.96677,50,6.29916,3.71073,-128.98527,-3.20374,-0.66094,31.74972,-13.24339,EKU_COL,CEN_BEA,EarleCombsStadium,D1,ASUN,20250502-EarleCombsStadium-2,0f7afef0-27b8-11f0-8d20-a371d508c238,86.66512,,,9.30723,,,,,,,0d2c49a7-f9b5-441a-932d-5c652e18a6c1,2025-05-03,00:46:33.00,2025-05-02T20:46:33.0020000-04:00,2025-05-03T00:46:33.0020000Z,,v3,471288,471500,,"Alexander, Carter",10148657,Right,CEN_BEA,e8ee3096-db54-4451-b02f-764567b89f01,55.05622,-130.22391,15.87486,6.41407,-2.68708,-6.6217,-1.11204,3.73651,-0.33047,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2025-05-02,20:46:51.87,3,2,"Jones, Austin",1000292402,,CEN_BEA,"Nunnally, Tait",10117953,Left,EKU_COL,Undefined,7,Bottom,1,1,0,Undefined,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,84.99693,0.781205,-2.447208,2223.12185,170.546883,11:45,6.32995,1.50767,4.76309,-34.3001,6.43067,-0.84039,4.21306,-0.88418,77.0958,-5.466733,-2.594698,0.459338,,,,,,,,,,,,-0.32374,3.33709,-1.26143,50,6.37866,5.29715,-123.03155,0.3475,-0.49242,26.14541,-27.09809,EKU_COL,CEN_BEA,EarleCombsStadium,D1,ASUN,20250502-EarleCombsStadium-2,1abbdaf0-27b8-11f0-8d20-a371d508c238,82.05813,,,7.90113,,,,,,,0d2c49a7-f9b5-441a-932d-5c652e18a6c1,2025-05-03,00:46:51.87,2025-05-02T20:46:51.8720000-04:00,2025-05-03T00:46:51.8720000Z,,v3,471288,471500,,"Alexander, Carter",10148657,Right,CEN_BEA,edf35661-d116-4752-9d04-eb68d3905857,55.73314,-124.24392,13.07271,6.33342,1.60406,-13.54905,-1.50759,5.31998,-0.24621,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2025-05-02,20:47:12.04,3,3,"Jones, Austin",1000292402,,CEN_BEA,"Nunnally, Tait",10117953,Left,EKU_COL,Undefined,7,Bottom,1,2,0,Undefined,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,88.58786,-1.5022,-0.179995,2214.668069,185.940039,12:15,6.44037,1.30355,5.53432,-13.77678,22.76226,2.23146,3.88784,1.32126,79.87261,-4.177252,0.217801,0.435061,,,,,,,,,,,,-1.1737,12.30158,-1.28941,50,6.30116,0.30234,-128.38475,-3.72076,-1.9341,29.72589,-11.90265,EKU_COL,CEN_BEA,EarleCombsStadium,D1,ASUN,20250502-EarleCombsStadium-2,26c0f150-27b8-11f0-8d20-a371d508c238,86.63718,,,8.71525,,,,,,,0d2c49a7-f9b5-441a-932d-5c652e18a6c1,2025-05-03,00:47:12.04,2025-05-02T20:47:12.0430000-04:00,2025-05-03T00:47:12.0430000Z,,v3,471288,471500,,"Alexander, Carter",10148657,Right,CEN_BEA,f140e786-4a55-49ea-b763-41c72d19068b,54.96014,-129.52812,14.86294,6.43548,-3.26294,-5.95132,-1.30247,0.37673,-0.96705,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2025-05-02,20:47:32.95,3,4,"Jones, Austin",1000292402,,CEN_BEA,"Nunnally, Tait",10117953,Left,EKU_COL,Undefined,7,Bottom,1,3,0,Undefined,Four-Seam,BallCalled,Walk,Undefined,Undefined,0,0,,88.33427,-2.314557,-2.208174,2256.119014,183.471686,12:00,6.36279,1.04773,5.36094,-16.08851,21.08273,1.19547,2.84881,-0.92439,79.53905,-5.390228,-1.995995,0.438808,,,,,,,,,,,,-1.30724,11.69028,-0.85018,50,6.14382,4.87287,-127.79367,-5.63808,-2.12911,30.04966,-13.13399,EKU_COL,CEN_BEA,EarleCombsStadium,D1,ASUN,20250502-EarleCombsStadium-2,333d5a90-27b8-11f0-8d20-a371d508c238,85.89726,,,8.79523,,,,,,,0d2c49a7-f9b5-441a-932d-5c652e18a6c1,2025-05-03,00:47:32.95,2025-05-02T20:47:32.9540000-04:00,2025-05-03T00:47:32.9540000Z,,v3,471288,471500,,"Alexander, Carter",10148657,Right,CEN_BEA,018e1dfa-0026-4480-b84b-ca83031d4b32,55.13345,-128.99511,15.02483,6.35874,-5.11296,-6.56699,-1.04671,4.958,-1.06456,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2025-05-02,20:48:47.53,4,1,"Jones, Austin",1000292402,,CEN_BEA,"Groeneveld, Aaron",1000407686,Left,EKU_COL,Undefined,7,Bottom,1,0,0,Undefined,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,88.47115,-3.21851,-1.519344,2336.875266,187.431492,12:15,6.23498,1.40557,5.45926,-17.49225,19.09725,2.3274,1.76042,0.17703,80.52819,-6.515158,-1.105056,0.435361,,,,,,,,,,,,-1.62114,10.94382,-1.27334,50,5.93949,3.29564,-128.12756,-7.75202,-2.67945,27.89081,-14.0858,EKU_COL,CEN_BEA,EarleCombsStadium,D1,ASUN,20250502-EarleCombsStadium-2,5fcbc1a0-27b8-11f0-8d20-a371d508c238,86.5774,,,7.94296,,,,,,,0d2c49a7-f9b5-441a-932d-5c652e18a6c1,2025-05-03,00:48:47.53,2025-05-02T20:48:47.5350000-04:00,2025-05-03T00:48:47.5350000Z,,v3,471288,471500,,"Alexander, Carter",10148657,Right,CEN_BEA,34c51da0-2586-4673-8fa3-130f6516757a,55.03796,-129.21957,13.94541,6.23221,-7.20052,-7.0429,-1.40443,3.40055,-1.33972,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2025-05-02,20:49:03.21,4,2,"Jones, Austin",1000292402,,CEN_BEA,"Groeneveld, Aaron",1000407686,Left,EKU_COL,Undefined,7,Bottom,1,1,0,Undefined,Four-Seam,InPlay,Undefined,GroundBall,Single,0,1,,89.8032,-3.612379,-1.330332,2311.398824,184.479582,12:15,6.35304,1.12247,5.14216,-12.87682,23.34773,1.72449,1.87324,0.01336,81.0499,-6.093314,-1.025269,0.433185,86.26435,-4.678151,32.247513,,,,,24.25926,21.19695,30.777876,0.184038,-1.2789,13.14824,-0.99929,50,6.00533,2.93465,-129.84141,-8.56219,-2.15496,30.47167,-10.01886,EKU_COL,CEN_BEA,EarleCombsStadium,D1,ASUN,20250502-EarleCombsStadium-2,6922cf00-27b8-11f0-8d20-a371d508c238,87.01243,1.90142,,8.75331,,,,1.19068,1.90142,0.01553,0d2c49a7-f9b5-441a-932d-5c652e18a6c1,2025-05-03,00:49:03.21,2025-05-02T20:49:03.2120000-04:00,2025-05-03T00:49:03.2120000Z,GroundBall,v3,471288,471500,,"Alexander, Carter",10148657,Right,CEN_BEA,6969dfc0-721e-4f19-b256-3d388da6dc82,55.35407,-131.0919,15.23584,6.34827,-8.15104,-5.00943,-1.12154,3.02308,-1.07748,180,1.18674,106.78143,,,,,,,,1.9018,-10.33169,,,,,,,,0.01305,67.36758,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
