PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-05-02,15:31:19.12,1,1,"Cowdrey, Harrison",10148538,Right,CEN_COL,"Teel, Charlie",1000106830,Left,SEW_TIG,Undefined,1,Top,0,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,88.21004,-3.265097,-0.083255,2155.015183,197.557587,12:30,6.21128,1.04297,5.79638,-14.45863,21.58749,6.46591,1.96615,1.50436,80.83624,-6.025791,1.075356,0.432116,,,,,,,,,,,,-3.30189,12.22863,-1.03992,50,5.93393,-0.09103,-127.94357,-7.68396,-5.48493,25.8667,-11.86052,CEN_COL,SEW_TIG,GaryWright,D3,SOUTH,20250502-GaryWright-1,05eb0b40-278c-11f0-b7b3-1dd877da3f45,87.22753,,,7.3738,,,,,,,6045ddbe-57e5-425a-8865-b67639969e2e,2025-05-02,19:31:19.12,2025-05-02T15:31:19.1220000-04:00,2025-05-02T19:31:19.1220000Z,,v3,,,,"Weyler, Evan",1000190342,Right,CEN_COL,d541eb47-49d4-4a5b-b72b-c48074cbb6de,54.69932,-128.89014,12.93335,6.20718,-7.24993,-5.93026,-1.04026,0.10969,-2.74246,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2025-05-02,15:31:32.59,1,2,"Cowdrey, Harrison",10148538,Right,CEN_COL,"Teel, Charlie",1000106830,Left,SEW_TIG,Undefined,1,Top,0,1,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,88.0925,-2.615274,-1.422664,2209.99018,199.784852,12:45,6.19654,0.95506,5.76567,-14.52131,21.81907,7.41193,2.55006,0.24843,80.26398,-5.405279,-0.095872,0.433877,,,,,,,,,,,,-4.16374,12.20524,-0.84179,50,5.97124,2.85315,-127.73947,-6.21855,-6.85892,27.05684,-12.06835,CEN_COL,SEW_TIG,GaryWright,D3,SOUTH,20250502-GaryWright-1,0df24010-278c-11f0-b7b3-1dd877da3f45,86.87364,,,7.82852,,,,,,,6045ddbe-57e5-425a-8865-b67639969e2e,2025-05-02,19:31:32.59,2025-05-02T15:31:32.5910000-04:00,2025-05-02T19:31:32.5910000Z,,v3,,,,"Weyler, Evan",1000190342,Right,CEN_COL,e9a37528-5c4f-4648-bb4a-a88e413e5975,54.72959,-128.73736,13.52842,6.19238,-5.77345,-6.03418,-0.95168,3.10612,-3.42946,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2025-05-02,15:31:45.78,1,3,"Cowdrey, Harrison",10148538,Right,CEN_COL,"Teel, Charlie",1000106830,Left,SEW_TIG,Undefined,1,Top,0,1,1,Curveball,Curveball,InPlay,Undefined,FlyBall,Double,0,0,,76.41017,0.996601,0.185035,2499.705658,359.953866,6:00,6.19819,0.81297,5.00783,-62.47358,-12.41174,0.01138,1.93284,0.98857,69.6899,-10.261473,0.187053,0.509243,82.6543,35.392839,-30.375794,6153.184461,88.06267,59.47371,-65.91632,271.64369,167.45465,-43.609076,4.043501,0.05366,-6.01457,-0.83073,50,6.24283,-0.35828,-110.79811,-0.30255,0.06574,22.50548,-39.54107,CEN_COL,SEW_TIG,GaryWright,D3,SOUTH,20250502-GaryWright-1,15f46bd0-278c-11f0-b7b3-1dd877da3f45,74.01667,64.95863,,6.72027,,,,1.12739,1.85177,-0.9359,6045ddbe-57e5-425a-8865-b67639969e2e,2025-05-02,19:31:45.78,2025-05-02T15:31:45.7880000-04:00,2025-05-02T19:31:45.7880000Z,FlyBall,v3,,,,"Weyler, Evan",1000190342,Right,CEN_COL,315747bb-2460-45d2-bd90-7338cbac9436,55.49207,-111.9081,11.25274,6.20965,1.64766,-19.77054,-0.81298,-0.36152,0.03287,131.780252,1.12642,85.28205,-20.43584,5.69962,-1.53597,0.46951,-0.12771,0.02085,-0.00139,1.85306,70.18032,-22.0288,1.52763,0.03667,-0.12737,0.04063,-0.00511,0.0002,-0.93586,-49.97651,0.03992,0.69562,-0.19745,0.02259,0.00096,-0.00064,6E-05,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,
4,2025-05-02,15:32:54.80,2,1,"Cowdrey, Harrison",10148538,Right,CEN_COL,"Petrocco, Aidan",10092948,Right,SEW_TIG,Undefined,1,Top,0,0,0,Cutter,Slider,InPlay,Undefined,GroundBall,Out,1,0,,81.98221,-2.405659,-1.5425,2344.3732,152.01571,11:00,6.12085,1.29654,5.60061,-32.99411,9.13768,-4.13977,1.12343,-0.48878,75.37779,-8.459844,-2.282284,0.467172,67.72398,2.30446,-30.37953,3689.96897,,,,40.48759,37.68412,-30.397932,0.410957,1.68043,5.70083,-1.16165,50,5.89333,3.36435,-118.92475,-6.07899,2.40217,23.20144,-24.0248,CEN_COL,SEW_TIG,GaryWright,D3,SOUTH,20250502-GaryWright-1,3f080400-278c-11f0-b7b3-1dd877da3f45,80.68223,1.47254,,6.60442,,,,1.94591,1.24449,0.44324,6045ddbe-57e5-425a-8865-b67639969e2e,2025-05-02,19:32:54.80,2025-05-02T15:32:54.8010000-04:00,2025-05-02T19:32:54.8010000Z,GroundBall,v3,,,,"Weyler, Evan",1000190342,Right,CEN_COL,3e9f7311-3639-44b1-8a15-36da45a6d337,54.89738,-119.87639,11.60072,6.12246,-5.09358,-12.0124,-1.29762,3.26582,1.20108,84.85944,1.95084,85.46063,-12.75611,,,,,,,1.24853,3.86301,-16.81662,,,,,,,0.44655,-50.30012,-1.57124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
5,2025-05-02,15:33:32.13,3,1,"Cowdrey, Harrison",10148538,Right,CEN_COL,"Pou, Blake",1000148816,Left,SEW_TIG,Undefined,1,Top,1,0,0,Curveball,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,77.04023,2.748525,-0.027494,2443.484386,45.23693,7:30,6.26443,1.07728,5.11863,-55.75298,-6.61107,-8.40398,4.20932,0.35105,69.72418,-7.38766,-1.514991,0.504542,,,,,,,,,,,,4.13705,-3.5811,-1.06795,50,6.47991,0.39925,-111.56879,3.37865,5.14337,22.62911,-36.62626,CEN_COL,SEW_TIG,GaryWright,D3,SOUTH,20250502-GaryWright-1,553f6c90-278c-11f0-b7b3-1dd877da3f45,74.70622,,,7.31605,,,,,,,6045ddbe-57e5-425a-8865-b67639969e2e,2025-05-02,19:33:32.13,2025-05-02T15:33:32.1340000-04:00,2025-05-02T19:33:32.1340000Z,,v3,,,,"Weyler, Evan",1000190342,Right,CEN_COL,ab426759-9254-4b25-a7ab-b789ffd03183,55.37842,-112.6544,11.31455,6.27568,5.13575,-18.31313,-1.08118,0.1525,2.57169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2025-05-02,15:33:51.67,3,2,"Cowdrey, Harrison",10148538,Right,CEN_COL,"Pou, Blake",1000148816,Left,SEW_TIG,Undefined,1,Top,1,1,0,Fastball,Four-Seam,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,88.16851,-2.295217,-0.537562,2222.792331,189.895347,12:15,6.15733,1.09948,5.87798,-16.29721,20.14332,3.28398,2.66642,0.87389,79.61941,-5.429209,0.051786,0.434474,,,,,,,,,,,,-1.84244,11.39721,-1.05793,50,5.96256,1.05874,-127.80295,-5.56126,-3.00643,29.63587,-13.57647,CEN_COL,SEW_TIG,GaryWright,D3,SOUTH,20250502-GaryWright-1,60e720b0-278c-11f0-b7b3-1dd877da3f45,86.75424,,,8.5491,,,,,,,6045ddbe-57e5-425a-8865-b67639969e2e,2025-05-02,19:33:51.67,2025-05-02T15:33:51.6750000-04:00,2025-05-02T19:33:51.6750000Z,,v3,,,,"Weyler, Evan",1000190342,Right,CEN_COL,b34971f6-f2fe-4b71-923b-2bfcb597faea,54.61601,-128.8689,14.81793,6.15381,-5.07294,-6.78824,-1.09795,1.16687,-1.50322,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2025-05-02,15:34:10.13,3,3,"Cowdrey, Harrison",10148538,Right,CEN_COL,"Pou, Blake",1000148816,Left,SEW_TIG,Undefined,1,Top,1,1,1,ChangeUp,Changeup,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,80.52918,-1.519754,-2.157014,2008.723118,223.930773,1:30,5.77887,1.4626,5.67526,-27.95844,16.34107,14.11768,2.03089,0.62727,72.44795,-6.775319,0.366597,0.479039,64.49181,40.522118,-137.975146,3025.029744,,,,,28.43763,,,-7.9193,9.28835,-1.28987,50,5.6335,3.83661,-116.6207,-3.92588,-10.68678,26.04857,-19.63979,CEN_COL,SEW_TIG,GaryWright,D3,SOUTH,20250502-GaryWright-1,6beb68e0-278c-11f0-b7b3-1dd877da3f45,78.68345,23.06728,,8.08123,,,,2.21606,2.13052,-0.53822,6045ddbe-57e5-425a-8865-b67639969e2e,2025-05-02,19:34:10.13,2025-05-02T15:34:10.1320000-04:00,2025-05-02T19:34:10.1320000Z,,v3,,,,"Weyler, Evan",1000190342,Right,CEN_COL,871d37c3-63f6-4e94-bcdc-2e6a8a096a15,54.81979,-117.69233,13.02429,5.77839,-3.1179,-9.8199,-1.45675,4.27626,-5.34339,40.167276,2.22706,-53.76063,-0.19877,,,,,,,2.15124,60.81377,-29.2202,,,,,,,-0.55186,-47.71116,12.00989,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Undefined,,,
8,2025-05-02,15:34:51.78,3,4,"Cowdrey, Harrison",10148538,Right,CEN_COL,"Pou, Blake",1000148816,Left,SEW_TIG,Undefined,1,Top,1,1,2,Curveball,Curveball,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,,75.06245,3.016018,0.172549,2509.928829,29.820335,7:00,6.17603,1.03359,5.12316,-65.51425,-13.88509,-8.96721,3.55986,0.44884,68.29208,-8.837201,-1.416158,0.517153,,,,,,,,,,,,4.4815,-7.23158,-1.0426,50,6.40874,0.03061,-108.7731,3.43188,5.30573,21.18273,-40.73569,CEN_COL,SEW_TIG,GaryWright,D3,SOUTH,20250502-GaryWright-1,84b207d0-278c-11f0-b7b3-1dd877da3f45,72.88453,,,6.77037,,,,,,,6045ddbe-57e5-425a-8865-b67639969e2e,2025-05-02,19:34:51.78,2025-05-02T15:34:51.7870000-04:00,2025-05-02T19:34:51.7870000Z,,v3,,,,"Weyler, Evan",1000190342,Right,CEN_COL,e43eabcb-2422-44e0-bbb8-928ae9fd9c8b,55.37712,-109.81526,10.59137,6.19059,5.43602,-20.36784,-1.03769,-0.23043,2.65287,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2025-05-02,15:35:25.26,4,1,"Cowdrey, Harrison",10148538,Right,CEN_COL,"Fortman, Zach",10142192,Right,SEW_TIG,Undefined,1,Top,2,0,0,Curveball,Curveball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,75.69126,2.384217,-0.240013,2438.314751,21.380675,6:45,6.18583,1.01784,5.06676,-63.63799,-12.72638,-5.66922,3.13197,0.31911,68.85321,-9.119557,-1.24387,0.513547,,,,,,,,,,,,2.73087,-6.52989,-0.99036,50,6.36162,0.68673,-109.70149,2.31739,3.28371,21.80894,-40.0259,CEN_COL,SEW_TIG,GaryWright,D3,SOUTH,20250502-GaryWright-1,98c0c400-278c-11f0-b7b3-1dd877da3f45,73.39635,,,6.83806,,,,,,,6045ddbe-57e5-425a-8865-b67639969e2e,2025-05-02,19:35:25.26,2025-05-02T15:35:25.2600000-04:00,2025-05-02T19:35:25.2600000Z,,v3,,,,"Weyler, Evan",1000190342,Right,CEN_COL,70c123c2-6f4b-4844-a1a4-d6506c17b7bb,55.43301,-110.77633,10.90447,6.1988,4.29002,-20.01295,-1.02021,0.5249,1.64185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2025-05-02,15:35:41.84,4,2,"Cowdrey, Harrison",10148538,Right,CEN_COL,"Fortman, Zach",10142192,Right,SEW_TIG,Undefined,1,Top,2,0,1,Cutter,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,82.72371,1.335643,-1.110645,2325.296815,116.473445,10:00,6.07734,1.19528,5.34214,-39.77908,2.57831,-2.09689,4.01579,-0.02144,74.52058,-5.982735,-1.483158,0.468421,,,,,,,,,,,,0.68134,1.33563,-1.09365,50,6.1697,2.41332,-119.82045,1.37397,0.97416,26.72427,-30.26444,CEN_COL,SEW_TIG,GaryWright,D3,SOUTH,20250502-GaryWright-1,a27cfbd0-278c-11f0-b7b3-1dd877da3f45,80.46708,,,8.20313,,,,,,,6045ddbe-57e5-425a-8865-b67639969e2e,2025-05-02,19:35:41.84,2025-05-02T15:35:41.8400000-04:00,2025-05-02T19:35:41.8400000Z,,v3,,,,"Weyler, Evan",1000190342,Right,CEN_COL,09568abe-bc32-4b43-9c1f-0c1027222861,55.15187,-120.96405,13.36213,6.0832,2.66905,-15.13222,-1.19603,2.37164,0.48708,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
