PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-05-02,18:43:41.29,1,1,"Colarusso, AJ",1000090794,Left,BOC_EAG,"MacDonald, Cort",822679,Left,STA_CAR,Undefined,1,Top,0,0,0,Undefined,Changeup,Undefined,Undefined,Undefined,Undefined,0,0,,80.96468,0.870623,0.861574,1941.192231,133.84691,10:30,5.89488,-1.06358,5.73594,-27.17746,16.42202,-15.43052,4.44097,-1.54709,72.71867,-4.268681,-1.899174,0.475239,,,,,,,,,,,,8.01646,8.51008,1.00087,50,5.95107,-1.12841,-117.32934,0.98929,10.9789,25.82701,-20.51911,BOC_EAG,STA_CAR,HarringtonVillage,D1,ACC,20250502-HarringtonVillage-1,e5961cc0-27a6-11f0-8141-213b8a7ddfd1,79.31263,,,8.24601,,,,,,,737e1e6b-915c-4c21-afa3-4d9df476fd5a,2025-05-02,22:43:41.29,2025-05-02T18:43:41.2980000-04:00,2025-05-02T22:43:41.2980000Z,,v3,227,471454,02 May 2025 19:00-stanford@bostoncoll,"Johnson, Gunnar",1000100233,Right,BOC_EAG,8bcbe98c-d369-4023-b268-557cac5802c0,54.75698,-118.37184,12.9135,5.89442,1.81753,-10.25955,1.05536,-1.57157,5.48945,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2025-05-02,18:05:44.57,1,2,"Colarusso, AJ",1000090794,Left,BOC_EAG,"MacDonald, Cort",822679,Left,STA_CAR,Undefined,1,Top,0,0,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,88.37861,-1.680884,2.107026,2127.77215,160.061394,11:15,6.0415,-0.7821,5.93938,-16.69725,19.2147,-6.53272,3.08929,0.62897,80.36374,-4.87559,0.934496,0.431311,,,,,,,,,,,,3.94138,10.67855,0.61761,50,5.89791,-4.43824,-128.19156,-4.22335,6.52659,27.70454,-14.49126,BOC_EAG,STA_CAR,HarringtonVillage,D1,ACC,20250502-HarringtonVillage-1,98853510-27a1-11f0-88b5-39e44bb0ff90,87.39032,,,8.01486,,,,,,,737e1e6b-915c-4c21-afa3-4d9df476fd5a,2025-05-02,22:05:44.57,2025-05-02T18:05:44.5730000-04:00,2025-05-02T22:05:44.5730000Z,,v3,227,471454,02 May 2025 19:00-stanford@bostoncoll,"Johnson, Gunnar",1000100233,Right,BOC_EAG,f1a5b8d3-e305-4928-85b2-b1390ae92ac7,54.55647,-129.17255,13.85227,6.03837,-3.71023,-7.24563,0.77886,-4.66934,3.26329,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2025-05-02,18:05:57.77,1,3,"Colarusso, AJ",1000090794,Left,BOC_EAG,"MacDonald, Cort",822679,Left,STA_CAR,Undefined,1,Top,0,0,1,Slider,Slider,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,83.44147,-0.048554,0.301687,2392.035086,223.982742,1:30,5.86051,-1.3919,5.30048,-33.86277,6.48465,5.2317,2.99303,-0.6727,77.65217,-6.218075,1.231089,0.457172,61.06512,57.643291,-55.460657,5089.110352,44.87246,58.54516,-100.43133,141.72718,75.64668,-66.588347,4.458129,-2.57177,3.58095,1.36048,50,5.83121,-0.85431,-121.36051,-1.30984,-3.89937,20.04972,-26.74458,BOC_EAG,STA_CAR,HarringtonVillage,D1,ACC,20250502-HarringtonVillage-1,a0827ed0-27a1-11f0-88b5-39e44bb0ff90,82.44699,78.93675,,5.7893,,,,0.8061,3.30833,0.45526,737e1e6b-915c-4c21-afa3-4d9df476fd5a,2025-05-02,22:05:57.77,2025-05-02T18:05:57.7750000-04:00,2025-05-02T22:05:57.7750000Z,Popup,v3,227,471454,02 May 2025 19:00-stanford@bostoncoll,"Johnson, Gunnar",1000100233,Right,BOC_EAG,b5099c15-5bd5-4bf3-a1ca-6914f6c41747,55.2003,-122.21662,10.02486,5.86276,-0.16786,-13.37229,1.39341,-0.68781,-1.94969,156.856179,0.80839,27.10014,-9.32616,2.12534,0.39601,-0.51661,0.1774,-0.02742,0.00161,3.30388,75.7575,-22.12268,2.51642,-0.8163,0.21919,-0.02724,-0.00016,0.0002,0.45583,-39.49221,4.97589,-1.07156,0.12327,0.02235,-0.01301,0.00214,-0.00012,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,
4,2025-05-02,18:06:27.09,1,4,"Colarusso, AJ",1000090794,Left,BOC_EAG,"MacDonald, Cort",822679,Left,STA_CAR,Undefined,1,Top,0,0,2,Slider,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,83.79708,-1.376637,2.270318,2358.175746,235.62123,1:45,5.7869,-1.26784,5.53543,-34.50289,5.7215,6.59811,1.62366,1.40518,77.33007,-7.682673,3.446405,0.456474,,,,,,,,,,,,-2.73599,3.63083,1.06625,50,5.64437,-5.09142,-121.62309,-4.11904,-4.1125,23.06957,-26.71645,BOC_EAG,STA_CAR,HarringtonVillage,D1,ACC,20250502-HarringtonVillage-1,b206e6a0-27a1-11f0-88b5-39e44bb0ff90,82.57303,,,6.46701,,,,,,,737e1e6b-915c-4c21-afa3-4d9df476fd5a,2025-05-02,22:06:27.09,2025-05-02T18:06:27.0930000-04:00,2025-05-02T22:06:27.0930000Z,,v3,227,471454,02 May 2025 19:00-stanford@bostoncoll,"Johnson, Gunnar",1000100233,Right,BOC_EAG,1635c4ed-dac3-4604-80e4-c833a49bd439,54.9636,-122.56098,11.53478,5.78975,-3.03289,-13.35823,1.26984,-4.92423,-2.05625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2025-05-02,18:06:46.07,1,5,"Colarusso, AJ",1000090794,Left,BOC_EAG,"MacDonald, Cort",822679,Left,STA_CAR,Undefined,1,Top,0,1,2,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,90.04588,-2.11202,2.262104,2187.274191,149.134334,11:00,5.95462,-0.74468,5.8083,-14.87304,19.77686,-11.14556,2.74873,0.43124,82.16278,-4.95822,0.266516,0.423665,84.02158,52.233117,-29.297196,,82.49873,114.30323,-72.75943,203.38605,90.94672,-46.872066,5.457036,6.34969,11.04426,0.56592,50,5.77254,-4.68508,-130.63504,-5.24438,10.95735,27.87784,-13.11557,BOC_EAG,STA_CAR,HarringtonVillage,D1,ACC,20250502-HarringtonVillage-1,bd5afc80-27a1-11f0-88b5-39e44bb0ff90,88.96762,115.43905,,7.8831,,,,1.31862,2.58252,-0.35143,737e1e6b-915c-4c21-afa3-4d9df476fd5a,2025-05-02,22:06:46.07,2025-05-02T18:06:46.0760000-04:00,2025-05-02T22:06:46.0760000Z,FlyBall,v3,227,471454,02 May 2025 19:00-stanford@bostoncoll,"Johnson, Gunnar",1000100233,Right,BOC_EAG,97744a4c-69c8-4db4-9d2d-2e0c96484208,54.69042,-131.63218,13.93892,5.95174,-4.77526,-6.55779,0.7405,-5.07701,5.47867,156.50233,1.32011,65.73234,-23.45742,6.49262,-0.77673,-0.18891,0.09242,-0.01373,0.00072,2.56778,97.68813,-26.36834,3.64798,-1.10789,0.29199,-0.04201,0.00238,-1E-05,-0.34654,-37.03155,2.46317,-0.21662,0.23744,-0.14668,0.04,-0.00515,0.00026,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Low,,,
6,2025-05-02,18:07:30.92,1,6,"Colarusso, AJ",1000090794,Left,BOC_EAG,"MacDonald, Cort",822679,Left,STA_CAR,Undefined,1,Top,0,1,2,Fastball,Four-Seam,StrikeCalled,Strikeout,Undefined,Undefined,0,0,,88.23047,-2.180867,1.318262,2073.249453,159.693333,11:15,5.89119,-0.72889,5.90603,-18.27044,17.64985,-6.10185,2.34279,-0.01351,80.6543,-5.64027,0.222764,0.431361,,,,,,,,,,,,3.4789,9.99119,0.62643,50,5.70547,-2.68888,-128.04604,-5.4123,5.77258,26.57806,-15.59557,BOC_EAG,STA_CAR,HarringtonVillage,D1,ACC,20250502-HarringtonVillage-1,d7f12b50-27a1-11f0-88b5-39e44bb0ff90,87.3802,,,7.57618,,,,,,,737e1e6b-915c-4c21-afa3-4d9df476fd5a,2025-05-02,22:07:30.92,2025-05-02T18:07:30.9240000-04:00,2025-05-02T22:07:30.9240000Z,,v3,227,471454,02 May 2025 19:00-stanford@bostoncoll,"Johnson, Gunnar",1000100233,Right,BOC_EAG,8a28a753-f99f-4e56-aebd-10705954c7ed,54.59071,-128.9954,13.28903,5.88885,-4.85523,-7.79779,0.72616,-2.89507,2.88629,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.17973,,,1.006836,,,,1.20775,5.88097,1.03998,68.17507,6.51425,56.61295,1.2765,73.5254,-7.04111,5.92921,15.33931,-14.66348,1.07981,59.78099,-4.59822,High,High,High,,,High,High,High
7,2025-05-02,18:08:00.84,2,1,"Colarusso, AJ",1000090794,Left,BOC_EAG,"Haskins, Trevor",695579,Right,STA_CAR,Undefined,1,Top,1,0,0,Cutter,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,84.03568,-2.673842,1.915706,2326.617376,234.763049,1:45,5.82435,-1.24993,5.54574,-32.96384,7.61193,8.79733,0.5754,1.27411,76.674,-8.717116,3.485398,0.458464,,,,,,,,,,,,-3.87571,5.08181,1.07797,50,5.57089,-4.4327,-121.72684,-6.80961,-5.75087,26.3618,-24.63356,BOC_EAG,STA_CAR,HarringtonVillage,D1,ACC,20250502-HarringtonVillage-1,e9d98510-27a1-11f0-88b5-39e44bb0ff90,82.21469,,,7.36168,,,,,,,737e1e6b-915c-4c21-afa3-4d9df476fd5a,2025-05-02,22:08:00.84,2025-05-02T18:08:00.8460000-04:00,2025-05-02T22:08:00.8460000Z,,v3,227,471454,02 May 2025 19:00-stanford@bostoncoll,"Johnson, Gunnar",1000100233,Right,BOC_EAG,248259a6-5a6c-45d2-b8b7-d8f769104d9f,54.95199,-122.79458,13.1809,5.82649,-5.81186,-12.31678,1.25279,-4.19977,-2.87543,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2025-05-02,18:08:16.14,2,2,"Colarusso, AJ",1000090794,Left,BOC_EAG,"Haskins, Trevor",695579,Right,STA_CAR,Undefined,1,Top,1,1,0,Sweeper,Slider,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,84.25992,-1.810219,2.503486,2383.73164,223.380042,1:30,5.75677,-1.51654,5.53647,-33.31289,6.34638,4.91217,1.28654,1.23426,78.06122,-7.888358,3.378884,0.453256,,,,,,,,,,,,-1.86067,4.01059,1.29582,50,5.57722,-5.54572,-122.30807,-5.02123,-2.83912,22.47061,-26.05446,BOC_EAG,STA_CAR,HarringtonVillage,D1,ACC,20250502-HarringtonVillage-1,f2f7f640-27a1-11f0-88b5-39e44bb0ff90,83.15923,,,6.19869,,,,,,,737e1e6b-915c-4c21-afa3-4d9df476fd5a,2025-05-02,22:08:16.14,2025-05-02T18:08:16.1460000-04:00,2025-05-02T22:08:16.1460000Z,,v3,227,471454,02 May 2025 19:00-stanford@bostoncoll,"Johnson, Gunnar",1000100233,Right,BOC_EAG,0c619e14-d369-472a-b37d-21caf09c2203,54.9637,-123.21663,11.23531,5.75895,-3.96776,-13.02723,1.51774,-5.43093,-1.41956,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2025-05-02,18:08:36.39,2,3,"Colarusso, AJ",1000090794,Left,BOC_EAG,"Haskins, Trevor",695579,Right,STA_CAR,Undefined,1,Top,1,1,1,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,89.55694,-2.189474,1.338833,2116.451266,156.599297,11:15,5.96076,-1.08396,5.68391,-16.09036,19.42422,-7.86016,2.57752,-0.49081,80.99979,-5.267593,-0.066291,0.428919,,,,,,,,,,,,4.41638,10.92056,0.97632,50,5.76661,-2.69065,-129.80863,-5.43249,7.44922,30.07826,-13.75417,BOC_EAG,STA_CAR,HarringtonVillage,D1,ACC,20250502-HarringtonVillage-1,ff0793f0-27a1-11f0-88b5-39e44bb0ff90,87.87785,,,8.55715,,,,,,,737e1e6b-915c-4c21-afa3-4d9df476fd5a,2025-05-02,22:08:36.39,2025-05-02T18:08:36.3930000-04:00,2025-05-02T22:08:36.3930000Z,,v3,227,471454,02 May 2025 19:00-stanford@bostoncoll,"Johnson, Gunnar",1000100233,Right,BOC_EAG,a57ee0a3-6c76-4d26-8a0c-bc9180707615,54.81288,-130.91908,15.03913,5.9578,-4.9247,-6.87709,1.08073,-2.96567,3.72461,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2025-05-02,18:09:00.80,2,4,"Colarusso, AJ",1000090794,Left,BOC_EAG,"Haskins, Trevor",695579,Right,STA_CAR,Undefined,1,Top,1,1,2,ChangeUp,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,81.97257,-0.736374,0.694737,2047.000068,125.362638,10:15,5.77695,-1.20763,5.60606,-30.87458,11.05442,-13.74198,2.5166,-1.70425,75.27151,-6.443894,-1.760484,0.466046,,,,,,,,,,,,7.12807,6.20815,1.15716,50,5.69413,-0.88722,-119.0568,-2.534,10.24849,22.49197,-23.24819,BOC_EAG,STA_CAR,HarringtonVillage,D1,ACC,20250502-HarringtonVillage-1,0d809080-27a2-11f0-88b5-39e44bb0ff90,80.87707,,,6.70107,,,,,,,737e1e6b-915c-4c21-afa3-4d9df476fd5a,2025-05-02,22:09:00.80,2025-05-02T18:09:00.8030000-04:00,2025-05-02T22:09:00.8030000Z,,v3,227,471454,02 May 2025 19:00-stanford@bostoncoll,"Johnson, Gunnar",1000100233,Right,BOC_EAG,7ddc0ac5-2901-46dd-9c77-934d9080e894,54.89181,-119.9774,11.24598,5.77837,-1.58245,-11.62409,1.20205,-1.30669,5.12424,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
