PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-05-02,12:00:50.51,1,1,"Schmidt, Logan",1000164817,Right,XAV_MUS,"Robbins, Aiden",828657,Right,SET_PIR,Undefined,1,Top,0,0,0,Slider,Slider,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,82.90815,-0.239348,-2.913105,2376.776616,185.065844,12:15,5.95924,2.20039,5.75445,-35.24128,5.9952,0.40799,2.79938,-0.47964,75.45616,-6.755482,-2.840175,0.462181,62.93066,61.541035,139.384889,2777.937936,,,,,18.14367,,,-1.09095,3.53941,-1.95888,50,5.91806,6.09973,-120.18927,-1.66273,-1.58203,25.1666,-27.04133,XAV_MUS,SET_PIR,HaydenField,D1,BEAST,20250502-HaydenField-1,9ecc2470-276e-11f0-b7bd-0535309a96ba,81.55337,31.40282,,7.45199,,,,1.37312,2.81571,1.96102,758babde-58c2-4e83-ae4c-66eca4142185,2025-05-02,16:00:50.51,2025-05-02T12:00:50.5160192-04:00,2025-05-02T16:00:50.5160192Z,,v3,471497,471438,02 May 2025 15:00-setonhall@xavier,"Jelic, Jason",830126,Right,XAV_MUS,60d8048b-7ad0-40e6-ad2f-6f28da4f9edf,54.74176,-121.17808,12.5833,5.96252,-0.60025,-13.52066,-2.19977,6.16189,-0.79101,,1.37024,-33.29034,6.45053,,,,,,,2.81525,81.16253,-20.10443,,,,,,,1.95244,28.92422,9.74514,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Low,Undefined,,,
2,2025-05-02,12:01:08.32,1,2,"Schmidt, Logan",1000164817,Right,XAV_MUS,"Robbins, Aiden",828657,Right,SET_PIR,Undefined,1,Top,0,0,1,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,90.07431,-1.455788,-1.518794,2195.862451,211.395127,1:00,6.17722,1.99292,5.84327,-14.9367,19.67426,11.31032,3.57885,1.52368,81.98513,-4.323051,0.50878,0.423427,,,,,,,,,,,,-6.33174,10.89453,-1.87642,50,6.05031,3.00321,-130.78734,-3.756,-10.91146,28.89172,-13.39955,XAV_MUS,SET_PIR,HaydenField,D1,BEAST,20250502-HaydenField-1,a965c3f0-276e-11f0-b7bd-0535309a96ba,89.01763,,,8.08918,,,,,,,758babde-58c2-4e83-ae4c-66eca4142185,2025-05-02,16:01:08.32,2025-05-02T12:01:08.3241984-04:00,2025-05-02T16:01:08.3241984Z,,v3,471497,471438,02 May 2025 15:00-setonhall@xavier,"Jelic, Jason",830126,Right,XAV_MUS,57205b20-e6fb-4f91-aec0-5951f7cb4f83,54.65623,-131.81191,14.44586,6.17508,-3.28082,-6.69977,-1.98978,3.39015,-5.45573,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2025-05-02,12:01:25.38,1,3,"Schmidt, Logan",1000164817,Right,XAV_MUS,"Robbins, Aiden",828657,Right,SET_PIR,Undefined,1,Top,0,1,1,Fastball,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,89.78544,-0.004386,-1.910975,2159.287067,234.419021,1:45,6.08872,2.13563,5.92974,-23.31269,11.06859,14.05028,4.14193,1.53283,82.49745,-4.361065,0.61184,0.422019,,,,,,,,,,,,-7.65012,5.99496,-1.9906,50,6.07514,3.75016,-130.48017,-0.77962,-13.27515,25.76666,-21.77107,XAV_MUS,SET_PIR,HaydenField,D1,BEAST,20250502-HaydenField-1,b377bce0-276e-11f0-b7bd-0535309a96ba,89.31445,,,7.28799,,,,,,,758babde-58c2-4e83-ae4c-66eca4142185,2025-05-02,16:01:25.38,2025-05-02T12:01:25.3809664-04:00,2025-05-02T16:01:25.3809664Z,,v3,471497,471438,02 May 2025 15:00-setonhall@xavier,"Jelic, Jason",830126,Right,XAV_MUS,6aafc85a-2f25-4167-8954-780a295694ca,54.56764,-131.37908,12.88333,6.08909,-0.02011,-10.88554,-2.12951,4.21328,-6.63758,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2025-05-02,12:01:44.51,1,4,"Schmidt, Logan",1000164817,Right,XAV_MUS,"Robbins, Aiden",828657,Right,SET_PIR,Undefined,1,Top,0,2,1,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,90.57624,-2.573591,-3.940679,2243.94789,212.774035,1:00,6.01481,1.82189,6.34133,-17.0093,16.40615,9.91099,2.22087,-0.98578,83.33411,-5.805153,-2.152588,0.416049,,,,,,,,,,,,-6.17378,9.52414,-1.53944,50,5.81891,8.65033,-131.34787,-6.39069,-10.85987,26.0232,-15.42085,XAV_MUS,SET_PIR,HaydenField,D1,BEAST,20250502-HaydenField-1,befb6e40-276e-11f0-b7bd-0535309a96ba,90.59608,,,7.24213,,,,,,,758babde-58c2-4e83-ae4c-66eca4142185,2025-05-02,16:01:44.51,2025-05-02T12:01:44.5112320-04:00,2025-05-02T16:01:44.5112320Z,,v3,471497,471438,02 May 2025 15:00-setonhall@xavier,"Jelic, Jason",830126,Right,XAV_MUS,ba67ead4-efb9-4a2b-969e-38e5461a0021,54.15664,-132.16883,13.0116,6.01285,-5.9042,-7.71042,-1.81774,8.99293,-5.42994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2025-05-02,12:02:04.31,1,5,"Schmidt, Logan",1000164817,Right,XAV_MUS,"Robbins, Aiden",828657,Right,SET_PIR,Undefined,1,Top,0,2,2,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,90.23181,-2.456339,-2.54883,2187.75842,210.251979,1:00,6.17721,1.77355,6.05116,-16.89308,16.87395,9.28221,2.49202,0.18611,83.49459,-5.641541,-0.879538,0.418233,72.8341,59.465781,76.74433,,-3.72383,98.35024,109.93691,172.69696,61.67155,94.553047,4.988582,-5.42359,9.61044,-1.58031,50,5.97674,5.45659,-131.06745,-6.13162,-9.55375,24.41969,-15.24505,XAV_MUS,SET_PIR,HaydenField,D1,BEAST,20250502-HaydenField-1,cac7e870-276e-11f0-b7bd-0535309a96ba,90.12315,102.10959,,6.73722,,,,1.51356,2.08039,-0.92249,758babde-58c2-4e83-ae4c-66eca4142185,2025-05-02,16:02:04.31,2025-05-02T12:02:04.3197952-04:00,2025-05-02T16:02:04.3197952Z,Popup,v3,471497,471438,02 May 2025 15:00-setonhall@xavier,"Jelic, Jason",830126,Right,XAV_MUS,c95a5fa9-29a3-458e-9a3f-7b396c38f878,54.4481,-131.89359,12.20984,6.17545,-5.61587,-7.62253,-1.77037,5.77981,-4.77687,,1.53587,11.88902,-8.60601,-0.97186,3.5393,-2.01308,0.54635,-0.0727,0.0038,2.07096,92.17955,-26.09046,3.42828,-0.83191,0.12426,0.00416,-0.00394,0.00034,-0.91988,52.73565,-7.78438,0.79663,0.71654,-0.48322,0.13482,-0.01799,0.00094,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Medium,Low,,,
6,2025-05-02,12:02:28.27,1,6,"Schmidt, Logan",1000164817,Right,XAV_MUS,"Robbins, Aiden",828657,Right,SET_PIR,Undefined,1,Top,0,2,2,Slider,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,82.22169,-0.757854,-2.984246,2225.870496,23.036803,6:45,5.8966,2.07821,5.54911,-43.74585,-2.60378,-1.54221,1.54195,-0.84144,77.16514,-8.668337,-3.259221,0.461652,,,,,,,,,,,,0.12177,-0.88697,-1.81876,50,5.80133,6.29124,-119.53407,-3.10632,0.17961,18.86467,-33.48218,XAV_MUS,SET_PIR,HaydenField,D1,BEAST,20250502-HaydenField-1,d910fb60-276e-11f0-b7bd-0535309a96ba,81.64693,,,5.05656,,,,,,,758babde-58c2-4e83-ae4c-66eca4142185,2025-05-02,16:02:28.27,2025-05-02T12:02:28.2754048-04:00,2025-05-02T16:02:28.2754048Z,,v3,471497,471438,02 May 2025 15:00-setonhall@xavier,"Jelic, Jason",830126,Right,XAV_MUS,ff80ceef-4e8f-4bda-870d-7ff4b38bd0cd,54.95273,-120.31316,9.43233,5.90106,-1.72353,-16.74109,-2.07843,6.28383,0.08981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2025-05-02,12:02:44.23,1,7,"Schmidt, Logan",1000164817,Right,XAV_MUS,"Robbins, Aiden",828657,Right,SET_PIR,Undefined,1,Top,0,3,2,Fastball,Four-Seam,InPlay,Undefined,FlyBall,HomeRun,0,1,,90.9509,-2.009347,-3.177571,2217.170291,214.533021,1:15,6.00157,2.01017,6.01599,-18.01493,15.67292,10.04312,2.63545,-0.09929,83.15373,-5.419111,-1.374138,0.417742,103.57359,23.159719,27.762158,4299.638378,92.28194,45.54306,59.86674,338.6341,301.75432,44.75442,4.386034,-6.04906,8.94733,-1.76637,50,5.83397,6.899,-131.91032,-5.18033,-10.6617,27.97368,-16.40406,XAV_MUS,SET_PIR,HaydenField,D1,BEAST,20250502-HaydenField-1,e28e5570-276e-11f0-b7bd-0535309a96ba,90.229,62.8467,,7.79716,,,,-0.2811,2.47336,0.0908,758babde-58c2-4e83-ae4c-66eca4142185,2025-05-02,16:02:44.23,2025-05-02T12:02:44.2307072-04:00,2025-05-02T16:02:44.2307072Z,LineDrive,v3,471497,471438,02 May 2025 15:00-setonhall@xavier,"Jelic, Jason",830126,Right,XAV_MUS,b30105d4-5d5b-486a-8efd-5428b1823e48,54.48142,-132.85727,13.98684,5.99993,-4.62502,-8.20203,-2.00603,7.25992,-5.33085,223.686134,-0.28099,123.58649,-34.19517,8.73976,-2.02595,0.43139,-0.07742,0.00907,-0.00046,2.4735,59.74068,-15.18923,-0.12617,0.30037,-0.10597,0.02253,-0.00226,7E-05,0.08968,65.08256,-1.49422,-1.00166,0.34554,-0.05174,0.00191,0.00049,-5E-05,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,
8,2025-05-02,12:03:33.90,2,1,"Schmidt, Logan",1000164817,Right,XAV_MUS,"Ford, Justin",830994,Right,SET_PIR,Undefined,1,Top,0,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,91.22343,-3.398406,-3.137872,2158.169311,214.165601,1:15,6.02993,1.84373,5.99036,-15.32906,18.09032,11.57709,1.59463,-0.10242,83.85706,-6.30705,-1.059672,0.416074,,,,,,,,,,,,-6.81622,10.53422,-1.60276,50,5.75297,6.76933,-132.24391,-8.31277,-12.13633,26.76774,-13.41784,XAV_MUS,SET_PIR,HaydenField,D1,BEAST,20250502-HaydenField-1,00280040-276f-11f0-b7bd-0535309a96ba,90.59072,,,7.36637,,,,,,,758babde-58c2-4e83-ae4c-66eca4142185,2025-05-02,16:03:33.90,2025-05-02T12:03:33.9054080-04:00,2025-05-02T16:03:33.9054080Z,,v3,471497,471438,02 May 2025 15:00-setonhall@xavier,"Jelic, Jason",830126,Right,XAV_MUS,dcefd00f-0af4-4a09-84b3-93e3d82a1e8d,54.50875,-133.1534,13.38387,6.02767,-7.85687,-6.70892,-1.83977,7.18169,-6.06817,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2025-05-02,12:03:48.71,2,2,"Schmidt, Logan",1000164817,Right,XAV_MUS,"Ford, Justin",830994,Right,SET_PIR,Undefined,1,Top,0,1,0,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,91.71333,-2.213401,-2.688561,2287.853481,218.272137,1:15,6.03775,2.20269,5.87984,-14.13761,19.12603,14.24914,2.8008,0.8915,83.81364,-4.92188,-0.13466,0.415103,,,,,,,,,,,,-8.0613,10.7352,-1.99389,50,5.8507,5.63541,-133.05663,-5.55077,-14.46119,28.37285,-12.91619,XAV_MUS,SET_PIR,HaydenField,D1,BEAST,20250502-HaydenField-1,08fc7020-276f-11f0-b7bd-0535309a96ba,90.80255,,,7.8997,,,,,,,758babde-58c2-4e83-ae4c-66eca4142185,2025-05-02,16:03:48.71,2025-05-02T12:03:48.7199744-04:00,2025-05-02T16:03:48.7199744Z,,v3,471497,471438,02 May 2025 15:00-setonhall@xavier,"Jelic, Jason",830126,Right,XAV_MUS,c072383b-5336-4b94-b31a-d10fd4f7d25b,54.61852,-134.03786,14.18643,6.03493,-5.10408,-6.4581,-2.19743,6.13553,-7.23059,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2025-05-02,12:04:07.50,2,3,"Schmidt, Logan",1000164817,Right,XAV_MUS,"Ford, Justin",830994,Right,SET_PIR,Undefined,1,Top,0,1,1,Slider,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,82.82961,-1.889626,-4.387652,2118.038518,263.456976,2:45,5.90424,2.06697,5.62685,-39.61699,1.18319,0.75638,0.83382,-1.97208,77.36955,-9.064637,-4.252955,0.45973,,,,,,,,,,,,-1.43669,1.35095,-1.69315,50,5.71693,9.18616,-120.10339,-5.32977,-2.1276,20.24486,-30.17347,XAV_MUS,SET_PIR,HaydenField,D1,BEAST,20250502-HaydenField-1,14350ec0-276f-11f0-b7bd-0535309a96ba,81.98828,,,5.46006,,,,,,,758babde-58c2-4e83-ae4c-66eca4142185,2025-05-02,16:04:07.50,2025-05-02T12:04:07.5094528-04:00,2025-05-02T16:04:07.5094528Z,,v3,471497,471438,02 May 2025 15:00-setonhall@xavier,"Jelic, Jason",830126,Right,XAV_MUS,901516f0-b7d0-4f60-87c6-e9a750863e57,54.87384,-120.92214,10.12243,5.9078,-4.10948,-15.08674,-2.0664,9.2722,-1.0638,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
