PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-05-02,15:06:16.42,1,1,"Luczak, Andrew",1000275546,Right,TOW_TIG,"Jackson, Matthew",10130605,Left,SBU_SEA,Undefined,1,Top,0,0,0,Fastball,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,88.42791,-0.965925,-6.936534,2402.377626,229.716483,1:45,5.24184,3.32065,6.0256,-20.07344,16.04891,17.48371,2.66777,-1.67832,80.22874,-4.769216,-3.826367,0.432573,,,,,,,,,,,,-11.11839,8.91343,-2.78535,50,5.15491,14.82237,-127.57285,-2.76126,-18.24731,27.25743,-17.54545,TOW_TIG,SBU_SEA,John B. Schuerholz Park,D1,CAA,20250502-John B. Schuerholz Park-1,8653a6b0-2788-11f0-bab5-4d9eabc2c497,87.13544,,,8.19917,,,,,,,46b17664-2670-40d6-9220-19ff8ff93178,2025-05-02,19:06:16.42,2025-05-02T15:06:16.4257280-04:00,2025-05-02T19:06:16.4257280Z,,v3,471469,471457,02 May 2025 15:00-stonybrook@towson,"Heckelman, Brian",824547,Right,TOW_TIG,bf36d7c3-1d80-4e26-bd36-3eeb5d44527d,54.47594,-128.52563,13.62871,5.24071,-2.14796,-8.77273,-3.31461,15.4602,-9.12366,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2025-05-02,15:06:29.79,1,2,"Luczak, Andrew",1000275546,Right,TOW_TIG,"Jackson, Matthew",10130605,Left,SBU_SEA,Undefined,1,Top,0,1,0,Fastball,Four-Seam,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,89.47371,-0.582137,-4.046093,2348.35656,219.721029,1:15,5.04615,3.46022,6.01714,-15.47906,19.723,15.35402,3.21562,0.98553,80.72221,-3.579189,-1.293611,0.427027,,,,,,,,,,,,-9.05973,10.63638,-3.1505,50,4.99185,8.50057,-129.56236,-1.71893,-15.2429,29.64223,-14.27841,TOW_TIG,SBU_SEA,John B. Schuerholz Park,D1,CAA,20250502-John B. Schuerholz Park-1,8e4f42c0-2788-11f0-bab5-4d9eabc2c497,88.26706,,,8.7515,,,,,,,46b17664-2670-40d6-9220-19ff8ff93178,2025-05-02,19:06:29.79,2025-05-02T15:06:29.7956864-04:00,2025-05-02T19:06:29.7956864Z,,v3,471469,471457,02 May 2025 15:00-stonybrook@towson,"Heckelman, Brian",824547,Right,TOW_TIG,c0e92f5d-d85d-483d-b8fb-970993b703e5,54.47986,-130.58328,14.82112,5.04258,-1.22717,-7.1392,-3.45231,9.02556,-7.62145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2025-05-02,15:06:45.23,1,3,"Luczak, Andrew",1000275546,Right,TOW_TIG,"Jackson, Matthew",10130605,Left,SBU_SEA,Undefined,1,Top,0,1,1,Slider,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,78.14434,0.357781,-0.76951,2511.340886,82.47817,8:45,4.97226,3.47366,5.3076,-46.52337,0.49461,-7.97079,1.4312,2.08704,71.46278,-8.122381,-2.186421,0.493518,,,,,,,,,,,,3.75882,0.61563,-3.39784,50,4.97108,1.84138,-113.38068,-0.88304,4.86069,22.00553,-31.37794,TOW_TIG,SBU_SEA,John B. Schuerholz Park,D1,CAA,20250502-John B. Schuerholz Park-1,9789ee80-2788-11f0-bab5-4d9eabc2c497,76.37493,,,6.68156,,,,,,,46b17664-2670-40d6-9220-19ff8ff93178,2025-05-02,19:06:45.23,2025-05-02T15:06:45.2313088-04:00,2025-05-02T19:06:45.2313088Z,,v3,471469,471457,02 May 2025 15:00-stonybrook@towson,"Heckelman, Brian",824547,Right,TOW_TIG,429b2d28-ed1a-46b5-95af-f89322feb09b,55.19179,-114.38389,11.00277,4.97873,0.54745,-15.68897,-3.47673,1.61979,2.43034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2025-05-02,15:06:59.07,1,4,"Luczak, Andrew",1000275546,Right,TOW_TIG,"Jackson, Matthew",10130605,Left,SBU_SEA,Undefined,1,Top,0,2,1,Fastball,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,,88.65743,-1.438548,-4.75464,2364.923473,224.331508,1:30,5.01912,3.39276,6.14258,-17.48367,17.93072,16.38643,2.22788,0.35431,80.81839,-4.779105,-1.813901,0.428313,,,,,,,,,,,,-9.81138,10.0165,-3.03808,50,4.90002,10.01809,-128.41357,-3.71956,-16.37226,26.75448,-15.45948,TOW_TIG,SBU_SEA,John B. Schuerholz Park,D1,CAA,20250502-John B. Schuerholz Park-1,9fc70060-2788-11f0-bab5-4d9eabc2c497,88.00212,,,7.83903,,,,,,,46b17664-2670-40d6-9220-19ff8ff93178,2025-05-02,19:06:59.07,2025-05-02T15:06:59.0760448-04:00,2025-05-02T19:06:59.0760448Z,,v3,471469,471457,02 May 2025 15:00-stonybrook@towson,"Heckelman, Brian",824547,Right,TOW_TIG,6422344f-24cd-429c-a911-925e351bf64a,54.35777,-129.31831,13.37724,5.01696,-3.19678,-7.72974,-3.38621,10.57174,-8.18613,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2025-05-02,15:07:15.26,1,5,"Luczak, Andrew",1000275546,Right,TOW_TIG,"Jackson, Matthew",10130605,Left,SBU_SEA,Undefined,1,Top,0,2,2,Fastball,Sinker,InPlay,Undefined,GroundBall,Out,1,0,,89.91932,-0.519506,-3.594665,2403.261002,228.701624,1:30,4.9784,3.38299,5.82046,-19.53178,15.47461,16.23887,2.86678,1.38971,81.36475,-4.223019,-0.691095,0.425839,77.83771,-24.558652,6.787593,,,,,7.11213,7.11213,-5.792595,0.058329,-9.37756,8.40587,-3.0983,50,4.9244,7.48249,-130.29397,-1.79125,-15.98305,29.5574,-17.84715,TOW_TIG,SBU_SEA,John B. Schuerholz Park,D1,CAA,20250502-John B. Schuerholz Park-1,a96e50a0-2788-11f0-bab5-4d9eabc2c497,88.51344,2.7765,,8.55457,,,,1.04242,2.7765,-1.43593,46b17664-2670-40d6-9220-19ff8ff93178,2025-05-02,19:07:15.26,2025-05-02T15:07:15.2629760-04:00,2025-05-02T19:07:15.2629760Z,GroundBall,v3,471469,471457,02 May 2025 15:00-stonybrook@towson,"Heckelman, Brian",824547,Right,TOW_TIG,d010d329-51e0-49fe-8195-278d2f5f393f,54.67859,-131.35103,14.7787,4.97705,-1.15298,-8.92358,-3.37612,8.05409,-7.99153,180,1.03932,103.43704,,,,,,,,2.77792,-47.60054,,,,,,,,-1.43629,12.3114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
6,2025-05-02,15:07:47.79,2,1,"Luczak, Andrew",1000275546,Right,TOW_TIG,"Paulsen Jr., Erik",10109164,Left,SBU_SEA,Undefined,1,Top,1,0,0,Fastball,Sinker,InPlay,Undefined,FlyBall,Out,1,0,,89.51134,-0.515245,-4.22956,2266.828305,238.248345,2:00,4.83605,3.47331,5.83305,-25.10056,10.16453,14.50473,2.26408,0.74339,81.29548,-5.204658,-1.638041,0.427409,104.44681,16.727213,4.170093,1457.018038,109.5977,30.66101,9.39751,361.18445,346.3589,7.394071,3.754249,-8.66217,5.69012,-3.13631,50,4.77917,8.96789,-129.6482,-2.01139,-14.65954,28.54816,-22.5443,TOW_TIG,SBU_SEA,John B. Schuerholz Park,D1,CAA,20250502-John B. Schuerholz Park-1,bcd16380-2788-11f0-bab5-4d9eabc2c497,88.18814,41.58795,,8.21586,,,,1.32269,2.41322,-0.67897,46b17664-2670-40d6-9220-19ff8ff93178,2025-05-02,19:07:47.79,2025-05-02T15:07:47.7995520-04:00,2025-05-02T19:07:47.7995520Z,LineDrive,v3,471469,471457,02 May 2025 15:00-stonybrook@towson,"Heckelman, Brian",824547,Right,TOW_TIG,f88ea800-bbb2-4355-91b6-a48678e3bf5f,54.66654,-130.67172,14.27408,4.83679,-1.20313,-11.27215,-3.46725,9.49347,-7.32977,200.224985,1.32291,146.31203,-25.05256,5.44683,-1.0572,0.15101,-0.00952,-0.00094,0.00016,2.41299,44.09426,-12.58028,0.0086,0.02188,0.04216,-0.02239,0.00493,-0.00041,-0.67891,10.6643,2.28974,-1.14871,0.37165,-0.09474,0.01847,-0.00235,0.00014,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,
7,2025-05-02,15:08:24.61,3,1,"Luczak, Andrew",1000275546,Right,TOW_TIG,"Azpilcueta, Nico",813809,Right,SBU_SEA,Undefined,1,Top,2,0,0,Slider,Curveball,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,78.2953,0.540624,-4.29603,2450.790872,81.704188,8:45,4.94208,3.34478,5.64844,-45.6651,0.3635,-6.77382,1.64236,-1.23434,72.34849,-7.783397,-5.500373,0.488298,,,,,,,,,,,,2.30894,0.3976,-2.97525,50,4.95865,8.77619,-113.48889,-0.39956,3.02048,20.18051,-31.65393,TOW_TIG,SBU_SEA,John B. Schuerholz Park,D1,CAA,20250502-John B. Schuerholz Park-1,d2c88ec0-2788-11f0-bab5-4d9eabc2c497,77.1914,,,5.9468,,,,,,,46b17664-2670-40d6-9220-19ff8ff93178,2025-05-02,19:08:24.61,2025-05-02T15:08:24.6152192-04:00,2025-05-02T19:08:24.6152192Z,,v3,471469,471457,02 May 2025 15:00-stonybrook@towson,"Heckelman, Brian",824547,Right,TOW_TIG,e7e10ea2-457b-4ab5-952e-05ec76dd5764,54.85355,-114.34869,10.09026,4.94694,0.94907,-15.82697,-3.34642,8.6475,1.51024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2025-05-02,15:08:44.56,3,2,"Luczak, Andrew",1000275546,Right,TOW_TIG,"Azpilcueta, Nico",813809,Right,SBU_SEA,Undefined,1,Top,2,0,1,ChangeUp,Changeup,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,80.9029,-0.900832,-4.701891,1670.988438,246.098953,2:15,4.97074,3.39289,6.35285,-35.3397,6.97343,12.5719,1.19372,0.10294,73.92113,-7.493645,-2.434313,0.468176,,,,,,,,,,,,-7.96485,4.29398,-3.05698,50,4.8886,9.19672,-117.22257,-2.86517,-11.02743,23.18773,-26.22897,TOW_TIG,SBU_SEA,John B. Schuerholz Park,D1,CAA,20250502-John B. Schuerholz Park-1,dea70a50-2788-11f0-bab5-4d9eabc2c497,80.50915,,,6.98177,,,,,,,46b17664-2670-40d6-9220-19ff8ff93178,2025-05-02,19:08:44.56,2025-05-02T15:08:44.5634560-04:00,2025-05-02T19:08:44.5634560Z,,v3,471469,471457,02 May 2025 15:00-stonybrook@towson,"Heckelman, Brian",824547,Right,TOW_TIG,152e27fa-7038-4bf6-b736-52abf7f54003,54.1478,-118.04019,11.59387,4.97332,-1.94031,-13.11449,-3.38812,9.58556,-5.51372,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2025-05-02,15:09:01.18,3,3,"Luczak, Andrew",1000275546,Right,TOW_TIG,"Azpilcueta, Nico",813809,Right,SBU_SEA,Undefined,1,Top,2,0,2,Slider,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,80.44555,-0.4486,-4.713361,2614.199907,63.43254,8:00,4.91042,3.53691,5.61494,-45.99747,-2.36681,-7.22807,0.65718,-1.47451,74.65377,-8.783334,-5.997339,0.475409,,,,,,,,,,,,2.46579,-0.80969,-3.12857,50,4.84169,9.88247,-116.57801,-2.45065,3.40814,21.02262,-33.29316,TOW_TIG,SBU_SEA,John B. Schuerholz Park,D1,CAA,20250502-John B. Schuerholz Park-1,e891a520-2788-11f0-bab5-4d9eabc2c497,79.28426,,,5.79178,,,,,,,46b17664-2670-40d6-9220-19ff8ff93178,2025-05-02,19:09:01.18,2025-05-02T15:09:01.1899904-04:00,2025-05-02T19:09:01.1899904Z,,v3,471469,471457,02 May 2025 15:00-stonybrook@towson,"Heckelman, Brian",824547,Right,TOW_TIG,6d7faa57-6217-4768-bbfc-5ce815376f9f,54.88838,-117.45622,10.51131,4.91502,-1.05983,-16.64658,-3.53844,9.7401,1.70407,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2025-05-02,15:09:22.61,3,4,"Luczak, Andrew",1000275546,Right,TOW_TIG,"Azpilcueta, Nico",813809,Right,SBU_SEA,Undefined,1,Top,2,1,2,Slider,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,78.59359,-0.610692,-5.945135,2600.495419,80.114035,8:45,4.98171,3.49027,5.58427,-45.94392,0.2837,-6.47583,0.57964,-2.62136,72.55794,-8.935279,-7.09005,0.489353,,,,,,,,,,,,1.63154,0.66602,-2.97312,50,4.89859,12.06705,-113.57085,-2.71022,2.12735,21.12818,-31.30562,TOW_TIG,SBU_SEA,John B. Schuerholz Park,D1,CAA,20250502-John B. Schuerholz Park-1,f553c9f0-2788-11f0-bab5-4d9eabc2c497,77.02505,,,6.03564,,,,,,,46b17664-2670-40d6-9220-19ff8ff93178,2025-05-02,19:09:22.61,2025-05-02T15:09:22.6123264-04:00,2025-05-02T19:09:22.6123264Z,,v3,471469,471457,02 May 2025 15:00-stonybrook@towson,"Heckelman, Brian",824547,Right,TOW_TIG,3c03828f-1a53-40f2-b3a8-d06553f2930b,54.91766,-114.48205,10.56409,4.98636,-1.36009,-15.65281,-3.49156,11.97531,1.06367,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
