PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-05-02,18:35:14.08,1,1,"Edwards, Grant",1000272538,Right,NEW_PRI,"Booker, Narvin",809359,Left,NIC_COL,Undefined,1,Top,0,0,0,Fastball,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,92.27889,-2.732997,-4.379141,1984.075325,238.488789,2:00,5.23716,2.0235,5.95639,-21.35328,11.52792,17.08308,0.91388,-0.62191,84.49102,-6.723533,-1.318625,0.41271,,,,,,,,,,,,-10.07001,6.99107,-1.68499,50,5.0073,9.51746,-133.6372,-7.10747,-18.22544,28.57885,-19.5211,NEW_PRI,NIC_COL,MaestriField,D1,SLAND,20250502-MaestriField-1,0313fe00-27ae-11f0-8105-f7c8463fd3a1,91.32906,,,7.78787,,,,,,,128a542a-8aca-42ef-9734-5646cdb8dd13,2025-05-02,23:35:14.08,2025-05-02T18:35:14.0871338-05:00,2025-05-02T23:35:14.0871338Z,,v3,471381,471383,02 May 2025 19:30-nicholls@norleans,"Evans, Karson",1000150633,Right,NEW_PRI,60db99c6-2f15-48b4-a8b2-215ee6434ac2,54.54531,-134.60572,14.28942,5.23696,-6.44591,-9.76055,-2.018,10.13512,-9.11272,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2025-05-02,18:35:29.57,1,2,"Edwards, Grant",1000272538,Right,NEW_PRI,"Booker, Narvin",809359,Left,NIC_COL,Undefined,1,Top,0,1,0,Fastball,Sinker,InPlay,Undefined,GroundBall,Single,0,0,,92.32021,-1.715548,-4.256893,1965.824323,245.652341,2:15,5.20275,2.19327,5.79266,-22.93623,10.07445,19.92674,1.69066,-0.11333,84.41685,-5.986238,-0.696558,0.413522,98.74426,-1.064959,27.687853,2904.378226,,,,53.15594,49.65953,28.310051,0.372241,-11.38591,5.92583,-1.8547,50,5.04739,9.08766,-133.77327,-4.81616,-20.64976,28.62699,-21.42678,NEW_PRI,NIC_COL,MaestriField,D1,SLAND,20250502-MaestriField-1,0c511ac0-27ae-11f0-8105-f7c8463fd3a1,91.14978,2.35448,,7.90337,,,,1.67615,2.35448,0.30757,128a542a-8aca-42ef-9734-5646cdb8dd13,2025-05-02,23:35:29.57,2025-05-02T18:35:29.5720106-05:00,2025-05-02T23:35:29.5720106Z,GroundBall,v3,471381,471383,02 May 2025 19:30-nicholls@norleans,"Evans, Karson",1000150633,Right,NEW_PRI,68636d08-bd38-40c9-b32a-ca3f7a6a0160,54.70868,-134.77714,14.31349,5.2031,-4.06477,-10.71339,-2.18608,9.81179,-10.32488,,1.68356,127.95393,-18.20261,,,,,,,2.35415,-2.67955,-9.78923,,,,,,,0.30665,67.31505,-1.11437,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Medium,High,,,
3,2025-05-02,18:36:03.32,2,1,"Edwards, Grant",1000272538,Right,NEW_PRI,"Irvin, Karson",823457,Left,NIC_COL,Undefined,1,Top,0,0,0,Fastball,Sinker,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,92.44173,-1.633148,-4.182781,1936.00703,221.638003,1:30,5.22273,2.26281,5.73549,-15.55835,17.58749,14.64772,2.4009,-0.41858,84.00815,-4.599187,-1.571162,0.414368,77.11271,9.34758,-171.087219,887.089071,,,,109.02186,51.87231,-168.625155,1.111907,-8.67398,9.75272,-1.92307,50,5.07697,9.13653,-133.8552,-4.30144,-15.68062,29.86491,-14.54335,NEW_PRI,NIC_COL,MaestriField,D1,SLAND,20250502-MaestriField-1,2074e590-27ae-11f0-8105-f7c8463fd3a1,90.96372,6.70005,,8.43357,,,,1.8716,2.35437,0.44461,128a542a-8aca-42ef-9734-5646cdb8dd13,2025-05-02,23:36:03.32,2025-05-02T18:36:03.3211050-05:00,2025-05-02T23:36:03.3211050Z,GroundBall,v3,471381,471383,02 May 2025 19:30-nicholls@norleans,"Evans, Karson",1000150633,Right,NEW_PRI,fabbc906-ef80-49e3-982d-14b833d3fa0d,54.7639,-134.91391,14.93245,5.22032,-3.78588,-7.27168,-2.25681,9.69241,-7.84031,295.836259,1.8716,-110.24915,12.16683,-1.11318,0.25693,-0.04778,0.00724,-0.00135,0.00018,2.35437,18.36982,-20.2289,1.85886,-0.27387,0.06557,-0.01112,0.00142,-0.00014,0.44461,-17.28975,-2.45532,0.27737,-0.05427,0.01053,-0.00171,0.00029,-4E-05,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,
4,2025-05-02,18:36:57.39,2,2,"Edwards, Grant",1000272538,Right,NEW_PRI,"Irvin, Karson",823457,Left,NIC_COL,Undefined,1,Top,0,0,1,Fastball,Sinker,InPlay,Undefined,GroundBall,Out,1,0,,93.23557,-1.07582,-3.512708,2068.17861,234.205156,1:45,5.21461,2.16799,5.59425,-17.16603,15.81308,20.28147,2.77762,0.57422,83.99594,-4.339361,0.099997,0.413324,70.84501,-6.603201,7.32095,3141.118603,,,,24.18703,23.64657,3.968558,0.220457,-11.41871,8.69024,-1.88019,50,5.11142,7.35831,-135.0112,-3.10015,-20.7998,32.99398,-16.34427,NEW_PRI,NIC_COL,MaestriField,D1,SLAND,20250502-MaestriField-1,40c30200-27ae-11f0-8105-f7c8463fd3a1,91.1934,3.02157,,9.23962,,,,1.96142,3.02157,-0.67503,128a542a-8aca-42ef-9734-5646cdb8dd13,2025-05-02,23:36:57.39,2025-05-02T18:36:57.3985962-05:00,2025-05-02T23:36:57.3985962Z,GroundBall,v3,471381,471383,02 May 2025 19:30-nicholls@norleans,"Evans, Karson",1000150633,Right,NEW_PRI,65af0759-fcfa-4e73-999d-560c57b5193e,54.90512,-136.20464,16.49699,5.21286,-2.50895,-8.17213,-2.15996,8.11067,-10.3999,123.913059,1.96172,102.35756,-8.1983,,,,,,,3.02145,-11.94141,-7.9992,,,,,,,-0.67412,13.098,-11.11814,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
5,2025-05-02,18:37:40.27,3,1,"Edwards, Grant",1000272538,Right,NEW_PRI,"Mock, Logan",1000072750,Right,NIC_COL,Undefined,1,Top,1,0,0,Fastball,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,,92.92709,-1.898738,-3.712752,2077.847304,244.992571,2:15,5.19499,2.13468,5.52103,-22.16521,10.85469,20.91505,1.56825,0.40143,84.65069,-6.018506,0.009104,0.41358,,,,,,,,,,,,-11.64552,6.34929,-1.82566,50,5.01468,7.77406,-134.60806,-5.2752,-21.29943,30.08211,-20.56127,NEW_PRI,NIC_COL,MaestriField,D1,SLAND,20250502-MaestriField-1,5a41f470-27ae-11f0-8105-f7c8463fd3a1,91.13706,,,8.2764,,,,,,,128a542a-8aca-42ef-9734-5646cdb8dd13,2025-05-02,23:37:40.27,2025-05-02T18:37:40.2719914-05:00,2025-05-02T23:37:40.2719914Z,,v3,471381,471383,02 May 2025 19:30-nicholls@norleans,"Evans, Karson",1000150633,Right,NEW_PRI,5cd64ae2-5781-4bd3-b1d9-1a0049be942c,54.97945,-135.7163,15.04105,5.19507,-4.51771,-10.28063,-2.12651,8.55874,-10.64971,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2025-05-02,18:37:58.98,3,2,"Edwards, Grant",1000272538,Right,NEW_PRI,"Mock, Logan",1000072750,Right,NIC_COL,Undefined,1,Top,1,0,1,Fastball,Sinker,InPlay,Undefined,FlyBall,Out,1,0,,92.58897,-1.19124,-2.880353,2069.096768,227.265632,1:30,5.20362,2.08936,5.79167,-16.69769,16.25497,16.38493,2.70244,0.77308,83.99127,-4.368834,0.051114,0.413158,81.61633,32.860595,-5.928692,3754.957845,109.52467,60.86888,-10.21489,293.21747,290.82259,-3.817935,4.602304,-9.24528,8.98052,-1.86223,50,5.09562,6.03159,-134.26829,-3.31684,-16.76387,30.89839,-15.89023,NEW_PRI,NIC_COL,MaestriField,D1,SLAND,20250502-MaestriField-1,65620200-27ae-11f0-8105-f7c8463fd3a1,91.22999,71.90864,,8.59769,,,,1.80106,2.79573,-0.76677,128a542a-8aca-42ef-9734-5646cdb8dd13,2025-05-02,23:37:58.98,2025-05-02T18:37:58.9846698-05:00,2025-05-02T23:37:58.9846698Z,FlyBall,v3,471381,471383,02 May 2025 19:30-nicholls@norleans,"Evans, Karson",1000150633,Right,NEW_PRI,74e2c21d-2101-4940-9228-812019570fe9,54.70794,-135.34736,15.4492,5.20177,-2.7619,-7.94512,-2.08309,6.61704,-8.38194,187.293746,1.8019,99.99706,-17.832,4.1975,-0.85211,0.17319,-0.03415,0.00467,-0.00028,2.7965,64.92587,-16.41451,0.38229,0.31008,-0.2059,0.06102,-0.00877,0.00049,-0.76692,-10.38326,3.27459,-0.847,0.18619,-0.03829,0.00685,-0.00084,5E-05,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,
7,2025-05-02,18:38:42.09,4,1,"Edwards, Grant",1000272538,Right,NEW_PRI,"Collura, Jaden",1000236652,Left,NIC_COL,Undefined,1,Top,2,0,0,Fastball,Sinker,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,93.87186,-1.975955,-3.041026,2132.057927,228.647186,1:30,5.24738,2.16067,5.58601,-16.48639,16.27867,17.07324,2.02496,0.74096,84.11216,-5.123492,0.001775,0.411981,,,,,,,,,,,,-9.58382,9.2265,-1.9104,50,5.06698,6.39831,-135.78998,-5.21519,-17.55078,35.05707,-15.27764,NEW_PRI,NIC_COL,MaestriField,D1,SLAND,20250502-MaestriField-1,7f11ef80-27ae-11f0-8105-f7c8463fd3a1,91.49078,,,9.7597,,,,,,,128a542a-8aca-42ef-9734-5646cdb8dd13,2025-05-02,23:38:42.09,2025-05-02T18:38:42.0940458-05:00,2025-05-02T23:38:42.0940458Z,,v3,471381,471383,02 May 2025 19:30-nicholls@norleans,"Evans, Karson",1000150633,Right,NEW_PRI,f306b071-fee1-445c-93fb-4b29bc43fbfb,54.90994,-137.05172,17.52854,5.24478,-4.66533,-7.63882,-2.15204,7.02998,-8.77539,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2025-05-02,18:39:01.97,4,2,"Edwards, Grant",1000272538,Right,NEW_PRI,"Collura, Jaden",1000236652,Left,NIC_COL,Undefined,1,Top,2,0,1,Fastball,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,93.65288,-2.508948,-5.031912,2144.35191,224.131252,1:30,5.22373,2.19674,5.67685,-12.97213,19.993,18.1532,1.79321,-0.99358,83.77666,-5.040983,-1.804404,0.413237,,,,,,,,,,,,-10.85107,11.32024,-1.783,50,5.00349,11.05092,-135.14062,-6.29315,-19.68775,34.64236,-11.63505,NEW_PRI,NIC_COL,MaestriField,D1,SLAND,20250502-MaestriField-1,8aec9a80-27ae-11f0-8105-f7c8463fd3a1,91.21272,,,9.87622,,,,,,,128a542a-8aca-42ef-9734-5646cdb8dd13,2025-05-02,23:39:01.97,2025-05-02T18:39:01.9700906-05:00,2025-05-02T23:39:01.9700906Z,,v3,471381,471383,02 May 2025 19:30-nicholls@norleans,"Evans, Karson",1000150633,Right,NEW_PRI,0f5d0638-ad50-4c33-8881-81008aae1952,54.82013,-136.37063,17.32118,5.2196,-5.88004,-5.81753,-2.18779,11.74995,-9.84388,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2025-05-02,18:39:24.16,4,3,"Edwards, Grant",1000272538,Right,NEW_PRI,"Collura, Jaden",1000236652,Left,NIC_COL,Undefined,1,Top,2,1,1,Fastball,Sinker,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,92.54639,-1.885045,-4.212688,2019.808348,231.817624,1:45,5.13928,2.02062,5.98148,-16.6282,16.36627,19.30938,2.00093,-0.28218,83.55788,-5.068783,-0.75229,0.413421,85.18466,-10.447495,62.488737,,,,,13.56616,13.56616,48.850848,0.093102,-11.29201,9.34729,-1.69825,50,4.98088,9.03806,-133.97278,-4.91691,-20.2847,32.08307,-15.38285,NEW_PRI,NIC_COL,MaestriField,D1,SLAND,20250502-MaestriField-1,9825eb20-27ae-11f0-8105-f7c8463fd3a1,91.17215,2.11315,,8.98851,,,,3.63314,2.11315,0.0511,128a542a-8aca-42ef-9734-5646cdb8dd13,2025-05-02,23:39:24.16,2025-05-02T18:39:24.1698474-05:00,2025-05-02T23:39:24.1698474Z,GroundBall,v3,471381,471383,02 May 2025 19:30-nicholls@norleans,"Evans, Karson",1000150633,Right,NEW_PRI,5d9fbf69-93a2-44da-aa88-0e40d584a6aa,54.51847,-135.0505,16.04154,5.13737,-4.40017,-7.69143,-2.0133,9.71946,-10.14235,180,3.63157,56.85897,,,,,,,,2.11377,-22.69707,,,,,,,,0.0481,109.17265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
10,2025-05-02,18:39:52.51,4,4,"Edwards, Grant",1000272538,Right,NEW_PRI,"Collura, Jaden",1000236652,Left,NIC_COL,Undefined,1,Top,2,1,2,Fastball,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,93.44703,-1.083509,-1.914838,1956.385194,230.083232,1:45,5.70447,1.87427,5.76878,-15.72973,16.74229,18.65442,3.38462,1.64611,84.45091,-4.091794,1.42452,0.410134,,,,,,,,,,,,-9.98315,9.15945,-1.72673,50,5.60534,3.65843,-135.51396,-3.03921,-18.37117,32.48726,-15.31868,NEW_PRI,NIC_COL,MaestriField,D1,SLAND,20250502-MaestriField-1,a90671d0-27ae-11f0-8105-f7c8463fd3a1,91.90268,,,8.99612,,,,,,,128a542a-8aca-42ef-9734-5646cdb8dd13,2025-05-02,23:39:52.51,2025-05-02T18:39:52.5154474-05:00,2025-05-02T23:39:52.5154474Z,,v3,471381,471383,02 May 2025 19:30-nicholls@norleans,"Evans, Karson",1000150633,Right,NEW_PRI,7757e15b-a751-4702-911c-257344aac767,54.72808,-136.64274,16.24363,5.70169,-2.50696,-7.65934,-1.86493,4.29674,-9.18558,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
