PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-05-02,17:33:02.44,1,1,"Mocherman, Jon",822674,Left,CAL_MAT,"Pitts, Robert",702975,Right,CAL_HIG,Undefined,1,Top,0,0,0,Fastball,Changeup,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,85.73086,-1.150271,3.119442,2058.421599,128.056393,10:15,4.96421,-2.19346,5.84352,-25.19171,12.86776,-14.91426,1.79416,-0.53441,78.58607,-5.851275,0.448375,0.44402,63.89899,13.351103,153.521353,1855.298416,,,,96.36918,57.11066,154.976222,1.181781,8.54465,7.25146,1.94842,50,4.8556,-6.18797,-124.41889,-3.30046,13.41844,24.53369,-20.78638,CAL_MAT,CAL_HIG,Matador Field,D1,BW,20250502-Matador Field-1,2c6ce2f0-27b6-11f0-9d37-5d67ea6c9c45,84.88899,7.60233,,7.14478,,,,3.04815,1.90472,0.52239,a88eb0c7-0704-4fa6-8663-08c85e005b6e,2025-05-03,00:33:02.44,2025-05-02T17:33:02.4401408-07:00,2025-05-03T00:33:02.4401408Z,GroundBall,v3,471256,471263,02 May 2025 21:00-ucriver@calstnorth,"Rios, Xavier",822555,Right,CAL_MAT,0355ea8c-f635-4b33-b363-c00a5b41ce56,54.65818,-125.33405,12.26684,4.96426,-2.52508,-10.39319,2.18858,-6.68851,6.70922,314.809883,3.04815,-81.62017,4.53258,-0.20275,0.03797,0.00809,-0.00083,-5E-05,-3E-05,1.90472,21.64122,-21.41627,1.80614,-0.3549,0.07121,-0.01028,0.00195,-0.00026,0.52239,40.65634,-6.41079,0.88884,-0.1903,0.02682,-0.00487,0.00116,-0.00012,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,
2,2025-05-02,17:33:22.06,1,2,"Mocherman, Jon",822674,Left,CAL_MAT,"Pitts, Robert",702975,Right,CAL_HIG,Undefined,1,Top,0,0,1,ChangeUp,Changeup,InPlay,Undefined,FlyBall,Out,1,0,,78.59984,-0.447895,2.902687,2248.97115,108.487731,9:30,5.09707,-2.27489,5.29596,-38.46077,7.63737,-18.63182,1.47093,-1.09986,72.41665,-7.472556,-0.404024,0.488667,83.17433,37.349732,13.499716,3861.657447,103.50697,70.77082,37.23268,276.61254,273.44848,28.112876,4.965696,10.21591,4.32355,2.02516,50,5.02805,-5.06224,-114.06522,-2.17313,13.5162,20.15078,-26.45377,CAL_MAT,CAL_HIG,Matador Field,D1,BW,20250502-Matador Field-1,3827a9e0-27b6-11f0-9d37-5d67ea6c9c45,77.13318,82.76408,,6.18319,,,,2.1683,1.40671,1.06607,a88eb0c7-0704-4fa6-8663-08c85e005b6e,2025-05-03,00:33:22.06,2025-05-02T17:33:22.0695040-07:00,2025-05-03T00:33:22.0695040Z,FlyBall,v3,471256,471263,02 May 2025 21:00-ucriver@calstnorth,"Rios, Xavier",822555,Right,CAL_MAT,49a3bc4e-5089-4f94-8b8a-159d0d5fcfac,55.20681,-114.98137,10.07539,5.09951,-0.97041,-13.22689,2.26929,-5.67676,6.7581,213.700577,2.17477,94.16213,-20.75103,4.26201,-0.3188,-0.14791,0.05017,-0.00581,0.00023,1.40566,74.01811,-18.77238,0.86356,0.13744,-0.13599,0.04723,-0.00739,0.00043,1.06617,22.63062,4.29604,-2.19665,0.72217,-0.18602,0.03637,-0.00439,0.00023,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
3,2025-05-02,17:33:58.83,2,1,"Mocherman, Jon",822674,Left,CAL_MAT,"Rivas, Andrew",1000120868,Left,CAL_HIG,Undefined,1,Top,1,0,0,Fastball,Changeup,StrikeCalled,Undefined,Undefined,Undefined,0,0,,85.12215,-0.426209,3.182322,2053.288739,116.16182,9:45,5.00093,-2.09329,5.81392,-28.42616,10.153,-18.25643,2.23514,-0.65249,78.11671,-5.706068,-0.085771,0.447042,,,,,,,,,,,,10.24871,5.64579,1.84364,50,4.94896,-6.14552,-123.57579,-1.84372,15.90207,23.8398,-23.41393,CAL_MAT,CAL_HIG,Matador Field,D1,BW,20250502-Matador Field-1,4e0ea880-27b6-11f0-9d37-5d67ea6c9c45,84.31529,,,7.00544,,,,,,,a88eb0c7-0704-4fa6-8663-08c85e005b6e,2025-05-03,00:33:58.83,2025-05-02T17:33:58.8353536-07:00,2025-05-03T00:33:58.8353536Z,,v3,471256,471263,02 May 2025 21:00-ucriver@calstnorth,"Rios, Xavier",822555,Right,CAL_MAT,af4530cd-8b4e-4f3d-b96b-d35f73d12619,54.68832,-124.47696,11.9199,5.00192,-0.95865,-11.70697,2.08731,-6.74663,7.95104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2025-05-02,17:34:14.87,2,2,"Mocherman, Jon",822674,Left,CAL_MAT,"Rivas, Andrew",1000120868,Left,CAL_HIG,Undefined,1,Top,1,0,1,ChangeUp,Slider,InPlay,Undefined,LineDrive,Double,0,0,,79.4409,0.930764,2.653654,2065.02707,119.199564,10:00,5.00175,-2.22978,5.2951,-42.97699,2.06496,-1.34114,2.29527,0.15181,73.30747,-6.889268,2.415877,0.483037,98.1576,14.731341,-29.644799,3989.176306,91.90517,24.04034,-60.44344,290.6342,286.70995,-40.769513,2.971423,1.36406,1.15638,1.98921,50,5.05486,-5.29081,-115.29816,0.39408,1.84832,20.11119,-30.60715,CAL_MAT,CAL_HIG,Matador Field,D1,BW,20250502-Matador Field-1,57a6b680-27b6-11f0-9d37-5d67ea6c9c45,78.03227,27.3629,,6.13343,,,,0.73707,2.00325,-0.03308,a88eb0c7-0704-4fa6-8663-08c85e005b6e,2025-05-03,00:34:14.87,2025-05-02T17:34:14.8738048-07:00,2025-05-03T00:34:14.8738048Z,LineDrive,v3,471256,471263,02 May 2025 21:00-ucriver@calstnorth,"Rios, Xavier",822555,Right,CAL_MAT,1dede159-beee-4ee5-a5fa-839e94cf2b5e,55.20667,-116.2028,10.05559,5.00617,1.77084,-15.30358,2.22907,-5.37395,0.92416,,0.73706,121.00957,-26.02444,5.73985,-1.28947,0.26856,-0.04685,0.00563,-0.00032,2.00329,36.60344,-13.89752,0.54761,-0.04731,0.0063,-0.00082,0.00028,-3E-05,-0.03311,-68.86325,1.76376,0.11807,-0.10293,0.02909,-0.00488,0.00046,-2E-05,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
5,2025-05-02,17:34:58.12,3,1,"Mocherman, Jon",822674,Left,CAL_MAT,"Chapman, Manoah",10103783,Right,CAL_HIG,Undefined,1,Top,1,0,0,ChangeUp,Changeup,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,78.56126,0.039926,4.10574,2248.282581,106.820449,9:30,5.03847,-2.15972,5.44044,-38.14356,7.97422,-21.54592,1.89732,-0.10407,72.03365,-6.961909,0.279666,0.488771,76.22816,76.345741,48.211506,4067.215913,,,,89.44544,34.73351,84.773096,5.603408,12.06158,4.40429,1.81178,50,5.01554,-7.34419,-113.86365,-1.16005,15.85918,20.60586,-26.38308,CAL_MAT,CAL_HIG,Matador Field,D1,BW,20250502-Matador Field-1,7168f380-27b6-11f0-9d37-5d67ea6c9c45,77.11675,133.56542,,6.52761,,,,2.8127,1.3429,-0.6957,a88eb0c7-0704-4fa6-8663-08c85e005b6e,2025-05-03,00:34:58.12,2025-05-02T17:34:58.1210624-07:00,2025-05-03T00:34:58.1210624Z,Popup,v3,471256,471263,02 May 2025 21:00-ucriver@calstnorth,"Rios, Xavier",822555,Right,CAL_MAT,bc0eb0c9-0884-4596-b40c-32a5df5420f0,55.06208,-114.77608,10.30293,5.04105,0.00819,-13.19154,2.15253,-8.04643,7.92959,191.645916,2.79405,17.89785,-12.57794,5.08882,-1.58722,0.3749,-0.05675,0.00459,-0.00014,1.34015,108.67469,-28.23014,3.46669,-0.61859,0.09033,-0.01279,0.00133,-6E-05,-0.68644,19.50496,-0.04956,-1.12364,0.77908,-0.28886,0.05986,-0.00644,0.00028,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Medium,Low,,,
6,2025-05-02,17:35:34.02,3,2,"Mocherman, Jon",822674,Left,CAL_MAT,"Chapman, Manoah",10103783,Right,CAL_HIG,Undefined,1,Top,1,0,1,ChangeUp,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,77.84661,-0.884885,4.40433,2252.338572,111.841823,9:45,5.07351,-2.13198,5.38053,-37.8799,9.12158,-19.11351,1.08482,0.41212,71.68413,-7.813964,1.015041,0.493432,,,,,,,,,,,,10.93823,5.19878,1.75166,50,4.9671,-7.97039,-112.79445,-2.96948,14.14927,19.7308,-25.44911,CAL_MAT,CAL_HIG,Matador Field,D1,BW,20250502-Matador Field-1,86d51cd0-27b6-11f0-9d37-5d67ea6c9c45,76.38833,,,6.16249,,,,,,,a88eb0c7-0704-4fa6-8663-08c85e005b6e,2025-05-03,00:35:34.02,2025-05-02T17:35:34.0233216-07:00,2025-05-03T00:35:34.0233216Z,,v3,471256,471263,02 May 2025 21:00-ucriver@calstnorth,"Rios, Xavier",822555,Right,CAL_MAT,3c4c9ef8-80d8-4b9c-9f6c-eecb53078a2a,55.12272,-113.68702,9.8654,5.07539,-1.81822,-12.72455,2.1267,-8.61046,7.07463,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2025-05-02,17:35:53.25,3,3,"Mocherman, Jon",822674,Left,CAL_MAT,"Chapman, Manoah",10103783,Right,CAL_HIG,Undefined,1,Top,1,1,1,Fastball,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,86.1387,-1.394908,3.759056,2025.190361,129.639819,10:15,4.91992,-2.20442,5.89062,-24.52808,12.91969,-14.26284,1.57766,0.1024,79.43789,-5.962085,1.205134,0.440438,,,,,,,,,,,,8.35394,7.31422,1.90973,50,4.79301,-7.65692,-125.01163,-3.82764,13.33268,23.19006,-20.50073,CAL_MAT,CAL_HIG,Matador Field,D1,BW,20250502-Matador Field-1,923fc7f0-27b6-11f0-9d37-5d67ea6c9c45,85.57949,,,6.70081,,,,,,,a88eb0c7-0704-4fa6-8663-08c85e005b6e,2025-05-03,00:35:53.25,2025-05-02T17:35:53.2516864-07:00,2025-05-03T00:35:53.2516864Z,,v3,471256,471263,02 May 2025 21:00-ucriver@calstnorth,"Rios, Xavier",822555,Right,CAL_MAT,46ac096e-a1a1-4112-b9a7-9476aaba7135,54.61218,-125.8643,11.59503,4.91989,-3.07386,-10.25037,2.20028,-8.14714,6.66634,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2025-05-02,17:36:09.73,3,4,"Mocherman, Jon",822674,Left,CAL_MAT,"Chapman, Manoah",10103783,Right,CAL_HIG,Undefined,1,Top,1,2,1,ChangeUp,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,78.43723,-0.352981,2.146746,2242.650045,111.721236,9:45,4.99022,-2.16108,5.41894,-37.82313,8.14961,-16.99965,1.5074,-1.56579,72.37097,-7.27882,-0.879032,0.488002,,,,,,,,,,,,9.15367,4.6013,1.9827,50,4.93243,-3.61177,-113.91079,-1.93998,12.09655,19.7981,-26.09345,CAL_MAT,CAL_HIG,Matador Field,D1,BW,20250502-Matador Field-1,9c202990-27b6-11f0-9d37-5d67ea6c9c45,77.23829,,,6.06627,,,,,,,a88eb0c7-0704-4fa6-8663-08c85e005b6e,2025-05-03,00:36:09.73,2025-05-02T17:36:09.7361408-07:00,2025-05-03T00:36:09.7361408Z,,v3,471256,471263,02 May 2025 21:00-ucriver@calstnorth,"Rios, Xavier",822555,Right,CAL_MAT,64bfc6fd-8ceb-488f-9a6e-03627df3157f,55.08276,-114.79079,9.89905,4.99289,-0.78016,-13.04673,2.15519,-4.14945,6.04827,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2025-05-02,17:36:28.13,3,5,"Mocherman, Jon",822674,Left,CAL_MAT,"Chapman, Manoah",10103783,Right,CAL_HIG,Undefined,1,Top,1,3,1,Fastball,Changeup,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,85.64272,-0.284035,3.477285,2035.729065,123.464804,10:00,4.97563,-2.15661,5.83577,-26.39375,11.37997,-15.6156,2.51165,-0.22186,79.19703,-5.18164,0.682905,0.44235,68.67359,37.973572,118.55199,3515.188545,,,,,36.85114,,,8.85374,6.21552,1.88217,50,4.93671,-6.93551,-124.3922,-1.47272,14.05429,21.888,-22.30767,CAL_MAT,CAL_HIG,Matador Field,D1,BW,20250502-Matador Field-1,a70fd850-27b6-11f0-9d37-5d67ea6c9c45,85.20951,26.24208,,6.44569,,,,0.88946,2.30128,0.42694,a88eb0c7-0704-4fa6-8663-08c85e005b6e,2025-05-03,00:36:28.13,2025-05-02T17:36:28.1378816-07:00,2025-05-03T00:36:28.1378816Z,,v3,471256,471263,02 May 2025 21:00-ucriver@calstnorth,"Rios, Xavier",822555,Right,CAL_MAT,9cd7d5fd-f2d7-4166-9eb7-552a3613e54f,54.66653,-125.21063,10.944,4.97618,-0.6386,-11.15384,2.15132,-7.46102,7.02715,,0.89779,-38.18486,-3.50168,,,,,,,2.31089,61.70291,-23.70864,,,,,,,0.42903,69.68398,-5.77746,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Undefined,,,
10,2025-05-02,17:36:58.49,3,6,"Mocherman, Jon",822674,Left,CAL_MAT,"Chapman, Manoah",10103783,Right,CAL_HIG,Undefined,1,Top,1,3,2,Fastball,Changeup,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,86.62237,-0.948638,4.616864,2084.797513,120.733038,10:00,4.86831,-2.17555,5.81264,-25.70875,11.8056,-17.81973,1.84084,0.64195,79.12971,-5.74225,1.435661,0.440829,,,,,,,,,,,,10.48642,6.64445,1.80759,50,4.77501,-9.41706,-125.48588,-2.91642,16.71659,25.45194,-21.58199,CAL_MAT,CAL_HIG,Matador Field,D1,BW,20250502-Matador Field-1,b920c8b0-27b6-11f0-9d37-5d67ea6c9c45,85.50354,,,7.49266,,,,,,,a88eb0c7-0704-4fa6-8663-08c85e005b6e,2025-05-03,00:36:58.49,2025-05-02T17:36:58.4936960-07:00,2025-05-03T00:36:58.4936960Z,,v3,471256,471263,02 May 2025 21:00-ucriver@calstnorth,"Rios, Xavier",822555,Right,CAL_MAT,dd353762-480e-49c4-a3c1-c79baceda6e9,54.68953,-126.43347,12.72597,4.86863,-2.11292,-10.791,2.16978,-10.03943,8.35829,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
