PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,,,1,1,"Pidek, Hunter",1000124890,Right,OAK_GOL,"Sailors, Brooks",1000116015,Right,FOR_MAS,Undefined,1,Top,0,0,0,Fastball,,BallCalled,Undefined,Undefined,Undefined,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OAK_GOL,FOR_MAS,OaklandBaseballField,D1,HORZ,20250502-OaklandBaseballField-1,9e84cb20-2782-11f0-8dec-b7cb54b67f10,,,,,,,,,,,141c0f85-eea9-4b2e-af3f-637744fcb51b,,,,,,v3,471397,471321,02 May 2025 14:30-iupufw@oakland,"McGann, Matt",1000252041,Right,OAK_GOL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2025-05-02,14:04:53.16,1,2,"Pidek, Hunter",1000124890,Right,OAK_GOL,"Sailors, Brooks",1000116015,Right,FOR_MAS,Undefined,1,Top,0,0,0,Undefined,Four-Seam,Undefined,Undefined,Undefined,Undefined,0,0,,87.19393,-2.64467,-3.31446,2343.149001,216.172255,1:15,5.48898,1.63762,6.00619,-19.36285,17.99466,12.12446,1.41924,-0.42632,78.4455,-6.34551,-1.137681,0.439906,,,,,,,,,,,,-7.30174,10.51505,-1.3834,50,5.27021,6.80128,-126.14865,-6.37639,-11.5574,29.90595,-15.53047,OAK_GOL,FOR_MAS,OaklandBaseballField,D1,HORZ,20250502-OaklandBaseballField-1,54b99790-2788-11f0-8dec-b7cb54b67f10,85.68287,,,8.74843,,,,,,,141c0f85-eea9-4b2e-af3f-637744fcb51b,2025-05-02,19:04:53.16,2025-05-02T14:04:53.1699712-05:00,2025-05-02T19:04:53.1699712Z,,v3,471397,471321,02 May 2025 14:30-iupufw@oakland,"McGann, Matt",1000252041,Right,OAK_GOL,87b887e2-5e6f-4a38-9cc6-711b97cf4dea,54.49097,-127.20886,14.95297,5.4865,-5.82581,-7.76524,-1.63178,7.21101,-5.7787,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2025-05-02,14:05:07.00,1,3,"Pidek, Hunter",1000124890,Right,OAK_GOL,"Sailors, Brooks",1000116015,Right,FOR_MAS,Undefined,1,Top,0,0,0,Undefined,Four-Seam,Undefined,Undefined,Undefined,Undefined,0,0,,86.29585,-1.847798,-1.567263,2311.221387,211.582644,1:00,5.47407,1.64457,5.93007,-19.1708,19.33907,10.93071,2.16081,1.10093,76.8641,-5.545239,0.395772,0.44664,,,,,,,,,,,,-6.10445,10.97422,-1.52522,50,5.3157,2.95044,-124.89756,-4.54339,-9.37481,31.66295,-15.32052,OAK_GOL,FOR_MAS,OaklandBaseballField,D1,HORZ,20250502-OaklandBaseballField-1,5ce19ad0-2788-11f0-8dec-b7cb54b67f10,84.39115,,,9.43175,,,,,,,141c0f85-eea9-4b2e-af3f-637744fcb51b,2025-05-02,19:05:07.00,2025-05-02T14:05:07.0067712-05:00,2025-05-02T19:05:07.0067712Z,,v3,471397,471321,02 May 2025 14:30-iupufw@oakland,"McGann, Matt",1000252041,Right,OAK_GOL,f70deed8-2478-4361-b81d-25c748b8cb73,54.56392,-126.04925,15.83148,5.47082,-3.98613,-7.66026,-1.63873,3.29143,-4.68741,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2025-05-02,14:05:21.50,1,4,"Pidek, Hunter",1000124890,Right,OAK_GOL,"Sailors, Brooks",1000116015,Right,FOR_MAS,Undefined,1,Top,0,0,0,Undefined,Slider,Undefined,Undefined,Undefined,Undefined,0,0,,79.44995,-1.277941,-1.068777,2435.214305,115.147166,9:45,5.53232,1.6753,5.25675,-42.65136,4.42784,-5.11985,0.77689,0.24431,70.58759,-9.123713,-1.978628,0.49384,,,,,,,,,,,,2.13221,3.28477,-1.57339,50,5.38438,2.35499,-114.78783,-4.01587,2.73431,28.92861,-27.96174,OAK_GOL,FOR_MAS,OaklandBaseballField,D1,HORZ,20250502-OaklandBaseballField-1,65a2f7e0-2788-11f0-8dec-b7cb54b67f10,76.32524,,,8.86235,,,,,,,141c0f85-eea9-4b2e-af3f-637744fcb51b,2025-05-02,19:05:21.50,2025-05-02T14:05:21.5070000-05:00,2025-05-02T19:05:21.5070000Z,,v3,471397,471321,02 May 2025 14:30-iupufw@oakland,"McGann, Matt",1000252041,Right,OAK_GOL,66ce96f5-a9d4-483d-b9a4-94603f2af85c,55.23752,-116.10027,14.4643,5.5378,-2.74729,-13.98087,-1.67741,2.23094,1.36716,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2025-05-02,14:05:37.30,1,5,"Pidek, Hunter",1000124890,Right,OAK_GOL,"Sailors, Brooks",1000116015,Right,FOR_MAS,Undefined,1,Top,0,0,0,Undefined,Four-Seam,Undefined,Undefined,Undefined,Undefined,0,0,,85.80194,-0.763515,-1.721662,2437.724237,199.191184,12:45,5.45854,1.6055,5.90625,-17.91076,21.80111,6.95241,3.25688,0.58624,74.91069,-4.295556,-0.474379,0.453557,67.74812,44.902011,-149.479829,3315.258291,,,,,29.00038,,,-4.25796,11.93359,-1.47108,50,5.38751,3.42885,-123.96861,-2.08466,-6.31243,35.68725,-14.48252,OAK_GOL,FOR_MAS,OaklandBaseballField,D1,HORZ,20250502-OaklandBaseballField-1,6f0576f0-2788-11f0-8dec-b7cb54b67f10,83.10413,27.40595,,10.89124,,,,1.47487,3.22344,-0.52577,141c0f85-eea9-4b2e-af3f-637744fcb51b,2025-05-02,19:05:37.30,2025-05-02T14:05:37.3010000-05:00,2025-05-02T19:05:37.3010000Z,,v3,471397,471321,02 May 2025 14:30-iupufw@oakland,"McGann, Matt",1000252041,Right,OAK_GOL,af1194e4-d910-4649-a53c-93d9b480846b,54.58527,-125.28163,17.84363,5.45441,-1.55181,-7.24126,-1.6015,3.6611,-3.15621,27.163356,1.48683,-61.00455,1.07657,,,,,,,3.25141,69.28363,-33.05041,,,,,,,-0.53714,-35.39449,9.28132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Undefined,,,
6,2025-05-02,14:05:55.86,1,6,"Pidek, Hunter",1000124890,Right,OAK_GOL,"Sailors, Brooks",1000116015,Right,FOR_MAS,Undefined,1,Top,0,0,0,Undefined,Slider,Undefined,Undefined,Undefined,Undefined,0,0,,80.92706,-1.001649,-1.917418,2515.419362,140.183672,10:45,5.60865,1.46748,5.30009,-37.59778,6.66953,-4.23996,1.53449,-0.68666,73.38924,-7.896202,-2.670278,0.478865,91.86981,4.071221,46.860183,3780.754596,,,,83.27802,83.27802,49.867891,0.647103,1.5278,4.07449,-1.28983,50,5.49032,4.09606,-117.2401,-3.33169,2.09334,25.38776,-26.59133,OAK_GOL,FOR_MAS,OaklandBaseballField,D1,HORZ,20250502-OaklandBaseballField-1,7a1a39e0-2788-11f0-8dec-b7cb54b67f10,78.71207,3.07307,,7.53782,,,,3.71066,1.94295,0.54995,141c0f85-eea9-4b2e-af3f-637744fcb51b,2025-05-02,19:05:55.86,2025-05-02T14:05:55.8690000-05:00,2025-05-02T19:05:55.8690000Z,GroundBall,v3,471397,471321,02 May 2025 14:30-iupufw@oakland,"McGann, Matt",1000252041,Right,OAK_GOL,9ab598d7-a035-4d89-a705-7cb8fba1e63a,55.19964,-118.3607,12.69388,5.61148,-2.15797,-13.29566,-1.46859,4.00366,1.04667,,3.75201,91.04288,-21.56004,,,,,,,1.96596,9.08795,-18.79076,,,,,,,0.52551,98.58749,-1.50082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
7,2025-05-02,14:06:22.42,1,7,"Pidek, Hunter",1000124890,Right,OAK_GOL,"Sailors, Brooks",1000116015,Right,FOR_MAS,Undefined,1,Top,0,0,0,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,87.44171,-2.422062,-2.528755,2512.244834,209.397141,1:00,5.59234,1.43291,5.85681,-21.65981,14.80607,7.71752,1.53343,-0.275,80.51427,-6.466302,-1.145548,0.434625,78.36053,44.726832,-30.90495,,84.52382,81.21211,-70.39652,237.75002,118.27837,-47.583359,4.735295,-4.64193,8.56178,-1.23217,50,5.38275,5.29276,-126.90259,-6.05546,-7.61171,24.62025,-18.13467,OAK_GOL,FOR_MAS,OaklandBaseballField,D1,HORZ,20250502-OaklandBaseballField-1,89ed6f40-2788-11f0-9f0a-db441cb7629d,86.72406,84.86933,,6.92744,,,,2.10058,2.24401,-0.54857,141c0f85-eea9-4b2e-af3f-637744fcb51b,2025-05-02,19:06:22.42,2025-05-02T14:06:22.4288256-05:00,2025-05-02T19:06:22.4288256Z,FlyBall,v3,471397,471321,02 May 2025 14:30-iupufw@oakland,"McGann, Matt",1000252041,Right,OAK_GOL,e3aca00b-3536-4991-837f-9e96f0ed8ccd,54.64462,-127.80052,12.31013,5.59153,-5.39407,-9.06734,-1.43026,5.57036,-3.80585,141.407772,2.11863,69.67754,-17.66891,2.69119,0.91771,-0.67641,0.16322,-0.01689,0.00059,2.25116,80.69932,-22.22821,0.25057,1.47769,-0.88946,0.25862,-0.03701,0.00207,-0.55098,-41.86935,-0.99156,2.15609,-1.34002,0.5808,-0.15641,0.02245,-0.0013,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Low,,,
8,2025-05-02,14:07:01.54,1,8,"Pidek, Hunter",1000124890,Right,OAK_GOL,"Sailors, Brooks",1000116015,Right,FOR_MAS,Undefined,1,Top,0,0,1,Curveball,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,76.10431,-1.01341,-0.143178,2349.516801,70.395173,8:15,5.54595,1.44216,5.45815,-50.64625,-2.20284,-9.89461,0.3767,0.48358,71.17967,-10.16276,-1.910697,0.500944,,,,,,,,,,,,5.01398,-0.53882,-1.42237,50,5.42117,0.63617,-110.69163,-3.607,6.28764,17.77222,-32.84976,OAK_GOL,FOR_MAS,OaklandBaseballField,D1,HORZ,20250502-OaklandBaseballField-1,a1449fb0-2788-11f0-9f0a-db441cb7629d,75.24287,,,4.92463,,,,,,,141c0f85-eea9-4b2e-af3f-637744fcb51b,2025-05-02,19:07:01.54,2025-05-02T14:07:01.5482368-05:00,2025-05-02T19:07:01.5482368Z,,v3,471397,471321,02 May 2025 14:30-iupufw@oakland,"McGann, Matt",1000252041,Right,OAK_GOL,dcb0fb95-e181-449c-b209-50606890bb03,55.04618,-111.49888,8.88611,5.55113,-2.1149,-16.42488,-1.44478,0.35058,3.14382,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2025-05-02,14:07:20.52,1,9,"Pidek, Hunter",1000124890,Right,OAK_GOL,"Sailors, Brooks",1000116015,Right,FOR_MAS,Undefined,1,Top,0,1,1,Fastball,Four-Seam,HitByPitch,Undefined,Undefined,Undefined,0,0,,87.90328,-0.452086,-1.368173,2363.880408,206.207178,12:45,5.55101,1.54642,5.97777,-19.07729,16.96832,7.78725,3.54202,0.92681,80.2186,-4.074602,0.031315,0.432113,,,,,,,,,,,,-4.36272,9.1763,-1.44241,50,5.50461,2.72398,-127.6717,-1.56307,-7.1954,26.47166,-17.03965,OAK_GOL,FOR_MAS,OaklandBaseballField,D1,HORZ,20250502-OaklandBaseballField-1,ac735340-2788-11f0-9f0a-db441cb7629d,87.22815,,,7.68468,,,,,,,141c0f85-eea9-4b2e-af3f-637744fcb51b,2025-05-02,19:07:20.52,2025-05-02T14:07:20.5240320-05:00,2025-05-02T19:07:20.5240320Z,,v3,471397,471321,02 May 2025 14:30-iupufw@oakland,"McGann, Matt",1000252041,Right,OAK_GOL,84d4f1a9-1b95-41c9-b6e1-cf0106d61009,54.52076,-128.60562,13.23583,5.54915,-0.96191,-8.51983,-1.54299,2.97783,-3.5977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2025-05-02,14:07:55.37,2,1,"Pidek, Hunter",1000124890,Right,OAK_GOL,"Osterhouse, Justin",1000095739,Left,FOR_MAS,Undefined,1,Top,0,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,86.26672,-2.171778,-1.584696,2393.213108,209.683452,1:00,5.42088,1.6042,5.82538,-24.28769,12.69292,6.68473,1.37614,0.68765,80.5108,-6.656602,-0.385929,0.437682,,,,,,,,,,,,-3.79201,7.29402,-1.47873,50,5.22865,3.20506,-125.44499,-5.5489,-6.16035,20.73542,-20.32447,OAK_GOL,FOR_MAS,OaklandBaseballField,D1,HORZ,20250502-OaklandBaseballField-1,c151e290-2788-11f0-9f0a-db441cb7629d,86.11835,,,5.75592,,,,,,,141c0f85-eea9-4b2e-af3f-637744fcb51b,2025-05-02,19:07:55.37,2025-05-02T14:07:55.3718784-05:00,2025-05-02T19:07:55.3718784Z,,v3,471397,471321,02 May 2025 14:30-iupufw@oakland,"McGann, Matt",1000252041,Right,OAK_GOL,0cff9bea-c3da-4ca7-a22f-5ade326ec72b,54.67702,-126.21571,10.36771,5.42086,-4.79345,-10.16224,-1.60211,3.43404,-3.08018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
