PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,,,1,1,"Doorn, Carter",702365,Right,PUR_BOI,"Knott, Preston",824030,Left,NOR_CAT,Undefined,1,Top,0,0,0,Fastball,,BallCalled,Undefined,Undefined,Undefined,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PUR_BOI,NOR_CAT,PurdueUniversity,D1,BIG10,20250502-PurdueUniversity-1,30a43090-27a1-11f0-a82c-4dea49b31efc,,,,,,,,,,,b33500fa-9f52-483f-9ce6-ad5ec3ac706f,,,,,,v3,471415,471395,02 May 2025 18:00-nwestern@purdue,"Russell, Houston",822039,Right,PUR_BOI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2025-05-02,18:03:01.62,1,2,"Doorn, Carter",702365,Right,PUR_BOI,"Knott, Preston",824030,Left,NOR_CAT,Undefined,1,Top,0,1,0,Fastball,Four-Seam,InPlay,Undefined,FlyBall,Out,1,0,,88.08463,-2.952814,-3.113841,2206.56187,207.527461,1:00,5.82638,2.31271,6.64696,-14.07505,21.26607,10.44666,1.94439,0.33039,80.00721,-5.708906,-1.215674,0.42787,97.71583,24.193963,19.467619,2277.380959,102.68712,44.22405,39.43661,352.87021,342.58297,24.668062,4.20514,-6.47429,12.48367,-2.10678,50,5.62102,6.56181,-127.72893,-6.89974,-10.60843,28.3143,-11.719,PUR_BOI,NOR_CAT,PurdueUniversity,D1,BIG10,20250502-PurdueUniversity-1,379672f0-27a1-11f0-a82c-4dea49b31efc,88.09325,58.94853,,8.07742,,,,2.3671,1.98084,-0.35967,b33500fa-9f52-483f-9ce6-ad5ec3ac706f,2025-05-02,22:03:01.62,2025-05-02T18:03:01.6276992-04:00,2025-05-02T22:03:01.6276992Z,LineDrive,v3,471415,471395,02 May 2025 18:00-nwestern@purdue,"Russell, Houston",822039,Right,PUR_BOI,686c30be-f3be-4ef7-bdcb-d1edb4d1533c,53.85102,-128.57978,14.15715,5.82307,-6.54759,-5.8595,-2.30875,6.8806,-5.30422,207.995402,2.36685,123.26177,-25.2759,6.79373,-1.65435,0.38464,-0.07798,0.01065,-0.00065,1.98221,58.69809,-15.37705,-0.58862,0.7974,-0.36617,0.09925,-0.01409,0.00079,-0.35994,43.57608,-2.29405,-0.26271,0.18276,-0.03647,0.00199,0.00038,-5E-05,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
3,2025-05-02,18:03:38.64,2,1,"Doorn, Carter",702365,Right,PUR_BOI,"McElfatrick, Owen",804406,Right,NOR_CAT,Undefined,1,Top,1,0,0,Slider,Slider,StrikeCalled,Undefined,Undefined,Undefined,0,0,,81.20072,-1.013118,-3.459948,2298.636885,170.652299,11:45,5.89788,2.55157,6.33927,-31.58852,9.99678,-1.4402,2.33097,-0.75775,74.87135,-6.902048,-3.719934,0.464132,,,,,,,,,,,,-0.17354,5.87548,-2.29903,50,5.80916,7.17849,-117.87373,-2.98934,-0.24514,21.56876,-23.87466,PUR_BOI,NOR_CAT,PurdueUniversity,D1,BIG10,20250502-PurdueUniversity-1,4da5e120-27a1-11f0-a82c-4dea49b31efc,81.21065,,,6.32937,,,,,,,b33500fa-9f52-483f-9ce6-ad5ec3ac706f,2025-05-02,22:03:38.64,2025-05-02T18:03:38.6483712-04:00,2025-05-02T22:03:38.6483712Z,,v3,471415,471395,02 May 2025 18:00-nwestern@purdue,"Russell, Houston",822039,Right,PUR_BOI,efde6509-09bd-43dd-9d06-d2f6b329b4f0,54.15823,-118.63217,10.78438,5.89951,-2.14982,-11.93733,-2.5516,7.18711,-0.12257,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2025-05-02,18:03:53.76,2,2,"Doorn, Carter",702365,Right,PUR_BOI,"McElfatrick, Owen",804406,Right,NOR_CAT,Undefined,1,Top,1,0,1,Slider,Slider,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,81.48745,-1.962314,-3.281106,2286.30816,136.750476,10:30,5.86053,2.39406,6.28986,-36.89376,5.09922,-3.44378,0.97406,-0.91984,74.38727,-8.806281,-3.903137,0.466401,,,,,,,,,,,,0.76476,3.70441,-2.1508,50,5.69836,6.89707,-118.10437,-5.15114,1.06758,24.94494,-27.00288,PUR_BOI,NOR_CAT,PurdueUniversity,D1,BIG10,20250502-PurdueUniversity-1,56b70be0-27a1-11f0-a82c-4dea49b31efc,80.8155,,,7.10017,,,,,,,b33500fa-9f52-483f-9ce6-ad5ec3ac706f,2025-05-02,22:03:53.76,2025-05-02T18:03:53.7611776-04:00,2025-05-02T22:03:53.7611776Z,,v3,471415,471395,02 May 2025 18:00-nwestern@purdue,"Russell, Houston",822039,Right,PUR_BOI,e0f41c6d-f241-425a-b3e2-4c3fab1378a7,54.20661,-118.98954,12.47247,5.86414,-4.19295,-13.50144,-2.39487,6.85918,0.53379,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2025-05-02,18:04:12.72,2,3,"Doorn, Carter",702365,Right,PUR_BOI,"McElfatrick, Owen",804406,Right,NOR_CAT,Undefined,1,Top,1,0,2,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,90.57141,-0.037873,-2.365806,2268.454273,207.462724,1:00,6.17354,2.11091,6.15196,-13.10461,21.30478,10.39819,5.04647,0.79035,80.96133,-2.631873,-0.49272,0.422192,,,,,,,,,,,,-6.07642,11.29973,-1.93571,50,6.1635,4.96116,-131.22928,-0.36368,-10.38199,33.00472,-12.86763,PUR_BOI,NOR_CAT,PurdueUniversity,D1,BIG10,20250502-PurdueUniversity-1,61e2d940-27a1-11f0-a82c-4dea49b31efc,89.27797,,,9.61008,,,,,,,b33500fa-9f52-483f-9ce6-ad5ec3ac706f,2025-05-02,22:04:12.72,2025-05-02T18:04:12.7222784-04:00,2025-05-02T22:04:12.7222784Z,,v3,471415,471395,02 May 2025 18:00-nwestern@purdue,"Russell, Houston",822039,Right,PUR_BOI,a6387565-efeb-4a13-8bec-d77b8f41e2b6,54.33968,-132.31623,16.50236,6.1685,0.06009,-6.43382,-2.10472,5.30307,-5.191,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2025-05-02,18:04:29.57,2,4,"Doorn, Carter",702365,Right,PUR_BOI,"McElfatrick, Owen",804406,Right,NOR_CAT,Undefined,1,Top,1,1,2,Slider,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,81.83299,-1.538249,-3.953241,2307.046743,160.264852,11:15,5.83771,2.43489,6.33173,-33.71451,7.94209,-2.33024,1.60805,-1.40519,74.46534,-7.828848,-4.373545,0.46453,,,,,,,,,,,,-0.03421,5.06189,-2.14541,50,5.70968,8.27692,-118.5261,-4.17022,-0.04805,25.29331,-25.06313,PUR_BOI,NOR_CAT,PurdueUniversity,D1,BIG10,20250502-PurdueUniversity-1,6c006af0-27a1-11f0-a82c-4dea49b31efc,81.14109,,,7.36765,,,,,,,b33500fa-9f52-483f-9ce6-ad5ec3ac706f,2025-05-02,22:04:29.57,2025-05-02T18:04:29.5717888-04:00,2025-05-02T22:04:29.5717888Z,,v3,471415,471395,02 May 2025 18:00-nwestern@purdue,"Russell, Houston",822039,Right,PUR_BOI,0a1088ba-235d-4da8-aab1-710e0d19fcb5,54.16394,-119.41137,12.64665,5.84029,-3.293,-12.53156,-2.43514,8.27861,-0.02403,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2025-05-02,18:04:47.33,2,5,"Doorn, Carter",702365,Right,PUR_BOI,"McElfatrick, Owen",804406,Right,NOR_CAT,Undefined,1,Top,1,2,2,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,89.69542,-4.034285,-3.062341,2221.437342,203.696022,12:45,5.95235,2.05931,6.5374,-13.96402,20.43418,8.42977,1.07701,-0.04966,81.32936,-6.754766,-1.533713,0.422123,,,,,,,,,,,,-5.35536,12.31575,-1.85028,50,5.6657,6.61499,-129.83991,-9.48019,-9.04771,29.80561,-11.36698,PUR_BOI,NOR_CAT,PurdueUniversity,D1,BIG10,20250502-PurdueUniversity-1,76930590-27a1-11f0-a82c-4dea49b31efc,89.29253,,,8.36605,,,,,,,b33500fa-9f52-483f-9ce6-ad5ec3ac706f,2025-05-02,22:04:47.33,2025-05-02T18:04:47.3375232-04:00,2025-05-02T22:04:47.3375232Z,,v3,471415,471395,02 May 2025 18:00-nwestern@purdue,"Russell, Houston",822039,Right,PUR_BOI,05ef3bf9-4a97-4edf-a640-39f8679c6fd4,53.95884,-130.74553,14.90281,5.9485,-9.13482,-5.68349,-2.05544,6.8899,-4.52386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2025-05-02,18:05:05.36,2,6,"Doorn, Carter",702365,Right,PUR_BOI,"McElfatrick, Owen",804406,Right,NOR_CAT,Undefined,1,Top,1,3,2,Slider,Slider,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,80.54398,-1.261519,-2.273989,2231.610573,131.250805,10:30,5.75987,2.60584,6.44306,-37.05675,5.70701,-4.79134,1.51157,0.11601,73.21418,-8.187111,-3.142993,0.470662,88.9697,24.635166,-45.992007,3636.910332,72.27362,35.63573,-82.92448,249.57468,197.45331,-54.853861,2.966078,1.78689,3.80433,-2.44241,50,5.65384,4.80842,-116.89198,-3.62301,2.43296,25.30566,-26.99419,PUR_BOI,NOR_CAT,PurdueUniversity,D1,BIG10,20250502-PurdueUniversity-1,81514410-27a1-11f0-a82c-4dea49b31efc,80.08382,37.7343,,7.3298,,,,3.76858,1.70754,-0.08047,b33500fa-9f52-483f-9ce6-ad5ec3ac706f,2025-05-02,22:05:05.36,2025-05-02T18:05:05.3691904-04:00,2025-05-02T22:05:05.3691904Z,LineDrive,v3,471415,471395,02 May 2025 18:00-nwestern@purdue,"Russell, Houston",822039,Right,PUR_BOI,0105d412-f1b0-40de-ac40-620cc55ef336,54.05447,-117.76645,12.65283,5.76292,-2.69019,-13.4971,-2.60712,4.72434,1.21648,113.556997,3.76883,82.39839,-20.67445,5.20529,-1.24429,0.28513,-0.06079,0.00795,-0.00038,1.70746,54.39579,-23.14418,2.44153,-0.50778,0.12808,-0.03454,0.00704,-0.00066,-0.08048,-85.30908,6.2003,0.12163,-0.41494,0.25374,-0.09611,0.02055,-0.00181,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,
9,2025-05-02,18:05:27.33,2,7,"Doorn, Carter",702365,Right,PUR_BOI,"McElfatrick, Owen",804406,Right,NOR_CAT,Undefined,1,Top,1,3,2,Slider,Slider,InPlay,Undefined,GroundBall,Single,0,0,,81.32598,-1.065958,-3.199838,2283.888117,157.428777,11:15,5.80364,2.41698,6.53263,-35.84199,6.40642,-1.99307,1.83739,-0.68732,73.1769,-7.807088,-3.561334,0.467818,84.18608,-15.940937,3.186718,,,,,8.07403,6.78755,9.481792,0.051701,-0.08126,4.19166,-2.19407,50,5.71459,6.65896,-117.8409,-3.1967,-0.11139,27.67232,-26.42907,PUR_BOI,NOR_CAT,PurdueUniversity,D1,BIG10,20250502-PurdueUniversity-1,8ec294a0-27a1-11f0-a82c-4dea49b31efc,80.5708,1.75618,,8.14908,,,,1.82479,1.75618,0.98828,b33500fa-9f52-483f-9ce6-ad5ec3ac706f,2025-05-02,22:05:27.33,2025-05-02T18:05:27.3302528-04:00,2025-05-02T22:05:27.3302528Z,GroundBall,v3,471415,471395,02 May 2025 18:00-nwestern@purdue,"Russell, Houston",822039,Right,PUR_BOI,e4d4e0e4-6476-4806-a488-db91313f519f,53.96271,-118.76781,13.83616,5.80684,-2.31143,-13.21453,-2.41718,6.66269,-0.0557,180,1.82315,118.73822,,,,,,,,1.75665,-33.96774,,,,,,,,0.98819,6.61089,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Low,Low,,,
10,2025-05-02,18:06:06.24,3,1,"Doorn, Carter",702365,Right,PUR_BOI,"Freeman, Jackson",824034,Left,NOR_CAT,Undefined,1,Top,1,0,0,ChangeUp,Changeup,StrikeCalled,Undefined,Undefined,Undefined,0,0,,81.32738,-1.00274,-2.481173,1671.041132,245.375807,2:15,5.90611,2.44307,6.4453,-33.19553,8.20323,15.02284,2.21753,1.41383,74.58917,-7.216421,0.244263,0.46309,,,,,,,,,,,,-8.52977,4.98784,-2.27325,50,5.82023,4.57966,-118.15571,-3.01262,-12.04156,22.80457,-25.13269,PUR_BOI,NOR_CAT,PurdueUniversity,D1,BIG10,20250502-PurdueUniversity-1,a5a22410-27a1-11f0-a82c-4dea49b31efc,81.39338,,,6.73821,,,,,,,b33500fa-9f52-483f-9ce6-ad5ec3ac706f,2025-05-02,22:06:06.24,2025-05-02T18:06:06.2436864-04:00,2025-05-02T22:06:06.2436864Z,,v3,471415,471395,02 May 2025 18:00-nwestern@purdue,"Russell, Houston",822039,Right,PUR_BOI,3d85074b-e6b8-4850-94b3-00fa2e691da9,54.05264,-118.93531,11.40228,5.90854,-2.15343,-12.56635,-2.43685,4.99131,-6.02078,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
