PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-05-02,18:36:06.54,1,1,"Braunecker, Gavin",830386,Left,AUS_GOV,"Akers, Landon",1000239335,Right,BEL_KNI,Undefined,1,Top,0,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,88.94687,-1.991606,0.789765,2169.021985,155.101657,11:15,6.12791,-1.52984,5.85012,-14.80178,21.99163,-9.45241,3.04286,-1.58362,78.21897,-4.919325,-0.905377,0.436573,,,,,,,,,,,,5.06992,12.39028,1.47089,50,5.95757,-1.34417,-128.55416,-4.81126,8.14638,36.52089,-12.26525,AUS_GOV,BEL_KNI,RaymondHand,D1,ASUN,20250502-RaymondHand-1,384e6560-27ae-11f0-bc03-9108f8cd19d2,86.33718,,,10.7279,,,,,,,7ca74630-a167-4a4f-8716-a01a2affaaec,2025-05-02,23:36:06.54,2025-05-02T18:36:06.5400320-05:00,2025-05-02T23:36:06.5400320Z,,v3,471237,,,"Conley, Trevor",800753,Right,AUS_GOV,15ab1d17-f3e8-474f-9a73-06cd965c8f39,54.64025,-129.86571,18.26044,6.12244,-4.37078,-6.13262,1.52442,-1.63673,4.07319,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2025-05-02,18:36:19.37,1,2,"Braunecker, Gavin",830386,Left,AUS_GOV,"Akers, Landon",1000239335,Right,BEL_KNI,Undefined,1,Top,0,1,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,87.43777,-0.823956,1.111923,2121.451278,137.966472,10:30,6.00808,-1.42113,6.0288,-19.6497,18.13662,-14.85828,3.60734,-1.62943,76.90126,-4.643774,-1.561824,0.442424,,,,,,,,,,,,7.96158,10.05749,1.34158,50,5.93325,-1.80485,-126.4801,-2.33905,12.37731,35.46231,-16.53842,AUS_GOV,BEL_KNI,RaymondHand,D1,ASUN,20250502-RaymondHand-1,400b4ac0-27ae-11f0-bc03-9108f8cd19d2,85.19528,,,10.53651,,,,,,,7ca74630-a167-4a4f-8716-a01a2affaaec,2025-05-02,23:36:19.37,2025-05-02T18:36:19.3766912-05:00,2025-05-02T23:36:19.3766912Z,,v3,471237,,,"Conley, Trevor",800753,Right,AUS_GOV,262635db-abdd-496d-ad3f-098950ceb8c5,54.46194,-127.72501,17.73116,6.00518,-1.75846,-8.26921,1.41257,-2.23936,6.18866,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2025-05-02,18:36:34.16,1,3,"Braunecker, Gavin",830386,Left,AUS_GOV,"Akers, Landon",1000239335,Right,BEL_KNI,Undefined,1,Top,0,2,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,88.98048,-3.720728,2.551113,2211.624495,143.77491,10:45,6.00887,-1.2421,6.06718,-15.93422,20.52383,-13.87131,1.22946,-0.03559,78.693,-6.837636,0.055239,0.434578,,,,,,,,,,,,8.13603,12.44772,1.0516,50,5.71167,-5.13823,-128.4833,-8.75654,13.09987,35.73335,-12.13192,AUS_GOV,BEL_KNI,RaymondHand,D1,ASUN,20250502-RaymondHand-1,48da3c60-27ae-11f0-bc03-9108f8cd19d2,86.73337,,,10.28748,,,,,,,7ca74630-a167-4a4f-8716-a01a2affaaec,2025-05-02,23:36:34.16,2025-05-02T18:36:34.1612544-05:00,2025-05-02T23:36:34.1612544Z,,v3,471237,,,"Conley, Trevor",800753,Right,AUS_GOV,cacbcbe3-1c91-4060-aed5-5e4ad3a7022e,54.4278,-129.7089,17.86667,6.00487,-8.34044,-6.06596,1.23554,-5.58754,6.54994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2025-05-02,18:36:48.06,1,4,"Braunecker, Gavin",830386,Left,AUS_GOV,"Akers, Landon",1000239335,Right,BEL_KNI,Undefined,1,Top,0,2,1,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,88.18869,-3.246205,1.982011,2143.465562,145.796908,10:45,6.00998,-1.1893,6.07803,-18.70332,18.08702,-11.26497,1.44282,-0.29347,78.57831,-6.846484,-0.046787,0.436554,73.26172,59.062392,58.582096,4615.491461,30.22931,96.32098,105.76477,175.42046,78.79196,77.112364,4.769419,6.53811,10.93516,1.04195,50,5.74895,-3.94603,-127.53913,-7.74628,10.4468,33.54179,-14.7015,AUS_GOV,BEL_KNI,RaymondHand,D1,ASUN,20250502-RaymondHand-1,5129c4d0-27ae-11f0-bc03-9108f8cd19d2,86.34077,98.04493,,9.61038,,,,1.10273,2.1641,0.64873,7ca74630-a167-4a4f-8716-a01a2affaaec,2025-05-02,23:36:48.06,2025-05-02T18:36:48.0694272-05:00,2025-05-02T23:36:48.0694272Z,Popup,v3,471237,,,"Conley, Trevor",800753,Right,AUS_GOV,e539a046-e16f-4396-9a58-951f63f5c47c,54.41773,-128.69571,16.7709,6.00732,-7.23934,-7.35075,1.18423,-4.30625,5.2234,211.17565,1.12882,28.16319,-10.45444,-1.18334,4.05884,-2.31121,0.63295,-0.08529,0.00452,2.18274,91.77998,-25.33759,0.53046,1.46657,-0.74323,0.16616,-0.01762,0.0007,0.6544,47.05499,-2.2955,-0.40284,0.01775,0.18659,-0.0938,0.01758,-0.00116,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Medium,Low,,,
5,2025-05-02,18:37:07.04,1,5,"Braunecker, Gavin",830386,Left,AUS_GOV,"Akers, Landon",1000239335,Right,BEL_KNI,Undefined,1,Top,0,2,2,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,88.262,-2.955297,1.996305,2189.15417,141.194563,10:45,5.95376,-1.45356,5.83243,-18.54532,17.79088,-13.28268,1.65717,-0.70406,80.11757,-6.470827,-0.384773,0.433852,84.27009,27.572242,62.735254,3497.797796,42.48561,43.55197,101.46414,275.78585,132.38403,76.795819,3.825085,7.42717,10.37701,1.29867,50,5.70156,-3.90297,-127.89718,-7.15742,12.18637,28.69849,-15.14765,AUS_GOV,BEL_KNI,RaymondHand,D1,ASUN,20250502-RaymondHand-1,5c7a0a20-27ae-11f0-bc03-9108f8cd19d2,86.87863,49.57292,,8.14443,,,,1.0411,1.6521,0.83751,7ca74630-a167-4a4f-8716-a01a2affaaec,2025-05-02,23:37:07.04,2025-05-02T18:37:07.0467072-05:00,2025-05-02T23:37:07.0467072Z,LineDrive,v3,471237,,,"Conley, Trevor",800753,Right,AUS_GOV,95d6a14d-0e29-4eb7-af29-2acb41c0fae3,54.66659,-128.94005,14.34925,5.95165,-6.60697,-7.57383,1.44854,-4.34581,6.09319,,1.04126,50.1762,-14.48705,2.57931,-0.18504,-0.23161,0.11075,-0.02033,0.00139,1.65155,57.22761,-19.86496,2.33373,-0.75427,0.30323,-0.08205,0.01182,-0.0007,0.83796,97.36602,-7.56778,-0.34819,0.69391,-0.4436,0.1439,-0.02336,0.00151,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Low,,,
6,2025-05-02,18:37:25.63,1,6,"Braunecker, Gavin",830386,Left,AUS_GOV,"Akers, Landon",1000239335,Right,BEL_KNI,Undefined,1,Top,0,2,2,ChangeUp,Changeup,InPlay,Undefined,GroundBall,Out,1,0,,83.40201,-2.405108,2.124394,1795.399681,110.147175,9:45,5.72426,-1.73526,5.8009,-32.27415,9.06426,-20.28316,0.79494,-1.44876,74.91782,-8.411843,-1.515006,0.462752,40.49227,-17.051387,-4.353228,,,,,7.38199,6.6002,8.828968,0.063254,11.16445,5.9187,1.57321,50,5.50744,-3.6682,-120.73161,-6.10328,16.05134,29.18375,-23.66462,AUS_GOV,BEL_KNI,RaymondHand,D1,ASUN,20250502-RaymondHand-1,67962010-27ae-11f0-bc03-9108f8cd19d2,81.45279,1.10682,,8.48419,,,,3.69626,1.10682,1.40694,7ca74630-a167-4a4f-8716-a01a2affaaec,2025-05-02,23:37:25.63,2025-05-02T18:37:25.6381440-05:00,2025-05-02T23:37:25.6381440Z,GroundBall,v3,471237,,,"Conley, Trevor",800753,Right,AUS_GOV,901b3065-9bca-4428-a268-d76240b199a1,54.69748,-121.86181,14.59188,5.72606,-5.18681,-11.83231,1.7273,-4.28983,8.02567,,3.6935,56.88566,,,,,,,,1.10767,-17.49798,,,,,,,,1.40716,-4.3304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Low,Low,,,
7,2025-05-02,18:38:03.57,2,1,"Braunecker, Gavin",830386,Left,AUS_GOV,"Milto, Joey",1000094422,Left,BEL_KNI,Undefined,1,Top,1,0,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,88.13945,-3.839278,1.878495,2176.89463,147.112022,11:00,6.10233,-1.37051,5.98112,-13.94099,22.74387,-13.7845,1.37456,-0.77735,79.12079,-6.563547,-0.598678,0.435928,,,,,,,,,,,,7.75953,13.41946,1.22987,50,5.79104,-3.61399,-127.50809,-8.89462,12.50527,31.37381,-10.54728,AUS_GOV,BEL_KNI,RaymondHand,D1,ASUN,20250502-RaymondHand-1,7e298b50-27ae-11f0-bc03-9108f8cd19d2,86.46483,,,9.01867,,,,,,,7ca74630-a167-4a4f-8716-a01a2affaaec,2025-05-02,23:38:03.57,2025-05-02T18:38:03.5759104-05:00,2025-05-02T23:38:03.5759104Z,,v3,471237,,,"Conley, Trevor",800753,Right,AUS_GOV,f990764f-34db-49a2-9491-8c726039cf53,54.5169,-128.61469,15.6869,6.09821,-8.52261,-5.27364,1.36512,-4.05507,6.25263,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2025-05-02,18:38:23.83,2,2,"Braunecker, Gavin",830386,Left,AUS_GOV,"Milto, Joey",1000094422,Left,BEL_KNI,Undefined,1,Top,1,0,1,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,88.38113,-4.355149,2.467372,2298.389613,142.214472,10:45,5.96663,-1.416,5.96486,-18.39288,17.77753,-12.79107,0.38416,-0.19271,80.36483,-7.834253,0.169213,0.432861,,,,,,,,,,,,7.4043,10.8702,1.22774,50,5.61031,-4.9963,-127.88423,-10.28563,12.14483,28.72363,-14.3443,AUS_GOV,BEL_KNI,RaymondHand,D1,ASUN,20250502-RaymondHand-1,8a395010-27ae-11f0-bc03-9108f8cd19d2,87.07751,,,8.0163,,,,,,,7ca74630-a167-4a4f-8716-a01a2affaaec,2025-05-02,23:38:23.83,2025-05-02T18:38:23.8340608-05:00,2025-05-02T23:38:23.8340608Z,,v3,471237,,,"Conley, Trevor",800753,Right,AUS_GOV,4d8e8b29-1420-434d-9b5c-7226c1152304,54.53543,-128.89889,14.36181,5.9647,-9.77892,-7.17215,1.41181,-5.42532,6.07241,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2025-05-02,18:38:40.52,2,3,"Braunecker, Gavin",830386,Left,AUS_GOV,"Milto, Joey",1000094422,Left,BEL_KNI,Undefined,1,Top,1,1,1,Cutter,Cutter,BallCalled,Undefined,Undefined,Undefined,0,0,,85.4044,-3.693,3.422121,2221.989014,165.377481,11:30,5.85303,-1.4272,6.28672,-28.72509,9.79564,-2.19004,0.04499,1.54789,77.51648,-9.051021,3.026587,0.446703,,,,,,,,,,,,2.26228,6.7002,1.17586,50,5.56634,-7.30439,-123.5357,-8.84243,3.43853,28.38276,-21.99012,AUS_GOV,BEL_KNI,RaymondHand,D1,ASUN,20250502-RaymondHand-1,94363a60-27ae-11f0-bc03-9108f8cd19d2,84.37925,,,7.88792,,,,,,,7ca74630-a167-4a4f-8716-a01a2affaaec,2025-05-02,23:38:40.52,2025-05-02T18:38:40.5280768-05:00,2025-05-02T23:38:40.5280768Z,,v3,471237,,,"Conley, Trevor",800753,Right,AUS_GOV,b34a8837-42e1-4ed5-b0a9-eaa5a065a188,54.21165,-124.49958,14.19138,5.85395,-8.09564,-10.99506,1.4259,-7.42117,1.71926,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2025-05-02,18:39:03.21,2,4,"Braunecker, Gavin",830386,Left,AUS_GOV,"Milto, Joey",1000094422,Left,BEL_KNI,Undefined,1,Top,1,2,1,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,88.11769,-2.23682,1.727414,2220.066544,133.956711,10:30,6.01328,-1.27106,6.01255,-19.97292,16.64485,-15.79422,2.27471,-0.98651,78.99448,-6.053464,-1.114209,0.435529,103.06622,2.543532,51.831671,3756.993681,,,,68.5453,68.2084,52.426304,0.467533,8.76197,9.74327,1.14428,50,5.82698,-3.19942,-127.66059,-5.56408,14.12335,31.97678,-16.46892,AUS_GOV,BEL_KNI,RaymondHand,D1,ASUN,20250502-RaymondHand-1,a1b398e0-27ae-11f0-bc03-9108f8cd19d2,86.54398,2.62542,,9.12321,,,,3.17701,2.18893,1.06846,7ca74630-a167-4a4f-8716-a01a2affaaec,2025-05-02,23:39:03.21,2025-05-02T18:39:03.2194560-05:00,2025-05-02T23:39:03.2194560Z,GroundBall,v3,471237,,,"Conley, Trevor",800753,Right,AUS_GOV,5706d50e-f884-49dd-962a-283a24f915e7,54.48528,-128.77917,15.98839,6.01155,-4.98798,-8.23446,1.26484,-3.69347,7.06167,,3.19747,92.73497,-21.84843,,,,,,,2.20702,6.1878,-23.40973,,,,,,,1.06869,118.72384,-10.29097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
