PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-05-02,18:07:19.73,1,1,"Kelly, Owen",10129877,Right,SLU_BILL,"Tirado, Anthony",832076,Left,UMA_AMH,Undefined,1,Top,0,0,0,Fastball,Sinker,InPlay,Undefined,GroundBall,Single,0,0,,92.15239,-0.427759,-2.837193,2438.089243,257.07271,2:30,4.72803,1.64651,6.34074,-27.72931,5.10205,17.07867,2.02295,0.45556,83.08928,-5.64103,0.252671,0.412397,88.62914,-33.311696,7.849334,,,,,4.69186,4.69186,-0.369891,0.028556,-9.83788,3.12854,-1.44784,50,4.68396,5.92027,-133.69375,-1.91016,-17.51208,33.2605,-26.60501,SLU_BILL,UMA_AMH,StLouisUniversity,D1,A10,20250502-StLouisUniversity-1,332965c0-27aa-11f0-b219-c925279c1349,91.39835,2.04232,,9.06311,,,,1.61314,2.04232,-0.45471,3f7e15b7-bac4-4b21-a86c-e49b0fe1fb3e,2025-05-02,23:07:19.73,2025-05-02T18:07:19.7349376-05:00,2025-05-02T23:07:19.7349376Z,GroundBall,v3,471427,umass,02 May 2025 19:00-umass@stlouis,"Sanchez, Kamaehu",1000324940,Right,SLU_BILL,b40e0a84-f606-4aef-973c-2d1d15c63e37,54.15764,-134.72412,16.63025,4.73037,-1.08597,-13.3025,-1.63965,6.46278,-8.75604,,1.61223,107.81132,,,,,,,,2.04292,-71.52041,,,,,,,,-0.45484,14.8629,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Estimated,Estimated,,,
2,2025-05-02,18:07:53.44,2,1,"Kelly, Owen",10129877,Right,SLU_BILL,"McCarthy, Reece",832091,Left,UMA_AMH,Undefined,1,Top,0,0,0,Fastball,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,,92.50216,-0.329213,-2.812831,2510.884897,260.870517,2:45,4.68117,1.63416,6.3566,-28.4395,3.92138,17.54469,2.00785,0.50531,83.91364,-5.657909,0.362663,0.409432,,,,,,,,,,,,-9.92067,2.50012,-1.4376,50,4.64436,5.85191,-134.26924,-1.72869,-17.94072,31.61839,-27.65276,SLU_BILL,UMA_AMH,StLouisUniversity,D1,A10,20250502-StLouisUniversity-1,47484e90-27aa-11f0-b219-c925279c1349,92.06036,,,8.58852,,,,,,,3f7e15b7-bac4-4b21-a86c-e49b0fe1fb3e,2025-05-02,23:07:53.44,2025-05-02T18:07:53.4494720-05:00,2025-05-02T23:07:53.4494720Z,,v3,471427,umass,02 May 2025 19:00-umass@stlouis,"Sanchez, Kamaehu",1000324940,Right,SLU_BILL,80827d29-816d-4ef9-a7e3-19c050560baf,54.1412,-135.24091,15.80919,4.68443,-0.87889,-13.82638,-1.6259,6.40324,-8.97036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2025-05-02,18:08:52.22,2,2,"Kelly, Owen",10129877,Right,SLU_BILL,"McCarthy, Reece",832091,Left,UMA_AMH,Undefined,1,Top,0,0,1,Fastball,Sinker,InPlay,Undefined,GroundBall,Out,2,0,,93.05605,-0.784801,-3.335979,2473.2353,260.159082,2:45,4.60628,1.61324,6.18521,-27.31005,4.87988,21.81485,1.60452,0.34736,84.46758,-5.888322,0.598102,0.408349,90.335,-80.475437,7.714868,,,,,0.78843,0.78843,-24.258106,0.011509,-12.29064,3.08957,-1.37205,50,4.53328,6.93658,-135.00662,-2.79073,-22.48577,31.79322,-26.52169,SLU_BILL,UMA_AMH,StLouisUniversity,D1,A10,20250502-StLouisUniversity-1,6a48e0d0-27aa-11f0-b219-c925279c1349,92.30446,1.50587,,8.58848,,,,0.46844,1.50587,-0.35784,3f7e15b7-bac4-4b21-a86c-e49b0fe1fb3e,2025-05-02,23:08:52.22,2025-05-02T18:08:52.2297344-05:00,2025-05-02T23:08:52.2297344Z,GroundBall,v3,471427,umass,02 May 2025 19:00-umass@stlouis,"Sanchez, Kamaehu",1000324940,Right,SLU_BILL,c0edbc1f-db2e-4cc9-9b59-f20c3bd62ea9,54.31434,-136.01882,15.89661,4.60869,-1.94636,-13.26085,-1.60429,7.65246,-11.24288,,0.46839,21.75396,,,,,,,,1.50619,-130.83936,,,,,,,,-0.35785,2.947,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Estimated,Estimated,,,
4,2025-05-02,18:09:29.66,3,1,"Kelly, Owen",10129877,Right,SLU_BILL,"Beverly, Jack",832079,Right,UMA_AMH,Undefined,1,Top,2,0,0,Fastball,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,93.32494,-0.937128,-3.050889,2566.451762,261.436505,2:45,4.56183,1.42005,6.59587,-27.95714,3.97154,18.29934,1.37219,0.14716,83.66109,-6.218911,0.276309,0.406688,,,,,,,,,,,,-10.63418,2.77465,-1.21827,50,4.48656,6.45484,-135.32208,-3.11516,-19.25472,36.0081,-27.15015,SLU_BILL,UMA_AMH,StLouisUniversity,D1,A10,20250502-StLouisUniversity-1,80a22940-27aa-11f0-b219-c925279c1349,92.68136,,,9.66385,,,,,,,3f7e15b7-bac4-4b21-a86c-e49b0fe1fb3e,2025-05-02,23:09:29.66,2025-05-02T18:09:29.6690176-05:00,2025-05-02T23:09:29.6690176Z,,v3,471427,umass,02 May 2025 19:00-umass@stlouis,"Sanchez, Kamaehu",1000324940,Right,SLU_BILL,062ecb3f-2b7b-417a-bf98-5bfd83e27abf,53.90101,-136.35616,18.00405,4.56482,-2.33547,-13.57508,-1.41158,7.0078,-9.62736,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2025-05-02,18:09:46.61,3,2,"Kelly, Owen",10129877,Right,SLU_BILL,"Beverly, Jack",832079,Right,UMA_AMH,Undefined,1,Top,2,1,0,Fastball,Sinker,InPlay,Undefined,Popup,Out,1,0,,91.82558,0.05358,-3.278235,2415.40625,250.596127,2:15,4.90486,1.48776,6.21139,-26.06242,7.30536,17.21702,2.78252,-0.10628,82.38937,-4.861761,-0.174142,0.415753,77.92533,80.712221,20.994794,,,,,49.6509,49.43267,23.206741,6.099534,-10.08217,4.1024,-1.2504,50,4.89594,6.90739,-133.09781,-0.72642,-17.72258,33.91597,-24.96278,SLU_BILL,UMA_AMH,StLouisUniversity,D1,A10,20250502-StLouisUniversity-1,8aad9280-27aa-11f0-b219-c925279c1349,90.66071,154.41066,,9.43621,,,,3.82184,2.98176,0.09601,3f7e15b7-bac4-4b21-a86c-e49b0fe1fb3e,2025-05-02,23:09:46.61,2025-05-02T18:09:46.6150912-05:00,2025-05-02T23:09:46.6150912Z,Popup,v3,471427,umass,02 May 2025 19:00-umass@stlouis,"Sanchez, Kamaehu",1000324940,Right,SLU_BILL,40f8b0b0-f07c-4600-af32-fd0b64cf4227,54.28694,-134.18576,16.95799,4.9064,0.07433,-12.48139,-1.4811,7.47589,-8.86129,,3.82199,17.21388,-5.1476,1.21517,-0.25772,0.06819,-0.01346,0.00137,-6E-05,2.98249,112.78172,-26.95607,3.46351,-0.70896,0.12335,-0.01989,0.00217,-0.0001,0.09569,6.6121,-1.8428,0.47903,-0.12362,0.03719,-0.00758,0.00079,-3E-05,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Medium,Medium,,,
6,2025-05-02,18:12:47.79,1,1,"O'Connor, Robbie",832084,Right,UMA_AMH,"Blazier, Ian",813662,Left,SLU_BILL,Undefined,1,Bottom,0,0,0,Fastball,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,87.29407,1.122033,-3.877305,2254.534276,263.043056,2:45,4.7869,2.61156,5.74947,-33.10545,4.19107,23.75934,3.07521,0.97636,78.93094,-5.01633,0.366053,0.439547,,,,,,,,,,,,-13.17198,2.19673,-2.30346,50,4.86034,7.5374,-126.44228,1.31818,-21.1242,28.0402,-28.65112,SLU_BILL,UMA_AMH,StLouisUniversity,D1,A10,20250502-StLouisUniversity-1,f6b9f130-27aa-11f0-b219-c925279c1349,85.75287,,,8.36313,,,,,,,3f7e15b7-bac4-4b21-a86c-e49b0fe1fb3e,2025-05-02,23:12:47.79,2025-05-02T18:12:47.7903872-05:00,2025-05-02T23:12:47.7903872Z,,v3,471427,umass,02 May 2025 19:00-umass@stlouis,"Toth, Michael",832074,Right,UMA_AMH,23ab43f9-62c7-4870-9a7a-f45158cf5a31,54.74914,-127.49111,14.0201,4.79099,2.38987,-14.32556,-2.60018,8.32754,-10.5621,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2025-05-02,18:13:05.60,1,2,"O'Connor, Robbie",832084,Right,UMA_AMH,"Blazier, Ian",813662,Left,SLU_BILL,Undefined,1,Bottom,0,1,0,Fastball,Sinker,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,87.68382,-0.422614,-4.71955,2197.353456,263.423957,2:45,4.90835,2.56437,5.77179,-33.67604,3.40996,18.15859,1.70739,-0.32427,79.31602,-6.651025,-1.478981,0.438305,85.75146,-25.863911,61.895372,,,,,5.22686,5.22686,42.871982,0.032498,-10.74489,2.24008,-2.18475,50,4.853,9.70522,-126.86227,-2.1193,-17.30164,28.84639,-28.56701,SLU_BILL,UMA_AMH,StLouisUniversity,D1,A10,20250502-StLouisUniversity-1,01573a30-27ab-11f0-b219-c925279c1349,85.9959,1.78601,,8.3678,,,,2.09514,1.78601,0.3065,3f7e15b7-bac4-4b21-a86c-e49b0fe1fb3e,2025-05-02,23:13:05.60,2025-05-02T18:13:05.6001536-05:00,2025-05-02T23:13:05.6001536Z,GroundBall,v3,471427,umass,02 May 2025 19:00-umass@stlouis,"Toth, Michael",832074,Right,UMA_AMH,de21c5b6-b9b6-46ca-afb1-53253fa31511,54.72706,-127.93261,14.4232,4.91197,-1.05933,-14.2835,-2.55677,10.34719,-8.65082,,2.09467,53.40324,,,,,,,,1.7865,-54.95773,,,,,,,,0.30562,99.99593,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Estimated,Estimated,,,
8,2025-05-02,18:13:29.20,1,3,"O'Connor, Robbie",832084,Right,UMA_AMH,"Blazier, Ian",813662,Left,SLU_BILL,Undefined,1,Bottom,0,1,1,Cutter,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,85.37096,1.042592,-2.001755,2250.990004,253.658386,2:30,4.85571,2.65686,5.72365,-35.93033,2.6326,4.89634,2.8333,1.19967,78.13309,-5.579677,-1.126128,0.446947,,,,,,,,,,,,-3.02681,1.44949,-2.49267,50,4.92083,4.1258,-123.92925,0.99997,-4.71088,24.59038,-29.91806,SLU_BILL,UMA_AMH,StLouisUniversity,D1,A10,20250502-StLouisUniversity-1,0f4cd5f0-27ab-11f0-b219-c925279c1349,84.33307,,,7.23787,,,,,,,3f7e15b7-bac4-4b21-a86c-e49b0fe1fb3e,2025-05-02,23:13:29.20,2025-05-02T18:13:29.2029440-05:00,2025-05-02T23:13:29.2029440Z,,v3,471427,umass,02 May 2025 19:00-umass@stlouis,"Toth, Michael",832074,Right,UMA_AMH,ceb14036-c1e7-44a4-af14-bee161ba7d3d,54.77407,-124.87294,12.29519,4.86042,2.14812,-14.95903,-2.65448,4.30658,-2.35544,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2025-05-02,18:13:49.27,1,4,"O'Connor, Robbie",832084,Right,UMA_AMH,"Blazier, Ian",813662,Left,SLU_BILL,Undefined,1,Bottom,0,2,1,ChangeUp,Changeup,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,81.30938,1.412217,-3.421353,2207.255579,283.010275,3:30,4.65366,2.86431,5.47438,-46.4653,-3.16882,19.99426,2.10568,1.32511,73.97855,-7.084041,0.135652,0.473585,,,,,,,,,,,,-11.01733,-1.52882,-2.57725,50,4.7465,6.21289,-117.81881,1.2636,-15.38107,23.80396,-34.30841,SLU_BILL,UMA_AMH,StLouisUniversity,D1,A10,20250502-StLouisUniversity-1,1b5dd330-27ab-11f0-b219-c925279c1349,79.58963,,,7.33083,,,,,,,3f7e15b7-bac4-4b21-a86c-e49b0fe1fb3e,2025-05-02,23:13:49.27,2025-05-02T18:13:49.2728320-05:00,2025-05-02T23:13:49.2728320Z,,v3,471427,umass,02 May 2025 19:00-umass@stlouis,"Toth, Michael",832074,Right,UMA_AMH,e68dd52c-d4df-4ec2-99d7-cb9008499225,55.0254,-118.82979,11.90198,4.66189,2.72072,-17.1542,-2.85499,6.86615,-7.69054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2025-05-02,18:14:09.68,1,5,"O'Connor, Robbie",832084,Right,UMA_AMH,"Blazier, Ian",813662,Left,SLU_BILL,Undefined,1,Bottom,0,2,2,Cutter,Slider,InPlay,Undefined,GroundBall,Out,1,0,,85.43301,0.7691,-3.788834,2254.650845,285.485162,3:30,4.89717,2.50906,5.88735,-37.51242,0.73642,1.46122,2.48689,-0.89246,78.55267,-6.131311,-3.527475,0.445123,55.85974,1.884524,24.287434,1383.259037,,,,36.18216,34.8329,24.705008,0.438346,-1.77295,0.47224,-2.20404,50,4.9374,8.15075,-123.94634,0.39597,-2.76717,24.00966,-31.43701,SLU_BILL,UMA_AMH,StLouisUniversity,D1,A10,20250502-StLouisUniversity-1,278cb8b0-27ab-11f0-b219-c925279c1349,84.67863,2.52554,,6.88034,,,,1.42398,2.43232,0.87845,3f7e15b7-bac4-4b21-a86c-e49b0fe1fb3e,2025-05-02,23:14:09.68,2025-05-02T18:14:09.6892416-05:00,2025-05-02T23:14:09.6892416Z,GroundBall,v3,471427,umass,02 May 2025 19:00-umass@stlouis,"Toth, Michael",832074,Right,UMA_AMH,3e096354-aa88-416f-a193-4323642a6a77,54.61317,-124.83676,12.00483,4.9011,1.56184,-15.71851,-2.50822,8.25337,-1.38359,354.514262,1.42513,74.60034,-6.53897,,,,,,,2.43758,2.53459,-18.49467,,,,,,,0.87879,33.6691,-2.68329,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
