PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-05-02,15:05:35.04,1,1,"Murchison, Sam",1000089770,Right,UNC_SPA,"Daniels, Phillips",1000097151,Right,CIT_BUL,Undefined,1,Top,0,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,90.59481,-1.767291,-0.780145,2343.896443,206.86827,1:00,6.34405,1.02244,4.99456,-16.39552,19.00938,9.02528,3.30844,1.03791,82.32357,-4.851564,0.812954,0.428256,,,,,,,,,,,,-4.72272,10.2991,-0.95518,50,6.16143,1.36154,-131.3096,-4.61276,-8.20178,29.18523,-14.28791,UNC_SPA,CIT_BUL,UNCGreensboro,D1,SOCON,20250502-UNCGreensboro-1,6dcf19d0-2788-11f0-8784-5b2e9cc32034,88.01388,,,8.27125,,,,,,,42f8461f-08e2-4ccd-aff0-6dd8b1b2b778,2025-05-02,19:05:35.04,2025-05-02T15:05:35.0449664-04:00,2025-05-02T19:05:35.0449664Z,,v3,471372,471271,02 May 2025 18:00-citadel@uncgreen,"Dilley, Jacob",10056943,Right,UNC_SPA,7ea50d09-8380-4f48-bc45-caa010f8b15f,55.50567,-132.52766,14.59262,6.3415,-4.01645,-7.14396,-1.01915,1.70384,-4.10089,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2025-05-02,15:05:47.50,1,2,"Murchison, Sam",1000089770,Right,UNC_SPA,"Daniels, Phillips",1000097151,Right,CIT_BUL,Undefined,1,Top,0,1,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,90.88211,-3.542128,-1.982436,2364.397861,203.307213,12:45,6.27564,1.07794,5.12668,-15.8667,19.24757,7.77489,1.61092,-0.1421,82.73513,-6.523948,-0.607446,0.426494,,,,,,,,,,,,-4.49146,11.00536,-0.89813,50,5.93077,4.19457,-131.52397,-8.67953,-7.82814,29.19978,-12.99291,UNC_SPA,CIT_BUL,UNCGreensboro,D1,SOCON,20250502-UNCGreensboro-1,75215680-2788-11f0-8784-5b2e9cc32034,88.3774,,,8.14699,,,,,,,42f8461f-08e2-4ccd-aff0-6dd8b1b2b778,2025-05-02,19:05:47.50,2025-05-02T15:05:47.5087872-04:00,2025-05-02T19:05:47.5087872Z,,v3,471372,471271,02 May 2025 18:00-citadel@uncgreen,"Dilley, Jacob",10056943,Right,UNC_SPA,29da7b23-f5bf-43a5-9987-5b999e108618,55.37455,-132.71182,14.59989,6.2731,-8.15098,-6.49646,-1.07524,4.51302,-3.91407,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2025-05-02,15:06:01.81,1,3,"Murchison, Sam",1000089770,Right,UNC_SPA,"Daniels, Phillips",1000097151,Right,CIT_BUL,Undefined,1,Top,0,1,1,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,91.08779,-2.54981,-1.377833,2299.84799,204.230679,12:45,6.31845,1.06806,5.14587,-14.59603,20.67824,8.70874,2.69909,0.49625,81.85069,-5.344256,0.163262,0.427465,68.57342,46.403415,76.664105,5637.70357,8.33668,76.33993,109.68361,182.76086,71.38656,94.412965,4.493221,-4.81835,11.53615,-0.94624,50,6.06935,2.76102,-131.79368,-6.32632,-8.32599,32.59543,-12.23979,UNC_SPA,CIT_BUL,UNCGreensboro,D1,SOCON,20250502-UNCGreensboro-1,7dad24a0-2788-11f0-8784-5b2e9cc32034,88.17666,76.47024,,9.2371,,,,0.93218,2.90952,-0.37209,42f8461f-08e2-4ccd-aff0-6dd8b1b2b778,2025-05-02,19:06:01.81,2025-05-02T15:06:01.8189824-04:00,2025-05-02T19:06:01.8189824Z,Popup,v3,471372,471271,02 May 2025 18:00-citadel@uncgreen,"Dilley, Jacob",10056943,Right,UNC_SPA,6c846aaa-eed4-4096-b742-c3d6581d04bf,55.35323,-133.11106,16.29771,6.31504,-5.83163,-6.1199,-1.06463,3.09753,-4.163,,0.92817,16.09122,-9.85113,3.4322,-1.4163,0.50827,-0.13131,0.01966,-0.0012,2.90759,72.88512,-20.97069,2.23516,-0.74424,0.25933,-0.05675,0.00608,-0.00024,-0.37468,67.53157,-8.42294,1.13643,-0.1183,-0.07368,0.03906,-0.00781,0.00058,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Low,Low,,,
4,2025-05-02,15:06:27.56,1,4,"Murchison, Sam",1000089770,Right,UNC_SPA,"Daniels, Phillips",1000097151,Right,CIT_BUL,Undefined,1,Top,0,1,2,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,90.79295,-4.104999,-2.877355,2203.420802,220.697891,1:15,6.28747,1.09935,5.1377,-17.52914,18.01808,14.36331,0.94959,-0.41554,82.02298,-7.393873,-0.337834,0.429116,,,,,,,,,,,,-8.14201,10.6806,-0.84134,50,5.88881,5.92662,-131.11678,-10.0191,-13.97962,31.26764,-13.83568,UNC_SPA,CIT_BUL,UNCGreensboro,D1,SOCON,20250502-UNCGreensboro-1,8d0e8560-2788-11f0-8784-5b2e9cc32034,87.83748,,,8.76998,,,,,,,42f8461f-08e2-4ccd-aff0-6dd8b1b2b778,2025-05-02,19:06:27.56,2025-05-02T15:06:27.5627008-04:00,2025-05-02T19:06:27.5627008Z,,v3,471372,471271,02 May 2025 18:00-citadel@uncgreen,"Dilley, Jacob",10056943,Right,UNC_SPA,aceb573c-9261-4338-ba2d-500eb5568d7a,55.36306,-132.38954,15.63382,6.28518,-9.45591,-6.91784,-1.09416,6.49567,-6.98981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2025-05-02,15:06:44.55,1,5,"Murchison, Sam",1000089770,Right,UNC_SPA,"Daniels, Phillips",1000097151,Right,CIT_BUL,Undefined,1,Top,0,2,2,ChangeUp,Changeup,InPlay,Undefined,FlyBall,Single,0,0,,77.86038,-1.008537,-2.561051,2114.827177,235.694837,1:45,6.12809,1.06752,5.44373,-32.99147,14.15745,18.42119,2.43343,0.20301,71.05259,-7.112775,0.71733,0.494205,72.02306,30.797409,-18.095787,2547.349919,105.68842,47.44733,-30.49486,256.36993,256.36993,-14.418989,3.770972,-10.14414,7.87981,-0.85456,50,6.01632,4.35118,-112.90387,-3.01291,-13.01796,21.67101,-22.06193,UNC_SPA,CIT_BUL,UNCGreensboro,D1,SOCON,20250502-UNCGreensboro-1,972f9980-2788-11f0-8784-5b2e9cc32034,76.26882,50.13402,,6.80779,,,,3.52608,2.70535,-0.18761,42f8461f-08e2-4ccd-aff0-6dd8b1b2b778,2025-05-02,19:06:44.55,2025-05-02T15:06:44.5585920-04:00,2025-05-02T19:06:44.5585920Z,FlyBall,v3,471372,471271,02 May 2025 18:00-citadel@uncgreen,"Dilley, Jacob",10056943,Right,UNC_SPA,ed4ebae4-0711-4d6f-aa01-a177115aa0cf,55.05833,-113.87063,10.83551,6.12877,-2.0287,-11.03096,-1.06163,4.93193,-6.50898,197.611885,3.52643,86.24043,-11.37728,2.64679,-0.50601,0.11188,-0.03145,0.00617,-0.00049,2.70536,54.08252,-16.53389,0.67963,0.10746,-0.16163,0.06736,-0.01256,0.00088,-0.18772,-28.18112,5.84514,-1.31291,0.25781,-0.06415,0.01937,-0.0038,0.0003,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
6,2025-05-02,15:07:27.14,2,1,"Murchison, Sam",1000089770,Right,UNC_SPA,"Anderson, TJ",1000375158,Left,CIT_BUL,Undefined,1,Top,0,0,0,ChangeUp,Changeup,StrikeCalled,Undefined,Undefined,Undefined,0,0,,77.56432,-2.045434,-3.091061,2024.511793,222.166884,1:30,6.13067,1.35704,5.04444,-29.86813,18.22214,15.07461,1.70855,-0.30541,71.12039,-7.536639,-0.430348,0.499114,,,,,,,,,,,,-8.48871,10.09536,-1.07505,50,5.91195,5.48157,-112.35661,-4.97921,-10.84581,20.45166,-19.27546,UNC_SPA,CIT_BUL,UNCGreensboro,D1,SOCON,20250502-UNCGreensboro-1,b0942620-2788-11f0-8784-5b2e9cc32034,75.51868,,,6.44393,,,,,,,42f8461f-08e2-4ccd-aff0-6dd8b1b2b778,2025-05-02,19:07:27.14,2025-05-02T15:07:27.1461376-04:00,2025-05-02T19:07:27.1461376Z,,v3,471372,471271,02 May 2025 18:00-citadel@uncgreen,"Dilley, Jacob",10056943,Right,UNC_SPA,d2b358e6-23c1-41dc-8958-b8a59878574a,55.45836,-113.34582,10.22583,6.13024,-4.0469,-9.63773,-1.35287,6.00616,-5.4229,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2025-05-02,15:08:08.17,2,2,"Murchison, Sam",1000089770,Right,UNC_SPA,"Anderson, TJ",1000375158,Left,CIT_BUL,Undefined,1,Top,0,0,1,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,89.31607,-3.519089,-2.82714,2260.868063,218.205459,1:15,6.27852,1.04388,5.23204,-16.85863,19.2897,14.22784,1.55737,-0.43023,81.51081,-6.683398,-0.307598,0.432728,,,,,,,,,,,,-8.09804,11.08906,-0.79494,50,5.9418,5.76802,-129.28544,-8.52406,-13.66305,27.74693,-13.46449,UNC_SPA,CIT_BUL,UNCGreensboro,D1,SOCON,20250502-UNCGreensboro-1,c8fdb0f0-2788-11f0-8784-5b2e9cc32034,87.10414,,,7.80526,,,,,,,42f8461f-08e2-4ccd-aff0-6dd8b1b2b778,2025-05-02,19:08:08.17,2025-05-02T15:08:08.1702912-04:00,2025-05-02T19:08:08.1702912Z,,v3,471372,471271,02 May 2025 18:00-citadel@uncgreen,"Dilley, Jacob",10056943,Right,UNC_SPA,a9e7a579-4494-468c-9ff7-0bcba279e012,55.27174,-130.41194,13.87347,6.27677,-7.97741,-6.73224,-1.04037,6.32273,-6.83153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2025-05-02,15:08:47.58,2,3,"Murchison, Sam",1000089770,Right,UNC_SPA,"Anderson, TJ",1000375158,Left,CIT_BUL,Undefined,1,Top,0,0,2,ChangeUp,Changeup,InPlay,Undefined,GroundBall,Single,0,0,,78.01547,-1.566884,-1.971537,2072.713514,232.050451,1:45,6.04764,1.44625,4.96214,-32.73754,15.22395,17.38088,1.83797,1.03132,71.04491,-7.576102,1.096115,0.498445,85.03516,-4.436388,0.029391,,,,,22.53598,21.93744,-2.624559,0.167296,-9.26666,8.48209,-1.27064,50,5.86958,3.18471,-113.00702,-4.17932,-11.8835,22.19386,-21.29666,UNC_SPA,CIT_BUL,UNCGreensboro,D1,SOCON,20250502-UNCGreensboro-1,e08d2f70-2788-11f0-8784-5b2e9cc32034,75.61999,1.93147,,6.97056,,,,2.12671,1.93147,-1.02706,42f8461f-08e2-4ccd-aff0-6dd8b1b2b778,2025-05-02,19:08:47.58,2025-05-02T15:08:47.5862528-04:00,2025-05-02T19:08:47.5862528Z,GroundBall,v3,471372,471271,02 May 2025 18:00-citadel@uncgreen,"Dilley, Jacob",10056943,Right,UNC_SPA,c4da4dcd-2a8f-4d85-ab48-701ecd436337,55.53861,-114.08959,11.09693,6.0481,-3.14053,-10.64833,-1.44012,3.76436,-5.94175,170.722802,2.12723,124.30254,-14.67387,,,,,,,1.93153,-9.6523,-11.31988,,,,,,,-1.02703,0.06167,-0.54526,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
9,2025-05-02,15:09:30.16,3,1,"Murchison, Sam",1000089770,Right,UNC_SPA,"Elliott, Travis",1000104350,Right,CIT_BUL,Undefined,1,Top,0,0,0,Fastball,Four-Seam,InPlay,Undefined,Bunt,Out,1,0,,86.54593,-2.882136,-1.461412,2341.223177,199.578883,12:45,6.08459,1.32257,5.20331,-17.4041,21.27478,7.08292,1.92032,0.538,78.53315,-6.169743,-0.206615,0.447619,18.40163,-24.585418,-19.847982,,,,,9.9148,6.18646,-11.000594,0.191602,-4.03284,11.9476,-1.19299,50,5.80519,2.89124,-125.33132,-6.85984,-6.3559,27.49351,-13.34408,UNC_SPA,CIT_BUL,UNCGreensboro,D1,SOCON,20250502-UNCGreensboro-1,f9f11fd0-2788-11f0-8784-5b2e9cc32034,84.20658,2.25191,,8.01278,,,,,,,42f8461f-08e2-4ccd-aff0-6dd8b1b2b778,2025-05-02,19:09:30.16,2025-05-02T15:09:30.1641216-04:00,2025-05-02T19:09:30.1641216Z,GroundBall,v3,471372,471271,02 May 2025 18:00-citadel@uncgreen,"Dilley, Jacob",10056943,Right,UNC_SPA,a8636e38-c023-4e33-af05-0b681ab66aef,55.29791,-126.48817,13.74675,6.08202,-6.29836,-6.67204,-1.32027,3.15867,-3.17795,,5.06933,24.16457,,,,,,,,2.26811,-11.7542,,,,,,,,-0.20863,-8.72264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Low,Low,,,
10,2025-05-02,15:10:08.90,4,1,"Murchison, Sam",1000089770,Right,UNC_SPA,"Hausner, Anthony",1000266249,Left,CIT_BUL,Undefined,1,Top,1,0,0,ChangeUp,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,79.03466,-1.690893,-4.015279,2106.168238,235.198643,1:45,6.19627,1.36653,5.23684,-32.31998,13.3539,17.23147,1.90921,-0.97787,73.01617,-7.602838,-0.966556,0.486413,,,,,,,,,,,,-9.83674,7.49973,-1.01048,50,6.01617,7.38345,-114.55256,-4.45031,-13.1727,19.61494,-22.13091,UNC_SPA,CIT_BUL,UNCGreensboro,D1,SOCON,20250502-UNCGreensboro-1,10f52730-2789-11f0-8784-5b2e9cc32034,77.49055,,,6.01849,,,,,,,42f8461f-08e2-4ccd-aff0-6dd8b1b2b778,2025-05-02,19:10:08.90,2025-05-02T15:10:08.9024000-04:00,2025-05-02T19:10:08.9024000Z,,v3,471372,471271,02 May 2025 18:00-citadel@uncgreen,"Dilley, Jacob",10056943,Right,UNC_SPA,72a2b952-aa56-4a64-934b-c39c807f4612,55.26772,-115.45104,9.80747,6.1968,-3.43659,-11.06545,-1.3625,7.98683,-6.58635,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
