PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-05-02,19:02:37.90,1,1,"Stone, Brandon",825762,Right,SOU_GAM,"Boser, Bobby",804119,Right,FLA_GAT,Undefined,1,Top,0,0,0,Fastball,Sinker,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,92.84601,0.113276,-4.440882,2141.405049,234.91333,1:45,5.37052,2.59233,5.84129,-22.34722,10.66193,13.5004,3.61385,-0.41825,83.62839,-4.089405,-2.030645,0.413513,,,,,,,,,,,,-8.2278,5.74815,-2.23761,50,5.36682,9.8143,-134.32119,-0.49475,-14.84861,32.40515,-21.80047,SOU_GAM,FLA_GAT,UofSouthCarolina,D1,SEC,20250502-UofSouthCarolina-1,8b2db470-27a9-11f0-9d35-43b37b335557,91.15187,,,9.21762,,,,,,,73120edb-6944-4444-bbad-2b4b320860ff,2025-05-02,23:02:37.90,2025-05-02T19:02:37.9072000-04:00,2025-05-02T23:02:37.9072000Z,,v3,471441,471297,02 May 2025 00:00-florida@scarolina,"Braland, Gavin",816167,Right,SOU_GAM,e3e0de26-b835-4dad-b49b-89d2e7808278,54.65633,-135.43988,16.20258,5.37091,0.25785,-10.90024,-2.58527,10.3269,-7.4243,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2025-05-02,19:02:51.05,1,2,"Stone, Brandon",825762,Right,SOU_GAM,"Boser, Bobby",804119,Right,FLA_GAT,Undefined,1,Top,0,0,1,Sinker,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,92.56606,-0.886248,-5.483448,2194.162705,243.098413,2:00,5.30884,2.77923,5.70967,-24.44163,8.98776,15.3658,2.44247,-1.06482,83.57278,-5.442648,-2.752548,0.416136,,,,,,,,,,,,-9.43367,5.19351,-2.32802,50,5.21933,12.12455,-133.69513,-2.94874,-16.89843,31.6009,-22.87098,SOU_GAM,FLA_GAT,UofSouthCarolina,D1,SEC,20250502-UofSouthCarolina-1,9301cb50-27a9-11f0-9d35-43b37b335557,90.57716,,,8.99328,,,,,,,73120edb-6944-4444-bbad-2b4b320860ff,2025-05-02,23:02:51.05,2025-05-02T19:02:51.0546944-04:00,2025-05-02T23:02:51.0546944Z,,v3,471441,471297,02 May 2025 00:00-florida@scarolina,"Braland, Gavin",816167,Right,SOU_GAM,203e8ac5-ff64-4016-b428-e2e16fd4e203,54.78856,-134.82223,15.80045,5.30995,-2.13301,-11.43549,-2.7712,12.72726,-8.44922,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2025-05-02,19:03:05.15,1,3,"Stone, Brandon",825762,Right,SOU_GAM,"Boser, Bobby",804119,Right,FLA_GAT,Undefined,1,Top,0,1,1,Slider,Slider,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,86.49273,-0.114394,-3.491993,2558.12865,156.212879,11:15,5.25383,2.76076,5.76543,-33.21494,3.74965,-1.23583,2.37926,-0.59631,80.65198,-6.191665,-3.712638,0.437587,83.98547,50.573722,48.905967,5238.704656,59.38916,112.95292,92.58986,234.22169,87.54806,62.631555,5.571443,-0.15709,2.2111,-2.47056,50,5.22378,7.71833,-125.67687,-1.4028,-0.25578,21.16302,-28.57386,SOU_GAM,FLA_GAT,UofSouthCarolina,D1,SEC,20250502-UofSouthCarolina-1,9b69e4d0-27a9-11f0-9d35-43b37b335557,86.13706,118.74467,,5.84075,,,,0.70085,3.00499,0.18942,73120edb-6944-4444-bbad-2b4b320860ff,2025-05-02,23:03:05.15,2025-05-02T19:03:05.1552256-04:00,2025-05-02T23:03:05.1552256Z,FlyBall,v3,471441,471297,02 May 2025 00:00-florida@scarolina,"Braland, Gavin",816167,Right,SOU_GAM,4032c219-4dec-4ebb-89be-d2d4fd93f249,54.73798,-126.47219,10.58151,5.25632,-0.32897,-14.28693,-2.76081,7.72794,-0.12789,,0.70593,51.2985,-18.304,4.94616,-0.60908,-0.09725,0.05042,-0.00717,0.00035,2.9977,95.27469,-23.48927,2.28281,-0.42886,0.05296,0.00415,-0.00201,0.00015,0.18953,58.94578,-9.5544,2.02464,-0.26215,-0.00091,0.00681,-0.00095,4E-05,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Medium,Low,,,
4,2025-05-02,19:03:28.93,1,4,"Stone, Brandon",825762,Right,SOU_GAM,"Boser, Bobby",804119,Right,FLA_GAT,Undefined,1,Top,0,1,2,Fastball,Sinker,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,92.91673,-0.383921,-4.836418,2175.891231,240.344939,2:00,5.40678,2.67174,5.98903,-23.31722,9.28603,14.36867,3.10658,-0.62401,84.25758,-4.753919,-2.265592,0.410962,89.43602,53.567708,61.478978,5638.982047,29.44691,127.18938,105.98527,222.51785,92.38372,81.284602,5.774836,-8.81367,5.20681,-2.29727,50,5.36356,10.75249,-134.49704,-1.69503,-16.04171,30.90369,-22.69718,SOU_GAM,FLA_GAT,UofSouthCarolina,D1,SEC,20250502-UofSouthCarolina-1,a98b99a0-27a9-11f0-9d35-43b37b335557,91.71754,131.5416,,8.65915,,,,0.09564,3.1768,-0.15481,73120edb-6944-4444-bbad-2b4b320860ff,2025-05-02,23:03:28.93,2025-05-02T19:03:28.9318400-04:00,2025-05-02T23:03:28.9318400Z,FlyBall,v3,471441,471297,02 May 2025 00:00-florida@scarolina,"Braland, Gavin",816167,Right,SOU_GAM,f405293d-98d6-4c23-aff3-5129844b23a3,54.51111,-135.5296,15.45184,5.40753,-0.93666,-11.34859,-2.66549,11.28848,-8.02085,,0.1028,36.99218,-19.39069,5.29624,-0.30094,-0.33089,0.11469,-0.01522,0.00074,3.15496,105.90764,-27.93352,4.21679,-1.28813,0.32065,-0.04397,0.00248,-2E-05,-0.15997,68.50557,-14.14092,3.44658,-0.57622,0.02584,0.01189,-0.00226,0.00012,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Medium,Low,,,
5,2025-05-02,19:03:47.47,1,5,"Stone, Brandon",825762,Right,SOU_GAM,"Boser, Bobby",804119,Right,FLA_GAT,Undefined,1,Top,0,1,2,Slider,Slider,InPlay,Undefined,GroundBall,Out,1,0,,86.12896,-0.437264,-3.574001,2722.3734,95.283884,9:15,5.36622,3.0653,5.58768,-36.64809,1.59276,-4.33449,1.90308,-0.63772,79.03866,-7.137211,-4.34539,0.445077,72.46928,1.41387,-18.050307,2833.860445,,,,35.97764,34.92459,-16.753546,0.33697,1.19595,1.26118,-2.75502,50,5.30455,7.97894,-124.86414,-2.26434,1.88489,25.54073,-30.18631,SOU_GAM,FLA_GAT,UofSouthCarolina,D1,SEC,20250502-UofSouthCarolina-1,b49dc480-27a9-11f0-9d35-43b37b335557,84.68745,1.84023,,7.0903,,,,1.82749,1.76951,0.64319,73120edb-6944-4444-bbad-2b4b320860ff,2025-05-02,23:03:47.47,2025-05-02T19:03:47.4789888-04:00,2025-05-02T23:03:47.4789888Z,GroundBall,v3,471441,471297,02 May 2025 00:00-florida@scarolina,"Braland, Gavin",816167,Right,SOU_GAM,21d9de28-72c3-42ac-8d9e-19fc9afccd49,54.91368,-125.86522,12.77036,5.37012,-1.08119,-15.09315,-3.06631,7.90506,0.94244,24.559483,1.82885,100.97264,-12.36818,,,,,,,1.77439,2.43,-22.8797,,,,,,,0.64406,-32.95791,0.79426,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Medium,Medium,,,
6,2025-05-02,19:04:18.73,2,1,"Stone, Brandon",825762,Right,SOU_GAM,"Lawson, Brendan",807116,Left,FLA_GAT,Undefined,1,Top,1,0,0,Sinker,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,90.61883,0.183267,-3.260287,2119.45771,278.150058,3:15,5.09913,3.08278,5.81358,-35.7399,-1.41791,17.77501,2.2915,1.52909,82.55517,-6.39704,-0.076875,0.421655,,,,,,,,,,,,-9.99375,-0.41862,-2.82588,50,5.09304,6.70719,-131.44961,-0.91007,-17.39598,29.20148,-32.90274,SOU_GAM,FLA_GAT,UofSouthCarolina,D1,SEC,20250502-UofSouthCarolina-1,c7437ad0-27a9-11f0-9d35-43b37b335557,89.39162,,,8.06366,,,,,,,73120edb-6944-4444-bbad-2b4b320860ff,2025-05-02,23:04:18.73,2025-05-02T19:04:18.7389440-04:00,2025-05-02T23:04:18.7389440Z,,v3,471441,471297,02 May 2025 00:00-florida@scarolina,"Braland, Gavin",816167,Right,SOU_GAM,b61fe6ae-1289-471f-b1df-f3c4ebdf7d13,54.68791,-132.48694,14.60074,5.10461,0.25873,-16.45137,-3.07511,7.32514,-8.69799,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2025-05-02,19:04:33.78,2,2,"Stone, Brandon",825762,Right,SOU_GAM,"Lawson, Brendan",807116,Left,FLA_GAT,Undefined,1,Top,1,1,0,Sinker,Sinker,InPlay,Undefined,LineDrive,Double,0,0,,92.34971,0.126205,-4.901841,2120.595337,267.900114,3:00,5.12494,2.76236,5.74685,-31.45313,1.78992,18.64757,2.62178,-0.25866,83.95241,-5.673589,-1.578267,0.414975,112.24968,14.300457,12.777013,3607.576204,106.97966,24.78327,25.59888,327.27332,327.27332,14.38066,2.979192,-10.96934,1.17303,-2.36587,50,5.1161,10.64281,-133.68983,-0.87806,-19.76103,30.06222,-30.06084,SOU_GAM,FLA_GAT,UofSouthCarolina,D1,SEC,20250502-UofSouthCarolina-1,d0349a70-27a9-11f0-9d35-43b37b335557,90.83063,30.52929,,8.3973,,,,2.29978,2.57449,0.20726,73120edb-6944-4444-bbad-2b4b320860ff,2025-05-02,23:04:33.78,2025-05-02T19:04:33.7814528-04:00,2025-05-02T23:04:33.7814528Z,LineDrive,v3,471441,471297,02 May 2025 00:00-florida@scarolina,"Braland, Gavin",816167,Right,SOU_GAM,d68e4cde-7d8a-403f-b63a-98bd4f9ce525,54.75542,-134.75491,15.03111,5.12834,0.18697,-15.03042,-2.75534,11.34293,-9.88052,207.710319,2.29986,155.57747,-28.41003,6.615,-1.42422,0.23787,-0.02342,0.00013,0.00015,2.57444,40.66778,-15.61503,0.64159,-0.06827,0.04397,-0.02086,0.00489,-0.00043,0.20719,35.28441,-2.30921,-0.59919,0.26395,-0.0316,-0.00907,0.00357,-0.00035,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
8,2025-05-02,19:05:25.52,3,1,"Stone, Brandon",825762,Right,SOU_GAM,"Heyman, Luke",701326,Right,FLA_GAT,Undefined,1,Top,1,0,0,Slider,Slider,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,86.06453,-0.214606,-3.546232,2610.956364,100.256232,9:15,5.3365,2.83929,5.84534,-36.00722,2.03504,-4.49331,2.13608,-0.83495,78.69933,-6.84255,-4.349637,0.44392,,,,,,,,,,,,1.25524,1.48784,-2.54771,50,5.29803,7.91712,-124.76546,-1.70991,1.96903,26.23456,-29.84019,SOU_GAM,FLA_GAT,UofSouthCarolina,D1,SEC,20250502-UofSouthCarolina-1,ef1480e0-27a9-11f0-9d35-43b37b335557,84.90819,,,7.36521,,,,,,,73120edb-6944-4444-bbad-2b4b320860ff,2025-05-02,23:05:25.52,2025-05-02T19:05:25.5219200-04:00,2025-05-02T23:05:25.5219200Z,,v3,471441,471297,02 May 2025 00:00-florida@scarolina,"Braland, Gavin",816167,Right,SOU_GAM,d3f4b0f1-1f21-4675-a97a-a96f55929c7f,54.65441,-125.74034,13.11728,5.34097,-0.60105,-14.9201,-2.84055,7.84395,0.98451,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2025-05-02,19:05:44.69,3,2,"Stone, Brandon",825762,Right,SOU_GAM,"Heyman, Luke",701326,Right,FLA_GAT,Undefined,1,Top,1,0,1,Sinker,Sinker,InPlay,Undefined,GroundBall,Out,1,0,,92.45924,-0.104551,-3.81854,2125.190143,273.899443,3:15,5.21096,2.75229,5.70548,-33.48541,-0.21665,19.91202,2.32288,0.84837,83.84495,-6.270811,-0.262518,0.415135,49.21888,17.35753,-37.474667,2160.657022,,,,89.83331,88.15623,-40.021694,1.410742,-11.33359,0.22571,-2.4446,50,5.18125,8.05446,-133.98119,-1.51808,-20.40705,31.49612,-31.76761,SOU_GAM,FLA_GAT,UofSouthCarolina,D1,SEC,20250502-UofSouthCarolina-1,fa7c93f0-27a9-11f0-9d35-43b37b335557,90.79558,9.07439,,8.6143,,,,1.69589,2.23426,-0.73733,73120edb-6944-4444-bbad-2b4b320860ff,2025-05-02,23:05:44.69,2025-05-02T19:05:44.6918144-04:00,2025-05-02T23:05:44.6918144Z,GroundBall,v3,471441,471297,02 May 2025 00:00-florida@scarolina,"Braland, Gavin",816167,Right,SOU_GAM,e2a83eff-848f-4100-85d9-25977b944456,54.79661,-135.10407,15.74806,5.21518,-0.38552,-15.88381,-2.74471,8.78199,-10.20353,103.654441,1.6959,54.68011,-5.66831,0.66186,-0.27432,0.36007,-0.49613,0.31162,-0.06973,2.23426,21.5358,-17.48223,0.89601,-0.03436,-0.18934,0.23245,-0.12076,0.02328,-0.73733,-41.91947,0.89997,0.15461,0.00098,-0.14343,0.21087,-0.1283,0.02806,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Medium,High,,,
10,2025-05-02,19:06:18.06,4,1,"Stone, Brandon",825762,Right,SOU_GAM,"Cyr, Blake",701331,Right,FLA_GAT,Undefined,1,Top,2,0,0,Slider,Slider,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,85.80342,0.218048,-3.20663,2513.980619,206.804867,1:00,5.21544,2.90542,5.69331,-32.84998,4.9639,1.98791,2.68147,0.07945,79.55175,-5.808338,-2.851964,0.442585,72.44737,17.153902,165.868763,2971.116484,,,,125.1827,55.06873,168.247492,1.34201,-1.75476,2.86374,-2.63682,50,5.21355,6.89447,-124.58402,-0.68382,-2.79836,21.59106,-27.60719,SOU_GAM,FLA_GAT,UofSouthCarolina,D1,SEC,20250502-UofSouthCarolina-1,0e4b8800-27aa-11f0-9d35-43b37b335557,85.16423,11.7957,,6.25166,,,,1.21899,2.57004,-0.02912,73120edb-6944-4444-bbad-2b4b320860ff,2025-05-02,23:06:18.06,2025-05-02T19:06:18.0685312-04:00,2025-05-02T23:06:18.0685312Z,LineDrive,v3,471441,471297,02 May 2025 00:00-florida@scarolina,"Braland, Gavin",816167,Right,SOU_GAM,f82fa2a9-b26b-4086-b2fa-67e2b87361eb,54.80583,-125.41413,10.79553,5.21943,0.37759,-13.8036,-2.90396,7.00205,-1.39918,339.964773,1.21899,-98.4568,4.07766,0.61901,-0.41142,0.50688,-0.43172,0.19641,-0.03584,2.57004,31.33958,-28.49719,3.64969,-1.23163,1.04458,-0.82938,0.36256,-0.06421,-0.02912,24.7879,-5.07792,0.7697,-0.27683,0.26588,-0.22056,0.096,-0.01685,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Medium,Low,,,
