PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-05-02,13:19:45.73,1,1,"Fortes, Michael",1000115283,Right,DAY_FLY,"Rickabaugh, RJ",1000092128,Right,RIC_SPI,Undefined,1,Top,0,0,0,Undefined,Four-Seam,Undefined,Undefined,Undefined,Undefined,0,0,,88.80547,-1.868008,-3.531689,2148.878626,212.415925,1:00,5.7596,1.2101,5.75638,-19.78914,16.913,9.79355,2.36778,-1.26536,79.04793,-5.650743,-1.782718,0.436031,,,,,,,,,,,,-6.20807,9.67292,-0.92284,50,5.59276,7.48168,-128.30173,-4.78114,-10.06547,33.30082,-16.4909,DAY_FLY,RIC_SPI,WoernerField,D1,A10,20250502-WoernerField-1,a5a44e20-2779-11f0-a316-51dfdda324b6,86.44447,,,9.75754,,,,,,,472d5ccf-9be3-4716-b330-c6822e5b191a,2025-05-02,17:19:45.73,2025-05-02T13:19:45.7360000-04:00,2025-05-02T17:19:45.7360000Z,,v3,471281,471420,02 May 2025 15:00-richmond@dayton,"Howell, Martin",1000115741,Right,DAY_FLY,ab85c549-1021-48dc-8f47-08cbb56ba12b,54.73582,-129.52509,16.65041,5.75728,-4.17532,-8.24545,-1.20448,7.85145,-5.03273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2025-05-02,15:27:15.06,1,1,"Judy, Jackson",10276362,Right,DAY_FLY,"O'Brien, Brady",1000363638,Right,RIC_SPI,Undefined,5,Top,1,0,0,Fastball,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,,89.05242,2.439071,-3.549931,2312.576168,262.780328,2:45,3.85469,1.94466,6.12341,-31.72517,3.69795,19.43611,3.47137,0.27848,80.21827,-3.490694,-0.055956,0.428366,,,,,,,,,,,,-11.06619,1.5278,-1.68239,50,4.02551,7.18116,-128.98317,4.43618,-18.42498,29.74961,-29.63029,DAY_FLY,RIC_SPI,WoernerField,D1,A10,20250502-WoernerField-1,74e6b720-278b-11f0-a316-51dfdda324b6,87.99122,,,8.83414,,,,,,,472d5ccf-9be3-4716-b330-c6822e5b191a,2025-05-02,19:27:15.06,2025-05-02T15:27:15.0650000-04:00,2025-05-02T19:27:15.0650000Z,,v3,471281,471420,02 May 2025 15:00-richmond@dayton,"Howell, Martin",1000115741,Right,DAY_FLY,6e3c806e-3db3-45e4-85db-882558882251,54.37401,-129.98811,14.87481,3.85875,5.43709,-14.81515,-1.93548,7.80356,-9.21249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2025-05-02,15:27:31.31,1,2,"Judy, Jackson",10276362,Right,DAY_FLY,"O'Brien, Brady",1000363638,Right,RIC_SPI,Undefined,5,Top,1,0,1,Fastball,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,,90.0578,1.616912,-4.01757,2325.3352,267.237299,3:00,3.87978,1.85996,6.0718,-32.97691,2.24449,17.61721,2.63197,-0.39562,80.07026,-4.556661,-0.854805,0.427144,,,,,,,,,,,,-10.37961,1.02882,-1.55719,50,3.98837,8.36644,-130.20478,2.53519,-17.34834,34.0623,-30.45452,DAY_FLY,RIC_SPI,WoernerField,D1,A10,20250502-WoernerField-1,7eab0540-278b-11f0-a316-51dfdda324b6,88.24289,,,9.98754,,,,,,,472d5ccf-9be3-4716-b330-c6822e5b191a,2025-05-02,19:27:31.31,2025-05-02T15:27:31.3140000-04:00,2025-05-02T19:27:31.3140000Z,,v3,471281,471420,02 May 2025 15:00-richmond@dayton,"Howell, Martin",1000115741,Right,DAY_FLY,b7711133-0386-4f86-93ce-32321c50360c,54.42229,-131.35658,17.03115,3.88523,3.56499,-15.22726,-1.85002,8.95306,-8.67417,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2025-05-02,15:27:49.20,1,3,"Judy, Jackson",10276362,Right,DAY_FLY,"O'Brien, Brady",1000363638,Right,RIC_SPI,Undefined,5,Top,1,0,2,Fastball,Sinker,InPlay,Undefined,GroundBall,Out,1,1,,89.8104,1.560189,-2.267479,2296.522854,272.607535,3:00,3.84604,2.00022,6.14176,-34.17864,0.45335,15.88851,2.44109,1.22778,81.30093,-4.803865,0.595946,0.423555,55.75291,-22.30026,-7.07295,,,,,7.15304,7.15304,-15.863189,0.077247,-8.92831,0.08047,-1.83557,50,3.94744,4.50589,-130.34453,2.37906,-15.1979,30.09795,-32.03705,DAY_FLY,RIC_SPI,WoernerField,D1,A10,20250502-WoernerField-1,89598c50-278b-11f0-a316-51dfdda324b6,88.99063,2.41004,,8.50947,,,,1.04913,2.41004,-1.23166,472d5ccf-9be3-4716-b330-c6822e5b191a,2025-05-02,19:27:49.20,2025-05-02T15:27:49.2030000-04:00,2025-05-02T19:27:49.2030000Z,GroundBall,v3,471281,471420,02 May 2025 15:00-richmond@dayton,"Howell, Martin",1000115741,Right,DAY_FLY,25d54cc5-de23-427e-a675-c9452d6d8b9d,54.35712,-131.34678,15.04897,3.85046,3.44588,-16.01853,-1.99404,5.01198,-7.59895,,1.04401,75.49125,,,,,,,,2.41216,-31.19904,,,,,,,,-1.23103,-9.36674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Estimated,Estimated,,,
5,2025-05-02,15:28:26.44,2,1,"Judy, Jackson",10276362,Right,DAY_FLY,"Elko, Michael",812439,Left,RIC_SPI,Undefined,5,Top,2,0,0,Fastball,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,,89.75215,0.977349,-2.876313,2335.166485,258.803334,2:45,3.95091,2.1314,6.24685,-30.33155,4.40185,15.9565,2.32589,0.80613,80.82347,-4.71471,0.003477,0.424175,,,,,,,,,,,,-9.17607,2.33642,-1.92485,50,4.009,5.87752,-130.15631,1.22391,-15.49625,31.27844,-28.22841,DAY_FLY,RIC_SPI,WoernerField,D1,A10,20250502-WoernerField-1,9fa12180-278b-11f0-a316-51dfdda324b6,88.86055,,,8.92868,,,,,,,472d5ccf-9be3-4716-b330-c6822e5b191a,2025-05-02,19:28:26.44,2025-05-02T15:28:26.4410000-04:00,2025-05-02T19:28:26.4410000Z,,v3,471281,471420,02 May 2025 15:00-richmond@dayton,"Howell, Martin",1000115741,Right,DAY_FLY,4ca245d9-ac04-4ad6-bd02-74795a186276,54.25006,-131.17368,15.63922,3.95426,2.14208,-14.1142,-2.12422,6.38155,-7.74813,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2025-05-02,15:28:40.67,2,2,"Judy, Jackson",10276362,Right,DAY_FLY,"Elko, Michael",812439,Left,RIC_SPI,Undefined,5,Top,2,0,1,Fastball,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,89.56713,1.397283,-1.127505,2367.775843,267.037993,3:00,3.90763,2.15311,6.05142,-32.8684,2.16362,18.18131,2.46256,2.62437,80.85726,-4.730488,2.145894,0.425994,,,,,,,,,,,,-9.66902,1.04917,-2.07482,50,3.99899,1.78297,-129.98957,2.0317,-16.31059,30.83471,-30.40423,DAY_FLY,RIC_SPI,WoernerField,D1,A10,20250502-WoernerField-1,a80dcee0-278b-11f0-a316-51dfdda324b6,88.48107,,,8.70987,,,,,,,472d5ccf-9be3-4716-b330-c6822e5b191a,2025-05-02,19:28:40.67,2025-05-02T15:28:40.6740000-04:00,2025-05-02T19:28:40.6740000Z,,v3,471281,471420,02 May 2025 15:00-richmond@dayton,"Howell, Martin",1000115741,Right,DAY_FLY,c99eed82-2d7c-42cb-9f86-1959b9c870ee,54.44584,-131.03992,15.41735,3.91214,3.06739,-15.20212,-2.14502,2.33857,-8.1553,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2025-05-02,15:28:55.77,2,3,"Judy, Jackson",10276362,Right,DAY_FLY,"Elko, Michael",812439,Left,RIC_SPI,Undefined,5,Top,2,1,1,Fastball,Sinker,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,89.95019,0.332901,-3.074759,2420.79815,286.386198,3:30,3.86833,1.91214,6.22263,-37.87805,-3.60701,16.06076,1.01944,0.41073,82.03749,-6.681153,-0.174957,0.421342,,,,,,,,,,,,-9.30359,-1.7002,-1.69013,50,3.87428,6.37519,-130.61852,-0.54346,-15.97511,29.07862,-35.09346,DAY_FLY,RIC_SPI,WoernerField,D1,A10,20250502-WoernerField-1,b1053010-278b-11f0-a316-51dfdda324b6,89.45799,,,7.9127,,,,,,,472d5ccf-9be3-4716-b330-c6822e5b191a,2025-05-02,19:28:55.77,2025-05-02T15:28:55.7740000-04:00,2025-05-02T19:28:55.7740000Z,,v3,471281,471420,02 May 2025 15:00-richmond@dayton,"Howell, Martin",1000115741,Right,DAY_FLY,8836adba-9293-40a3-b316-438c1b47a35c,54.27818,-131.56749,14.53931,3.87333,0.6018,-17.54673,-1.9067,6.89653,-7.98756,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2025-05-02,15:29:14.81,2,4,"Judy, Jackson",10276362,Right,DAY_FLY,"Elko, Michael",812439,Left,RIC_SPI,Undefined,5,Top,2,1,2,Fastball,Sinker,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,90.6641,1.876219,-2.466249,2271.831239,278.323066,3:15,3.95943,1.89779,6.19047,-35.47077,-1.34496,17.53001,2.73799,1.08023,81.5892,-4.735229,0.695245,0.420449,75.73654,19.003011,-156.715056,2382.637733,,,,133.65745,46.34413,-159.224184,1.612131,-9.85445,-0.94559,-1.72045,50,4.08333,4.92486,-131.48429,3.07311,-16.97003,32.12052,-33.80242,DAY_FLY,RIC_SPI,WoernerField,D1,A10,20250502-WoernerField-1,bc5f8780-278b-11f0-a316-51dfdda324b6,89.64813,14.82127,,9.0749,,,,0.83512,2.60587,-0.96979,472d5ccf-9be3-4716-b330-c6822e5b191a,2025-05-02,19:29:14.81,2025-05-02T15:29:14.8150000-04:00,2025-05-02T19:29:14.8150000Z,LineDrive,v3,471281,471420,02 May 2025 15:00-richmond@dayton,"Howell, Martin",1000115741,Right,DAY_FLY,016c3d82-9bad-4c24-8c25-a289d8168497,54.30757,-132.53242,16.06026,3.96506,4.17612,-16.90121,-1.89019,5.47861,-8.48502,,0.61557,-94.5328,10.38543,,,,,,,3.20693,30.82047,-20.54022,,,,,,,-1.24214,-39.07233,6.55472,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Low,,,
9,2025-05-02,15:29:39.73,2,5,"Judy, Jackson",10276362,Right,DAY_FLY,"Elko, Michael",812439,Left,RIC_SPI,Undefined,5,Top,2,1,2,Fastball,Sinker,InPlay,Undefined,GroundBall,Out,1,0,,90.95478,1.453092,-2.701459,2509.770917,287.580355,3:30,3.94872,1.92522,6.16117,-37.80978,-3.68386,15.65481,2.14201,0.73241,81.52035,-5.581944,0.120784,0.420449,76.46127,-23.47784,27.844586,,,,,5.93552,5.93552,14.933003,0.047393,-9.04004,-2.06476,-1.72816,50,4.03993,5.56292,-131.84606,2.00939,-15.5595,33.83309,-35.7279,DAY_FLY,RIC_SPI,WoernerField,D1,A10,20250502-WoernerField-1,cb3486c0-278b-11f0-a316-51dfdda324b6,89.64805,2.12274,,9.43443,,,,1.41377,2.12274,-0.75314,472d5ccf-9be3-4716-b330-c6822e5b191a,2025-05-02,19:29:39.73,2025-05-02T15:29:39.7360000-04:00,2025-05-02T19:29:39.7360000Z,GroundBall,v3,471281,471420,02 May 2025 15:00-richmond@dayton,"Howell, Martin",1000115741,Right,DAY_FLY,a2badfc2-11c9-4298-889d-b0902cff93bb,54.3369,-132.9543,16.91654,3.95495,3.17969,-17.86395,-1.91872,6.07259,-7.77975,180,1.41201,91.18069,,,,,,,,2.12361,-44.79051,,,,,,,,-0.75407,48.16484,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
10,2025-05-02,15:32:40.48,1,1,"Bilka, Ryan",1000215854,Right,RIC_SPI,"DiMartini, Michael",1000136501,Right,DAY_FLY,Undefined,5,Bottom,0,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,91.62667,-3.671133,-1.980737,2152.208079,194.21952,12:30,5.87692,1.00909,6.04615,-18.33635,15.04131,3.52547,0.94355,-0.53157,83.54279,-7.12926,-1.34625,0.415814,,,,,,,,,,,,-2.41402,9.18497,-0.85678,50,5.58079,4.44445,-132.76406,-9.08505,-4.28222,30.04982,-15.88074,DAY_FLY,RIC_SPI,WoernerField,D1,A10,20250502-WoernerField-1,36edbc60-278c-11f0-a316-51dfdda324b6,90.64732,,,8.08388,,,,,,,472d5ccf-9be3-4716-b330-c6822e5b191a,2025-05-02,19:32:40.48,2025-05-02T15:32:40.4830000-04:00,2025-05-02T19:32:40.4830000Z,,v3,471281,471420,02 May 2025 15:00-richmond@dayton,"Rickabaugh, RJ",1000092128,Left,RIC_SPI,b13802c3-718f-4595-a59d-11b551011eaa,54.45177,-133.76788,15.02491,5.87542,-8.55455,-7.94037,-1.00764,4.58749,-2.14111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
