PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-05-10,14:01:17.73,1,1,"Aoki, Caden",802610,Right,SOU_TRO,"McKay, Ryan",10108967,Left,MIC_SPA,Undefined,1,Top,0,0,0,Sinker,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,,87.55019,-0.163715,-2.140382,2136.900695,240.78944,2:00,5.88796,1.45038,5.5368,-28.61927,8.23489,12.69528,3.34989,0.5068,80.24369,-5.447499,0.122557,0.436933,,,,,,,,,,,,-6.99134,4.5513,-1.27328,50,5.85477,4.20088,-127.10458,-1.37785,-11.46696,25.41827,-24.70911,SOU_TRO,MIC_SPA,OrangeCountyGreatParkStadium,D1,BIG10,20250510-OrangeCountyGreatParkStadium-1,eb230e00-2de1-11f0-80f8-cb8c80e0b754,86.26597,,,7.30649,,,,,,,1c9d1c7a-9774-4908-bc7d-dfaa856f974b,2025-05-10,21:01:17.73,2025-05-10T14:01:17.7330000-07:00,2025-05-10T21:01:17.7330000Z,,v3,5047,1551,10 May 2025 17:00-michiganst@usc,"Lamb, Andrew",1000154939,Right,SOU_TRO,5a907580-1e91-4a3b-914c-a2933ddcb376,54.96265,-128.09316,12.70913,5.88967,-0.41685,-12.35456,-1.44534,4.64686,-5.73348,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2025-05-10,14:01:33.36,1,2,"Aoki, Caden",802610,Right,SOU_TRO,"McKay, Ryan",10108967,Left,MIC_SPA,Undefined,1,Top,0,0,1,Fastball,Sinker,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,88.23454,-1.214865,-2.412956,2239.363757,227.08949,1:30,5.8448,1.39732,5.79965,-22.50123,13.55812,13.33993,2.83858,0.26336,80.62219,-5.42972,-0.024113,0.432196,75.74904,13.267449,-166.453673,,,,,95.46841,48.12025,-172.543965,0.937054,-7.47288,7.60591,-1.20697,50,5.7315,4.83006,-128.04822,-3.44325,-12.39913,26.60051,-19.5542,SOU_TRO,MIC_SPA,OrangeCountyGreatParkStadium,D1,BIG10,20250510-OrangeCountyGreatParkStadium-1,f4a30020-2de1-11f0-80f8-cb8c80e0b754,87.21152,7.64051,,7.61236,,,,-0.33715,2.47289,-0.02312,1c9d1c7a-9774-4908-bc7d-dfaa856f974b,2025-05-10,21:01:33.36,2025-05-10T14:01:33.3670000-07:00,2025-05-10T21:01:33.3670000Z,LineDrive,v3,5047,1551,10 May 2025 17:00-michiganst@usc,"Lamb, Andrew",1000154939,Right,SOU_TRO,c08885a2-b232-4846-85b6-e04d218b45a1,54.69913,-129.02072,13.30025,5.84431,-2.72836,-9.7771,-1.39184,5.28336,-6.19957,41.101683,-0.23027,-106.67482,6.18416,,,,,,,2.56886,24.12211,-28.77177,,,,,,,-0.08045,-24.50678,12.19756,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Medium,Low,,,
3,2025-05-10,14:01:53.05,1,3,"Aoki, Caden",802610,Right,SOU_TRO,"McKay, Ryan",10108967,Left,MIC_SPA,Undefined,1,Top,0,0,2,Curveball,Curveball,InPlay,Undefined,LineDrive,Double,0,0,,77.78688,1.344525,-0.183092,2485.018308,45.520587,7:30,5.91757,1.27062,4.73302,-58.02802,-9.93493,-11.58776,2.35771,0.13127,71.79254,-9.04382,-2.222987,0.499129,100.67442,16.500185,11.82695,1126.299952,107.05898,26.52008,25.26587,297.59693,297.59693,15.671186,2.918995,5.69016,-4.92953,-1.24113,50,6.00061,0.83721,-112.9294,0.48907,7.35699,20.33307,-38.5476,SOU_TRO,MIC_SPA,OrangeCountyGreatParkStadium,D1,BIG10,20250510-OrangeCountyGreatParkStadium-1,003d94e0-2de2-11f0-80f8-cb8c80e0b754,75.51641,30.19745,,5.99435,,,,1.64234,2.56556,-0.11738,1c9d1c7a-9774-4908-bc7d-dfaa856f974b,2025-05-10,21:01:53.05,2025-05-10T14:01:53.0510000-07:00,2025-05-10T21:01:53.0510000Z,LineDrive,v3,5047,1551,10 May 2025 17:00-michiganst@usc,"Lamb, Andrew",1000154939,Right,SOU_TRO,6db70eea-6587-4649-bb16-0ace02f13910,55.77069,-113.96368,10.16654,5.92586,2.44987,-19.2738,-1.2742,0.46298,3.6785,229.248326,1.6424,138.56692,-21.6288,4.25121,-0.74537,0.0073,0.05264,-0.01709,0.00187,2.56551,41.93947,-17.32925,1.30313,-0.29538,0.13409,-0.05438,0.01327,-0.00134,-0.11726,29.01138,1.70015,-1.71222,0.67103,-0.21874,0.05457,-0.0085,0.0006,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,
4,2025-05-10,14:02:39.62,2,1,"Aoki, Caden",802610,Right,SOU_TRO,"Williams, Nicklas",824598,Right,MIC_SPA,Undefined,1,Top,0,0,0,Slider,Slider,StrikeCalled,Undefined,Undefined,Undefined,0,0,,80.06234,0.315919,-1.614681,2305.512744,53.278066,7:45,5.83983,1.39882,4.84376,-47.16121,-2.34201,-4.78866,2.20896,-0.52939,74.45366,-8.146193,-2.458355,0.481841,,,,,,,,,,,,1.97315,-0.86567,-1.23487,50,5.83031,3.47997,-116.29718,-1.13103,2.7344,19.38712,-33.3737,SOU_TRO,MIC_SPA,OrangeCountyGreatParkStadium,D1,BIG10,20250510-OrangeCountyGreatParkStadium-1,1c00aaf0-2de2-11f0-80f8-cb8c80e0b754,78.22591,,,5.60869,,,,,,,1c9d1c7a-9774-4908-bc7d-dfaa856f974b,2025-05-10,21:02:39.62,2025-05-10T14:02:39.6250000-07:00,2025-05-10T21:02:39.6250000Z,,v3,5047,1551,10 May 2025 17:00-michiganst@usc,"Lamb, Andrew",1000154939,Right,SOU_TRO,f988fef5-1763-4d3b-b0b3-9944887914dc,55.65803,-117.2366,9.69356,5.84594,0.48612,-16.68685,-1.40028,3.34747,1.3672,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2025-05-10,14:02:56.87,2,2,"Aoki, Caden",802610,Right,SOU_TRO,"Williams, Nicklas",824598,Right,MIC_SPA,Undefined,1,Top,0,0,1,ChangeUp,Changeup,InPlay,Undefined,FlyBall,Out,1,0,,81.13633,-0.321769,-2.643212,1201.117505,217.573136,1:15,5.79126,1.39706,5.81397,-36.67482,6.3328,3.73429,2.43551,-0.75129,73.76285,-7.11445,-1.974405,0.472002,96.40407,30.264792,11.223296,4543.203131,105.88985,59.42716,29.78809,357.0597,352.55188,25.191967,4.965431,-2.73874,3.73567,-1.1827,50,5.74308,5.28881,-117.65749,-1.82472,-3.79757,24.57894,-26.99414,SOU_TRO,MIC_SPA,OrangeCountyGreatParkStadium,D1,BIG10,20250510-OrangeCountyGreatParkStadium-1,26382d40-2de2-11f0-80f8-cb8c80e0b754,79.85646,82.44322,,7.37348,,,,1.51948,2.66296,0.75304,1c9d1c7a-9774-4908-bc7d-dfaa856f974b,2025-05-10,21:02:56.87,2025-05-10T14:02:56.8740000-07:00,2025-05-10T21:02:56.8740000Z,FlyBall,v3,5047,1551,10 May 2025 17:00-michiganst@usc,"Lamb, Andrew",1000154939,Right,SOU_TRO,f6f071a2-e643-4445-9500-e385a1c0835f,54.68491,-118.63214,12.28947,5.79422,-0.75429,-13.49707,-1.39541,5.4394,-1.89879,215.968368,1.52058,119.7672,-25.43634,6.12816,-1.34644,0.27831,-0.04931,0.00584,-0.00031,2.66462,71.21827,-17.34117,0.36169,0.41444,-0.23669,0.0638,-0.00842,0.00043,0.75251,23.77868,4.84602,-1.81169,0.50482,-0.1115,0.01808,-0.00184,9E-05,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
6,2025-05-10,14:03:41.57,3,1,"Aoki, Caden",802610,Right,SOU_TRO,"Busch, Sam",802552,Left,MIC_SPA,Undefined,1,Top,1,0,0,ChangeUp,Changeup,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,81.68604,-1.05578,-2.435,1089.936358,217.209053,1:15,5.73042,1.52903,5.54726,-34.38864,8.25437,5.19815,1.87706,-0.31468,74.66024,-7.388289,-1.508131,0.469997,98.20593,21.754726,51.28796,4017.207863,63.06709,36.02372,90.12422,318.62435,149.86108,64.697653,3.328061,-3.37532,4.86315,-1.32178,50,5.61613,4.83438,-118.47492,-3.31863,-4.77177,23.76436,-25.29887,SOU_TRO,MIC_SPA,OrangeCountyGreatParkStadium,D1,BIG10,20250510-OrangeCountyGreatParkStadium-1,40e406f0-2de2-11f0-80f8-cb8c80e0b754,80.19715,42.71065,,7.0258,,,,3.56633,2.5936,0.35779,1c9d1c7a-9774-4908-bc7d-dfaa856f974b,2025-05-10,21:03:41.57,2025-05-10T14:03:41.5700000-07:00,2025-05-10T21:03:41.5700000Z,LineDrive,v3,5047,1551,10 May 2025 17:00-michiganst@usc,"Lamb, Andrew",1000154939,Right,SOU_TRO,46f39d22-ad19-4216-9f8e-dab58ea041e3,54.95271,-119.46423,11.88218,5.73236,-2.26543,-12.64943,-1.52717,5.03303,-2.38589,,3.56676,83.64441,-25.06037,6.21985,-1.05206,0.02018,0.04257,-0.01065,0.00091,2.59332,53.39667,-19.47464,1.45765,-0.40537,0.19161,-0.06499,0.01239,-0.00096,0.35777,104.38888,-7.09706,0.50063,0.03392,-0.01234,0.00195,-0.00063,0.0001,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,
7,2025-05-10,14:04:02.06,3,2,"Aoki, Caden",802610,Right,SOU_TRO,"Busch, Sam",802552,Left,MIC_SPA,Undefined,1,Top,1,0,1,ChangeUp,Splitter,InPlay,Undefined,GroundBall,Out,1,1,,80.97982,0.549124,-1.085266,1106.159687,293.801491,3:45,5.72026,1.69726,5.72845,-43.65372,-0.59976,4.5513,2.59398,1.06566,73.97666,-7.474955,-0.269912,0.472257,94.78954,7.390017,21.364063,1804.689119,,,,128.4444,127.96441,23.900574,1.028431,-2.67299,-0.16032,-1.60972,50,5.73876,2.05552,-117.6055,-0.30995,-3.71743,23.7619,-32.39699,SOU_TRO,MIC_SPA,OrangeCountyGreatParkStadium,D1,BIG10,20250510-OrangeCountyGreatParkStadium-1,4d1f6f90-2de2-11f0-80f8-cb8c80e0b754,79.81348,6.5666,,7.00316,,,,2.44589,2.80315,-1.06099,1c9d1c7a-9774-4908-bc7d-dfaa856f974b,2025-05-10,21:04:02.06,2025-05-10T14:04:02.0650000-07:00,2025-05-10T21:04:02.0650000Z,GroundBall,v3,5047,1551,10 May 2025 17:00-michiganst@usc,"Lamb, Andrew",1000154939,Right,SOU_TRO,7b76abc3-8894-41d5-ae0a-aa0e835dab4b,54.77278,-118.5659,11.88095,5.72482,0.99947,-16.1985,-1.69583,2.20577,-1.85871,290.298186,2.54013,127.14245,-15.08247,,,,,,,2.89449,16.66845,-19.02329,,,,,,,-1.10834,50.86267,0.83264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
8,2025-05-10,14:04:38.45,4,1,"Aoki, Caden",802610,Right,SOU_TRO,"Seymour, Randy",809083,Right,MIC_SPA,Undefined,1,Top,2,0,0,ChangeUp,Slider,InPlay,Undefined,FlyBall,Out,1,0,,81.91822,-0.121083,-1.810273,2250.895224,76.309963,8:30,5.86976,1.4175,5.40995,-41.61235,0.71394,-2.38374,2.28856,-0.47776,75.39603,-7.703404,-2.234517,0.468249,97.20526,20.295226,21.213013,4580.392315,99.05362,35.26162,47.83703,326.28139,318.51487,34.189397,3.634993,0.71122,0.72898,-1.25464,50,5.8296,3.85488,-118.94304,-1.70838,1.0198,22.62044,-31.12876,SOU_TRO,MIC_SPA,OrangeCountyGreatParkStadium,D1,BIG10,20250510-OrangeCountyGreatParkStadium-1,62ce6e40-2de2-11f0-80f8-cb8c80e0b754,80.49665,43.24652,,6.52219,,,,1.53217,2.45049,0.41918,1c9d1c7a-9774-4908-bc7d-dfaa856f974b,2025-05-10,21:04:38.45,2025-05-10T14:04:38.4540000-07:00,2025-05-10T21:04:38.4540000Z,LineDrive,v3,5047,1551,10 May 2025 17:00-michiganst@usc,"Lamb, Andrew",1000154939,Right,SOU_TRO,0ab5e1ad-bbb8-4bbc-bfe7-60d06a6ebf82,55.09096,-119.90732,11.31022,5.87414,-0.3814,-15.56438,-1.41804,3.81141,0.5099,233.213456,1.53162,124.67314,-26.98632,6.84259,-1.73127,0.44463,-0.10122,0.01493,-0.00094,2.45096,49.43691,-15.58382,-0.04539,0.47681,-0.21616,0.0576,-0.00766,0.00037,0.41906,48.38796,4.37406,-2.71982,0.91244,-0.21543,0.03539,-0.00339,0.00013,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
9,2025-05-10,14:07:06.04,1,1,"Farquhar, Tate",1000138503,Right,MIC_SPA,"Dowd, Brayden",804053,Left,SOU_TRO,Undefined,1,Bottom,0,0,0,Fastball,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,,89.8449,-1.281661,-2.323175,2075.373179,222.656261,1:30,5.49775,1.66015,5.26797,-22.88797,12.61855,10.56961,2.38526,0.35741,82.04108,-5.520926,-0.44907,0.42887,,,,,,,,,,,,-5.91217,7.01178,-1.4556,50,5.36389,4.79418,-130.26012,-3.74469,-10.15398,27.46238,-20.13148,SOU_TRO,MIC_SPA,OrangeCountyGreatParkStadium,D1,BIG10,20250510-OrangeCountyGreatParkStadium-1,bac24cc0-2de2-11f0-80f8-cb8c80e0b754,87.88784,,,7.80382,,,,,,,1c9d1c7a-9774-4908-bc7d-dfaa856f974b,2025-05-10,21:07:06.04,2025-05-10T14:07:06.0430848-07:00,2025-05-10T21:07:06.0430848Z,,v3,5047,1551,10 May 2025 17:00-michiganst@usc,"Berry, Caleb",811727,Right,MIC_SPA,46ca657b-157a-41c2-9c61-f4ae27c2279a,55.22976,-131.35807,13.73119,5.49752,-2.93983,-10.06574,-1.65539,5.20013,-5.07699,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2025-05-10,14:07:19.49,1,2,"Farquhar, Tate",1000138503,Right,MIC_SPA,"Dowd, Brayden",804053,Left,SOU_TRO,Undefined,1,Bottom,0,0,1,Fastball,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,90.01225,-2.570032,-1.775156,2035.989566,238.213842,2:00,5.43476,1.69396,5.34073,-27.01903,8.46623,11.72717,0.76944,1.0054,82.06722,-7.534266,0.310319,0.428741,,,,,,,,,,,,-6.41965,5.36284,-1.54261,50,5.18361,3.50907,-130.41716,-6.86236,-10.98588,29.06577,-22.9967,SOU_TRO,MIC_SPA,OrangeCountyGreatParkStadium,D1,BIG10,20250510-OrangeCountyGreatParkStadium-1,c2c9cfb0-2de2-11f0-80f8-cb8c80e0b754,87.91418,,,7.94504,,,,,,,1c9d1c7a-9774-4908-bc7d-dfaa856f974b,2025-05-10,21:07:19.49,2025-05-10T14:07:19.4962944-07:00,2025-05-10T21:07:19.4962944Z,,v3,5047,1551,10 May 2025 17:00-michiganst@usc,"Berry, Caleb",811727,Right,MIC_SPA,10f0891a-c3c1-41ae-b56f-2dfc06482017,55.15784,-131.56166,14.53288,5.43599,-5.95684,-11.49835,-1.68929,3.94165,-5.49294,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
