PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-05-15,18:06:54.81,1,1,"Waugh, Landon",1000296377,Right,MOR_EAG,"Smelser, Landon",10298527,Left,TEN_TEC,Undefined,1,Top,0,0,0,Fastball,Sinker,InPlay,Undefined,GroundBall,Out,1,0,,87.44568,-0.523068,-3.362536,2099.452731,263.936274,2:45,5.23491,1.49594,5.38722,-33.95104,3.75874,22.87674,1.91453,0.24711,79.18828,-6.762479,0.702871,0.441976,94.13134,-12.816412,28.931719,,,,,11.8455,8.08345,20.81748,0.067969,-12.65855,2.38827,-1.21241,50,5.16415,6.45054,-126.67818,-2.4073,-20.31873,28.82394,-28.34057,MOR_EAG,TEN_TEC,AllenField,D1,OVC,20250515-AllenField-1,ea0d6a10-31d8-11f0-8fe4-21fa91fd2c76,85.28166,2.08472,,8.2574,,,,3.05206,2.08472,-0.22335,82f45cd2-a7a8-4140-8a15-9ffa9cc9fd97,2025-05-15,22:06:54.81,2025-05-15T18:06:54.8107776-04:00,2025-05-15T22:06:54.8107776Z,GroundBall,v3,471366,471458,,"Thomas, Hunter",1000101169,Right,MOR_EAG,d36145c1-e3b0-498e-985c-0a958b0c46bf,55.1123,-127.83612,14.41197,5.23799,-1.26877,-14.17028,-1.48795,7.2668,-10.15937,180,3.05011,117.99665,,,,,,,,2.08523,-30.67164,,,,,,,,-0.22443,65.22291,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
2,2025-05-15,18:07:34.71,2,1,"Waugh, Landon",1000296377,Right,MOR_EAG,"Jordan, Nicho",1000396862,Left,TEN_TEC,Undefined,1,Top,1,0,0,Slider,Curveball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,75.38431,1.219773,-0.4466,2433.340074,123.678352,10:00,5.16992,1.28742,4.93591,-42.7366,9.48867,-11.18599,2.76162,-0.06686,67.4669,-6.640993,-2.418792,0.52013,,,,,,,,,,,,5.33866,4.8415,-1.23426,50,5.25406,1.30828,-109.01108,0.90254,6.265,23.58673,-26.49249,MOR_EAG,TEN_TEC,AllenField,D1,OVC,20250515-AllenField-1,01cb72a0-31d9-11f0-8fe4-21fa91fd2c76,72.46737,,,7.91741,,,,,,,82f45cd2-a7a8-4140-8a15-9ffa9cc9fd97,2025-05-15,22:07:34.71,2025-05-15T18:07:34.7102208-04:00,2025-05-15T22:07:34.7102208Z,,v3,471366,471458,,"Thomas, Hunter",1000101169,Right,MOR_EAG,14db261c-e8e9-4626-86cb-28afab51bdb1,55.55659,-110.2068,11.79337,5.17427,2.24556,-13.24625,-1.29253,0.99068,3.1325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2025-05-15,18:07:54.57,2,2,"Waugh, Landon",1000296377,Right,MOR_EAG,"Jordan, Nicho",1000396862,Left,TEN_TEC,Undefined,1,Top,1,0,1,Fastball,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,88.99267,1.260384,-1.424796,2101.90729,244.501775,2:15,5.21333,1.37374,5.317,-26.33738,9.99678,18.38757,4.20198,1.5686,80.54989,-3.628601,1.839084,0.433839,,,,,,,,,,,,-9.58819,4.98929,-1.25833,50,5.30885,2.36075,-129.0248,1.8818,-16.03167,28.88262,-23.83184,MOR_EAG,TEN_TEC,AllenField,D1,OVC,20250515-AllenField-1,0d9358f0-31d9-11f0-8fe4-21fa91fd2c76,86.8811,,,8.44278,,,,,,,82f45cd2-a7a8-4140-8a15-9ffa9cc9fd97,2025-05-15,22:07:54.57,2025-05-15T18:07:54.5799168-04:00,2025-05-15T22:07:54.5799168Z,,v3,471366,471458,,"Thomas, Hunter",1000101169,Right,MOR_EAG,2beb7df5-dad5-44da-9241-753b0010597c,55.17926,-130.17903,14.44131,5.21462,2.83419,-11.91592,-1.36547,3.00142,-8.01584,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2025-05-15,18:08:11.99,2,3,"Waugh, Landon",1000296377,Right,MOR_EAG,"Jordan, Nicho",1000396862,Left,TEN_TEC,Undefined,1,Top,1,1,1,ChangeUp,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,79.32132,0.066271,-0.950213,1968.405992,262.242659,2:45,5.08631,1.43435,5.26165,-41.53187,3.85107,17.96529,1.68759,2.03868,72.93675,-7.503604,2.240624,0.484861,,,,,,,,,,,,-9.24359,2.34028,-1.36111,50,5.06177,1.18245,-115.18251,-1.30102,-12.42759,21.23954,-29.02765,MOR_EAG,TEN_TEC,AllenField,D1,OVC,20250515-AllenField-1,18028d10-31d9-11f0-8fe4-21fa91fd2c76,77.73858,,,6.38457,,,,,,,82f45cd2-a7a8-4140-8a15-9ffa9cc9fd97,2025-05-15,22:08:11.99,2025-05-15T18:08:11.9951360-04:00,2025-05-15T22:08:11.9951360Z,,v3,471366,471458,,"Thomas, Hunter",1000101169,Right,MOR_EAG,bc9bf662-2345-48e4-87bb-8be8185cee6b,55.23717,-116.14423,10.61977,5.09093,0.01334,-14.51383,-1.42739,1.74517,-6.2138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2025-05-15,18:08:32.58,2,4,"Waugh, Landon",1000296377,Right,MOR_EAG,"Jordan, Nicho",1000396862,Left,TEN_TEC,Undefined,1,Top,1,2,1,Fastball,Sinker,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,88.21773,-0.777979,-2.738709,2211.49203,251.481798,2:30,5.18192,1.32797,5.24114,-30.23754,6.81953,16.62465,1.93008,0.13751,80.23347,-6.331594,0.208355,0.438134,,,,,,,,,,,,-9.21528,3.97335,-1.08939,50,5.08795,5.38123,-127.86631,-2.86615,-15.14952,28.09437,-25.642,MOR_EAG,TEN_TEC,AllenField,D1,OVC,20250515-AllenField-1,24554e40-31d9-11f0-8fe4-21fa91fd2c76,86.02946,,,7.98425,,,,,,,82f45cd2-a7a8-4140-8a15-9ffa9cc9fd97,2025-05-15,22:08:32.58,2025-05-15T18:08:32.5881856-04:00,2025-05-15T22:08:32.5881856Z,,v3,471366,471458,,"Thomas, Hunter",1000101169,Right,MOR_EAG,9391ccd3-3c8a-41fa-be14-cabaebad2a67,55.25786,-129.01638,14.04719,5.18379,-1.81647,-12.821,-1.32237,6.00139,-7.57476,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2025-05-15,18:08:56.68,2,5,"Waugh, Landon",1000296377,Right,MOR_EAG,"Jordan, Nicho",1000396862,Left,TEN_TEC,Undefined,1,Top,1,2,2,ChangeUp,Changeup,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,,80.08084,-1.053017,-2.179422,1949.247301,263.504636,2:45,5.04039,1.51979,5.23582,-41.40329,3.45831,17.40044,0.59954,0.92037,73.3631,-8.58889,0.910695,0.482069,,,,,,,,,,,,-9.46965,2.38618,-1.3332,50,4.91236,3.73098,-116.15553,-3.56679,-12.86754,22.85714,-28.93165,MOR_EAG,TEN_TEC,AllenField,D1,OVC,20250515-AllenField-1,32b62ef0-31d9-11f0-8fe4-21fa91fd2c76,78.18897,,,6.71774,,,,,,,82f45cd2-a7a8-4140-8a15-9ffa9cc9fd97,2025-05-15,22:08:56.68,2025-05-15T18:08:56.6806016-04:00,2025-05-15T22:08:56.6806016Z,,v3,471366,471458,,"Thomas, Hunter",1000101169,Right,MOR_EAG,cbdacc9e-9e5e-49de-be86-ca7ca92ac037,55.26436,-117.18687,11.42857,5.04385,-2.26136,-14.46583,-1.51464,4.31158,-6.43377,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2025-05-15,18:09:32.11,3,1,"Waugh, Landon",1000296377,Right,MOR_EAG,"Whitcomb, Mack",1000095519,Right,TEN_TEC,Undefined,1,Top,2,0,0,Slider,Slider,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,75.55821,0.598251,-1.488601,2512.838461,151.796292,11:00,5.1975,1.23954,5.08839,-38.81085,12.35465,-5.64111,2.52732,-0.63385,68.32729,-6.549261,-2.485478,0.514825,,,,,,,,,,,,2.3124,6.48756,-1.09417,50,5.22434,3.06969,-109.39517,-0.10849,2.7633,21.79823,-24.42147,MOR_EAG,TEN_TEC,AllenField,D1,OVC,20250515-AllenField-1,47c4cef0-31d9-11f0-8fe4-21fa91fd2c76,73.21401,,,7.23092,,,,,,,82f45cd2-a7a8-4140-8a15-9ffa9cc9fd97,2025-05-15,22:09:32.11,2025-05-15T18:09:32.1100800-04:00,2025-05-15T22:09:32.1100800Z,,v3,471366,471458,,"Thomas, Hunter",1000101169,Right,MOR_EAG,cd98a16c-0beb-42a5-a3dc-dc26162762c6,55.40477,-110.46689,10.89912,5.20016,1.09219,-12.21074,-1.24175,2.93383,1.38165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2025-05-15,18:09:49.77,3,2,"Waugh, Landon",1000296377,Right,MOR_EAG,"Whitcomb, Mack",1000095519,Right,TEN_TEC,Undefined,1,Top,2,0,1,Slider,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,75.08137,-0.244253,-1.666868,2472.287155,98.318021,9:15,5.12356,0.91769,5.02971,-47.94951,3.52032,-12.60418,0.89721,-1.70581,68.9199,-8.92446,-3.894316,0.516354,,,,,,,,,,,,5.76091,2.32626,-0.74778,50,5.06197,3.66376,-108.85925,-2.08198,6.87354,20.126,-29.39849,MOR_EAG,TEN_TEC,AllenField,D1,OVC,20250515-AllenField-1,524c4600-31d9-11f0-8fe4-21fa91fd2c76,72.99724,,,6.16147,,,,,,,82f45cd2-a7a8-4140-8a15-9ffa9cc9fd97,2025-05-15,22:09:49.77,2025-05-15T18:09:49.7720320-04:00,2025-05-15T22:09:49.7720320Z,,v3,471366,471458,,"Thomas, Hunter",1000101169,Right,MOR_EAG,61a90abf-3505-447c-b252-00b92cc84e38,55.46759,-109.86545,10.063,5.12931,-0.6122,-14.69925,-0.92236,3.32012,3.43677,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2025-05-15,18:10:08.58,3,3,"Waugh, Landon",1000296377,Right,MOR_EAG,"Whitcomb, Mack",1000095519,Right,TEN_TEC,Undefined,1,Top,2,1,1,Slider,Curveball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,74.15968,1.138521,0.396311,2424.639578,92.844445,9:00,5.15214,1.44297,5.03918,-50.15392,2.25004,-12.49387,2.04683,0.77568,68.19205,-7.957542,-1.813394,0.521019,,,,,,,,,,,,6.34752,1.24221,-1.47016,50,5.22048,-0.26666,-107.63624,0.46894,7.44679,18.67816,-30.7167,MOR_EAG,TEN_TEC,AllenField,D1,OVC,20250515-AllenField-1,5d975b30-31d9-11f0-8fe4-21fa91fd2c76,72.34369,,,5.96763,,,,,,,82f45cd2-a7a8-4140-8a15-9ffa9cc9fd97,2025-05-15,22:10:08.58,2025-05-15T18:10:08.5841408-04:00,2025-05-15T22:10:08.5841408Z,,v3,471366,471458,,"Thomas, Hunter",1000101169,Right,MOR_EAG,eaf65554-e640-4b92-a760-a1aaf46421f6,55.46004,-108.57959,9.33908,5.15762,2.0203,-15.35835,-1.44719,-0.64276,3.7234,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2025-05-15,18:10:28.10,3,4,"Waugh, Landon",1000296377,Right,MOR_EAG,"Whitcomb, Mack",1000095519,Right,TEN_TEC,Undefined,1,Top,2,1,2,Fastball,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,91.01413,-1.076028,-5.250426,2314.171828,260.152831,2:45,5.23031,1.08183,5.56094,-29.84832,4.49162,19.54147,1.73333,-2.20865,83.23559,-6.558736,-1.780874,0.421766,,,,,,,,,,,,-11.28237,2.90878,-0.64052,50,5.11744,11.21574,-131.67474,-3.60557,-19.83812,27.56333,-27.05946,MOR_EAG,TEN_TEC,AllenField,D1,OVC,20250515-AllenField-1,69176310-31d9-11f0-8fe4-21fa91fd2c76,89.36822,,,7.77854,,,,,,,82f45cd2-a7a8-4140-8a15-9ffa9cc9fd97,2025-05-15,22:10:28.10,2025-05-15T18:10:28.1065984-04:00,2025-05-15T22:10:28.1065984Z,,v3,471366,471458,,"Thomas, Hunter",1000101169,Right,MOR_EAG,70fce22f-809d-469e-8827-d906688cdc78,54.93796,-132.70437,13.78166,5.23325,-2.59476,-13.52973,-1.07333,11.9568,-9.91906,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
