PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-05-15,18:07:20.10,1,1,"Lane, Carson",831024,Right,UNL_REB,"Spencer, Chase",823297,Right,AIR_FOR,Undefined,1,Top,0,0,0,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,93.2455,-2.167454,-2.492436,2093.932423,204.544257,12:45,6.06539,1.34188,6.54858,-15.47032,15.77784,6.76985,2.78575,-0.38103,85.61036,-5.129995,-1.263629,0.402331,80.91537,10.051396,164.941052,2261.299131,-107.71267,8.16021,22.31399,156.22118,60.26944,169.880078,1.553,-4.23079,9.16741,-1.1723,50,5.90856,5.62865,-135.47062,-5.54941,-7.89247,28.53596,-15.07244,UNL_REB,AIR_FOR,EarlEWilsonStadium,D1,MW,20250515-EarlEWilsonStadium-1,1e4db0a0-31f2-11f0-a517-35318423e8de,93.68512,9.85345,,7.63515,,,,0.87482,2.69108,0.38084,4b5585f6-aaa7-4caf-8f8c-c584e93caf75,2025-05-16,01:07:20.10,2025-05-15T18:07:20.1047552-07:00,2025-05-16T01:07:20.1047552Z,LineDrive,v3,471376,471472,15 May 2025 21:05-airforce@unlv,"Gallegos, Chase",831021,Right,UNL_REB,889c2795-8fbf-49b1-b59d-4be45b903c93,53.95124,-136.30038,14.26798,6.06355,-5.11114,-7.53622,-1.3393,5.85815,-3.94623,251.721006,0.87482,-112.84131,11.13337,-2.1878,0.42501,-0.07962,0.0151,-0.00236,0.0002,2.69108,20.71262,-15.46072,0.78669,-0.11112,0.0157,-0.00103,0.00017,-2E-05,0.38084,30.36022,-11.07977,2.35215,-0.48878,0.09802,-0.01915,0.00307,-0.00027,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Low,,,
2,2025-05-15,18:07:39.51,1,2,"Lane, Carson",831024,Right,UNL_REB,"Spencer, Chase",823297,Right,AIR_FOR,Undefined,1,Top,0,0,1,Cutter,Slider,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,85.62592,-0.753964,-1.705629,2102.862568,148.177541,11:00,5.9604,1.54819,5.7364,-29.27852,9.62571,-5.10563,2.81808,-0.46603,77.3567,-6.210429,-2.619045,0.448921,73.23687,53.72198,124.568471,5306.396096,,,,,32.99133,,,2.04949,5.54579,-1.40293,50,5.87988,3.90822,-124.12649,-2.59893,3.14613,28.57182,-23.66083,UNL_REB,AIR_FOR,EarlEWilsonStadium,D1,MW,20250515-EarlEWilsonStadium-1,29d35dd0-31f2-11f0-a517-35318423e8de,83.96233,39.70285,,8.26923,,,,2.06469,2.61144,0.64295,4b5585f6-aaa7-4caf-8f8c-c584e93caf75,2025-05-16,01:07:39.51,2025-05-15T18:07:39.5125760-07:00,2025-05-16T01:07:39.5125760Z,,v3,471376,471472,15 May 2025 21:05-airforce@unlv,"Gallegos, Chase",831021,Right,UNL_REB,4f8b9e44-b85c-44dd-ba6a-e4222d6e9ebc,54.76045,-125.21747,14.28591,5.96186,-1.69547,-11.83041,-1.54987,3.78809,1.57306,,2.06469,-36.06175,-5.71018,2.67648,-0.84133,0.24232,0.54541,-1.72847,1.46437,2.61144,86.59232,-33.17309,4.8611,-1.05435,0.10186,0.71792,-1.695,1.30413,0.64295,52.3361,-2.37895,-0.72816,0.39379,-0.18632,-0.13952,0.69641,-0.64406,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Medium,Undefined,,,
3,2025-05-15,18:07:59.42,1,3,"Lane, Carson",831024,Right,UNL_REB,"Spencer, Chase",823297,Right,AIR_FOR,Undefined,1,Top,0,0,2,Cutter,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,84.466,-2.135968,-2.481604,2231.722918,140.015191,10:45,5.84923,1.50871,5.67738,-30.78214,8.29473,-6.05618,1.29005,-1.31085,78.62381,-7.763531,-3.563492,0.449916,,,,,,,,,,,,2.51945,5.05004,-1.29536,50,5.64929,5.55256,-122.68176,-5.61147,3.88653,21.50342,-24.38383,UNL_REB,AIR_FOR,EarlEWilsonStadium,D1,MW,20250515-EarlEWilsonStadium-1,35b64630-31f2-11f0-a517-35318423e8de,83.77668,,,5.84219,,,,,,,4b5585f6-aaa7-4caf-8f8c-c584e93caf75,2025-05-16,01:07:59.42,2025-05-15T18:07:59.4224128-07:00,2025-05-16T01:07:59.4224128Z,,v3,471376,471472,15 May 2025 21:05-airforce@unlv,"Gallegos, Chase",831021,Right,UNL_REB,b3c7b441-fc39-4429-b104-f1f173dd2b82,54.82449,-123.52449,10.75171,5.85048,-4.65586,-12.19191,-1.50999,5.40024,1.94326,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2025-05-15,18:08:49.77,1,4,"Lane, Carson",831024,Right,UNL_REB,"Spencer, Chase",823297,Right,AIR_FOR,Undefined,1,Top,0,1,2,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,93.88298,-0.814108,-1.912771,2160.383803,192.116671,12:30,6.06813,1.26033,6.49137,-11.55446,19.83962,4.0187,4.35742,-0.1614,84.54533,-3.107703,-1.183997,0.403269,,,,,,,,,,,,-2.69414,10.9226,-1.12772,50,6.00539,4.37829,-136.24475,-2.17024,-4.99116,33.95475,-11.93882,UNL_REB,AIR_FOR,EarlEWilsonStadium,D1,MW,20250515-EarlEWilsonStadium-1,539c1530-31f2-11f0-a517-35318423e8de,93.46716,,,9.33766,,,,,,,4b5585f6-aaa7-4caf-8f8c-c584e93caf75,2025-05-16,01:08:49.77,2025-05-15T18:08:49.7701888-07:00,2025-05-16T01:08:49.7701888Z,,v3,471376,471472,15 May 2025 21:05-airforce@unlv,"Gallegos, Chase",831021,Right,UNL_REB,2c5aa146-7f1e-47b7-82be-881d502d58af,54.0038,-137.23894,16.97738,6.06382,-1.82067,-5.96941,-1.25806,4.52443,-2.49558,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2025-05-15,18:09:04.77,1,5,"Lane, Carson",831024,Right,UNL_REB,"Spencer, Chase",823297,Right,AIR_FOR,Undefined,1,Top,0,2,2,Fastball,Four-Seam,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,,92.82128,-1.69406,-2.601131,2145.919622,204.371489,12:45,6.00269,1.21523,6.42505,-14.22052,17.87458,7.59406,3.25844,-0.54448,84.04475,-4.457762,-1.22634,0.407747,,,,,,,,,,,,-4.73323,10.15544,-1.03285,50,5.87505,5.7982,-134.65657,-4.33822,-8.60805,31.83494,-13.70496,UNL_REB,AIR_FOR,EarlEWilsonStadium,D1,MW,20250515-EarlEWilsonStadium-1,5c8f30a0-31f2-11f0-a517-35318423e8de,92.44076,,,8.77654,,,,,,,4b5585f6-aaa7-4caf-8f8c-c584e93caf75,2025-05-16,01:09:04.77,2025-05-15T18:09:04.7791104-07:00,2025-05-16T01:09:04.7791104Z,,v3,471376,471472,15 May 2025 21:05-airforce@unlv,"Gallegos, Chase",831021,Right,UNL_REB,9ef64b8d-3547-4518-b7d6-74674a3e27e3,54.07148,-135.61572,15.91747,5.99954,-3.92531,-6.85248,-1.21145,6.05755,-4.30403,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.9019,2.695927,1.799834,0.896094,-0.77541,3.08481,0.59031,3.03943,5.23197,2.80679,75.19106,7.83763,-49.58981,3.07159,85.0991,-5.13911,5.26576,15.3787,-13.94415,2.72401,-66.08514,8.5653,High,High,High,,,High,Medium,High
6,2025-05-15,18:09:43.22,2,1,"Lane, Carson",831024,Right,UNL_REB,"Zapp, Walker",823311,Right,AIR_FOR,Undefined,1,Top,1,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,92.76434,-1.702846,-2.888253,2116.57819,198.850211,12:45,6.05647,1.28318,6.32371,-12.94013,19.44946,6.24473,3.40743,-0.85862,83.67716,-4.238965,-1.760592,0.409613,,,,,,,,,,,,-4.12453,10.94505,-1.07476,50,5.9254,6.51404,-134.45756,-4.29916,-7.45423,32.62739,-12.39307,UNL_REB,AIR_FOR,EarlEWilsonStadium,D1,MW,20250515-EarlEWilsonStadium-1,73715820-31f2-11f0-a517-35318423e8de,92.01955,,,9.08719,,,,,,,4b5585f6-aaa7-4caf-8f8c-c584e93caf75,2025-05-16,01:09:43.22,2025-05-15T18:09:43.2279040-07:00,2025-05-16T01:09:43.2279040Z,,v3,471376,471472,15 May 2025 21:05-airforce@unlv,"Gallegos, Chase",831021,Right,UNL_REB,b696682b-b266-48ba-9268-c12489503a45,54.17155,-135.46604,16.31369,6.05236,-3.9161,-6.19654,-1.27966,6.74445,-3.72711,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2025-05-15,18:09:58.74,2,2,"Lane, Carson",831024,Right,UNL_REB,"Zapp, Walker",823311,Right,AIR_FOR,Undefined,1,Top,1,1,0,Cutter,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,84.59612,0.609468,-1.866266,2303.727127,144.093866,10:45,5.88396,1.38566,5.53451,-33.90474,6.83528,-3.765,3.62857,-0.67315,75.28102,-5.704715,-2.536968,0.459391,,,,,,,,,,,,1.20008,3.71591,-1.22114,50,5.915,4.15184,-122.36077,0.13545,1.76581,30.77077,-26.70643,UNL_REB,AIR_FOR,EarlEWilsonStadium,D1,MW,20250515-EarlEWilsonStadium-1,7cb7eac0-31f2-11f0-a517-35318423e8de,82.04876,,,9.3151,,,,,,,4b5585f6-aaa7-4caf-8f8c-c584e93caf75,2025-05-16,01:09:58.74,2025-05-15T18:09:58.7415552-07:00,2025-05-16T01:09:58.7415552Z,,v3,471376,471472,15 May 2025 21:05-airforce@unlv,"Gallegos, Chase",831021,Right,UNL_REB,579f4fc7-2bc2-4ddf-bc03-38509b5f8454,54.95812,-123.60132,15.38538,5.88783,1.21215,-13.35322,-1.38709,4.08065,0.88291,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2025-05-15,18:10:15.72,2,3,"Lane, Carson",831024,Right,UNL_REB,"Zapp, Walker",823311,Right,AIR_FOR,Undefined,1,Top,1,2,0,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,92.48474,-1.976295,-2.654174,2111.43179,191.640998,12:30,6.04901,1.29623,6.61324,-13.01343,19.19418,3.71855,3.15182,-0.82658,83.52223,-4.534543,-1.978817,0.408461,78.24296,10.901632,173.080675,1606.413042,,,,137.00239,58.84745,176.359313,1.408487,-2.79839,11.05843,-1.11712,50,5.90878,6.0706,-134.1617,-4.92158,-5.03148,32.68526,-12.29103,UNL_REB,AIR_FOR,EarlEWilsonStadium,D1,MW,20250515-EarlEWilsonStadium-1,86e84120-31f2-11f0-a517-35318423e8de,92.27917,9.6808,,8.96251,,,,1.18311,3.08312,0.83701,4b5585f6-aaa7-4caf-8f8c-c584e93caf75,2025-05-16,01:10:15.72,2025-05-15T18:10:15.7204480-07:00,2025-05-16T01:10:15.7204480Z,LineDrive,v3,471376,471472,15 May 2025 21:05-airforce@unlv,"Gallegos, Chase",831021,Right,UNL_REB,16a205a4-7574-4f32-bd69-9be01dbbc316,53.88405,-135.10464,16.34263,6.04565,-4.567,-6.14552,-1.29434,6.21575,-2.51574,273.081624,1.18311,-111.86447,11.78313,-1.70926,0.32442,-0.05075,0.00894,-0.0015,0.00014,3.08312,21.70307,-18.69118,1.53329,-0.28657,0.06017,-0.00975,0.00155,-0.00016,0.83701,13.57537,-7.30332,1.55456,-0.36325,0.07301,-0.01423,0.00237,-0.00022,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,
9,2025-05-15,18:10:36.93,2,4,"Lane, Carson",831024,Right,UNL_REB,"Zapp, Walker",823311,Right,AIR_FOR,Undefined,1,Top,1,2,1,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,92.17672,-1.272771,-3.276888,1991.167618,190.874232,12:15,6.03289,1.30725,6.48667,-17.76639,14.40894,2.5752,3.38172,-1.48996,84.357,-4.658527,-2.810752,0.408256,,,,,,,,,,,,-2.24417,8.19662,-1.07808,50,5.93534,7.55619,-133.80485,-3.4749,-4.07249,28.60785,-17.2996,UNL_REB,AIR_FOR,EarlEWilsonStadium,D1,MW,20250515-EarlEWilsonStadium-1,9377e440-31f2-11f0-a517-35318423e8de,92.32541,,,7.81972,,,,,,,4b5585f6-aaa7-4caf-8f8c-c584e93caf75,2025-05-16,01:10:36.93,2025-05-15T18:10:36.9390592-07:00,2025-05-16T01:10:36.9390592Z,,v3,471376,471472,15 May 2025 21:05-airforce@unlv,"Gallegos, Chase",831021,Right,UNL_REB,aa973297-3c14-4705-aefd-77ce25ca5351,54.01116,-134.65972,14.30392,6.03146,-2.95794,-8.6498,-1.3057,7.67789,-2.03624,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2025-05-15,18:10:57.69,2,5,"Lane, Carson",831024,Right,UNL_REB,"Zapp, Walker",823311,Right,AIR_FOR,Undefined,1,Top,1,3,1,Fastball,Four-Seam,BallCalled,Walk,Undefined,Undefined,0,0,,92.23008,0.851284,-1.708499,2004.14318,188.554957,12:15,6.07228,1.34607,6.34056,-17.52391,14.59749,2.05323,5.3961,-0.05623,84.52626,-2.487851,-1.337213,0.407914,,,,,,,,,,,,-1.51394,7.66083,-1.22268,50,6.12567,3.91366,-134.07178,1.48894,-2.76934,27.6398,-18.16074,UNL_REB,AIR_FOR,EarlEWilsonStadium,D1,MW,20250515-EarlEWilsonStadium-1,9fdb9560-31f2-11f0-a517-35318423e8de,92.40287,,,7.70382,,,,,,,4b5585f6-aaa7-4caf-8f8c-c584e93caf75,2025-05-16,01:10:57.69,2025-05-15T18:10:57.6978944-07:00,2025-05-16T01:10:57.6978944Z,,v3,471376,471472,15 May 2025 21:05-airforce@unlv,"Gallegos, Chase",831021,Right,UNL_REB,b62ddbbf-13d6-4860-90d7-cc2c832a33de,54.15748,-134.92615,13.8199,6.07097,2.0503,-9.08037,-1.34498,3.99926,-1.38467,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
