PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-05-15,18:06:18.51,1,1,"McAnelly, Colter",814778,Right,UTA_UTE,"Bowen, Karson",702710,Right,TCU_HFG,Undefined,1,Top,0,0,0,FourSeamFastBall,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,91.21286,-3.853479,-3.119662,2000.644164,199.333947,12:45,6.20311,1.82994,6.20107,-15.95206,17.30438,5.70536,1.30605,-0.57716,83.80539,-6.87854,-2.091698,0.415059,,,,,,,,,,,,-3.81803,10.34969,-1.5982,50,5.9046,6.97437,-132.1721,-9.36953,-6.77566,27.32368,-13.80698,UTA_UTE,TCU_HFG,SmithsBallparkUT,D1,BIG12,20250515-SmithsBallparkUT-1,97555ba0-31e9-11f0-9e05-0f8773b7daaf,90.81234,,,7.40747,,,,,,,65046afc-d1ca-48c9-989a-6ed18cfc247e,2025-05-16,00:06:18.51,2025-05-15T18:06:18.5123328-06:00,2025-05-16T00:06:18.5123328Z,,v3,471475,5045,15 May 2025 20:00-tcu@utah,"Smith, Derek",10121874,Right,UTA_UTE,b5babd24-e0f2-4de3-9543-9867cc6692cd,54.2984,-133.05774,13.66184,6.20104,-8.92201,-6.90349,-1.82782,7.19398,-3.38783,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2025-05-15,18:06:32.85,1,2,"McAnelly, Colter",814778,Right,UTA_UTE,"Bowen, Karson",702710,Right,TCU_HFG,Undefined,1,Top,0,1,0,FourSeamFastBall,Four-Seam,InPlay,Undefined,GroundBall,Double,0,0,,89.47893,-2.911612,-2.459696,1864.518536,211.203878,1:00,6.25322,1.91048,6.17567,-19.45851,14.84213,8.38087,1.93794,0.33591,82.67377,-6.565133,-0.948324,0.421524,98.49767,-4.532847,-41.835929,,,,,23.27478,21.58917,-38.65755,0.150232,-5.00776,8.75678,-1.72884,50,6.02274,5.25398,-129.93065,-7.19999,-8.63627,24.97105,-17.07232,UTA_UTE,TCU_HFG,SmithsBallparkUT,D1,BIG12,20250515-SmithsBallparkUT-1,9fde91b0-31e9-11f0-9e05-0f8773b7daaf,89.41941,2.15113,,6.80516,,,,2.59295,2.15113,-0.29589,65046afc-d1ca-48c9-989a-6ed18cfc247e,2025-05-16,00:06:32.85,2025-05-15T18:06:32.8536064-06:00,2025-05-16T00:06:32.8536064Z,GroundBall,v3,471475,5045,15 May 2025 20:00-tcu@utah,"Smith, Derek",10121874,Right,UTA_UTE,6798fc3e-a941-417f-ac0d-ac5029a92cf7,54.32484,-130.75919,12.48553,6.25224,-6.63353,-8.53616,-1.90792,5.54053,-4.31813,65.122053,2.59368,107.23217,-23.43781,,,,,,,2.15157,-11.4568,-19.09103,,,,,,,-0.29594,-96.05064,8.28346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
3,2025-05-15,18:07:39.06,2,1,"McAnelly, Colter",814778,Right,UTA_UTE,"Strosnider, Sawyer",820831,Left,TCU_HFG,Undefined,1,Top,0,0,0,FourSeamFastBall,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,91.04063,-4.806357,-2.826066,2096.270657,206.010537,12:45,6.54789,1.94739,6.04835,-16.28521,17.30662,7.93339,0.72544,-0.00983,83.84005,-7.871459,-1.399591,0.417146,,,,,,,,,,,,-4.88213,10.54898,-1.73177,50,6.16386,6.18499,-131.79437,-11.57918,-8.62807,26.75747,-13.53117,UTA_UTE,TCU_HFG,SmithsBallparkUT,D1,BIG12,20250515-SmithsBallparkUT-1,c74f9d70-31e9-11f0-9e05-0f8773b7daaf,90.35785,,,7.20057,,,,,,,65046afc-d1ca-48c9-989a-6ed18cfc247e,2025-05-16,00:07:39.06,2025-05-15T18:07:39.0693376-06:00,2025-05-16T00:07:39.0693376Z,,v3,471475,5045,15 May 2025 20:00-tcu@utah,"Smith, Derek",10121874,Right,UTA_UTE,261803dd-e5b2-4fa7-8412-dbcc1c70b285,54.45188,-132.69514,13.37874,6.54599,-11.12367,-6.76559,-1.94486,6.47544,-4.31404,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2025-05-15,18:07:56.86,2,2,"McAnelly, Colter",814778,Right,UTA_UTE,"Strosnider, Sawyer",820831,Left,TCU_HFG,Undefined,1,Top,0,1,0,ChangeUp,Changeup,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,81.75075,-0.51097,-2.951793,1450.48213,258.34533,2:30,6.30559,2.2953,6.61555,-36.55352,3.73799,12.59938,2.79087,0.63948,75.77431,-7.323203,-0.659752,0.456855,,,,,,,,,,,,-7.45788,2.39977,-2.09984,50,6.25553,5.71421,-118.92298,-2.08755,-10.77667,20.8809,-28.70639,UTA_UTE,TCU_HFG,SmithsBallparkUT,D1,BIG12,20250515-SmithsBallparkUT-1,d1f8f460-31e9-11f0-9e05-0f8773b7daaf,82.50421,,,5.97643,,,,,,,65046afc-d1ca-48c9-989a-6ed18cfc247e,2025-05-16,00:07:56.86,2025-05-15T18:07:56.8624640-06:00,2025-05-16T00:07:56.8624640Z,,v3,471475,5045,15 May 2025 20:00-tcu@utah,"Smith, Derek",10121874,Right,UTA_UTE,b4a7409e-630a-4505-90c6-9d88101d3105,53.88629,-119.6034,10.44045,6.30831,-1.15213,-14.3532,-2.29177,6.06538,-5.38834,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2025-05-15,18:08:23.32,2,3,"McAnelly, Colter",814778,Right,UTA_UTE,"Strosnider, Sawyer",820831,Left,TCU_HFG,Undefined,1,Top,0,1,1,Curveball,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,75.58759,3.043624,-0.2747,2694.3463,23.556268,6:45,6.56548,1.7547,5.18277,-66.28551,-15.81812,-7.59741,3.90802,0.86313,69.23519,-8.931751,-1.622137,0.511301,,,,,,,,,,,,3.69103,-8.2393,-1.72319,50,6.79784,0.82593,-109.64139,3.50321,4.46904,20.35111,-42.15,UTA_UTE,TCU_HFG,SmithsBallparkUT,D1,BIG12,20250515-SmithsBallparkUT-1,e1b127b0-31e9-11f0-9e05-0f8773b7daaf,73.71864,,,6.3524,,,,,,,65046afc-d1ca-48c9-989a-6ed18cfc247e,2025-05-16,00:08:23.32,2025-05-15T18:08:23.3275904-06:00,2025-05-16T00:08:23.3275904Z,,v3,471475,5045,15 May 2025 20:00-tcu@utah,"Smith, Derek",10121874,Right,UTA_UTE,1f20d48d-c126-4f57-a3e8-871ffcf8be7d,55.32026,-110.6245,10.17555,6.57943,5.53938,-21.075,-1.75787,0.61004,2.23452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2025-05-15,18:08:40.22,2,4,"McAnelly, Colter",814778,Right,UTA_UTE,"Strosnider, Sawyer",820831,Left,TCU_HFG,Undefined,1,Top,0,2,1,Sinker,Changeup,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,87.1291,-2.611489,-2.42758,1601.310844,262.97678,2:45,6.41591,1.95829,6.14904,-33.59451,2.65339,12.98513,1.19955,0.79599,80.76519,-8.791001,-0.082027,0.433324,,,,,,,,,,,,-7.41052,2.33878,-1.78038,50,6.19947,4.86886,-126.56078,-6.88106,-12.10071,24.196,-28.35506,UTA_UTE,TCU_HFG,SmithsBallparkUT,D1,BIG12,20250515-SmithsBallparkUT-1,ebcae8d0-31e9-11f0-9e05-0f8773b7daaf,86.98445,,,6.36392,,,,,,,65046afc-d1ca-48c9-989a-6ed18cfc247e,2025-05-16,00:08:40.22,2025-05-15T18:08:40.2219520-06:00,2025-05-16T00:08:40.2219520Z,,v3,471475,5045,15 May 2025 20:00-tcu@utah,"Smith, Derek",10121874,Right,UTA_UTE,2e2cfa00-fd48-40ed-8bf3-42858622a9c5,54.35233,-127.39015,12.098,6.41868,-5.90913,-14.17753,-1.95438,5.28364,-6.05035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2025-05-15,18:09:01.18,2,5,"McAnelly, Colter",814778,Right,UTA_UTE,"Strosnider, Sawyer",820831,Left,TCU_HFG,Undefined,1,Top,0,2,2,Cutter,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,84.93283,-0.626981,-1.219727,2315.929764,159.765541,11:15,6.4774,2.13497,5.55483,-28.66899,10.25552,-3.36169,3.50234,0.71499,78.35117,-5.912353,-1.819382,0.449038,,,,,,,,,,,,1.38917,5.70398,-2.02727,50,6.4043,2.76713,-123.39918,-2.32599,2.15864,22.77293,-23.31076,UTA_UTE,TCU_HFG,SmithsBallparkUT,D1,BIG12,20250515-SmithsBallparkUT-1,f834b470-31e9-11f0-9e05-0f8773b7daaf,83.94045,,,6.58165,,,,,,,65046afc-d1ca-48c9-989a-6ed18cfc247e,2025-05-16,00:09:01.18,2025-05-15T18:09:01.1883520-06:00,2025-05-16T00:09:01.1883520Z,,v3,471475,5045,15 May 2025 20:00-tcu@utah,"Smith, Derek",10121874,Right,UTA_UTE,4136aefd-4f52-4047-ad50-3ca3f0bd7f10,54.94347,-124.30814,11.38646,6.47857,-1.39556,-11.65538,-2.136,2.68097,1.07932,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2025-05-15,18:09:20.79,2,6,"McAnelly, Colter",814778,Right,UTA_UTE,"Strosnider, Sawyer",820831,Left,TCU_HFG,Undefined,1,Top,0,3,2,ChangeUp,Changeup,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,82.16838,-1.733738,-4.049737,1607.453384,243.519996,2:00,6.31039,2.20066,6.42284,-33.56592,7.0489,11.61241,1.91509,-0.5604,75.63797,-7.983815,-1.948676,0.458684,98.61377,-3.334904,54.659511,,,,,41.22081,30.81972,50.851752,0.267468,-7.25119,4.51004,-1.91686,50,6.17108,8.0374,-119.21237,-4.58118,-10.44738,22.66187,-25.67605,UTA_UTE,TCU_HFG,SmithsBallparkUT,D1,BIG12,20250515-SmithsBallparkUT-1,03fdfa50-31ea-11f0-9e05-0f8773b7daaf,82.17519,2.2521,,6.53041,,,,3.66808,2.2521,0.44037,65046afc-d1ca-48c9-989a-6ed18cfc247e,2025-05-16,00:09:20.79,2025-05-15T18:09:20.7987712-06:00,2025-05-16T00:09:20.7987712Z,GroundBall,v3,471475,5045,15 May 2025 20:00-tcu@utah,"Smith, Derek",10121874,Right,UTA_UTE,6b6a49cd-5729-4f1f-8bc4-6864f268c056,54.07773,-119.98503,11.33094,6.31235,-3.70575,-12.83803,-2.19697,8.39361,-5.22369,180,3.66532,83.58324,,,,,,,,2.25238,-8.42009,,,,,,,,0.43648,117.87214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,
9,2025-05-15,18:09:49.12,2,7,"McAnelly, Colter",814778,Right,UTA_UTE,"Strosnider, Sawyer",820831,Left,TCU_HFG,Undefined,1,Top,0,3,2,Sinker,Sinker,BallCalled,Walk,Undefined,Undefined,0,0,,88.58872,-4.487733,-2.695071,1886.248748,231.976692,1:45,6.25362,2.19989,6.12343,-23.11911,12.21335,14.22607,0.16531,0.89215,81.78041,-8.778859,-0.129633,0.427817,,,,,,,,,,,,-8.17213,7.84528,-2.00131,50,5.89709,5.49265,-128.35306,-10.80632,-13.6927,25.47516,-19.029,UTA_UTE,TCU_HFG,SmithsBallparkUT,D1,BIG12,20250515-SmithsBallparkUT-1,14d9c610-31ea-11f0-9e05-0f8773b7daaf,88.10405,,,6.80831,,,,,,,65046afc-d1ca-48c9-989a-6ed18cfc247e,2025-05-16,00:09:49.12,2025-05-15T18:09:49.1204608-06:00,2025-05-16T00:09:49.1204608Z,,v3,471475,5045,15 May 2025 20:00-tcu@utah,"Smith, Derek",10121874,Right,UTA_UTE,9a6d3197-d2aa-445f-93d5-3e67f5accfa8,54.37768,-129.219,12.73758,6.25342,-10.15949,-9.5145,-2.19592,5.95809,-6.84635,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2025-05-15,18:10:30.13,3,1,"McAnelly, Colter",814778,Right,UTA_UTE,"Cramer, Cole",823144,Right,TCU_HFG,Undefined,1,Top,0,0,0,Sinker,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,86.8023,-1.553678,-1.029191,1885.37617,221.294523,1:30,6.55908,1.71787,5.64243,-23.94832,13.43083,10.76544,3.11349,1.65483,79.57343,-6.010181,0.89512,0.440034,,,,,,,,,,,,-5.85492,7.61,-1.63789,50,6.41198,1.83076,-126.07315,-4.20952,-9.42243,25.65432,-19.92718,UTA_UTE,TCU_HFG,SmithsBallparkUT,D1,BIG12,20250515-SmithsBallparkUT-1,2d496b60-31ea-11f0-9e05-0f8773b7daaf,85.65804,,,7.22887,,,,,,,65046afc-d1ca-48c9-989a-6ed18cfc247e,2025-05-16,00:10:30.13,2025-05-15T18:10:30.1357056-06:00,2025-05-16T00:10:30.1357056Z,,v3,471475,5045,15 May 2025 20:00-tcu@utah,"Smith, Derek",10121874,Right,UTA_UTE,b18041d2-e490-4bd4-8f35-7cfa66b9a4c1,54.85829,-127.0579,12.82716,6.55889,-3.4446,-9.96359,-1.71511,2.19245,-4.71121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
