PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-05-15,18:06:39.22,1,1,"Gonzalez, Daniel",10096042,Right,ULM_WAR,"Johnson, Rhett",10092522,Right,SAL_JAG,Undefined,1,Top,0,0,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,90.41106,-3.813439,-1.952794,2088.230477,208.131006,1:00,6.67642,0.48916,5.66634,-14.19339,20.59529,10.37221,1.93052,-0.46805,82.28371,-6.526372,-0.09992,0.424512,,,,,,,,,,,,-5.81162,11.90418,-0.33067,50,6.34475,3.99966,-130.88184,-9.12632,-10.03242,28.86259,-11.62428,ULM_WAR,SAL_JAG,WarHawkField,D1,SBELT,20250515-WarHawkField-1,4261e580-31e1-11f0-b47f-cf02601444cf,88.78994,,,8.12735,,,,,,,affa8485-1a63-4a34-8067-ac413db5adb7,2025-05-15,23:06:39.22,2025-05-15T18:06:39.2243200-05:00,2025-05-15T23:06:39.2243200Z,,v3,471389,471440,15 May 2025 19:00-salabama@ulamo,"Lindwedel, Tony",802616,Right,ULM_WAR,9d5fe70d-85bb-4bd2-97c7-11e6f2d0d438,54.83174,-131.94305,14.43129,6.67245,-8.69892,-5.81214,-0.4845,4.36853,-5.01621,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2025-05-15,18:06:51.03,1,2,"Gonzalez, Daniel",10096042,Right,ULM_WAR,"Johnson, Rhett",10092522,Right,SAL_JAG,Undefined,1,Top,0,0,1,Curveball,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,76.97088,1.839302,0.35461,2332.631404,49.715616,7:45,6.55486,0.42784,4.851,-56.46645,-7.50611,-10.61812,3.59116,-0.1213,70.83613,-8.317219,-1.517376,0.503609,,,,,,,,,,,,5.30256,-3.69449,-0.4534,50,6.68812,-0.24968,-111.69497,1.51199,6.70703,19.88459,-36.84708,ULM_WAR,SAL_JAG,WarHawkField,D1,SBELT,20250515-WarHawkField-1,495d76b0-31e1-11f0-b47f-cf02601444cf,74.84461,,,6.13475,,,,,,,affa8485-1a63-4a34-8067-ac413db5adb7,2025-05-15,23:06:51.03,2025-05-15T18:06:51.0397440-05:00,2025-05-15T23:06:51.0397440Z,,v3,471389,471440,15 May 2025 19:00-salabama@ulamo,"Lindwedel, Tony",802616,Right,ULM_WAR,72fc7a81-3c3f-4467-8db2-ea6e13bf0523,55.65136,-112.69656,9.9423,6.56522,3.368,-18.42354,-0.43231,-0.58752,3.35352,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2025-05-15,18:07:02.37,1,3,"Gonzalez, Daniel",10096042,Right,ULM_WAR,"Johnson, Rhett",10092522,Right,SAL_JAG,Undefined,1,Top,0,1,1,Curveball,Curveball,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,77.40751,1.610189,-0.004825,2413.898787,54.28183,7:45,6.59807,0.57226,4.86142,-55.01184,-6.58575,-11.2289,3.53818,-0.36804,71.19562,-8.290434,-1.984824,0.500854,67.51408,1.54931,-178.906464,3136.44875,,,,38.43227,37.5378,177.836086,0.41917,5.58233,-3.34961,-0.56155,50,6.70927,0.46414,-112.34527,1.16271,7.13235,20.41007,-36.45375,ULM_WAR,SAL_JAG,WarHawkField,D1,SBELT,20250515-WarHawkField-1,5039c010-31e1-11f0-b47f-cf02601444cf,75.25635,3.7733,,6.21189,,,,2.48681,3.70956,0.3297,affa8485-1a63-4a34-8067-ac413db5adb7,2025-05-15,23:07:02.37,2025-05-15T18:07:02.3718912-05:00,2025-05-15T23:07:02.3718912Z,GroundBall,v3,471389,471440,15 May 2025 19:00-salabama@ulamo,"Lindwedel, Tony",802616,Right,ULM_WAR,c729c8e9-ab70-4286-901c-8757b1b36c52,55.64193,-113.36562,10.20504,6.60558,2.98512,-18.22687,-0.57584,0.10758,3.56617,43.384426,2.49623,-99.2622,3.96863,,,,,,,3.7125,2.58467,-27.31218,,,,,,,0.32775,-1.82762,10.76482,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
4,2025-05-15,18:07:20.32,1,4,"Gonzalez, Daniel",10096042,Right,ULM_WAR,"Johnson, Rhett",10092522,Right,SAL_JAG,Undefined,1,Top,0,1,2,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,90.33992,-0.62239,-0.782053,2103.202943,211.614473,1:00,6.75402,0.7561,5.33351,-13.80473,21.43096,12.44745,5.01959,1.05958,81.73203,-3.280601,1.428462,0.427231,,,,,,,,,,,,-6.4228,11.24205,-0.69454,50,6.68836,1.20219,-130.98894,-1.81466,-11.06781,29.78518,-12.8017,ULM_WAR,SAL_JAG,WarHawkField,D1,SBELT,20250515-WarHawkField-1,5acc5ab0-31e1-11f0-b47f-cf02601444cf,88.22496,,,8.6079,,,,,,,affa8485-1a63-4a34-8067-ac413db5adb7,2025-05-15,23:07:20.32,2025-05-15T18:07:20.3219456-05:00,2025-05-15T23:07:20.3219456Z,,v3,471389,471440,15 May 2025 19:00-salabama@ulamo,"Lindwedel, Tony",802616,Right,ULM_WAR,1481dea2-1611-4369-8269-41524d423b85,55.16324,-132.15778,14.89259,6.74972,-1.3123,-6.40085,-0.75024,1.63652,-5.5339,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2025-05-15,18:07:33.92,1,5,"Gonzalez, Daniel",10096042,Right,ULM_WAR,"Johnson, Rhett",10092522,Right,SAL_JAG,Undefined,1,Top,0,2,2,Fastball,Four-Seam,InPlay,Undefined,GroundBall,Out,1,0,,90.58947,-3.839439,-1.664926,2136.494397,210.455984,1:00,6.66589,0.52502,5.76903,-13.92509,20.60414,11.41489,1.92544,-0.07363,82.40616,-6.509036,0.378621,0.422927,80.57665,-26.685204,-7.883341,,,,,5.03754,5.03754,-5.101175,0.035865,-6.32394,11.99969,-0.39436,50,6.33954,3.31812,-131.19194,-9.19317,-10.95379,29.34764,-11.38923,ULM_WAR,SAL_JAG,WarHawkField,D1,SBELT,20250515-WarHawkField-1,62fac690-31e1-11f0-b47f-cf02601444cf,89.12289,1.90739,,8.18331,,,,1.25859,1.90739,0.07258,affa8485-1a63-4a34-8067-ac413db5adb7,2025-05-15,23:07:33.92,2025-05-15T18:07:33.9273728-05:00,2025-05-15T23:07:33.9273728Z,GroundBall,v3,471389,471440,15 May 2025 19:00-salabama@ulamo,"Lindwedel, Tony",802616,Right,ULM_WAR,3cd304d0-ec74-43b2-91b6-161819cbd610,54.73031,-132.24587,14.67382,6.66235,-8.78416,-5.69461,-0.52059,3.7115,-5.47689,,1.25735,104.80924,,,,,,,,1.90802,-53.18225,,,,,,,,0.07275,-14.51243,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Estimated,Estimated,,,
6,2025-05-15,18:08:01.88,2,1,"Gonzalez, Daniel",10096042,Right,ULM_WAR,"Smith, John",1000357171,Right,SAL_JAG,Undefined,1,Top,1,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,91.07451,-5.25022,-3.298146,2152.722738,203.498361,12:45,6.65929,0.59032,5.83882,-11.70564,22.45572,9.2556,0.7823,-1.70715,83.10794,-7.51288,-1.642816,0.420667,,,,,,,,,,,,-5.62855,13.27367,-0.32659,50,6.2226,7.17045,-131.51361,-12.3861,-9.84241,28.29631,-8.96298,ULM_WAR,SAL_JAG,WarHawkField,D1,SBELT,20250515-WarHawkField-1,73a437b0-31e1-11f0-b47f-cf02601444cf,89.60153,,,7.96657,,,,,,,affa8485-1a63-4a34-8067-ac413db5adb7,2025-05-15,23:08:01.88,2025-05-15T18:08:01.8838528-05:00,2025-05-15T23:08:01.8838528Z,,v3,471389,471440,15 May 2025 19:00-salabama@ulamo,"Lindwedel, Tony",802616,Right,ULM_WAR,2874b82a-9058-4e38-bb52-61a8aa2ace20,54.65939,-132.51233,14.14815,6.65418,-12.06975,-4.48149,-0.58581,7.51783,-4.9212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2025-05-15,18:08:14.33,2,2,"Gonzalez, Daniel",10096042,Right,ULM_WAR,"Smith, John",1000357171,Right,SAL_JAG,Undefined,1,Top,1,1,0,Curveball,Curveball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,77.95434,0.360301,-0.89065,2500.099555,48.6108,7:30,6.60756,0.51443,4.99097,-55.51157,-7.59748,-10.42296,2.32184,-1.19519,71.39339,-9.640129,-2.734946,0.498199,,,,,,,,,,,,4.86815,-3.34425,-0.41988,50,6.59717,2.19077,-113.06035,-1.3162,6.24376,22.36859,-36.46328,ULM_WAR,SAL_JAG,WarHawkField,D1,SBELT,20250515-WarHawkField-1,7b0345a0-31e1-11f0-b47f-cf02601444cf,75.65737,,,6.56095,,,,,,,affa8485-1a63-4a34-8067-ac413db5adb7,2025-05-15,23:08:14.33,2025-05-15T18:08:14.3360000-05:00,2025-05-15T23:08:14.3360000Z,,v3,471389,471440,15 May 2025 19:00-salabama@ulamo,"Lindwedel, Tony",802616,Right,ULM_WAR,8bef236f-5ad5-41e6-92ca-f92d93e3a536,55.51001,-114.14528,11.18429,6.61812,0.45236,-18.23164,-0.51879,1.88793,3.12188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2025-05-15,18:08:26.13,2,3,"Gonzalez, Daniel",10096042,Right,ULM_WAR,"Smith, John",1000357171,Right,SAL_JAG,Undefined,1,Top,1,1,1,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,90.57241,-4.948259,-3.410928,2161.963448,209.683031,1:00,6.70778,0.49138,5.82883,-12.64957,21.88017,11.79973,1.03408,-1.69986,82.63635,-7.383321,-1.300762,0.422929,,,,,,,,,,,,-6.96004,12.90453,-0.21939,50,6.29449,7.28206,-130.84182,-11.66881,-12.04449,28.05417,-9.84242,ULM_WAR,SAL_JAG,WarHawkField,D1,SBELT,20250515-WarHawkField-1,82185240-31e1-11f0-b47f-cf02601444cf,89.12228,,,7.93607,,,,,,,affa8485-1a63-4a34-8067-ac413db5adb7,2025-05-15,23:08:26.13,2025-05-15T18:08:26.1318656-05:00,2025-05-15T23:08:26.1318656Z,,v3,471389,471440,15 May 2025 19:00-salabama@ulamo,"Lindwedel, Tony",802616,Right,ULM_WAR,0419461f-fbf2-46f8-8957-5868bc753fd3,54.66983,-131.83929,14.02709,6.70315,-11.31886,-4.92121,-0.48592,7.71031,-6.02225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2025-05-15,18:08:39.38,2,4,"Gonzalez, Daniel",10096042,Right,ULM_WAR,"Smith, John",1000357171,Right,SAL_JAG,Undefined,1,Top,1,2,1,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,90.60504,-4.227563,-1.538808,2044.384629,204.509664,12:45,6.66462,0.39178,5.92377,-11.73272,22.54899,9.74725,1.75539,-0.22422,82.53942,-6.507869,0.210977,0.421408,,,,,,,,,,,,-5.41111,13.09839,-0.27402,50,6.31889,3.10081,-131.19272,-9.9737,-9.39477,28.74322,-9.43263,ULM_WAR,SAL_JAG,WarHawkField,D1,SBELT,20250515-WarHawkField-1,8a01ecf0-31e1-11f0-b47f-cf02601444cf,89.44405,,,8.06562,,,,,,,affa8485-1a63-4a34-8067-ac413db5adb7,2025-05-15,23:08:39.38,2025-05-15T18:08:39.3889792-05:00,2025-05-15T23:08:39.3889792Z,,v3,471389,471440,15 May 2025 19:00-salabama@ulamo,"Lindwedel, Tony",802616,Right,ULM_WAR,810602ba-b1c7-4fc0-88bd-92754dcd4f37,54.57437,-132.19112,14.37161,6.65964,-9.64606,-4.71632,-0.38739,3.42714,-4.69738,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2025-05-15,18:08:51.42,2,5,"Gonzalez, Daniel",10096042,Right,ULM_WAR,"Smith, John",1000357171,Right,SAL_JAG,Undefined,1,Top,1,2,2,Slider,Curveball,InPlay,Undefined,GroundBall,Single,0,0,,77.75983,0.981992,-0.4194,2466.986488,67.392549,8:15,6.26209,1.0427,5.0727,-52.44129,-4.65918,-14.8345,2.81793,-0.58893,71.3552,-8.499992,-3.045501,0.497512,90.41857,-4.733404,-34.047367,,,,,21.33737,21.33737,-29.426922,0.156033,7.30496,-2.22815,-0.99042,50,6.31332,1.41765,-112.86269,0.08236,9.37778,21.44853,-35.03445,ULM_WAR,SAL_JAG,WarHawkField,D1,SBELT,20250515-WarHawkField-1,9139c3d0-31e1-11f0-b47f-cf02601444cf,75.76179,2.69126,,6.40463,,,,2.14135,2.69126,0.70233,affa8485-1a63-4a34-8067-ac413db5adb7,2025-05-15,23:08:51.42,2025-05-15T18:08:51.4289152-05:00,2025-05-15T23:08:51.4289152Z,GroundBall,v3,471389,471440,15 May 2025 19:00-salabama@ulamo,"Lindwedel, Tony",802616,Right,ULM_WAR,9835159b-8f45-46b3-9397-b3a7c04fd59d,55.43002,-113.88994,10.72427,6.26919,1.76029,-17.51723,-1.04756,0.96851,4.68889,6.417292,2.14178,109.46957,-26.22782,,,,,,,2.69344,-11.12869,-39.39507,,,,,,,0.70224,-73.9876,14.74557,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
