PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-05-16,15:04:52.07,1,1,"Stewart, Dylan",824705,Right,PEP_WAV,"Hassert, Cameron",1000077641,Left,LOY_LIO,Undefined,1,Top,0,0,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,88.68796,-4.090353,-1.13775,2200.06769,198.166256,12:30,6.62519,1.33707,6.51192,-13.53347,21.45855,6.64874,1.73665,0.84691,80.81152,-6.723279,0.069559,0.425751,,,,,,,,,,,,-3.82646,12.82398,-1.26042,50,6.33318,2.29843,-128.58299,-9.49396,-6.36768,28.16014,-10.83334,PEP_WAV,LOY_LIO,704EddieDField,D1,WCC,20250516-704EddieDField-1,cb2be3a0-32a1-11f0-aec2-8b82578b3c7f,88.53162,,,7.87644,,,,,,,ea7bcd6c-d727-4396-88ef-3846b57bbb65,2025-05-16,22:04:52.07,2025-05-16T15:04:52.0723968-07:00,2025-05-16T22:04:52.0723968Z,,v3,471410,471343,15 May 2025 18:00-loyolamary@pepperdine,"Sheehan, Cole",824683,Right,PEP_WAV,e1dfada1-5ddd-4a36-8652-42fd520ad7ea,53.9872,-129.45326,14.08007,6.62141,-9.15916,-5.41667,-1.33449,2.49522,-3.18384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2025-05-16,15:05:10.14,1,2,"Stewart, Dylan",824705,Right,PEP_WAV,"Hassert, Cameron",1000077641,Left,LOY_LIO,Undefined,1,Top,0,0,1,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,88.63581,-4.972817,-2.591746,2302.494931,198.449121,12:30,6.65248,1.35338,6.5996,-12.97316,22.07741,6.96016,0.9994,-0.44265,80.77731,-7.503102,-1.327515,0.426107,,,,,,,,,,,,-4.47756,13.52056,-1.17935,50,6.30655,5.55255,-128.29534,-11.45385,-7.41237,28.21754,-9.79141,PEP_WAV,LOY_LIO,704EddieDField,D1,WCC,20250516-704EddieDField-1,d5e9d400-32a1-11f0-aec2-8b82578b3c7f,88.4576,,,7.85851,,,,,,,ea7bcd6c-d727-4396-88ef-3846b57bbb65,2025-05-16,22:05:10.14,2025-05-16T15:05:10.1474816-07:00,2025-05-16T22:05:10.1474816Z,,v3,471410,471343,15 May 2025 18:00-loyolamary@pepperdine,"Sheehan, Cole",824683,Right,PEP_WAV,f300e090-bc5e-47fb-86e8-7c946bb6bb37,53.90128,-129.15054,14.10877,6.64919,-11.15709,-4.89571,-1.35104,5.7772,-3.70618,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2025-05-16,15:05:39.57,1,3,"Stewart, Dylan",824705,Right,PEP_WAV,"Hassert, Cameron",1000077641,Left,LOY_LIO,Undefined,1,Top,0,1,1,ChangeUp,Changeup,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,82.5918,-2.20016,-1.433622,1894.969014,225.876125,1:30,6.38764,1.60235,6.79719,-27.0412,12.70182,11.74217,2.12451,1.27212,75.53878,-7.325613,0.712264,0.453735,,,,,,,,,,,,-6.66248,7.7804,-1.51339,50,6.2348,2.60397,-120.02144,-5.29986,-9.66167,24.49499,-20.89124,PEP_WAV,LOY_LIO,704EddieDField,D1,WCC,20250516-704EddieDField-1,e775b5e0-32a1-11f0-aec2-8b82578b3c7f,83.07157,,,7.05302,,,,,,,ea7bcd6c-d727-4396-88ef-3846b57bbb65,2025-05-16,22:05:39.57,2025-05-16T15:05:39.5756544-07:00,2025-05-16T22:05:39.5756544Z,,v3,471410,471343,15 May 2025 18:00-loyolamary@pepperdine,"Sheehan, Cole",824683,Right,PEP_WAV,2019d39b-db21-4541-bdd1-0b7d0fc351e0,53.70253,-120.77472,12.2475,6.3879,-4.65741,-10.44562,-1.59804,2.90109,-4.83084,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2025-05-16,15:06:01.69,1,4,"Stewart, Dylan",824705,Right,PEP_WAV,"Hassert, Cameron",1000077641,Left,LOY_LIO,Undefined,1,Top,0,1,2,ChangeUp,Changeup,BallinDirt,Undefined,Undefined,Undefined,0,0,,82.79862,-3.930141,-3.288109,2041.704379,232.334995,1:45,6.29195,1.60794,6.91907,-28.75112,10.713,12.21166,0.30581,-0.37177,76.13698,-9.335867,-1.053305,0.45214,,,,,,,,,,,,-7.57457,7.20993,-1.40599,50,6.0347,6.51281,-120.06672,-8.9872,-11.01589,24.05741,-21.68849,PEP_WAV,LOY_LIO,704EddieDField,D1,WCC,20250516-704EddieDField-1,f4916c60-32a1-11f0-aec2-8b82578b3c7f,83.36458,,,6.66164,,,,,,,ea7bcd6c-d727-4396-88ef-3846b57bbb65,2025-05-16,22:06:01.69,2025-05-16T15:06:01.6923136-07:00,2025-05-16T22:06:01.6923136Z,,v3,471410,471343,15 May 2025 18:00-loyolamary@pepperdine,"Sheehan, Cole",824683,Right,PEP_WAV,db584ccf-9503-4431-99cf-5626ca3c35be,53.5834,-120.78258,12.0287,6.29252,-8.34182,-10.84425,-1.60467,6.8406,-5.50795,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2025-05-16,15:06:25.29,1,5,"Stewart, Dylan",824705,Right,PEP_WAV,"Hassert, Cameron",1000077641,Left,LOY_LIO,Undefined,1,Top,0,2,2,Fastball,Four-Seam,InPlay,Undefined,GroundBall,Out,1,0,,89.99563,-3.667806,-1.509738,2236.328217,210.473102,1:00,6.53995,1.37426,6.70081,-13.37926,20.38564,11.30961,2.06549,0.93593,81.83201,-6.283782,0.551085,0.418219,89.13765,-7.285057,-17.802548,,,,,14.28707,13.36432,-20.090269,0.103682,-6.43579,12.22446,-1.27795,50,6.29013,3.01192,-130.55794,-8.65671,-11.01775,29.57958,-11.24641,PEP_WAV,LOY_LIO,704EddieDField,D1,WCC,20250516-704EddieDField-1,02b51d00-32a2-11f0-aec2-8b82578b3c7f,90.12599,1.96305,,8.16362,,,,0.85117,1.96305,-0.89775,ea7bcd6c-d727-4396-88ef-3846b57bbb65,2025-05-16,22:06:25.29,2025-05-16T15:06:25.2948992-07:00,2025-05-16T22:06:25.2948992Z,GroundBall,v3,471410,471343,15 May 2025 18:00-loyolamary@pepperdine,"Sheehan, Cole",824683,Right,PEP_WAV,f8344927-6b7c-4c27-bd1f-76e621717673,53.79862,-131.41575,14.78979,6.53644,-8.33056,-5.6232,-1.36992,3.33144,-5.50887,346.3841,0.85135,123.4472,-21.67993,,,,,,,1.96327,-16.60659,-22.48244,,,,,,,-0.89784,-39.63574,9.28795,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
6,2025-05-16,15:07:08.19,2,1,"Stewart, Dylan",824705,Right,PEP_WAV,"Ankeney, Beau",801954,Right,LOY_LIO,Undefined,1,Top,1,0,0,Curveball,Curveball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,75.70568,2.429429,-0.881196,2106.691075,32.650182,7:00,6.53083,1.37001,5.90583,-61.87972,-12.60056,-9.14359,3.63094,-0.20999,68.95195,-8.926105,-2.524689,0.505246,,,,,,,,,,,,4.36673,-6.61898,-1.29418,50,6.6915,2.02703,-109.87261,2.69573,5.2663,21.90636,-40.15657,PEP_WAV,LOY_LIO,704EddieDField,D1,WCC,20250516-704EddieDField-1,1c3c73e0-32a2-11f0-aec2-8b82578b3c7f,74.60211,,,6.75372,,,,,,,ea7bcd6c-d727-4396-88ef-3846b57bbb65,2025-05-16,22:07:08.19,2025-05-16T15:07:08.1905664-07:00,2025-05-16T22:07:08.1905664Z,,v3,471410,471343,15 May 2025 18:00-loyolamary@pepperdine,"Sheehan, Cole",824683,Right,PEP_WAV,fae7f5ec-8067-4997-8a54-f5aae23c7746,54.59635,-110.78524,10.95318,6.54435,4.36867,-20.07828,-1.37406,1.80764,2.63315,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2025-05-16,15:07:27.08,2,2,"Stewart, Dylan",824705,Right,PEP_WAV,"Ankeney, Beau",801954,Right,LOY_LIO,Undefined,1,Top,1,0,1,Fastball,Four-Seam,InPlay,Undefined,Popup,Out,1,0,,89.13086,-3.342861,-2.346829,2300.833121,200.813071,12:45,6.60699,1.19622,6.7284,-13.12772,21.06131,7.58178,2.45193,-0.31793,81.48125,-5.908591,-0.965913,0.420838,92.45592,82.179613,41.180999,,,,,,10.54715,,,-4.69776,12.4504,-1.04409,50,6.38055,5.02404,-129.36473,-7.84014,-7.94604,27.4569,-11.11479,PEP_WAV,LOY_LIO,704EddieDField,D1,WCC,20250516-704EddieDField-1,278d5570-32a2-11f0-aec2-8b82578b3c7f,89.56523,112.55848,,7.64961,,,,2.24163,1.87795,-0.68064,ea7bcd6c-d727-4396-88ef-3846b57bbb65,2025-05-16,22:07:27.08,2025-05-16T15:07:27.0814720-07:00,2025-05-16T22:07:27.0814720Z,,v3,471410,471343,15 May 2025 18:00-loyolamary@pepperdine,"Sheehan, Cole",824683,Right,PEP_WAV,510187e7-907d-4109-be70-c53247c60e3c,53.77213,-130.16288,13.72845,6.60377,-7.51704,-5.5574,-1.1935,5.25502,-3.97302,,2.24164,13.88531,-14.88625,4.88794,0.24914,-3.62157,4.8295,-2.96615,0.70802,1.87795,134.34057,-33.92731,4.94816,-0.98477,0.18385,-0.05345,0.0312,-0.00951,-0.68064,12.14868,-3.56387,0.98657,-0.0027,-0.53607,0.72062,-0.44189,0.10528,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Medium,Undefined,,,
8,2025-05-16,15:08:12.39,3,1,"Stewart, Dylan",824705,Right,PEP_WAV,"Savoie, Nate",832476,Right,LOY_LIO,Undefined,1,Top,2,0,0,Fastball,Four-Seam,InPlay,Undefined,FlyBall,Out,1,0,,89.07924,-3.144127,-2.699935,2245.483014,210.27606,1:00,6.56916,1.19593,6.75598,-11.48646,23.22383,12.79894,2.73398,-0.20549,80.15821,-5.452844,-0.368353,0.424034,105.1571,25.503036,-6.581757,2575.777469,109.42733,53.09492,-11.20321,380.70286,375.82511,-4.873955,5.328282,-7.68587,13.7165,-1.02344,50,6.35799,5.60968,-129.11762,-7.29212,-12.74255,31.37462,-9.4332,PEP_WAV,LOY_LIO,704EddieDField,D1,WCC,20250516-704EddieDField-1,428b94e0-32a2-11f0-aec2-8b82578b3c7f,88.89019,86.70414,,8.92102,,,,2.37265,2.86162,0.20165,ea7bcd6c-d727-4396-88ef-3846b57bbb65,2025-05-16,22:08:12.39,2025-05-16T15:08:12.3921920-07:00,2025-05-16T22:08:12.3921920Z,FlyBall,v3,471410,471343,15 May 2025 18:00-loyolamary@pepperdine,"Sheehan, Cole",824683,Right,PEP_WAV,6b8c5113-b9d8-4cf1-8ba2-52f0a847ae65,53.74289,-130.02393,15.68731,6.5647,-7.01963,-4.7166,-1.19081,5.97777,-6.37128,184.880141,2.37195,138.30372,-30.69731,7.6744,-1.78034,0.37401,-0.06106,0.00619,-0.00028,2.86491,66.32707,-12.80981,-0.84007,0.6212,-0.22312,0.04726,-0.00528,0.00024,0.20158,-15.95625,5.0463,-1.43464,0.34311,-0.06675,0.00949,-0.00084,3E-05,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,
9,2025-05-16,15:11:00.07,1,1,"Laine, Avery",1000365469,Right,LOY_LIO,"Cardinale, Joe",809825,Right,PEP_WAV,Undefined,1,Bottom,0,0,0,Fastball,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,87.6378,-3.751334,-2.75187,2368.068446,226.908427,1:30,6.11476,1.04517,6.44568,-19.42147,16.0371,16.01576,1.04054,-0.15064,81.0289,-7.414369,0.151632,0.42858,,,,,,,,,,,,-9.19981,9.70571,-0.85729,50,5.83923,5.53278,-127.19531,-8.88634,-15.19643,24.06677,-16.14194,PEP_WAV,LOY_LIO,704EddieDField,D1,WCC,20250516-704EddieDField-1,a674d250-32a2-11f0-aec2-8b82578b3c7f,87.94724,,,6.6089,,,,,,,ea7bcd6c-d727-4396-88ef-3846b57bbb65,2025-05-16,22:11:00.07,2025-05-16T15:11:00.0795136-07:00,2025-05-16T22:11:00.0795136Z,,v3,471410,471343,15 May 2025 18:00-loyolamary@pepperdine,"Ayers, Robbie",801901,Right,LOY_LIO,1e8bf6bf-74c7-4e02-807a-d748b6a45443,54.05741,-127.96071,12.03338,6.11368,-8.37297,-8.07097,-1.04094,6.01608,-7.59822,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2025-05-16,15:11:13.15,1,2,"Laine, Avery",1000365469,Right,LOY_LIO,"Cardinale, Joe",809825,Right,PEP_WAV,Undefined,1,Bottom,0,1,0,ChangeUp,Changeup,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,80.66182,-1.657089,-3.346013,1916.904194,239.496048,2:00,5.78293,1.23881,6.40153,-31.32234,10.85575,16.14895,1.64584,-0.49595,74.07495,-7.521076,-0.421941,0.467428,,,,,,,,,,,,-9.38489,6.5341,-1.00586,50,5.64952,6.27772,-117.0874,-4.26277,-13.02903,22.09684,-23.10278,PEP_WAV,LOY_LIO,704EddieDField,D1,WCC,20250516-704EddieDField-1,ae528620-32a2-11f0-aec2-8b82578b3c7f,80.63793,,,6.58687,,,,,,,ea7bcd6c-d727-4396-88ef-3846b57bbb65,2025-05-16,22:11:13.15,2025-05-16T15:11:13.1522048-07:00,2025-05-16T22:11:13.1522048Z,,v3,471410,471343,15 May 2025 18:00-loyolamary@pepperdine,"Ayers, Robbie",801901,Right,LOY_LIO,0fcbcaf5-7378-4eda-bdba-b141324fc413,54.09925,-117.85847,11.04842,5.78421,-3.45659,-11.55139,-1.23286,6.73237,-6.51451,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
