PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-05-16,14:07:54.00,1,1,"Castrichini, Joe",1000143939,Right,LON_LAN,"Perez, Jhonkeanu",1000192178,Left,RAD_HIG,Undefined,1,Top,0,0,0,Fastball,Sinker,InPlay,Undefined,FlyBall,Out,1,0,,89.38783,-1.376076,-4.401382,2362.348343,227.576883,1:30,5.44677,3.18042,5.7189,-20.23694,15.36895,15.46958,2.47449,0.36154,81.01835,-5.193239,-1.644547,0.42947,84.492,47.124787,-25.409776,,92.20931,96.77329,-59.97845,273.89508,118.11612,-40.560519,5.347742,-9.20863,8.58973,-2.82176,50,5.31912,9.28973,-129.36372,-3.76127,-15.49082,28.8283,-17.7244,LON_LAN,RAD_HIG,BuddyBoldingStadium,D1,BSOU,20250516-BuddyBoldingStadium-1,b0853d10-3280-11f0-9080-df4d7735d317,87.7651,108.45162,,8.36948,,,,2.21656,3.1033,-0.96461,0fb6f17c-d813-449a-a18f-5f4ce7b5420c,2025-05-16,18:07:54.00,2025-05-16T14:07:54.0006912-04:00,2025-05-16T18:07:54.0006912Z,FlyBall,v3,471338,471417,,"Urbaniak, Mikey",1000361728,Right,LON_LAN,7afd95f6-84ca-4d08-99f9-c4d7719cbb8c,54.78013,-130.42461,14.41415,5.44554,-3.10901,-8.8622,-3.17411,9.8598,-7.74541,146.989736,2.23508,75.78491,-17.20486,2.29754,1.0346,-0.69029,0.17132,-0.01995,0.0009,3.09849,90.88243,-23.50908,2.34446,-0.3101,-0.05457,0.03894,-0.00697,0.00042,-0.95963,-36.27097,-0.56244,0.39306,0.10319,-0.08434,0.01848,-0.00164,5E-05,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Low,,,
2,2025-05-16,14:08:32.52,2,1,"Castrichini, Joe",1000143939,Right,LON_LAN,"Keen, Hunter",10026274,Right,RAD_HIG,Undefined,1,Top,1,0,0,Cutter,Cutter,BallCalled,Undefined,Undefined,Undefined,0,0,,85.92194,-1.437229,-5.380423,2657.459122,169.539278,11:45,5.49846,3.18079,5.23173,-28.20588,10.78339,-1.77173,1.7907,-2.03944,79.06336,-6.585213,-5.691984,0.449411,,,,,,,,,,,,-0.54929,6.13831,-2.68256,50,5.34465,11.77231,-124.17611,-4.13902,-0.86119,23.90852,-22.55028,LON_LAN,RAD_HIG,BuddyBoldingStadium,D1,BSOU,20250516-BuddyBoldingStadium-1,c77a2940-3280-11f0-9080-df4d7735d317,83.87069,,,6.85858,,,,,,,0fb6f17c-d813-449a-a18f-5f4ce7b5420c,2025-05-16,18:08:32.52,2025-05-16T14:08:32.5237760-04:00,2025-05-16T18:08:32.5237760Z,,v3,471338,471417,,"Urbaniak, Mikey",1000361728,Right,LON_LAN,35069b9c-97e8-4a37-b9bc-8ed610b78d1c,55.2671,-125.18612,11.95426,5.49938,-3.18639,-11.27514,-3.18064,11.80869,-0.43059,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2025-05-16,14:08:47.65,2,2,"Castrichini, Joe",1000143939,Right,LON_LAN,"Keen, Hunter",10026274,Right,RAD_HIG,Undefined,1,Top,1,1,0,Fastball,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,88.75536,-0.064851,-4.840004,2460.181486,228.315484,1:30,5.44655,3.19319,5.67138,-21.20454,14.74072,15.25587,3.61883,-0.05878,80.88131,-4.042948,-2.127521,0.431511,,,,,,,,,,,,-9.03642,7.835,-2.79337,50,5.4278,10.20967,-128.47255,-0.83257,-15.11703,26.38021,-19.0669,LON_LAN,RAD_HIG,BuddyBoldingStadium,D1,BSOU,20250516-BuddyBoldingStadium-1,d06618c0-3280-11f0-9080-df4d7735d317,87.34984,,,7.87405,,,,,,,0fb6f17c-d813-449a-a18f-5f4ce7b5420c,2025-05-16,18:08:47.65,2025-05-16T14:08:47.6564992-04:00,2025-05-16T18:08:47.6564992Z,,v3,471338,471417,,"Urbaniak, Mikey",1000361728,Right,LON_LAN,8536ee48-06ae-405c-b7e1-adc12728ea2a,54.82716,-129.45995,13.19011,5.4456,-0.1189,-9.53345,-3.1861,10.7755,-7.55851,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2025-05-16,14:09:04.48,2,3,"Castrichini, Joe",1000143939,Right,LON_LAN,"Keen, Hunter",10026274,Right,RAD_HIG,Undefined,1,Top,1,2,0,Cutter,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,83.65719,-1.187647,-4.165853,2742.184084,131.357553,10:30,5.4207,3.25774,5.06926,-36.0027,5.26713,-4.55922,1.29758,-1.05689,77.11246,-7.699476,-4.968367,0.462368,,,,,,,,,,,,1.14095,3.32921,-2.85792,50,5.27929,9.01798,-121.09605,-3.8511,1.6994,22.97072,-27.21539,LON_LAN,RAD_HIG,BuddyBoldingStadium,D1,BSOU,20250516-BuddyBoldingStadium-1,da6fad40-3280-11f0-9080-df4d7735d317,81.52044,,,6.54473,,,,,,,0fb6f17c-d813-449a-a18f-5f4ce7b5420c,2025-05-16,18:09:04.48,2025-05-16T14:09:04.4846080-04:00,2025-05-16T18:09:04.4846080Z,,v3,471338,471417,,"Urbaniak, Mikey",1000361728,Right,LON_LAN,e40de233-85e7-479d-bc16-395172f98b00,55.42966,-122.12166,11.48536,5.42411,-2.63597,-13.60769,-3.25886,8.94211,0.8497,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2025-05-16,14:09:23.67,2,4,"Castrichini, Joe",1000143939,Right,LON_LAN,"Keen, Hunter",10026274,Right,RAD_HIG,Undefined,1,Top,1,3,0,Fastball,Sinker,BallCalled,Walk,Undefined,Undefined,0,0,,89.29135,-2.103204,-5.985539,2504.408361,228.9443,1:45,5.45889,3.16419,5.74471,-20.82501,14.71391,15.57068,1.75365,-1.13151,81.61178,-6.000678,-3.220769,0.429065,,,,,,,,,,,,-9.54126,8.40485,-2.67451,50,5.27036,12.85087,-128.96632,-5.43393,-16.10701,26.23224,-17.98549,LON_LAN,RAD_HIG,BuddyBoldingStadium,D1,BSOU,20250516-BuddyBoldingStadium-1,e5f58180-3280-11f0-9080-df4d7735d317,87.84777,,,7.67956,,,,,,,0fb6f17c-d813-449a-a18f-5f4ce7b5420c,2025-05-16,18:09:23.67,2025-05-16T14:09:23.6703232-04:00,2025-05-16T18:09:23.6703232Z,,v3,471338,471417,,"Urbaniak, Mikey",1000361728,Right,LON_LAN,f34d3ea4-c71d-4788-b4e0-b2721fdc6de4,54.75477,-129.92985,13.11612,5.45782,-4.7733,-8.99274,-3.1574,13.44249,-8.0535,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2025-05-16,14:09:53.92,3,1,"Castrichini, Joe",1000143939,Right,LON_LAN,"Nace, Breckin",10139818,Left,RAD_HIG,Undefined,1,Top,1,0,0,Fastball,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,,89.72756,-2.388874,-4.402413,2395.605696,224.859786,1:30,5.545,3.14011,5.54479,-20.28056,15.29206,13.99768,1.61453,0.1842,81.51796,-6.190148,-1.915771,0.429269,,,,,,,,,,,,-8.34016,8.78205,-2.76752,50,5.3242,9.36001,-129.73806,-6.09811,-14.13882,28.50231,-17.28611,LON_LAN,RAD_HIG,BuddyBoldingStadium,D1,BSOU,20250516-BuddyBoldingStadium-1,f7dca2c0-3280-11f0-9080-df4d7735d317,87.80616,,,8.2096,,,,,,,0fb6f17c-d813-449a-a18f-5f4ce7b5420c,2025-05-16,18:09:53.92,2025-05-16T14:09:53.9281408-04:00,2025-05-16T18:09:53.9281408Z,,v3,471338,471417,,"Urbaniak, Mikey",1000361728,Right,LON_LAN,2ac90561-f86f-4ce8-9ae4-26263c301fc4,54.95308,-130.82168,14.25115,5.54354,-5.44092,-8.64305,-3.13359,9.89755,-7.06941,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2025-05-16,14:10:12.75,3,2,"Castrichini, Joe",1000143939,Right,LON_LAN,"Nace, Breckin",10139818,Left,RAD_HIG,Undefined,1,Top,1,0,1,Cutter,Slider,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,84.41487,-0.502188,-2.768574,2754.79239,138.660972,10:30,5.40905,3.28592,5.06726,-33.49136,7.04453,-5.07453,2.14403,0.25057,77.37385,-6.603132,-3.663982,0.458238,,,,,,,,,,,,1.75945,4.00512,-3.0186,50,5.33491,6.13697,-122.35812,-2.30802,2.66514,24.32813,-26.10721,LON_LAN,RAD_HIG,BuddyBoldingStadium,D1,BSOU,20250516-BuddyBoldingStadium-1,033636e0-3281-11f0-9080-df4d7735d317,82.25511,,,7.04102,,,,,,,0fb6f17c-d813-449a-a18f-5f4ce7b5420c,2025-05-16,18:10:12.75,2025-05-16T14:10:12.7588352-04:00,2025-05-16T18:10:12.7588352Z,,v3,471338,471417,,"Urbaniak, Mikey",1000361728,Right,LON_LAN,754cfd4a-bf9a-4eeb-8b92-b61967710256,55.43215,-123.43346,12.16407,5.41142,-1.15405,-13.05361,-3.28726,6.01916,1.33257,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2025-05-16,14:10:34.20,3,3,"Castrichini, Joe",1000143939,Right,LON_LAN,"Nace, Breckin",10139818,Left,RAD_HIG,Undefined,1,Top,1,0,2,Fastball,Four-Seam,InPlay,Undefined,GroundBall,FieldersChoice,1,0,,88.64642,-0.27718,-3.817443,2419.584308,213.32218,1:00,5.57563,3.08745,5.87445,-20.47584,15.32162,9.29993,3.6113,0.31157,80.62351,-4.144863,-2.154561,0.430623,88.3598,-7.84047,-20.000142,,,,,21.98137,21.98137,-20.097032,0.166606,-5.86823,8.26898,-2.78381,50,5.5414,8.18273,-128.47802,-1.2546,-9.77352,27.507,-18.40211,LON_LAN,RAD_HIG,BuddyBoldingStadium,D1,BSOU,20250516-BuddyBoldingStadium-1,0ff96d20-3281-11f0-9080-df4d7735d317,87.52997,3.55634,,8.02292,,,,1.07149,3.55634,-0.27135,0fb6f17c-d813-449a-a18f-5f4ce7b5420c,2025-05-16,18:10:34.20,2025-05-16T14:10:34.2002176-04:00,2025-05-16T18:10:34.2002176Z,GroundBall,v3,471338,471417,,"Urbaniak, Mikey",1000361728,Right,LON_LAN,65cb040f-de7a-4461-92e9-3f6fd38fde76,54.62422,-129.46428,13.7535,5.57455,-0.5948,-9.20106,-3.08348,8.53316,-4.88676,32.462288,1.07194,120.60435,-18.8352,,,,,,,3.557,-17.73169,-21.74088,,,,,,,-0.27123,-43.91931,1.27157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
9,2025-05-16,14:11:14.34,4,1,"Castrichini, Joe",1000143939,Right,LON_LAN,"Ward, James",10162609,Right,RAD_HIG,Undefined,1,Top,2,0,0,Fastball,Sinker,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,90.1819,-1.440556,-4.348392,2374.291456,229.580975,1:45,5.43408,3.19912,5.61794,-21.10655,14.15139,15.13316,2.32661,0.39418,81.43457,-5.410256,-1.656115,0.427366,,,,,,,,,,,,-8.93835,7.96658,-2.83703,50,5.29745,9.22594,-130.40684,-3.98613,-15.22843,30.14552,-18.60122,LON_LAN,RAD_HIG,BuddyBoldingStadium,D1,BSOU,20250516-BuddyBoldingStadium-1,27d3fe60-3281-11f0-9080-df4d7735d317,88.19711,,,8.74733,,,,,,,0fb6f17c-d813-449a-a18f-5f4ce7b5420c,2025-05-16,18:11:14.34,2025-05-16T14:11:14.3401472-04:00,2025-05-16T18:11:14.3401472Z,,v3,471338,471417,,"Urbaniak, Mikey",1000361728,Right,LON_LAN,04292cc7-5f90-463b-b838-044bd5e63bef,54.87847,-131.52974,15.07276,5.43303,-3.29325,-9.30061,-3.19125,9.79319,-7.61421,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2025-05-16,14:11:32.97,4,2,"Castrichini, Joe",1000143939,Right,LON_LAN,"Ward, James",10162609,Right,RAD_HIG,Undefined,1,Top,2,0,1,Slider,Curveball,InPlay,Undefined,FlyBall,Out,1,0,,78.32898,0.371849,-2.091915,2840.342106,85.463527,8:45,5.20876,3.25382,5.05924,-46.98152,0.39913,-14.66587,1.64454,0.05807,71.61595,-8.140788,-4.682014,0.495418,84.49134,40.724908,27.111046,,93.45616,78.84551,58.01635,279.6788,237.23584,38.309688,5.066049,6.7204,0.46819,-3.04238,50,5.20666,4.73467,-113.54816,-0.90712,8.69264,22.59021,-31.56847,LON_LAN,RAD_HIG,BuddyBoldingStadium,D1,BSOU,20250516-BuddyBoldingStadium-1,3311f430-3281-11f0-9080-df4d7735d317,76.08207,91.2665,,6.71304,,,,1.92376,1.71035,-0.1503,0fb6f17c-d813-449a-a18f-5f4ce7b5420c,2025-05-16,18:11:32.97,2025-05-16T14:11:32.9704960-04:00,2025-05-16T18:11:32.9704960Z,FlyBall,v3,471338,471417,,"Urbaniak, Mikey",1000361728,Right,LON_LAN,752445f7-c48d-40ef-b3ea-94ca88da25b7,55.44155,-114.62563,11.2951,5.21402,0.59859,-15.78423,-3.25832,4.32006,4.34632,211.371353,1.93358,83.39133,-18.84064,3.60377,0.08427,-0.29602,0.07745,-0.0081,0.00029,1.7119,80.80734,-20.86262,1.20465,0.21888,-0.22451,0.07359,-0.01088,0.0006,-0.14662,42.71877,-1.17392,-1.09293,0.73492,-0.29198,0.06994,-0.00885,0.00045,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,
