PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-05-16,15:02:29.11,1,1,"Demi, Kyle",802341,Right,PIT_PAN,"Cannarella, Cam",703448,Left,CLE_TIG,Undefined,1,Top,0,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,89.50184,-3.979464,-3.572341,2546.834773,217.566821,1:15,5.90645,1.52914,5.68052,-16.43977,19.41651,13.91284,0.81361,-0.64591,80.84428,-7.113236,-1.090643,0.430977,,,,,,,,,,,,-8.24595,11.52934,-1.2369,50,5.56007,7.47207,-129.29965,-9.49605,-13.77023,30.37419,-12.92077,PIT_PAN,CLE_TIG,CharlesCost,D1,ACC,20250516-CharlesCost-2,70eda950-3288-11f0-a2ba-21342fa5328b,87.45814,,,8.65756,,,,,,,b55393d0-a84e-488d-9921-fe934561c9c8,2025-05-16,19:02:29.11,2025-05-16T15:02:29.1196928-04:00,2025-05-16T19:02:29.1196928Z,,v3,471411,471272,,"Melendez, Jayden",695624,Right,PIT_PAN,c70594b6-8b55-49e8-83cb-ca63eb2ab0e2,54.81915,-130.42682,15.18709,5.90357,-9.01657,-6.46038,-1.52367,7.98308,-6.88511,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2025-05-16,15:02:46.46,1,2,"Demi, Kyle",802341,Right,PIT_PAN,"Cannarella, Cam",703448,Left,CLE_TIG,Undefined,1,Top,0,1,0,Fastball,Four-Seam,InPlay,Undefined,LineDrive,Single,0,0,,90.43072,-1.87653,-2.721498,2530.621398,221.191761,1:15,5.97872,1.39804,5.60954,-15.88674,18.9745,15.54658,2.9006,0.15134,81.93441,-4.909676,0.050862,0.424955,88.909,14.873746,28.3181,2928.535996,94.10063,16.55937,56.9654,196.17566,193.33786,34.583778,1.842394,-8.78874,10.57115,-1.17587,50,5.80827,5.55473,-131.06131,-4.78239,-15.15189,29.98093,-13.94925,PIT_PAN,CLE_TIG,CharlesCost,D1,ACC,20250516-CharlesCost-2,7b436200-3288-11f0-a2ba-21342fa5328b,88.69754,16.71265,,8.49631,,,,3.62844,3.03075,-0.22001,b55393d0-a84e-488d-9921-fe934561c9c8,2025-05-16,19:02:46.46,2025-05-16T15:02:46.4644096-04:00,2025-05-16T19:02:46.4644096Z,LineDrive,v3,471411,471272,,"Melendez, Jayden",695624,Right,PIT_PAN,2da8560f-7bbc-491c-b92f-58f6ffeaecfd,54.89151,-132.17554,14.99047,5.97637,-4.26397,-6.97462,-1.39278,6.11784,-7.57595,270.798531,3.62843,110.9497,-19.15743,4.10996,-0.72928,-0.00951,0.07501,-0.02831,0.00381,3.03076,33.47139,-22.02319,2.21919,-0.5148,0.17818,-0.07072,0.01952,-0.00236,-0.21999,59.78214,1.8106,-1.14533,0.14248,0.17693,-0.13976,0.04573,-0.00589,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
3,2025-05-16,15:03:25.74,2,1,"Demi, Kyle",802341,Right,PIT_PAN,"Purify, Jarren",803905,Right,CLE_TIG,Undefined,1,Top,0,0,0,ChangeUp,Changeup,StrikeCalled,Undefined,Undefined,Undefined,0,0,,78.46187,-0.151504,-3.576096,1723.95905,255.40081,2:30,5.64417,1.66297,5.65431,-41.09341,4.92103,13.1402,2.07815,-0.58162,71.82581,-7.705476,-1.231162,0.488223,,,,,,,,,,,,-7.66453,3.00973,-1.36802,50,5.60538,6.6,-113.73312,-1.62193,-10.01414,21.3452,-28.24169,PIT_PAN,CLE_TIG,CharlesCost,D1,ACC,20250516-CharlesCost-2,929cdc60-3288-11f0-a2ba-21342fa5328b,77.20328,,,6.63607,,,,,,,b55393d0-a84e-488d-9921-fe934561c9c8,2025-05-16,19:03:25.74,2025-05-16T15:03:25.7439744-04:00,2025-05-16T19:03:25.7439744Z,,v3,471411,471272,,"Melendez, Jayden",695624,Right,PIT_PAN,7a1f394b-4353-4521-8cca-d78c966ccbda,54.84563,-114.63893,10.6726,5.64878,-0.42346,-14.12085,-1.65712,7.02496,-5.00707,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2025-05-16,15:04:04.49,2,2,"Demi, Kyle",802341,Right,PIT_PAN,"Purify, Jarren",803905,Right,CLE_TIG,Undefined,1,Top,0,0,1,ChangeUp,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,78.66213,-2.029357,-5.859115,1901.324965,243.856277,2:15,5.51058,1.72237,5.39105,-37.78238,8.52457,14.38788,0.44925,-2.58931,72.50578,-8.908871,-3.31654,0.489773,,,,,,,,,,,,-8.77937,5.27697,-1.2077,50,5.30178,11.09141,-113.608,-5.29132,-11.5265,19.92478,-25.24588,PIT_PAN,CLE_TIG,CharlesCost,D1,ACC,20250516-CharlesCost-2,a9b7a010-3288-11f0-a2ba-21342fa5328b,76.95903,,,6.15635,,,,,,,b55393d0-a84e-488d-9921-fe934561c9c8,2025-05-16,19:04:04.49,2025-05-16T15:04:04.4964864-04:00,2025-05-16T19:04:04.4964864Z,,v3,471411,471272,,"Melendez, Jayden",695624,Right,PIT_PAN,6676bf31-554f-4ee4-913a-02745678cf8e,55.10956,-114.50062,9.96239,5.5135,-4.16032,-12.62294,-1.71615,11.60779,-5.76325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2025-05-16,15:04:28.71,2,3,"Demi, Kyle",802341,Right,PIT_PAN,"Purify, Jarren",803905,Right,CLE_TIG,Undefined,1,Top,0,1,1,Fastball,Four-Seam,InPlay,Undefined,FlyBall,Out,1,0,,90.55794,-1.645069,-2.077388,2487.313194,220.774896,1:15,6.01338,1.41946,5.42712,-15.20847,19.72099,15.97623,3.20376,0.80423,82.12966,-4.546924,0.76364,0.425371,75.55518,32.114792,-1.655761,2971.031026,109.99947,54.4077,0.11974,284.96676,280.0725,3.857283,4.221543,-8.66012,10.7615,-1.24668,50,5.8573,4.03352,-131.27361,-4.23601,-15.00829,29.5677,-13.52399,PIT_PAN,CLE_TIG,CharlesCost,D1,ACC,20250516-CharlesCost-2,b83b23f0-3288-11f0-a2ba-21342fa5328b,88.61083,60.13723,,8.42827,,,,0.70455,3.15792,-0.82207,b55393d0-a84e-488d-9921-fe934561c9c8,2025-05-16,19:04:28.71,2025-05-16T15:04:28.7168512-04:00,2025-05-16T19:04:28.7168512Z,FlyBall,v3,471411,471272,,"Melendez, Jayden",695624,Right,PIT_PAN,35c8bcdf-c299-4b00-aec9-041b9837d469,55.07244,-132.41118,14.78385,6.01027,-3.7157,-6.762,-1.41297,4.61094,-7.50414,199.475147,0.70605,93.78028,-12.69533,2.54662,-0.22865,-0.07362,0.0305,-0.0041,0.00019,3.15707,58.9293,-16.62262,0.9436,-0.16462,0.00999,0.01177,-0.00346,0.00028,-0.82262,-2.69833,3.00756,-0.3628,-0.05256,0.04626,-0.01159,0.00126,-5E-05,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
6,2025-05-16,15:05:04.55,3,1,"Demi, Kyle",802341,Right,PIT_PAN,"Priest, Collin",1000102535,Left,CLE_TIG,Undefined,1,Top,1,0,0,Curveball,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,72.67496,1.242562,-1.193975,2591.342992,41.062173,7:15,6.03643,1.2624,5.44841,-72.38315,-17.89635,-17.19076,1.16829,-1.28819,66.69588,-11.840508,-4.265392,0.531272,,,,,,,,,,,,8.33926,-9.02682,-1.14451,50,6.09572,2.81375,-105.50332,-0.02916,9.23758,20.83208,-42.17324,PIT_PAN,CLE_TIG,CharlesCost,D1,ACC,20250516-CharlesCost-2,cda2b960-3288-11f0-a2ba-21342fa5328b,70.94752,,,5.97908,,,,,,,b55393d0-a84e-488d-9921-fe934561c9c8,2025-05-16,19:05:04.55,2025-05-16T15:05:04.5599744-04:00,2025-05-16T19:05:04.5599744Z,,v3,471411,471272,,"Melendez, Jayden",695624,Right,PIT_PAN,e213de5f-58ba-48b9-aeed-aaad8ba515ae,55.05803,-106.49736,10.41604,6.0491,1.98323,-21.08662,-1.26826,2.37296,4.61879,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2025-05-16,15:05:25.70,3,2,"Demi, Kyle",802341,Right,PIT_PAN,"Priest, Collin",1000102535,Left,CLE_TIG,Undefined,1,Top,1,1,0,Curveball,Curveball,BallinDirt,Undefined,Undefined,Undefined,0,0,,73.59536,-0.484464,-2.465368,2615.546537,36.024956,7:15,6.00644,1.19532,5.32945,-73.90004,-20.16245,-16.00946,-0.60691,-2.45354,67.69559,-13.722255,-5.322656,0.527607,,,,,,,,,,,,7.33559,-9.77123,-0.96002,50,5.90824,5.16569,-106.71426,-3.30405,8.25998,22.39108,-43.17661,PIT_PAN,CLE_TIG,CharlesCost,D1,ACC,20250516-CharlesCost-2,da23b680-3288-11f0-a2ba-21342fa5328b,71.4404,,,5.89976,,,,,,,b55393d0-a84e-488d-9921-fe934561c9c8,2025-05-16,19:05:25.70,2025-05-16T15:05:25.7054720-04:00,2025-05-16T19:05:25.7054720Z,,v3,471411,471272,,"Melendez, Jayden",695624,Right,PIT_PAN,24b3d4fa-fa81-4c45-99ee-d6780ee9d8df,55.17722,-107.79509,11.19554,6.01743,-1.2199,-21.5883,-1.19975,4.76698,4.12999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2025-05-16,15:06:04.29,3,3,"Demi, Kyle",802341,Right,PIT_PAN,"Priest, Collin",1000102535,Left,CLE_TIG,Undefined,1,Top,1,2,0,Fastball,Four-Seam,InPlay,Undefined,FlyBall,Sacrifice,1,1,,90.11124,-1.888942,-2.655636,2445.761833,210.049064,1:00,6.05995,1.38535,5.61335,-13.94926,21.39206,11.62237,3.1319,-0.12658,81.08356,-4.594673,-0.583468,0.427871,99.79523,42.359328,9.824381,3347.76729,108.52153,93.7972,17.97307,391.27068,391.27068,9.883043,5.942654,-6.7513,11.82032,-1.16608,50,5.88986,5.53453,-130.47432,-4.68648,-11.46176,31.32972,-12.10656,PIT_PAN,CLE_TIG,CharlesCost,D1,ACC,20250516-CharlesCost-2,f130e5a0-3288-11f0-a2ba-21342fa5328b,88.09304,132.26576,,9.02768,,,,1.96024,2.72249,0.04697,b55393d0-a84e-488d-9921-fe934561c9c8,2025-05-16,19:06:04.29,2025-05-16T15:06:04.2996736-04:00,2025-05-16T19:06:04.2996736Z,FlyBall,v3,471411,471272,,"Melendez, Jayden",695624,Right,PIT_PAN,064a3cca-07f6-4a1c-8170-923a3cb0b095,54.88499,-131.64208,15.66486,6.05613,-4.23523,-6.05328,-1.38033,5.96175,-5.73088,177.40118,1.97391,106.31622,-22.52773,5.67881,-0.60184,-0.11564,0.0506,-0.0067,0.00031,2.70803,98.84767,-22.62453,2.11241,-0.42045,0.06201,0.00179,-0.00185,0.00015,0.04823,18.42811,-4.68225,1.50521,-0.29809,0.02848,0.00142,-0.00058,4E-05,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,
9,2025-05-16,15:06:45.31,4,1,"Demi, Kyle",802341,Right,PIT_PAN,"Paino, Josh",1000050349,Right,CLE_TIG,Undefined,1,Top,2,0,0,Slider,Curveball,InPlay,Undefined,Bunt,Single,0,0,,78.79656,0.851113,-1.772217,2285.283654,15.402946,6:30,5.87686,1.5014,5.50433,-50.16633,-3.99402,-1.53772,2.4928,-0.28478,71.69191,-8.317538,-2.046453,0.48906,,,,,,,,,,,,0.22335,-1.90965,-1.34548,50,5.9171,3.59528,-114.28248,0.01268,0.29153,23.60836,-34.66686,PIT_PAN,CLE_TIG,CharlesCost,D1,ACC,20250516-CharlesCost-2,09a80500-3289-11f0-a2ba-21342fa5328b,77.07119,,,7.10465,,,,,,,b55393d0-a84e-488d-9921-fe934561c9c8,2025-05-16,19:06:45.31,2025-05-16T15:06:45.3159424-04:00,2025-05-16T19:06:45.3159424Z,,v3,471411,471272,,"Melendez, Jayden",695624,Right,PIT_PAN,6e5f7ede-3582-49b3-93a4-f99c2b20faa7,54.99715,-115.31017,11.80418,5.88371,1.52175,-17.33343,-1.50171,3.58259,0.14576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2025-05-16,15:07:45.61,5,1,"Demi, Kyle",802341,Right,PIT_PAN,"Listi, Dominic",1000310911,Left,CLE_TIG,Undefined,1,Top,2,0,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,StolenBase,0,0,,89.23882,-2.747005,-3.073152,2413.505076,215.558943,1:15,6.08805,1.49403,5.52501,-18.58836,17.57359,11.61839,1.96515,-0.41365,80.58847,-6.261802,-1.005348,0.43281,,,,,,,,,,,,-6.81737,10.11052,-1.23445,50,5.83662,6.40843,-129.07805,-6.78631,-11.35476,30.07009,-15.33429,PIT_PAN,CLE_TIG,CharlesCost,D1,ACC,20250516-CharlesCost-2,2d984e70-3289-11f0-a2ba-21342fa5328b,87.0877,,,8.65035,,,,,,,b55393d0-a84e-488d-9921-fe934561c9c8,2025-05-16,19:07:45.61,2025-05-16T15:07:45.6190000-04:00,2025-05-16T19:07:45.6190000Z,,v3,471411,471272,,"Melendez, Jayden",695624,Right,PIT_PAN,8bcfd719-98f5-4fd6-900a-56ae15ba5cd4,54.97269,-130.23134,15.03505,6.08562,-6.19819,-7.66714,-1.48858,6.84392,-5.67738,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.50294,,0.819712,,-0.41257,1.7621,0.44463,0.23436,5.47416,0.00844,,,,0.33842,114.96487,-10.43687,5.48972,7.58019,-11.71361,0.00539,-4.22961,0.32629,High,High,High,,,High,Medium,Medium
