PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-05-16,18:03:09.69,1,1,"Savary, Aaron",808860,Right,IOW_HAW,"Neville, Mason",702563,Left,ORE_DUC,Undefined,1,Top,0,0,0,Sinker,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,90.59983,-0.683436,-3.834221,2025.85212,275.311419,3:15,5.00314,3.79144,6.86964,-33.15073,-0.25917,13.97603,1.61626,1.45634,82.95229,-6.8987,-1.282622,0.412775,,,,,,,,,,,,-8.48729,0.40228,-3.55179,50,4.94834,8.29217,-131.58389,-2.59167,-14.84734,28.49935,-31.47028,IOW_HAW,ORE_DUC,DuaneBanks,D1,BIG10,20250516-DuaneBanks-1,efe4b390-32a9-11f0-b45f-bfc9a33ab927,91.31468,,,7.64754,,,,,,,171f39e0-4d0d-4801-a4a9-dc603b768c88,2025-05-16,23:03:09.69,2025-05-16T18:03:09.6985088-05:00,2025-05-16T23:03:09.6985088Z,,v3,1232,4807,16 May 2025 19:05-oregon@iowa,"Rogers, Daniel",1000121686,Right,IOW_HAW,99e6ef0c-0f05-42cc-8a84-1619c18be465,53.62983,-132.36772,14.24968,5.00772,-1.72612,-15.73514,-3.78547,8.70053,-7.42367,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2025-05-16,18:03:24.13,1,2,"Savary, Aaron",808860,Right,IOW_HAW,"Neville, Mason",702563,Left,ORE_DUC,Undefined,1,Top,0,1,0,ChangeUp,Changeup,StrikeCalled,Undefined,Undefined,Undefined,0,0,,82.9433,1.193694,-5.316741,1872.744677,292.954499,3:45,4.89653,3.6631,6.7821,-44.04451,-4.47181,13.55056,2.32079,-0.07551,75.80418,-7.024095,-2.856995,0.452761,,,,,,,,,,,,-8.69473,-2.3178,-3.32096,50,4.95854,10.71547,-120.20161,1.23687,-12.67993,23.99884,-35.55422,IOW_HAW,ORE_DUC,DuaneBanks,D1,BIG10,20250516-DuaneBanks-1,f88457d0-32a9-11f0-b45f-bfc9a33ab927,83.25015,,,7.13912,,,,,,,171f39e0-4d0d-4801-a4a9-dc603b768c88,2025-05-16,23:03:24.13,2025-05-16T18:03:24.1328640-05:00,2025-05-16T23:03:24.1328640Z,,v3,1232,4807,16 May 2025 19:05-oregon@iowa,"Rogers, Daniel",1000121686,Right,IOW_HAW,c51ab7bf-0f62-45d8-b769-6c72dcc72f74,53.71854,-120.94176,11.99942,4.90348,2.33339,-17.77711,-3.65747,11.10654,-6.33996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2025-05-16,18:03:38.72,1,3,"Savary, Aaron",808860,Right,IOW_HAW,"Neville, Mason",702563,Left,ORE_DUC,Undefined,1,Top,0,1,1,Curveball,Curveball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,77.1804,1.599493,-0.994689,2807.665124,68.366171,8:15,5.52628,3.4097,5.83766,-52.85463,-6.02811,-18.64371,2.60893,0.93148,71.31153,-8.070707,-4.338898,0.492513,,,,,,,,,,,,9.25886,-3.09091,-3.31766,50,5.62555,2.63043,-112.20898,1.45067,11.82316,20.00501,-36.12099,IOW_HAW,ORE_DUC,DuaneBanks,D1,BIG10,20250516-DuaneBanks-1,01420b60-32aa-11f0-b45f-bfc9a33ab927,76.5309,,,5.86887,,,,,,,171f39e0-4d0d-4801-a4a9-dc603b768c88,2025-05-16,23:03:38.72,2025-05-16T18:03:38.7229184-05:00,2025-05-16T23:03:38.7229184Z,,v3,1232,4807,16 May 2025 19:05-oregon@iowa,"Rogers, Daniel",1000121686,Right,IOW_HAW,d3de9a6b-0a4a-48f2-ad54-163dd0441249,54.66466,-113.03755,10.0025,5.53449,2.94674,-18.0605,-3.41647,2.14073,5.91158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2025-05-16,18:03:53.72,1,4,"Savary, Aaron",808860,Right,IOW_HAW,"Neville, Mason",702563,Left,ORE_DUC,Undefined,1,Top,0,1,2,ChangeUp,Changeup,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,,83.2184,0.208594,-5.59264,1766.044683,287.533814,3:30,4.83234,3.81516,6.9462,-41.46557,-2.64953,12.05347,1.56762,-0.28632,76.6974,-7.533067,-3.398664,0.448412,,,,,,,,,,,,-7.94036,-1.13287,-3.47018,50,4.83148,11.41782,-120.66837,-0.70854,-11.75415,22.60563,-33.85108,IOW_HAW,ORE_DUC,DuaneBanks,D1,BIG10,20250516-DuaneBanks-1,0a23e8c0-32aa-11f0-b45f-bfc9a33ab927,84.05766,,,6.521,,,,,,,171f39e0-4d0d-4801-a4a9-dc603b768c88,2025-05-16,23:03:53.72,2025-05-16T18:03:53.7266688-05:00,2025-05-16T23:03:53.7266688Z,,v3,1232,4807,16 May 2025 19:05-oregon@iowa,"Rogers, Daniel",1000121686,Right,IOW_HAW,5a2268e8-7715-44fb-b013-a55d7cdd1980,53.55523,-121.33257,11.30282,4.83768,0.28607,-16.92554,-3.81074,11.76318,-5.87708,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2025-05-16,18:04:24.65,2,1,"Savary, Aaron",808860,Right,IOW_HAW,"Hellman, Dominic",702626,Right,ORE_DUC,Undefined,1,Top,1,0,0,Slider,Slider,InPlay,Undefined,Popup,Out,1,0,,78.67918,1.395645,-3.099121,2648.191958,103.421144,9:30,4.99627,3.63474,6.28864,-38.96423,5.91111,-18.75525,3.03754,-0.78698,71.84701,-5.868002,-6.475189,0.482142,82.28127,51.507645,-13.968027,,109.12364,116.8198,-13.85665,212.97286,203.76979,-4.599486,5.579683,8.855,3.05701,-3.39751,50,5.08044,6.8329,-114.15977,1.6796,11.57403,22.89108,-28.17834,IOW_HAW,ORE_DUC,DuaneBanks,D1,BIG10,20250516-DuaneBanks-1,1c998e60-32aa-11f0-b45f-bfc9a33ab927,78.17701,119.53812,,6.83216,,,,1.59753,3.11755,0.88166,171f39e0-4d0d-4801-a4a9-dc603b768c88,2025-05-16,23:04:24.65,2025-05-16T18:04:24.6501376-05:00,2025-05-16T23:04:24.6501376Z,FlyBall,v3,1232,4807,16 May 2025 19:05-oregon@iowa,"Rogers, Daniel",1000121686,Right,IOW_HAW,12b776dc-824b-4444-9e36-535700dfa5d5,54.21065,-115.00098,11.44554,4.99969,2.71511,-14.08917,-3.64079,6.40757,5.78701,195.41921,1.60123,72.8119,-18.60871,4.91002,-0.80891,0.05156,0.00696,-0.00137,6E-05,3.11602,94.47364,-22.38387,1.43045,0.10011,-0.14371,0.04483,-0.00641,0.00035,0.88017,-18.09372,9.58081,-3.02444,0.58814,-0.05123,-0.00426,0.00129,-8E-05,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Medium,Low,,,
6,2025-05-16,18:05:02.36,3,1,"Savary, Aaron",808860,Right,IOW_HAW,"Walsh, Jacob",701862,Left,ORE_DUC,Undefined,1,Top,2,0,0,ChangeUp,Changeup,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,81.85218,1.131748,-5.281024,1663.33568,289.434423,3:45,4.92872,3.78936,7.06609,-43.6312,-3.33662,13.2117,2.32491,0.08165,74.63263,-7.064866,-2.869377,0.456872,,,,,,,,,,,,-8.60107,-1.67776,-3.47454,50,4.98412,10.52692,-118.6426,1.17239,-12.18262,24.02784,-34.55045,IOW_HAW,ORE_DUC,DuaneBanks,D1,BIG10,20250516-DuaneBanks-1,331cf410-32aa-11f0-b45f-bfc9a33ab927,82.50105,,,7.21955,,,,,,,171f39e0-4d0d-4801-a4a9-dc603b768c88,2025-05-16,23:05:02.36,2025-05-16T18:05:02.3623168-05:00,2025-05-16T23:05:02.3623168Z,,v3,1232,4807,16 May 2025 19:05-oregon@iowa,"Rogers, Daniel",1000121686,Right,IOW_HAW,310f6512-221d-4c6a-86ba-82ff3a401a35,53.43361,-119.33596,12.01392,4.9359,2.16939,-17.27523,-3.78338,10.87847,-6.09131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2025-05-16,18:05:17.93,3,2,"Savary, Aaron",808860,Right,IOW_HAW,"Walsh, Jacob",701862,Left,ORE_DUC,Undefined,1,Top,2,0,1,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,92.50624,-0.513056,-2.812172,2164.715697,220.655169,1:15,5.52778,3.34961,6.48432,-18.94029,13.15355,10.38461,3.47779,1.63097,84.06515,-4.130778,-0.930143,0.407739,,,,,,,,,,,,-6.21024,7.34233,-3.15598,50,5.4832,6.16377,-134.2964,-1.74575,-11.28253,30.49921,-18.83476,IOW_HAW,ORE_DUC,DuaneBanks,D1,BIG10,20250516-DuaneBanks-1,3c39b790-32aa-11f0-b45f-bfc9a33ab927,92.44258,,,8.44109,,,,,,,171f39e0-4d0d-4801-a4a9-dc603b768c88,2025-05-16,23:05:17.93,2025-05-16T18:05:17.9348992-05:00,2025-05-16T23:05:17.9348992Z,,v3,1232,4807,16 May 2025 19:05-oregon@iowa,"Rogers, Daniel",1000121686,Right,IOW_HAW,127dfe9f-2825-4f47-bf0f-8d13421f89ce,54.01188,-135.20444,15.24961,5.52683,-1.18499,-9.41738,-3.34449,6.49968,-5.64126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2025-05-16,18:05:33.76,3,3,"Savary, Aaron",808860,Right,IOW_HAW,"Walsh, Jacob",701862,Left,ORE_DUC,Undefined,1,Top,2,1,1,Sinker,Sinker,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,90.93026,0.279392,-4.692222,1972.992201,265.141902,2:45,5.04594,3.7854,6.80547,-30.43557,2.65693,17.7041,2.76545,0.96936,82.234,-5.463982,-1.471888,0.414034,,,,,,,,,,,,-10.75564,1.69654,-3.48684,50,5.05328,10.12209,-131.79582,-0.2878,-18.70472,30.96042,-29.22364,IOW_HAW,ORE_DUC,DuaneBanks,D1,BIG10,20250516-DuaneBanks-1,45cae7c0-32aa-11f0-b45f-bfc9a33ab927,91.03702,,,8.69625,,,,,,,171f39e0-4d0d-4801-a4a9-dc603b768c88,2025-05-16,23:05:33.76,2025-05-16T18:05:33.7645056-05:00,2025-05-16T23:05:33.7645056Z,,v3,1232,4807,16 May 2025 19:05-oregon@iowa,"Rogers, Daniel",1000121686,Right,IOW_HAW,3c67cf7f-4e4e-4cd2-949a-50418e23ab1f,53.69231,-132.66035,15.48021,5.04993,0.52823,-14.61182,-3.77678,10.64439,-9.35236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2025-05-16,18:05:49.18,3,4,"Savary, Aaron",808860,Right,IOW_HAW,"Walsh, Jacob",701862,Left,ORE_DUC,Undefined,1,Top,2,1,2,ChangeUp,Changeup,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,82.42036,0.657129,-5.224084,1798.484932,295.374549,3:45,4.74203,3.81678,6.86991,-44.47928,-4.61288,12.37162,1.63686,0.07326,75.55852,-7.644458,-2.973087,0.454438,,,,,,,,,,,,-8.13048,-2.35138,-3.48849,50,4.76805,10.52369,-119.52611,0.13758,-11.73283,23.57143,-35.56725,IOW_HAW,ORE_DUC,DuaneBanks,D1,BIG10,20250516-DuaneBanks-1,4efbcf80-32aa-11f0-b45f-bfc9a33ab927,82.94293,,,6.86184,,,,,,,171f39e0-4d0d-4801-a4a9-dc603b768c88,2025-05-16,23:05:49.18,2025-05-16T18:05:49.1875328-05:00,2025-05-16T23:05:49.1875328Z,,v3,1232,4807,16 May 2025 19:05-oregon@iowa,"Rogers, Daniel",1000121686,Right,IOW_HAW,2c8b7660-861c-48c4-b507-8628c25f57d9,53.63192,-120.24022,11.78572,4.74757,1.21511,-17.78363,-3.8127,10.87914,-5.86641,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2025-05-16,18:06:08.06,3,5,"Savary, Aaron",808860,Right,IOW_HAW,"Walsh, Jacob",701862,Left,ORE_DUC,Undefined,1,Top,2,1,2,Fastball,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,91.98193,0.905583,-1.579354,2008.967898,242.576218,2:00,5.58785,3.07517,6.37093,-24.77367,8.10245,13.35694,4.357,2.7347,82.78613,-3.787676,0.839025,0.412679,,,,,,,,,,,,-7.3737,4.28906,-2.96644,50,5.642,3.1047,-133.48245,1.32313,-13.09911,32.85624,-24.55471,IOW_HAW,ORE_DUC,DuaneBanks,D1,BIG10,20250516-DuaneBanks-1,5a1a7d80-32aa-11f0-b45f-bfc9a33ab927,91.33608,,,9.1958,,,,,,,171f39e0-4d0d-4801-a4a9-dc603b768c88,2025-05-16,23:06:08.06,2025-05-16T18:06:08.0644096-05:00,2025-05-16T23:06:08.0644096Z,,v3,1232,4807,16 May 2025 19:05-oregon@iowa,"Rogers, Daniel",1000121686,Right,IOW_HAW,c71f8819-d367-49bd-87a6-ec6814d78318,54.12367,-134.49364,16.42812,5.58966,2.07884,-12.27735,-3.0682,3.50785,-6.54956,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
