PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-05-16,14:05:06.17,1,1,"Parson, Grant",1000280840,Right,IND_SYC,"Gibson, Kyle",10300873,Left,ILL_RED,Undefined,1,Top,0,0,0,Undefined,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,88.72614,-1.572687,-2.245776,2102.169424,210.892167,1:00,5.81603,2.35211,6.32046,-19.74198,15.08509,8.38288,2.72094,0.98127,81.39942,-5.314599,-0.729992,0.424747,74.81414,64.250575,-115.222908,4034.766806,,,,,12.18132,,,-4.99402,8.61729,-2.19188,50,5.69148,4.73007,-128.91412,-4.1062,-8.42538,26.16432,-17.63591,IND_SYC,ILL_RED,IndianaState,D1,MVC,20250516-IndianaState-1,4b57bfd0-3280-11f0-a74a-d59022cc5093,88.74099,25.48136,,7.32672,,,,2.16921,2.72474,-0.9866,ba35b544-28dc-488d-8352-55ce9379a0ca,2025-05-16,18:05:06.17,2025-05-16T14:05:06.1737984-04:00,2025-05-16T18:05:06.1737984Z,,v3,471319,471316,16 May 2025 18:30-illinoisst@indianast,"Nevils, Alex",1000107388,Right,IND_SYC,ecba9891-6b9c-4677-902c-4fb417b8b565,54.1789,-129.75949,13.08216,5.81494,-3.53638,-8.81796,-2.34911,5.00229,-4.21269,,2.17006,-20.36027,-4.41826,,,,,,,2.72527,98.80288,-22.70709,,,,,,,-0.98556,-43.18116,-4.53903,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Low,Undefined,,,
2,2025-05-16,14:05:23.48,1,2,"Parson, Grant",1000280840,Right,IND_SYC,"Gibson, Kyle",10300873,Left,ILL_RED,Undefined,1,Top,0,0,1,Undefined,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,88.75481,-2.82185,-2.092602,2207.713659,216.917363,1:15,5.77575,2.56994,6.2708,-19.54477,15.36973,10.73083,1.54181,1.53423,81.5447,-6.513299,-0.153038,0.425279,,,,,,,,,,,,-6.13941,9.08264,-2.4202,50,5.55715,4.28256,-128.84694,-6.91716,-10.35274,25.99633,-16.85821,IND_SYC,ILL_RED,IndianaState,D1,MVC,20250516-IndianaState-1,55bedda0-3280-11f0-a74a-d59022cc5093,88.62982,,,7.21011,,,,,,,ba35b544-28dc-488d-8352-55ce9379a0ca,2025-05-16,18:05:23.48,2025-05-16T14:05:23.4855936-04:00,2025-05-16T18:05:23.4855936Z,,v3,471319,471316,16 May 2025 18:30-illinoisst@indianast,"Nevils, Alex",1000107388,Right,IND_SYC,a99d6b9f-2967-4ec9-aa9b-4cbec8f4c746,54.22798,-129.69718,12.99817,5.77437,-6.36579,-8.4291,-2.5658,4.62116,-5.17637,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2025-05-16,14:05:37.89,1,3,"Parson, Grant",1000280840,Right,IND_SYC,"Gibson, Kyle",10300873,Left,ILL_RED,Undefined,1,Top,0,1,1,Undefined,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,87.64331,-2.645761,-4.444271,2050.97311,219.128616,1:15,5.80909,2.47184,6.58617,-20.02521,15.46698,11.6815,1.70681,-0.63544,80.49914,-6.449089,-2.328485,0.428783,57.03738,-34.280559,86.539664,,,,,4.27885,4.27885,50.025893,0.038853,-7.3802,9.19717,-2.17187,50,5.61878,9.44783,-127.04528,-6.42194,-12.10242,25.21425,-17.09206,IND_SYC,ILL_RED,IndianaState,D1,MVC,20250516-IndianaState-1,5e5496d0-3280-11f0-a74a-d59022cc5093,87.90562,1.83812,,7.14417,,,,2.58615,1.83812,0.5874,ba35b544-28dc-488d-8352-55ce9379a0ca,2025-05-16,18:05:37.89,2025-05-16T14:05:37.8983936-04:00,2025-05-16T18:05:37.8983936Z,GroundBall,v3,471319,471316,16 May 2025 18:30-illinoisst@indianast,"Nevils, Alex",1000107388,Right,IND_SYC,edaf3670-44ea-4b82-9b46-b51af2a2f7cc,53.91395,-127.81971,12.60712,5.80796,-5.89698,-8.54603,-2.46776,9.81954,-6.05121,,2.58605,4.18907,,,,,,,,1.83931,-47.30981,,,,,,,,0.58565,69.27762,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Estimated,Estimated,,,
4,2025-05-16,14:05:58.09,1,4,"Parson, Grant",1000280840,Right,IND_SYC,"Gibson, Kyle",10300873,Left,ILL_RED,Undefined,1,Top,0,1,2,Undefined,Four-Seam,InPlay,Undefined,FlyBall,Out,1,0,,89.20183,-2.783193,-4.348646,2184.762877,210.721851,1:00,5.87669,2.55053,6.33524,-17.64245,16.99308,9.44878,1.83447,-0.67375,81.80216,-6.138186,-2.645742,0.423577,89.76596,38.681255,5.639446,3910.683837,109.7511,79.10551,7.39134,351.19237,341.82368,0.623224,5.435314,-6.12575,9.95304,-2.23775,50,5.66483,9.4603,-129.23433,-6.78546,-10.38628,26.29041,-15.29859,IND_SYC,ILL_RED,IndianaState,D1,MVC,20250516-IndianaState-1,6a59ad30-3280-11f0-a74a-d59022cc5093,88.98605,103.00262,,7.39967,,,,1.73795,1.93309,0.67439,ba35b544-28dc-488d-8352-55ce9379a0ca,2025-05-16,18:05:58.09,2025-05-16T14:05:58.0900352-04:00,2025-05-16T18:05:58.0900352Z,FlyBall,v3,471319,471316,16 May 2025 18:30-illinoisst@indianast,"Nevils, Alex",1000107388,Right,IND_SYC,25ad2886-c29b-4f77-b399-8ac243540135,54.16426,-130.07872,13.14521,5.87488,-6.29411,-7.6493,-2.54695,9.79388,-5.19314,166.764987,1.73961,102.23149,-20.44202,5.49784,-0.96122,0.07476,0.00666,-0.00172,9E-05,1.93066,82.33149,-18.7374,0.81258,0.06303,-0.07048,0.02468,-0.00402,0.00024,0.67477,10.08854,-5.31827,1.49507,-0.27975,0.02768,0.00041,-0.00034,2E-05,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,
5,2025-05-16,14:06:27.26,2,1,"Parson, Grant",1000280840,Right,IND_SYC,"Smith, Noah",691796,Right,ILL_RED,Undefined,1,Top,1,0,0,Undefined,Four-Seam,InPlay,Undefined,FlyBall,Double,0,0,,89.09959,-2.156475,-3.783299,2192.187006,211.87442,1:00,5.88482,2.4379,6.28418,-18.56229,16.18332,9.37926,2.34521,-0.27238,81.6004,-5.681529,-2.092473,0.42425,94.91396,27.684815,9.411274,3612.31173,107.57747,51.07302,22.95558,364.96152,364.96152,17.732033,4.622548,-5.95524,9.35756,-2.16326,50,5.7164,8.17998,-129.21815,-5.40127,-10.07971,26.65748,-16.33568,IND_SYC,ILL_RED,IndianaState,D1,MVC,20250516-IndianaState-1,7bcb7760-3280-11f0-a74a-d59022cc5093,88.84498,69.66543,,7.49919,,,,2.65089,2.49374,0.24091,ba35b544-28dc-488d-8352-55ce9379a0ca,2025-05-16,18:06:27.26,2025-05-16T14:06:27.2688640-04:00,2025-05-16T18:06:27.2688640Z,FlyBall,v3,471319,471316,16 May 2025 18:30-illinoisst@indianast,"Nevils, Alex",1000107388,Right,IND_SYC,368fa507-6bdb-4ce8-98c8-a2436bf007e2,54.21553,-130.0849,13.32874,5.88339,-4.87013,-8.16784,-2.43456,8.50772,-5.03986,214.663358,2.65218,121.58443,-21.14639,4.58895,-0.84279,0.13824,-0.02601,0.00419,-0.00029,2.49463,64.65057,-16.99943,0.60573,0.21933,-0.17493,0.05809,-0.00896,0.00052,0.24143,20.14594,3.60941,-1.58303,0.46863,-0.11284,0.02117,-0.00245,0.00012,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
6,2025-05-16,14:07:10.38,3,1,"Parson, Grant",1000280840,Right,IND_SYC,"Pacella, Daniel",1000187768,Left,ILL_RED,Undefined,1,Top,1,0,0,Undefined,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,89.69279,-3.4997,-4.444282,2249.640157,206.820959,1:00,5.7856,2.63218,6.7893,-16.30611,17.67753,8.35122,1.21855,-0.73685,81.67149,-6.647391,-2.926583,0.419572,,,,,,,,,,,,-5.76914,10.77024,-2.34614,50,5.55112,9.78487,-129.83876,-8.35089,-9.78403,28.84129,-13.90859,IND_SYC,ILL_RED,IndianaState,D1,MVC,20250516-IndianaState-1,95639720-3280-11f0-a74a-d59022cc5093,89.8355,,,8.0213,,,,,,,ba35b544-28dc-488d-8352-55ce9379a0ca,2025-05-16,18:07:10.38,2025-05-16T14:07:10.3879168-04:00,2025-05-16T18:07:10.3879168Z,,v3,471319,471316,16 May 2025 18:30-illinoisst@indianast,"Nevils, Alex",1000107388,Right,IND_SYC,09e1601a-2766-43aa-8926-df70c0dd9cf0,53.70949,-130.66016,14.42064,5.78331,-7.95477,-6.95429,-2.62878,10.06352,-4.89201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2025-05-16,14:07:30.02,3,2,"Parson, Grant",1000280840,Right,IND_SYC,"Pacella, Daniel",1000187768,Left,ILL_RED,Undefined,1,Top,1,1,0,Undefined,Changeup,InPlay,Undefined,FlyBall,Out,1,0,,81.67559,-0.428325,-4.908045,2272.724457,239.521088,2:00,5.55878,3.2696,6.41444,-30.11781,11.19922,16.74013,2.65372,0.1413,74.57837,-6.092273,-1.887777,0.462632,89.39457,47.559761,20.095846,4032.291057,104.02198,106.77478,35.76909,303.9478,303.9478,17.683001,5.792456,-10.20327,6.35949,-2.92577,50,5.51425,9.57483,-118.36545,-1.7222,-14.44379,23.05263,-23.17155,IND_SYC,ILL_RED,IndianaState,D1,MVC,20250516-IndianaState-1,a12e1580-3280-11f0-a74a-d59022cc5093,81.47386,126.8916,,7.09722,,,,2.8852,2.79358,-0.20772,ba35b544-28dc-488d-8352-55ce9379a0ca,2025-05-16,18:07:30.02,2025-05-16T14:07:30.0288000-04:00,2025-05-16T18:07:30.0288000Z,FlyBall,v3,471319,471316,16 May 2025 18:30-illinoisst@indianast,"Nevils, Alex",1000107388,Right,IND_SYC,6a957702-52bd-403b-928b-b36da4b6443f,54.08564,-119.1585,11.52632,5.55978,-0.92505,-11.58577,-3.26371,10.07172,-7.22189,179.201178,2.89433,82.9092,-18.87087,4.92534,-0.51931,-0.12192,0.05365,-0.00747,0.00037,2.77511,97.06762,-23.25727,2.89566,-0.92949,0.25089,-0.03705,0.00217,-1E-05,-0.20196,30.2912,-6.98435,1.37389,0.06507,-0.12905,0.03543,-0.00426,0.00019,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,
8,2025-05-16,14:08:09.82,4,1,"Parson, Grant",1000280840,Right,IND_SYC,"Morris, Judah",1000187771,Right,ILL_RED,Undefined,1,Top,2,0,0,Undefined,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,90.2639,-4.834029,-2.238834,2268.376638,219.126928,1:15,5.83981,2.84355,6.71027,-16.03847,17.59147,13.36946,0.07013,1.9099,82.3184,-7.913797,0.197852,0.417383,,,,,,,,,,,,-7.83059,11.13308,-2.7003,50,5.51206,4.62427,-130.75099,-11.46215,-13.45397,29.502,-13.04603,IND_SYC,ILL_RED,IndianaState,D1,MVC,20250516-IndianaState-1,b8e34470-3280-11f0-a74a-d59022cc5093,90.30668,,,7.94549,,,,,,,ba35b544-28dc-488d-8352-55ce9379a0ca,2025-05-16,18:08:09.82,2025-05-16T14:08:09.8200576-04:00,2025-05-16T18:08:09.8200576Z,,v3,471319,471316,16 May 2025 18:30-illinoisst@indianast,"Nevils, Alex",1000107388,Right,IND_SYC,f05cb8d4-7265-47ff-a385-ba6289add1d9,53.79003,-131.60338,14.751,5.83778,-11.08522,-6.52302,-2.83952,5.01299,-6.72698,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2025-05-16,14:08:59.30,4,2,"Parson, Grant",1000280840,Right,IND_SYC,"Morris, Judah",1000187771,Right,ILL_RED,Undefined,1,Top,2,1,0,Undefined,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,90.5996,-2.905333,-2.488934,2223.092347,209.504105,1:00,5.96473,2.84007,6.19992,-14.12784,19.84277,10.56288,2.10066,1.42133,82.23818,-5.641403,-0.584075,0.419491,99.73121,50.133208,-57.585608,2427.346778,,,,,101.90473,,,-6.28044,11.54694,-2.6583,50,5.73894,5.28492,-131.35807,-7.03669,-10.87876,30.06619,-12.17281,IND_SYC,ILL_RED,IndianaState,D1,MVC,20250516-IndianaState-1,d659fdf0-3280-11f0-a74a-d59022cc5093,89.85271,110.14301,,8.36142,,,,2.6479,2.42067,-1.4253,ba35b544-28dc-488d-8352-55ce9379a0ca,2025-05-16,18:08:59.30,2025-05-16T14:08:59.3046528-04:00,2025-05-16T18:08:59.3046528Z,,v3,471319,471316,16 May 2025 18:30-illinoisst@indianast,"Nevils, Alex",1000107388,Right,IND_SYC,8a46d235-87b7-4749-95a2-3467d46e0c58,54.29921,-132.33844,15.0331,5.96192,-6.63977,-6.0864,-2.83641,5.63965,-5.43938,,2.64791,50.25848,-16.25828,4.50795,-0.96289,0.09591,-0.0574,0.09768,-0.03427,2.42066,112.26993,-26.73677,3.40674,-0.81725,0.25868,-0.04398,-0.03685,0.01655,-1.4253,-79.15241,12.38163,-2.8961,0.61657,-0.12388,0.03543,-0.0203,0.00582,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Medium,Undefined,,,
10,2025-05-16,14:09:46.35,4,3,"Parson, Grant",1000280840,Right,IND_SYC,"Morris, Judah",1000187771,Right,ILL_RED,Undefined,1,Top,2,1,1,Undefined,Four-Seam,InPlay,Undefined,FlyBall,HomeRun,0,2,,88.90448,-2.208684,-3.330553,2216.952656,200.629476,12:45,5.98578,2.87142,6.53045,-16.35186,18.87623,6.6063,2.5926,0.36327,79.8687,-5.394081,-2.133511,0.427185,106.63233,30.028733,-22.549654,2523.583116,101.40454,58.34895,-42.62729,430.98781,425.42326,-25.109187,5.243356,-4.61095,11.04623,-2.64276,50,5.82506,7.24151,-128.79562,-5.3674,-7.58835,31.80121,-13.995,IND_SYC,ILL_RED,IndianaState,D1,MVC,20250516-IndianaState-1,f2691120-3280-11f0-a74a-d59022cc5093,88.23449,93.39487,,9.03579,,,,3.06753,2.69674,-0.37682,ba35b544-28dc-488d-8352-55ce9379a0ca,2025-05-16,18:09:46.35,2025-05-16T14:09:46.3593472-04:00,2025-05-16T18:09:46.3593472Z,FlyBall,v3,471319,471316,16 May 2025 18:30-illinoisst@indianast,"Nevils, Alex",1000107388,Right,IND_SYC,606822f9-21de-4f62-8d80-48706cf7aa7d,53.96667,-129.77135,15.90061,5.98315,-4.93801,-6.9975,-2.86852,7.47433,-3.79417,167.504148,3.0691,125.01412,-21.97137,4.82421,-0.90258,0.15241,-0.02429,0.00282,-0.00015,2.69714,78.26545,-20.36688,2.38193,-0.56645,0.08501,-0.00283,-0.00078,7E-05,-0.37698,-51.92427,7.07252,-1.61689,0.38006,-0.08781,0.01661,-0.00193,0.0001,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,
