PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-05-16,13:02:52.58,1,1,"Biven, Tucker",702712,Right,LOU_CAR,"Scannell, Matt",814411,Left,WAK_DEA,Undefined,1,Top,0,0,0,Sinker,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,92.65198,-3.039941,-4.682673,2149.201661,255.134315,2:30,5.79175,3.1344,5.33848,-27.56025,6.30197,19.15159,0.63093,0.32756,83.93311,-8.098225,-1.289455,0.418822,,,,,,,,,,,,-11.11363,4.44918,-2.72559,50,5.49675,10.06545,-133.77501,-8.19206,-19.90351,32.01279,-24.20597,LOU_CAR,WAK_DEA,JimPatterson,D1,ACC,20250516-JimPatterson-1,9b0a35c0-3277-11f0-8242-db5959f1b788,89.99642,,,8.71887,,,,,,,bd72a36a-6f6f-4613-83c7-997a62716edd,2025-05-16,17:02:52.58,2025-05-16T13:02:52.5895168-04:00,2025-05-16T17:02:52.5895168Z,,v3,471341,471484,16 May 2025 18:00-wake@louisville,"Baker, George",702989,Right,LOU_CAR,ef251fd2-71f2-48df-9a41-1a89ad6cea69,55.16072,-135.00434,16.00639,5.79349,-7.26252,-12.10299,-3.12679,10.82977,-9.95176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2025-05-16,13:03:05.39,1,2,"Biven, Tucker",702712,Right,LOU_CAR,"Scannell, Matt",814411,Left,WAK_DEA,Undefined,1,Top,0,1,0,Sinker,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,92.64483,-2.374489,-4.229362,2183.707812,261.647157,2:45,5.85867,3.21191,4.90894,-30.22758,4.12937,19.72418,1.08688,0.84887,83.89032,-7.869324,-0.758599,0.42187,,,,,,,,,,,,-11.04741,3.13445,-2.81542,50,5.60087,8.91923,-133.8104,-6.82561,-19.80028,31.9635,-26.55614,LOU_CAR,WAK_DEA,JimPatterson,D1,ACC,20250516-JimPatterson-1,a2b98690-3277-11f0-8242-db5959f1b788,89.34608,,,8.75451,,,,,,,bd72a36a-6f6f-4613-83c7-997a62716edd,2025-05-16,17:03:05.39,2025-05-16T13:03:05.3968384-04:00,2025-05-16T17:03:05.3968384Z,,v3,471341,471484,16 May 2025 18:00-wake@louisville,"Baker, George",702989,Right,LOU_CAR,21b70fb8-e478-42d5-8355-7b61fbd3af73,55.58952,-135.13899,15.98175,5.86164,-5.72178,-13.27807,-3.20326,9.74223,-9.90014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2025-05-16,13:03:18.72,1,3,"Biven, Tucker",702712,Right,LOU_CAR,"Scannell, Matt",814411,Left,WAK_DEA,Undefined,1,Top,0,2,0,Sinker,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,,92.62221,-0.74835,-4.332989,2147.867287,263.34343,2:45,5.87589,3.25535,5.51705,-29.8908,3.53729,20.39718,2.68322,0.89593,83.96043,-6.25272,-0.706569,0.416128,,,,,,,,,,,,-11.50383,2.38354,-2.89096,50,5.79077,9.19119,-134.04128,-2.91558,-20.76253,31.13168,-27.87215,LOU_CAR,WAK_DEA,JimPatterson,D1,ACC,20250516-JimPatterson-1,aa88bb70-3277-11f0-8242-db5959f1b788,90.57891,,,8.66178,,,,,,,bd72a36a-6f6f-4613-83c7-997a62716edd,2025-05-16,17:03:18.72,2025-05-16T13:03:18.7205632-04:00,2025-05-16T17:03:18.7205632Z,,v3,471341,471484,16 May 2025 18:00-wake@louisville,"Baker, George",702989,Right,LOU_CAR,eabaec82-2990-4eb5-8b30-5d471e0363a5,54.98112,-135.19321,15.56584,5.87957,-1.88425,-13.93608,-3.24527,9.95945,-10.38126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2025-05-16,13:03:32.04,1,4,"Biven, Tucker",702712,Right,LOU_CAR,"Scannell, Matt",814411,Left,WAK_DEA,Undefined,1,Top,0,2,1,Curveball,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,79.87629,0.914809,-3.694346,2654.54684,70.2895,8:15,5.89705,3.09118,5.27149,-49.21731,-3.24024,-13.77465,2.65677,-1.53165,72.06351,-8.044676,-6.128347,0.488025,,,,,,,,,,,,5.57229,-1.40158,-2.74278,50,5.94511,8.02848,-115.45479,0.10213,7.34587,26.17005,-34.02175,LOU_CAR,WAK_DEA,JimPatterson,D1,ACC,20250516-JimPatterson-1,b29bb010-3277-11f0-8242-db5959f1b788,77.23465,,,7.81277,,,,,,,bd72a36a-6f6f-4613-83c7-997a62716edd,2025-05-16,17:03:32.04,2025-05-16T13:03:32.0437248-04:00,2025-05-16T17:03:32.0437248Z,,v3,471341,471484,16 May 2025 18:00-wake@louisville,"Baker, George",702989,Right,LOU_CAR,f895c398-feb2-4f20-ab33-de2719ebfffa,55.22529,-116.63319,13.08503,5.90602,1.63408,-17.01087,-3.09685,7.69771,3.67294,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2025-05-16,13:03:47.73,1,5,"Biven, Tucker",702712,Right,LOU_CAR,"Scannell, Matt",814411,Left,WAK_DEA,Undefined,1,Top,0,3,1,Sinker,Sinker,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,92.46644,-1.324833,-4.582262,2231.029531,262.143905,2:45,5.864,3.20092,5.61699,-29.211,4.05941,21.44123,2.18912,0.70202,84.29402,-6.702831,-0.764024,0.415146,,,,,,,,,,,,-12.22241,2.74941,-2.8234,50,5.73169,9.76615,-133.87735,-4.20684,-22.1099,29.78626,-27.20048,LOU_CAR,WAK_DEA,JimPatterson,D1,ACC,20250516-JimPatterson-1,bbed6640-3277-11f0-8242-db5959f1b788,90.79328,,,8.17242,,,,,,,bd72a36a-6f6f-4613-83c7-997a62716edd,2025-05-16,17:03:47.73,2025-05-16T13:03:47.7331968-04:00,2025-05-16T17:03:47.7331968Z,,v3,471341,471484,16 May 2025 18:00-wake@louisville,"Baker, George",702989,Right,LOU_CAR,f3589791-a7e4-4372-94b0-e4651e4e6de5,54.88379,-134.95957,14.89313,5.86658,-3.21857,-13.60024,-3.19283,10.56946,-11.05495,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2025-05-16,13:04:09.69,1,6,"Biven, Tucker",702712,Right,LOU_CAR,"Scannell, Matt",814411,Left,WAK_DEA,Undefined,1,Top,0,3,2,Sinker,Sinker,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,93.03274,-1.251216,-3.705685,2183.524527,264.337267,2:45,5.77123,3.37361,5.33854,-30.5073,2.77217,16.56186,2.0525,1.27246,84.58387,-6.836403,-0.767173,0.415202,,,,,,,,,,,,-9.4789,2.06248,-3.0515,50,5.63616,7.95651,-134.72026,-4.15857,-17.29279,31.273,-28.41134,LOU_CAR,WAK_DEA,JimPatterson,D1,ACC,20250516-JimPatterson-1,c8fd8400-3277-11f0-8242-db5959f1b788,90.78094,,,8.44887,,,,,,,bd72a36a-6f6f-4613-83c7-997a62716edd,2025-05-16,17:04:09.69,2025-05-16T13:04:09.6976384-04:00,2025-05-16T17:04:09.6976384Z,,v3,471341,471484,16 May 2025 18:00-wake@louisville,"Baker, George",702989,Right,LOU_CAR,14c2275c-a125-42da-9819-a9e5b2dcd754,55.16153,-135.91313,15.6365,5.77412,-3.07485,-14.20567,-3.36757,8.61613,-8.64639,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2025-05-16,13:04:31.93,1,7,"Biven, Tucker",702712,Right,LOU_CAR,"Scannell, Matt",814411,Left,WAK_DEA,Undefined,1,Top,0,3,2,Fastball,Four-Seam,InPlay,Undefined,FlyBall,Out,1,0,,93.94225,-1.266068,-3.995893,2314.682239,213.214911,1:00,5.99638,2.6845,5.89157,-11.89615,20.29513,12.52292,3.82646,0.01192,84.5066,-3.601111,-1.756545,0.408357,96.71102,39.995985,32.385017,3612.727406,90.08283,88.264,63.12685,352.40493,168.92904,41.171813,5.871757,-7.71311,11.14331,-2.36951,50,5.88759,8.9417,-135.98083,-3.31583,-14.23662,33.77271,-11.60602,LOU_CAR,WAK_DEA,JimPatterson,D1,ACC,20250516-JimPatterson-1,d643a5e0-3277-11f0-8242-db5959f1b788,92.30258,122.52101,,9.43565,,,,1.94356,4.14482,-0.181,bd72a36a-6f6f-4613-83c7-997a62716edd,2025-05-16,17:04:31.93,2025-05-16T13:04:31.9366656-04:00,2025-05-16T17:04:31.9366656Z,FlyBall,v3,471341,471484,16 May 2025 18:00-wake@louisville,"Baker, George",702989,Right,LOU_CAR,0490563d-c746-4eb0-b3ee-92374203ac99,54.6063,-137.1201,16.88636,5.99284,-2.92432,-5.80301,-2.67924,9.42195,-7.11831,201.085217,1.95198,91.61202,-21.97923,5.16381,-0.78322,0.04531,0.0065,-0.00122,6E-05,4.13997,91.23772,-20.70916,1.67068,-0.2176,-0.00738,0.0113,-0.00193,0.0001,-0.17826,58.15358,-7.1945,1.23557,-0.08624,-0.02137,0.00643,-0.00065,2E-05,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Low,,,
8,2025-05-16,13:05:09.14,2,1,"Biven, Tucker",702712,Right,LOU_CAR,"Houston, Marek",701339,Right,WAK_DEA,Undefined,1,Top,1,0,0,Sinker,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,,93.11506,-2.105257,-4.468571,2192.029141,259.547479,2:45,5.91155,3.0321,5.76098,-28.03127,4.82933,19.92371,1.60925,0.52476,84.44212,-7.289659,-0.909577,0.412581,,,,,,,,,,,,-11.52229,3.44378,-2.67354,50,5.71964,9.6295,-134.70375,-6.00117,-20.95883,32.00032,-25.90986,LOU_CAR,WAK_DEA,JimPatterson,D1,ACC,20250516-JimPatterson-1,ec740990-3277-11f0-8242-db5959f1b788,91.35767,,,8.67293,,,,,,,bd72a36a-6f6f-4613-83c7-997a62716edd,2025-05-16,17:05:09.14,2025-05-16T13:05:09.1468800-04:00,2025-05-16T17:05:09.1468800Z,,v3,471341,471484,16 May 2025 18:00-wake@louisville,"Baker, George",702989,Right,LOU_CAR,1b5703f9-3c1d-4853-8662-ddf57c0b7b83,54.73824,-135.82471,16.00016,5.91396,-5.09356,-12.95493,-3.02371,10.36367,-10.47941,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2025-05-16,13:05:23.81,2,2,"Biven, Tucker",702712,Right,LOU_CAR,"Houston, Marek",701339,Right,WAK_DEA,Undefined,1,Top,1,0,1,Sinker,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,93.78664,-2.463604,-5.619585,2210.490844,247.699492,2:15,5.89247,3.13309,5.55572,-24.27458,8.46052,17.81686,1.55518,-0.64972,85.00941,-6.958502,-2.460462,0.411792,,,,,,,,,,,,-10.71245,5.35429,-2.65813,50,5.66257,12.49297,-135.35821,-6.75269,-19.71214,31.8012,-22.32151,LOU_CAR,WAK_DEA,JimPatterson,D1,ACC,20250516-JimPatterson-1,f53343c0-3277-11f0-8242-db5959f1b788,91.53267,,,8.77723,,,,,,,bd72a36a-6f6f-4613-83c7-997a62716edd,2025-05-16,17:05:23.81,2025-05-16T13:05:23.8128640-04:00,2025-05-16T17:05:23.8128640Z,,v3,471341,471484,16 May 2025 18:00-wake@louisville,"Baker, George",702989,Right,LOU_CAR,465d9135-e7dc-4fca-b4ef-ceec26211bbd,54.9431,-136.5146,15.9006,5.89336,-5.94101,-11.16075,-3.12545,13.20976,-9.85607,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2025-05-16,13:05:37.84,2,3,"Biven, Tucker",702712,Right,LOU_CAR,"Houston, Marek",701339,Right,WAK_DEA,Undefined,1,Top,1,1,1,Slider,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,87.06663,0.796024,-3.842162,2408.432825,164.836425,11:30,6.03174,2.90801,5.02954,-32.46254,5.97154,-1.27421,4.07935,-0.82882,79.15567,-5.133235,-4.06625,0.4462,,,,,,,,,,,,-0.49862,3.11886,-2.53912,50,6.08231,8.51772,-125.9501,0.50569,-0.79682,26.81258,-27.18995,LOU_CAR,WAK_DEA,JimPatterson,D1,ACC,20250516-JimPatterson-1,fd79cb80-3277-11f0-8242-db5959f1b788,84.4743,,,7.91096,,,,,,,bd72a36a-6f6f-4613-83c7-997a62716edd,2025-05-16,17:05:37.84,2025-05-16T13:05:37.8488832-04:00,2025-05-16T17:05:37.8488832Z,,v3,471341,471484,16 May 2025 18:00-wake@louisville,"Baker, George",702989,Right,LOU_CAR,e23f1ca5-fbbd-48c3-8438-2c09a52b4082,55.46683,-127.10856,13.40629,6.03508,1.68046,-13.59497,-2.90788,8.55215,-0.39841,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
