PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-05-16,18:05:05.30,1,1,"Sandefer, Russell",824531,Right,UCF_KNI,"Apodaca, Enzo",801622,Left,BAY_BEA,Undefined,1,Top,0,0,0,Sinker,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,93.58452,-1.538545,-3.810589,2349.017374,249.780038,2:15,5.72604,3.37148,5.89593,-24.94053,7.3704,16.93643,2.21578,1.23991,84.74534,-6.190713,-0.776141,0.409116,,,,,,,,,,,,-9.76371,4.59331,-3.07382,50,5.58786,8.25277,-135.51835,-4.53544,-17.97548,32.38344,-23.71751,UCF_KNI,BAY_BEA,JohnEulianoPark,D1,BIG12,20250516-JohnEulianoPark-1,d4b301b0-32a1-11f0-9af7-f5f8a93fad8f,92.13151,,,8.83918,,,,,,,a95f3b91-a737-4c93-b219-504bf978ad28,2025-05-16,22:05:05.30,2025-05-16T18:05:05.3076480-04:00,2025-05-16T22:05:05.3076480Z,,v3,471267,3033,15 May 2025 18:30-baylor@ucf,"King, Dylan",695732,Right,UCF_KNI,d9206eb3-260c-4372-8544-c140ab5efd00,54.60005,-136.61315,16.19172,5.72763,-3.73361,-11.85876,-3.36309,8.86048,-8.98774,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2025-05-16,18:05:21.50,1,2,"Sandefer, Russell",824531,Right,UCF_KNI,"Apodaca, Enzo",801622,Left,BAY_BEA,Undefined,1,Top,0,1,0,Sinker,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,,92.62571,-0.982629,-4.979424,2288.619904,244.316282,2:15,5.62206,3.33705,5.82889,-25.36805,7.91587,13.9432,2.59109,-0.14138,83.46351,-5.718489,-2.492297,0.41523,,,,,,,,,,,,-8.64497,4.71528,-2.93763,50,5.52682,11.02736,-133.86691,-3.20097,-15.47209,32.59829,-23.73498,UCF_KNI,BAY_BEA,JohnEulianoPark,D1,BIG12,20250516-JohnEulianoPark-1,de55be10-32a1-11f0-9af7-f5f8a93fad8f,90.77488,,,9.1622,,,,,,,a95f3b91-a737-4c93-b219-504bf978ad28,2025-05-16,22:05:21.50,2025-05-16T18:05:21.5016448-04:00,2025-05-16T22:05:21.5016448Z,,v3,471267,3033,15 May 2025 18:30-baylor@ucf,"King, Dylan",695732,Right,UCF_KNI,396e1bfe-383a-4987-a18c-c2177f1761eb,54.66614,-134.99839,16.29915,5.62363,-2.37714,-11.86749,-3.32971,11.5644,-7.73604,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2025-05-16,18:05:38.11,1,3,"Sandefer, Russell",824531,Right,UCF_KNI,"Apodaca, Enzo",801622,Left,BAY_BEA,Undefined,1,Top,0,1,1,Cutter,Cutter,BallCalled,Undefined,Undefined,Undefined,0,0,,90.13259,-0.235177,-4.541977,2533.003583,189.924258,12:15,5.58439,3.37758,5.86877,-26.55238,8.13737,1.22807,3.15256,-0.74782,82.20204,-5.16765,-4.322879,0.423908,,,,,,,,,,,,-1.92484,4.58051,-3.00993,50,5.55003,10.31258,-130.49142,-1.44991,-3.30981,28.16276,-24.29775,UCF_KNI,BAY_BEA,JohnEulianoPark,D1,BIG12,20250516-JohnEulianoPark-1,e82556d0-32a1-11f0-9af7-f5f8a93fad8f,88.91649,,,7.93055,,,,,,,a95f3b91-a737-4c93-b219-504bf978ad28,2025-05-16,22:05:38.11,2025-05-16T18:05:38.1191680-04:00,2025-05-16T22:05:38.1191680Z,,v3,471267,3033,15 May 2025 18:30-baylor@ucf,"King, Dylan",695732,Right,UCF_KNI,cd6f591e-ff9a-44c2-894b-bc95f62d33a9,54.62678,-131.48619,14.08138,5.58608,-0.59167,-12.14887,-3.37626,10.42949,-1.6549,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2025-05-16,18:05:56.37,1,4,"Sandefer, Russell",824531,Right,UCF_KNI,"Apodaca, Enzo",801622,Left,BAY_BEA,Undefined,1,Top,0,2,1,Sinker,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,94.21273,-1.618317,-6.015389,2348.855606,252.029866,2:30,5.6389,3.21385,6.10438,-24.91694,6.66666,17.32863,2.05726,-0.92537,85.83376,-6.26129,-2.915469,0.404485,,,,,,,,,,,,-10.64473,4.21551,-2.75899,50,5.50082,13.59357,-136.15501,-4.73175,-19.93694,30.52488,-24.27861,UCF_KNI,BAY_BEA,JohnEulianoPark,D1,BIG12,20250516-JohnEulianoPark-1,f31860f0-32a1-11f0-9af7-f5f8a93fad8f,93.18627,,,8.37897,,,,,,,a95f3b91-a737-4c93-b219-504bf978ad28,2025-05-16,22:05:56.37,2025-05-16T18:05:56.3704832-04:00,2025-05-16T22:05:56.3704832Z,,v3,471267,3033,15 May 2025 18:30-baylor@ucf,"King, Dylan",695732,Right,UCF_KNI,c3b91641-1c9c-445f-992b-972c167be767,54.39407,-137.13659,15.26244,5.64043,-3.95103,-12.1393,-3.20642,14.23468,-9.96847,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2025-05-16,18:06:15.95,1,5,"Sandefer, Russell",824531,Right,UCF_KNI,"Apodaca, Enzo",801622,Left,BAY_BEA,Undefined,1,Top,0,3,1,Sinker,Sinker,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,94.52996,-0.67421,-5.685218,2341.682032,243.92962,2:15,5.58482,3.29313,5.90755,-23.00911,8.56095,15.36359,3.03848,-0.72091,85.96793,-4.967248,-2.946436,0.404398,56.10934,60.599154,-125.975893,4686.397564,,,,,33.1725,,,-9.49209,4.88477,-2.84423,50,5.51733,12.91946,-136.67842,-2.42658,-17.91006,30.83873,-22.9573,UCF_KNI,BAY_BEA,JohnEulianoPark,D1,BIG12,20250516-JohnEulianoPark-1,fec06330-32a1-11f0-9af7-f5f8a93fad8f,93.20629,47.36567,,8.56203,,,,-0.14358,3.31383,0.68266,a95f3b91-a737-4c93-b219-504bf978ad28,2025-05-16,22:06:15.95,2025-05-16T18:06:15.9592448-04:00,2025-05-16T22:06:15.9592448Z,,v3,471267,3033,15 May 2025 18:30-baylor@ucf,"King, Dylan",695732,Right,UCF_KNI,c6002e6d-0b9b-41ba-a448-4c31c482e9d0,54.59047,-137.71027,15.41936,5.58567,-1.65844,-11.47865,-3.28654,13.51872,-8.95503,21.469777,-0.14358,-23.73206,-3.05855,1.49629,-0.8543,1.46287,-2.14993,1.68783,-0.52599,3.31383,71.69487,-25.20901,2.75611,-0.82966,0.88703,-1.23756,0.95882,-0.29567,0.68266,-32.69369,3.00692,-0.32687,0.00543,0.04931,-0.07317,0.06065,-0.01997,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Undefined,,,
6,2025-05-16,18:06:39.42,1,6,"Sandefer, Russell",824531,Right,UCF_KNI,"Apodaca, Enzo",801622,Left,BAY_BEA,Undefined,1,Top,0,3,2,Sinker,Sinker,BallCalled,Walk,Undefined,Undefined,0,0,,94.96392,0.897878,-4.865674,2463.013783,241.407949,2:00,5.66729,3.34138,5.79383,-19.69922,11.3504,19.11847,4.86396,0.39776,86.93728,-2.785621,-1.457862,0.401051,,,,,,,,,,,,-10.91733,5.83489,-2.95149,50,5.72955,10.82499,-137.58166,1.47695,-21.08725,28.3158,-20.90379,UCF_KNI,BAY_BEA,JohnEulianoPark,D1,BIG12,20250516-JohnEulianoPark-1,0ca13e70-32a2-11f0-9af7-f5f8a93fad8f,93.9842,,,8.02664,,,,,,,a95f3b91-a737-4c93-b219-504bf978ad28,2025-05-16,22:06:39.42,2025-05-16T18:06:39.4231808-04:00,2025-05-16T22:06:39.4231808Z,,v3,471267,3033,15 May 2025 18:30-baylor@ucf,"King, Dylan",695732,Right,UCF_KNI,0e1c610b-dc88-4a81-9384-1f1cef2d0a43,54.7046,-138.54653,14.1579,5.66709,2.18925,-10.45189,-3.3326,11.54355,-10.54363,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2025-05-16,18:07:20.71,2,1,"Sandefer, Russell",824531,Right,UCF_KNI,"Sanders, Travis",702533,Right,BAY_BEA,Undefined,1,Top,0,0,0,Slider,Slider,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,84.42403,-0.32123,-3.758508,2527.267729,76.562278,8:30,5.29137,3.55877,5.80122,-39.50443,-0.42658,-6.29784,1.69993,-0.46665,78.38972,-7.530026,-4.883348,0.449922,,,,,,,,,,,,2.29732,0.14528,-3.24582,50,5.24093,8.29563,-122.55986,-2.03492,3.52547,22.19878,-31.95108,UCF_KNI,BAY_BEA,JohnEulianoPark,D1,BIG12,20250516-JohnEulianoPark-1,25693cf0-32a2-11f0-9af7-f5f8a93fad8f,83.77555,,,6.0343,,,,,,,a95f3b91-a737-4c93-b219-504bf978ad28,2025-05-16,22:07:20.71,2025-05-16T18:07:20.7196672-04:00,2025-05-16T22:07:20.7196672Z,,v3,471267,3033,15 May 2025 18:30-baylor@ucf,"King, Dylan",695732,Right,UCF_KNI,13182814-c795-4923-9d37-7cd272ff2c01,54.69945,-123.40812,11.09939,5.29536,-0.81401,-15.97554,-3.56024,8.16092,1.76273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2025-05-16,18:07:47.57,2,2,"Sandefer, Russell",824531,Right,UCF_KNI,"Sanders, Travis",702533,Right,BAY_BEA,Undefined,1,Top,0,0,1,Slider,Slider,InPlay,Undefined,GroundBall,Out,2,0,,84.13093,0.371597,-3.729852,2528.735591,79.542954,8:45,5.37464,3.49291,5.77696,-39.32565,0.32177,-4.6667,2.444,-0.3714,77.46117,-6.834063,-4.562724,0.453188,86.51673,-22.193259,-35.348382,,,,,7.69673,4.64623,-23.296811,0.051322,1.38173,0.37906,-3.18173,50,5.38137,8.13937,-122.04138,-0.54472,2.08807,23.57097,-31.6012,UCF_KNI,BAY_BEA,JohnEulianoPark,D1,BIG12,20250516-JohnEulianoPark-1,355ea050-32a2-11f0-9af7-f5f8a93fad8f,83.17167,2.46548,,6.66976,,,,2.13982,2.46548,0.45243,a95f3b91-a737-4c93-b219-504bf978ad28,2025-05-16,22:07:47.57,2025-05-16T18:07:47.5752960-04:00,2025-05-16T22:07:47.5752960Z,GroundBall,v3,471267,3033,15 May 2025 18:30-baylor@ucf,"King, Dylan",695732,Right,UCF_KNI,b4abe62f-7231-449c-8dfd-2e2e1e493361,54.72259,-122.95011,11.78549,5.37888,0.6736,-15.8006,-3.49398,8.05887,1.04404,180,2.13803,96.04865,,,,,,,,2.46638,-48.0397,,,,,,,,0.45371,-68.12808,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Low,Low,,,
9,2025-05-16,18:08:32.65,3,1,"Sandefer, Russell",824531,Right,UCF_KNI,"Kemp, Ty",1000227547,Left,BAY_BEA,Undefined,1,Top,2,0,0,Sinker,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,93.55181,-0.303179,-3.548113,2348.593748,244.615013,2:15,5.64968,3.3811,6.14336,-23.17639,8.40327,15.66091,3.43761,1.40327,85.65049,-4.642002,-0.729695,0.40446,,,,,,,,,,,,-9.00839,4.72744,-3.11829,50,5.61459,7.74112,-135.79302,-1.50197,-16.87385,28.85402,-23.31893,UCF_KNI,BAY_BEA,JohnEulianoPark,D1,BIG12,20250516-JohnEulianoPark-1,503dbf00-32a2-11f0-9af7-f5f8a93fad8f,93.19207,,,7.90132,,,,,,,a95f3b91-a737-4c93-b219-504bf978ad28,2025-05-16,22:08:32.65,2025-05-16T18:08:32.6503424-04:00,2025-05-16T22:08:32.6503424Z,,v3,471267,3033,15 May 2025 18:30-baylor@ucf,"King, Dylan",695732,Right,UCF_KNI,cfb925ed-e0f7-4eaa-b6af-179449518cc6,54.35472,-136.71521,14.42701,5.65069,-0.75669,-11.65947,-3.37432,8.2804,-8.43693,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2025-05-16,18:08:50.86,3,2,"Sandefer, Russell",824531,Right,UCF_KNI,"Kemp, Ty",1000227547,Left,BAY_BEA,Undefined,1,Top,2,1,0,Sinker,Sinker,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,93.16978,-2.012827,-3.835993,2430.267163,239.571732,2:00,5.60447,3.28838,6.09257,-21.74852,10.303,15.79064,1.92536,1.05082,85.19017,-6.0878,-0.997156,0.40747,81.4278,55.076692,-74.559661,3935.899149,,,,,49.58569,,,-9.26914,6.18681,-3.00094,50,5.43751,8.39259,-135.08819,-5.47744,-17.12027,29.55517,-20.74685,UCF_KNI,BAY_BEA,JohnEulianoPark,D1,BIG12,20250516-JohnEulianoPark-1,5b1048d0-32a2-11f0-9af7-f5f8a93fad8f,92.50359,62.79251,,7.97961,,,,2.37398,2.02678,-1.06791,a95f3b91-a737-4c93-b219-504bf978ad28,2025-05-16,22:08:50.86,2025-05-16T18:08:50.8602368-04:00,2025-05-16T22:08:50.8602368Z,,v3,471267,3033,15 May 2025 18:30-baylor@ucf,"King, Dylan",695732,Right,UCF_KNI,665f4c21-5c88-4daf-a469-7ecd58775653,54.40662,-136.04887,14.77758,5.60459,-4.80307,-10.37343,-3.28279,8.94908,-8.56014,,2.37398,18.20238,-3.85387,0.60846,-0.15138,0.03292,-0.00835,0.00179,-0.00023,2.02678,97.92068,-30.70342,4.35677,-1.03177,0.2444,-0.05664,0.01201,-0.00151,-1.06791,-65.90207,11.76754,-2.07775,0.49871,-0.11167,0.02745,-0.00578,0.00072,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Low,Undefined,,,
