PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-05-16,15:04:35.23,1,1,"Wells, Micah",1000142232,Right,STJ_HAW,"DePino, Anthony",1000121040,Right,RHO_RAM,Undefined,1,Top,0,0,0,Undefined,,StrikeCalled,Undefined,Undefined,Undefined,0,0,,81.63869,-0.787922,-3.876598,,,,5.01902,2.35356,,,,,1.94753,-0.70998,73.81601,-6.116882,-2.775663,0.465421,,,,,,,,,,,,-4.55036,7.81567,-2.07703,50,4.94911,7.81445,-118.34884,-2.38885,-6.34463,26.14927,-21.27651,STJ_HAW,RHO_RAM,JohnWSmithsonField,D1,A10,20250516-JohnWSmithsonField-3,a21a50a0-3288-11f0-b820-4d814531d0d9,80.98577,,,7.82268,,,,,,,0f199b03-e792-44fc-a0e9-f6963391ad24,2025-05-16,19:04:35.23,2025-05-16T15:04:35.2354304-04:00,2025-05-16T19:04:35.2354304Z,,v3,471426,471418,,"Primrose, Blake",10091373,Right,STJ_HAW,beab6976-351a-4c8a-b1f6-99e28df9a3b6,54.12032,-119.25576,13.07463,5.01916,-1.65093,-10.63825,-2.35186,8.0345,-3.17231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Low,Low,Low,,,,,
2,2025-05-16,15:04:51.67,1,2,"Wells, Micah",1000142232,Right,STJ_HAW,"DePino, Anthony",1000121040,Right,RHO_RAM,Undefined,1,Top,0,0,1,Undefined,,BallCalled,Undefined,Undefined,Undefined,0,0,,75.169,3.232328,0.391438,,,,5.21312,2.06658,,,,,1.09508,1.01623,69.71456,-12.212095,-2.6534,0.50969,,,,,,,,,,,,9.38288,-20.55485,-2.08811,50.00009,5.434,-0.20278,-109.24176,3.52378,11.3463,19.11885,-57.03008,STJ_HAW,RHO_RAM,JohnWSmithsonField,D1,A10,20250516-JohnWSmithsonField-3,abc9b730-3288-11f0-b820-4d814531d0d9,73.95165,,,5.45444,,,,,,,0f199b03-e792-44fc-a0e9-f6963391ad24,2025-05-16,19:04:51.67,2025-05-16T15:04:51.6721664-04:00,2025-05-16T19:04:51.6721664Z,,v3,471426,471418,,"Primrose, Blake",10091373,Right,STJ_HAW,563a1a6a-bc95-4f20-b2bf-47acf456f571,54.9862,-110.11094,9.55943,5.21486,6.11648,-28.51504,-2.06717,-0.71861,5.67315,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Low,Low,Low,,,,,
3,2025-05-16,15:05:08.14,1,3,"Wells, Micah",1000142232,Right,STJ_HAW,"DePino, Anthony",1000121040,Right,RHO_RAM,Undefined,1,Top,0,1,1,Undefined,,StrikeCalled,Undefined,Undefined,Undefined,0,0,,74.52475,2.374672,-0.210508,,,,5.48873,1.99531,,,,,3.21607,0.66903,67.39187,-7.513615,-2.617093,0.519926,,,,,,,,,,,,7.35095,-2.09114,-1.96557,50.00024,5.66352,0.84171,-108.07357,2.82997,8.50029,22.7472,-34.59216,STJ_HAW,RHO_RAM,JohnWSmithsonField,D1,A10,20250516-JohnWSmithsonField-3,b59446e0-3288-11f0-b820-4d814531d0d9,72.49571,,,7.13288,,,,,,,0f199b03-e792-44fc-a0e9-f6963391ad24,2025-05-16,19:05:08.14,2025-05-16T15:05:08.1403904-04:00,2025-05-16T19:05:08.1403904Z,,v3,471426,471418,,"Primrose, Blake",10091373,Right,STJ_HAW,e19386da-25a8-429d-8398-867d6a0dc121,55.16739,-109.15573,11.3736,5.48975,4.47563,-17.29608,-1.99599,0.43732,4.25015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Low,Low,Low,,,,,
4,2025-05-16,15:05:27.61,1,4,"Wells, Micah",1000142232,Right,STJ_HAW,"DePino, Anthony",1000121040,Right,RHO_RAM,Undefined,1,Top,0,1,2,Undefined,,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,78.84476,2.821057,-2.202957,,,,4.85319,2.25662,,,,,2.69054,0.11477,72.22788,-7.657699,-2.365846,0.487833,,,,,,,,,,,,-0.14465,-7.57052,-2.05935,50.00008,5.06306,4.43214,-114.40336,3.76302,-0.19063,22.1944,-42.15189,STJ_HAW,RHO_RAM,JohnWSmithsonField,D1,A10,20250516-JohnWSmithsonField-3,c1260200-3288-11f0-b820-4d814531d0d9,77.26508,,,6.61688,,,,,,,0f199b03-e792-44fc-a0e9-f6963391ad24,2025-05-16,19:05:27.61,2025-05-16T15:05:27.6104704-04:00,2025-05-16T19:05:27.6104704Z,,v3,471426,471418,,"Primrose, Blake",10091373,Right,STJ_HAW,cf3886a8-0d79-4778-bb6a-01c5052fdb3d,55.10964,-115.39036,11.0972,4.85404,5.63754,-21.07595,-2.25664,4.44062,-0.09531,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Low,Low,Low,,,,,
5,2025-05-16,15:05:59.23,1,5,"Wells, Micah",1000142232,Right,STJ_HAW,"DePino, Anthony",1000121040,Right,RHO_RAM,Undefined,1,Top,0,1,2,Undefined,,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,76.56716,0.906903,-1.550718,,,,5.58866,2.05018,,,,,3.59243,0.53788,68.7493,-5.470044,-1.673703,0.506762,,,,,,,,,,,,-0.1787,7.88654,-1.9103,50.00026,5.64645,3.0284,-111.00647,0.72989,-0.21666,25.1091,-22.61193,STJ_HAW,RHO_RAM,JohnWSmithsonField,D1,A10,20250516-JohnWSmithsonField-3,d40e1880-3288-11f0-b820-4d814531d0d9,74.37896,,,7.81787,,,,,,,0f199b03-e792-44fc-a0e9-f6963391ad24,2025-05-16,19:05:59.23,2025-05-16T15:05:59.2349184-04:00,2025-05-16T19:05:59.2349184Z,,v3,471426,471418,,"Primrose, Blake",10091373,Right,STJ_HAW,a7b18e4d-a02d-4187-9baa-d4f68ae27894,55.14554,-112.16427,12.55455,5.58875,1.77254,-11.30596,-2.05017,3.03839,-0.10833,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Low,Low,Low,,,,,
6,2025-05-16,15:07:14.20,1,6,"Wells, Micah",1000142232,Right,STJ_HAW,"DePino, Anthony",1000121040,Right,RHO_RAM,Undefined,1,Top,0,1,2,Undefined,,HitByPitch,Undefined,Undefined,Undefined,0,0,,80.58081,0.941838,-3.104351,,,,5.08583,2.23647,,,,,0.58035,-2.42737,74.61106,-10.549026,-6.706526,0.484145,,,,,,,,,,,,9.96717,-10.83127,-1.89968,50.00013,5.12174,7.12686,-116.84663,-0.47598,13.70938,23.06753,-47.07195,STJ_HAW,RHO_RAM,JohnWSmithsonField,D1,A10,20250516-JohnWSmithsonField-3,00c78730-3289-11f0-b820-4d814531d0d9,77.85367,,,5.96975,,,,,,,0f199b03-e792-44fc-a0e9-f6963391ad24,2025-05-16,19:07:14.20,2025-05-16T15:07:14.2078464-04:00,2025-05-16T19:07:14.2078464Z,,v3,471426,471418,,"Primrose, Blake",10091373,Right,STJ_HAW,d5ace697-c36b-46f4-b781-3b52bb7f839b,55.8416,-117.9942,11.53377,5.08717,1.86577,-23.53598,-2.23726,6.44484,6.85469,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Low,Low,Low,,,,,
7,2025-05-16,15:08:14.00,2,1,"Wells, Micah",1000142232,Right,STJ_HAW,"Genther, Eric",823759,Left,RHO_RAM,Undefined,1,Top,0,0,0,Undefined,,BallCalled,Undefined,Undefined,Undefined,0,0,,79.63446,0.916252,-4.482125,,,,5.1192,2.12714,,,,,2.75529,-1.69996,70.81931,-6.227327,-3.616536,0.493923,,,,,,,,,,,,-4.04166,4.3487,-1.70196,50,5.17689,8.78282,-114.76974,0.49862,-5.2374,26.87233,-26.53876,STJ_HAW,RHO_RAM,JohnWSmithsonField,D1,A10,20250516-JohnWSmithsonField-3,249b20e0-3289-11f0-b820-4d814531d0d9,76.31237,,,8.81515,,,,,,,0f199b03-e792-44fc-a0e9-f6963391ad24,2025-05-16,19:08:14.00,2025-05-16T15:08:14.0035584-04:00,2025-05-16T19:08:14.0035584Z,,v3,471426,471418,,"Primrose, Blake",10091373,Right,STJ_HAW,308a0c4d-36d1-4e5c-bc7a-79cf9faf6f2a,55.46184,-116.04153,13.43617,5.12357,1.75462,-13.26938,-2.12349,9.03069,-2.6187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Low,Low,Low,,,,,
8,2025-05-16,15:09:49.09,2,2,"Wells, Micah",1000142232,Right,STJ_HAW,"Genther, Eric",823759,Left,RHO_RAM,Undefined,1,Top,0,1,0,Undefined,,InPlay,Undefined,LineDrive,Double,0,0,,75.66109,0.708273,-2.757517,,,,5.15435,2.07722,,,,,-1.53626,-3.83485,74.61566,-14.873836,-9.949507,0.494983,,,,,,,,,,,,20.80064,-21.82493,-1.81691,50.00003,5.15532,6.56113,-110.49512,-1.32275,26.91773,11.03452,-60.41733,STJ_HAW,RHO_RAM,JohnWSmithsonField,D1,A10,20250516-JohnWSmithsonField-3,5d1549f0-3289-11f0-b820-4d814531d0d9,76.1489,,,1.04543,,,,,,,0f199b03-e792-44fc-a0e9-f6963391ad24,2025-05-16,19:09:49.09,2025-05-16T15:09:49.0973184-04:00,2025-05-16T19:09:49.0973184Z,,v3,471426,471418,,"Primrose, Blake",10091373,Right,STJ_HAW,c6f708b7-d3fb-479d-9fb7-4534fe1044cc,54.8433,-110.97773,5.51726,5.15539,1.31971,-30.20866,-2.07813,5.38384,13.45886,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Low,Low,Low,,,,,
9,2025-05-16,15:10:52.40,3,1,"Wells, Micah",1000142232,Right,STJ_HAW,"Moroney, Reece",10095269,Right,RHO_RAM,Undefined,1,Top,0,0,0,Undefined,,InPlay,Undefined,GroundBall,Single,0,1,,90.23752,-1.477272,-3.792276,,,,5.2406,2.23775,6.23045,,,,2.37962,-0.20029,82.30153,-4.896334,-1.488948,0.419765,,,,,,,,,,,,-7.87367,9.14512,-1.9611,50,5.12126,8.18679,-130.91127,-3.90326,-13.62205,28.42342,-16.35228,STJ_HAW,RHO_RAM,JohnWSmithsonField,D1,A10,20250516-JohnWSmithsonField-3,829ea9f0-3289-11f0-b820-4d814531d0d9,89.79414,,,7.93598,,,,,,,0f199b03-e792-44fc-a0e9-f6963391ad24,2025-05-16,19:10:52.40,2025-05-16T15:10:52.4041216-04:00,2025-05-16T19:10:52.4041216Z,,v3,471426,471418,,"Primrose, Blake",10091373,Right,STJ_HAW,c4ef702e-45de-4b90-a443-24d87277b36b,54.27119,-131.83537,14.21171,5.23952,-3.37162,-8.17614,-2.23447,8.62967,-6.81102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Low,Low,Low,,,,,
10,2025-05-16,15:13:37.91,4,1,"Wells, Micah",1000142232,Right,STJ_HAW,"Hopko, Jack",1000182865,Left,RHO_RAM,Undefined,1,Top,0,0,0,Undefined,,InPlay,Undefined,GroundBall,Out,1,1,,90.38246,-0.59243,-2.611794,,,,5.23088,1.82255,,,,,2.5211,-0.44616,82.52828,-5.527336,-2.368989,0.413349,,,,,,,,,,,,-1.50669,4.1302,-1.65982,50,5.18449,5.95142,-131.44397,-2.08084,-2.61804,29.63436,-24.9974,STJ_HAW,RHO_RAM,JohnWSmithsonField,D1,A10,20250516-JohnWSmithsonField-3,e56d76b0-3289-11f0-b820-4d814531d0d9,91.18782,,,7.85418,,,,,,,0f199b03-e792-44fc-a0e9-f6963391ad24,2025-05-16,19:13:37.91,2025-05-16T15:13:37.9101184-04:00,2025-05-16T19:13:37.9101184Z,,v3,471426,471418,,"Primrose, Blake",10091373,Right,STJ_HAW,9dac845c-86b1-410c-881f-93e44b73f40f,53.57375,-132.24723,14.81718,5.23171,-1.40326,-12.4987,-1.8221,6.02239,-1.30902,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Low,Low,Low,,,,,
