PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-05-16,18:02:50.71,1,1,"Mitrovich, Justin",10033488,Right,ELO_PHO,"Wills, Brock",703482,Left,UNC_SEA,Undefined,1,Top,0,0,0,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,94.94178,-1.784991,-2.003218,1889.815379,204.3321,12:45,5.95913,0.74071,5.90862,-12.78516,18.7317,7.94142,3.23531,-0.45766,85.26785,-4.277281,-0.578562,0.404057,105.3998,12.107579,40.060808,3331.780096,79.86488,15.32951,75.64103,213.31691,211.07695,47.70531,1.716714,-4.75032,10.53697,-0.5845,50,5.80871,4.45593,-137.5882,-4.63953,-8.94106,35.6821,-12.34128,ELO_PHO,UNC_SEA,LathamPark,D1,CAA,20250516-LathamPark-1,82ca39e0-32a1-11f0-8d85-c7020094cbfb,93.28489,15.33346,,9.67394,,,,2.68582,3.38736,0.63941,a0441f63-e622-45ec-9600-992dcc356cdf,2025-05-16,22:02:50.71,2025-05-16T18:02:50.7137024-04:00,2025-05-16T22:02:50.7137024Z,LineDrive,v3,471503,471373,16 May 2025 18:00-uncwilm@elon,"Duffey, Alex",824545,Right,ELO_PHO,cd309129-cc09-4642-92d3-f15752c18d4f,54.58946,-138.77332,17.84105,5.956,-4.22963,-6.17064,-0.73743,4.75289,-4.47053,,2.68581,115.68381,-26.04449,5.30433,-1.2493,0.22349,0.03509,-0.0421,0.00873,3.38736,32.42452,-24.11274,3.29836,-0.76868,0.16614,-0.00908,-0.00964,0.00238,0.63943,97.27703,-1.7031,-1.67151,0.72823,-0.25708,0.03315,0.01453,-0.00464,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Medium,Medium,,,
2,2025-05-16,18:03:20.47,1,2,"Mitrovich, Justin",10033488,Right,ELO_PHO,"Wills, Brock",703482,Left,UNC_SEA,Undefined,1,Top,0,0,1,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,94.33833,-3.429071,-1.857998,2005.170376,206.087064,12:45,5.90206,0.73429,5.88567,-12.57052,18.99733,8.78906,1.66478,-0.25924,86.03428,-5.845442,-0.28149,0.404384,,,,,,,,,,,,-5.05028,11.03764,-0.58955,50,5.61786,4.04783,-136.74684,-8.55238,-9.53635,30.93636,-11.33183,ELO_PHO,UNC_SEA,LathamPark,D1,CAA,20250516-LathamPark-1,948987d0-32a1-11f0-8d85-c7020094cbfb,93.20955,,,8.30405,,,,,,,a0441f63-e622-45ec-9600-992dcc356cdf,2025-05-16,22:03:20.47,2025-05-16T18:03:20.4761600-04:00,2025-05-16T22:03:20.4761600Z,,v3,471503,471373,16 May 2025 18:00-uncwilm@elon,"Duffey, Alex",824545,Right,ELO_PHO,80ff6cc0-9b76-4c5e-abf1-37e4469d3378,54.61415,-137.78675,15.46818,5.89895,-8.17146,-5.66592,-0.731,4.36839,-4.76817,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2025-05-16,18:03:41.50,1,3,"Mitrovich, Justin",10033488,Right,ELO_PHO,"Wills, Brock",703482,Left,UNC_SEA,Undefined,1,Top,0,0,2,Fastball,Four-Seam,InPlay,Undefined,LineDrive,HomeRun,0,1,,94.95589,-2.198482,-2.094699,1955.140251,212.90805,1:00,5.96991,0.70854,5.95977,-14.52969,16.74414,10.12048,2.71805,-0.3914,85.84666,-4.989772,-0.277067,0.402496,105.80012,28.629703,27.193484,2224.382845,94.95733,53.31213,55.52438,390.98336,345.81083,37.20067,4.536913,-5.88107,9.62087,-0.548,50,5.78726,4.58822,-137.67351,-5.71996,-11.15313,33.96061,-13.9286,ELO_PHO,UNC_SEA,LathamPark,D1,CAA,20250516-LathamPark-1,a11cad60-32a1-11f0-8d85-c7020094cbfb,93.64668,75.99859,,9.10923,,,,2.23528,2.84517,0.49652,a0441f63-e622-45ec-9600-992dcc356cdf,2025-05-16,22:03:41.50,2025-05-16T18:03:41.5007744-04:00,2025-05-16T22:03:41.5007744Z,FlyBall,v3,471503,471373,16 May 2025 18:00-uncwilm@elon,"Duffey, Alex",824545,Right,ELO_PHO,58713d93-b87c-4565-b043-0824423f1c8f,54.53945,-138.78876,16.98031,5.9676,-5.26255,-6.9643,-0.70469,4.95449,-5.57656,,2.25545,120.67744,-22.99757,2.51195,2.23037,-1.61534,0.49176,-0.07419,0.0045,2.84734,74.30267,-21.65228,1.40172,0.19637,-0.19436,0.05885,-0.00814,0.00041,0.49471,62.29816,-0.49736,-1.17164,0.05281,0.21199,-0.09767,0.01845,-0.00131,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,
4,2025-05-16,18:04:26.83,2,1,"Mitrovich, Justin",10033488,Right,ELO_PHO,"Lucas, Trevor",1000277278,Right,UNC_SEA,Undefined,1,Top,0,0,0,Slider,Slider,StrikeCalled,Undefined,Undefined,Undefined,0,0,,87.05122,-0.223492,-1.499485,2199.000337,172.4115,11:45,5.99597,0.79233,6.12446,-28.94301,7.94764,-0.89004,3.37738,-0.66834,78.93018,-5.646182,-1.659927,0.437149,,,,,,,,,,,,-0.00728,4.56776,-0.67717,50,5.96407,3.34384,-126.33842,-1.41824,-0.01167,28.28949,-24.86971,ELO_PHO,UNC_SEA,LathamPark,D1,CAA,20250516-LathamPark-1,bc080110-32a1-11f0-8d85-c7020094cbfb,86.22329,,,8.12104,,,,,,,a0441f63-e622-45ec-9600-992dcc356cdf,2025-05-16,22:04:26.83,2025-05-16T18:04:26.8349440-04:00,2025-05-16T22:04:26.8349440Z,,v3,471503,471373,16 May 2025 18:00-uncwilm@elon,"Duffey, Alex",824545,Right,ELO_PHO,3a7dea8f-9e6c-4c70-bc85-b116c8a68fca,54.37205,-127.31364,14.14475,5.99819,-0.56092,-12.43486,-0.79244,3.34424,-0.00584,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2025-05-16,18:04:43.62,2,2,"Mitrovich, Justin",10033488,Right,ELO_PHO,"Lucas, Trevor",1000277278,Right,UNC_SEA,Undefined,1,Top,0,0,1,Slider,Slider,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,86.53971,-2.184414,-2.006974,2361.642103,138.844367,10:45,5.98631,0.64609,5.96424,-32.28592,5.64264,-3.71193,1.26812,-1.52493,78.23237,-8.173986,-2.674494,0.443256,,,,,,,,,,,,1.22098,4.06681,-0.48492,50,5.79537,4.54804,-125.34313,-5.86039,1.90608,29.75745,-25.8253,ELO_PHO,UNC_SEA,LathamPark,D1,CAA,20250516-LathamPark-1,c6296350-32a1-11f0-8d85-c7020094cbfb,85.03537,,,8.30734,,,,,,,a0441f63-e622-45ec-9600-992dcc356cdf,2025-05-16,22:04:43.62,2025-05-16T18:04:43.6250112-04:00,2025-05-16T22:04:43.6250112Z,,v3,471503,471373,16 May 2025 18:00-uncwilm@elon,"Duffey, Alex",824545,Right,ELO_PHO,18437859-ec05-469b-8426-b4a100b15b2b,54.53134,-126.41432,14.87873,5.98959,-4.93074,-12.91265,-0.6474,4.47943,0.95304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2025-05-16,18:05:04.91,2,3,"Mitrovich, Justin",10033488,Right,ELO_PHO,"Lucas, Trevor",1000277278,Right,UNC_SEA,Undefined,1,Top,0,0,2,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,95.33052,0.941537,-1.389955,2057.674063,210.11157,1:00,5.98248,0.7555,5.832,-14.42367,17.42536,9.33945,5.65605,0.24151,84.0562,-1.883475,0.283526,0.406181,,,,,,,,,,,,-5.1926,8.82646,-0.64713,50,6.05096,2.88587,-137.88478,1.8755,-9.66241,40.20342,-15.74975,ELO_PHO,UNC_SEA,LathamPark,D1,CAA,20250516-LathamPark-1,d2bcfe10-32a1-11f0-8d85-c7020094cbfb,92.79718,,,11.27432,,,,,,,a0441f63-e622-45ec-9600-992dcc356cdf,2025-05-16,22:05:04.91,2025-05-16T18:05:04.9143808-04:00,2025-05-16T22:05:04.9143808Z,,v3,471503,471373,16 May 2025 18:00-uncwilm@elon,"Duffey, Alex",824545,Right,ELO_PHO,9f2c617a-a078-44f4-b2e1-4586053009d5,54.6584,-139.23642,20.10171,5.97901,2.405,-7.87488,-0.74961,3.21072,-4.83121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2025-05-16,18:05:27.29,2,4,"Mitrovich, Justin",10033488,Right,ELO_PHO,"Lucas, Trevor",1000277278,Right,UNC_SEA,Undefined,1,Top,0,1,2,Slider,Slider,InPlay,Undefined,LineDrive,Single,0,0,,87.77132,-2.620366,-1.479254,2267.687728,211.345201,1:00,5.88847,0.66529,5.94574,-28.5925,8.11937,4.14862,1.07272,-0.36139,79.62537,-7.936071,-0.732946,0.436089,93.95466,14.452272,-25.183621,2255.031212,97.19024,17.11387,-51.51678,214.2576,214.2576,-31.714445,2.019828,-2.61492,5.37544,-0.54987,50,5.66365,3.11584,-127.22147,-6.76578,-4.22397,29.60693,-23.49094,ELO_PHO,UNC_SEA,LathamPark,D1,CAA,20250516-LathamPark-1,e0217d60-32a1-11f0-8d85-c7020094cbfb,86.43298,17.14118,,8.14594,,,,2.51518,1.15742,0.39934,a0441f63-e622-45ec-9600-992dcc356cdf,2025-05-16,22:05:27.29,2025-05-16T18:05:27.2970240-04:00,2025-05-16T22:05:27.2970240Z,LineDrive,v3,471503,471373,16 May 2025 18:00-uncwilm@elon,"Duffey, Alex",824545,Right,ELO_PHO,896ba143-2fcf-4560-a595-4ac93f69e55d,54.55299,-128.27667,14.80347,5.88986,-5.92856,-11.74547,-0.6636,3.26638,-2.11198,,2.5152,120.75467,-23.1937,5.39268,-1.18336,0.22865,-0.04098,0.00854,-0.00126,1.1574,34.39244,-19.92072,1.79764,-0.38652,0.10868,-0.02328,-0.00032,0.00086,0.39935,-56.78241,-0.19995,0.55129,-0.16456,0.01521,-0.001,0.00385,-0.00109,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
8,2025-05-16,18:06:06.37,3,1,"Mitrovich, Justin",10033488,Right,ELO_PHO,"Thach, Tanner",805880,Left,UNC_SEA,Undefined,1,Top,0,0,0,ChangeUp,Changeup,StrikeCalled,Undefined,Undefined,Undefined,0,0,,80.3157,0.321818,-1.810948,1907.147196,248.409893,2:15,5.5242,1.36841,5.51889,-37.05234,7.35119,14.65324,2.73756,0.8957,72.7947,-6.52674,0.801614,0.479601,,,,,,,,,,,,-7.91559,4.0841,-1.22061,50,5.52778,3.08444,-116.43976,-0.56903,-10.74416,24.17831,-26.63056,ELO_PHO,UNC_SEA,LathamPark,D1,CAA,20250516-LathamPark-1,f76acb20-32a1-11f0-8d85-c7020094cbfb,78.59124,,,7.521,,,,,,,a0441f63-e622-45ec-9600-992dcc356cdf,2025-05-16,22:06:06.37,2025-05-16T18:06:06.3788544-04:00,2025-05-16T22:06:06.3788544Z,,v3,471503,471373,16 May 2025 18:00-uncwilm@elon,"Duffey, Alex",824545,Right,ELO_PHO,effdc912-6408-4391-a91c-eacde3ca5cd2,54.97861,-117.469,12.08915,5.52788,0.5646,-13.31528,-1.36164,3.5418,-5.37208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2025-05-16,18:06:24.26,3,2,"Mitrovich, Justin",10033488,Right,ELO_PHO,"Thach, Tanner",805880,Left,UNC_SEA,Undefined,1,Top,0,0,1,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,93.94022,-1.062613,-2.295033,1969.065432,201.727589,12:45,6.01923,0.68382,6.08412,-12.99076,19.15096,7.13796,3.9527,-0.84572,83.8887,-3.617068,-1.010834,0.408043,,,,,,,,,,,,-4.46898,10.58008,-0.51024,50,5.93034,5.1376,-136.09895,-2.85024,-8.186,36.38602,-12.79406,ELO_PHO,UNC_SEA,LathamPark,D1,CAA,20250516-LathamPark-1,0218dd00-32a2-11f0-8d85-c7020094cbfb,92.3737,,,10.05152,,,,,,,a0441f63-e622-45ec-9600-992dcc356cdf,2025-05-16,22:06:24.26,2025-05-16T18:06:24.2638336-04:00,2025-05-16T22:06:24.2638336Z,,v3,471503,471373,16 May 2025 18:00-uncwilm@elon,"Duffey, Alex",824545,Right,ELO_PHO,eb47e446-d9cf-46eb-9b88-7ba38e287cb6,54.41209,-137.27346,18.19301,6.01568,-2.43726,-6.39703,-0.68034,5.40183,-4.093,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2025-05-16,18:06:48.49,3,3,"Mitrovich, Justin",10033488,Right,ELO_PHO,"Thach, Tanner",805880,Left,UNC_SEA,Undefined,1,Top,0,0,2,Sinker,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,92.19777,-0.911141,-1.012241,1856.033631,240.880354,2:00,5.68778,1.24695,5.85132,-23.09797,10.28355,16.30324,2.9161,1.66488,83.135,-5.250121,1.913148,0.415838,,,,,,,,,,,,-8.61193,5.90122,-1.17405,50,5.60042,1.62826,-133.72563,-2.91343,-15.34853,33.08,-21.65667,ELO_PHO,UNC_SEA,LathamPark,D1,CAA,20250516-LathamPark-1,108fddc0-32a2-11f0-8d85-c7020094cbfb,90.64207,,,9.06278,,,,,,,a0441f63-e622-45ec-9600-992dcc356cdf,2025-05-16,22:06:48.49,2025-05-16T18:06:48.4965376-04:00,2025-05-16T22:06:48.4965376Z,,v3,471503,471373,16 May 2025 18:00-uncwilm@elon,"Duffey, Alex",824545,Right,ELO_PHO,6270c01d-bc2f-4e89-b040-d730478fe66d,54.646,-134.87003,16.54,5.68825,-2.16422,-10.82834,-1.23956,2.15924,-7.67427,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
