PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-05-16,13:59:19.05,1,1,"Kuehn, Alex",821475,Right,MIL_UNI2,"Whalen, Jack",1000091366,Right,SET_HIL,Undefined,1,Top,0,0,0,Sinker,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,,90.20662,-0.558057,-3.206857,2160.577517,268.81968,3:00,5.19877,2.30497,5.99501,-33.11356,1.50291,14.43265,1.92134,0.53284,81.75015,-6.698077,-0.61308,0.42346,,,,,,,,,,,,-8.42067,1.29878,-2.06009,50,5.13667,6.71529,-130.78996,-2.44324,-14.4114,30.66824,-29.95129,MIL_UNI2,SET_HIL,MillersvilleU,D2,Team,20250516-MillersvilleU-1,7dc281e0-327f-11f0-8320-cdd2e74ba5db,89.01054,,,8.45646,,,,,,,22730b84-a275-413e-80e9-8e6986c03e07,2025-05-16,17:59:19.05,2025-05-16T13:59:19.0553088-04:00,2025-05-16T17:59:19.0553088Z,,v3,,,,"Laux, Sammy",831522,Right,MIL_UNI2,7f326091-7090-44ff-8a6b-a02929736c0a,54.50371,-131.84178,15.33412,5.20285,-1.41601,-14.97564,-2.29888,7.20955,-7.2057,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2025-05-16,13:59:34.63,1,2,"Kuehn, Alex",821475,Right,MIL_UNI2,"Whalen, Jack",1000091366,Right,SET_HIL,Undefined,1,Top,0,0,1,Slider,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,79.77912,1.509692,-2.772583,2215.096632,83.90062,8:45,5.26909,2.24005,5.84637,-45.28136,-0.28492,-18.04391,2.90053,-1.84212,71.89839,-6.858101,-5.998174,0.482793,,,,,,,,,,,,8.18827,-0.13161,-2.00413,50,5.36621,6.30292,-115.5204,1.5835,10.80879,26.16376,-32.34777,MIL_UNI2,SET_HIL,MillersvilleU,D2,Team,20250516-MillersvilleU-1,86fa9590-327f-11f0-8320-cdd2e74ba5db,78.0717,,,7.88073,,,,,,,22730b84-a275-413e-80e9-8e6986c03e07,2025-05-16,17:59:34.63,2025-05-16T13:59:34.6353152-04:00,2025-05-16T17:59:34.6353152Z,,v3,,,,"Laux, Sammy",831522,Right,MIL_UNI2,0b844be8-0823-4e89-ab6f-f6b75facec13,54.65033,-116.56887,13.08188,5.27678,2.87979,-16.17389,-2.24803,5.86977,5.4044,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2025-05-16,13:59:51.97,1,3,"Kuehn, Alex",821475,Right,MIL_UNI2,"Whalen, Jack",1000091366,Right,SET_HIL,Undefined,1,Top,0,1,1,Fastball,Sinker,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,88.06156,0.990118,-3.202087,2123.030721,245.744946,2:15,5.22055,2.29363,6.39138,-28.77509,7.13725,12.98087,3.73482,0.42714,79.26295,-4.443038,-0.854923,0.431314,71.91847,51.725746,149.576424,4964.624501,,,,,42.65453,,,-7.78847,3.77666,-2.06895,50,5.27875,6.62618,-127.67963,1.32653,-12.65393,30.15943,-26.03812,MIL_UNI2,SET_HIL,MillersvilleU,D2,Team,20250516-MillersvilleU-1,91620180-327f-11f0-8320-cdd2e74ba5db,87.38987,46.89745,,8.79861,,,,0.52806,3.56304,-0.50786,22730b84-a275-413e-80e9-8e6986c03e07,2025-05-16,17:59:51.97,2025-05-16T13:59:51.9718400-04:00,2025-05-16T17:59:51.9718400Z,,v3,,,,"Laux, Sammy",831522,Right,MIL_UNI2,0ae33bff-c940-4918-9dcd-f8636d4f0d79,54.10579,-128.64581,15.07972,5.22289,2.16068,-13.01906,-2.28772,7.03156,-6.32697,,0.52806,-56.34066,2.13524,-0.54771,0.12818,-0.03177,0.00757,-0.00142,0.00012,3.56304,82.80778,-33.23089,5.46889,-1.33176,0.32853,-0.08503,0.02035,-0.00321,-0.50786,33.08604,-8.37818,2.12326,-0.49463,0.12414,-0.03166,0.00757,-0.00119,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Undefined,,,
4,2025-05-16,14:00:12.30,1,4,"Kuehn, Alex",821475,Right,MIL_UNI2,"Whalen, Jack",1000091366,Right,SET_HIL,Undefined,1,Top,0,1,2,Slider,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,80.59313,1.519637,-2.70922,2168.815343,59.485586,8:00,5.25532,2.16851,5.91924,-51.11144,-7.70217,-15.47036,2.40817,-1.63673,73.61504,-7.855929,-5.481931,0.474201,,,,,,,,,,,,7.0867,-3.98882,-1.94271,50,5.34835,6.12303,-116.92445,1.41873,9.70212,24.32134,-37.63499,MIL_UNI2,SET_HIL,MillersvilleU,D2,Team,20250516-MillersvilleU-1,9d62d220-327f-11f0-8320-cdd2e74ba5db,79.48615,,,6.97809,,,,,,,22730b84-a275-413e-80e9-8e6986c03e07,2025-05-16,18:00:12.30,2025-05-16T14:00:12.3051008-04:00,2025-05-16T18:00:12.3051008Z,,v3,,,,"Laux, Sammy",831522,Right,MIL_UNI2,cc7ee6aa-0f3f-45b7-97fa-37492087f956,54.58174,-117.87364,12.16067,5.26432,2.88751,-18.8175,-2.17428,5.74439,4.85106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2025-05-16,14:00:30.35,1,5,"Kuehn, Alex",821475,Right,MIL_UNI2,"Whalen, Jack",1000091366,Right,SET_HIL,Undefined,1,Top,0,2,2,Slider,Curveball,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,,79.98907,1.328535,-1.841629,2208.483796,57.559149,8:00,5.36838,2.11364,5.7354,-52.07211,-8.14792,-14.89497,2.26705,-0.84315,73.69653,-8.171735,-4.506857,0.477005,,,,,,,,,,,,7.13012,-4.22095,-1.95069,50,5.4466,4.29665,-116.21485,0.96066,9.7331,22.15746,-37.93592,MIL_UNI2,SET_HIL,MillersvilleU,D2,Team,20250516-MillersvilleU-1,a8318b60-327f-11f0-8320-cdd2e74ba5db,79.01889,,,6.29254,,,,,,,22730b84-a275-413e-80e9-8e6986c03e07,2025-05-16,18:00:30.35,2025-05-16T14:00:30.3584768-04:00,2025-05-16T18:00:30.3584768Z,,v3,,,,"Laux, Sammy",831522,Right,MIL_UNI2,cd21ca66-7c01-4eae-ac74-32c2b35cd3ec,54.76759,-117.12031,11.07873,5.37567,2.51091,-18.96796,-2.11814,3.89891,4.86655,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2025-05-16,14:00:56.35,2,1,"Kuehn, Alex",821475,Right,MIL_UNI2,"Henne, Owen",10303234,Right,SET_HIL,Undefined,1,Top,1,0,0,Fastball,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,87.46675,0.890764,-3.033577,2150.370379,240.686715,2:00,5.32205,2.22822,6.27408,-29.40549,6.4502,9.58721,3.69393,0.22815,80.28198,-4.601175,-1.303625,0.430974,,,,,,,,,,,,-5.7441,3.46603,-2.00818,50,5.37376,6.34948,-127.03823,1.0435,-9.43676,24.7349,-26.47986,MIL_UNI2,SET_HIL,MillersvilleU,D2,Team,20250516-MillersvilleU-1,b79f6f40-327f-11f0-8320-cdd2e74ba5db,87.45883,,,7.18477,,,,,,,22730b84-a275-413e-80e9-8e6986c03e07,2025-05-16,18:00:56.35,2025-05-16T14:00:56.3539968-04:00,2025-05-16T18:00:56.3539968Z,,v3,,,,"Laux, Sammy",831522,Right,MIL_UNI2,cdb300da-abba-4d1b-9a79-04e11ea62280,54.22449,-127.85811,12.36745,5.32462,1.92122,-13.23993,-2.22383,6.66228,-4.71838,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2025-05-16,14:01:15.35,2,2,"Kuehn, Alex",821475,Right,MIL_UNI2,"Henne, Owen",10303234,Right,SET_HIL,Undefined,1,Top,1,1,0,Sinker,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,88.67694,1.408609,-2.149395,2139.698919,250.55272,2:15,5.26401,2.138,6.34729,-30.01821,4.87929,10.76508,4.06034,1.05557,81.02629,-4.21033,-0.202324,0.425176,,,,,,,,,,,,-6.15284,2.50925,-1.98641,50,5.35251,4.39929,-128.82767,2.20496,-10.34666,26.60851,-27.95449,MIL_UNI2,SET_HIL,MillersvilleU,D2,Team,20250516-MillersvilleU-1,c2ff1de0-327f-11f0-8320-cdd2e74ba5db,88.65144,,,7.65065,,,,,,,22730b84-a275-413e-80e9-8e6986c03e07,2025-05-16,18:01:15.35,2025-05-16T14:01:15.3595904-04:00,2025-05-16T18:01:15.3595904Z,,v3,,,,"Laux, Sammy",831522,Right,MIL_UNI2,f7e4b1a4-d072-4c87-9b14-4142527783d7,54.15087,-129.68217,13.30426,5.26728,3.10268,-13.97724,-2.13302,4.73157,-5.17333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2025-05-16,14:01:34.45,2,3,"Kuehn, Alex",821475,Right,MIL_UNI2,"Henne, Owen",10303234,Right,SET_HIL,Undefined,1,Top,1,2,0,Cutter,Slider,StrikeCalled,Undefined,Undefined,Undefined,0,0,,82.45643,1.981741,-2.434748,2226.245615,73.164602,8:30,5.06368,2.48075,5.91436,-41.49805,0.1524,-4.28465,3.44714,-0.13733,74.53862,-5.705726,-3.202578,0.464495,,,,,,,,,,,,1.40122,-0.06787,-2.28314,50,5.19963,5.25308,-119.48449,2.76233,1.99817,25.93849,-32.27084,MIL_UNI2,SET_HIL,MillersvilleU,D2,Team,20250516-MillersvilleU-1,ce5c8290-327f-11f0-8320-cdd2e74ba5db,81.14708,,,7.91781,,,,,,,22730b84-a275-413e-80e9-8e6986c03e07,2025-05-16,18:01:34.45,2025-05-16T14:01:34.4501760-04:00,2025-05-16T18:01:34.4501760Z,,v3,,,,"Laux, Sammy",831522,Right,MIL_UNI2,880a8715-2d8f-4796-b91f-88e1aa5e309f,54.582,-120.47507,12.96925,5.0706,3.99474,-16.13542,-2.4823,5.17677,0.99908,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2025-05-16,14:01:52.61,2,4,"Kuehn, Alex",821475,Right,MIL_UNI2,"Henne, Owen",10303234,Right,SET_HIL,Undefined,1,Top,1,2,1,Sinker,Sinker,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,88.39265,0.276556,-2.597508,2150.120367,256.850344,2:30,5.04247,2.34984,6.29077,-30.46033,4.93095,16.12993,2.75923,1.2987,80.45694,-5.423114,0.317852,0.428173,,,,,,,,,,,,-9.17493,2.81567,-2.16618,50,5.04819,5.18697,-128.37517,-0.35554,-15.21791,28.0851,-27.50388,MIL_UNI2,SET_HIL,MillersvilleU,D2,Team,20250516-MillersvilleU-1,d9455380-327f-11f0-8320-cdd2e74ba5db,88.0308,,,7.9357,,,,,,,22730b84-a275-413e-80e9-8e6986c03e07,2025-05-16,18:01:52.61,2025-05-16T14:01:52.6130688-04:00,2025-05-16T18:01:52.6130688Z,,v3,,,,"Laux, Sammy",831522,Right,MIL_UNI2,7ddd9c33-8879-4fee-b5b3-d3da48fbf6e6,54.209,-129.29271,14.04255,5.04512,0.54301,-13.75194,-2.34377,5.68413,-7.60896,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2025-05-16,14:02:14.42,2,5,"Kuehn, Alex",821475,Right,MIL_UNI2,"Henne, Owen",10303234,Right,SET_HIL,Undefined,1,Top,1,2,2,Slider,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,80.55246,1.270174,-3.627487,2061.987588,84.36546,8:45,5.16671,2.31519,5.85833,-44.00624,-0.31421,-17.70769,2.68217,-2.53514,73.45137,-6.823199,-6.787252,0.475743,,,,,,,,,,,,7.91032,-0.11823,-2.01025,50,5.24459,8.08026,-116.70874,1.1673,10.77964,24.42239,-32.33514,MIL_UNI2,SET_HIL,MillersvilleU,D2,Team,20250516-MillersvilleU-1,e6312060-327f-11f0-8320-cdd2e74ba5db,79.22856,,,7.10109,,,,,,,22730b84-a275-413e-80e9-8e6986c03e07,2025-05-16,18:02:14.42,2025-05-16T14:02:14.4218624-04:00,2025-05-16T18:02:14.4218624Z,,v3,,,,"Laux, Sammy",831522,Right,MIL_UNI2,1e2d49e3-b580-4cd8-a60c-4e9f9d0aedb0,54.6409,-117.67589,12.21119,5.17301,2.44779,-16.16757,-2.32178,7.65338,5.38982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
