PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,,,1,1,"White, Tommy",1000273609,Right,MEX_LOB,"Sotomayor, Griffen",804664,Right,FRE_BUL,Undefined,7,Top,0,0,0,Slider,,BallCalled,Undefined,Undefined,Undefined,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MEX_LOB,FRE_BUL,SantaAnaStarField,D1,MW,20250516-SantaAnaStarField-2,ae961440-32a1-11f0-a606-07afc5e831d7,,,,,,,,,,,81f63bae-2d9b-41e2-bbec-b14e5be6d2e7,,,,,,v3,471380,471253,16 May 2025 16:00-fresnost@nmexico,"Williams, Brodey",1000114164,Right,MEX_LOB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,1,2,"White, Tommy",1000273609,Right,MEX_LOB,"Sotomayor, Griffen",804664,Right,FRE_BUL,Undefined,7,Top,0,1,0,Slider,,BallCalled,Undefined,Undefined,Undefined,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MEX_LOB,FRE_BUL,SantaAnaStarField,D1,MW,20250516-SantaAnaStarField-2,b1e25910-32a1-11f0-a606-07afc5e831d7,,,,,,,,,,,81f63bae-2d9b-41e2-bbec-b14e5be6d2e7,,,,,,v3,471380,471253,16 May 2025 16:00-fresnost@nmexico,"Williams, Brodey",1000114164,Right,MEX_LOB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2025-05-16,16:03:50.89,1,3,"White, Tommy",1000273609,Right,MEX_LOB,"Sotomayor, Griffen",804664,Right,FRE_BUL,Undefined,7,Top,0,2,0,Fastball,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,89.3364,-2.646616,-3.653434,2127.952888,243.247252,2:00,5.52072,1.37991,5.84568,-27.04131,7.60335,13.23796,0.80094,-0.91677,83.25266,-7.610403,-1.282516,0.423633,,,,,,,,,,,,-7.60796,4.79859,-1.08995,50,5.28867,7.72617,-129.64854,-6.9459,-13.17946,22.58762,-23.86133,MEX_LOB,FRE_BUL,SantaAnaStarField,D1,MW,20250516-SantaAnaStarField-2,a6820e30-32a1-11f0-a606-07afc5e831d7,88.97432,,,6.08374,,,,,,,81f63bae-2d9b-41e2-bbec-b14e5be6d2e7,2025-05-16,22:03:50.89,2025-05-16T16:03:50.8959744-06:00,2025-05-16T22:03:50.8959744Z,,v3,471380,471253,16 May 2025 16:00-fresnost@nmexico,"Williams, Brodey",1000114164,Right,MEX_LOB,1c84a7e3-8baf-4280-a4a4-5be74c02087d,54.65761,-130.45747,11.29381,5.52213,-6.09135,-11.93066,-1.37511,8.19817,-6.58973,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2025-05-16,16:04:11.72,1,4,"White, Tommy",1000273609,Right,MEX_LOB,"Sotomayor, Griffen",804664,Right,FRE_BUL,Undefined,7,Top,0,3,0,Fastball,Sinker,BallCalled,Walk,Undefined,Undefined,0,0,,88.25244,-1.930012,-4.345307,2031.638141,253.220959,2:30,5.34113,1.69372,5.98988,-29.87234,5.59803,15.25658,1.05719,-1.06991,81.86479,-7.430785,-1.608748,0.428651,,,,,,,,,,,,-8.93894,3.64571,-1.35894,50,5.17168,9.11808,-128.02565,-5.33602,-15.02718,23.24375,-26.04526,MEX_LOB,FRE_BUL,SantaAnaStarField,D1,MW,20250516-SantaAnaStarField-2,b303f5b0-32a1-11f0-a606-07afc5e831d7,87.93261,,,6.38765,,,,,,,81f63bae-2d9b-41e2-bbec-b14e5be6d2e7,2025-05-16,22:04:11.72,2025-05-16T16:04:11.7204992-06:00,2025-05-16T22:04:11.7204992Z,,v3,471380,471253,16 May 2025 16:00-fresnost@nmexico,"Williams, Brodey",1000114164,Right,MEX_LOB,dd4c814e-8b81-4b31-99a9-bcfeb3da9f4b,54.51411,-128.8426,11.62188,5.34314,-4.4206,-13.02263,-1.68869,9.64624,-7.51359,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2025-05-16,16:04:50.26,2,1,"White, Tommy",1000273609,Right,MEX_LOB,"Saldivar, Eddie",700244,Left,FRE_BUL,Undefined,7,Top,0,0,0,Fastball,Sinker,InPlay,Undefined,LineDrive,Out,1,0,,89.43813,-0.760854,-3.470754,2159.483704,248.76166,2:15,5.24151,1.69238,5.91197,-28.18793,6.25091,13.69926,2.18497,-0.39141,83.05332,-5.958984,-1.015059,0.422372,58.30239,22.045115,3.942881,2408.971924,109.99449,15.6135,1.09468,151.74976,140.02912,-0.852152,2.253137,-7.88996,3.65776,-1.42169,50,5.16395,7.3255,-129.96328,-2.70145,-13.70941,23.1717,-25.81843,MEX_LOB,FRE_BUL,SantaAnaStarField,D1,MW,20250516-SantaAnaStarField-2,c9f53860-32a1-11f0-a606-07afc5e831d7,89.23983,18.93265,,6.38481,,,,1.21947,2.23635,0.378,81f63bae-2d9b-41e2-bbec-b14e5be6d2e7,2025-05-16,22:04:50.26,2025-05-16T16:04:50.2626304-06:00,2025-05-16T22:04:50.2626304Z,LineDrive,v3,471380,471253,16 May 2025 16:00-fresnost@nmexico,"Williams, Brodey",1000114164,Right,MEX_LOB,26150dbf-a250-45b7-8eb4-cecda9f9247d,54.59232,-130.7795,11.58585,5.24309,-1.79199,-12.90921,-1.68823,7.80841,-6.8547,128.865946,1.2194,79.07481,-7.47262,1.40888,-0.47917,0.26969,-0.12433,0.03047,-0.0028,2.23637,32.09328,-16.23773,0.86936,-0.06685,-0.04844,0.0325,-0.00661,0.00027,0.37798,5.45125,-4.06384,0.74635,-0.20659,0.09538,-0.04123,0.01017,-0.00096,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
6,2025-05-16,16:05:28.59,3,1,"White, Tommy",1000273609,Right,MEX_LOB,"Gray, Murf",809092,Right,FRE_BUL,Undefined,7,Top,1,0,0,Slider,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,77.14875,1.871603,-3.749403,2069.29971,18.474018,6:30,5.08148,1.97978,5.66391,-47.46636,-0.32181,-0.55469,2.87558,-1.56776,71.31046,-6.800619,-3.848149,0.494182,,,,,,,,,,,,-0.67161,-0.23276,-1.66192,50,5.20986,7.35311,-111.8903,2.14157,-0.85854,18.60204,-32.4716,MEX_LOB,FRE_BUL,SantaAnaStarField,D1,MW,20250516-SantaAnaStarField-2,e0bc36c0-32a1-11f0-a606-07afc5e831d7,76.27233,,,5.83829,,,,,,,81f63bae-2d9b-41e2-bbec-b14e5be6d2e7,2025-05-16,22:05:28.59,2025-05-16T16:05:28.5949440-06:00,2025-05-16T22:05:28.5949440Z,,v3,471380,471253,16 May 2025 16:00-fresnost@nmexico,"Williams, Brodey",1000114164,Right,MEX_LOB,2fb03cf7-a54c-4afd-8391-57fb1fd716b6,54.83891,-112.69191,9.30102,5.08743,3.54086,-16.2358,-1.97958,7.39011,-0.42927,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2025-05-16,16:05:46.47,3,2,"White, Tommy",1000273609,Right,MEX_LOB,"Gray, Murf",809092,Right,FRE_BUL,Undefined,7,Top,1,1,0,Slider,Curveball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,76.22833,1.325946,-2.027061,2064.930142,28.372824,7:00,5.14099,1.75421,5.28722,-54.84519,-5.83174,-3.92992,1.81673,-0.47764,70.45736,-8.601803,-2.724751,0.503882,,,,,,,,,,,,1.4265,-2.82965,-1.56642,50,5.2215,4.06894,-110.67282,0.69543,1.77585,19.06061,-35.69673,MEX_LOB,FRE_BUL,SantaAnaStarField,D1,MW,20250516-SantaAnaStarField-2,eb69d370-32a1-11f0-a606-07afc5e831d7,74.80406,,,5.77097,,,,,,,81f63bae-2d9b-41e2-bbec-b14e5be6d2e7,2025-05-16,22:05:46.47,2025-05-16T16:05:46.4714752-06:00,2025-05-16T22:05:46.4714752Z,,v3,471380,471253,16 May 2025 16:00-fresnost@nmexico,"Williams, Brodey",1000114164,Right,MEX_LOB,8824a746-59bc-4a45-9105-704fe60cad08,55.21635,-111.56759,9.53031,5.14952,2.37115,-17.84837,-1.75547,3.98558,0.88793,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2025-05-16,16:06:10.54,3,3,"White, Tommy",1000273609,Right,MEX_LOB,"Gray, Murf",809092,Right,FRE_BUL,Undefined,7,Top,1,1,1,Fastball,Sinker,InPlay,Undefined,FlyBall,Out,1,0,,89.84351,-0.995432,-3.170981,2186.115007,240.890691,2:00,5.33738,1.60978,5.80697,-25.99025,7.92512,12.78245,2.24427,-0.27705,84.23323,-5.769403,-0.883407,0.41915,104.19892,23.265539,6.871055,3905.572173,108.24081,44.33857,19.59359,359.24069,351.51652,17.906505,4.440457,-7.25622,4.50288,-1.35736,50,5.23965,6.72223,-130.6955,-3.18418,-12.88537,20.65495,-24.17794,MEX_LOB,FRE_BUL,SantaAnaStarField,D1,MW,20250516-SantaAnaStarField-2,f9f67f10-32a1-11f0-a606-07afc5e831d7,89.92586,63.37294,,5.61028,,,,1.90853,2.38497,0.28309,81f63bae-2d9b-41e2-bbec-b14e5be6d2e7,2025-05-16,22:06:10.54,2025-05-16T16:06:10.5481216-06:00,2025-05-16T22:06:10.5481216Z,LineDrive,v3,471380,471253,16 May 2025 16:00-fresnost@nmexico,"Williams, Brodey",1000114164,Right,MEX_LOB,d472dc63-6029-4981-8e9b-0d03957e04d1,54.6984,-131.43593,10.32747,5.33826,-2.31746,-12.08897,-1.60661,7.18414,-6.44268,219.749703,1.90787,139.4045,-29.35414,7.0004,-1.65239,0.39488,-0.08222,0.01085,-0.00061,2.38596,60.34274,-15.66249,0.04242,0.36752,-0.17906,0.0486,-0.00654,0.00034,0.28203,16.8255,7.14351,-2.92838,0.72712,-0.12072,0.01335,-0.00083,2E-05,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
9,2025-05-16,16:06:46.85,4,1,"White, Tommy",1000273609,Right,MEX_LOB,"Stransky, Justin",833458,Right,FRE_BUL,Undefined,7,Top,2,0,0,Slider,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,77.31689,0.360686,-2.612502,2124.023837,28.03015,7:00,5.09753,1.83698,5.45904,-52.48456,-4.97398,-3.41827,1.0618,-0.89507,71.3663,-9.162128,-3.221314,0.496097,,,,,,,,,,,,1.00327,-2.20709,-1.60413,50,5.09302,5.25037,-112.22235,-1.04989,1.27932,20.32998,-34.98839,MEX_LOB,FRE_BUL,SantaAnaStarField,D1,MW,20250516-SantaAnaStarField-2,0f8c0250-32a2-11f0-a606-07afc5e831d7,75.97798,,,5.95059,,,,,,,81f63bae-2d9b-41e2-bbec-b14e5be6d2e7,2025-05-16,22:06:46.85,2025-05-16T16:06:46.8562944-06:00,2025-05-16T22:06:46.8562944Z,,v3,471380,471253,16 May 2025 16:00-fresnost@nmexico,"Williams, Brodey",1000114164,Right,MEX_LOB,19abfbab-ca9b-4a21-866a-03d0c49712ee,55.04434,-113.13248,10.16499,5.10496,0.51647,-17.49419,-1.8379,5.1931,0.63966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2025-05-16,16:07:06.00,4,2,"White, Tommy",1000273609,Right,MEX_LOB,"Stransky, Justin",833458,Right,FRE_BUL,Undefined,7,Top,2,1,0,Fastball,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,,88.40411,-1.077548,-3.471187,2150.426993,252.966036,2:30,5.35205,1.65693,5.92006,-29.69899,5.74508,15.42521,1.87518,-0.28295,81.70792,-6.558395,-0.704566,0.428493,,,,,,,,,,,,-8.77662,3.5354,-1.38736,50,5.24857,7.15032,-128.36929,-3.43835,-14.793,24.05798,-26.21513,MEX_LOB,FRE_BUL,SantaAnaStarField,D1,MW,20250516-SantaAnaStarField-2,1ae60ba0-32a2-11f0-a606-07afc5e831d7,87.9652,,,6.69619,,,,,,,81f63bae-2d9b-41e2-bbec-b14e5be6d2e7,2025-05-16,22:07:06.00,2025-05-16T16:07:06.0093440-06:00,2025-05-16T22:07:06.0093440Z,,v3,471380,471253,16 May 2025 16:00-fresnost@nmexico,"Williams, Brodey",1000114164,Right,MEX_LOB,ca088c6d-e728-4155-86c5-a7740f92b3d9,54.58294,-129.22533,12.02899,5.35432,-2.50555,-13.10756,-1.65115,7.6767,-7.3965,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
