PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-05-16,18:36:27.20,1,1,"Lombardi, Michael",1000115581,Right,TUL_GRE,"Rivera, Juan",831882,Left,CHA_FOR,Undefined,1,Top,0,0,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,94.27863,-2.659123,-1.106261,2310.962807,209.322655,1:00,5.89007,0.5742,5.94865,-9.67977,22.16903,11.79638,2.61483,0.53104,84.88753,-4.591271,1.012653,0.406179,,,,,,,,,,,,-6.35536,12.51261,-0.49253,50,5.67277,2.09757,-136.61972,-6.53599,-11.83335,34.26975,-8.87617,TUL_GRE,CHA_FOR,Tulane,D1,AMER,20250516-Tulane-1,9685ba10-32ae-11f0-8c18-753d579f1e74,92.7975,,,9.3911,,,,,,,4e75fae4-3af4-4ed1-a83b-2d3f19e7175c,2025-05-16,23:36:27.20,2025-05-16T18:36:27.2085504-05:00,2025-05-16T23:36:27.2085504Z,,v3,471471,471371,16 May 2025 19:30-charlotte@tulane,"Pinkney, Hugh",692218,Right,TUL_GRE,22c83268-91b9-4e2e-8457-4c3175e33060,54.54795,-137.7558,17.13488,5.88457,-6.24174,-4.43808,-0.56857,2.48986,-5.91667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2025-05-16,18:36:42.72,1,2,"Lombardi, Michael",1000115581,Right,TUL_GRE,"Rivera, Juan",831882,Left,CHA_FOR,Undefined,1,Top,0,0,1,Fastball,Four-Seam,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,93.09818,-1.666628,-0.990155,2366.560018,212.061598,1:00,5.81765,0.67259,5.80813,-10.12493,22.80143,13.50705,3.42334,0.87728,83.45425,-3.691942,1.429743,0.412994,,,,,,,,,,,,-7.16327,12.48902,-0.59924,50,5.67497,1.70766,-134.91202,-4.1287,-12.95217,34.53928,-9.59224,TUL_GRE,CHA_FOR,Tulane,D1,AMER,20250516-Tulane-1,9fbdf4d0-32ae-11f0-8c18-753d579f1e74,91.26642,,,9.64393,,,,,,,4e75fae4-3af4-4ed1-a83b-2d3f19e7175c,2025-05-16,23:36:42.72,2025-05-16T18:36:42.7275776-05:00,2025-05-16T23:36:42.7275776Z,,v3,471471,471371,16 May 2025 19:30-charlotte@tulane,"Pinkney, Hugh",692218,Right,TUL_GRE,b3277151-cae9-4ee5-92ad-69ee0bb35f89,54.68789,-136.10689,17.26964,5.81206,-3.79686,-4.79612,-0.66607,2.15573,-6.47609,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2025-05-16,18:36:59.02,1,3,"Lombardi, Michael",1000115581,Right,TUL_GRE,"Rivera, Juan",831882,Left,CHA_FOR,Undefined,1,Top,0,0,2,Fastball,Four-Seam,InPlay,Undefined,GroundBall,Out,1,0,,95.25671,-2.76226,-1.697085,2392.347752,205.869428,12:45,5.86405,0.65145,5.84007,-8.68863,22.67875,10.43434,2.56963,-0.05676,85.66476,-4.513444,0.17259,0.403098,79.42212,-21.421272,12.196738,,,,,9.19842,9.12354,9.831206,0.064214,-5.91343,12.85044,-0.5195,50,5.63407,3.61599,-137.99454,-6.83499,-11.21596,35.3954,-7.80069,TUL_GRE,CHA_FOR,Tulane,D1,AMER,20250516-Tulane-1,a973c400-32ae-11f0-8c18-753d579f1e74,93.50692,2.74009,,9.59194,,,,2.23675,2.74009,0.09504,4e75fae4-3af4-4ed1-a83b-2d3f19e7175c,2025-05-16,23:36:59.02,2025-05-16T18:36:59.0286336-05:00,2025-05-16T23:36:59.0286336Z,GroundBall,v3,471471,471371,16 May 2025 19:30-charlotte@tulane,"Pinkney, Hugh",692218,Right,TUL_GRE,d2e37264-0748-4a71-b2f6-c3256583f63c,54.65875,-139.18437,17.6977,5.85942,-6.57277,-3.90034,-0.64739,3.99302,-5.60798,180,2.23345,106.30982,,,,,,,,2.74141,-42.67108,,,,,,,,0.09433,22.97866,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
4,2025-05-16,18:37:39.08,2,1,"Lombardi, Michael",1000115581,Right,TUL_GRE,"Poteet, Logan",804751,Right,CHA_FOR,Undefined,1,Top,1,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,93.45652,0.032805,-1.769587,2177.81331,200.049786,12:45,5.88585,0.44394,5.86808,-9.8241,22.69828,7.85217,5.09766,-0.54603,83.83353,-1.940372,-0.362003,0.410452,,,,,,,,,,,,-4.53248,11.84595,-0.3049,50,5.88262,3.81804,-135.45666,-0.10287,-8.28604,34.02038,-10.51788,TUL_GRE,CHA_FOR,Tulane,D1,AMER,20250516-Tulane-1,c13c2cd0-32ae-11f0-8c18-753d579f1e74,91.83152,,,9.62298,,,,,,,4e75fae4-3af4-4ed1-a83b-2d3f19e7175c,2025-05-16,23:37:39.08,2025-05-16T18:37:39.0895104-05:00,2025-05-16T23:37:39.0895104Z,,v3,471471,471371,16 May 2025 19:30-charlotte@tulane,"Pinkney, Hugh",692218,Right,TUL_GRE,8034edd6-aa87-4d02-9398-0c1ece9c1f42,54.62655,-136.6137,17.01019,5.88004,0.25484,-5.25894,-0.43954,4.09985,-4.14302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2025-05-16,18:37:54.30,2,2,"Lombardi, Michael",1000115581,Right,TUL_GRE,"Poteet, Logan",804751,Right,CHA_FOR,Undefined,1,Top,1,1,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,93.26642,-4.602934,-1.45557,2243.30878,199.365365,12:45,5.65082,0.36223,5.7963,-10.13701,22.56127,7.51918,0.51394,-0.36539,84.53136,-6.593614,-0.109136,0.411561,,,,,,,,,,,,-4.29177,13.27394,-0.24714,50,5.26563,3.09329,-134.91203,-11.10001,-7.83557,31.93049,-7.93954,TUL_GRE,CHA_FOR,Tulane,D1,AMER,20250516-Tulane-1,ca612db0-32ae-11f0-8c18-753d579f1e74,91.58412,,,8.73506,,,,,,,4e75fae4-3af4-4ed1-a83b-2d3f19e7175c,2025-05-16,23:37:54.30,2025-05-16T18:37:54.3038976-05:00,2025-05-16T23:37:54.3038976Z,,v3,471471,471371,16 May 2025 19:30-charlotte@tulane,"Pinkney, Hugh",692218,Right,TUL_GRE,28ad27d2-91dc-40a9-a15e-0ed2953ecfde,54.70262,-136.02047,15.96524,5.64617,-10.82439,-3.96977,-0.35924,3.3653,-3.91779,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2025-05-16,18:38:12.42,2,3,"Lombardi, Michael",1000115581,Right,TUL_GRE,"Poteet, Logan",804751,Right,CHA_FOR,Undefined,1,Top,1,2,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,94.48887,-0.854207,-0.906072,2196.150082,196.767451,12:30,5.82092,0.55037,5.81692,-9.88741,21.88021,6.25118,4.20256,0.22876,85.08002,-2.823679,0.21402,0.405661,,,,,,,,,,,,-3.44815,11.71186,-0.47979,50,5.74511,1.87483,-137.03254,-2.25029,-6.46959,34.02726,-10.19967,TUL_GRE,CHA_FOR,Tulane,D1,AMER,20250516-Tulane-1,d5436ef0-32ae-11f0-8c18-753d579f1e74,92.91601,,,9.40885,,,,,,,4e75fae4-3af4-4ed1-a83b-2d3f19e7175c,2025-05-16,23:38:12.42,2025-05-16T18:38:12.4278272-05:00,2025-05-16T23:38:12.4278272Z,,v3,471471,471371,16 May 2025 19:30-charlotte@tulane,"Pinkney, Hugh",692218,Right,TUL_GRE,53fffe97-299b-4e88-aed8-40805606f6cc,54.67906,-138.18954,17.01363,5.81573,-1.90348,-5.09983,-0.54727,2.09481,-3.23479,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2025-05-16,18:38:29.02,2,4,"Lombardi, Michael",1000115581,Right,TUL_GRE,"Poteet, Logan",804751,Right,CHA_FOR,Undefined,1,Top,1,3,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,93.53376,-2.865372,-1.34418,2195.438111,213.387557,1:00,5.72396,0.45398,5.99655,-12.67367,19.5421,12.12107,2.00961,0.21823,84.54574,-5.328541,0.835329,0.408513,,,,,,,,,,,,-6.61154,11.2469,-0.35457,50,5.49109,2.63841,-135.56498,-7.11063,-12.15846,32.90152,-11.49122,TUL_GRE,CHA_FOR,Tulane,D1,AMER,20250516-Tulane-1,df27a120-32ae-11f0-8c18-753d579f1e74,92.26746,,,8.98802,,,,,,,4e75fae4-3af4-4ed1-a83b-2d3f19e7175c,2025-05-16,23:38:29.02,2025-05-16T18:38:29.0259456-05:00,2025-05-16T23:38:29.0259456Z,,v3,471471,471371,16 May 2025 19:30-charlotte@tulane,"Pinkney, Hugh",692218,Right,TUL_GRE,299889b8-7c23-44b7-b4d5-016a19c69ae0,54.50084,-136.65297,16.45076,5.71994,-6.73064,-5.74561,-0.44846,3.04046,-6.07923,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2025-05-16,18:38:45.34,2,5,"Lombardi, Michael",1000115581,Right,TUL_GRE,"Poteet, Logan",804751,Right,CHA_FOR,Undefined,1,Top,1,3,1,Fastball,Four-Seam,BallCalled,Walk,Undefined,Undefined,0,0,,93.46531,-3.085884,-2.199958,2153.679392,197.718123,12:30,5.74167,0.31881,5.87662,-10.29418,21.86733,6.64559,2.01287,-1.17164,85.16419,-5.102869,-1.008978,0.408169,,,,,,,,,,,,-4.00614,12.35422,-0.14468,50,5.48579,4.90489,-135.468,-7.54399,-7.42991,30.13629,-9.26151,TUL_GRE,CHA_FOR,Tulane,D1,AMER,20250516-Tulane-1,e8d6e0a0-32ae-11f0-8c18-753d579f1e74,92.34525,,,8.30112,,,,,,,4e75fae4-3af4-4ed1-a83b-2d3f19e7175c,2025-05-16,23:38:45.34,2025-05-16T18:38:45.3416448-05:00,2025-05-16T23:38:45.3416448Z,,v3,471471,471371,16 May 2025 19:30-charlotte@tulane,"Pinkney, Hugh",692218,Right,TUL_GRE,1f07596b-8335-4d27-8da6-028baa210158,54.6216,-136.49225,15.06814,5.73684,-7.22921,-4.63075,-0.31568,5.15741,-3.71495,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2025-05-16,18:39:21.87,3,1,"Lombardi, Michael",1000115581,Right,TUL_GRE,"Maryniak, Connor",831880,Right,CHA_FOR,Undefined,1,Top,1,0,0,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,93.44815,-3.464165,-0.805135,2243.98563,204.344831,12:45,5.79972,0.4733,5.88491,-11.91851,20.68474,8.80646,1.58537,0.45946,84.08464,-5.794524,0.775247,0.410962,,,,,,,,,,,,-4.79028,12.09575,-0.41354,50,5.5133,1.51117,-135.31051,-8.49303,-8.72463,34.37553,-10.14389,TUL_GRE,CHA_FOR,Tulane,D1,AMER,20250516-Tulane-1,fe92d7a0-32ae-11f0-8c18-753d579f1e74,91.71752,,,9.3635,,,,,,,4e75fae4-3af4-4ed1-a83b-2d3f19e7175c,2025-05-16,23:39:21.87,2025-05-16T18:39:21.8780672-05:00,2025-05-16T23:39:21.8780672Z,,v3,471471,471371,16 May 2025 19:30-charlotte@tulane,"Pinkney, Hugh",692218,Right,TUL_GRE,a5a7730e-9bda-40dd-a6eb-2107d4968bff,54.61324,-136.47746,17.18777,5.79577,-8.14867,-5.07195,-0.46987,1.80735,-4.36232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2025-05-16,18:39:45.16,3,2,"Lombardi, Michael",1000115581,Right,TUL_GRE,"Maryniak, Connor",831880,Right,CHA_FOR,Undefined,1,Top,1,0,1,Curveball,Curveball,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,79.71183,0.776604,0.476668,2592.782338,22.620206,6:45,5.73855,-0.02944,5.89032,-60.90684,-15.83761,-7.31721,1.38415,-0.1966,71.82449,-10.391145,-0.841919,0.483183,,,,,,,,,,,,3.94827,-8.02272,-0.00464,50,5.76597,-0.68617,-115.638,-0.45274,5.18665,27.55936,-42.71306,TUL_GRE,CHA_FOR,Tulane,D1,AMER,20250516-Tulane-1,0c800ef0-32af-11f0-8c18-753d579f1e74,78.00865,,,7.88734,,,,,,,4e75fae4-3af4-4ed1-a83b-2d3f19e7175c,2025-05-16,23:39:45.16,2025-05-16T18:39:45.1619840-05:00,2025-05-16T23:39:45.1619840Z,,v3,471471,471371,16 May 2025 19:30-charlotte@tulane,"Pinkney, Hugh",692218,Right,TUL_GRE,a0e3a90d-a33e-4320-8591-570acddbfd2d,54.61169,-116.73191,13.77968,5.75029,1.24266,-21.35653,0.02668,-0.89204,2.59332,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
