PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-05-16,18:06:28.99,1,1,"Ellisen, Thomas",808829,Right,UCO_HUS,"Bear, Chris",10289909,Right,MAI_BLA,Undefined,1,Top,0,0,0,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,92.16117,-1.721629,-2.394943,2154.982775,203.047443,12:45,6.17902,1.48353,7.15815,-14.97343,16.47595,6.5739,3.3689,-0.14071,84.00196,-4.645135,-1.187685,0.403625,79.12377,7.957767,174.248951,1796.927541,,,,104.78065,49.77785,175.834529,0.993218,-4.12988,9.58331,-1.34421,50,6.07249,5.33964,-133.89469,-4.33274,-7.47631,29.66421,-14.82534,UCO_HUS,MAI_BLA,UConn,D1,BEAST,20250516-UConn-1,1b3934b0-32a2-11f0-8829-7d8d323c153f,93.38488,6.22125,,8.15921,,,,0.50129,3.00024,0.26473,0bc198d7-018c-49fd-8339-66fb0aa8e4c4,2025-05-16,22:06:28.99,2025-05-16T18:06:28.9910272-04:00,2025-05-16T22:06:28.9910272Z,GroundBall,v3,471275,471344,16 May 2025 18:05-maine@uconn,"Garbowski, Matthew",1000090804,Right,UCO_HUS,3843367e-5971-44b9-b778-b491cd0b5acf,53.33725,-134.63202,14.8321,6.17561,-3.96424,-7.41267,-1.47924,5.52547,-3.73815,310.093504,0.47854,-114.03799,8.41627,,,,,,,3.05822,15.27611,-18.5353,,,,,,,0.29189,11.14311,-3.82482,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,
2,2025-05-16,18:06:44.42,1,2,"Ellisen, Thomas",808829,Right,UCO_HUS,"Bear, Chris",10289909,Right,MAI_BLA,Undefined,1,Top,0,0,1,Slider,Slider,StrikeCalled,Undefined,Undefined,Undefined,0,0,,82.74092,-1.213744,-2.065673,2382.846765,109.410197,9:45,6.09565,1.73579,6.45788,-37.17699,2.87225,-4.55433,1.8817,-0.54215,75.99972,-8.124931,-2.892264,0.455479,,,,,,,,,,,,1.78425,2.25386,-1.58784,50,5.99351,4.50082,-120.21501,-3.65502,2.60123,24.12227,-28.88819,UCO_HUS,MAI_BLA,UConn,D1,BEAST,20250516-UConn-1,249969d0-32a2-11f0-8829-7d8d323c153f,82.75338,,,6.7412,,,,,,,0bc198d7-018c-49fd-8339-66fb0aa8e4c4,2025-05-16,22:06:44.42,2025-05-16T18:06:44.4280832-04:00,2025-05-16T22:06:44.4280832Z,,v3,471275,471344,16 May 2025 18:05-maine@uconn,"Garbowski, Matthew",1000090804,Right,UCO_HUS,97955e03-2151-4964-9c84-ee6b8b2c756c,54.04246,-121.02345,12.06114,6.09979,-2.68685,-14.44409,-1.73722,4.41364,1.30061,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2025-05-16,18:06:58.28,1,3,"Ellisen, Thomas",808829,Right,UCO_HUS,"Bear, Chris",10289909,Right,MAI_BLA,Undefined,1,Top,0,0,2,Slider,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,84.26915,-3.071014,-3.060117,2479.962001,96.970569,9:15,6.0466,1.76373,6.69244,-36.10825,1.92677,-6.96634,0.22232,-1.61805,78.47649,-9.73467,-4.32929,0.443878,,,,,,,,,,,,2.93201,2.09567,-1.55701,50,5.82708,6.77439,-122.38715,-7.60741,4.47216,22.87838,-28.97752,UCO_HUS,MAI_BLA,UConn,D1,BEAST,20250516-UConn-1,2cc9d180-32a2-11f0-8829-7d8d323c153f,84.91627,,,5.79266,,,,,,,0bc198d7-018c-49fd-8339-66fb0aa8e4c4,2025-05-16,22:06:58.28,2025-05-16T18:06:58.2820352-04:00,2025-05-16T22:06:58.2820352Z,,v3,471275,471344,16 May 2025 18:05-maine@uconn,"Garbowski, Matthew",1000090804,Right,UCO_HUS,25d5f990-9dad-4712-aa24-cc52121dac4b,53.81128,-123.09755,11.43919,6.04932,-6.70763,-14.48876,-1.76521,6.63553,2.23608,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2025-05-16,18:07:16.24,1,4,"Ellisen, Thomas",808829,Right,UCO_HUS,"Bear, Chris",10289909,Right,MAI_BLA,Undefined,1,Top,0,1,2,Slider,Slider,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,,83.35561,-0.311795,-2.418759,2378.834467,56.015119,7:45,6.03798,1.88208,6.49386,-42.10927,-2.95083,-6.07603,2.24239,-0.84601,77.05636,-8.105008,-3.521761,0.450385,,,,,,,,,,,,2.52449,-1.08055,-1.7101,50,5.99817,5.33949,-121.21022,-1.95177,3.76534,23.12366,-33.78571,UCO_HUS,MAI_BLA,UConn,D1,BEAST,20250516-UConn-1,3785c610-32a2-11f0-8829-7d8d323c153f,83.68934,,,6.29925,,,,,,,0bc198d7-018c-49fd-8339-66fb0aa8e4c4,2025-05-16,22:07:16.24,2025-05-16T18:07:16.2460000-04:00,2025-05-16T22:07:16.2460000Z,,v3,471275,471344,16 May 2025 18:05-maine@uconn,"Garbowski, Matthew",1000090804,Right,UCO_HUS,cafc850a-a494-45ce-acef-1b89b1a2acc6,54.00828,-121.9725,11.56183,6.04415,-0.83802,-16.89285,-1.88407,5.21537,1.88267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.87611,,,0.924878,,,,-2.44031,4.83679,-3.29903,71.06224,8.97522,-53.74908,-2.41361,84.01557,-4.93841,4.87512,18.08902,-14.75778,-3.37266,-61.99879,8.1298,High,High,High,,,High,High,High
5,2025-05-16,18:07:42.46,2,1,"Ellisen, Thomas",808829,Right,UCO_HUS,"Rasmussen, Brody",1000396940,Right,MAI_BLA,Undefined,1,Top,1,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,92.09154,-4.206008,-3.754401,2102.450841,205.613263,12:45,5.99199,1.77444,6.88299,-16.49359,15.30627,6.86776,0.7698,-1.07921,84.78796,-7.353774,-2.501973,0.405867,,,,,,,,,,,,-4.67922,9.58772,-1.5388,50,5.71856,8.50762,-133.45759,-10.25283,-8.47375,27.61956,-14.81133,UCO_HUS,MAI_BLA,UConn,D1,BEAST,20250516-UConn-1,47162610-32a2-11f0-8829-7d8d323c153f,92.86885,,,7.30358,,,,,,,0bc198d7-018c-49fd-8339-66fb0aa8e4c4,2025-05-16,22:07:42.46,2025-05-16T18:07:42.4641536-04:00,2025-05-16T22:07:42.4641536Z,,v3,471275,471344,16 May 2025 18:05-maine@uconn,"Garbowski, Matthew",1000090804,Right,UCO_HUS,3c74d49b-1468-4e37-8761-a061df1ff9a8,53.61898,-134.20447,13.80978,5.9904,-9.85231,-7.40566,-1.77196,8.73676,-4.23687,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2025-05-16,18:07:55.91,2,2,"Ellisen, Thomas",808829,Right,UCO_HUS,"Rasmussen, Brody",1000396940,Right,MAI_BLA,Undefined,1,Top,1,1,0,Fastball,Four-Seam,InPlay,Undefined,LineDrive,Triple,0,0,,91.2245,-3.196781,-2.386146,2204.040546,212.584285,1:00,5.94295,1.87358,7.18662,-16.45162,15.41658,9.23386,1.67046,0.48018,83.963,-6.366973,-0.688604,0.406303,105.08589,9.155255,-8.618119,6291.343012,108.56311,10.32564,-17.71936,202.34095,202.34095,-9.457379,1.578107,-5.64528,9.47473,-1.73754,50,5.75188,5.20971,-132.58878,-7.79023,-10.08708,27.35247,-15.24441,UCO_HUS,MAI_BLA,UConn,D1,BEAST,20250516-UConn-1,4f19b160-32a2-11f0-8829-7d8d323c153f,92.76928,10.36273,,7.2615,,,,0.86857,1.6491,-0.44824,0bc198d7-018c-49fd-8339-66fb0aa8e4c4,2025-05-16,22:07:55.91,2025-05-16T18:07:55.9104000-04:00,2025-05-16T22:07:55.9104000Z,LineDrive,v3,471275,471344,16 May 2025 18:05-maine@uconn,"Garbowski, Matthew",1000090804,Right,UCO_HUS,4770c3e2-4bcb-41f9-8ec2-c32d4d85c166,53.31568,-133.27104,13.67624,5.94145,-7.40999,-7.62221,-1.87062,5.46132,-5.04354,111.864284,0.86857,150.44422,-19.39527,3.29192,-0.70144,0.13671,-0.02638,0.00427,-0.00037,1.6491,24.52298,-18.36671,1.77979,-0.35728,0.08146,-0.01513,0.00237,-0.00022,-0.44824,-22.80122,0.73741,0.54248,-0.18724,0.05266,-0.01168,0.00197,-0.00018,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
7,2025-05-16,18:08:47.41,3,1,"Ellisen, Thomas",808829,Right,UCO_HUS,"O'Neill, Dean",1000116135,Right,MAI_BLA,Undefined,1,Top,1,0,0,Slider,Slider,StrikeCalled,Undefined,Undefined,Undefined,0,0,,80.67855,0.003736,-0.263046,2052.146914,57.398198,8:00,6.08407,1.77925,6.42883,-44.61392,-2.5898,-6.08331,2.36968,1.03053,74.21667,-8.269437,-1.368275,0.466574,,,,,,,,,,,,3.11299,-0.97374,-1.75791,50,6.06442,0.75226,-117.36739,-1.3225,4.33099,22.75142,-33.52876,UCO_HUS,MAI_BLA,UConn,D1,BEAST,20250516-UConn-1,6dda01e0-32a2-11f0-8829-7d8d323c153f,80.78554,,,6.46189,,,,,,,0bc198d7-018c-49fd-8339-66fb0aa8e4c4,2025-05-16,22:08:47.41,2025-05-16T18:08:47.4113024-04:00,2025-05-16T22:08:47.4113024Z,,v3,471275,471344,16 May 2025 18:05-maine@uconn,"Garbowski, Matthew",1000090804,Right,UCO_HUS,6e0bdb9b-df91-4a26-b386-ef5cb2cc685d,54.07331,-118.15435,11.37571,6.09011,-0.16276,-16.76438,-1.78134,0.60245,2.16549,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2025-05-16,18:09:08.34,3,2,"Ellisen, Thomas",808829,Right,UCO_HUS,"O'Neill, Dean",1000116135,Right,MAI_BLA,Undefined,1,Top,1,0,1,Slider,Slider,InPlay,Undefined,GroundBall,Out,1,0,,83.08855,-0.45485,-1.772198,2140.445277,98.894545,9:15,6.08328,1.69227,6.69215,-36.99596,2.11697,-6.08252,2.5841,-0.43588,76.6279,-7.361215,-2.880908,0.450123,87.82916,-12.903753,3.002064,,,,,11.41612,10.90149,5.30751,0.089549,2.74162,1.58398,-1.57197,50,6.03843,3.9488,-120.88671,-2.01431,4.06278,23.25025,-29.82676,UCO_HUS,MAI_BLA,UConn,D1,BEAST,20250516-UConn-1,7a53fa20-32a2-11f0-8829-7d8d323c153f,83.73801,2.4427,,6.46066,,,,0.33445,2.4427,0.48345,0bc198d7-018c-49fd-8339-66fb0aa8e4c4,2025-05-16,22:09:08.34,2025-05-16T18:09:08.3480576-04:00,2025-05-16T22:09:08.3480576Z,GroundBall,v3,471275,471344,16 May 2025 18:05-maine@uconn,"Garbowski, Matthew",1000090804,Right,UCO_HUS,80f654ec-03a7-4dff-8d81-8d19ce33c622,53.80989,-121.61726,11.62512,6.087,-1.07711,-14.91338,-1.69404,3.82115,2.03139,178.395277,0.33462,125.36611,-24.19561,,,,,,,2.44236,-28.71539,16.17837,,,,,,,0.48347,6.57308,-2.00735,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
9,2025-05-16,18:09:36.82,4,1,"Ellisen, Thomas",808829,Right,UCO_HUS,"Reynolds, Drew",1000120249,Left,MAI_BLA,Undefined,1,Top,2,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,93.20243,-4.18733,-4.355745,2147.298887,207.684183,1:00,6.0152,1.64355,7.13291,-14.44119,16.27103,8.04985,0.99669,-1.64326,85.92641,-6.970798,-2.882886,0.398866,,,,,,,,,,,,-5.50965,10.15977,-1.38874,50,5.76247,10.00955,-135.06431,-10.24977,-10.24077,27.70811,-13.29017,UCO_HUS,MAI_BLA,UConn,D1,BEAST,20250516-UConn-1,8b50e270-32a2-11f0-8829-7d8d323c153f,94.499,,,7.27602,,,,,,,0bc198d7-018c-49fd-8339-66fb0aa8e4c4,2025-05-16,22:09:36.82,2025-05-16T18:09:36.8263168-04:00,2025-05-16T22:09:36.8263168Z,,v3,471275,471344,16 May 2025 18:05-maine@uconn,"Garbowski, Matthew",1000090804,Right,UCO_HUS,8aed4980-71e2-41cc-ab42-9cfa99e28089,53.37014,-135.75393,13.85406,6.01346,-9.91899,-6.64509,-1.64103,10.26443,-5.12039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2025-05-16,18:09:50.75,4,2,"Ellisen, Thomas",808829,Right,UCO_HUS,"Reynolds, Drew",1000120249,Left,MAI_BLA,Undefined,1,Top,2,1,0,ChangeUp,Splitter,BallCalled,Undefined,Undefined,Undefined,0,0,,83.83016,0.207715,-1.588394,1072.093622,258.950827,2:45,5.94886,1.90783,6.70592,-34.39565,4.12288,14.95072,3.27255,1.70108,76.80468,-6.253842,1.138213,0.44669,,,,,,,,,,,,-8.26032,2.53906,-1.80704,50,5.94971,2.83414,-121.92601,-0.5479,-12.41709,24.28606,-28.35728,UCO_HUS,MAI_BLA,UConn,D1,BEAST,20250516-UConn-1,937fea90-32a2-11f0-8829-7d8d323c153f,84.38165,,,7.02548,,,,,,,0bc198d7-018c-49fd-8339-66fb0aa8e4c4,2025-05-16,22:09:50.75,2025-05-16T18:09:50.7508736-04:00,2025-05-16T22:09:50.7508736Z,,v3,471275,471344,16 May 2025 18:05-maine@uconn,"Garbowski, Matthew",1000090804,Right,UCO_HUS,b0cc6849-04ab-49f3-9a43-846d06881674,53.79413,-122.67943,12.14303,5.95306,0.33181,-14.17864,-1.90094,3.21935,-6.20855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
