PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-05-16,18:05:37.92,1,1,"Myles , Conor",1000297645,Left,UTS_ROA,"Robson, Colin",831155,Left,RIC_OWL,Undefined,1,Top,0,0,0,Fastball,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,91.21818,-4.546639,1.547837,2169.735451,135.176236,10:30,6.3274,-1.3919,5.71229,-19.79863,14.50824,-13.21418,0.43124,-1.05071,82.93759,-8.242801,-0.81802,0.421562,,,,,,,,,,,,7.29146,9.16095,1.27102,50,5.93391,-3.0004,-131.96357,-11.15023,12.72027,30.88396,-16.19238,UTS_ROA,RIC_OWL,UTSanAntonio,D1,AMER,20250516-UTSanAntonio-1,483753e0-32aa-11f0-b7b1-b37d99e28426,89.41129,,,8.28059,,,,,,,e1aea086-3634-4a4a-8f59-2bb2e8725252,2025-05-16,23:05:37.92,2025-05-16T18:05:37.9227136-05:00,2025-05-16T23:05:37.9227136Z,,v3,471467,2352,16 May 2025 19:00-rice@utsa,"Stucky, Andrew",823169,Right,UTS_ROA,004add4d-1101-447b-929b-39af6d93a372,54.78847,-133.07951,15.44198,6.32624,-10.56514,-8.09619,1.38774,-3.46003,6.36014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2025-05-16,18:05:54.65,1,2,"Myles , Conor",1000297645,Left,UTS_ROA,"Robson, Colin",831155,Left,RIC_OWL,Undefined,1,Top,0,1,0,Fastball,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,90.78178,-1.464501,2.082032,2123.293401,125.2202,10:15,6.12133,-1.52725,5.75293,-22.58548,11.5956,-14.84741,2.87466,-0.82546,82.83239,-5.682156,-0.575874,0.420789,,,,,,,,,,,,8.12989,6.65859,1.36344,50,5.98601,-4.13254,-131.72973,-4.13756,14.24832,28.66086,-20.5043,UTS_ROA,RIC_OWL,UTSanAntonio,D1,AMER,20250516-UTSanAntonio-1,52252300-32aa-11f0-b7b1-b37d99e28426,89.57563,,,7.94939,,,,,,,e1aea086-3634-4a4a-8f59-2bb2e8725252,2025-05-16,23:05:54.65,2025-05-16T18:05:54.6593280-05:00,2025-05-16T23:05:54.6593280Z,,v3,471467,2352,16 May 2025 19:00-rice@utsa,"Stucky, Andrew",823169,Right,UTS_ROA,43b0a81a-de7f-41f3-bfee-c56cfd646a87,54.74631,-132.75838,14.33043,6.12131,-3.40165,-10.25215,1.52093,-4.64392,7.12416,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2025-05-16,18:06:11.11,1,3,"Myles , Conor",1000297645,Left,UTS_ROA,"Robson, Colin",831155,Left,RIC_OWL,Undefined,1,Top,0,2,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,91.23843,-4.019913,2.377063,2136.931828,138.1986,10:30,6.28593,-1.3558,5.87095,-19.87808,13.79646,-11.38308,0.8861,-0.09515,83.83642,-7.724673,0.334758,0.417659,,,,,,,,,,,,6.53492,8.49658,1.17023,50,5.94828,-5.01184,-132.20089,-9.94786,11.58723,27.67747,-17.10854,UTS_ROA,RIC_OWL,UTSanAntonio,D1,AMER,20250516-UTSanAntonio-1,5bfde380-32aa-11f0-b7b1-b37d99e28426,90.24686,,,7.40201,,,,,,,e1aea086-3634-4a4a-8f59-2bb2e8725252,2025-05-16,23:06:11.11,2025-05-16T18:06:11.1122944-05:00,2025-05-16T23:06:11.1122944Z,,v3,471467,2352,16 May 2025 19:00-rice@utsa,"Stucky, Andrew",823169,Right,UTS_ROA,f6d27385-b96f-42ef-bc2a-2c1715ab8800,54.6306,-133.16682,13.83874,6.28504,-9.35078,-8.55427,1.3522,-5.41623,5.79362,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2025-05-16,18:06:29.35,1,4,"Myles , Conor",1000297645,Left,UTS_ROA,"Robson, Colin",831155,Left,RIC_OWL,Undefined,1,Top,0,3,0,Fastball,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,,91.06196,-1.420873,2.738075,2207.97645,134.027334,10:30,6.21021,-1.48531,5.86717,-20.78478,12.97339,-12.30977,3.15647,0.0343,83.25005,-5.319904,0.531946,0.418178,,,,,,,,,,,,7.04367,7.35367,1.27051,50,6.08291,-5.78474,-132.13329,-3.9619,12.45705,28.06167,-19.1688,UTS_ROA,RIC_OWL,UTSanAntonio,D1,AMER,20250516-UTSanAntonio-1,66cb8b50-32aa-11f0-b7b1-b37d99e28426,90.13499,,,7.81191,,,,,,,e1aea086-3634-4a4a-8f59-2bb2e8725252,2025-05-16,23:06:29.35,2025-05-16T18:06:29.3512704-05:00,2025-05-16T23:06:29.3512704Z,,v3,471467,2352,16 May 2025 19:00-rice@utsa,"Stucky, Andrew",823169,Right,UTS_ROA,3c34fb96-424e-4178-b749-c703932278b7,54.63239,-133.11346,14.03084,6.2096,-3.29235,-9.5844,1.48017,-6.21985,6.22853,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2025-05-16,18:06:46.87,1,5,"Myles , Conor",1000297645,Left,UTS_ROA,"Robson, Colin",831155,Left,RIC_OWL,Undefined,1,Top,0,3,1,Fastball,Sinker,InPlay,Undefined,GroundBall,Single,0,0,,91.52106,-1.794332,2.48058,2063.228272,130.183535,10:15,6.11365,-1.64149,5.87486,-21.70635,11.65414,-12.56052,2.63611,-0.3828,83.8604,-5.849469,0.227926,0.415707,85.45036,1.615133,8.869178,2586.160303,,,,67.06735,67.06735,9.192536,0.551028,7.16213,6.77646,1.44834,50,5.95579,-5.22338,-132.85129,-4.89305,12.81521,28.14613,-20.04892,UTS_ROA,RIC_OWL,UTSanAntonio,D1,AMER,20250516-UTSanAntonio-1,7148c930-32aa-11f0-b7b1-b37d99e28426,90.67067,2.95442,,7.66067,,,,1.87889,2.75904,0.41152,e1aea086-3634-4a4a-8f59-2bb2e8725252,2025-05-16,23:06:46.87,2025-05-16T18:06:46.8753920-05:00,2025-05-16T23:06:46.8753920Z,GroundBall,v3,471467,2352,16 May 2025 19:00-rice@utsa,"Stucky, Andrew",823169,Right,UTS_ROA,bad2380d-819f-4655-b43d-d31321e75f50,54.62646,-133.82787,14.07306,6.1135,-4.19741,-10.02446,1.63729,-5.66803,6.40761,248.379074,1.89199,123.46013,-12.27918,,,,,,,2.76653,3.35096,-15.21657,,,,,,,0.41222,19.29797,-1.09486,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
6,2025-05-16,18:07:19.46,2,1,"Myles , Conor",1000297645,Left,UTS_ROA,"Brown, Blaine",825579,Left,RIC_OWL,Undefined,1,Top,0,0,0,Slider,Slider,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,80.92853,0.699721,1.667751,2206.071437,269.513395,3:00,5.97602,-1.89215,5.36214,-41.80514,1.22787,5.17918,3.14873,0.10382,75.07788,-6.901382,2.588156,0.472142,,,,,,,,,,,,-2.21378,0.76331,1.73844,50,6.00869,-3.62968,-117.61941,-0.02004,-3.13601,19.96445,-31.09275,UTS_ROA,RIC_OWL,UTSanAntonio,D1,AMER,20250516-UTSanAntonio-1,84cb4af0-32aa-11f0-b7b1-b37d99e28426,79.83289,,,5.85065,,,,,,,e1aea086-3634-4a4a-8f59-2bb2e8725252,2025-05-16,23:07:19.46,2025-05-16T18:07:19.4684928-05:00,2025-05-16T23:07:19.4684928Z,,v3,471467,2352,16 May 2025 19:00-rice@utsa,"Stucky, Andrew",823169,Right,UTS_ROA,e8d74be4-37f4-4e01-96e2-4b03945114b0,55.14044,-118.48872,9.98222,5.98009,1.33383,-15.54638,1.89351,-3.49312,-1.56801,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2025-05-16,18:07:39.82,2,2,"Myles , Conor",1000297645,Left,UTS_ROA,"Brown, Blaine",825579,Left,RIC_OWL,Undefined,1,Top,0,0,1,Slider,Curveball,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,82.4951,-0.162512,2.045704,2141.542317,320.656359,4:45,5.75699,-2.04704,5.64832,-42.61345,-0.63425,1.72532,2.05419,0.00568,74.89589,-7.986579,2.354148,0.466325,,,,,,,,,,,,-0.22559,0.09559,1.87232,50,5.71595,-4.34152,-119.62754,-1.79249,-0.32207,26.26954,-32.03756,UTS_ROA,RIC_OWL,UTSanAntonio,D1,AMER,20250516-UTSanAntonio-1,90df0750-32aa-11f0-b7b1-b37d99e28426,80.82873,,,7.59921,,,,,,,e1aea086-3634-4a4a-8f59-2bb2e8725252,2025-05-16,23:07:39.82,2025-05-16T18:07:39.8299136-05:00,2025-05-16T23:07:39.8299136Z,,v3,471467,2352,16 May 2025 19:00-rice@utsa,"Stucky, Andrew",823169,Right,UTS_ROA,f4696c10-1ddc-4581-b883-274c17831b09,54.85183,-120.68827,13.13477,5.76221,-0.49886,-16.01878,2.04736,-4.32852,-0.16103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2025-05-16,18:08:05.77,2,3,"Myles , Conor",1000297645,Left,UTS_ROA,"Brown, Blaine",825579,Left,RIC_OWL,Undefined,1,Top,0,0,2,Slider,Slider,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,81.12956,-0.083265,2.404569,2299.937812,326.25885,5:00,5.86215,-1.90302,5.49824,-45.39676,-2.24732,2.39988,2.00114,0.54746,74.59806,-8.349548,2.832255,0.47278,,,,,,,,,,,,-0.54032,-0.78831,1.69094,50,5.82378,-5.03876,-117.75331,-1.73608,-0.75704,22.80595,-33.27849,UTS_ROA,RIC_OWL,UTSanAntonio,D1,AMER,20250516-UTSanAntonio-1,a069c200-32aa-11f0-b7b1-b37d99e28426,79.72517,,,6.5315,,,,,,,e1aea086-3634-4a4a-8f59-2bb2e8725252,2025-05-16,23:08:05.77,2025-05-16T18:08:05.7785344-05:00,2025-05-16T23:08:05.7785344Z,,v3,471467,2352,16 May 2025 19:00-rice@utsa,"Stucky, Andrew",823169,Right,UTS_ROA,2fb4f4f0-8f94-4e73-a26f-f0b219f4646a,55.00382,-118.71847,11.40298,5.86745,-0.32771,-16.63925,1.90351,-5.00673,-0.37852,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2025-05-16,18:08:29.65,2,4,"Myles , Conor",1000297645,Left,UTS_ROA,"Brown, Blaine",825579,Left,RIC_OWL,Undefined,1,Top,0,0,2,Slider,Slider,InPlay,Undefined,Popup,Out,1,0,,80.91063,0.769095,1.252242,2270.504384,246.269962,2:15,5.82901,-1.70411,5.32994,-40.94439,3.11701,3.62209,3.13884,-0.2271,73.39122,-6.740994,1.895734,0.47775,69.51968,64.902045,-35.853514,,71.65054,78.97009,-83.46368,138.364,68.72965,-50.103974,5.208895,-1.43075,1.74331,1.58819,50,5.86914,-2.71246,-117.30041,0.15509,-1.96969,24.65575,-29.77409,UTS_ROA,RIC_OWL,UTSanAntonio,D1,AMER,20250516-UTSanAntonio-1,aea392b0-32aa-11f0-b7b1-b37d99e28426,78.89575,111.18295,,7.51941,,,,1.59996,4.16071,-0.49808,e1aea086-3634-4a4a-8f59-2bb2e8725252,2025-05-16,23:08:29.65,2025-05-16T18:08:29.6594944-05:00,2025-05-16T23:08:29.6594944Z,Popup,v3,471467,2352,16 May 2025 19:00-rice@utsa,"Stucky, Andrew",823169,Right,UTS_ROA,48c29d65-4f0d-4392-8d17-c6fd55bbe50a,55.16903,-118.38191,12.32787,5.8337,1.46111,-14.88705,1.70528,-2.62606,-0.98484,163.763199,1.60124,35.0004,-10.94364,2.49768,0.1831,-0.33045,0.1028,-0.0142,0.00075,4.14942,92.55136,-24.65329,3.66581,-1.37097,0.42013,-0.07847,0.00747,-0.00027,-0.50134,-25.27244,1.53188,0.09873,-0.1935,0.0688,-0.01166,0.00089,-2E-05,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Medium,Low,,,
10,2025-05-16,18:09:25.74,3,1,"Myles , Conor",1000297645,Left,UTS_ROA,"Johnson, Max",695737,Right,RIC_OWL,Undefined,1,Top,1,0,0,ChangeUp,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,82.8472,-2.182308,1.824045,1825.968065,81.973165,8:45,5.77999,-1.8487,6.06602,-42.36805,-1.05425,-18.44036,0.22768,-1.69674,74.97979,-9.996727,-1.507483,0.462614,,,,,,,,,,,,10.15418,0.64783,1.71697,50,5.58837,-3.11323,-120.0882,-5.94897,14.484,28.28597,-31.24995,UTS_ROA,RIC_OWL,UTSanAntonio,D1,AMER,20250516-UTSanAntonio-1,d0235150-32aa-11f0-b7b1-b37d99e28426,81.47706,,,7.86741,,,,,,,e1aea086-3634-4a4a-8f59-2bb2e8725252,2025-05-16,23:09:25.74,2025-05-16T18:09:25.7440768-05:00,2025-05-16T23:09:25.7440768Z,,v3,471467,2352,16 May 2025 19:00-rice@utsa,"Stucky, Andrew",823169,Right,UTS_ROA,a7ff3a19-d88d-4318-a55b-d51329c3b3cc,54.43377,-121.12805,14.14298,5.78595,-4.80016,-15.62498,1.8412,-3.64569,7.242,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
